Time Remaining,BCM,Away Team Score,Play Team Indicator,Home Team Score,16BSC-M,Game Score,Team Indicator,Play,Period
00:29,"SUB IN by DENBESTEN,COLE",,,,,,,"SUB IN by DENBESTEN,COLE",2
00:29,"SUB OUT by MARDER,NICK",,,,,,,"SUB OUT by MARDER,NICK",2
00:20,"GOOD 3PTR by MCCLOUD,ALTON",64,,65 (+1),,BCM 64-65 (+1),,"GOOD 3PTR by MCCLOUD,ALTON",2
--,"ASSIST  by CLARK,ETHAN",,,,,,,"ASSIST  by CLARK,ETHAN",2
00:16,"FOUL  by DENBESTEN,COLE",,,,,,,"FOUL  by DENBESTEN,COLE",2
00:16,,64,,66 (+2),"GOOD FT by THOM,IAN",16BSC-M 64-66 (+2),,"GOOD FT by THOM,IAN",2
00:16,,64,,67 (+3),"GOOD FT by THOM,IAN",16BSC-M 64-67 (+3),,"GOOD FT by THOM,IAN",2
00:16,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:16,"SUB IN by FORTE,MCCARTY",,,,,,,"SUB IN by FORTE,MCCARTY",2
00:16,"SUB OUT by ELLINGSWORTH,COLEMAN",,,,,,,"SUB OUT by ELLINGSWORTH,COLEMAN",2
00:08,"GOOD 3PTR by DENBESTEN,COLE",67,,67,,BCM 67-67 (0),,"GOOD 3PTR by DENBESTEN,COLE",2
00:00,,,,,"TURNOVER  by THOM,IAN",,,"TURNOVER  by THOM,IAN",2
00:00,"STEAL  by JONES,BLAKE",,,,,,,"STEAL  by JONES,BLAKE",2
05:00,"SUB IN by MARDER,NICK",,,,,,,"SUB IN by MARDER,NICK",3
05:00,"SUB OUT by CLARK,ETHAN",,,,,,,"SUB OUT by CLARK,ETHAN",3
04:43,"FOUL  by MARDER,NICK",,,,,,,"FOUL  by MARDER,NICK",3
04:43,,67,,68 (+1),"GOOD FT by MCLEAN,JAMES",16BSC-M 67-68 (+1),,"GOOD FT by MCLEAN,JAMES",3
04:43,,67,,69 (+2),"GOOD FT by MCLEAN,JAMES",16BSC-M 67-69 (+2),,"GOOD FT by MCLEAN,JAMES",3
04:21,"MISS JUMPER by KORN,LUKAS",,,,,,,"MISS JUMPER by KORN,LUKAS",3
04:21,,,,,"BLOCK  by RUDAK,MATTY",,,"BLOCK  by RUDAK,MATTY",3
--,,,,,"REBOUND DEF by DENEKA,HARRISON",,,"REBOUND DEF by DENEKA,HARRISON",3
04:01,"FOUL  by MCCLOUD,ALTON",,,,,,,"FOUL  by MCCLOUD,ALTON",3
04:01,,,,,"MISS FT by THOM,IAN",,,"MISS FT by THOM,IAN",3
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,3
04:01,,67,,70 (+3),"GOOD FT by THOM,IAN",16BSC-M 67-70 (+3),,"GOOD FT by THOM,IAN",3
04:01,"SUB IN by JOHNSON,CALEB",,,,,,,"SUB IN by JOHNSON,CALEB",3
04:01,"SUB OUT by MCCLOUD,ALTON",,,,,,,"SUB OUT by MCCLOUD,ALTON",3
03:51,"GOOD LAYUP by KORN,LUKAS(in the paint)",69,,70 (+1),,BCM 69-70 (+1),,"GOOD LAYUP by KORN,LUKAS(in the paint)",3
--,"ASSIST  by JONES,BLAKE",,,,,,,"ASSIST  by JONES,BLAKE",3
03:26,,,,,"MISS 3PTR by DENEKA,HARRISON",,,"MISS 3PTR by DENEKA,HARRISON",3
--,"REBOUND DEF by KORN,LUKAS",,,,,,,"REBOUND DEF by KORN,LUKAS",3
03:15,"MISS JUMPER by JONES,BLAKE",,,,,,,"MISS JUMPER by JONES,BLAKE",3
--,"REBOUND OFF by KORN,LUKAS",,,,,,,"REBOUND OFF by KORN,LUKAS",3
03:10,"GOOD LAYUP by KORN,LUKAS(in the paint)",71 (+1),,70,,BCM 71-70 (-1),,"GOOD LAYUP by KORN,LUKAS(in the paint)",3
02:40,,71,,72 (+1),"GOOD LAYUP by DENEKA,HARRISON(in the paint)",16BSC-M 71-72 (+1),,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",3
02:11,"MISS JUMPER by KORN,LUKAS",,,,,,,"MISS JUMPER by KORN,LUKAS",3
--,,,,,"REBOUND DEF by THOM,IAN",,,"REBOUND DEF by THOM,IAN",3
01:59,"FOUL  by MARDER,NICK",,,,,,,"FOUL  by MARDER,NICK",3
01:59,,71,,73 (+2),"GOOD FT by MCLEAN,JAMES",16BSC-M 71-73 (+2),,"GOOD FT by MCLEAN,JAMES",3
01:59,,71,,74 (+3),"GOOD FT by MCLEAN,JAMES",16BSC-M 71-74 (+3),,"GOOD FT by MCLEAN,JAMES",3
01:42,"MISS JUMPER by JOHNSON,CALEB",,,,,,,"MISS JUMPER by JOHNSON,CALEB",3
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,3
01:39,"SUB IN by CLARK,ETHAN",,,,,,,"SUB IN by CLARK,ETHAN",3
01:39,"SUB OUT by JOHNSON,CALEB",,,,,,,"SUB OUT by JOHNSON,CALEB",3
01:18,"FOUL  by DENBESTEN,COLE",,,,,,,"FOUL  by DENBESTEN,COLE",3
01:18,,71,,75 (+4),"GOOD FT by THOM,IAN",16BSC-M 71-75 (+4),,"GOOD FT by THOM,IAN",3
01:18,,71,,76 (+5),"GOOD FT by THOM,IAN",16BSC-M 71-76 (+5),,"GOOD FT by THOM,IAN",3
01:18,"SUB IN by GREEN,CADE",,,,,,,"SUB IN by GREEN,CADE",3
01:18,"SUB OUT by DENBESTEN,COLE",,,,,,,"SUB OUT by DENBESTEN,COLE",3
01:04,"MISS LAYUP by MARDER,NICK",,,,,,,"MISS LAYUP by MARDER,NICK",3
--,"REBOUND OFF by MARDER,NICK",,,,,,,"REBOUND OFF by MARDER,NICK",3
01:00,"MISS 3PTR by CLARK,ETHAN",,,,,,,"MISS 3PTR by CLARK,ETHAN",3
--,,,,,"REBOUND DEF by THOM,IAN",,,"REBOUND DEF by THOM,IAN",3
00:57,"FOUL  by KORN,LUKAS",,,,,,,"FOUL  by KORN,LUKAS",3
00:57,,71,,77 (+6),"GOOD FT by THOM,IAN",16BSC-M 71-77 (+6),,"GOOD FT by THOM,IAN",3
00:57,,,,,"MISS FT by THOM,IAN",,,"MISS FT by THOM,IAN",3
--,"REBOUND DEF by MARDER,NICK",,,,,,,"REBOUND DEF by MARDER,NICK",3
00:41,"MISS LAYUP by GREEN,CADE",,,,,,,"MISS LAYUP by GREEN,CADE",3
--,,,,,"REBOUND DEF by THOM,IAN",,,"REBOUND DEF by THOM,IAN",3
00:38,"FOUL  by JONES,BLAKE",,,,,,,"FOUL  by JONES,BLAKE",3
00:38,,71,,78 (+7),"GOOD FT by THOM,IAN",16BSC-M 71-78 (+7),,"GOOD FT by THOM,IAN",3
00:38,,71,,79 (+8),"GOOD FT by THOM,IAN",16BSC-M 71-79 (+8),,"GOOD FT by THOM,IAN",3
00:38,"SUB IN by FORTE,MCCARTY",,,,,,,"SUB IN by FORTE,MCCARTY",3
00:38,"SUB IN by JOHNSON,CORY",,,,,,,"SUB IN by JOHNSON,CORY",3
00:38,"SUB OUT by MARDER,NICK",,,,,,,"SUB OUT by MARDER,NICK",3
00:38,"SUB OUT by KORN,LUKAS",,,,,,,"SUB OUT by KORN,LUKAS",3
00:28,"MISS 3PTR by FORTE,MCCARTY",,,,,,,"MISS 3PTR by FORTE,MCCARTY",3
--,"REBOUND OFF by GREEN,CADE",,,,,,,"REBOUND OFF by GREEN,CADE",3
00:21,"GOOD LAYUP by GREEN,CADE(in the paint)",73,,79 (+6),,BCM 73-79 (+6),,"GOOD LAYUP by GREEN,CADE(in the paint)",3
00:21,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,3
00:21,"SUB IN by MARDER,NICK",,,,,,,"SUB IN by MARDER,NICK",3
00:21,"SUB OUT by FORTE,MCCARTY",,,,,,,"SUB OUT by FORTE,MCCARTY",3
00:19,"FOUL  by MARDER,NICK",,,,,,,"FOUL  by MARDER,NICK",3
00:19,,73,,80 (+7),"GOOD FT by THOM,IAN",16BSC-M 73-80 (+7),,"GOOD FT by THOM,IAN",3
00:19,,73,,81 (+8),"GOOD FT by THOM,IAN",16BSC-M 73-81 (+8),,"GOOD FT by THOM,IAN",3
00:19,"SUB IN by FORTE,MCCARTY",,,,,,,"SUB IN by FORTE,MCCARTY",3
00:19,"SUB OUT by MARDER,NICK",,,,,,,"SUB OUT by MARDER,NICK",3
00:12,"MISS 3PTR by FORTE,MCCARTY",,,,,,,"MISS 3PTR by FORTE,MCCARTY",3
--,"REBOUND OFF by JONES,BLAKE",,,,,,,"REBOUND OFF by JONES,BLAKE",3
00:07,"MISS 3PTR by JOHNSON,CORY",,,,,,,"MISS 3PTR by JOHNSON,CORY",3
--,"REBOUND OFF by GREEN,CADE",,,,,,,"REBOUND OFF by GREEN,CADE",3
00:06,,,,,"FOUL  by DENEKA,HARRISON",,,"FOUL  by DENEKA,HARRISON",3
00:06,"MISS FT by GREEN,CADE",,,,,,,"MISS FT by GREEN,CADE",3
--,,,,,"REBOUND DEF by MCLEAN,JAMES",,,"REBOUND DEF by MCLEAN,JAMES",3
00:06,,,,,"SUB IN by PERKINS,ALEX",,,"SUB IN by PERKINS,ALEX",3
00:06,,,,,"SUB OUT by DENEKA,HARRISON",,,"SUB OUT by DENEKA,HARRISON",3
00:03,"FOUL  by CLARK,ETHAN",,,,,,,"FOUL  by CLARK,ETHAN",3
00:03,,73,,82 (+9),"GOOD FT by MCLEAN,JAMES",16BSC-M 73-82 (+9),,"GOOD FT by MCLEAN,JAMES",3
00:03,,73,,83 (+10),"GOOD FT by MCLEAN,JAMES",16BSC-M 73-83 (+10),,"GOOD FT by MCLEAN,JAMES",3
00:02,"GOOD 3PTR by CLARK,ETHAN",76,,83 (+7),,BCM 76-83 (+7),,"GOOD 3PTR by CLARK,ETHAN",3
--,"ASSIST  by JONES,BLAKE",,,,,,,"ASSIST  by JONES,BLAKE",3
