Time Remaining,16BSC-M,Away Team Score,Play Team Indicator,Home Team Score,MVCM,Game Score,Team Indicator,Play,Period
00:35,,,,,"SUB OUT by SPICER,TYLER",,,"SUB OUT by SPICER,TYLER",1
00:35,,,,,"SUB OUT by BOWMAN,EMIER",,,"SUB OUT by BOWMAN,EMIER",1
00:19,"GOOD LAYUP by RUDAK,MATTY(in the paint)",23,,24 (+1),,16BSC-M 23-24 (-1),,"GOOD LAYUP by RUDAK,MATTY(in the paint)",1
--,"ASSIST  by MCLEAN,JAMES",,,,,,,"ASSIST  by MCLEAN,JAMES",1
00:09,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:03,,23,,26 (+3),"GOOD LAYUP by BROOKS,JOSHUA(in the paint)",MVCM 23-26 (-3),,"GOOD LAYUP by BROOKS,JOSHUA(in the paint)",1
20:00,"SUB IN by MCLEAN,JAMES",,,,,,,"SUB IN by MCLEAN,JAMES",2
20:00,"SUB OUT by BAK,CALVIN",,,,,,,"SUB OUT by BAK,CALVIN",2
20:00,,,,,"SUB IN by BOWYER,JAY",,,"SUB IN by BOWYER,JAY",2
20:00,,,,,"SUB OUT by GARCIA,EMANUELLE",,,"SUB OUT by GARCIA,EMANUELLE",2
19:43,"MISS 3PTR by THOM,IAN",,,,,,,"MISS 3PTR by THOM,IAN",2
--,,,,,"REBOUND DEF by NOKES,COLT",,,"REBOUND DEF by NOKES,COLT",2
19:24,,,,,"MISS JUMPER by NOKES,COLT",,,"MISS JUMPER by NOKES,COLT",2
--,,,,,"REBOUND OFF by SPICER,TYLER",,,"REBOUND OFF by SPICER,TYLER",2
19:08,,,,,"MISS JUMPER by SONGSTER,CALVIN",,,"MISS JUMPER by SONGSTER,CALVIN",2
--,,,,,"REBOUND OFF by SONGSTER,CALVIN",,,"REBOUND OFF by SONGSTER,CALVIN",2
19:04,,23,,29 (+6),"GOOD 3PTR by SPICER,TYLER",MVCM 23-29 (-6),,"GOOD 3PTR by SPICER,TYLER",2
--,,,,,"ASSIST  by SONGSTER,CALVIN",,,"ASSIST  by SONGSTER,CALVIN",2
18:48,"FOUL  by MCLEAN,JAMES",,,,,,,"FOUL  by MCLEAN,JAMES",2
18:48,"TURNOVER  by MCLEAN,JAMES",,,,,,,"TURNOVER  by MCLEAN,JAMES",2
18:18,,23,,31 (+8),"GOOD JUMPER by NOKES,COLT(in the paint)",MVCM 23-31 (-8),,"GOOD JUMPER by NOKES,COLT(in the paint)",2
17:47,,,,,"FOUL  by SONGSTER,CALVIN",,,"FOUL  by SONGSTER,CALVIN",2
17:47,"GOOD FT by RUDAK,MATTY",24,,31 (+7),,16BSC-M 24-31 (-7),,"GOOD FT by RUDAK,MATTY",2
17:47,"MISS FT by RUDAK,MATTY",,,,,,,"MISS FT by RUDAK,MATTY",2
--,,,,,"REBOUND DEF by NOKES,COLT",,,"REBOUND DEF by NOKES,COLT",2
17:23,,,,,"MISS 3PTR by SONGSTER,CALVIN",,,"MISS 3PTR by SONGSTER,CALVIN",2
--,"REBOUND DEF by DENEKA,HARRISON",,,,,,,"REBOUND DEF by DENEKA,HARRISON",2
17:07,"GOOD LAYUP by RUDAK,MATTY(in the paint)",26,,31 (+5),,16BSC-M 26-31 (-5),,"GOOD LAYUP by RUDAK,MATTY(in the paint)",2
--,"ASSIST  by MCLEAN,JAMES",,,,,,,"ASSIST  by MCLEAN,JAMES",2
16:52,,,,,"MISS 3PTR by SPICER,TYLER",,,"MISS 3PTR by SPICER,TYLER",2
--,"REBOUND DEF by RUDAK,MATTY",,,,,,,"REBOUND DEF by RUDAK,MATTY",2
16:44,"GOOD LAYUP by THOM,IAN(in the paint)",28,,31 (+3),,16BSC-M 28-31 (-3),,"GOOD LAYUP by THOM,IAN(in the paint)",2
16:44,,,,,"FOUL  by BOWYER,JAY",,,"FOUL  by BOWYER,JAY",2
16:44,"GOOD FT by THOM,IAN",29,,31 (+2),,16BSC-M 29-31 (-2),,"GOOD FT by THOM,IAN",2
16:44,,,,,"SUB IN by BOWMAN,EMIER",,,"SUB IN by BOWMAN,EMIER",2
16:44,,,,,"SUB IN by BOWMAN,BLAKE",,,"SUB IN by BOWMAN,BLAKE",2
16:44,,,,,"SUB IN by WATSON,CHRIS",,,"SUB IN by WATSON,CHRIS",2
16:44,,,,,"SUB IN by GARCIA,EMANUELLE",,,"SUB IN by GARCIA,EMANUELLE",2
16:44,,,,,"SUB OUT by NOKES,COLT",,,"SUB OUT by NOKES,COLT",2
16:44,,,,,"SUB OUT by SPICER,TYLER",,,"SUB OUT by SPICER,TYLER",2
16:44,,,,,"SUB OUT by SONGSTER,CALVIN",,,"SUB OUT by SONGSTER,CALVIN",2
16:44,,,,,"SUB OUT by BOWYER,JAY",,,"SUB OUT by BOWYER,JAY",2
16:25,,29,,33 (+4),"GOOD JUMPER by BROOKS,JOSHUA(in the paint)",MVCM 29-33 (-4),,"GOOD JUMPER by BROOKS,JOSHUA(in the paint)",2
16:09,,,,,"FOUL  by BOWMAN,EMIER",,,"FOUL  by BOWMAN,EMIER",2
16:09,"GOOD FT by DENEKA,HARRISON",30,,33 (+3),,16BSC-M 30-33 (-3),,"GOOD FT by DENEKA,HARRISON",2
16:09,"GOOD FT by DENEKA,HARRISON",31,,33 (+2),,16BSC-M 31-33 (-2),,"GOOD FT by DENEKA,HARRISON",2
15:45,,,,,"MISS 3PTR by GARCIA,EMANUELLE",,,"MISS 3PTR by GARCIA,EMANUELLE",2
--,"REBOUND DEF by LEWIS,EVAN",,,,,,,"REBOUND DEF by LEWIS,EVAN",2
15:35,"TURNOVER  by MCLEAN,JAMES",,,,,,,"TURNOVER  by MCLEAN,JAMES",2
15:34,,,,,"STEAL  by BROOKS,JOSHUA",,,"STEAL  by BROOKS,JOSHUA",2
15:30,,,,,"MISS JUMPER by BOWMAN,EMIER",,,"MISS JUMPER by BOWMAN,EMIER",2
--,,,,,"REBOUND OFF by WATSON,CHRIS",,,"REBOUND OFF by WATSON,CHRIS",2
15:14,,31,,35 (+4),"GOOD LAYUP by WATSON,CHRIS(in the paint)",MVCM 31-35 (-4),,"GOOD LAYUP by WATSON,CHRIS(in the paint)",2
--,,,,,"ASSIST  by GARCIA,EMANUELLE",,,"ASSIST  by GARCIA,EMANUELLE",2
14:57,"MISS 3PTR by MCLEAN,JAMES",,,,,,,"MISS 3PTR by MCLEAN,JAMES",2
--,,,,,"REBOUND DEF by WATSON,CHRIS",,,"REBOUND DEF by WATSON,CHRIS",2
14:42,,,,,"MISS LAYUP by GARCIA,EMANUELLE",,,"MISS LAYUP by GARCIA,EMANUELLE",2
--,,,,,"REBOUND OFF by WATSON,CHRIS",,,"REBOUND OFF by WATSON,CHRIS",2
14:38,,31,,37 (+6),"GOOD LAYUP by WATSON,CHRIS(in the paint)",MVCM 31-37 (-6),,"GOOD LAYUP by WATSON,CHRIS(in the paint)",2
14:24,,,,,"FOUL  by BOWMAN,BLAKE",,,"FOUL  by BOWMAN,BLAKE",2
14:24,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
14:24,"SUB IN by GRAHAM,CHRIS",,,,,,,"SUB IN by GRAHAM,CHRIS",2
14:24,"SUB IN by HARDIMAN,BEN",,,,,,,"SUB IN by HARDIMAN,BEN",2
14:24,"SUB IN by MURPHY,JUWAN",,,,,,,"SUB IN by MURPHY,JUWAN",2
14:24,"SUB IN by BAK,CALVIN",,,,,,,"SUB IN by BAK,CALVIN",2
14:24,"SUB IN by PERKINS,ALEX",,,,,,,"SUB IN by PERKINS,ALEX",2
14:24,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",2
14:24,"SUB OUT by RUDAK,MATTY",,,,,,,"SUB OUT by RUDAK,MATTY",2
14:24,"SUB OUT by THOM,IAN",,,,,,,"SUB OUT by THOM,IAN",2
14:24,"SUB OUT by LEWIS,EVAN",,,,,,,"SUB OUT by LEWIS,EVAN",2
14:24,"SUB OUT by MCLEAN,JAMES",,,,,,,"SUB OUT by MCLEAN,JAMES",2
14:19,"GOOD LAYUP by GRAHAM,CHRIS(in the paint)",33,,37 (+4),,16BSC-M 33-37 (-4),,"GOOD LAYUP by GRAHAM,CHRIS(in the paint)",2
--,"ASSIST  by MURPHY,JUWAN",,,,,,,"ASSIST  by MURPHY,JUWAN",2
14:08,,,,,"MISS LAYUP by WATSON,CHRIS",,,"MISS LAYUP by WATSON,CHRIS",2
--,,,,,"REBOUND OFF by BOWMAN,EMIER",,,"REBOUND OFF by BOWMAN,EMIER",2
14:05,,33,,39 (+6),"GOOD DUNK by BOWMAN,EMIER(in the paint)",MVCM 33-39 (-6),,"GOOD DUNK by BOWMAN,EMIER(in the paint)",2
13:50,"TURNOVER  by PERKINS,ALEX",,,,,,,"TURNOVER  by PERKINS,ALEX",2
13:49,,,,,"STEAL  by BROOKS,JOSHUA",,,"STEAL  by BROOKS,JOSHUA",2
13:46,,33,,41 (+8),"GOOD LAYUP by BROOKS,JOSHUA(fastbreak)(in the paint)",MVCM 33-41 (-8),,"GOOD LAYUP by BROOKS,JOSHUA(fastbreak)(in the paint)",2
13:28,,,,,"FOUL  by BROOKS,JOSHUA",,,"FOUL  by BROOKS,JOSHUA",2
13:23,,,,,"SUB IN by BOWYER,JAY",,,"SUB IN by BOWYER,JAY",2
13:23,,,,,"SUB OUT by BROOKS,JOSHUA",,,"SUB OUT by BROOKS,JOSHUA",2
13:17,"TURNOVER  by HARTER,J MORGAN",,,,,,,"TURNOVER  by HARTER,J MORGAN",2
13:16,,,,,"STEAL  by BOWMAN,EMIER",,,"STEAL  by BOWMAN,EMIER",2
13:12,,33,,43 (+10),"GOOD DUNK by BOWMAN,EMIER(fastbreak)(in the paint)",MVCM 33-43 (-10),,"GOOD DUNK by BOWMAN,EMIER(fastbreak)(in the paint)",2
12:47,"GOOD 3PTR by PERKINS,ALEX",36,,43 (+7),,16BSC-M 36-43 (-7),,"GOOD 3PTR by PERKINS,ALEX",2
--,"ASSIST  by GRAHAM,CHRIS",,,,,,,"ASSIST  by GRAHAM,CHRIS",2
12:30,,,,,"MISS 3PTR by GARCIA,EMANUELLE",,,"MISS 3PTR by GARCIA,EMANUELLE",2
--,"REBOUND DEF by BAK,CALVIN",,,,,,,"REBOUND DEF by BAK,CALVIN",2
12:16,"GOOD LAYUP by GRAHAM,CHRIS(in the paint)",38,,43 (+5),,16BSC-M 38-43 (-5),,"GOOD LAYUP by GRAHAM,CHRIS(in the paint)",2
12:16,,,,,"FOUL  by WATSON,CHRIS",,,"FOUL  by WATSON,CHRIS",2
12:16,"MISS FT by GRAHAM,CHRIS",,,,,,,"MISS FT by GRAHAM,CHRIS",2
--,,,,,"REBOUND DEF by BOWMAN,EMIER",,,"REBOUND DEF by BOWMAN,EMIER",2
12:16,,,,,"SUB IN by SONGSTER,CALVIN",,,"SUB IN by SONGSTER,CALVIN",2
12:16,,,,,"SUB OUT by GARCIA,EMANUELLE",,,"SUB OUT by GARCIA,EMANUELLE",2
12:15,"FOUL  by HARDIMAN,BEN",,,,,,,"FOUL  by HARDIMAN,BEN",2
12:04,,38,,45 (+7),"GOOD LAYUP by BOWYER,JAY(in the paint)",MVCM 38-45 (-7),,"GOOD LAYUP by BOWYER,JAY(in the paint)",2
11:52,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
11:52,"SUB IN by DENEKA,HARRISON",,,,,,,"SUB IN by DENEKA,HARRISON",2
11:52,"SUB IN by RUDAK,MATTY",,,,,,,"SUB IN by RUDAK,MATTY",2
11:52,"SUB IN by THOM,IAN",,,,,,,"SUB IN by THOM,IAN",2
11:52,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",2
11:52,"SUB IN by MCLEAN,JAMES",,,,,,,"SUB IN by MCLEAN,JAMES",2
11:52,"SUB OUT by GRAHAM,CHRIS",,,,,,,"SUB OUT by GRAHAM,CHRIS",2
11:52,"SUB OUT by HARDIMAN,BEN",,,,,,,"SUB OUT by HARDIMAN,BEN",2
11:52,"SUB OUT by MURPHY,JUWAN",,,,,,,"SUB OUT by MURPHY,JUWAN",2
11:52,"SUB OUT by BAK,CALVIN",,,,,,,"SUB OUT by BAK,CALVIN",2
11:52,"SUB OUT by PERKINS,ALEX",,,,,,,"SUB OUT by PERKINS,ALEX",2
11:43,,,,,"FOUL  by WATSON,CHRIS",,,"FOUL  by WATSON,CHRIS",2
11:43,"GOOD FT by RUDAK,MATTY",39,,45 (+6),,16BSC-M 39-45 (-6),,"GOOD FT by RUDAK,MATTY",2
11:43,"GOOD FT by RUDAK,MATTY",40,,45 (+5),,16BSC-M 40-45 (-5),,"GOOD FT by RUDAK,MATTY",2
11:43,,,,,"SUB IN by NOKES,COLT",,,"SUB IN by NOKES,COLT",2
11:43,,,,,"SUB OUT by WATSON,CHRIS",,,"SUB OUT by WATSON,CHRIS",2
11:31,"FOUL  by LEWIS,EVAN",,,,,,,"FOUL  by LEWIS,EVAN",2
11:20,,40,,47 (+7),"GOOD JUMPER by NOKES,COLT(in the paint)",MVCM 40-47 (-7),,"GOOD JUMPER by NOKES,COLT(in the paint)",2
--,,,,,"ASSIST  by SONGSTER,CALVIN",,,"ASSIST  by SONGSTER,CALVIN",2
11:00,,,,,"FOUL  by NOKES,COLT",,,"FOUL  by NOKES,COLT",2
11:00,"GOOD FT by RUDAK,MATTY",41,,47 (+6),,16BSC-M 41-47 (-6),,"GOOD FT by RUDAK,MATTY",2
11:00,"MISS FT by RUDAK,MATTY",,,,,,,"MISS FT by RUDAK,MATTY",2
--,"REBOUND OFF by THOM,IAN",,,,,,,"REBOUND OFF by THOM,IAN",2
11:00,,,,,"SUB IN by HOPPA,DANTE",,,"SUB IN by HOPPA,DANTE",2
11:00,,,,,"SUB OUT by BOWMAN,BLAKE",,,"SUB OUT by BOWMAN,BLAKE",2
10:57,,,,,"SUB IN by SPICER,TYLER",,,"SUB IN by SPICER,TYLER",2
10:57,,,,,"SUB OUT by BOWMAN,EMIER",,,"SUB OUT by BOWMAN,EMIER",2
10:51,"TURNOVER  by DENEKA,HARRISON",,,,,,,"TURNOVER  by DENEKA,HARRISON",2
10:23,,,,,"MISS 3PTR by SONGSTER,CALVIN",,,"MISS 3PTR by SONGSTER,CALVIN",2
--,"REBOUND DEF by MCLEAN,JAMES",,,,,,,"REBOUND DEF by MCLEAN,JAMES",2
09:55,"MISS 3PTR by THOM,IAN",,,,,,,"MISS 3PTR by THOM,IAN",2
--,,,,,"REBOUND DEF by NOKES,COLT",,,"REBOUND DEF by NOKES,COLT",2
09:53,"FOUL  by RUDAK,MATTY",,,,,,,"FOUL  by RUDAK,MATTY",2
09:53,,,,,"SUB IN by BROOKS,JOSHUA",,,"SUB IN by BROOKS,JOSHUA",2
09:53,,,,,"SUB OUT by BOWYER,JAY",,,"SUB OUT by BOWYER,JAY",2
09:36,"FOUL  by RUDAK,MATTY",,,,,,,"FOUL  by RUDAK,MATTY",2
09:36,,41,,50 (+9),"GOOD 3PTR by SONGSTER,CALVIN",MVCM 41-50 (-9),,"GOOD 3PTR by SONGSTER,CALVIN",2
--,,,,,"ASSIST  by BROOKS,JOSHUA",,,"ASSIST  by BROOKS,JOSHUA",2
09:34,"TURNOVER  by RUDAK,MATTY",,,,,,,"TURNOVER  by RUDAK,MATTY",2
09:24,"FOUL  by RUDAK,MATTY",,,,,,,"FOUL  by RUDAK,MATTY",2
09:17,"SUB IN by GRAHAM,CHRIS",,,,,,,"SUB IN by GRAHAM,CHRIS",2
09:17,"SUB OUT by RUDAK,MATTY",,,,,,,"SUB OUT by RUDAK,MATTY",2
09:00,"FOUL  by MCLEAN,JAMES",,,,,,,"FOUL  by MCLEAN,JAMES",2
08:56,,41,,51 (+10),"GOOD FT by HOPPA,DANTE",MVCM 41-51 (-10),,"GOOD FT by HOPPA,DANTE",2
08:56,,41,,52 (+11),"GOOD FT by HOPPA,DANTE",MVCM 41-52 (-11),,"GOOD FT by HOPPA,DANTE",2
08:37,"TURNOVER  by MCLEAN,JAMES",,,,,,,"TURNOVER  by MCLEAN,JAMES",2
08:37,,,,,"STEAL  by SPICER,TYLER",,,"STEAL  by SPICER,TYLER",2
08:29,,,,,"MISS JUMPER by NOKES,COLT",,,"MISS JUMPER by NOKES,COLT",2
--,,,,,"REBOUND OFF by HOPPA,DANTE",,,"REBOUND OFF by HOPPA,DANTE",2
08:18,,,,,"TURNOVER  by NOKES,COLT",,,"TURNOVER  by NOKES,COLT",2
08:17,"STEAL  by DENEKA,HARRISON",,,,,,,"STEAL  by DENEKA,HARRISON",2
08:10,,,,,"FOUL  by NOKES,COLT",,,"FOUL  by NOKES,COLT",2
08:10,"GOOD FT by GRAHAM,CHRIS",42,,52 (+10),,16BSC-M 42-52 (-10),,"GOOD FT by GRAHAM,CHRIS",2
08:10,"MISS FT by GRAHAM,CHRIS",,,,,,,"MISS FT by GRAHAM,CHRIS",2
--,,,,,"REBOUND DEF by HOPPA,DANTE",,,"REBOUND DEF by HOPPA,DANTE",2
08:10,"SUB IN by BAK,CALVIN",,,,,,,"SUB IN by BAK,CALVIN",2
08:10,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",2
08:10,,,,,"SUB IN by WATSON,CHRIS",,,"SUB IN by WATSON,CHRIS",2
08:10,,,,,"SUB OUT by NOKES,COLT",,,"SUB OUT by NOKES,COLT",2
07:57,,,,,"MISS JUMPER by SONGSTER,CALVIN",,,"MISS JUMPER by SONGSTER,CALVIN",2
--,,,,,"REBOUND OFF by HOPPA,DANTE",,,"REBOUND OFF by HOPPA,DANTE",2
07:52,,,,,"MISS 3PTR by SONGSTER,CALVIN",,,"MISS 3PTR by SONGSTER,CALVIN",2
--,"REBOUND DEF by BAK,CALVIN",,,,,,,"REBOUND DEF by BAK,CALVIN",2
07:42,"MISS 3PTR by LEWIS,EVAN",,,,,,,"MISS 3PTR by LEWIS,EVAN",2
--,"REBOUND OFF by GRAHAM,CHRIS",,,,,,,"REBOUND OFF by GRAHAM,CHRIS",2
07:38,"MISS JUMPER by GRAHAM,CHRIS",,,,,,,"MISS JUMPER by GRAHAM,CHRIS",2
07:38,,,,,"BLOCK  by SPICER,TYLER",,,"BLOCK  by SPICER,TYLER",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
07:38,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
07:38,,,,,"SUB IN by BOWMAN,BLAKE",,,"SUB IN by BOWMAN,BLAKE",2
07:38,,,,,"SUB IN by BOWYER,JAY",,,"SUB IN by BOWYER,JAY",2
07:38,,,,,"SUB OUT by SONGSTER,CALVIN",,,"SUB OUT by SONGSTER,CALVIN",2
07:38,,,,,"SUB OUT by HOPPA,DANTE",,,"SUB OUT by HOPPA,DANTE",2
07:31,"TURNOVER  by LEWIS,EVAN",,,,,,,"TURNOVER  by LEWIS,EVAN",2
07:30,,,,,"STEAL  by BOWYER,JAY",,,"STEAL  by BOWYER,JAY",2
07:14,"FOUL  by LEWIS,EVAN",,,,,,,"FOUL  by LEWIS,EVAN",2
07:14,,,,,"MISS FT by BOWYER,JAY",,,"MISS FT by BOWYER,JAY",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
07:14,,42,,53 (+11),"GOOD FT by BOWYER,JAY",MVCM 42-53 (-11),,"GOOD FT by BOWYER,JAY",2
07:14,"SUB IN by DENEKA,HARRISON",,,,,,,"SUB IN by DENEKA,HARRISON",2
07:14,"SUB IN by PERKINS,ALEX",,,,,,,"SUB IN by PERKINS,ALEX",2
07:14,"SUB OUT by MCLEAN,JAMES",,,,,,,"SUB OUT by MCLEAN,JAMES",2
07:14,"SUB OUT by LEWIS,EVAN",,,,,,,"SUB OUT by LEWIS,EVAN",2
07:00,"MISS LAYUP by GRAHAM,CHRIS",,,,,,,"MISS LAYUP by GRAHAM,CHRIS",2
--,,,,,"REBOUND DEF by WATSON,CHRIS",,,"REBOUND DEF by WATSON,CHRIS",2
06:35,,42,,55 (+13),"GOOD LAYUP by BOWYER,JAY(in the paint)",MVCM 42-55 (-13),,"GOOD LAYUP by BOWYER,JAY(in the paint)",2
06:20,"GOOD JUMPER by THOM,IAN(in the paint)",44,,55 (+11),,16BSC-M 44-55 (-11),,"GOOD JUMPER by THOM,IAN(in the paint)",2
06:10,,44,,57 (+13),"GOOD LAYUP by WATSON,CHRIS(fastbreak)(in the paint)",MVCM 44-57 (-13),,"GOOD LAYUP by WATSON,CHRIS(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by BOWYER,JAY",,,"ASSIST  by BOWYER,JAY",2
05:58,"MISS 3PTR by THOM,IAN",,,,,,,"MISS 3PTR by THOM,IAN",2
--,"REBOUND OFF by THOM,IAN",,,,,,,"REBOUND OFF by THOM,IAN",2
05:54,"GOOD LAYUP by GRAHAM,CHRIS(in the paint)",46,,57 (+11),,16BSC-M 46-57 (-11),,"GOOD LAYUP by GRAHAM,CHRIS(in the paint)",2
--,"ASSIST  by THOM,IAN",,,,,,,"ASSIST  by THOM,IAN",2
05:37,,,,,"MISS 3PTR by BOWMAN,BLAKE",,,"MISS 3PTR by BOWMAN,BLAKE",2
--,,,,,"REBOUND OFF by SPICER,TYLER",,,"REBOUND OFF by SPICER,TYLER",2
05:09,,,,,"MISS 3PTR by BROOKS,JOSHUA",,,"MISS 3PTR by BROOKS,JOSHUA",2
--,,,,,"REBOUND OFF by WATSON,CHRIS",,,"REBOUND OFF by WATSON,CHRIS",2
04:57,"FOUL  by THOM,IAN",,,,,,,"FOUL  by THOM,IAN",2
04:57,,46,,58 (+12),"GOOD FT by BOWYER,JAY",MVCM 46-58 (-12),,"GOOD FT by BOWYER,JAY",2
04:57,,,,,"MISS FT by BOWYER,JAY",,,"MISS FT by BOWYER,JAY",2
--,,,,,"REBOUND OFF by SPICER,TYLER",,,"REBOUND OFF by SPICER,TYLER",2
04:57,"SUB IN by RUDAK,MATTY",,,,,,,"SUB IN by RUDAK,MATTY",2
04:57,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",2
04:57,"SUB IN by MCLEAN,JAMES",,,,,,,"SUB IN by MCLEAN,JAMES",2
04:57,"SUB OUT by GRAHAM,CHRIS",,,,,,,"SUB OUT by GRAHAM,CHRIS",2
04:57,"SUB OUT by BAK,CALVIN",,,,,,,"SUB OUT by BAK,CALVIN",2
04:57,"SUB OUT by PERKINS,ALEX",,,,,,,"SUB OUT by PERKINS,ALEX",2
04:57,,,,,"SUB IN by NOKES,COLT",,,"SUB IN by NOKES,COLT",2
04:57,,,,,"SUB OUT by WATSON,CHRIS",,,"SUB OUT by WATSON,CHRIS",2
04:39,,,,,"TURNOVER  by BOWYER,JAY",,,"TURNOVER  by BOWYER,JAY",2
04:38,"STEAL  by LEWIS,EVAN",,,,,,,"STEAL  by LEWIS,EVAN",2
04:24,"MISS 3PTR by DENEKA,HARRISON",,,,,,,"MISS 3PTR by DENEKA,HARRISON",2
--,,,,,"REBOUND DEF by SPICER,TYLER",,,"REBOUND DEF by SPICER,TYLER",2
04:19,,,,,"SUB IN by SONGSTER,CALVIN",,,"SUB IN by SONGSTER,CALVIN",2
04:19,,,,,"SUB OUT by BOWMAN,BLAKE",,,"SUB OUT by BOWMAN,BLAKE",2
03:50,"FOUL  by RUDAK,MATTY",,,,,,,"FOUL  by RUDAK,MATTY",2
03:50,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
03:50,,46,,59 (+13),"GOOD FT by NOKES,COLT",MVCM 46-59 (-13),,"GOOD FT by NOKES,COLT",2
03:50,,,,,"MISS FT by NOKES,COLT",,,"MISS FT by NOKES,COLT",2
--,"REBOUND DEF by DENEKA,HARRISON",,,,,,,"REBOUND DEF by DENEKA,HARRISON",2
03:50,"SUB IN by GRAHAM,CHRIS",,,,,,,"SUB IN by GRAHAM,CHRIS",2
03:50,"SUB OUT by RUDAK,MATTY",,,,,,,"SUB OUT by RUDAK,MATTY",2
03:37,,,,,"FOUL  by NOKES,COLT",,,"FOUL  by NOKES,COLT",2
03:37,"GOOD FT by GRAHAM,CHRIS",47,,59 (+12),,16BSC-M 47-59 (-12),,"GOOD FT by GRAHAM,CHRIS",2
03:37,"GOOD FT by GRAHAM,CHRIS",48,,59 (+11),,16BSC-M 48-59 (-11),,"GOOD FT by GRAHAM,CHRIS",2
03:37,,,,,"SUB IN by WATSON,CHRIS",,,"SUB IN by WATSON,CHRIS",2
03:37,,,,,"SUB OUT by NOKES,COLT",,,"SUB OUT by NOKES,COLT",2
03:16,,,,,"MISS 3PTR by BOWYER,JAY",,,"MISS 3PTR by BOWYER,JAY",2
--,"REBOUND DEF by DENEKA,HARRISON",,,,,,,"REBOUND DEF by DENEKA,HARRISON",2
03:09,"GOOD 3PTR by MCLEAN,JAMES(fastbreak)",51,,59 (+8),,16BSC-M 51-59 (-8),,"GOOD 3PTR by MCLEAN,JAMES(fastbreak)",2
--,"ASSIST  by THOM,IAN",,,,,,,"ASSIST  by THOM,IAN",2
02:46,,51,,62 (+11),"GOOD 3PTR by BOWYER,JAY",MVCM 51-62 (-11),,"GOOD 3PTR by BOWYER,JAY",2
--,,,,,"ASSIST  by BROOKS,JOSHUA",,,"ASSIST  by BROOKS,JOSHUA",2
02:43,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
02:43,"SUB IN by BAK,CALVIN",,,,,,,"SUB IN by BAK,CALVIN",2
02:43,"SUB OUT by GRAHAM,CHRIS",,,,,,,"SUB OUT by GRAHAM,CHRIS",2
02:33,,,,,"FOUL  by SPICER,TYLER",,,"FOUL  by SPICER,TYLER",2
02:33,"GOOD FT by LEWIS,EVAN",52,,62 (+10),,16BSC-M 52-62 (-10),,"GOOD FT by LEWIS,EVAN",2
02:33,"GOOD FT by LEWIS,EVAN",53,,62 (+9),,16BSC-M 53-62 (-9),,"GOOD FT by LEWIS,EVAN",2
02:33,"SUB IN by MURPHY,JUWAN",,,,,,,"SUB IN by MURPHY,JUWAN",2
02:33,"SUB OUT by BAK,CALVIN",,,,,,,"SUB OUT by BAK,CALVIN",2
02:29,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
02:20,"FOUL  by MCLEAN,JAMES",,,,,,,"FOUL  by MCLEAN,JAMES",2
02:20,,,,,"MISS FT by SONGSTER,CALVIN",,,"MISS FT by SONGSTER,CALVIN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
02:20,,53,,63 (+10),"GOOD FT by SONGSTER,CALVIN",MVCM 53-63 (-10),,"GOOD FT by SONGSTER,CALVIN",2
02:20,"SUB IN by BAK,CALVIN",,,,,,,"SUB IN by BAK,CALVIN",2
02:20,"SUB OUT by MURPHY,JUWAN",,,,,,,"SUB OUT by MURPHY,JUWAN",2
02:20,,,,,"SUB IN by HOPPA,DANTE",,,"SUB IN by HOPPA,DANTE",2
02:20,,,,,"SUB OUT by WATSON,CHRIS",,,"SUB OUT by WATSON,CHRIS",2
02:13,"TURNOVER  by THOM,IAN",,,,,,,"TURNOVER  by THOM,IAN",2
02:13,"SUB IN by MURPHY,JUWAN",,,,,,,"SUB IN by MURPHY,JUWAN",2
02:13,"SUB OUT by BAK,CALVIN",,,,,,,"SUB OUT by BAK,CALVIN",2
02:07,,53,,65 (+12),"GOOD DUNK by SPICER,TYLER(fastbreak)(in the paint)",MVCM 53-65 (-12),,"GOOD DUNK by SPICER,TYLER(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by SONGSTER,CALVIN",,,"ASSIST  by SONGSTER,CALVIN",2
