Time Remaining,OUM,Away Team Score,Play Team Indicator,Home Team Score,16BSC-M,Game Score,Team Indicator,Play,Period
14:07,"SUB OUT by MCGRATH,JOSH",,,,,,,"SUB OUT by MCGRATH,JOSH",1
14:07,"SUB OUT by INUNGU,TOM",,,,,,,"SUB OUT by INUNGU,TOM",1
14:07,"SUB OUT by LAWRENCE,CHRIS",,,,,,,"SUB OUT by LAWRENCE,CHRIS",1
14:07,,,,,"SUB IN by HARDIMAN,BEN",,,"SUB IN by HARDIMAN,BEN",1
14:07,,,,,"SUB IN by THOM,IAN",,,"SUB IN by THOM,IAN",1
14:07,,,,,"SUB IN by MCLEAN,JAMES",,,"SUB IN by MCLEAN,JAMES",1
14:07,,,,,"SUB OUT by LEWIS,EVAN",,,"SUB OUT by LEWIS,EVAN",1
14:07,,,,,"SUB OUT by MCLEAN,JAMES",,,"SUB OUT by MCLEAN,JAMES",1
14:07,,,,,"SUB OUT by RUDAK,MATTY",,,"SUB OUT by RUDAK,MATTY",1
13:44,"MISS JUMPER by ANDINO,GEORGE",,,,,,,"MISS JUMPER by ANDINO,GEORGE",1
--,"REBOUND OFF by BOURDAGE,TAYLOR",,,,,,,"REBOUND OFF by BOURDAGE,TAYLOR",1
13:42,"MISS JUMPER by BOURDAGE,TAYLOR",,,,,,,"MISS JUMPER by BOURDAGE,TAYLOR",1
--,"REBOUND OFF by SIGRIST,CONNOR",,,,,,,"REBOUND OFF by SIGRIST,CONNOR",1
13:39,"MISS JUMPER by SIGRIST,CONNOR",,,,,,,"MISS JUMPER by SIGRIST,CONNOR",1
--,,,,,"REBOUND DEF by THOM,IAN",,,"REBOUND DEF by THOM,IAN",1
13:34,,,,,"MISS 3PTR by PERKINS,ALEX",,,"MISS 3PTR by PERKINS,ALEX",1
--,,,,,"REBOUND OFF by HARDIMAN,BEN",,,"REBOUND OFF by HARDIMAN,BEN",1
13:27,,,,,"MISS LAYUP by GRAHAM,CHRIS",,,"MISS LAYUP by GRAHAM,CHRIS",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
13:25,,,,,"FOUL  by GRAHAM,CHRIS",,,"FOUL  by GRAHAM,CHRIS",1
13:25,,,,,"SUB IN by MCLEAN,JAMES",,,"SUB IN by MCLEAN,JAMES",1
13:25,,,,,"SUB OUT by PERKINS,ALEX",,,"SUB OUT by PERKINS,ALEX",1
13:17,"MISS 3PTR by BOURDAGE,TAYLOR",,,,,,,"MISS 3PTR by BOURDAGE,TAYLOR",1
--,,,,,"REBOUND DEF by MCLEAN,JAMES",,,"REBOUND DEF by MCLEAN,JAMES",1
12:54,,,,,"TURNOVER  by GRAHAM,CHRIS",,,"TURNOVER  by GRAHAM,CHRIS",1
12:53,"STEAL  by PATRICK,DREW",,,,,,,"STEAL  by PATRICK,DREW",1
12:38,"SUB IN by EDWARDS,JUSTIN",,,,,,,"SUB IN by EDWARDS,JUSTIN",1
12:38,"SUB OUT by TURNER,MIKE",,,,,,,"SUB OUT by TURNER,MIKE",1
12:38,,,,,"SUB IN by DENEKA,HARRISON",,,"SUB IN by DENEKA,HARRISON",1
12:38,,,,,"SUB OUT by GRAHAM,CHRIS",,,"SUB OUT by GRAHAM,CHRIS",1
12:22,"MISS JUMPER by EDWARDS,JUSTIN",,,,,,,"MISS JUMPER by EDWARDS,JUSTIN",1
--,"REBOUND OFF by BOURDAGE,TAYLOR",,,,,,,"REBOUND OFF by BOURDAGE,TAYLOR",1
12:18,"MISS 3PTR by BOURDAGE,TAYLOR",,,,,,,"MISS 3PTR by BOURDAGE,TAYLOR",1
--,,,,,"REBOUND DEF by HARDIMAN,BEN",,,"REBOUND DEF by HARDIMAN,BEN",1
12:06,,,,,"MISS 3PTR by BAK,CALVIN",,,"MISS 3PTR by BAK,CALVIN",1
--,,,,,"REBOUND OFF by HARDIMAN,BEN",,,"REBOUND OFF by HARDIMAN,BEN",1
11:45,"FOUL  by PATRICK,DREW",,,,,,,"FOUL  by PATRICK,DREW",1
11:45,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
11:45,,5,,14 (+9),"GOOD FT by THOM,IAN",16BSC-M 5-14 (+9),,"GOOD FT by THOM,IAN",1
11:45,,5,,15 (+10),"GOOD FT by THOM,IAN",16BSC-M 5-15 (+10),,"GOOD FT by THOM,IAN",1
11:45,,,,,"SUB IN by RUDAK,MATTY",,,"SUB IN by RUDAK,MATTY",1
11:45,,,,,"SUB IN by LEWIS,EVAN",,,"SUB IN by LEWIS,EVAN",1
11:45,,,,,"SUB OUT by HARDIMAN,BEN",,,"SUB OUT by HARDIMAN,BEN",1
11:45,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",1
11:32,"MISS 3PTR by ANDINO,GEORGE",,,,,,,"MISS 3PTR by ANDINO,GEORGE",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
11:30,"FOUL  by BOURDAGE,TAYLOR",,,,,,,"FOUL  by BOURDAGE,TAYLOR",1
11:30,"SUB IN by LAWRENCE,CHRIS",,,,,,,"SUB IN by LAWRENCE,CHRIS",1
11:30,"SUB OUT by BOURDAGE,TAYLOR",,,,,,,"SUB OUT by BOURDAGE,TAYLOR",1
11:11,,,,,"TURNOVER  by THOM,IAN",,,"TURNOVER  by THOM,IAN",1
11:10,"STEAL  by LAWRENCE,CHRIS",,,,,,,"STEAL  by LAWRENCE,CHRIS",1
11:10,,,,,"FOUL  by MCLEAN,JAMES",,,"FOUL  by MCLEAN,JAMES",1
10:54,"MISS JUMPER by LAWRENCE,CHRIS",,,,,,,"MISS JUMPER by LAWRENCE,CHRIS",1
--,"REBOUND OFF by PATRICK,DREW",,,,,,,"REBOUND OFF by PATRICK,DREW",1
10:49,"GOOD LAYUP by PATRICK,DREW(in the paint)",7,,15 (+8),,OUM 7-15 (+8),,"GOOD LAYUP by PATRICK,DREW(in the paint)",1
10:34,,,,,"TURNOVER  by LEWIS,EVAN",,,"TURNOVER  by LEWIS,EVAN",1
10:32,"STEAL  by PATRICK,DREW",,,,,,,"STEAL  by PATRICK,DREW",1
10:22,"MISS JUMPER by PATRICK,DREW",,,,,,,"MISS JUMPER by PATRICK,DREW",1
--,,,,,"REBOUND DEF by THOM,IAN",,,"REBOUND DEF by THOM,IAN",1
10:16,,,,,"MISS 3PTR by LEWIS,EVAN",,,"MISS 3PTR by LEWIS,EVAN",1
--,"REBOUND DEF by SIGRIST,CONNOR",,,,,,,"REBOUND DEF by SIGRIST,CONNOR",1
10:07,"MISS JUMPER by LAWRENCE,CHRIS",,,,,,,"MISS JUMPER by LAWRENCE,CHRIS",1
--,,,,,"REBOUND DEF by MCLEAN,JAMES",,,"REBOUND DEF by MCLEAN,JAMES",1
09:58,,,,,"MISS 3PTR by LEWIS,EVAN",,,"MISS 3PTR by LEWIS,EVAN",1
--,"REBOUND DEF by ANDINO,GEORGE",,,,,,,"REBOUND DEF by ANDINO,GEORGE",1
09:37,"GOOD JUMPER by EDWARDS,JUSTIN(in the paint)",9,,15 (+6),,OUM 9-15 (+6),,"GOOD JUMPER by EDWARDS,JUSTIN(in the paint)",1
09:24,,9,,17 (+8),"GOOD JUMPER by THOM,IAN(in the paint)",16BSC-M 9-17 (+8),,"GOOD JUMPER by THOM,IAN(in the paint)",1
08:58,,,,,"FOUL  by DENEKA,HARRISON",,,"FOUL  by DENEKA,HARRISON",1
08:58,"SUB IN by INUNGU,TOM",,,,,,,"SUB IN by INUNGU,TOM",1
08:58,"SUB IN by TURNER,MIKE",,,,,,,"SUB IN by TURNER,MIKE",1
08:58,"SUB OUT by ANDINO,GEORGE",,,,,,,"SUB OUT by ANDINO,GEORGE",1
08:58,"SUB OUT by SIGRIST,CONNOR",,,,,,,"SUB OUT by SIGRIST,CONNOR",1
08:58,,,,,"SUB IN by GRAHAM,CHRIS",,,"SUB IN by GRAHAM,CHRIS",1
08:58,,,,,"SUB IN by BAK,CALVIN",,,"SUB IN by BAK,CALVIN",1
08:58,,,,,"SUB IN by YANCEY,RICH",,,"SUB IN by YANCEY,RICH",1
08:58,,,,,"SUB OUT by DENEKA,HARRISON",,,"SUB OUT by DENEKA,HARRISON",1
08:58,,,,,"SUB OUT by THOM,IAN",,,"SUB OUT by THOM,IAN",1
08:58,,,,,"SUB OUT by MCLEAN,JAMES",,,"SUB OUT by MCLEAN,JAMES",1
08:53,"GOOD 3PTR by LAWRENCE,CHRIS",12,,17 (+5),,OUM 12-17 (+5),,"GOOD 3PTR by LAWRENCE,CHRIS",1
08:33,,12,,20 (+8),"GOOD 3PTR by BAK,CALVIN",16BSC-M 12-20 (+8),,"GOOD 3PTR by BAK,CALVIN",1
--,,,,,"ASSIST  by LEWIS,EVAN",,,"ASSIST  by LEWIS,EVAN",1
08:17,"TURNOVER  by EDWARDS,JUSTIN",,,,,,,"TURNOVER  by EDWARDS,JUSTIN",1
07:50,,,,,"MISS LAYUP by GRAHAM,CHRIS",,,"MISS LAYUP by GRAHAM,CHRIS",1
--,,,,,"REBOUND OFF by LEWIS,EVAN",,,"REBOUND OFF by LEWIS,EVAN",1
07:49,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
07:43,,,,,"TURNOVER  by YANCEY,RICH",,,"TURNOVER  by YANCEY,RICH",1
07:42,"STEAL  by PATRICK,DREW",,,,,,,"STEAL  by PATRICK,DREW",1
07:38,"GOOD LAYUP by TURNER,MIKE(in the paint)",14,,20 (+6),,OUM 14-20 (+6),,"GOOD LAYUP by TURNER,MIKE(in the paint)",1
07:14,,14,,22 (+8),"GOOD LAYUP by GRAHAM,CHRIS(in the paint)",16BSC-M 14-22 (+8),,"GOOD LAYUP by GRAHAM,CHRIS(in the paint)",1
07:04,"GOOD JUMPER by LAWRENCE,CHRIS",16,,22 (+6),,OUM 16-22 (+6),,"GOOD JUMPER by LAWRENCE,CHRIS",1
06:43,,,,,"TURNOVER  by YANCEY,RICH",,,"TURNOVER  by YANCEY,RICH",1
06:41,"STEAL  by PATRICK,DREW",,,,,,,"STEAL  by PATRICK,DREW",1
06:36,"MISS LAYUP by EDWARDS,JUSTIN",,,,,,,"MISS LAYUP by EDWARDS,JUSTIN",1
--,,,,,"REBOUND DEF by YANCEY,RICH",,,"REBOUND DEF by YANCEY,RICH",1
06:31,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
06:31,,,,,"SUB IN by GRAHAM,CHRIS",,,"SUB IN by GRAHAM,CHRIS",1
06:31,,,,,"SUB IN by HARDIMAN,BEN",,,"SUB IN by HARDIMAN,BEN",1
06:31,,,,,"SUB IN by THOM,IAN",,,"SUB IN by THOM,IAN",1
06:31,,,,,"SUB IN by MCLEAN,JAMES",,,"SUB IN by MCLEAN,JAMES",1
06:31,,,,,"SUB OUT by RUDAK,MATTY",,,"SUB OUT by RUDAK,MATTY",1
06:31,,,,,"SUB OUT by GRAHAM,CHRIS",,,"SUB OUT by GRAHAM,CHRIS",1
06:31,,,,,"SUB OUT by YANCEY,RICH",,,"SUB OUT by YANCEY,RICH",1
06:31,,,,,"SUB OUT by LEWIS,EVAN",,,"SUB OUT by LEWIS,EVAN",1
06:30,,16,,24 (+8),"GOOD DUNK by GRAHAM,CHRIS(in the paint)",16BSC-M 16-24 (+8),,"GOOD DUNK by GRAHAM,CHRIS(in the paint)",1
--,,,,,"ASSIST  by BAK,CALVIN",,,"ASSIST  by BAK,CALVIN",1
06:13,"MISS 3PTR by PATRICK,DREW",,,,,,,"MISS 3PTR by PATRICK,DREW",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
05:50,,,,,"MISS LAYUP by GRAHAM,CHRIS",,,"MISS LAYUP by GRAHAM,CHRIS",1
--,"REBOUND DEF by INUNGU,TOM",,,,,,,"REBOUND DEF by INUNGU,TOM",1
05:32,,,,,"FOUL  by THOM,IAN",,,"FOUL  by THOM,IAN",1
05:29,,,,,"SUB IN by DENEKA,HARRISON",,,"SUB IN by DENEKA,HARRISON",1
05:29,,,,,"SUB OUT by GRAHAM,CHRIS",,,"SUB OUT by GRAHAM,CHRIS",1
05:04,"GOOD JUMPER by EDWARDS,JUSTIN",18,,24 (+6),,OUM 18-24 (+6),,"GOOD JUMPER by EDWARDS,JUSTIN",1
04:53,,,,,"MISS LAYUP by HARDIMAN,BEN",,,"MISS LAYUP by HARDIMAN,BEN",1
--,"REBOUND DEF by INUNGU,TOM",,,,,,,"REBOUND DEF by INUNGU,TOM",1
04:30,"MISS 3PTR by LAWRENCE,CHRIS",,,,,,,"MISS 3PTR by LAWRENCE,CHRIS",1
--,"REBOUND OFF by PATRICK,DREW",,,,,,,"REBOUND OFF by PATRICK,DREW",1
04:27,"MISS 3PTR by TURNER,MIKE",,,,,,,"MISS 3PTR by TURNER,MIKE",1
--,,,,,"REBOUND DEF by THOM,IAN",,,"REBOUND DEF by THOM,IAN",1
04:04,"FOUL  by LAWRENCE,CHRIS",,,,,,,"FOUL  by LAWRENCE,CHRIS",1
04:04,,18,,25 (+7),"GOOD FT by THOM,IAN",16BSC-M 18-25 (+7),,"GOOD FT by THOM,IAN",1
04:04,,18,,26 (+8),"GOOD FT by THOM,IAN",16BSC-M 18-26 (+8),,"GOOD FT by THOM,IAN",1
04:04,"SUB IN by HUFFMAN,DEVIN",,,,,,,"SUB IN by HUFFMAN,DEVIN",1
04:04,"SUB IN by ANDINO,GEORGE",,,,,,,"SUB IN by ANDINO,GEORGE",1
04:04,"SUB OUT by LAWRENCE,CHRIS",,,,,,,"SUB OUT by LAWRENCE,CHRIS",1
04:04,"SUB OUT by TURNER,MIKE",,,,,,,"SUB OUT by TURNER,MIKE",1
04:04,,,,,"SUB IN by RUDAK,MATTY",,,"SUB IN by RUDAK,MATTY",1
04:04,,,,,"SUB IN by PERKINS,ALEX",,,"SUB IN by PERKINS,ALEX",1
04:04,,,,,"SUB IN by LEWIS,EVAN",,,"SUB IN by LEWIS,EVAN",1
04:04,,,,,"SUB OUT by HARDIMAN,BEN",,,"SUB OUT by HARDIMAN,BEN",1
04:04,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",1
04:04,,,,,"SUB OUT by MCLEAN,JAMES",,,"SUB OUT by MCLEAN,JAMES",1
03:38,"MISS JUMPER by INUNGU,TOM",,,,,,,"MISS JUMPER by INUNGU,TOM",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
03:38,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
03:12,,18,,28 (+10),"GOOD LAYUP by RUDAK,MATTY(in the paint)",16BSC-M 18-28 (+10),,"GOOD LAYUP by RUDAK,MATTY(in the paint)",1
--,,,,,"ASSIST  by LEWIS,EVAN",,,"ASSIST  by LEWIS,EVAN",1
03:12,"FOUL  by INUNGU,TOM",,,,,,,"FOUL  by INUNGU,TOM",1
03:12,,18,,29 (+11),"GOOD FT by RUDAK,MATTY",16BSC-M 18-29 (+11),,"GOOD FT by RUDAK,MATTY",1
03:12,"SUB IN by TURNER,MIKE",,,,,,,"SUB IN by TURNER,MIKE",1
03:12,"SUB OUT by INUNGU,TOM",,,,,,,"SUB OUT by INUNGU,TOM",1
03:01,,,,,"FOUL  by LEWIS,EVAN",,,"FOUL  by LEWIS,EVAN",1
02:58,"MISS 3PTR by PATRICK,DREW",,,,,,,"MISS 3PTR by PATRICK,DREW",1
--,,,,,"REBOUND DEF by DENEKA,HARRISON",,,"REBOUND DEF by DENEKA,HARRISON",1
02:44,,18,,32 (+14),"GOOD 3PTR by THOM,IAN",16BSC-M 18-32 (+14),,"GOOD 3PTR by THOM,IAN",1
--,,,,,"ASSIST  by DENEKA,HARRISON",,,"ASSIST  by DENEKA,HARRISON",1
02:13,"GOOD 3PTR by ANDINO,GEORGE",21,,32 (+11),,OUM 21-32 (+11),,"GOOD 3PTR by ANDINO,GEORGE",1
--,"ASSIST  by EDWARDS,JUSTIN",,,,,,,"ASSIST  by EDWARDS,JUSTIN",1
01:46,,,,,"MISS 3PTR by THOM,IAN",,,"MISS 3PTR by THOM,IAN",1
--,,,,,"REBOUND OFF by DENEKA,HARRISON",,,"REBOUND OFF by DENEKA,HARRISON",1
01:40,,21,,34 (+13),"GOOD TIPIN by DENEKA,HARRISON(in the paint)",16BSC-M 21-34 (+13),,"GOOD TIPIN by DENEKA,HARRISON(in the paint)",1
01:25,"GOOD LAYUP by EDWARDS,JUSTIN(in the paint)",23,,34 (+11),,OUM 23-34 (+11),,"GOOD LAYUP by EDWARDS,JUSTIN(in the paint)",1
01:25,,,,,"FOUL  by PERKINS,ALEX",,,"FOUL  by PERKINS,ALEX",1
01:25,"GOOD FT by EDWARDS,JUSTIN",24,,34 (+10),,OUM 24-34 (+10),,"GOOD FT by EDWARDS,JUSTIN",1
01:25,"SUB IN by MCGRATH,JOSH",,,,,,,"SUB IN by MCGRATH,JOSH",1
01:25,"SUB OUT by HUFFMAN,DEVIN",,,,,,,"SUB OUT by HUFFMAN,DEVIN",1
01:25,,,,,"SUB IN by MCLEAN,JAMES",,,"SUB IN by MCLEAN,JAMES",1
01:25,,,,,"SUB OUT by DENEKA,HARRISON",,,"SUB OUT by DENEKA,HARRISON",1
01:07,,24,,36 (+12),"GOOD LAYUP by RUDAK,MATTY(in the paint)",16BSC-M 24-36 (+12),,"GOOD LAYUP by RUDAK,MATTY(in the paint)",1
01:07,"FOUL  by MCGRATH,JOSH",,,,,,,"FOUL  by MCGRATH,JOSH",1
01:07,,,,,"MISS FT by RUDAK,MATTY",,,"MISS FT by RUDAK,MATTY",1
--,"REBOUND DEF by MCGRATH,JOSH",,,,,,,"REBOUND DEF by MCGRATH,JOSH",1
00:55,"TURNOVER  by PATRICK,DREW",,,,,,,"TURNOVER  by PATRICK,DREW",1
00:54,,,,,"STEAL  by THOM,IAN",,,"STEAL  by THOM,IAN",1
00:52,"FOUL  by PATRICK,DREW",,,,,,,"FOUL  by PATRICK,DREW",1
00:52,,24,,37 (+13),"GOOD FT by THOM,IAN",16BSC-M 24-37 (+13),,"GOOD FT by THOM,IAN",1
00:52,,24,,38 (+14),"GOOD FT by THOM,IAN",16BSC-M 24-38 (+14),,"GOOD FT by THOM,IAN",1
00:52,"SUB IN by BOURDAGE,TAYLOR",,,,,,,"SUB IN by BOURDAGE,TAYLOR",1
00:52,"SUB OUT by MCGRATH,JOSH",,,,,,,"SUB OUT by MCGRATH,JOSH",1
00:37,"MISS JUMPER by EDWARDS,JUSTIN",,,,,,,"MISS JUMPER by EDWARDS,JUSTIN",1
--,,,,,"REBOUND DEF by LEWIS,EVAN",,,"REBOUND DEF by LEWIS,EVAN",1
00:12,,,,,"TURNOVER  by RUDAK,MATTY",,,"TURNOVER  by RUDAK,MATTY",1
00:12,"SUB IN by INUNGU,TOM",,,,,,,"SUB IN by INUNGU,TOM",1
00:12,"SUB OUT by BOURDAGE,TAYLOR",,,,,,,"SUB OUT by BOURDAGE,TAYLOR",1
00:05,"MISS 3PTR by ANDINO,GEORGE",,,,,,,"MISS 3PTR by ANDINO,GEORGE",1
--,,,,,"REBOUND DEF by RUDAK,MATTY",,,"REBOUND DEF by RUDAK,MATTY",1
00:00,,,,,"MISS 3PTR by PERKINS,ALEX",,,"MISS 3PTR by PERKINS,ALEX",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
19:35,"MISS JUMPER by LAWRENCE,CHRIS",,,,,,,"MISS JUMPER by LAWRENCE,CHRIS",2
--,,,,,"REBOUND DEF by LEWIS,EVAN",,,"REBOUND DEF by LEWIS,EVAN",2
19:30,,,,,"MISS JUMPER by DENEKA,HARRISON",,,"MISS JUMPER by DENEKA,HARRISON",2
19:30,"BLOCK  by INUNGU,TOM",,,,,,,"BLOCK  by INUNGU,TOM",2
--,"REBOUND DEF by EDWARDS,JUSTIN",,,,,,,"REBOUND DEF by EDWARDS,JUSTIN",2
19:26,,,,,"FOUL  by THOM,IAN",,,"FOUL  by THOM,IAN",2
19:15,"GOOD LAYUP by INUNGU,TOM(in the paint)",26,,38 (+12),,OUM 26-38 (+12),,"GOOD LAYUP by INUNGU,TOM(in the paint)",2
18:46,,26,,40 (+14),"GOOD JUMPER by THOM,IAN",16BSC-M 26-40 (+14),,"GOOD JUMPER by THOM,IAN",2
18:14,"MISS 3PTR by ANDINO,GEORGE",,,,,,,"MISS 3PTR by ANDINO,GEORGE",2
--,,,,,"REBOUND DEF by THOM,IAN",,,"REBOUND DEF by THOM,IAN",2
18:07,,,,,"TURNOVER  by THOM,IAN",,,"TURNOVER  by THOM,IAN",2
18:05,"STEAL  by EDWARDS,JUSTIN",,,,,,,"STEAL  by EDWARDS,JUSTIN",2
