Time Remaining,MILLSAPS,Away Team Score,Play Team Indicator,Home Team Score,RCMBB13,Game Score,Team Indicator,Play,Period
14:03,"SUB IN by KASTNER,MURRAY",,,,,,,"SUB IN by KASTNER,MURRAY",2
14:03,"SUB OUT by ALLISON,BRANDON",,,,,,,"SUB OUT by ALLISON,BRANDON",2
14:03,"SUB OUT by GILLIGAN,TULLY",,,,,,,"SUB OUT by GILLIGAN,TULLY",2
14:03,"SUB OUT by THOMAS,STERLING",,,,,,,"SUB OUT by THOMAS,STERLING",2
14:03,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",2
14:03,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",2
13:37,"FOUL  by WILSON,KEVIN",,,,,,,"FOUL  by WILSON,KEVIN",2
13:37,,40 (+19),,21,"GOOD FT by HARTWELL,THEO",RCMBB13 40-21 (+19),,"GOOD FT by HARTWELL,THEO",2
13:37,,40 (+18),,22,"GOOD FT by HARTWELL,THEO",RCMBB13 40-22 (+18),,"GOOD FT by HARTWELL,THEO",2
13:12,"MISS JUMPER by BERGER,RYAN",,,,,,,"MISS JUMPER by BERGER,RYAN",2
13:12,,,,,"BLOCK  by HARTWELL,THEO",,,"BLOCK  by HARTWELL,THEO",2
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",2
13:04,,,,,"MISS 3PTR by CHIEN,KEVIN",,,"MISS 3PTR by CHIEN,KEVIN",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
12:59,"SUB IN by GILLIGAN,TULLY",,,,,,,"SUB IN by GILLIGAN,TULLY",2
12:59,"SUB OUT by MOGGED,JEREMY",,,,,,,"SUB OUT by MOGGED,JEREMY",2
12:59,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",2
12:59,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",2
12:43,"MISS JUMPER by CORTESE,NICK",,,,,,,"MISS JUMPER by CORTESE,NICK",2
--,,,,,"REBOUND DEF by CHIEN,KEVIN",,,"REBOUND DEF by CHIEN,KEVIN",2
12:33,,,,,"MISS JUMPER by LIVSEY,GEOFF",,,"MISS JUMPER by LIVSEY,GEOFF",2
12:33,"BLOCK  by GILLIGAN,TULLY",,,,,,,"BLOCK  by GILLIGAN,TULLY",2
--,,,,,"REBOUND OFF by LIVSEY,GEOFF",,,"REBOUND OFF by LIVSEY,GEOFF",2
12:28,,,,,"SUB IN by HARTWELL,THEO",,,"SUB IN by HARTWELL,THEO",2
12:28,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",2
12:11,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",,,"MISS 3PTR by GALLAGHER,MICHAEL",2
--,"REBOUND DEF by GILLIGAN,TULLY",,,,,,,"REBOUND DEF by GILLIGAN,TULLY",2
11:38,"MISS JUMPER by KASTNER,MURRAY",,,,,,,"MISS JUMPER by KASTNER,MURRAY",2
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",2
11:22,,40 (+16),,24,"GOOD JUMPER by HARTWELL,THEO(in the paint)",RCMBB13 40-24 (+16),,"GOOD JUMPER by HARTWELL,THEO(in the paint)",2
11:20,"FOUL  by BERGER,RYAN",,,,,,,"FOUL  by BERGER,RYAN",2
11:20,,,,,"MISS FT by HARTWELL,THEO",,,"MISS FT by HARTWELL,THEO",2
--,"REBOUND DEF by GILLIGAN,TULLY",,,,,,,"REBOUND DEF by GILLIGAN,TULLY",2
10:54,,,,,"FOUL  by WAGNER,MATT",,,"FOUL  by WAGNER,MATT",2
10:54,"SUB IN by ROBERTSON,MARC",,,,,,,"SUB IN by ROBERTSON,MARC",2
10:54,"SUB OUT by WILSON,KEVIN",,,,,,,"SUB OUT by WILSON,KEVIN",2
10:54,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",2
10:54,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",2
10:54,,,,,"SUB OUT by WAGNER,MATT",,,"SUB OUT by WAGNER,MATT",2
10:54,,,,,"SUB OUT by CHIEN,KEVIN",,,"SUB OUT by CHIEN,KEVIN",2
10:26,"MISS 3PTR by ROBERTSON,MARC",,,,,,,"MISS 3PTR by ROBERTSON,MARC",2
--,,,,,"REBOUND DEF by MCGRAIL,PATRICK",,,"REBOUND DEF by MCGRAIL,PATRICK",2
10:15,,40 (+13),,27,"GOOD 3PTR by GALLAGHER,MICHAEL",RCMBB13 40-27 (+13),,"GOOD 3PTR by GALLAGHER,MICHAEL",2
--,,,,,"ASSIST  by LIVSEY,GEOFF",,,"ASSIST  by LIVSEY,GEOFF",2
09:51,"GOOD LAYUP by CORTESE,NICK(in the paint)",42 (+15),,27,,MILLSAPS 42-27 (+15),,"GOOD LAYUP by CORTESE,NICK(in the paint)",2
09:32,,42 (+12),,30,"GOOD 3PTR by MCGRAIL,PATRICK",RCMBB13 42-30 (+12),,"GOOD 3PTR by MCGRAIL,PATRICK",2
--,,,,,"ASSIST  by GALOW,ANDREW",,,"ASSIST  by GALOW,ANDREW",2
09:16,,,,,"FOUL  by MCGRAIL,PATRICK",,,"FOUL  by MCGRAIL,PATRICK",2
09:16,"GOOD FT by CORTESE,NICK",43 (+13),,30,,MILLSAPS 43-30 (+13),,"GOOD FT by CORTESE,NICK",2
09:16,"GOOD FT by CORTESE,NICK",44 (+14),,30,,MILLSAPS 44-30 (+14),,"GOOD FT by CORTESE,NICK",2
09:16,"GOOD FT by CORTESE,NICK",45 (+15),,30,,MILLSAPS 45-30 (+15),,"GOOD FT by CORTESE,NICK",2
09:16,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
09:00,,,,,"MISS 3PTR by MCGRAIL,PATRICK",,,"MISS 3PTR by MCGRAIL,PATRICK",2
--,"REBOUND DEF by BERGER,RYAN",,,,,,,"REBOUND DEF by BERGER,RYAN",2
08:22,"MISS JUMPER by BERGER,RYAN",,,,,,,"MISS JUMPER by BERGER,RYAN",2
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",2
08:12,"FOUL  by ROBERTSON,MARC",,,,,,,"FOUL  by ROBERTSON,MARC",2
08:12,"SUB IN by THOMAS,STERLING",,,,,,,"SUB IN by THOMAS,STERLING",2
08:12,"SUB OUT by ROBERTSON,MARC",,,,,,,"SUB OUT by ROBERTSON,MARC",2
08:03,,,,,"MISS 3PTR by GALOW,ANDREW",,,"MISS 3PTR by GALOW,ANDREW",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
08:01,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",2
07:43,,,,,"FOUL  by GALOW,ANDREW",,,"FOUL  by GALOW,ANDREW",2
07:22,"TURNOVER  by THOMAS,STERLING",,,,,,,"TURNOVER  by THOMAS,STERLING",2
07:21,,,,,"STEAL  by GALLAGHER,MICHAEL",,,"STEAL  by GALLAGHER,MICHAEL",2
07:16,,,,,"MISS 3PTR by MCGRAIL,PATRICK",,,"MISS 3PTR by MCGRAIL,PATRICK",2
--,,,,,"REBOUND OFF by GALOW,ANDREW",,,"REBOUND OFF by GALOW,ANDREW",2
07:10,,45 (+13),,32,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RCMBB13 45-32 (+13),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",2
--,,,,,"ASSIST  by GALOW,ANDREW",,,"ASSIST  by GALOW,ANDREW",2
06:38,"MISS JUMPER by CORTESE,NICK",,,,,,,"MISS JUMPER by CORTESE,NICK",2
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",2
06:30,,,,,"MISS LAYUP by GALOW,ANDREW",,,"MISS LAYUP by GALOW,ANDREW",2
--,"REBOUND DEF by THOMAS,STERLING",,,,,,,"REBOUND DEF by THOMAS,STERLING",2
05:56,"GOOD 3PTR by THOMAS,STERLING",48 (+16),,32,,MILLSAPS 48-32 (+16),,"GOOD 3PTR by THOMAS,STERLING",2
--,"ASSIST  by BERGER,RYAN",,,,,,,"ASSIST  by BERGER,RYAN",2
05:41,,48 (+13),,35,"GOOD 3PTR by MCGRAIL,PATRICK",RCMBB13 48-35 (+13),,"GOOD 3PTR by MCGRAIL,PATRICK",2
--,,,,,"ASSIST  by GALOW,ANDREW",,,"ASSIST  by GALOW,ANDREW",2
05:36,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
05:36,"SUB IN by WILSON,KEVIN",,,,,,,"SUB IN by WILSON,KEVIN",2
05:36,"SUB IN by ROBERTSON,MARC",,,,,,,"SUB IN by ROBERTSON,MARC",2
05:36,"SUB OUT by THOMAS,STERLING",,,,,,,"SUB OUT by THOMAS,STERLING",2
05:36,"SUB OUT by CORTESE,NICK",,,,,,,"SUB OUT by CORTESE,NICK",2
05:36,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",2
05:36,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",2
05:28,"GOOD LAYUP by BERGER,RYAN(in the paint)",50 (+15),,35,,MILLSAPS 50-35 (+15),,"GOOD LAYUP by BERGER,RYAN(in the paint)",2
--,"ASSIST  by WILSON,KEVIN",,,,,,,"ASSIST  by WILSON,KEVIN",2
05:09,"FOUL  by ROBERTSON,MARC",,,,,,,"FOUL  by ROBERTSON,MARC",2
05:09,,50 (+14),,36,"GOOD FT by GALOW,ANDREW",RCMBB13 50-36 (+14),,"GOOD FT by GALOW,ANDREW",2
05:09,,50 (+13),,37,"GOOD FT by GALOW,ANDREW",RCMBB13 50-37 (+13),,"GOOD FT by GALOW,ANDREW",2
05:09,"SUB IN by CORTESE,NICK",,,,,,,"SUB IN by CORTESE,NICK",2
05:09,"SUB OUT by ROBERTSON,MARC",,,,,,,"SUB OUT by ROBERTSON,MARC",2
05:04,"TURNOVER  by CORTESE,NICK",,,,,,,"TURNOVER  by CORTESE,NICK",2
05:03,,,,,"STEAL  by HARTWELL,THEO",,,"STEAL  by HARTWELL,THEO",2
05:01,,50 (+10),,40,"GOOD 3PTR by GALLAGHER,MICHAEL",RCMBB13 50-40 (+10),,"GOOD 3PTR by GALLAGHER,MICHAEL",2
--,,,,,"ASSIST  by HARTWELL,THEO",,,"ASSIST  by HARTWELL,THEO",2
04:53,"MISS JUMPER by BERGER,RYAN",,,,,,,"MISS JUMPER by BERGER,RYAN",2
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",2
04:35,"FOUL  by WILSON,KEVIN",,,,,,,"FOUL  by WILSON,KEVIN",2
04:35,,50 (+9),,41,"GOOD FT by HARTWELL,THEO",RCMBB13 50-41 (+9),,"GOOD FT by HARTWELL,THEO",2
04:35,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
04:35,,50 (+8),,42,"GOOD FT by HARTWELL,THEO",RCMBB13 50-42 (+8),,"GOOD FT by HARTWELL,THEO",2
04:28,,,,,"FOUL  by GALLAGHER,MICHAEL",,,"FOUL  by GALLAGHER,MICHAEL",2
04:28,"GOOD FT by BERGER,RYAN",51 (+9),,42,,MILLSAPS 51-42 (+9),,"GOOD FT by BERGER,RYAN",2
04:28,"GOOD FT by BERGER,RYAN",52 (+10),,42,,MILLSAPS 52-42 (+10),,"GOOD FT by BERGER,RYAN",2
04:12,,,,,"MISS JUMPER by MCGRAIL,PATRICK",,,"MISS JUMPER by MCGRAIL,PATRICK",2
04:12,"BLOCK  by WILSON,KEVIN",,,,,,,"BLOCK  by WILSON,KEVIN",2
--,"REBOUND DEF by BERGER,RYAN",,,,,,,"REBOUND DEF by BERGER,RYAN",2
03:41,"MISS JUMPER by KASTNER,MURRAY",,,,,,,"MISS JUMPER by KASTNER,MURRAY",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
03:28,,52 (+8),,44,"GOOD LAYUP by GALOW,ANDREW(in the paint)",RCMBB13 52-44 (+8),,"GOOD LAYUP by GALOW,ANDREW(in the paint)",2
02:56,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
02:50,"TURNOVER  by WILSON,KEVIN",,,,,,,"TURNOVER  by WILSON,KEVIN",2
02:50,,,,,"STEAL  by HARTWELL,THEO",,,"STEAL  by HARTWELL,THEO",2
02:42,,,,,"MISS JUMPER by GALLAGHER,MICHAEL",,,"MISS JUMPER by GALLAGHER,MICHAEL",2
--,"REBOUND DEF by CORTESE,NICK",,,,,,,"REBOUND DEF by CORTESE,NICK",2
02:40,,,,,"FOUL  by MCGRAIL,PATRICK",,,"FOUL  by MCGRAIL,PATRICK",2
02:40,"MISS FT by CORTESE,NICK",,,,,,,"MISS FT by CORTESE,NICK",2
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",2
02:26,,,,,"MISS 3PTR by GALOW,ANDREW",,,"MISS 3PTR by GALOW,ANDREW",2
--,,,,,"REBOUND OFF by GALOW,ANDREW",,,"REBOUND OFF by GALOW,ANDREW",2
02:14,,,,,"MISS 3PTR by GALOW,ANDREW",,,"MISS 3PTR by GALOW,ANDREW",2
--,"REBOUND DEF by KASTNER,MURRAY",,,,,,,"REBOUND DEF by KASTNER,MURRAY",2
02:10,"TURNOVER  by KASTNER,MURRAY",,,,,,,"TURNOVER  by KASTNER,MURRAY",2
02:08,,,,,"STEAL  by GALOW,ANDREW",,,"STEAL  by GALOW,ANDREW",2
02:07,,52 (+5),,47,"GOOD 3PTR by GALLAGHER,MICHAEL",RCMBB13 52-47 (+5),,"GOOD 3PTR by GALLAGHER,MICHAEL",2
--,,,,,"ASSIST  by MILLER,DREW",,,"ASSIST  by MILLER,DREW",2
02:04,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
02:00,"TURNOVER  by GILLIGAN,TULLY",,,,,,,"TURNOVER  by GILLIGAN,TULLY",2
01:55,,52 (+2),,50,"GOOD 3PTR by MILLER,DREW",RCMBB13 52-50 (+2),,"GOOD 3PTR by MILLER,DREW",2
--,,,,,"ASSIST  by GALOW,ANDREW",,,"ASSIST  by GALOW,ANDREW",2
01:53,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
01:27,"GOOD LAYUP by BERGER,RYAN(in the paint)",54 (+4),,50,,MILLSAPS 54-50 (+4),,"GOOD LAYUP by BERGER,RYAN(in the paint)",2
--,"ASSIST  by CORTESE,NICK",,,,,,,"ASSIST  by CORTESE,NICK",2
01:26,,,,,"FOUL  by HARTWELL,THEO",,,"FOUL  by HARTWELL,THEO",2
01:26,"GOOD FT by BERGER,RYAN",55 (+5),,50,,MILLSAPS 55-50 (+5),,"GOOD FT by BERGER,RYAN",2
01:26,"SUB IN by THOMAS,STERLING",,,,,,,"SUB IN by THOMAS,STERLING",2
01:26,"SUB OUT by WILSON,KEVIN",,,,,,,"SUB OUT by WILSON,KEVIN",2
01:18,,55 (+2),,53,"GOOD 3PTR by MCGRAIL,PATRICK",RCMBB13 55-53 (+2),,"GOOD 3PTR by MCGRAIL,PATRICK",2
--,,,,,"ASSIST  by GALOW,ANDREW",,,"ASSIST  by GALOW,ANDREW",2
00:47,"MISS JUMPER by GILLIGAN,TULLY",,,,,,,"MISS JUMPER by GILLIGAN,TULLY",2
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",2
00:40,"FOUL  by THOMAS,STERLING",,,,,,,"FOUL  by THOMAS,STERLING",2
00:40,,55 (+1),,54,"GOOD FT by GALOW,ANDREW",RCMBB13 55-54 (+1),,"GOOD FT by GALOW,ANDREW",2
00:40,,,,,"MISS FT by GALOW,ANDREW",,,"MISS FT by GALOW,ANDREW",2
--,"REBOUND DEF by CORTESE,NICK",,,,,,,"REBOUND DEF by CORTESE,NICK",2
00:40,"SUB IN by WILSON,KEVIN",,,,,,,"SUB IN by WILSON,KEVIN",2
00:40,"SUB OUT by THOMAS,STERLING",,,,,,,"SUB OUT by THOMAS,STERLING",2
00:40,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",2
00:40,,,,,"SUB OUT by SLEDGE,TATE",,,"SUB OUT by SLEDGE,TATE",2
00:39,,,,,"FOUL  by MILLER,DREW",,,"FOUL  by MILLER,DREW",2
00:39,"GOOD FT by CORTESE,NICK",56 (+2),,54,,MILLSAPS 56-54 (+2),,"GOOD FT by CORTESE,NICK",2
00:39,"GOOD FT by CORTESE,NICK",57 (+3),,54,,MILLSAPS 57-54 (+3),,"GOOD FT by CORTESE,NICK",2
00:39,"SUB IN by ROBERTSON,MARC",,,,,,,"SUB IN by ROBERTSON,MARC",2
00:39,"SUB OUT by BERGER,RYAN",,,,,,,"SUB OUT by BERGER,RYAN",2
00:39,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",2
00:39,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",2
00:17,,57 (+1),,56,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RCMBB13 57-56 (+1),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",2
--,,,,,"ASSIST  by GALOW,ANDREW",,,"ASSIST  by GALOW,ANDREW",2
00:15,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
00:13,,,,,"FOUL  by GALOW,ANDREW",,,"FOUL  by GALOW,ANDREW",2
00:13,"GOOD FT by CORTESE,NICK",58 (+2),,56,,MILLSAPS 58-56 (+2),,"GOOD FT by CORTESE,NICK",2
00:13,"GOOD FT by CORTESE,NICK",59 (+3),,56,,MILLSAPS 59-56 (+3),,"GOOD FT by CORTESE,NICK",2
00:13,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:06,,59 (+1),,58,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RCMBB13 59-58 (+1),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",2
--,,,,,"ASSIST  by GALOW,ANDREW",,,"ASSIST  by GALOW,ANDREW",2
00:01,,,,,"FOUL  by GALOW,ANDREW",,,"FOUL  by GALOW,ANDREW",2
00:01,"GOOD FT by WILSON,KEVIN",60 (+2),,58,,MILLSAPS 60-58 (+2),,"GOOD FT by WILSON,KEVIN",2
00:01,"MISS FT by WILSON,KEVIN",,,,,,,"MISS FT by WILSON,KEVIN",2
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",2
00:01,,,,,FOUL TECH by TEAM,,,FOUL TECH by TEAM,2
00:01,"GOOD FT by CORTESE,NICK",61 (+3),,58,,MILLSAPS 61-58 (+3),,"GOOD FT by CORTESE,NICK",2
00:01,"GOOD FT by CORTESE,NICK",62 (+4),,58,,MILLSAPS 62-58 (+4),,"GOOD FT by CORTESE,NICK",2
00:01,"SUB IN by ALLISON,BRANDON",,,,,,,"SUB IN by ALLISON,BRANDON",2
00:01,"SUB IN by ROBERTSON,MARC",,,,,,,"SUB IN by ROBERTSON,MARC",2
00:01,"SUB IN by BERGER,RYAN",,,,,,,"SUB IN by BERGER,RYAN",2
00:01,"SUB OUT by ROBERTSON,MARC",,,,,,,"SUB OUT by ROBERTSON,MARC",2
00:01,"SUB OUT by BERGER,RYAN",,,,,,,"SUB OUT by BERGER,RYAN",2
00:01,"SUB OUT by ROBERTSON,MARC",,,,,,,"SUB OUT by ROBERTSON,MARC",2
