Time Remaining,ACROOS,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
17:24,,2,,4 (+2),"GOOD JUMPER by BERGER,RYAN",MILLSAPS 2-4 (+2),,"GOOD JUMPER by BERGER,RYAN",1
17:13,"GOOD 3PTR by HANCOCK,JORDAN",5 (+1),,4,,ACROOS 5-4 (-1),,"GOOD 3PTR by HANCOCK,JORDAN",1
17:04,,,,,"MISS 3PTR by CORTESE,NICK",,,"MISS 3PTR by CORTESE,NICK",1
--,"REBOUND DEF by HANCOCK,JORDAN",,,,,,,"REBOUND DEF by HANCOCK,JORDAN",1
16:47,"GOOD 3PTR by OKPALA,RANSOM",8 (+4),,4,,ACROOS 8-4 (-4),,"GOOD 3PTR by OKPALA,RANSOM",1
16:34,,,,,"MISS 3PTR by THOMAS,STERLING",,,"MISS 3PTR by THOMAS,STERLING",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
16:29,"SUB IN by KING,JIMMY",,,,,,,"SUB IN by KING,JIMMY",1
16:29,,,,,"SUB IN by GERCHOW,ALEX",,,"SUB IN by GERCHOW,ALEX",1
16:29,,,,,"SUB IN by GRIFFON,JACKSON",,,"SUB IN by GRIFFON,JACKSON",1
16:29,,,,,"SUB IN by WILSON,KEVIN",,,"SUB IN by WILSON,KEVIN",1
16:29,,,,,"SUB OUT by THOMAS,STERLING",,,"SUB OUT by THOMAS,STERLING",1
16:29,,,,,"SUB OUT by CORTESE,NICK",,,"SUB OUT by CORTESE,NICK",1
16:29,,,,,"SUB OUT by KASTNER,MURRAY",,,"SUB OUT by KASTNER,MURRAY",1
16:19,"MISS 3PTR by ANWARY,AARON",,,,,,,"MISS 3PTR by ANWARY,AARON",1
--,,,,,"REBOUND DEF by KASTNER,MURRAY",,,"REBOUND DEF by KASTNER,MURRAY",1
15:59,,,,,"MISS 3PTR by KASTNER,MURRAY",,,"MISS 3PTR by KASTNER,MURRAY",1
--,"REBOUND DEF by BRYANT,ANDRE",,,,,,,"REBOUND DEF by BRYANT,ANDRE",1
15:42,"GOOD 3PTR by BRYANT,ANDRE",11 (+7),,4,,ACROOS 11-4 (-7),,"GOOD 3PTR by BRYANT,ANDRE",1
--,"ASSIST  by HANCOCK,JORDAN",,,,,,,"ASSIST  by HANCOCK,JORDAN",1
15:38,"SUB OUT by OKPALA,RANSOM",,,,,,,"SUB OUT by OKPALA,RANSOM",1
15:30,,,,,"MISS JUMPER by ALLISON,BRANDON",,,"MISS JUMPER by ALLISON,BRANDON",1
--,"REBOUND DEF by ANWARY,AARON",,,,,,,"REBOUND DEF by ANWARY,AARON",1
15:21,"MISS JUMPER by MICHAEL,ALEN",,,,,,,"MISS JUMPER by MICHAEL,ALEN",1
--,,,,,"REBOUND DEF by GRIFFON,JACKSON",,,"REBOUND DEF by GRIFFON,JACKSON",1
15:04,"FOUL  by BRYANT,ANDRE",,,,,,,"FOUL  by BRYANT,ANDRE",1
15:04,"SUB IN by THOMPSON,ANTOINE",,,,,,,"SUB IN by THOMPSON,ANTOINE",1
15:04,"SUB IN by OKPALA,RANSOM",,,,,,,"SUB IN by OKPALA,RANSOM",1
15:04,"SUB OUT by ANWARY,AARON",,,,,,,"SUB OUT by ANWARY,AARON",1
15:04,"SUB OUT by MICHAEL,ALVIN",,,,,,,"SUB OUT by MICHAEL,ALVIN",1
14:52,,11 (+5),,6,"GOOD JUMPER by GRIFFON,JACKSON",MILLSAPS 11-6 (-5),,"GOOD JUMPER by GRIFFON,JACKSON",1
14:33,"TURNOVER  by BRYANT,ANDRE",,,,,,,"TURNOVER  by BRYANT,ANDRE",1
14:10,,,,,"MISS 3PTR by ROBERTSON,MARC",,,"MISS 3PTR by ROBERTSON,MARC",1
--,"REBOUND DEF by HANCOCK,JORDAN",,,,,,,"REBOUND DEF by HANCOCK,JORDAN",1
13:57,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
13:49,,,,,"FOUL  by WILSON,KEVIN",,,"FOUL  by WILSON,KEVIN",1
13:46,"MISS 3PTR by HANCOCK,JORDAN",,,,,,,"MISS 3PTR by HANCOCK,JORDAN",1
--,,,,,"REBOUND DEF by ALLISON,BRANDON",,,"REBOUND DEF by ALLISON,BRANDON",1
13:33,,,,,"SUB IN by ALLISON,BRANDON",,,"SUB IN by ALLISON,BRANDON",1
13:33,,,,,"SUB IN by CORTESE,NICK",,,"SUB IN by CORTESE,NICK",1
13:33,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",1
13:33,,,,,"SUB OUT by BERGER,RYAN",,,"SUB OUT by BERGER,RYAN",1
13:32,,11 (+3),,8,"GOOD JUMPER by CORTESE,NICK",MILLSAPS 11-8 (-3),,"GOOD JUMPER by CORTESE,NICK",1
13:05,"TURNOVER  by MICHAEL,ALEN",,,,,,,"TURNOVER  by MICHAEL,ALEN",1
12:48,,,,,"MISS 3PTR by GRIFFON,JACKSON",,,"MISS 3PTR by GRIFFON,JACKSON",1
--,"REBOUND DEF by HANCOCK,JORDAN",,,,,,,"REBOUND DEF by HANCOCK,JORDAN",1
12:27,"TURNOVER  by THOMPSON,ANTOINE",,,,,,,"TURNOVER  by THOMPSON,ANTOINE",1
12:27,,,,,"SUB IN by BERGER,RYAN",,,"SUB IN by BERGER,RYAN",1
12:27,,,,,"SUB OUT by WILSON,KEVIN",,,"SUB OUT by WILSON,KEVIN",1
12:11,"FOUL  by HANCOCK,JORDAN",,,,,,,"FOUL  by HANCOCK,JORDAN",1
11:56,,,,,"MISS 3PTR by GRIFFON,JACKSON",,,"MISS 3PTR by GRIFFON,JACKSON",1
--,"REBOUND DEF by THOMPSON,ANTOINE",,,,,,,"REBOUND DEF by THOMPSON,ANTOINE",1
11:43,"MISS 3PTR by ANWARY,AARON",,,,,,,"MISS 3PTR by ANWARY,AARON",1
--,,,,,"REBOUND DEF by GRIFFON,JACKSON",,,"REBOUND DEF by GRIFFON,JACKSON",1
11:25,,11 (+1),,10,"GOOD LAYUP by ROBERTSON,MARC(in the paint)",MILLSAPS 11-10 (-1),,"GOOD LAYUP by ROBERTSON,MARC(in the paint)",1
11:14,"GOOD 3PTR by OKPALA,RANSOM",14 (+4),,10,,ACROOS 14-10 (-4),,"GOOD 3PTR by OKPALA,RANSOM",1
--,"ASSIST  by ANWARY,AARON",,,,,,,"ASSIST  by ANWARY,AARON",1
10:55,,,,,"TURNOVER  by CORTESE,NICK",,,"TURNOVER  by CORTESE,NICK",1
10:53,"STEAL  by HANCOCK,JORDAN",,,,,,,"STEAL  by HANCOCK,JORDAN",1
10:51,,,,,"FOUL  by CORTESE,NICK",,,"FOUL  by CORTESE,NICK",1
10:51,"GOOD FT by OKPALA,RANSOM",15 (+5),,10,,ACROOS 15-10 (-5),,"GOOD FT by OKPALA,RANSOM",1
10:51,"GOOD FT by OKPALA,RANSOM",16 (+6),,10,,ACROOS 16-10 (-6),,"GOOD FT by OKPALA,RANSOM",1
10:51,"SUB IN by HAMPDEN-SMITH,HARRY",,,,,,,"SUB IN by HAMPDEN-SMITH,HARRY",1
10:51,"SUB IN by ANWARY,AARON",,,,,,,"SUB IN by ANWARY,AARON",1
10:51,"SUB IN by GRAHAM,KEVIN",,,,,,,"SUB IN by GRAHAM,KEVIN",1
10:51,"SUB IN by MICHAEL,ALVIN",,,,,,,"SUB IN by MICHAEL,ALVIN",1
10:51,"SUB OUT by HANCOCK,JORDAN",,,,,,,"SUB OUT by HANCOCK,JORDAN",1
10:51,"SUB OUT by MICHAEL,ALEN",,,,,,,"SUB OUT by MICHAEL,ALEN",1
10:51,"SUB OUT by THOMPSON,ANTOINE",,,,,,,"SUB OUT by THOMPSON,ANTOINE",1
10:51,"SUB OUT by KING,JIMMY",,,,,,,"SUB OUT by KING,JIMMY",1
10:51,,,,,"SUB IN by ROBERTSON,MARC",,,"SUB IN by ROBERTSON,MARC",1
10:51,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",1
10:51,,,,,"SUB IN by THOMAS,STERLING",,,"SUB IN by THOMAS,STERLING",1
10:51,,,,,"SUB OUT by ALLISON,BRANDON",,,"SUB OUT by ALLISON,BRANDON",1
10:51,,,,,"SUB OUT by GRIFFON,JACKSON",,,"SUB OUT by GRIFFON,JACKSON",1
10:51,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",1
10:21,"FOUL  by MICHAEL,ALVIN",,,,,,,"FOUL  by MICHAEL,ALVIN",1
10:21,,16 (+5),,11,"GOOD FT by GILLIGAN,TULLY",MILLSAPS 16-11 (-5),,"GOOD FT by GILLIGAN,TULLY",1
10:21,,16 (+4),,12,"GOOD FT by GILLIGAN,TULLY",MILLSAPS 16-12 (-4),,"GOOD FT by GILLIGAN,TULLY",1
09:56,,,,,"FOUL  by GILLIGAN,TULLY",,,"FOUL  by GILLIGAN,TULLY",1
09:56,"MISS FT by MICHAEL,ALVIN",,,,,,,"MISS FT by MICHAEL,ALVIN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
09:56,"MISS FT by MICHAEL,ALVIN",,,,,,,"MISS FT by MICHAEL,ALVIN",1
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",1
09:56,"SUB IN by MICHAEL,ALEN",,,,,,,"SUB IN by MICHAEL,ALEN",1
09:56,"SUB OUT by HAMPDEN-SMITH,HARRY",,,,,,,"SUB OUT by HAMPDEN-SMITH,HARRY",1
09:56,,,,,"SUB IN by KASTNER,MURRAY",,,"SUB IN by KASTNER,MURRAY",1
09:56,,,,,"SUB OUT by CORTESE,NICK",,,"SUB OUT by CORTESE,NICK",1
09:43,,16 (+2),,14,"GOOD LAYUP by BERGER,RYAN(in the paint)",MILLSAPS 16-14 (-2),,"GOOD LAYUP by BERGER,RYAN(in the paint)",1
--,,,,,"ASSIST  by KASTNER,MURRAY",,,"ASSIST  by KASTNER,MURRAY",1
09:43,"FOUL  by OKPALA,RANSOM",,,,,,,"FOUL  by OKPALA,RANSOM",1
09:43,,,,,"MISS FT by BERGER,RYAN",,,"MISS FT by BERGER,RYAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
09:36,"TURNOVER  by OKPALA,RANSOM",,,,,,,"TURNOVER  by OKPALA,RANSOM",1
09:36,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
09:21,,16,,16,"GOOD JUMPER by KASTNER,MURRAY",MILLSAPS 16-16 (0),,"GOOD JUMPER by KASTNER,MURRAY",1
--,,,,,"ASSIST  by GILLIGAN,TULLY",,,"ASSIST  by GILLIGAN,TULLY",1
08:50,"MISS JUMPER by GRAHAM,KEVIN",,,,,,,"MISS JUMPER by GRAHAM,KEVIN",1
--,"REBOUND OFF by MICHAEL,ALEN",,,,,,,"REBOUND OFF by MICHAEL,ALEN",1
08:43,,,,,"FOUL  by GILLIGAN,TULLY",,,"FOUL  by GILLIGAN,TULLY",1
08:43,"GOOD FT by MICHAEL,ALEN",17 (+1),,16,,ACROOS 17-16 (-1),,"GOOD FT by MICHAEL,ALEN",1
08:43,"MISS FT by MICHAEL,ALEN",,,,,,,"MISS FT by MICHAEL,ALEN",1
--,"REBOUND OFF by HANCOCK,JORDAN",,,,,,,"REBOUND OFF by HANCOCK,JORDAN",1
08:43,"SUB IN by HANCOCK,JORDAN",,,,,,,"SUB IN by HANCOCK,JORDAN",1
08:43,"SUB OUT by OKPALA,RANSOM",,,,,,,"SUB OUT by OKPALA,RANSOM",1
08:43,,,,,"SUB IN by WILSON,KEVIN",,,"SUB IN by WILSON,KEVIN",1
08:43,,,,,"SUB IN by CORTESE,NICK",,,"SUB IN by CORTESE,NICK",1
08:43,,,,,"SUB OUT by ROBERTSON,MARC",,,"SUB OUT by ROBERTSON,MARC",1
08:43,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",1
08:42,"TURNOVER  by HANCOCK,JORDAN",,,,,,,"TURNOVER  by HANCOCK,JORDAN",1
08:34,,,,,"MISS 3PTR by WILSON,KEVIN",,,"MISS 3PTR by WILSON,KEVIN",1
--,,,,,"REBOUND OFF by KASTNER,MURRAY",,,"REBOUND OFF by KASTNER,MURRAY",1
08:27,,,,,"TURNOVER  by BERGER,RYAN",,,"TURNOVER  by BERGER,RYAN",1
08:06,"MISS LAYUP by HANCOCK,JORDAN",,,,,,,"MISS LAYUP by HANCOCK,JORDAN",1
--,"REBOUND OFF by PHILLIPS,WALTER",,,,,,,"REBOUND OFF by PHILLIPS,WALTER",1
08:00,"TURNOVER  by PHILLIPS,WALTER",,,,,,,"TURNOVER  by PHILLIPS,WALTER",1
07:59,,,,,"STEAL  by CORTESE,NICK",,,"STEAL  by CORTESE,NICK",1
07:58,,,,,"SUB IN by GRIFFON,JACKSON",,,"SUB IN by GRIFFON,JACKSON",1
07:58,,,,,"SUB OUT by THOMAS,STERLING",,,"SUB OUT by THOMAS,STERLING",1
07:38,,,,,"MISS JUMPER by CORTESE,NICK",,,"MISS JUMPER by CORTESE,NICK",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
07:34,"FOUL  by GRAHAM,KEVIN",,,,,,,"FOUL  by GRAHAM,KEVIN",1
07:34,"SUB IN by OKPALA,RANSOM",,,,,,,"SUB IN by OKPALA,RANSOM",1
07:34,"SUB OUT by GRAHAM,KEVIN",,,,,,,"SUB OUT by GRAHAM,KEVIN",1
07:23,,,,,"MISS LAYUP by BERGER,RYAN",,,"MISS LAYUP by BERGER,RYAN",1
--,"REBOUND DEF by MICHAEL,ALVIN",,,,,,,"REBOUND DEF by MICHAEL,ALVIN",1
07:05,"MISS JUMPER by OKPALA,RANSOM",,,,,,,"MISS JUMPER by OKPALA,RANSOM",1
--,,,,,"REBOUND DEF by WILSON,KEVIN",,,"REBOUND DEF by WILSON,KEVIN",1
06:58,"FOUL  by OKPALA,RANSOM",,,,,,,"FOUL  by OKPALA,RANSOM",1
06:58,"SUB IN by BRYANT,ANDRE",,,,,,,"SUB IN by BRYANT,ANDRE",1
06:58,"SUB OUT by OKPALA,RANSOM",,,,,,,"SUB OUT by OKPALA,RANSOM",1
06:35,,,,,"MISS JUMPER by CORTESE,NICK",,,"MISS JUMPER by CORTESE,NICK",1
--,,,,,"REBOUND OFF by BERGER,RYAN",,,"REBOUND OFF by BERGER,RYAN",1
06:33,"FOUL  by MICHAEL,ALEN",,,,,,,"FOUL  by MICHAEL,ALEN",1
06:33,,,,,"MISS FT by BERGER,RYAN",,,"MISS FT by BERGER,RYAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
06:33,,17,,17,"GOOD FT by BERGER,RYAN",MILLSAPS 17-17 (0),,"GOOD FT by BERGER,RYAN",1
06:33,"SUB IN by THOMPSON,ANTOINE",,,,,,,"SUB IN by THOMPSON,ANTOINE",1
06:33,"SUB OUT by MICHAEL,ALVIN",,,,,,,"SUB OUT by MICHAEL,ALVIN",1
06:25,"TURNOVER  by HANCOCK,JORDAN",,,,,,,"TURNOVER  by HANCOCK,JORDAN",1
06:23,,,,,"STEAL  by WILSON,KEVIN",,,"STEAL  by WILSON,KEVIN",1
06:17,,,,,"MISS 3PTR by CORTESE,NICK",,,"MISS 3PTR by CORTESE,NICK",1
--,,,,,"REBOUND OFF by KASTNER,MURRAY",,,"REBOUND OFF by KASTNER,MURRAY",1
06:10,,,,,"TURNOVER  by GRIFFON,JACKSON",,,"TURNOVER  by GRIFFON,JACKSON",1
05:52,"MISS 3PTR by ANWARY,AARON",,,,,,,"MISS 3PTR by ANWARY,AARON",1
--,,,,,"REBOUND DEF by WILSON,KEVIN",,,"REBOUND DEF by WILSON,KEVIN",1
05:39,,,,,"MISS LAYUP by BERGER,RYAN",,,"MISS LAYUP by BERGER,RYAN",1
--,,,,,"REBOUND OFF by BERGER,RYAN",,,"REBOUND OFF by BERGER,RYAN",1
05:36,,17,,19 (+2),"GOOD LAYUP by BERGER,RYAN(in the paint)",MILLSAPS 17-19 (+2),,"GOOD LAYUP by BERGER,RYAN(in the paint)",1
05:22,"TURNOVER  by HANCOCK,JORDAN",,,,,,,"TURNOVER  by HANCOCK,JORDAN",1
05:22,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
05:22,,,,,"SUB IN by ALLISON,BRANDON",,,"SUB IN by ALLISON,BRANDON",1
05:22,,,,,"SUB OUT by BERGER,RYAN",,,"SUB OUT by BERGER,RYAN",1
05:10,,,,,"FOUL  by CORTESE,NICK",,,"FOUL  by CORTESE,NICK",1
04:54,"MISS 3PTR by HANCOCK,JORDAN",,,,,,,"MISS 3PTR by HANCOCK,JORDAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
04:40,"MISS JUMPER by THOMPSON,ANTOINE",,,,,,,"MISS JUMPER by THOMPSON,ANTOINE",1
--,"REBOUND OFF by THOMPSON,ANTOINE",,,,,,,"REBOUND OFF by THOMPSON,ANTOINE",1
04:36,,,,,"FOUL  by WILSON,KEVIN",,,"FOUL  by WILSON,KEVIN",1
04:36,"SUB IN by OKPALA,RANSOM",,,,,,,"SUB IN by OKPALA,RANSOM",1
04:36,"SUB OUT by ANWARY,AARON",,,,,,,"SUB OUT by ANWARY,AARON",1
04:36,,,,,"SUB IN by ROBERTSON,MARC",,,"SUB IN by ROBERTSON,MARC",1
04:36,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",1
04:36,,,,,"SUB OUT by WILSON,KEVIN",,,"SUB OUT by WILSON,KEVIN",1
04:36,,,,,"SUB OUT by CORTESE,NICK",,,"SUB OUT by CORTESE,NICK",1
04:20,"GOOD JUMPER by THOMPSON,ANTOINE",19,,19,,ACROOS 19-19 (0),,"GOOD JUMPER by THOMPSON,ANTOINE",1
04:06,,,,,"MISS JUMPER by KASTNER,MURRAY",,,"MISS JUMPER by KASTNER,MURRAY",1
--,,,,,"REBOUND OFF by KASTNER,MURRAY",,,"REBOUND OFF by KASTNER,MURRAY",1
04:06,"FOUL  by OKPALA,RANSOM",,,,,,,"FOUL  by OKPALA,RANSOM",1
04:06,,19,,20 (+1),"GOOD FT by KASTNER,MURRAY",MILLSAPS 19-20 (+1),,"GOOD FT by KASTNER,MURRAY",1
04:06,,19,,21 (+2),"GOOD FT by KASTNER,MURRAY",MILLSAPS 19-21 (+2),,"GOOD FT by KASTNER,MURRAY",1
04:06,"SUB IN by KING,JIMMY",,,,,,,"SUB IN by KING,JIMMY",1
04:06,"SUB OUT by OKPALA,RANSOM",,,,,,,"SUB OUT by OKPALA,RANSOM",1
03:45,"GOOD 3PTR by KING,JIMMY",22 (+1),,21,,ACROOS 22-21 (-1),,"GOOD 3PTR by KING,JIMMY",1
--,"ASSIST  by HANCOCK,JORDAN",,,,,,,"ASSIST  by HANCOCK,JORDAN",1
03:23,,22,,23 (+1),"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",MILLSAPS 22-23 (+1),,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",1
--,,,,,"ASSIST  by ROBERTSON,MARC",,,"ASSIST  by ROBERTSON,MARC",1
03:07,"GOOD 3PTR by HANCOCK,JORDAN",25 (+2),,23,,ACROOS 25-23 (-2),,"GOOD 3PTR by HANCOCK,JORDAN",1
--,"ASSIST  by BRYANT,ANDRE",,,,,,,"ASSIST  by BRYANT,ANDRE",1
02:46,,,,,"MISS 3PTR by GRIFFON,JACKSON",,,"MISS 3PTR by GRIFFON,JACKSON",1
--,,,,,"REBOUND OFF by ROBERTSON,MARC",,,"REBOUND OFF by ROBERTSON,MARC",1
02:26,"SUB IN by ANWARY,AARON",,,,,,,"SUB IN by ANWARY,AARON",1
02:26,"SUB IN by MICHAEL,ALVIN",,,,,,,"SUB IN by MICHAEL,ALVIN",1
02:26,"SUB OUT by MICHAEL,ALEN",,,,,,,"SUB OUT by MICHAEL,ALEN",1
02:26,"SUB OUT by BRYANT,ANDRE",,,,,,,"SUB OUT by BRYANT,ANDRE",1
02:26,,,,,"SUB IN by BERGER,RYAN",,,"SUB IN by BERGER,RYAN",1
02:26,,,,,"SUB IN by THOMAS,STERLING",,,"SUB IN by THOMAS,STERLING",1
02:26,,,,,"SUB OUT by GRIFFON,JACKSON",,,"SUB OUT by GRIFFON,JACKSON",1
02:26,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",1
02:22,,,,,"TURNOVER  by ROBERTSON,MARC",,,"TURNOVER  by ROBERTSON,MARC",1
02:22,"SUB IN by HAMPDEN-SMITH,HARRY",,,,,,,"SUB IN by HAMPDEN-SMITH,HARRY",1
02:22,"SUB OUT by MICHAEL,ALVIN",,,,,,,"SUB OUT by MICHAEL,ALVIN",1
01:50,"MISS 3PTR by KING,JIMMY",,,,,,,"MISS 3PTR by KING,JIMMY",1
--,"REBOUND OFF by KING,JIMMY",,,,,,,"REBOUND OFF by KING,JIMMY",1
01:46,,,,,"FOUL  by ROBERTSON,MARC",,,"FOUL  by ROBERTSON,MARC",1
01:46,"GOOD FT by KING,JIMMY",26 (+3),,23,,ACROOS 26-23 (-3),,"GOOD FT by KING,JIMMY",1
01:46,"MISS FT by KING,JIMMY",,,,,,,"MISS FT by KING,JIMMY",1
--,,,,,"REBOUND DEF by ALLISON,BRANDON",,,"REBOUND DEF by ALLISON,BRANDON",1
01:46,"SUB IN by MICHAEL,ALVIN",,,,,,,"SUB IN by MICHAEL,ALVIN",1
01:46,"SUB OUT by THOMPSON,ANTOINE",,,,,,,"SUB OUT by THOMPSON,ANTOINE",1
01:34,"FOUL  by ANWARY,AARON",,,,,,,"FOUL  by ANWARY,AARON",1
01:34,,,,,"MISS FT by THOMAS,STERLING",,,"MISS FT by THOMAS,STERLING",1
--,"REBOUND DEF by THOMPSON,ANTOINE",,,,,,,"REBOUND DEF by THOMPSON,ANTOINE",1
01:34,"SUB IN by THOMPSON,ANTOINE",,,,,,,"SUB IN by THOMPSON,ANTOINE",1
01:34,"SUB OUT by MICHAEL,ALVIN",,,,,,,"SUB OUT by MICHAEL,ALVIN",1
01:33,,,,,"FOUL  by ALLISON,BRANDON",,,"FOUL  by ALLISON,BRANDON",1
01:33,"GOOD FT by THOMPSON,ANTOINE",27 (+4),,23,,ACROOS 27-23 (-4),,"GOOD FT by THOMPSON,ANTOINE",1
01:33,"GOOD FT by THOMPSON,ANTOINE",28 (+5),,23,,ACROOS 28-23 (-5),,"GOOD FT by THOMPSON,ANTOINE",1
01:33,"SUB IN by MICHAEL,ALVIN",,,,,,,"SUB IN by MICHAEL,ALVIN",1
01:33,"SUB OUT by THOMPSON,ANTOINE",,,,,,,"SUB OUT by THOMPSON,ANTOINE",1
01:17,,,,,"TURNOVER  by BERGER,RYAN",,,"TURNOVER  by BERGER,RYAN",1
01:15,"STEAL  by ANWARY,AARON",,,,,,,"STEAL  by ANWARY,AARON",1
01:11,"SUB IN by MICHAEL,ALEN",,,,,,,"SUB IN by MICHAEL,ALEN",1
01:11,"SUB IN by THOMPSON,ANTOINE",,,,,,,"SUB IN by THOMPSON,ANTOINE",1
01:11,"SUB OUT by HAMPDEN-SMITH,HARRY",,,,,,,"SUB OUT by HAMPDEN-SMITH,HARRY",1
01:11,"SUB OUT by MICHAEL,ALVIN",,,,,,,"SUB OUT by MICHAEL,ALVIN",1
01:07,,,,,"FOUL  by ROBERTSON,MARC",,,"FOUL  by ROBERTSON,MARC",1
01:06,"GOOD FT by HANCOCK,JORDAN",29 (+6),,23,,ACROOS 29-23 (-6),,"GOOD FT by HANCOCK,JORDAN",1
01:06,"GOOD FT by HANCOCK,JORDAN",30 (+7),,23,,ACROOS 30-23 (-7),,"GOOD FT by HANCOCK,JORDAN",1
01:06,"SUB IN by MICHAEL,ALVIN",,,,,,,"SUB IN by MICHAEL,ALVIN",1
01:06,"SUB IN by HAMPDEN-SMITH,HARRY",,,,,,,"SUB IN by HAMPDEN-SMITH,HARRY",1
01:06,"SUB OUT by THOMPSON,ANTOINE",,,,,,,"SUB OUT by THOMPSON,ANTOINE",1
01:06,"SUB OUT by MICHAEL,ALEN",,,,,,,"SUB OUT by MICHAEL,ALEN",1
01:06,,,,,"SUB IN by CORTESE,NICK",,,"SUB IN by CORTESE,NICK",1
01:06,,,,,"SUB OUT by ROBERTSON,MARC",,,"SUB OUT by ROBERTSON,MARC",1
00:47,,,,,"MISS JUMPER by ALLISON,BRANDON",,,"MISS JUMPER by ALLISON,BRANDON",1
--,,,,,"REBOUND OFF by KASTNER,MURRAY",,,"REBOUND OFF by KASTNER,MURRAY",1
00:43,"FOUL  by KING,JIMMY",,,,,,,"FOUL  by KING,JIMMY",1
