Time Remaining,MSPS-M,Away Team Score,Play Team Indicator,Home Team Score,AC-M,Game Score,Team Indicator,Play,Period
11:20,"STEAL  by BERGER,RYAN",,,,,,,"STEAL  by BERGER,RYAN",1
11:07,"MISS LAYUP by GILLIGAN,TULLY",,,,,,,"MISS LAYUP by GILLIGAN,TULLY",1
--,"REBOUND DEF by KASTNER,MURRAY",,,,,,,"REBOUND DEF by KASTNER,MURRAY",1
11:01,,12,,18 (+6),"GOOD LAYUP by GRAHAM,KEVIN(in the paint)",AC-M 12-18 (-6),,"GOOD LAYUP by GRAHAM,KEVIN(in the paint)",1
--,,,,,"ASSIST  by THOMPSON,ANTOINE",,,"ASSIST  by THOMPSON,ANTOINE",1
10:30,"MISS LAYUP by MEADES,TAYLOR",,,,,,,"MISS LAYUP by MEADES,TAYLOR",1
--,,,,,"REBOUND DEF by THOMPSON,ANTOINE",,,"REBOUND DEF by THOMPSON,ANTOINE",1
10:19,,,,,"MISS JUMPER by CASTLE,COLTON",,,"MISS JUMPER by CASTLE,COLTON",1
--,"REBOUND DEF by THOMAS,STERLING",,,,,,,"REBOUND DEF by THOMAS,STERLING",1
09:55,,,,,"FOUL  by ANWARY,AARON",,,"FOUL  by ANWARY,AARON",1
09:51,"GOOD LAYUP by ALLISON,BRANDON(in the paint)",14,,18 (+4),,MSPS-M 14-18 (-4),,"GOOD LAYUP by ALLISON,BRANDON(in the paint)",1
--,"ASSIST  by KASTNER,MURRAY",,,,,,,"ASSIST  by KASTNER,MURRAY",1
09:41,,,,,"MISS JUMPER by OKPALA,RANSOM",,,"MISS JUMPER by OKPALA,RANSOM",1
--,,,,,"REBOUND OFF by MICHAEL,ALEN",,,"REBOUND OFF by MICHAEL,ALEN",1
09:38,,,,,"MISS LAYUP by MICHAEL,ALEN",,,"MISS LAYUP by MICHAEL,ALEN",1
--,"REBOUND DEF by KASTNER,MURRAY",,,,,,,"REBOUND DEF by KASTNER,MURRAY",1
09:25,,,,,"FOUL  by MICHAEL,ALEN",,,"FOUL  by MICHAEL,ALEN",1
09:14,"TURNOVER  by ALLISON,BRANDON",,,,,,,"TURNOVER  by ALLISON,BRANDON",1
08:52,,,,,"TURNOVER  by MICHAEL,ALEN",,,"TURNOVER  by MICHAEL,ALEN",1
08:51,"STEAL  by THOMAS,STERLING",,,,,,,"STEAL  by THOMAS,STERLING",1
08:47,"TURNOVER  by THOMAS,STERLING",,,,,,,"TURNOVER  by THOMAS,STERLING",1
08:47,"FOUL  by THOMAS,STERLING",,,,,,,"FOUL  by THOMAS,STERLING",1
08:34,,,,,"MISS 3PTR by PHILLIPS,WALTER",,,"MISS 3PTR by PHILLIPS,WALTER",1
--,"REBOUND DEF by CORTESE,NICK",,,,,,,"REBOUND DEF by CORTESE,NICK",1
07:58,"MISS 3PTR by CORTESE,NICK",,,,,,,"MISS 3PTR by CORTESE,NICK",1
--,"REBOUND OFF by ALLISON,BRANDON",,,,,,,"REBOUND OFF by ALLISON,BRANDON",1
07:54,"GOOD LAYUP by ALLISON,BRANDON(in the paint)",16,,18 (+2),,MSPS-M 16-18 (-2),,"GOOD LAYUP by ALLISON,BRANDON(in the paint)",1
07:40,,,,,"MISS JUMPER by HANCOCK,JORDAN",,,"MISS JUMPER by HANCOCK,JORDAN",1
--,"REBOUND DEF by THOMAS,STERLING",,,,,,,"REBOUND DEF by THOMAS,STERLING",1
07:34,"TURNOVER  by CORTESE,NICK",,,,,,,"TURNOVER  by CORTESE,NICK",1
07:31,,,,,"STEAL  by HANCOCK,JORDAN",,,"STEAL  by HANCOCK,JORDAN",1
07:30,"FOUL  by CORTESE,NICK",,,,,,,"FOUL  by CORTESE,NICK",1
07:30,,16,,19 (+3),"GOOD FT by OKPALA,RANSOM",AC-M 16-19 (-3),,"GOOD FT by OKPALA,RANSOM",1
07:30,,,,,"MISS FT by OKPALA,RANSOM",,,"MISS FT by OKPALA,RANSOM",1
--,"REBOUND DEF by ALLISON,BRANDON",,,,,,,"REBOUND DEF by ALLISON,BRANDON",1
07:19,,,,,"FOUL  by HANCOCK,JORDAN",,,"FOUL  by HANCOCK,JORDAN",1
07:00,"TURNOVER  by ALLISON,BRANDON",,,,,,,"TURNOVER  by ALLISON,BRANDON",1
06:59,,,,,"STEAL  by MICHAEL,ALEN",,,"STEAL  by MICHAEL,ALEN",1
06:54,,,,,"TURNOVER  by MICHAEL,ALEN",,,"TURNOVER  by MICHAEL,ALEN",1
06:53,"STEAL  by GILLIGAN,TULLY",,,,,,,"STEAL  by GILLIGAN,TULLY",1
06:42,"GOOD LAYUP by MEADES,TAYLOR(in the paint)",18,,19 (+1),,MSPS-M 18-19 (-1),,"GOOD LAYUP by MEADES,TAYLOR(in the paint)",1
--,"ASSIST  by GILLIGAN,TULLY",,,,,,,"ASSIST  by GILLIGAN,TULLY",1
06:36,,18,,21 (+3),"GOOD LAYUP by PHILLIPS,WALTER(in the paint)",AC-M 18-21 (-3),,"GOOD LAYUP by PHILLIPS,WALTER(in the paint)",1
06:14,"MISS 3PTR by MEADES,TAYLOR",,,,,,,"MISS 3PTR by MEADES,TAYLOR",1
--,"REBOUND OFF by ALLISON,BRANDON",,,,,,,"REBOUND OFF by ALLISON,BRANDON",1
06:07,"TURNOVER  by THOMAS,STERLING",,,,,,,"TURNOVER  by THOMAS,STERLING",1
06:06,,,,,"STEAL  by THOMPSON,ANTOINE",,,"STEAL  by THOMPSON,ANTOINE",1
06:00,,,,,"MISS 3PTR by OKPALA,RANSOM",,,"MISS 3PTR by OKPALA,RANSOM",1
--,,,,,"REBOUND OFF by THOMPSON,ANTOINE",,,"REBOUND OFF by THOMPSON,ANTOINE",1
05:54,"FOUL  by ALLISON,BRANDON",,,,,,,"FOUL  by ALLISON,BRANDON",1
05:54,,,,,"MISS FT by THOMPSON,ANTOINE",,,"MISS FT by THOMPSON,ANTOINE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
05:54,,18,,22 (+4),"GOOD FT by THOMPSON,ANTOINE",AC-M 18-22 (-4),,"GOOD FT by THOMPSON,ANTOINE",1
05:38,"MISS 3PTR by MEADES,TAYLOR",,,,,,,"MISS 3PTR by MEADES,TAYLOR",1
--,"REBOUND OFF by ALLISON,BRANDON",,,,,,,"REBOUND OFF by ALLISON,BRANDON",1
05:16,,,,,"FOUL  by MICHAEL,ALVIN",,,"FOUL  by MICHAEL,ALVIN",1
05:16,"GOOD FT by GILLIGAN,TULLY",19,,22 (+3),,MSPS-M 19-22 (-3),,"GOOD FT by GILLIGAN,TULLY",1
05:16,"MISS FT by GILLIGAN,TULLY",,,,,,,"MISS FT by GILLIGAN,TULLY",1
--,,,,,"REBOUND DEF by PHILLIPS,WALTER",,,"REBOUND DEF by PHILLIPS,WALTER",1
05:09,,,,,"TURNOVER  by THOMPSON,ANTOINE",,,"TURNOVER  by THOMPSON,ANTOINE",1
04:50,"GOOD LAYUP by BERGER,RYAN(in the paint)",21,,22 (+1),,MSPS-M 21-22 (-1),,"GOOD LAYUP by BERGER,RYAN(in the paint)",1
--,"ASSIST  by CORTESE,NICK",,,,,,,"ASSIST  by CORTESE,NICK",1
04:29,,,,,"TURNOVER  by THOMPSON,ANTOINE",,,"TURNOVER  by THOMPSON,ANTOINE",1
04:29,"STEAL  by ALLISON,BRANDON",,,,,,,"STEAL  by ALLISON,BRANDON",1
04:01,"TURNOVER  by BERGER,RYAN",,,,,,,"TURNOVER  by BERGER,RYAN",1
04:01,,,,,"STEAL  by MICHAEL,ALEN",,,"STEAL  by MICHAEL,ALEN",1
03:36,,,,,"MISS 3PTR by ANWARY,AARON",,,"MISS 3PTR by ANWARY,AARON",1
--,,,,,"REBOUND OFF by MICHAEL,ALEN",,,"REBOUND OFF by MICHAEL,ALEN",1
03:30,,,,,"MISS TIPIN by MICHAEL,ALEN",,,"MISS TIPIN by MICHAEL,ALEN",1
--,"REBOUND DEF by ALLISON,BRANDON",,,,,,,"REBOUND DEF by ALLISON,BRANDON",1
03:29,,,,,"FOUL  by PHILLIPS,WALTER",,,"FOUL  by PHILLIPS,WALTER",1
03:29,"MISS FT by ALLISON,BRANDON",,,,,,,"MISS FT by ALLISON,BRANDON",1
--,,,,,"REBOUND DEF by PHILLIPS,WALTER",,,"REBOUND DEF by PHILLIPS,WALTER",1
03:09,,21,,25 (+4),"GOOD 3PTR by GRAHAM,KEVIN",AC-M 21-25 (-4),,"GOOD 3PTR by GRAHAM,KEVIN",1
--,,,,,"ASSIST  by ANWARY,AARON",,,"ASSIST  by ANWARY,AARON",1
02:48,"MISS JUMPER by ALLISON,BRANDON",,,,,,,"MISS JUMPER by ALLISON,BRANDON",1
--,,,,,"REBOUND DEF by PHILLIPS,WALTER",,,"REBOUND DEF by PHILLIPS,WALTER",1
02:39,,21,,27 (+6),"GOOD JUMPER by OKPALA,RANSOM(in the paint)",AC-M 21-27 (-6),,"GOOD JUMPER by OKPALA,RANSOM(in the paint)",1
--,,,,,"ASSIST  by ANWARY,AARON",,,"ASSIST  by ANWARY,AARON",1
02:33,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
02:18,"TURNOVER  by KASTNER,MURRAY",,,,,,,"TURNOVER  by KASTNER,MURRAY",1
02:17,,,,,"STEAL  by GRAHAM,KEVIN",,,"STEAL  by GRAHAM,KEVIN",1
02:12,,21,,29 (+8),"GOOD LAYUP by MICHAEL,ALEN(in the paint)",AC-M 21-29 (-8),,"GOOD LAYUP by MICHAEL,ALEN(in the paint)",1
--,,,,,"ASSIST  by THOMPSON,ANTOINE",,,"ASSIST  by THOMPSON,ANTOINE",1
01:50,"MISS 3PTR by GRIFFON,JACKSON",,,,,,,"MISS 3PTR by GRIFFON,JACKSON",1
--,,,,,"REBOUND DEF by OKPALA,RANSOM",,,"REBOUND DEF by OKPALA,RANSOM",1
01:40,,,,,"MISS 3PTR by OKPALA,RANSOM",,,"MISS 3PTR by OKPALA,RANSOM",1
--,,,,,"REBOUND OFF by OKPALA,RANSOM",,,"REBOUND OFF by OKPALA,RANSOM",1
01:36,,,,,"MISS JUMPER by OKPALA,RANSOM",,,"MISS JUMPER by OKPALA,RANSOM",1
--,,,,,"REBOUND OFF by THOMPSON,ANTOINE",,,"REBOUND OFF by THOMPSON,ANTOINE",1
01:11,,,,,"FOUL  by THOMPSON,ANTOINE",,,"FOUL  by THOMPSON,ANTOINE",1
01:11,,,,,"TURNOVER  by THOMPSON,ANTOINE",,,"TURNOVER  by THOMPSON,ANTOINE",1
00:53,"MISS 3PTR by MEADES,TAYLOR",,,,,,,"MISS 3PTR by MEADES,TAYLOR",1
--,,,,,"REBOUND DEF by THOMPSON,ANTOINE",,,"REBOUND DEF by THOMPSON,ANTOINE",1
00:49,"FOUL  by WILSON,KEVIN",,,,,,,"FOUL  by WILSON,KEVIN",1
00:48,,21,,30 (+9),"GOOD FT by OKPALA,RANSOM",AC-M 21-30 (-9),,"GOOD FT by OKPALA,RANSOM",1
00:48,,21,,31 (+10),"GOOD FT by OKPALA,RANSOM",AC-M 21-31 (-10),,"GOOD FT by OKPALA,RANSOM",1
00:34,"GOOD LAYUP by ALLISON,BRANDON(in the paint)",23,,31 (+8),,MSPS-M 23-31 (-8),,"GOOD LAYUP by ALLISON,BRANDON(in the paint)",1
00:09,,23,,33 (+10),"GOOD JUMPER by OKPALA,RANSOM",AC-M 23-33 (-10),,"GOOD JUMPER by OKPALA,RANSOM",1
00:03,"MISS 3PTR by GILLIGAN,TULLY",,,,,,,"MISS 3PTR by GILLIGAN,TULLY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
19:46,"GOOD LAYUP by THOMAS,STERLING(in the paint)",25,,33 (+8),,MSPS-M 25-33 (-8),,"GOOD LAYUP by THOMAS,STERLING(in the paint)",2
--,"ASSIST  by ALLISON,BRANDON",,,,,,,"ASSIST  by ALLISON,BRANDON",2
19:23,,25,,35 (+10),"GOOD LAYUP by PHILLIPS,WALTER(in the paint)",AC-M 25-35 (-10),,"GOOD LAYUP by PHILLIPS,WALTER(in the paint)",2
--,,,,,"ASSIST  by MICHAEL,ALEN",,,"ASSIST  by MICHAEL,ALEN",2
18:58,"GOOD LAYUP by THOMAS,STERLING(in the paint)",27,,35 (+8),,MSPS-M 27-35 (-8),,"GOOD LAYUP by THOMAS,STERLING(in the paint)",2
18:31,,27,,37 (+10),"GOOD LAYUP by MICHAEL,ALEN(in the paint)",AC-M 27-37 (-10),,"GOOD LAYUP by MICHAEL,ALEN(in the paint)",2
--,,,,,"ASSIST  by ANWARY,AARON",,,"ASSIST  by ANWARY,AARON",2
18:07,"TURNOVER  by ALLISON,BRANDON",,,,,,,"TURNOVER  by ALLISON,BRANDON",2
17:59,,,,,"TURNOVER  by ANWARY,AARON",,,"TURNOVER  by ANWARY,AARON",2
17:58,"STEAL  by THOMAS,STERLING",,,,,,,"STEAL  by THOMAS,STERLING",2
17:53,"TURNOVER  by THOMAS,STERLING",,,,,,,"TURNOVER  by THOMAS,STERLING",2
17:53,"FOUL  by THOMAS,STERLING",,,,,,,"FOUL  by THOMAS,STERLING",2
17:39,,,,,"TURNOVER  by PHILLIPS,WALTER",,,"TURNOVER  by PHILLIPS,WALTER",2
17:31,"MISS LAYUP by ALLISON,BRANDON",,,,,,,"MISS LAYUP by ALLISON,BRANDON",2
--,,,,,"REBOUND DEF by HANCOCK,JORDAN",,,"REBOUND DEF by HANCOCK,JORDAN",2
17:13,"FOUL  by ALLISON,BRANDON",,,,,,,"FOUL  by ALLISON,BRANDON",2
17:13,,27,,38 (+11),"GOOD FT by MICHAEL,ALEN",AC-M 27-38 (-11),,"GOOD FT by MICHAEL,ALEN",2
17:13,,27,,39 (+12),"GOOD FT by MICHAEL,ALEN",AC-M 27-39 (-12),,"GOOD FT by MICHAEL,ALEN",2
16:40,"MISS 3PTR by MEADES,TAYLOR",,,,,,,"MISS 3PTR by MEADES,TAYLOR",2
--,,,,,"REBOUND DEF by PHILLIPS,WALTER",,,"REBOUND DEF by PHILLIPS,WALTER",2
16:30,,,,,"MISS LAYUP by MICHAEL,ALEN",,,"MISS LAYUP by MICHAEL,ALEN",2
--,,,,,"REBOUND OFF by MICHAEL,ALEN",,,"REBOUND OFF by MICHAEL,ALEN",2
16:26,,27,,41 (+14),"GOOD LAYUP by MICHAEL,ALEN(in the paint)",AC-M 27-41 (-14),,"GOOD LAYUP by MICHAEL,ALEN(in the paint)",2
16:02,"TURNOVER  by BERGER,RYAN",,,,,,,"TURNOVER  by BERGER,RYAN",2
16:01,,,,,"STEAL  by PHILLIPS,WALTER",,,"STEAL  by PHILLIPS,WALTER",2
15:53,,27,,44 (+17),"GOOD 3PTR by ANWARY,AARON",AC-M 27-44 (-17),,"GOOD 3PTR by ANWARY,AARON",2
--,,,,,"ASSIST  by MICHAEL,ALEN",,,"ASSIST  by MICHAEL,ALEN",2
15:40,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
15:26,"MISS 3PTR by MEADES,TAYLOR",,,,,,,"MISS 3PTR by MEADES,TAYLOR",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
15:10,,,,,"MISS LAYUP by PHILLIPS,WALTER",,,"MISS LAYUP by PHILLIPS,WALTER",2
--,,,,,"REBOUND OFF by THOMPSON,ANTOINE",,,"REBOUND OFF by THOMPSON,ANTOINE",2
15:07,"FOUL  by BERGER,RYAN",,,,,,,"FOUL  by BERGER,RYAN",2
15:07,,27,,45 (+18),"GOOD FT by THOMPSON,ANTOINE",AC-M 27-45 (-18),,"GOOD FT by THOMPSON,ANTOINE",2
15:07,,27,,46 (+19),"GOOD FT by THOMPSON,ANTOINE",AC-M 27-46 (-19),,"GOOD FT by THOMPSON,ANTOINE",2
14:57,"TURNOVER  by GRIFFON,JACKSON",,,,,,,"TURNOVER  by GRIFFON,JACKSON",2
14:55,,,,,"STEAL  by OKPALA,RANSOM",,,"STEAL  by OKPALA,RANSOM",2
14:46,,,,,"MISS 3PTR by OKPALA,RANSOM",,,"MISS 3PTR by OKPALA,RANSOM",2
--,,,,,"REBOUND OFF by THOMPSON,ANTOINE",,,"REBOUND OFF by THOMPSON,ANTOINE",2
14:42,,,,,"MISS LAYUP by THOMPSON,ANTOINE",,,"MISS LAYUP by THOMPSON,ANTOINE",2
14:42,"BLOCK  by ALLISON,BRANDON",,,,,,,"BLOCK  by ALLISON,BRANDON",2
--,"REBOUND DEF by GRIFFON,JACKSON",,,,,,,"REBOUND DEF by GRIFFON,JACKSON",2
14:34,"GOOD 3PTR by GRIFFON,JACKSON",30,,46 (+16),,MSPS-M 30-46 (-16),,"GOOD 3PTR by GRIFFON,JACKSON",2
--,"ASSIST  by MEADES,TAYLOR",,,,,,,"ASSIST  by MEADES,TAYLOR",2
14:10,,30,,48 (+18),"GOOD JUMPER by OKPALA,RANSOM",AC-M 30-48 (-18),,"GOOD JUMPER by OKPALA,RANSOM",2
13:58,"MISS 3PTR by GRIFFON,JACKSON",,,,,,,"MISS 3PTR by GRIFFON,JACKSON",2
--,,,,,"REBOUND DEF by ANWARY,AARON",,,"REBOUND DEF by ANWARY,AARON",2
13:48,,,,,"TURNOVER  by THOMPSON,ANTOINE",,,"TURNOVER  by THOMPSON,ANTOINE",2
13:47,"STEAL  by CORTESE,NICK",,,,,,,"STEAL  by CORTESE,NICK",2
13:39,"GOOD JUMPER by ALLISON,BRANDON(in the paint)",32,,48 (+16),,MSPS-M 32-48 (-16),,"GOOD JUMPER by ALLISON,BRANDON(in the paint)",2
13:17,,32,,50 (+18),"GOOD LAYUP by THOMPSON,ANTOINE(in the paint)",AC-M 32-50 (-18),,"GOOD LAYUP by THOMPSON,ANTOINE(in the paint)",2
--,,,,,"ASSIST  by HANCOCK,JORDAN",,,"ASSIST  by HANCOCK,JORDAN",2
12:53,"GOOD LAYUP by WILSON,KEVIN(in the paint)",34,,50 (+16),,MSPS-M 34-50 (-16),,"GOOD LAYUP by WILSON,KEVIN(in the paint)",2
--,"ASSIST  by GRIFFON,JACKSON",,,,,,,"ASSIST  by GRIFFON,JACKSON",2
12:53,,,,,"FOUL  by HANCOCK,JORDAN",,,"FOUL  by HANCOCK,JORDAN",2
12:53,"GOOD FT by WILSON,KEVIN",35,,50 (+15),,MSPS-M 35-50 (-15),,"GOOD FT by WILSON,KEVIN",2
12:37,,,,,"MISS LAYUP by THOMPSON,ANTOINE",,,"MISS LAYUP by THOMPSON,ANTOINE",2
12:37,"BLOCK  by GRIFFON,JACKSON",,,,,,,"BLOCK  by GRIFFON,JACKSON",2
--,,,,,"REBOUND OFF by THOMPSON,ANTOINE",,,"REBOUND OFF by THOMPSON,ANTOINE",2
12:32,,,,,"TURNOVER  by THOMPSON,ANTOINE",,,"TURNOVER  by THOMPSON,ANTOINE",2
12:31,"STEAL  by WILSON,KEVIN",,,,,,,"STEAL  by WILSON,KEVIN",2
12:28,"MISS JUMPER by CORTESE,NICK",,,,,,,"MISS JUMPER by CORTESE,NICK",2
--,,,,,"REBOUND DEF by GRAHAM,KEVIN",,,"REBOUND DEF by GRAHAM,KEVIN",2
12:19,,,,,"MISS LAYUP by GRAHAM,KEVIN",,,"MISS LAYUP by GRAHAM,KEVIN",2
