Time Remaining,HUNTINGM,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
--,"REBOUND OFF by LEE,JERROD",,,,,,,"REBOUND OFF by LEE,JERROD",1
15:45,,,,,"FOUL  by THOMAS,STERLING",,,"FOUL  by THOMAS,STERLING",1
15:43,"TURNOVER  by DUDLEY,BYRON",,,,,,,"TURNOVER  by DUDLEY,BYRON",1
15:41,,,,,"STEAL  by ALLISON,BRANDON",,,"STEAL  by ALLISON,BRANDON",1
15:36,,4,,9 (+5),"GOOD LAYUP by THOMAS,STERLING(in the paint)",MILLSAPS 4-9 (+5),,"GOOD LAYUP by THOMAS,STERLING(in the paint)",1
15:30,"TURNOVER  by THOMAS,JEREMIAH",,,,,,,"TURNOVER  by THOMAS,JEREMIAH",1
15:30,"SUB IN by EDGAR,COURTNEE",,,,,,,"SUB IN by EDGAR,COURTNEE",1
15:30,"SUB OUT by DUDLEY,BYRON",,,,,,,"SUB OUT by DUDLEY,BYRON",1
15:30,,,,,"SUB IN by GRIFFON,JACKSON",,,"SUB IN by GRIFFON,JACKSON",1
15:30,,,,,"SUB OUT by THOMAS,STERLING",,,"SUB OUT by THOMAS,STERLING",1
15:12,,,,,"MISS 3PTR by GRIFFON,JACKSON",,,"MISS 3PTR by GRIFFON,JACKSON",1
--,"REBOUND DEF by THOMAS,JEREMIAH",,,,,,,"REBOUND DEF by THOMAS,JEREMIAH",1
15:03,"MISS LAYUP by HILL,AUSTIN",,,,,,,"MISS LAYUP by HILL,AUSTIN",1
--,"REBOUND OFF by HILL,AUSTIN",,,,,,,"REBOUND OFF by HILL,AUSTIN",1
14:45,"GOOD JUMPER by HILL,AUSTIN",6,,9 (+3),,HUNTINGM 6-9 (+3),,"GOOD JUMPER by HILL,AUSTIN",1
14:30,,,,,"TURNOVER  by CORTESE,NICK",,,"TURNOVER  by CORTESE,NICK",1
14:29,"STEAL  by EDGAR,COURTNEE",,,,,,,"STEAL  by EDGAR,COURTNEE",1
14:26,"GOOD LAYUP by EDGAR,COURTNEE(in the paint)",8,,9 (+1),,HUNTINGM 8-9 (+1),,"GOOD LAYUP by EDGAR,COURTNEE(in the paint)",1
14:23,,,,,"FOUL  by CORTESE,NICK",,,"FOUL  by CORTESE,NICK",1
14:23,"GOOD FT by EDGAR,COURTNEE",9,,9,,HUNTINGM 9-9 (0),,"GOOD FT by EDGAR,COURTNEE",1
14:23,,,,,"SUB IN by BERGER,RYAN",,,"SUB IN by BERGER,RYAN",1
14:23,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",1
14:23,,,,,"SUB OUT by WILSON,KEVIN",,,"SUB OUT by WILSON,KEVIN",1
14:23,,,,,"SUB OUT by CORTESE,NICK",,,"SUB OUT by CORTESE,NICK",1
14:09,,,,,"MISS LAYUP by ALLISON,BRANDON",,,"MISS LAYUP by ALLISON,BRANDON",1
--,"REBOUND DEF by HILL,AUSTIN",,,,,,,"REBOUND DEF by HILL,AUSTIN",1
13:57,,,,,"FOUL  by ALLISON,BRANDON",,,"FOUL  by ALLISON,BRANDON",1
13:57,"GOOD FT by HILL,AUSTIN",10 (+1),,9,,HUNTINGM 10-9 (-1),,"GOOD FT by HILL,AUSTIN",1
13:57,"GOOD FT by HILL,AUSTIN",11 (+2),,9,,HUNTINGM 11-9 (-2),,"GOOD FT by HILL,AUSTIN",1
13:57,"SUB IN by MOORER,TERRY",,,,,,,"SUB IN by MOORER,TERRY",1
13:57,"SUB IN by VARNEY,JASON",,,,,,,"SUB IN by VARNEY,JASON",1
13:57,"SUB OUT by THOMAS,JEREMIAH",,,,,,,"SUB OUT by THOMAS,JEREMIAH",1
13:57,"SUB OUT by PETTY,RYAN",,,,,,,"SUB OUT by PETTY,RYAN",1
13:53,,11,,11,"GOOD LAYUP by BERGER,RYAN(in the paint)",MILLSAPS 11-11 (0),,"GOOD LAYUP by BERGER,RYAN(in the paint)",1
--,,,,,"ASSIST  by KASTNER,MURRAY",,,"ASSIST  by KASTNER,MURRAY",1
13:46,"GOOD 3PTR by HILL,AUSTIN",14 (+3),,11,,HUNTINGM 14-11 (-3),,"GOOD 3PTR by HILL,AUSTIN",1
13:44,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
13:24,,,,,"MISS JUMPER by BERGER,RYAN",,,"MISS JUMPER by BERGER,RYAN",1
--,,,,,"REBOUND OFF by ALLISON,BRANDON",,,"REBOUND OFF by ALLISON,BRANDON",1
13:19,,14 (+1),,13,"GOOD LAYUP by ALLISON,BRANDON(in the paint)",MILLSAPS 14-13 (-1),,"GOOD LAYUP by ALLISON,BRANDON(in the paint)",1
13:06,"GOOD JUMPER by EDGAR,COURTNEE",16 (+3),,13,,HUNTINGM 16-13 (-3),,"GOOD JUMPER by EDGAR,COURTNEE",1
12:50,,16 (+1),,15,"GOOD LAYUP by ALLISON,BRANDON(in the paint)",MILLSAPS 16-15 (-1),,"GOOD LAYUP by ALLISON,BRANDON(in the paint)",1
12:35,"GOOD 3PTR by VARNEY,JASON",19 (+4),,15,,HUNTINGM 19-15 (-4),,"GOOD 3PTR by VARNEY,JASON",1
--,"ASSIST  by LEE,JERROD",,,,,,,"ASSIST  by LEE,JERROD",1
12:05,,,,,"TURNOVER  by KASTNER,MURRAY",,,"TURNOVER  by KASTNER,MURRAY",1
12:05,,,,,"SUB IN by WILSON,KEVIN",,,"SUB IN by WILSON,KEVIN",1
12:05,,,,,"SUB IN by THOMAS,STERLING",,,"SUB IN by THOMAS,STERLING",1
12:05,,,,,"SUB OUT by GRIFFON,JACKSON",,,"SUB OUT by GRIFFON,JACKSON",1
12:05,,,,,"SUB OUT by BERGER,RYAN",,,"SUB OUT by BERGER,RYAN",1
11:51,"GOOD 3PTR by EDGAR,COURTNEE",22 (+7),,15,,HUNTINGM 22-15 (-7),,"GOOD 3PTR by EDGAR,COURTNEE",1
11:30,,,,,"MISS JUMPER by ALLISON,BRANDON",,,"MISS JUMPER by ALLISON,BRANDON",1
11:30,"BLOCK  by MOORER,TERRY",,,,,,,"BLOCK  by MOORER,TERRY",1
--,"REBOUND DEF by MOORER,TERRY",,,,,,,"REBOUND DEF by MOORER,TERRY",1
11:12,"TURNOVER  by EDGAR,COURTNEE",,,,,,,"TURNOVER  by EDGAR,COURTNEE",1
11:11,,,,,"STEAL  by ALLISON,BRANDON",,,"STEAL  by ALLISON,BRANDON",1
