Time Remaining,COVMBB,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
15:05,,2,,8 (+6),"GOOD 3PTR by CORTESE,NICK",MILLSAPS 2-8 (+6),,"GOOD 3PTR by CORTESE,NICK",1
--,,,,,"ASSIST  by KASTNER,MURRAY",,,"ASSIST  by KASTNER,MURRAY",1
14:45,"GOOD LAYUP by DELANEY,JAKE(in the paint)",4,,8 (+4),,COVMBB 4-8 (+4),,"GOOD LAYUP by DELANEY,JAKE(in the paint)",1
--,"ASSIST  by COX,TJ",,,,,,,"ASSIST  by COX,TJ",1
14:29,,,,,"MISS 3PTR by KASTNER,MURRAY",,,"MISS 3PTR by KASTNER,MURRAY",1
--,,,,,"REBOUND OFF by BERGER,RYAN",,,"REBOUND OFF by BERGER,RYAN",1
14:26,,4,,10 (+6),"GOOD LAYUP by BERGER,RYAN(in the paint)",MILLSAPS 4-10 (+6),,"GOOD LAYUP by BERGER,RYAN(in the paint)",1
14:09,"SUB IN by BOWMAN,SAM",,,,,,,"SUB IN by BOWMAN,SAM",1
14:09,"SUB IN by MCGRIFF,COLTON",,,,,,,"SUB IN by MCGRIFF,COLTON",1
14:09,"SUB OUT by ENGBERS,BRYANT",,,,,,,"SUB OUT by ENGBERS,BRYANT",1
14:09,"SUB OUT by BOYD,CHRIS",,,,,,,"SUB OUT by BOYD,CHRIS",1
13:53,,,,,"FOUL  by CORTESE,NICK",,,"FOUL  by CORTESE,NICK",1
13:45,"MISS JUMPER by MCGRIFF,COLTON",,,,,,,"MISS JUMPER by MCGRIFF,COLTON",1
--,,,,,"REBOUND DEF by ALLISON,BRANDON",,,"REBOUND DEF by ALLISON,BRANDON",1
13:35,,,,,"MISS LAYUP by CORTESE,NICK",,,"MISS LAYUP by CORTESE,NICK",1
--,"REBOUND DEF by MCGRIFF,COLTON",,,,,,,"REBOUND DEF by MCGRIFF,COLTON",1
13:28,"MISS 3PTR by SEARS,CALLUM",,,,,,,"MISS 3PTR by SEARS,CALLUM",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
13:22,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",1
13:22,,,,,"SUB OUT by CORTESE,NICK",,,"SUB OUT by CORTESE,NICK",1
13:08,"MISS LAYUP by BOWMAN,SAM",,,,,,,"MISS LAYUP by BOWMAN,SAM",1
--,"REBOUND OFF by MCGRIFF,COLTON",,,,,,,"REBOUND OFF by MCGRIFF,COLTON",1
13:02,"TURNOVER  by SEARS,CALLUM",,,,,,,"TURNOVER  by SEARS,CALLUM",1
--,,,,,"REBOUND OFF by WILSON,KEVIN",,,"REBOUND OFF by WILSON,KEVIN",1
12:58,,4,,12 (+8),"GOOD LAYUP by WILSON,KEVIN(in the paint)",MILLSAPS 4-12 (+8),,"GOOD LAYUP by WILSON,KEVIN(in the paint)",1
12:50,"GOOD LAYUP by BOWMAN,SAM(in the paint)",6,,12 (+6),,COVMBB 6-12 (+6),,"GOOD LAYUP by BOWMAN,SAM(in the paint)",1
12:27,"TURNOVER  by SEARS,CALLUM",,,,,,,"TURNOVER  by SEARS,CALLUM",1
12:25,,,,,"STEAL  by CORTESE,NICK",,,"STEAL  by CORTESE,NICK",1
12:23,"FOUL  by SEARS,CALLUM",,,,,,,"FOUL  by SEARS,CALLUM",1
12:23,,,,,"MISS FT by GILLIGAN,TULLY",,,"MISS FT by GILLIGAN,TULLY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
12:23,,6,,13 (+7),"GOOD FT by GILLIGAN,TULLY",MILLSAPS 6-13 (+7),,"GOOD FT by GILLIGAN,TULLY",1
12:23,"SUB IN by MOSS,DANTE",,,,,,,"SUB IN by MOSS,DANTE",1
12:23,"SUB IN by MUTCHERSON,ROSBIE",,,,,,,"SUB IN by MUTCHERSON,ROSBIE",1
12:23,"SUB OUT by SEARS,CALLUM",,,,,,,"SUB OUT by SEARS,CALLUM",1
12:23,"SUB OUT by DELANEY,JAKE",,,,,,,"SUB OUT by DELANEY,JAKE",1
12:20,"TURNOVER  by BOWMAN,SAM",,,,,,,"TURNOVER  by BOWMAN,SAM",1
12:18,,,,,"STEAL  by GILLIGAN,TULLY",,,"STEAL  by GILLIGAN,TULLY",1
12:11,,,,,"TURNOVER  by BERGER,RYAN",,,"TURNOVER  by BERGER,RYAN",1
12:11,"SUB IN by FRIERSON,NATE",,,,,,,"SUB IN by FRIERSON,NATE",1
12:11,"SUB OUT by COX,TJ",,,,,,,"SUB OUT by COX,TJ",1
11:55,,,,,"FOUL  by GRIFFON,JACKSON",,,"FOUL  by GRIFFON,JACKSON",1
11:55,,,,,"SUB IN by WILSON,KEVIN",,,"SUB IN by WILSON,KEVIN",1
11:55,,,,,"SUB IN by THOMAS,STERLING",,,"SUB IN by THOMAS,STERLING",1
11:55,,,,,"SUB OUT by ALLISON,BRANDON",,,"SUB OUT by ALLISON,BRANDON",1
11:55,,,,,"SUB OUT by GRIFFON,JACKSON",,,"SUB OUT by GRIFFON,JACKSON",1
11:48,"MISS JUMPER by BOWMAN,SAM",,,,,,,"MISS JUMPER by BOWMAN,SAM",1
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",1
11:42,"FOUL  by MOSS,DANTE",,,,,,,"FOUL  by MOSS,DANTE",1
11:42,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
11:22,,,,,"FOUL  by WILSON,KEVIN",,,"FOUL  by WILSON,KEVIN",1
11:22,"MISS FT by BOWMAN,SAM",,,,,,,"MISS FT by BOWMAN,SAM",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
11:22,"GOOD FT by BOWMAN,SAM",7,,13 (+6),,COVMBB 7-13 (+6),,"GOOD FT by BOWMAN,SAM",1
11:22,,,,,"SUB IN by CORTESE,NICK",,,"SUB IN by CORTESE,NICK",1
11:22,,,,,"SUB OUT by KASTNER,MURRAY",,,"SUB OUT by KASTNER,MURRAY",1
11:07,,7,,15 (+8),"GOOD JUMPER by CORTESE,NICK",MILLSAPS 7-15 (+8),,"GOOD JUMPER by CORTESE,NICK",1
--,,,,,"ASSIST  by GILLIGAN,TULLY",,,"ASSIST  by GILLIGAN,TULLY",1
10:51,"MISS JUMPER by MOSS,DANTE",,,,,,,"MISS JUMPER by MOSS,DANTE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
10:51,,,,,"FOUL  by GILLIGAN,TULLY",,,"FOUL  by GILLIGAN,TULLY",1
10:51,"SUB IN by DANEK,JOEY",,,,,,,"SUB IN by DANEK,JOEY",1
10:51,"SUB IN by BOYD,CHRIS",,,,,,,"SUB IN by BOYD,CHRIS",1
10:51,"SUB IN by COX,TJ",,,,,,,"SUB IN by COX,TJ",1
10:51,"SUB OUT by BOWMAN,SAM",,,,,,,"SUB OUT by BOWMAN,SAM",1
10:51,"SUB OUT by MCGRIFF,COLTON",,,,,,,"SUB OUT by MCGRIFF,COLTON",1
10:51,"SUB OUT by FRIERSON,NATE",,,,,,,"SUB OUT by FRIERSON,NATE",1
10:51,,,,,"SUB IN by ALLISON,BRANDON",,,"SUB IN by ALLISON,BRANDON",1
10:51,,,,,"SUB OUT by WILSON,KEVIN",,,"SUB OUT by WILSON,KEVIN",1
10:44,,7,,17 (+10),"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",MILLSAPS 7-17 (+10),,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",1
10:38,,,,,"SUB IN by WILSON,KEVIN",,,"SUB IN by WILSON,KEVIN",1
10:38,,,,,"SUB OUT by BERGER,RYAN",,,"SUB OUT by BERGER,RYAN",1
10:36,"MISS JUMPER by DANEK,JOEY",,,,,,,"MISS JUMPER by DANEK,JOEY",1
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",1
10:32,,,,,"MISS LAYUP by ALLISON,BRANDON",,,"MISS LAYUP by ALLISON,BRANDON",1
--,"REBOUND DEF by MUTCHERSON,ROSBIE",,,,,,,"REBOUND DEF by MUTCHERSON,ROSBIE",1
09:54,"TURNOVER  by MUTCHERSON,ROSBIE",,,,,,,"TURNOVER  by MUTCHERSON,ROSBIE",1
09:53,,,,,"STEAL  by GILLIGAN,TULLY",,,"STEAL  by GILLIGAN,TULLY",1
09:51,,,,,"MISS LAYUP by ALLISON,BRANDON",,,"MISS LAYUP by ALLISON,BRANDON",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
09:40,"FOUL  by DANEK,JOEY",,,,,,,"FOUL  by DANEK,JOEY",1
09:30,,,,,"MISS FT by ALLISON,BRANDON",,,"MISS FT by ALLISON,BRANDON",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
09:30,,7,,18 (+11),"GOOD FT by ALLISON,BRANDON",MILLSAPS 7-18 (+11),,"GOOD FT by ALLISON,BRANDON",1
09:30,"SUB IN by DELANEY,JAKE",,,,,,,"SUB IN by DELANEY,JAKE",1
09:30,"SUB OUT by MOSS,DANTE",,,,,,,"SUB OUT by MOSS,DANTE",1
09:30,,,,,"SUB IN by BERGER,RYAN",,,"SUB IN by BERGER,RYAN",1
09:30,,,,,"SUB OUT by WILSON,KEVIN",,,"SUB OUT by WILSON,KEVIN",1
09:07,"GOOD JUMPER by MUTCHERSON,ROSBIE",9,,18 (+9),,COVMBB 9-18 (+9),,"GOOD JUMPER by MUTCHERSON,ROSBIE",1
08:46,,,,,"MISS 3PTR by CORTESE,NICK",,,"MISS 3PTR by CORTESE,NICK",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
08:40,,,,,"SUB IN by MOGGED,JEREMY",,,"SUB IN by MOGGED,JEREMY",1
08:40,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",1
08:33,,,,,"MISS 3PTR by THOMAS,STERLING",,,"MISS 3PTR by THOMAS,STERLING",1
--,"REBOUND DEF by BOYD,CHRIS",,,,,,,"REBOUND DEF by BOYD,CHRIS",1
08:24,,,,,"FOUL  by ALLISON,BRANDON",,,"FOUL  by ALLISON,BRANDON",1
08:24,"GOOD FT by DANEK,JOEY",10,,18 (+8),,COVMBB 10-18 (+8),,"GOOD FT by DANEK,JOEY",1
08:24,"GOOD FT by DANEK,JOEY",11,,18 (+7),,COVMBB 11-18 (+7),,"GOOD FT by DANEK,JOEY",1
08:24,"SUB IN by MCGRIFF,COLTON",,,,,,,"SUB IN by MCGRIFF,COLTON",1
08:24,"SUB OUT by DANEK,JOEY",,,,,,,"SUB OUT by DANEK,JOEY",1
08:24,,,,,"SUB IN by GRIFFON,JACKSON",,,"SUB IN by GRIFFON,JACKSON",1
08:24,,,,,"SUB OUT by THOMAS,STERLING",,,"SUB OUT by THOMAS,STERLING",1
08:04,"FOUL  by BOYD,CHRIS",,,,,,,"FOUL  by BOYD,CHRIS",1
08:04,,,,,"MISS FT by ALLISON,BRANDON",,,"MISS FT by ALLISON,BRANDON",1
--,"REBOUND DEF by BOYD,CHRIS",,,,,,,"REBOUND DEF by BOYD,CHRIS",1
07:39,"TURNOVER  by MUTCHERSON,ROSBIE",,,,,,,"TURNOVER  by MUTCHERSON,ROSBIE",1
07:20,,11,,20 (+9),"GOOD JUMPER by CORTESE,NICK",MILLSAPS 11-20 (+9),,"GOOD JUMPER by CORTESE,NICK",1
07:10,,,,,"FOUL  by ALLISON,BRANDON",,,"FOUL  by ALLISON,BRANDON",1
07:10,"GOOD FT by BOYD,CHRIS",12,,20 (+8),,COVMBB 12-20 (+8),,"GOOD FT by BOYD,CHRIS",1
07:10,"GOOD FT by BOYD,CHRIS",13,,20 (+7),,COVMBB 13-20 (+7),,"GOOD FT by BOYD,CHRIS",1
07:10,"SUB IN by FERGUSON,TERON",,,,,,,"SUB IN by FERGUSON,TERON",1
07:10,"SUB OUT by MUTCHERSON,ROSBIE",,,,,,,"SUB OUT by MUTCHERSON,ROSBIE",1
06:44,,,,,"MISS JUMPER by BERGER,RYAN",,,"MISS JUMPER by BERGER,RYAN",1
--,"REBOUND DEF by MCGRIFF,COLTON",,,,,,,"REBOUND DEF by MCGRIFF,COLTON",1
06:36,"MISS JUMPER by DELANEY,JAKE",,,,,,,"MISS JUMPER by DELANEY,JAKE",1
--,,,,,"REBOUND DEF by CORTESE,NICK",,,"REBOUND DEF by CORTESE,NICK",1
06:20,,,,,"MISS 3PTR by GRIFFON,JACKSON",,,"MISS 3PTR by GRIFFON,JACKSON",1
--,"REBOUND DEF by BOYD,CHRIS",,,,,,,"REBOUND DEF by BOYD,CHRIS",1
06:00,,,,,"FOUL  by MOGGED,JEREMY",,,"FOUL  by MOGGED,JEREMY",1
06:00,"MISS FT by FERGUSON,TERON",,,,,,,"MISS FT by FERGUSON,TERON",1
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",1
06:00,"SUB IN by ENGBERS,BRYANT",,,,,,,"SUB IN by ENGBERS,BRYANT",1
06:00,"SUB IN by BOWMAN,SAM",,,,,,,"SUB IN by BOWMAN,SAM",1
06:00,"SUB OUT by BOYD,CHRIS",,,,,,,"SUB OUT by BOYD,CHRIS",1
06:00,"SUB OUT by DELANEY,JAKE",,,,,,,"SUB OUT by DELANEY,JAKE",1
06:00,,,,,"SUB IN by GERCHOW,ALEX",,,"SUB IN by GERCHOW,ALEX",1
06:00,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",1
06:00,,,,,"SUB OUT by ALLISON,BRANDON",,,"SUB OUT by ALLISON,BRANDON",1
06:00,,,,,"SUB OUT by MOGGED,JEREMY",,,"SUB OUT by MOGGED,JEREMY",1
05:46,,,,,"TURNOVER  by GILLIGAN,TULLY",,,"TURNOVER  by GILLIGAN,TULLY",1
05:42,"STEAL  by BOWMAN,SAM",,,,,,,"STEAL  by BOWMAN,SAM",1
05:40,"GOOD LAYUP by FERGUSON,TERON(in the paint)",15,,20 (+5),,COVMBB 15-20 (+5),,"GOOD LAYUP by FERGUSON,TERON(in the paint)",1
05:39,,,,,"FOUL  by GILLIGAN,TULLY",,,"FOUL  by GILLIGAN,TULLY",1
05:39,"MISS FT by BOYD,CHRIS",,,,,,,"MISS FT by BOYD,CHRIS",1
--,,,,,"REBOUND DEF by GERCHOW,ALEX",,,"REBOUND DEF by GERCHOW,ALEX",1
05:23,,15,,22 (+7),"GOOD JUMPER by GILLIGAN,TULLY",MILLSAPS 15-22 (+7),,"GOOD JUMPER by GILLIGAN,TULLY",1
05:10,"MISS LAYUP by MCGRIFF,COLTON",,,,,,,"MISS LAYUP by MCGRIFF,COLTON",1
--,"REBOUND OFF by ENGBERS,BRYANT",,,,,,,"REBOUND OFF by ENGBERS,BRYANT",1
05:07,,,,,"FOUL  by CORTESE,NICK",,,"FOUL  by CORTESE,NICK",1
05:07,"GOOD FT by ENGBERS,BRYANT",16,,22 (+6),,COVMBB 16-22 (+6),,"GOOD FT by ENGBERS,BRYANT",1
05:07,"GOOD FT by ENGBERS,BRYANT",17,,22 (+5),,COVMBB 17-22 (+5),,"GOOD FT by ENGBERS,BRYANT",1
05:07,"SUB IN by FRIERSON,NATE",,,,,,,"SUB IN by FRIERSON,NATE",1
05:07,"SUB IN by SEARS,CALLUM",,,,,,,"SUB IN by SEARS,CALLUM",1
05:07,"SUB OUT by COX,TJ",,,,,,,"SUB OUT by COX,TJ",1
05:07,"SUB OUT by FERGUSON,TERON",,,,,,,"SUB OUT by FERGUSON,TERON",1
05:07,,,,,"SUB IN by THOMAS,STERLING",,,"SUB IN by THOMAS,STERLING",1
05:07,,,,,"SUB IN by KASTNER,MURRAY",,,"SUB IN by KASTNER,MURRAY",1
05:07,,,,,"SUB OUT by GRIFFON,JACKSON",,,"SUB OUT by GRIFFON,JACKSON",1
05:07,,,,,"SUB OUT by CORTESE,NICK",,,"SUB OUT by CORTESE,NICK",1
04:54,,,,,"TURNOVER  by GERCHOW,ALEX",,,"TURNOVER  by GERCHOW,ALEX",1
04:37,"TURNOVER  by BOWMAN,SAM",,,,,,,"TURNOVER  by BOWMAN,SAM",1
04:35,,,,,"STEAL  by GILLIGAN,TULLY",,,"STEAL  by GILLIGAN,TULLY",1
04:31,,17,,24 (+7),"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",MILLSAPS 17-24 (+7),,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",1
--,,,,,"ASSIST  by THOMAS,STERLING",,,"ASSIST  by THOMAS,STERLING",1
04:28,,,,,"FOUL  by THOMAS,STERLING",,,"FOUL  by THOMAS,STERLING",1
04:26,"GOOD FT by SEARS,CALLUM",18,,24 (+6),,COVMBB 18-24 (+6),,"GOOD FT by SEARS,CALLUM",1
04:26,"GOOD FT by SEARS,CALLUM",19,,24 (+5),,COVMBB 19-24 (+5),,"GOOD FT by SEARS,CALLUM",1
03:54,,,,,"TURNOVER  by GILLIGAN,TULLY",,,"TURNOVER  by GILLIGAN,TULLY",1
03:54,,,,,"SUB IN by GRIFFON,JACKSON",,,"SUB IN by GRIFFON,JACKSON",1
03:54,,,,,"SUB IN by WILSON,KEVIN",,,"SUB IN by WILSON,KEVIN",1
03:54,,,,,"SUB OUT by BERGER,RYAN",,,"SUB OUT by BERGER,RYAN",1
03:54,,,,,"SUB OUT by THOMAS,STERLING",,,"SUB OUT by THOMAS,STERLING",1
03:36,"TURNOVER  by ENGBERS,BRYANT",,,,,,,"TURNOVER  by ENGBERS,BRYANT",1
03:12,,,,,"MISS 3PTR by WILSON,KEVIN",,,"MISS 3PTR by WILSON,KEVIN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
03:09,"SUB IN by DANEK,JOEY",,,,,,,"SUB IN by DANEK,JOEY",1
03:09,"SUB IN by COX,TJ",,,,,,,"SUB IN by COX,TJ",1
03:09,"SUB IN by MUTCHERSON,ROSBIE",,,,,,,"SUB IN by MUTCHERSON,ROSBIE",1
03:09,"SUB OUT by ENGBERS,BRYANT",,,,,,,"SUB OUT by ENGBERS,BRYANT",1
03:09,"SUB OUT by MCGRIFF,COLTON",,,,,,,"SUB OUT by MCGRIFF,COLTON",1
03:09,"SUB OUT by FRIERSON,NATE",,,,,,,"SUB OUT by FRIERSON,NATE",1
03:09,,,,,"SUB IN by CORTESE,NICK",,,"SUB IN by CORTESE,NICK",1
03:09,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",1
02:59,"GOOD JUMPER by SEARS,CALLUM",21,,24 (+3),,COVMBB 21-24 (+3),,"GOOD JUMPER by SEARS,CALLUM",1
--,"ASSIST  by BOWMAN,SAM",,,,,,,"ASSIST  by BOWMAN,SAM",1
02:34,,,,,"MISS 3PTR by CORTESE,NICK",,,"MISS 3PTR by CORTESE,NICK",1
--,,,,,"REBOUND OFF by CORTESE,NICK",,,"REBOUND OFF by CORTESE,NICK",1
02:28,,,,,"MISS 3PTR by KASTNER,MURRAY",,,"MISS 3PTR by KASTNER,MURRAY",1
--,,,,,"REBOUND OFF by CORTESE,NICK",,,"REBOUND OFF by CORTESE,NICK",1
02:26,,21,,26 (+5),"GOOD LAYUP by CORTESE,NICK(in the paint)",MILLSAPS 21-26 (+5),,"GOOD LAYUP by CORTESE,NICK(in the paint)",1
02:07,"TURNOVER  by COX,TJ",,,,,,,"TURNOVER  by COX,TJ",1
02:06,,,,,"STEAL  by KASTNER,MURRAY",,,"STEAL  by KASTNER,MURRAY",1
01:51,,,,,"MISS JUMPER by GRIFFON,JACKSON",,,"MISS JUMPER by GRIFFON,JACKSON",1
--,"REBOUND DEF by DANEK,JOEY",,,,,,,"REBOUND DEF by DANEK,JOEY",1
01:37,"MISS JUMPER by DANEK,JOEY",,,,,,,"MISS JUMPER by DANEK,JOEY",1
--,,,,,"REBOUND DEF by KASTNER,MURRAY",,,"REBOUND DEF by KASTNER,MURRAY",1
01:22,,,,,"MISS 3PTR by WILSON,KEVIN",,,"MISS 3PTR by WILSON,KEVIN",1
01:22,"BLOCK  by BOWMAN,SAM",,,,,,,"BLOCK  by BOWMAN,SAM",1
--,"REBOUND DEF by COX,TJ",,,,,,,"REBOUND DEF by COX,TJ",1
01:17,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
00:53,"MISS JUMPER by BOYD,CHRIS",,,,,,,"MISS JUMPER by BOYD,CHRIS",1
