Time Remaining,UDMB,Away Team Score,Play Team Indicator,Home Team Score,MSPS-M,Game Score,Team Indicator,Play,Period
12:13,,,,,"TURNOVER  by THOMAS,STERLING",,,"TURNOVER  by THOMAS,STERLING",2
11:54,"TURNOVER  by DAVIDSON,ROSS",,,,,,,"TURNOVER  by DAVIDSON,ROSS",2
11:51,,,,,"FOUL  by WILSON,KEVIN",,,"FOUL  by WILSON,KEVIN",2
11:51,,,,,"TURNOVER  by WILSON,KEVIN",,,"TURNOVER  by WILSON,KEVIN",2
11:35,"MISS 3PTR by WILSON,NATE",,,,,,,"MISS 3PTR by WILSON,NATE",2
--,"REBOUND OFF by BLACKBURN,BLAINE",,,,,,,"REBOUND OFF by BLACKBURN,BLAINE",2
11:27,"TURNOVER  by WILSON,NATE",,,,,,,"TURNOVER  by WILSON,NATE",2
10:56,,,,,"MISS 3PTR by ROBERTSON,MARC",,,"MISS 3PTR by ROBERTSON,MARC",2
--,"REBOUND DEF by BRUFFEY,TANNER",,,,,,,"REBOUND DEF by BRUFFEY,TANNER",2
10:37,"MISS 3PTR by BLACKBURN,BLAINE",,,,,,,"MISS 3PTR by BLACKBURN,BLAINE",2
--,,,,,"REBOUND DEF by ALLISON,BRANDON",,,"REBOUND DEF by ALLISON,BRANDON",2
10:17,,,,,"FOUL  by KASTNER,MURRAY",,,"FOUL  by KASTNER,MURRAY",2
10:17,,,,,"TURNOVER  by KASTNER,MURRAY",,,"TURNOVER  by KASTNER,MURRAY",2
10:17,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
10:03,"MISS JUMPER by DAVIDSON,ROSS",,,,,,,"MISS JUMPER by DAVIDSON,ROSS",2
--,,,,,"REBOUND DEF by ROBERTSON,MARC",,,"REBOUND DEF by ROBERTSON,MARC",2
09:54,,,,,"MISS JUMPER by ALLISON,BRANDON",,,"MISS JUMPER by ALLISON,BRANDON",2
--,"REBOUND DEF by BRUFFEY,TANNER",,,,,,,"REBOUND DEF by BRUFFEY,TANNER",2
09:37,,,,,"FOUL  by ALLISON,BRANDON",,,"FOUL  by ALLISON,BRANDON",2
09:37,"GOOD FT by DAVIDSON,ROSS",29,,42 (+13),,UDMB 29-42 (+13),,"GOOD FT by DAVIDSON,ROSS",2
09:37,"GOOD FT by DAVIDSON,ROSS",30,,42 (+12),,UDMB 30-42 (+12),,"GOOD FT by DAVIDSON,ROSS",2
09:19,,,,,"MISS LAYUP by GERCHOW,ALEX",,,"MISS LAYUP by GERCHOW,ALEX",2
--,"REBOUND DEF by WILSON,NATE",,,,,,,"REBOUND DEF by WILSON,NATE",2
09:00,"MISS 3PTR by BRUFFEY,TANNER",,,,,,,"MISS 3PTR by BRUFFEY,TANNER",2
--,,,,,"REBOUND DEF by WILSON,KEVIN",,,"REBOUND DEF by WILSON,KEVIN",2
08:29,,,,,"MISS JUMPER by CORTESE,NICK",,,"MISS JUMPER by CORTESE,NICK",2
--,"REBOUND DEF by ASSINESI,DREW",,,,,,,"REBOUND DEF by ASSINESI,DREW",2
08:12,,,,,"FOUL  by GERCHOW,ALEX",,,"FOUL  by GERCHOW,ALEX",2
08:12,"GOOD FT by DAVIDSON,ROSS",31,,42 (+11),,UDMB 31-42 (+11),,"GOOD FT by DAVIDSON,ROSS",2
08:12,"GOOD FT by DAVIDSON,ROSS",32,,42 (+10),,UDMB 32-42 (+10),,"GOOD FT by DAVIDSON,ROSS",2
07:49,,,,,"MISS 3PTR by WILSON,KEVIN",,,"MISS 3PTR by WILSON,KEVIN",2
--,"REBOUND DEF by ASSINESI,DREW",,,,,,,"REBOUND DEF by ASSINESI,DREW",2
07:36,"MISS 3PTR by BRUFFEY,TANNER",,,,,,,"MISS 3PTR by BRUFFEY,TANNER",2
--,"REBOUND OFF by BLACKBURN,BLAINE",,,,,,,"REBOUND OFF by BLACKBURN,BLAINE",2
07:32,"MISS 3PTR by WILSON,NATE",,,,,,,"MISS 3PTR by WILSON,NATE",2
--,,,,,"REBOUND DEF by WILSON,KEVIN",,,"REBOUND DEF by WILSON,KEVIN",2
07:21,,,,,"MISS JUMPER by WILSON,KEVIN",,,"MISS JUMPER by WILSON,KEVIN",2
--,"REBOUND DEF by ASSINESI,DREW",,,,,,,"REBOUND DEF by ASSINESI,DREW",2
07:15,"MISS 3PTR by ASSINESI,DREW",,,,,,,"MISS 3PTR by ASSINESI,DREW",2
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",2
07:11,"FOUL  by BRUFFEY,TANNER",,,,,,,"FOUL  by BRUFFEY,TANNER",2
06:48,,32,,44 (+12),"GOOD LAYUP by MEADES,TAYLOR(in the paint)",MSPS-M 32-44 (+12),,"GOOD LAYUP by MEADES,TAYLOR(in the paint)",2
06:31,"GOOD LAYUP by DAVIDSON,ROSS(in the paint)",34,,44 (+10),,UDMB 34-44 (+10),,"GOOD LAYUP by DAVIDSON,ROSS(in the paint)",2
06:14,,,,,"MISS JUMPER by ALLISON,BRANDON",,,"MISS JUMPER by ALLISON,BRANDON",2
--,"REBOUND DEF by ASSINESI,DREW",,,,,,,"REBOUND DEF by ASSINESI,DREW",2
06:02,,,,,"FOUL  by ALLISON,BRANDON",,,"FOUL  by ALLISON,BRANDON",2
06:02,"GOOD FT by DAVIDSON,ROSS",35,,44 (+9),,UDMB 35-44 (+9),,"GOOD FT by DAVIDSON,ROSS",2
06:02,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
06:02,"GOOD FT by DAVIDSON,ROSS",36,,44 (+8),,UDMB 36-44 (+8),,"GOOD FT by DAVIDSON,ROSS",2
05:36,,,,,"TURNOVER  by GILLIGAN,TULLY",,,"TURNOVER  by GILLIGAN,TULLY",2
05:08,"GOOD LAYUP by MALONE,KYM(in the paint)",38,,44 (+6),,UDMB 38-44 (+6),,"GOOD LAYUP by MALONE,KYM(in the paint)",2
05:08,,,,,"FOUL  by GERCHOW,ALEX",,,"FOUL  by GERCHOW,ALEX",2
05:08,"GOOD FT by MALONE,KYM",39,,44 (+5),,UDMB 39-44 (+5),,"GOOD FT by MALONE,KYM",2
04:53,"FOUL  by MALONE,KYM",,,,,,,"FOUL  by MALONE,KYM",2
04:50,,,,,"TURNOVER  by GILLIGAN,TULLY",,,"TURNOVER  by GILLIGAN,TULLY",2
04:47,"MISS 3PTR by WILSON,NATE",,,,,,,"MISS 3PTR by WILSON,NATE",2
--,,,,,"REBOUND DEF by BERGER,RYAN",,,"REBOUND DEF by BERGER,RYAN",2
04:42,"FOUL  by MALONE,KYM",,,,,,,"FOUL  by MALONE,KYM",2
04:42,,,,,"MISS FT by BERGER,RYAN",,,"MISS FT by BERGER,RYAN",2
--,,,,,"REBOUND OFF by THOMAS,STERLING",,,"REBOUND OFF by THOMAS,STERLING",2
04:40,,,,,"MISS LAYUP by THOMAS,STERLING",,,"MISS LAYUP by THOMAS,STERLING",2
04:40,"BLOCK  by WILSON,NATE",,,,,,,"BLOCK  by WILSON,NATE",2
--,"REBOUND DEF by DAVIDSON,ROSS",,,,,,,"REBOUND DEF by DAVIDSON,ROSS",2
04:24,"TURNOVER  by WILSON,NATE",,,,,,,"TURNOVER  by WILSON,NATE",2
04:23,,,,,"STEAL  by BERGER,RYAN",,,"STEAL  by BERGER,RYAN",2
04:13,,,,,"MISS JUMPER by MEADES,TAYLOR",,,"MISS JUMPER by MEADES,TAYLOR",2
--,"REBOUND DEF by BLACKBURN,BLAINE",,,,,,,"REBOUND DEF by BLACKBURN,BLAINE",2
04:11,,,,,"FOUL  by GERCHOW,ALEX",,,"FOUL  by GERCHOW,ALEX",2
04:10,"GOOD FT by BLACKBURN,BLAINE",40,,44 (+4),,UDMB 40-44 (+4),,"GOOD FT by BLACKBURN,BLAINE",2
04:10,"MISS FT by BLACKBURN,BLAINE",,,,,,,"MISS FT by BLACKBURN,BLAINE",2
--,,,,,"REBOUND DEF by WILSON,KEVIN",,,"REBOUND DEF by WILSON,KEVIN",2
03:51,,,,,"TURNOVER  by MEADES,TAYLOR",,,"TURNOVER  by MEADES,TAYLOR",2
03:50,"STEAL  by WILSON,NATE",,,,,,,"STEAL  by WILSON,NATE",2
03:39,,,,,"FOUL  by THOMAS,STERLING",,,"FOUL  by THOMAS,STERLING",2
03:39,"GOOD FT by WILSON,NATE",41,,44 (+3),,UDMB 41-44 (+3),,"GOOD FT by WILSON,NATE",2
03:39,"MISS FT by WILSON,NATE",,,,,,,"MISS FT by WILSON,NATE",2
--,"REBOUND OFF by BRUFFEY,TANNER",,,,,,,"REBOUND OFF by BRUFFEY,TANNER",2
03:26,"GOOD LAYUP by DAVIDSON,ROSS(in the paint)",43,,44 (+1),,UDMB 43-44 (+1),,"GOOD LAYUP by DAVIDSON,ROSS(in the paint)",2
03:06,"FOUL  by BLACKBURN,BLAINE",,,,,,,"FOUL  by BLACKBURN,BLAINE",2
03:06,,,,,"MISS FT by THOMAS,STERLING",,,"MISS FT by THOMAS,STERLING",2
--,"REBOUND DEF by WILSON,NATE",,,,,,,"REBOUND DEF by WILSON,NATE",2
02:52,"TURNOVER  by BRUFFEY,TANNER",,,,,,,"TURNOVER  by BRUFFEY,TANNER",2
02:51,,,,,"STEAL  by THOMAS,STERLING",,,"STEAL  by THOMAS,STERLING",2
02:49,,43,,46 (+3),"GOOD DUNK by THOMAS,STERLING(fastbreak)(in the paint)",MSPS-M 43-46 (+3),,"GOOD DUNK by THOMAS,STERLING(fastbreak)(in the paint)",2
02:30,"MISS LAYUP by WILSON,NATE",,,,,,,"MISS LAYUP by WILSON,NATE",2
--,"REBOUND OFF by BRUFFEY,TANNER",,,,,,,"REBOUND OFF by BRUFFEY,TANNER",2
02:26,"MISS 3PTR by BRUFFEY,TANNER",,,,,,,"MISS 3PTR by BRUFFEY,TANNER",2
--,"REBOUND OFF by BRUFFEY,TANNER",,,,,,,"REBOUND OFF by BRUFFEY,TANNER",2
02:23,"MISS LAYUP by BRUFFEY,TANNER",,,,,,,"MISS LAYUP by BRUFFEY,TANNER",2
--,"REBOUND OFF by WILSON,NATE",,,,,,,"REBOUND OFF by WILSON,NATE",2
02:01,"MISS 3PTR by WILSON,NATE",,,,,,,"MISS 3PTR by WILSON,NATE",2
--,,,,,"REBOUND DEF by CORTESE,NICK",,,"REBOUND DEF by CORTESE,NICK",2
01:43,,43,,48 (+5),"GOOD LAYUP by CORTESE,NICK(in the paint)",MSPS-M 43-48 (+5),,"GOOD LAYUP by CORTESE,NICK(in the paint)",2
--,,,,,"ASSIST  by MEADES,TAYLOR",,,"ASSIST  by MEADES,TAYLOR",2
01:32,"GOOD 3PTR by BRUFFEY,TANNER",46,,48 (+2),,UDMB 46-48 (+2),,"GOOD 3PTR by BRUFFEY,TANNER",2
01:30,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
01:03,,,,,"MISS 3PTR by WILSON,KEVIN",,,"MISS 3PTR by WILSON,KEVIN",2
--,"REBOUND DEF by ASSINESI,DREW",,,,,,,"REBOUND DEF by ASSINESI,DREW",2
00:57,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:49,"MISS JUMPER by BRUFFEY,TANNER",,,,,,,"MISS JUMPER by BRUFFEY,TANNER",2
--,,,,,"REBOUND DEF by WILSON,KEVIN",,,"REBOUND DEF by WILSON,KEVIN",2
00:29,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:20,,,,,"MISS LAYUP by CORTESE,NICK",,,"MISS LAYUP by CORTESE,NICK",2
--,,,,,"REBOUND OFF by CORTESE,NICK",,,"REBOUND OFF by CORTESE,NICK",2
00:17,,,,,"MISS LAYUP by CORTESE,NICK",,,"MISS LAYUP by CORTESE,NICK",2
--,,,,,"REBOUND OFF by WILSON,KEVIN",,,"REBOUND OFF by WILSON,KEVIN",2
00:15,,46,,50 (+4),"GOOD LAYUP by WILSON,KEVIN(in the paint)",MSPS-M 46-50 (+4),,"GOOD LAYUP by WILSON,KEVIN(in the paint)",2
00:15,"FOUL  by DAVIDSON,ROSS",,,,,,,"FOUL  by DAVIDSON,ROSS",2
00:15,,46,,51 (+5),"GOOD FT by WILSON,KEVIN",MSPS-M 46-51 (+5),,"GOOD FT by WILSON,KEVIN",2
00:11,"MISS LAYUP by ASSINESI,DREW",,,,,,,"MISS LAYUP by ASSINESI,DREW",2
--,,,,,"REBOUND DEF by WILSON,KEVIN",,,"REBOUND DEF by WILSON,KEVIN",2
00:06,"FOUL  by WILSON,NATE",,,,,,,"FOUL  by WILSON,NATE",2
00:06,,46,,52 (+6),"GOOD FT by WILSON,KEVIN",MSPS-M 46-52 (+6),,"GOOD FT by WILSON,KEVIN",2
00:06,,,,,"MISS FT by WILSON,KEVIN",,,"MISS FT by WILSON,KEVIN",2
--,"REBOUND DEF by BRUFFEY,TANNER",,,,,,,"REBOUND DEF by BRUFFEY,TANNER",2
00:04,"MISS 3PTR by BRUFFEY,TANNER",,,,,,,"MISS 3PTR by BRUFFEY,TANNER",2
--,,,,,"REBOUND DEF by ROBERTSON,MARC",,,"REBOUND DEF by ROBERTSON,MARC",2
