Time Remaining,AUR,Away Team Score,Play Team Indicator,Home Team Score,RHO,Game Score,Team Indicator,Play,Period
13:31,"FOUL  by DUNN,MATT",,,,,,,"FOUL  by DUNN,MATT",1
13:18,,,,,"MISS LAYUP by GEE,TYLER",,,"MISS LAYUP by GEE,TYLER",1
--,,,,,"REBOUND OFF by HARRISON,IAN",,,"REBOUND OFF by HARRISON,IAN",1
13:12,,11,,14 (+3),"GOOD 3PTR by WEIR,JJ",RHO 11-14 (+3),,"GOOD 3PTR by WEIR,JJ",1
--,,,,,"ASSIST  by HARRISON,IAN",,,"ASSIST  by HARRISON,IAN",1
13:06,"GOOD 3PTR by FRITSCH,CHRIS",14,,14,,AUR 14-14 (0),,"GOOD 3PTR by FRITSCH,CHRIS",1
--,"ASSIST  by LAGRONE,JEREMY",,,,,,,"ASSIST  by LAGRONE,JEREMY",1
12:46,,,,,"TURNOVER  by GEE,TYLER",,,"TURNOVER  by GEE,TYLER",1
12:46,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
12:46,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
12:46,"SUB IN by KRAMP,PAT",,,,,,,"SUB IN by KRAMP,PAT",1
12:46,"SUB OUT by STOKES,KALMON",,,,,,,"SUB OUT by STOKES,KALMON",1
12:36,"MISS 3PTR by LAGRONE,JEREMY",,,,,,,"MISS 3PTR by LAGRONE,JEREMY",1
--,"REBOUND OFF by KRAMP,PAT",,,,,,,"REBOUND OFF by KRAMP,PAT",1
12:30,"MISS LAYUP by KRAMP,PAT",,,,,,,"MISS LAYUP by KRAMP,PAT",1
12:30,,,,,"BLOCK  by DARST,DANIEL",,,"BLOCK  by DARST,DANIEL",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
12:17,"GOOD LAYUP by KLADIS,NICK(in the paint)",16 (+2),,14,,AUR 16-14 (-2),,"GOOD LAYUP by KLADIS,NICK(in the paint)",1
12:01,,16,,16,"GOOD LAYUP by HARRISON,IAN(in the paint)",RHO 16-16 (0),,"GOOD LAYUP by HARRISON,IAN(in the paint)",1
--,,,,,"ASSIST  by DARST,DANIEL",,,"ASSIST  by DARST,DANIEL",1
11:40,,,,,"SUB IN by BUTTS,KEYSHAWN",,,"SUB IN by BUTTS,KEYSHAWN",1
11:40,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1
