Time Remaining,RHO,Away Team Score,Play Team Indicator,Home Team Score,CCM,Game Score,Team Indicator,Play,Period
17:06,"GOOD LAYUP by GEE,TYLER(in the paint)",33 (+16),,17,,RHO 33-17 (+16),,"GOOD LAYUP by GEE,TYLER(in the paint)",2
--,"ASSIST  by MUHAMMAD,AQUIL",,,,,,,"ASSIST  by MUHAMMAD,AQUIL",2
16:53,,,,,"MISS 3PTR by TWAGIRAYEZU,PATJO",,,"MISS 3PTR by TWAGIRAYEZU,PATJO",2
--,,,,,"REBOUND OFF by BOYD,CHRIS",,,"REBOUND OFF by BOYD,CHRIS",2
16:49,,,,,"SUB IN by SEARS,CONNOR",,,"SUB IN by SEARS,CONNOR",2
16:49,,,,,"SUB OUT by BOYD,CHRIS",,,"SUB OUT by BOYD,CHRIS",2
16:32,,33 (+14),,19,"GOOD LAYUP by SEARS,CONNOR(in the paint)",CCM 33-19 (+14),,"GOOD LAYUP by SEARS,CONNOR(in the paint)",2
--,,,,,"ASSIST  by COX,TJ",,,"ASSIST  by COX,TJ",2
16:16,"TURNOVER  by MUHAMMAD,AQUIL",,,,,,,"TURNOVER  by MUHAMMAD,AQUIL",2
16:16,,,,,"SUB IN by ARIMA,Z",,,"SUB IN by ARIMA,Z",2
16:16,,,,,"SUB OUT by SPRAGG,BAILEY",,,"SUB OUT by SPRAGG,BAILEY",2
16:08,"FOUL  by MUHAMMAD,AQUIL",,,,,,,"FOUL  by MUHAMMAD,AQUIL",2
16:08,"SUB IN by GALVIN,DANIEL",,,,,,,"SUB IN by GALVIN,DANIEL",2
16:08,"SUB OUT by MUHAMMAD,AQUIL",,,,,,,"SUB OUT by MUHAMMAD,AQUIL",2
15:58,,,,,"MISS LAYUP by TWAGIRAYEZU,PATJO",,,"MISS LAYUP by TWAGIRAYEZU,PATJO",2
--,"REBOUND DEF by GALVIN,DANIEL",,,,,,,"REBOUND DEF by GALVIN,DANIEL",2
15:37,"GOOD LAYUP by GEE,TYLER(in the paint)",35 (+16),,19,,RHO 35-19 (+16),,"GOOD LAYUP by GEE,TYLER(in the paint)",2
--,"ASSIST  by SULLIVAN,BRENNAN",,,,,,,"ASSIST  by SULLIVAN,BRENNAN",2
15:23,,,,,"MISS 3PTR by DRYDEN,BERTO",,,"MISS 3PTR by DRYDEN,BERTO",2
--,"REBOUND DEF by WEIR,JJ",,,,,,,"REBOUND DEF by WEIR,JJ",2
15:11,"GOOD 3PTR by SULLIVAN,BRENNAN",38 (+19),,19,,RHO 38-19 (+19),,"GOOD 3PTR by SULLIVAN,BRENNAN",2
--,"ASSIST  by GEE,TYLER",,,,,,,"ASSIST  by GEE,TYLER",2
14:58,,,,,"MISS 3PTR by COX,TJ",,,"MISS 3PTR by COX,TJ",2
--,"REBOUND DEF by BUTTS,KEYSHAWN",,,,,,,"REBOUND DEF by BUTTS,KEYSHAWN",2
14:46,"MISS LAYUP by GALVIN,DANIEL",,,,,,,"MISS LAYUP by GALVIN,DANIEL",2
--,,,,,"REBOUND DEF by COX,TJ",,,"REBOUND DEF by COX,TJ",2
14:39,,,,,"MISS 3PTR by TWAGIRAYEZU,PATJO",,,"MISS 3PTR by TWAGIRAYEZU,PATJO",2
--,"REBOUND DEF by GALVIN,DANIEL",,,,,,,"REBOUND DEF by GALVIN,DANIEL",2
14:34,"TURNOVER  by GALVIN,DANIEL",,,,,,,"TURNOVER  by GALVIN,DANIEL",2
14:34,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,2
14:34,"SUB IN by LOWRIE,ANDREW",,,,,,,"SUB IN by LOWRIE,ANDREW",2
14:34,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",2
14:34,"SUB OUT by WEIR,JJ",,,,,,,"SUB OUT by WEIR,JJ",2
14:34,"SUB OUT by SULLIVAN,BRENNAN",,,,,,,"SUB OUT by SULLIVAN,BRENNAN",2
14:34,,,,,"SUB IN by GARRETT,DANIEL",,,"SUB IN by GARRETT,DANIEL",2
14:34,,,,,"SUB IN by BOYD,CHRIS",,,"SUB IN by BOYD,CHRIS",2
14:34,,,,,"SUB IN by PHELPS,BEN",,,"SUB IN by PHELPS,BEN",2
14:34,,,,,"SUB OUT by SEARS,CONNOR",,,"SUB OUT by SEARS,CONNOR",2
14:34,,,,,"SUB OUT by DRYDEN,BERTO",,,"SUB OUT by DRYDEN,BERTO",2
14:34,,,,,"SUB OUT by TWAGIRAYEZU,PATJO",,,"SUB OUT by TWAGIRAYEZU,PATJO",2
14:09,,38 (+17),,21,"GOOD JUMPER by ARIMA,Z(in the paint)",CCM 38-21 (+17),,"GOOD JUMPER by ARIMA,Z(in the paint)",2
13:50,,,,,"FOUL  by ARIMA,Z",,,"FOUL  by ARIMA,Z",2
13:50,"MISS FT by DARST,DANIEL",,,,,,,"MISS FT by DARST,DANIEL",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
13:50,"MISS FT by DARST,DANIEL",,,,,,,"MISS FT by DARST,DANIEL",2
--,,,,,"REBOUND DEF by GARRETT,DANIEL",,,"REBOUND DEF by GARRETT,DANIEL",2
13:50,"SUB IN by MUHAMMAD,AQUIL",,,,,,,"SUB IN by MUHAMMAD,AQUIL",2
13:50,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",2
13:34,,,,,"MISS JUMPER by ARIMA,Z",,,"MISS JUMPER by ARIMA,Z",2
--,"REBOUND DEF by DARST,DANIEL",,,,,,,"REBOUND DEF by DARST,DANIEL",2
13:07,,,,,"FOUL  by BOYD,CHRIS",,,"FOUL  by BOYD,CHRIS",2
13:07,"MISS FT by MUHAMMAD,AQUIL",,,,,,,"MISS FT by MUHAMMAD,AQUIL",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
13:07,"MISS FT by MUHAMMAD,AQUIL",,,,,,,"MISS FT by MUHAMMAD,AQUIL",2
--,,,,,"REBOUND DEF by GARRETT,DANIEL",,,"REBOUND DEF by GARRETT,DANIEL",2
13:07,,,,,"SUB IN by SEARS,CONNOR",,,"SUB IN by SEARS,CONNOR",2
13:07,,,,,"SUB IN by SPRAGG,BAILEY",,,"SUB IN by SPRAGG,BAILEY",2
13:07,,,,,"SUB OUT by ARIMA,Z",,,"SUB OUT by ARIMA,Z",2
13:07,,,,,"SUB OUT by BOYD,CHRIS",,,"SUB OUT by BOYD,CHRIS",2
13:00,,38 (+14),,24,"GOOD 3PTR by PHELPS,BEN",CCM 38-24 (+14),,"GOOD 3PTR by PHELPS,BEN",2
--,,,,,"ASSIST  by COX,TJ",,,"ASSIST  by COX,TJ",2
12:31,"GOOD LAYUP by GALVIN,DANIEL(in the paint)",40 (+16),,24,,RHO 40-24 (+16),,"GOOD LAYUP by GALVIN,DANIEL(in the paint)",2
12:16,,40 (+13),,27,"GOOD 3PTR by PHELPS,BEN",CCM 40-27 (+13),,"GOOD 3PTR by PHELPS,BEN",2
--,,,,,"ASSIST  by GARRETT,DANIEL",,,"ASSIST  by GARRETT,DANIEL",2
11:58,,,,,"FOUL  by GARRETT,DANIEL",,,"FOUL  by GARRETT,DANIEL",2
11:58,TIMEOUT media by TEAM,,,,,,,TIMEOUT media by TEAM,2
11:58,"GOOD FT by MUHAMMAD,AQUIL",41 (+14),,27,,RHO 41-27 (+14),,"GOOD FT by MUHAMMAD,AQUIL",2
11:58,"GOOD FT by MUHAMMAD,AQUIL",42 (+15),,27,,RHO 42-27 (+15),,"GOOD FT by MUHAMMAD,AQUIL",2
11:58,"SUB IN by SULLIVAN,BRENNAN",,,,,,,"SUB IN by SULLIVAN,BRENNAN",2
11:58,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",2
11:58,"SUB OUT by BUTTS,KEYSHAWN",,,,,,,"SUB OUT by BUTTS,KEYSHAWN",2
11:58,"SUB OUT by GALVIN,DANIEL",,,,,,,"SUB OUT by GALVIN,DANIEL",2
11:58,,,,,"SUB IN by TWAGIRAYEZU,PATJO",,,"SUB IN by TWAGIRAYEZU,PATJO",2
11:58,,,,,"SUB OUT by GARRETT,DANIEL",,,"SUB OUT by GARRETT,DANIEL",2
11:30,,,,,"MISS LAYUP by PHELPS,BEN",,,"MISS LAYUP by PHELPS,BEN",2
--,"REBOUND DEF by LOWRIE,ANDREW",,,,,,,"REBOUND DEF by LOWRIE,ANDREW",2
11:19,"MISS JUMPER by LOWRIE,ANDREW",,,,,,,"MISS JUMPER by LOWRIE,ANDREW",2
--,,,,,"REBOUND DEF by TWAGIRAYEZU,PATJO",,,"REBOUND DEF by TWAGIRAYEZU,PATJO",2
11:03,,,,,"TURNOVER  by COX,TJ",,,"TURNOVER  by COX,TJ",2
10:38,"TURNOVER  by LOWRIE,ANDREW",,,,,,,"TURNOVER  by LOWRIE,ANDREW",2
10:37,,,,,"STEAL  by TWAGIRAYEZU,PATJO",,,"STEAL  by TWAGIRAYEZU,PATJO",2
10:31,,,,,"MISS LAYUP by SPRAGG,BAILEY",,,"MISS LAYUP by SPRAGG,BAILEY",2
10:31,"BLOCK  by MUHAMMAD,AQUIL",,,,,,,"BLOCK  by MUHAMMAD,AQUIL",2
--,"REBOUND DEF by DARST,DANIEL",,,,,,,"REBOUND DEF by DARST,DANIEL",2
10:20,"TURNOVER  by SULLIVAN,BRENNAN",,,,,,,"TURNOVER  by SULLIVAN,BRENNAN",2
10:20,"SUB IN by WEIR,JJ",,,,,,,"SUB IN by WEIR,JJ",2
10:20,"SUB OUT by LOWRIE,ANDREW",,,,,,,"SUB OUT by LOWRIE,ANDREW",2
10:12,,42 (+12),,30,"GOOD 3PTR by PHELPS,BEN",CCM 42-30 (+12),,"GOOD 3PTR by PHELPS,BEN",2
--,,,,,"ASSIST  by COX,TJ",,,"ASSIST  by COX,TJ",2
09:50,"SUB IN by BUTTS,KEYSHAWN",,,,,,,"SUB IN by BUTTS,KEYSHAWN",2
09:50,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",2
09:50,,,,,"SUB IN by DRYDEN,BERTO",,,"SUB IN by DRYDEN,BERTO",2
09:50,,,,,"SUB OUT by COX,TJ",,,"SUB OUT by COX,TJ",2
09:41,"MISS 3PTR by SULLIVAN,BRENNAN",,,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",2
--,"REBOUND OFF by MUHAMMAD,AQUIL",,,,,,,"REBOUND OFF by MUHAMMAD,AQUIL",2
09:23,"GOOD 3PTR by SULLIVAN,BRENNAN",45 (+15),,30,,RHO 45-30 (+15),,"GOOD 3PTR by SULLIVAN,BRENNAN",2
--,"ASSIST  by MUHAMMAD,AQUIL",,,,,,,"ASSIST  by MUHAMMAD,AQUIL",2
09:14,,,,,"FOUL  by DRYDEN,BERTO",,,"FOUL  by DRYDEN,BERTO",2
09:14,,,,,"TURNOVER  by DRYDEN,BERTO",,,"TURNOVER  by DRYDEN,BERTO",2
08:53,"GOOD LAYUP by MUHAMMAD,AQUIL(in the paint)",47 (+17),,30,,RHO 47-30 (+17),,"GOOD LAYUP by MUHAMMAD,AQUIL(in the paint)",2
08:37,"FOUL  by WEIR,JJ",,,,,,,"FOUL  by WEIR,JJ",2
08:18,,47 (+15),,32,"GOOD JUMPER by PHELPS,BEN",CCM 47-32 (+15),,"GOOD JUMPER by PHELPS,BEN",2
08:04,,,,,"FOUL  by SPRAGG,BAILEY",,,"FOUL  by SPRAGG,BAILEY",2
08:00,"FOUL  by SULLIVAN,BRENNAN",,,,,,,"FOUL  by SULLIVAN,BRENNAN",2
08:00,"TURNOVER  by SULLIVAN,BRENNAN",,,,,,,"TURNOVER  by SULLIVAN,BRENNAN",2
07:39,,,,,"MISS 3PTR by PHELPS,BEN",,,"MISS 3PTR by PHELPS,BEN",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
07:36,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,2
07:36,,,,,"SUB IN by COX,TJ",,,"SUB IN by COX,TJ",2
07:36,,,,,"SUB OUT by PHELPS,BEN",,,"SUB OUT by PHELPS,BEN",2
07:33,,,,,"MISS JUMPER by COX,TJ",,,"MISS JUMPER by COX,TJ",2
--,,,,,"REBOUND OFF by SEARS,CONNOR",,,"REBOUND OFF by SEARS,CONNOR",2
07:31,,47 (+13),,34,"GOOD TIPIN by SEARS,CONNOR(in the paint)",CCM 47-34 (+13),,"GOOD TIPIN by SEARS,CONNOR(in the paint)",2
07:02,"MISS 3PTR by GEE,TYLER",,,,,,,"MISS 3PTR by GEE,TYLER",2
--,"REBOUND OFF by SULLIVAN,BRENNAN",,,,,,,"REBOUND OFF by SULLIVAN,BRENNAN",2
06:46,"TURNOVER  by GEE,TYLER",,,,,,,"TURNOVER  by GEE,TYLER",2
06:38,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
06:27,,47 (+10),,37,"GOOD 3PTR by TWAGIRAYEZU,PATJO",CCM 47-37 (+10),,"GOOD 3PTR by TWAGIRAYEZU,PATJO",2
--,,,,,"ASSIST  by SPRAGG,BAILEY",,,"ASSIST  by SPRAGG,BAILEY",2
06:04,"MISS LAYUP by BUTTS,KEYSHAWN",,,,,,,"MISS LAYUP by BUTTS,KEYSHAWN",2
--,"REBOUND OFF by MUHAMMAD,AQUIL",,,,,,,"REBOUND OFF by MUHAMMAD,AQUIL",2
05:48,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
05:36,"FOUL  by WEIR,JJ",,,,,,,"FOUL  by WEIR,JJ",2
05:36,,47 (+9),,38,"GOOD FT by COX,TJ",CCM 47-38 (+9),,"GOOD FT by COX,TJ",2
05:36,,,,,"MISS FT by COX,TJ",,,"MISS FT by COX,TJ",2
--,"REBOUND DEF by GEE,TYLER",,,,,,,"REBOUND DEF by GEE,TYLER",2
05:10,"MISS LAYUP by MUHAMMAD,AQUIL",,,,,,,"MISS LAYUP by MUHAMMAD,AQUIL",2
--,,,,,"REBOUND DEF by TWAGIRAYEZU,PATJO",,,"REBOUND DEF by TWAGIRAYEZU,PATJO",2
04:52,,47 (+6),,41,"GOOD 3PTR by TWAGIRAYEZU,PATJO",CCM 47-41 (+6),,"GOOD 3PTR by TWAGIRAYEZU,PATJO",2
--,,,,,"ASSIST  by SEARS,CONNOR",,,"ASSIST  by SEARS,CONNOR",2
04:38,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
04:38,,,,,"SUB IN by PHELPS,BEN",,,"SUB IN by PHELPS,BEN",2
04:38,,,,,"SUB OUT by DRYDEN,BERTO",,,"SUB OUT by DRYDEN,BERTO",2
04:27,,,,,"FOUL  by PHELPS,BEN",,,"FOUL  by PHELPS,BEN",2
04:25,"MISS LAYUP by BUTTS,KEYSHAWN",,,,,,,"MISS LAYUP by BUTTS,KEYSHAWN",2
--,,,,,"REBOUND DEF by SPRAGG,BAILEY",,,"REBOUND DEF by SPRAGG,BAILEY",2
04:09,,,,,"TURNOVER  by COX,TJ",,,"TURNOVER  by COX,TJ",2
03:58,"TURNOVER  by WEIR,JJ",,,,,,,"TURNOVER  by WEIR,JJ",2
03:58,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,2
03:58,"SUB IN by GALVIN,DANIEL",,,,,,,"SUB IN by GALVIN,DANIEL",2
03:58,"SUB IN by LOWRIE,ANDREW",,,,,,,"SUB IN by LOWRIE,ANDREW",2
03:58,"SUB OUT by BUTTS,KEYSHAWN",,,,,,,"SUB OUT by BUTTS,KEYSHAWN",2
03:58,"SUB OUT by MUHAMMAD,AQUIL",,,,,,,"SUB OUT by MUHAMMAD,AQUIL",2
03:31,,,,,"MISS 3PTR by COX,TJ",,,"MISS 3PTR by COX,TJ",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
03:10,"MISS 3PTR by LOWRIE,ANDREW",,,,,,,"MISS 3PTR by LOWRIE,ANDREW",2
--,,,,,"REBOUND DEF by SEARS,CONNOR",,,"REBOUND DEF by SEARS,CONNOR",2
02:54,,47 (+4),,43,"GOOD LAYUP by TWAGIRAYEZU,PATJO(in the paint)",CCM 47-43 (+4),,"GOOD LAYUP by TWAGIRAYEZU,PATJO(in the paint)",2
02:31,,,,,"FOUL  by COX,TJ",,,"FOUL  by COX,TJ",2
02:31,"GOOD FT by SULLIVAN,BRENNAN",48 (+5),,43,,RHO 48-43 (+5),,"GOOD FT by SULLIVAN,BRENNAN",2
02:31,"GOOD FT by SULLIVAN,BRENNAN",49 (+6),,43,,RHO 49-43 (+6),,"GOOD FT by SULLIVAN,BRENNAN",2
02:31,"SUB IN by BUTTS,KEYSHAWN",,,,,,,"SUB IN by BUTTS,KEYSHAWN",2
02:31,"SUB OUT by WEIR,JJ",,,,,,,"SUB OUT by WEIR,JJ",2
02:14,,,,,"MISS 3PTR by COX,TJ",,,"MISS 3PTR by COX,TJ",2
--,"REBOUND DEF by LOWRIE,ANDREW",,,,,,,"REBOUND DEF by LOWRIE,ANDREW",2
01:47,"GOOD 3PTR by SULLIVAN,BRENNAN",52 (+9),,43,,RHO 52-43 (+9),,"GOOD 3PTR by SULLIVAN,BRENNAN",2
--,"ASSIST  by BUTTS,KEYSHAWN",,,,,,,"ASSIST  by BUTTS,KEYSHAWN",2
01:38,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
01:38,"SUB IN by WEIR,JJ",,,,,,,"SUB IN by WEIR,JJ",2
01:38,"SUB IN by MUHAMMAD,AQUIL",,,,,,,"SUB IN by MUHAMMAD,AQUIL",2
01:38,"SUB OUT by BUTTS,KEYSHAWN",,,,,,,"SUB OUT by BUTTS,KEYSHAWN",2
01:38,"SUB OUT by GALVIN,DANIEL",,,,,,,"SUB OUT by GALVIN,DANIEL",2
01:22,,,,,"FOUL  by SEARS,CONNOR",,,"FOUL  by SEARS,CONNOR",2
01:22,,,,,"TURNOVER  by SEARS,CONNOR",,,"TURNOVER  by SEARS,CONNOR",2
00:59,"MISS JUMPER by LOWRIE,ANDREW",,,,,,,"MISS JUMPER by LOWRIE,ANDREW",2
--,"REBOUND OFF by GEE,TYLER",,,,,,,"REBOUND OFF by GEE,TYLER",2
00:49,,,,,"FOUL  by COX,TJ",,,"FOUL  by COX,TJ",2
00:49,"GOOD FT by SULLIVAN,BRENNAN",53 (+10),,43,,RHO 53-43 (+10),,"GOOD FT by SULLIVAN,BRENNAN",2
00:49,"GOOD FT by SULLIVAN,BRENNAN",54 (+11),,43,,RHO 54-43 (+11),,"GOOD FT by SULLIVAN,BRENNAN",2
00:49,"SUB IN by BUTTS,KEYSHAWN",,,,,,,"SUB IN by BUTTS,KEYSHAWN",2
00:49,"SUB OUT by LOWRIE,ANDREW",,,,,,,"SUB OUT by LOWRIE,ANDREW",2
00:49,,,,,"SUB IN by DRYDEN,BERTO",,,"SUB IN by DRYDEN,BERTO",2
00:49,,,,,"SUB OUT by COX,TJ",,,"SUB OUT by COX,TJ",2
00:43,,54 (+8),,46,"GOOD 3PTR by SPRAGG,BAILEY",CCM 54-46 (+8),,"GOOD 3PTR by SPRAGG,BAILEY",2
--,,,,,"ASSIST  by DRYDEN,BERTO",,,"ASSIST  by DRYDEN,BERTO",2
00:40,"TURNOVER  by GEE,TYLER",,,,,,,"TURNOVER  by GEE,TYLER",2
00:39,,,,,"STEAL  by SPRAGG,BAILEY",,,"STEAL  by SPRAGG,BAILEY",2
00:27,"FOUL  by WEIR,JJ",,,,,,,"FOUL  by WEIR,JJ",2
00:27,,54 (+7),,47,"GOOD FT by PHELPS,BEN",CCM 54-47 (+7),,"GOOD FT by PHELPS,BEN",2
00:27,,54 (+6),,48,"GOOD FT by PHELPS,BEN",CCM 54-48 (+6),,"GOOD FT by PHELPS,BEN",2
00:27,"SUB IN by LOWRIE,ANDREW",,,,,,,"SUB IN by LOWRIE,ANDREW",2
00:27,"SUB OUT by BUTTS,KEYSHAWN",,,,,,,"SUB OUT by BUTTS,KEYSHAWN",2
00:26,,,,,"FOUL  by DRYDEN,BERTO",,,"FOUL  by DRYDEN,BERTO",2
00:26,"GOOD FT by SULLIVAN,BRENNAN",55 (+7),,48,,RHO 55-48 (+7),,"GOOD FT by SULLIVAN,BRENNAN",2
00:26,"MISS FT by SULLIVAN,BRENNAN",,,,,,,"MISS FT by SULLIVAN,BRENNAN",2
--,,,,,"REBOUND DEF by PHELPS,BEN",,,"REBOUND DEF by PHELPS,BEN",2
00:26,"SUB IN by BUTTS,KEYSHAWN",,,,,,,"SUB IN by BUTTS,KEYSHAWN",2
00:26,"SUB OUT by LOWRIE,ANDREW",,,,,,,"SUB OUT by LOWRIE,ANDREW",2
00:20,,,,,"MISS 3PTR by SPRAGG,BAILEY",,,"MISS 3PTR by SPRAGG,BAILEY",2
--,"REBOUND DEF by BUTTS,KEYSHAWN",,,,,,,"REBOUND DEF by BUTTS,KEYSHAWN",2
00:11,,,,,"FOUL  by SEARS,CONNOR",,,"FOUL  by SEARS,CONNOR",2
00:11,"GOOD FT by MUHAMMAD,AQUIL",56 (+8),,48,,RHO 56-48 (+8),,"GOOD FT by MUHAMMAD,AQUIL",2
00:11,"GOOD FT by MUHAMMAD,AQUIL",57 (+9),,48,,RHO 57-48 (+9),,"GOOD FT by MUHAMMAD,AQUIL",2
00:06,,,,,"MISS JUMPER by DRYDEN,BERTO",,,"MISS JUMPER by DRYDEN,BERTO",2
--,"REBOUND DEF by GEE,TYLER",,,,,,,"REBOUND DEF by GEE,TYLER",2
00:04,,,,,"FOUL  by TWAGIRAYEZU,PATJO",,,"FOUL  by TWAGIRAYEZU,PATJO",2
00:04,"GOOD FT by GEE,TYLER",58 (+10),,48,,RHO 58-48 (+10),,"GOOD FT by GEE,TYLER",2
00:04,"MISS FT by GEE,TYLER",,,,,,,"MISS FT by GEE,TYLER",2
--,,,,,"REBOUND DEF by TWAGIRAYEZU,PATJO",,,"REBOUND DEF by TWAGIRAYEZU,PATJO",2
