Time Remaining,E&H,Away Team Score,Play Team Indicator,Home Team Score,RHO,Game Score,Team Indicator,Play,Period
14:19,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
14:19,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
14:19,,,,,"SUB OUT by LOWRIE,ANDREW",,,"SUB OUT by LOWRIE,ANDREW",1
14:19,,,,,"SUB OUT by DALTON,PRICE",,,"SUB OUT by DALTON,PRICE",1
14:19,,,,,"SUB OUT by GALVIN,DANIEL",,,"SUB OUT by GALVIN,DANIEL",1
14:19,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
14:19,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
14:19,,,,,"SUB IN by LOWRIE,ANDREW",,,"SUB IN by LOWRIE,ANDREW",1
14:19,,,,,"SUB IN by BUTTS,KEYSHAWN",,,"SUB IN by BUTTS,KEYSHAWN",1
14:19,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",1
14:19,"SUB OUT by GRAVLEY,RYAN",,,,,,,"SUB OUT by GRAVLEY,RYAN",1
14:19,"SUB OUT by TURNER,MYLES",,,,,,,"SUB OUT by TURNER,MYLES",1
14:19,"SUB OUT by SELF,BRANDON",,,,,,,"SUB OUT by SELF,BRANDON",1
14:19,"SUB OUT by SHELOR,JOHN",,,,,,,"SUB OUT by SHELOR,JOHN",1
14:19,"SUB OUT by ANZENBERGER,KEVIN",,,,,,,"SUB OUT by ANZENBERGER,KEVIN",1
14:19,"SUB IN by MCLEAN,JOHNNY",,,,,,,"SUB IN by MCLEAN,JOHNNY",1
14:19,"SUB IN by CONLEY,CLIF",,,,,,,"SUB IN by CONLEY,CLIF",1
14:19,"SUB IN by WYNN,ALIC",,,,,,,"SUB IN by WYNN,ALIC",1
14:19,"SUB IN by SHELOR,JOHN",,,,,,,"SUB IN by SHELOR,JOHN",1
14:19,"SUB IN by BRANSCOMB,CHASE",,,,,,,"SUB IN by BRANSCOMB,CHASE",1
14:19,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
14:19,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
14:19,"SUB IN by ANZENBERGER,KEVIN",,,,,,,"SUB IN by ANZENBERGER,KEVIN",1
14:19,"SUB OUT by SHELOR,JOHN",,,,,,,"SUB OUT by SHELOR,JOHN",1
14:07,"GOOD 3PTR by CONLEY,CLIF",17 (+13),,4,,E&H 17-4 (-13),,"GOOD 3PTR by CONLEY,CLIF",1
--,"ASSIST  by MCLEAN,JOHNNY",,,,,,,"ASSIST  by MCLEAN,JOHNNY",1
13:43,,17 (+11),,6,"GOOD LAYUP by HARRISON,IAN(in the paint)",RHO 17-6 (-11),,"GOOD LAYUP by HARRISON,IAN(in the paint)",1
--,,,,,"ASSIST  by BUTTS,KEYSHAWN",,,"ASSIST  by BUTTS,KEYSHAWN",1
13:32,,,,,"FOUL  by SULLIVAN,BRENNAN",,,"FOUL  by SULLIVAN,BRENNAN",1
13:28,"GOOD LAYUP by BRANSCOMB,CHASE(in the paint)",19 (+13),,6,,E&H 19-6 (-13),,"GOOD LAYUP by BRANSCOMB,CHASE(in the paint)",1
--,"ASSIST  by ANZENBERGER,KEVIN",,,,,,,"ASSIST  by ANZENBERGER,KEVIN",1
13:16,"FOUL  by ANZENBERGER,KEVIN",,,,,,,"FOUL  by ANZENBERGER,KEVIN",1
13:16,,19 (+12),,7,"GOOD FT by SULLIVAN,BRENNAN",RHO 19-7 (-12),,"GOOD FT by SULLIVAN,BRENNAN",1
13:16,,19 (+11),,8,"GOOD FT by SULLIVAN,BRENNAN",RHO 19-8 (-11),,"GOOD FT by SULLIVAN,BRENNAN",1
13:06,"MISS 3PTR by CONLEY,CLIF",,,,,,,"MISS 3PTR by CONLEY,CLIF",1
--,"REBOUND OFF by ANZENBERGER,KEVIN",,,,,,,"REBOUND OFF by ANZENBERGER,KEVIN",1
12:53,"TURNOVER  by MCLEAN,JOHNNY",,,,,,,"TURNOVER  by MCLEAN,JOHNNY",1
12:40,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",,,"MISS 3PTR by SULLIVAN,BRENNAN",1
--,"REBOUND DEF by MCLEAN,JOHNNY",,,,,,,"REBOUND DEF by MCLEAN,JOHNNY",1
12:32,"MISS LAYUP by MCLEAN,JOHNNY",,,,,,,"MISS LAYUP by MCLEAN,JOHNNY",1
--,"REBOUND OFF by WYNN,ALIC",,,,,,,"REBOUND OFF by WYNN,ALIC",1
12:28,"GOOD TIPIN by WYNN,ALIC(in the paint)",21 (+13),,8,,E&H 21-8 (-13),,"GOOD TIPIN by WYNN,ALIC(in the paint)",1
12:10,,21 (+11),,10,"GOOD LAYUP by LOWRIE,ANDREW(in the paint)",RHO 21-10 (-11),,"GOOD LAYUP by LOWRIE,ANDREW(in the paint)",1
11:52,"MISS LAYUP by WYNN,ALIC",,,,,,,"MISS LAYUP by WYNN,ALIC",1
--,"REBOUND OFF by BRANSCOMB,CHASE",,,,,,,"REBOUND OFF by BRANSCOMB,CHASE",1
11:50,"MISS LAYUP by BRANSCOMB,CHASE",,,,,,,"MISS LAYUP by BRANSCOMB,CHASE",1
--,,,,,"REBOUND DEF by SULLIVAN,BRENNAN",,,"REBOUND DEF by SULLIVAN,BRENNAN",1
11:27,,,,,"MISS LAYUP by HARRISON,IAN",,,"MISS LAYUP by HARRISON,IAN",1
--,,,,,"REBOUND OFF by DARST,DANIEL",,,"REBOUND OFF by DARST,DANIEL",1
11:27,"FOUL  by CONLEY,CLIF",,,,,,,"FOUL  by CONLEY,CLIF",1
11:27,,,,,"SUB IN by GALVIN,DANIEL",,,"SUB IN by GALVIN,DANIEL",1
11:27,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
11:27,"SUB OUT by GRAVLEY,RYAN",,,,,,,"SUB OUT by GRAVLEY,RYAN",1
11:27,"SUB OUT by TURNER,MYLES",,,,,,,"SUB OUT by TURNER,MYLES",1
11:27,"SUB OUT by SELF,BRANDON",,,,,,,"SUB OUT by SELF,BRANDON",1
11:27,"SUB OUT by SHELOR,JOHN",,,,,,,"SUB OUT by SHELOR,JOHN",1
11:27,"SUB OUT by ANZENBERGER,KEVIN",,,,,,,"SUB OUT by ANZENBERGER,KEVIN",1
11:27,"SUB IN by GRAVLEY,RYAN",,,,,,,"SUB IN by GRAVLEY,RYAN",1
11:27,"SUB IN by TURNER,MYLES",,,,,,,"SUB IN by TURNER,MYLES",1
11:27,"SUB IN by WYNN,ALIC",,,,,,,"SUB IN by WYNN,ALIC",1
11:27,"SUB IN by BRANSCOMB,CHASE",,,,,,,"SUB IN by BRANSCOMB,CHASE",1
11:27,"SUB IN by ANZENBERGER,KEVIN",,,,,,,"SUB IN by ANZENBERGER,KEVIN",1
11:23,"FOUL  by ANZENBERGER,KEVIN",,,,,,,"FOUL  by ANZENBERGER,KEVIN",1
11:23,"SUB IN by SHELOR,JOHN",,,,,,,"SUB IN by SHELOR,JOHN",1
11:23,"SUB OUT by ANZENBERGER,KEVIN",,,,,,,"SUB OUT by ANZENBERGER,KEVIN",1
11:23,,21 (+10),,11,"GOOD FT by SULLIVAN,BRENNAN",RHO 21-11 (-10),,"GOOD FT by SULLIVAN,BRENNAN",1
11:23,,21 (+9),,12,"GOOD FT by SULLIVAN,BRENNAN",RHO 21-12 (-9),,"GOOD FT by SULLIVAN,BRENNAN",1
11:23,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
11:23,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
11:07,"MISS JUMPER by SHELOR,JOHN",,,,,,,"MISS JUMPER by SHELOR,JOHN",1
--,,,,,"REBOUND DEF by BUTTS,KEYSHAWN",,,"REBOUND DEF by BUTTS,KEYSHAWN",1
11:00,,,,,"TURNOVER  by BUTTS,KEYSHAWN",,,"TURNOVER  by BUTTS,KEYSHAWN",1
10:47,"TURNOVER  by BRANSCOMB,CHASE",,,,,,,"TURNOVER  by BRANSCOMB,CHASE",1
10:46,,,,,"STEAL  by BUTTS,KEYSHAWN",,,"STEAL  by BUTTS,KEYSHAWN",1
10:33,,,,,"MISS LAYUP by GALVIN,DANIEL",,,"MISS LAYUP by GALVIN,DANIEL",1
10:33,"BLOCK  by BRANSCOMB,CHASE",,,,,,,"BLOCK  by BRANSCOMB,CHASE",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
10:28,,21 (+7),,14,"GOOD LAYUP by GALVIN,DANIEL(in the paint)",RHO 21-14 (-7),,"GOOD LAYUP by GALVIN,DANIEL(in the paint)",1
--,,,,,"ASSIST  by GEE,TYLER",,,"ASSIST  by GEE,TYLER",1
09:58,"MISS 3PTR by SHELOR,JOHN",,,,,,,"MISS 3PTR by SHELOR,JOHN",1
--,,,,,"REBOUND DEF by DARST,DANIEL",,,"REBOUND DEF by DARST,DANIEL",1
09:43,"SUB OUT by GRAVLEY,RYAN",,,,,,,"SUB OUT by GRAVLEY,RYAN",1
09:43,"SUB OUT by TURNER,MYLES",,,,,,,"SUB OUT by TURNER,MYLES",1
09:43,"SUB OUT by SELF,BRANDON",,,,,,,"SUB OUT by SELF,BRANDON",1
09:43,"SUB OUT by SHELOR,JOHN",,,,,,,"SUB OUT by SHELOR,JOHN",1
09:43,"SUB OUT by ANZENBERGER,KEVIN",,,,,,,"SUB OUT by ANZENBERGER,KEVIN",1
09:43,"SUB IN by GRAVLEY,RYAN",,,,,,,"SUB IN by GRAVLEY,RYAN",1
09:43,"SUB IN by TURNER,MYLES",,,,,,,"SUB IN by TURNER,MYLES",1
09:43,"SUB IN by SELF,BRANDON",,,,,,,"SUB IN by SELF,BRANDON",1
09:43,"SUB IN by SHELOR,JOHN",,,,,,,"SUB IN by SHELOR,JOHN",1
09:43,"SUB IN by FERGUSON,AARON",,,,,,,"SUB IN by FERGUSON,AARON",1
09:41,,,,,"TURNOVER  by LOWRIE,ANDREW",,,"TURNOVER  by LOWRIE,ANDREW",1
09:40,"STEAL  by SHELOR,JOHN",,,,,,,"STEAL  by SHELOR,JOHN",1
09:38,"GOOD LAYUP by SHELOR,JOHN(fastbreak)(in the paint)",23 (+9),,14,,E&H 23-14 (-9),,"GOOD LAYUP by SHELOR,JOHN(fastbreak)(in the paint)",1
09:26,,,,,"FOUL  by GALVIN,DANIEL",,,"FOUL  by GALVIN,DANIEL",1
09:26,,,,,"TURNOVER  by GALVIN,DANIEL",,,"TURNOVER  by GALVIN,DANIEL",1
09:26,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",1
09:26,,,,,"SUB OUT by GALVIN,DANIEL",,,"SUB OUT by GALVIN,DANIEL",1
09:12,"MISS LAYUP by FERGUSON,AARON",,,,,,,"MISS LAYUP by FERGUSON,AARON",1
--,,,,,"REBOUND DEF by DARST,DANIEL",,,"REBOUND DEF by DARST,DANIEL",1
08:54,"FOUL  by GRAVLEY,RYAN",,,,,,,"FOUL  by GRAVLEY,RYAN",1
08:54,,23 (+8),,15,"GOOD FT by GEE,TYLER",RHO 23-15 (-8),,"GOOD FT by GEE,TYLER",1
08:54,,23 (+7),,16,"GOOD FT by GEE,TYLER",RHO 23-16 (-7),,"GOOD FT by GEE,TYLER",1
08:54,,,,,"SUB IN by WEIR,JJ",,,"SUB IN by WEIR,JJ",1
08:54,,,,,"SUB OUT by LOWRIE,ANDREW",,,"SUB OUT by LOWRIE,ANDREW",1
08:39,"TURNOVER  by TURNER,MYLES",,,,,,,"TURNOVER  by TURNER,MYLES",1
08:38,,,,,"STEAL  by DARST,DANIEL",,,"STEAL  by DARST,DANIEL",1
08:35,,23 (+5),,18,"GOOD LAYUP by DARST,DANIEL(fastbreak)(in the paint)",RHO 23-18 (-5),,"GOOD LAYUP by DARST,DANIEL(fastbreak)(in the paint)",1
08:20,"MISS DUNK by SELF,BRANDON",,,,,,,"MISS DUNK by SELF,BRANDON",1
08:20,,,,,"BLOCK  by HARRISON,IAN",,,"BLOCK  by HARRISON,IAN",1
--,,,,,"REBOUND DEF by WEIR,JJ",,,"REBOUND DEF by WEIR,JJ",1
08:08,"FOUL  by TURNER,MYLES",,,,,,,"FOUL  by TURNER,MYLES",1
08:08,"SUB IN by CONLEY,CLIF",,,,,,,"SUB IN by CONLEY,CLIF",1
08:08,"SUB OUT by TURNER,MYLES",,,,,,,"SUB OUT by TURNER,MYLES",1
08:08,,,,,"SUB IN by LOWRIE,ANDREW",,,"SUB IN by LOWRIE,ANDREW",1
08:08,,,,,"SUB OUT by BUTTS,KEYSHAWN",,,"SUB OUT by BUTTS,KEYSHAWN",1
08:08,,23 (+4),,19,"GOOD FT by GEE,TYLER",RHO 23-19 (-4),,"GOOD FT by GEE,TYLER",1
08:08,,,,,"MISS FT by GEE,TYLER",,,"MISS FT by GEE,TYLER",1
--,"REBOUND DEF by SELF,BRANDON",,,,,,,"REBOUND DEF by SELF,BRANDON",1
07:48,"TURNOVER  by FERGUSON,AARON",,,,,,,"TURNOVER  by FERGUSON,AARON",1
07:32,,,,,"MISS LAYUP by HARRISON,IAN",,,"MISS LAYUP by HARRISON,IAN",1
--,,,,,"REBOUND OFF by GEE,TYLER",,,"REBOUND OFF by GEE,TYLER",1
07:29,,23 (+2),,21,"GOOD LAYUP by DARST,DANIEL(in the paint)",RHO 23-21 (-2),,"GOOD LAYUP by DARST,DANIEL(in the paint)",1
--,,,,,"ASSIST  by GEE,TYLER",,,"ASSIST  by GEE,TYLER",1
07:19,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
07:12,"MISS LAYUP by GRAVLEY,RYAN",,,,,,,"MISS LAYUP by GRAVLEY,RYAN",1
07:12,,,,,"BLOCK  by WEIR,JJ",,,"BLOCK  by WEIR,JJ",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
07:11,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
07:11,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
07:06,"MISS 3PTR by CONLEY,CLIF",,,,,,,"MISS 3PTR by CONLEY,CLIF",1
--,"REBOUND OFF by SELF,BRANDON",,,,,,,"REBOUND OFF by SELF,BRANDON",1
06:52,"TURNOVER  by SHELOR,JOHN",,,,,,,"TURNOVER  by SHELOR,JOHN",1
06:52,,,,,"STEAL  by WEIR,JJ",,,"STEAL  by WEIR,JJ",1
06:52,,,,,"TURNOVER  by HARRISON,IAN",,,"TURNOVER  by HARRISON,IAN",1
06:44,"GOOD 3PTR by GRAVLEY,RYAN",26 (+5),,21,,E&H 26-21 (-5),,"GOOD 3PTR by GRAVLEY,RYAN",1
06:28,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",,,"MISS 3PTR by SULLIVAN,BRENNAN",1
--,,,,,"REBOUND OFF by GEE,TYLER",,,"REBOUND OFF by GEE,TYLER",1
06:18,,,,,"MISS JUMPER by SULLIVAN,BRENNAN",,,"MISS JUMPER by SULLIVAN,BRENNAN",1
--,,,,,"REBOUND OFF by GEE,TYLER",,,"REBOUND OFF by GEE,TYLER",1
06:13,,,,,"MISS LAYUP by GEE,TYLER",,,"MISS LAYUP by GEE,TYLER",1
--,"REBOUND DEF by SELF,BRANDON",,,,,,,"REBOUND DEF by SELF,BRANDON",1
06:04,"MISS LAYUP by FERGUSON,AARON",,,,,,,"MISS LAYUP by FERGUSON,AARON",1
06:04,,,,,"BLOCK  by WEIR,JJ",,,"BLOCK  by WEIR,JJ",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
06:04,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
06:04,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
06:04,"SUB IN by WYNN,ALIC",,,,,,,"SUB IN by WYNN,ALIC",1
06:04,"SUB OUT by FERGUSON,AARON",,,,,,,"SUB OUT by FERGUSON,AARON",1
06:01,"GOOD LAYUP by WYNN,ALIC(in the paint)",28 (+7),,21,,E&H 28-21 (-7),,"GOOD LAYUP by WYNN,ALIC(in the paint)",1
--,"ASSIST  by SHELOR,JOHN",,,,,,,"ASSIST  by SHELOR,JOHN",1
05:41,,,,,"MISS JUMPER by LOWRIE,ANDREW",,,"MISS JUMPER by LOWRIE,ANDREW",1
05:41,"BLOCK  by CONLEY,CLIF",,,,,,,"BLOCK  by CONLEY,CLIF",1
--,"REBOUND DEF by WYNN,ALIC",,,,,,,"REBOUND DEF by WYNN,ALIC",1
05:30,"TURNOVER  by GRAVLEY,RYAN",,,,,,,"TURNOVER  by GRAVLEY,RYAN",1
05:29,,,,,"STEAL  by DARST,DANIEL",,,"STEAL  by DARST,DANIEL",1
05:26,,28 (+5),,23,"GOOD LAYUP by SULLIVAN,BRENNAN(in the paint)",RHO 28-23 (-5),,"GOOD LAYUP by SULLIVAN,BRENNAN(in the paint)",1
05:26,"FOUL  by CONLEY,CLIF",,,,,,,"FOUL  by CONLEY,CLIF",1
05:26,,,,,"SUB IN by BUTTS,KEYSHAWN",,,"SUB IN by BUTTS,KEYSHAWN",1
05:26,,,,,"SUB OUT by LOWRIE,ANDREW",,,"SUB OUT by LOWRIE,ANDREW",1
05:26,,28 (+4),,24,"GOOD FT by SULLIVAN,BRENNAN",RHO 28-24 (-4),,"GOOD FT by SULLIVAN,BRENNAN",1
05:10,"GOOD LAYUP by WYNN,ALIC(in the paint)",30 (+6),,24,,E&H 30-24 (-6),,"GOOD LAYUP by WYNN,ALIC(in the paint)",1
--,"ASSIST  by GRAVLEY,RYAN",,,,,,,"ASSIST  by GRAVLEY,RYAN",1
04:40,,,,,"MISS 3PTR by DARST,DANIEL",,,"MISS 3PTR by DARST,DANIEL",1
--,,,,,"REBOUND OFF by GEE,TYLER",,,"REBOUND OFF by GEE,TYLER",1
04:29,"FOUL  by SELF,BRANDON",,,,,,,"FOUL  by SELF,BRANDON",1
04:29,,,,,"MISS FT by DARST,DANIEL",,,"MISS FT by DARST,DANIEL",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
04:29,"SUB IN by BRANSCOMB,CHASE",,,,,,,"SUB IN by BRANSCOMB,CHASE",1
04:29,"SUB OUT by SELF,BRANDON",,,,,,,"SUB OUT by SELF,BRANDON",1
04:29,,30 (+5),,25,"GOOD FT by DARST,DANIEL",RHO 30-25 (-5),,"GOOD FT by DARST,DANIEL",1
04:12,"TURNOVER  by BRANSCOMB,CHASE",,,,,,,"TURNOVER  by BRANSCOMB,CHASE",1
03:51,,30 (+3),,27,"GOOD LAYUP by GEE,TYLER(in the paint)",RHO 30-27 (-3),,"GOOD LAYUP by GEE,TYLER(in the paint)",1
--,,,,,"ASSIST  by WEIR,JJ",,,"ASSIST  by WEIR,JJ",1
03:29,"GOOD JUMPER by BRANSCOMB,CHASE",32 (+5),,27,,E&H 32-27 (-5),,"GOOD JUMPER by BRANSCOMB,CHASE",1
03:09,,,,,"TURNOVER  by BUTTS,KEYSHAWN",,,"TURNOVER  by BUTTS,KEYSHAWN",1
03:09,"STEAL  by CONLEY,CLIF",,,,,,,"STEAL  by CONLEY,CLIF",1
03:09,,,,,"FOUL  by WEIR,JJ",,,"FOUL  by WEIR,JJ",1
03:09,"GOOD FT by CONLEY,CLIF",33 (+6),,27,,E&H 33-27 (-6),,"GOOD FT by CONLEY,CLIF",1
03:09,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
03:09,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
03:09,,,,,"SUB OUT by LOWRIE,ANDREW",,,"SUB OUT by LOWRIE,ANDREW",1
03:09,,,,,"SUB OUT by DALTON,PRICE",,,"SUB OUT by DALTON,PRICE",1
03:09,,,,,"SUB OUT by GALVIN,DANIEL",,,"SUB OUT by GALVIN,DANIEL",1
03:09,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
03:09,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
03:09,,,,,"SUB IN by BUTTS,KEYSHAWN",,,"SUB IN by BUTTS,KEYSHAWN",1
03:09,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",1
03:09,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",1
03:09,"GOOD FT by CONLEY,CLIF",34 (+7),,27,,E&H 34-27 (-7),,"GOOD FT by CONLEY,CLIF",1
02:56,,,,,"TURNOVER  by DALTON,PRICE",,,"TURNOVER  by DALTON,PRICE",1
02:56,"STEAL  by CONLEY,CLIF",,,,,,,"STEAL  by CONLEY,CLIF",1
02:56,,,,,"FOUL  by DALTON,PRICE",,,"FOUL  by DALTON,PRICE",1
02:56,"GOOD FT by CONLEY,CLIF",35 (+8),,27,,E&H 35-27 (-8),,"GOOD FT by CONLEY,CLIF",1
02:56,"GOOD FT by CONLEY,CLIF",36 (+9),,27,,E&H 36-27 (-9),,"GOOD FT by CONLEY,CLIF",1
02:44,,36 (+6),,30,"GOOD 3PTR by SULLIVAN,BRENNAN",RHO 36-30 (-6),,"GOOD 3PTR by SULLIVAN,BRENNAN",1
--,,,,,"ASSIST  by GEE,TYLER",,,"ASSIST  by GEE,TYLER",1
