Time Remaining,JU,Away Team Score,Play Team Indicator,Home Team Score,RHO,Game Score,Team Indicator,Play,Period
09:15,"GOOD FT by BOWEN,RICKEY",21,,25 (+4),,JU 21-25 (+4),,"GOOD FT by BOWEN,RICKEY",1
09:15,"MISS FT by BOWEN,RICKEY",,,,,,,"MISS FT by BOWEN,RICKEY",1
--,,,,,"REBOUND DEF by MUHAMMAD,AQUIL",,,"REBOUND DEF by MUHAMMAD,AQUIL",1
08:48,,21,,27 (+6),"GOOD LAYUP by DARST,DANIEL(in the paint)",RHO 21-27 (+6),,"GOOD LAYUP by DARST,DANIEL(in the paint)",1
--,,,,,"ASSIST  by WEIR,JJ",,,"ASSIST  by WEIR,JJ",1
08:35,"GOOD 3PTR by MARSHALL,NICK",24,,27 (+3),,JU 24-27 (+3),,"GOOD 3PTR by MARSHALL,NICK",1
--,"ASSIST  by MCCLENDOND,JORDAN",,,,,,,"ASSIST  by MCCLENDOND,JORDAN",1
08:26,,,,,"MISS LAYUP by BUTTS,KEYSHAWN",,,"MISS LAYUP by BUTTS,KEYSHAWN",1
--,,,,,"REBOUND OFF by DARST,DANIEL",,,"REBOUND OFF by DARST,DANIEL",1
08:20,,24,,29 (+5),"GOOD LAYUP by DARST,DANIEL(in the paint)",RHO 24-29 (+5),,"GOOD LAYUP by DARST,DANIEL(in the paint)",1
08:05,"MISS LAYUP by BOWEN,RICKEY",,,,,,,"MISS LAYUP by BOWEN,RICKEY",1
--,,,,,"REBOUND DEF by MUHAMMAD,AQUIL",,,"REBOUND DEF by MUHAMMAD,AQUIL",1
07:59,,,,,"TURNOVER  by MUHAMMAD,AQUIL",,,"TURNOVER  by MUHAMMAD,AQUIL",1
07:57,"STEAL  by ST. JOHN,GUNNER",,,,,,,"STEAL  by ST. JOHN,GUNNER",1
07:53,,,,,"FOUL  by WEIR,JJ",,,"FOUL  by WEIR,JJ",1
07:53,"MISS FT by BOWEN,RICKEY",,,,,,,"MISS FT by BOWEN,RICKEY",1
--,"REBOUND OFF by BOWEN,RICKEY",,,,,,,"REBOUND OFF by BOWEN,RICKEY",1
07:53,"GOOD FT by BOWEN,RICKEY",25,,29 (+4),,JU 25-29 (+4),,"GOOD FT by BOWEN,RICKEY",1
07:53,"SUB IN by KING,TREVOR",,,,,,,"SUB IN by KING,TREVOR",1
07:53,"SUB IN by GILPIN,TAYLOR",,,,,,,"SUB IN by GILPIN,TAYLOR",1
07:53,"SUB IN by FLEMMING,TRENT",,,,,,,"SUB IN by FLEMMING,TRENT",1
07:48,,25,,32 (+7),"GOOD 3PTR by SULLIVAN,BRENNAN",RHO 25-32 (+7),,"GOOD 3PTR by SULLIVAN,BRENNAN",1
07:16,"TURNOVER  by BOWEN,RICKEY",,,,,,,"TURNOVER  by BOWEN,RICKEY",1
07:15,,,,,"STEAL  by BUTTS,KEYSHAWN",,,"STEAL  by BUTTS,KEYSHAWN",1
07:00,,25,,35 (+10),"GOOD 3PTR by WEIR,JJ",RHO 25-35 (+10),,"GOOD 3PTR by WEIR,JJ",1
06:47,"MISS LAYUP by FLEMMING,TRENT",,,,,,,"MISS LAYUP by FLEMMING,TRENT",1
--,"REBOUND OFF by FLEMMING,TRENT",,,,,,,"REBOUND OFF by FLEMMING,TRENT",1
06:47,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
06:47,"TURNOVER  by FLEMMING,TRENT",,,,,,,"TURNOVER  by FLEMMING,TRENT",1
06:47,"SUB OUT by BOWEN,RICKEY",,,,,,,"SUB OUT by BOWEN,RICKEY",1
06:47,,,,,"SUB IN by LOWRIE,ANDREW",,,"SUB IN by LOWRIE,ANDREW",1
06:47,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1
06:34,,,,,"MISS JUMPER by SULLIVAN,BRENNAN",,,"MISS JUMPER by SULLIVAN,BRENNAN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
06:34,,,,,"MISS LAYUP by GEE,TYLER",,,"MISS LAYUP by GEE,TYLER",1
--,,,,,"REBOUND OFF by GEE,TYLER",,,"REBOUND OFF by GEE,TYLER",1
06:10,"TURNOVER  by KING,TREVOR",,,,,,,"TURNOVER  by KING,TREVOR",1
06:09,,,,,"STEAL  by BUTTS,KEYSHAWN",,,"STEAL  by BUTTS,KEYSHAWN",1
06:01,,,,,"TURNOVER  by LOWRIE,ANDREW",,,"TURNOVER  by LOWRIE,ANDREW",1
06:00,"STEAL  by KING,TREVOR",,,,,,,"STEAL  by KING,TREVOR",1
05:52,"MISS JUMPER by MARSHALL,NICK",,,,,,,"MISS JUMPER by MARSHALL,NICK",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
05:51,,,,,"MISS LAYUP by LOWRIE,ANDREW",,,"MISS LAYUP by LOWRIE,ANDREW",1
--,"REBOUND DEF by MCCLENDOND,JORDAN",,,,,,,"REBOUND DEF by MCCLENDOND,JORDAN",1
05:51,"MISS 3PTR by GILPIN,TAYLOR",,,,,,,"MISS 3PTR by GILPIN,TAYLOR",1
--,,,,,"REBOUND DEF by DARST,DANIEL",,,"REBOUND DEF by DARST,DANIEL",1
05:51,,25,,37 (+12),"GOOD LAYUP by MUHAMMAD,AQUIL(in the paint)",RHO 25-37 (+12),,"GOOD LAYUP by MUHAMMAD,AQUIL(in the paint)",1
--,,,,,"ASSIST  by LOWRIE,ANDREW",,,"ASSIST  by LOWRIE,ANDREW",1
05:51,"MISS LAYUP by MCCLENDOND,JORDAN",,,,,,,"MISS LAYUP by MCCLENDOND,JORDAN",1
--,,,,,"REBOUND DEF by MUHAMMAD,AQUIL",,,"REBOUND DEF by MUHAMMAD,AQUIL",1
05:51,,,,,"MISS JUMPER by LOWRIE,ANDREW",,,"MISS JUMPER by LOWRIE,ANDREW",1
--,"REBOUND DEF by FLEMMING,TRENT",,,,,,,"REBOUND DEF by FLEMMING,TRENT",1
05:51,,,,,"SUB IN by WEIR,JJ",,,"SUB IN by WEIR,JJ",1
05:51,,,,,"SUB OUT by LOWRIE,ANDREW",,,"SUB OUT by LOWRIE,ANDREW",1
05:51,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
04:24,,,,,"FOUL  by BUTTS,KEYSHAWN",,,"FOUL  by BUTTS,KEYSHAWN",1
04:24,"GOOD FT by MARSHALL,NICK",26,,37 (+11),,JU 26-37 (+11),,"GOOD FT by MARSHALL,NICK",1
04:24,"GOOD FT by MARSHALL,NICK",27,,37 (+10),,JU 27-37 (+10),,"GOOD FT by MARSHALL,NICK",1
04:24,"SUB IN by ST. JOHN,GUNNER",,,,,,,"SUB IN by ST. JOHN,GUNNER",1
04:24,"SUB OUT by MCCLENDOND,JORDAN",,,,,,,"SUB OUT by MCCLENDOND,JORDAN",1
04:23,,27,,39 (+12),"GOOD LAYUP by GEE,TYLER(in the paint)",RHO 27-39 (+12),,"GOOD LAYUP by GEE,TYLER(in the paint)",1
--,,,,,"ASSIST  by LOWRIE,ANDREW",,,"ASSIST  by LOWRIE,ANDREW",1
03:56,,,,,"FOUL  by SULLIVAN,BRENNAN",,,"FOUL  by SULLIVAN,BRENNAN",1
03:56,"MISS FT by MARSHALL,NICK",,,,,,,"MISS FT by MARSHALL,NICK",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
03:56,"MISS FT by MARSHALL,NICK",,,,,,,"MISS FT by MARSHALL,NICK",1
--,,,,,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",1
03:56,,,,,"TURNOVER  by GEE,TYLER",,,"TURNOVER  by GEE,TYLER",1
03:56,"STEAL  by FLEMMING,TRENT",,,,,,,"STEAL  by FLEMMING,TRENT",1
03:56,"GOOD JUMPER by BOWEN,RICKEY",29,,39 (+10),,JU 29-39 (+10),,"GOOD JUMPER by BOWEN,RICKEY",1
03:56,"SUB IN by BOWEN,RICKEY",,,,,,,"SUB IN by BOWEN,RICKEY",1
03:56,"SUB OUT by KING,TREVOR",,,,,,,"SUB OUT by KING,TREVOR",1
03:31,,29,,41 (+12),"GOOD LAYUP by LOWRIE,ANDREW(in the paint)",RHO 29-41 (+12),,"GOOD LAYUP by LOWRIE,ANDREW(in the paint)",1
03:19,"MISS LAYUP by GILPIN,TAYLOR",,,,,,,"MISS LAYUP by GILPIN,TAYLOR",1
--,"REBOUND OFF by ST. JOHN,GUNNER",,,,,,,"REBOUND OFF by ST. JOHN,GUNNER",1
03:16,"GOOD LAYUP by ST. JOHN,GUNNER(in the paint)",31,,41 (+10),,JU 31-41 (+10),,"GOOD LAYUP by ST. JOHN,GUNNER(in the paint)",1
03:00,,,,,"MISS LAYUP by GEE,TYLER",,,"MISS LAYUP by GEE,TYLER",1
--,"REBOUND DEF by FLEMMING,TRENT",,,,,,,"REBOUND DEF by FLEMMING,TRENT",1
02:51,"TURNOVER  by MARSHALL,NICK",,,,,,,"TURNOVER  by MARSHALL,NICK",1
02:51,"FOUL  by MARSHALL,NICK",,,,,,,"FOUL  by MARSHALL,NICK",1
02:50,"SUB IN by MCCLENDOND,JORDAN",,,,,,,"SUB IN by MCCLENDOND,JORDAN",1
02:50,"SUB OUT by FLEMMING,TRENT",,,,,,,"SUB OUT by FLEMMING,TRENT",1
02:48,,31,,43 (+12),"GOOD JUMPER by WEIR,JJ",RHO 31-43 (+12),,"GOOD JUMPER by WEIR,JJ",1
02:36,"MISS LAYUP by ST. JOHN,GUNNER",,,,,,,"MISS LAYUP by ST. JOHN,GUNNER",1
--,,,,,"REBOUND DEF by BUTTS,KEYSHAWN",,,"REBOUND DEF by BUTTS,KEYSHAWN",1
02:22,,,,,"TURNOVER  by BUTTS,KEYSHAWN",,,"TURNOVER  by BUTTS,KEYSHAWN",1
02:21,"STEAL  by ST. JOHN,GUNNER",,,,,,,"STEAL  by ST. JOHN,GUNNER",1
02:18,"MISS JUMPER by BOWEN,RICKEY",,,,,,,"MISS JUMPER by BOWEN,RICKEY",1
--,,,,,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",1
02:05,,,,,"MISS 3PTR by WEIR,JJ",,,"MISS 3PTR by WEIR,JJ",1
--,"REBOUND DEF by ST. JOHN,GUNNER",,,,,,,"REBOUND DEF by ST. JOHN,GUNNER",1
01:56,"TURNOVER  by GILPIN,TAYLOR",,,,,,,"TURNOVER  by GILPIN,TAYLOR",1
01:55,,,,,"STEAL  by WEIR,JJ",,,"STEAL  by WEIR,JJ",1
01:43,,,,,"MISS LAYUP by MUHAMMAD,AQUIL",,,"MISS LAYUP by MUHAMMAD,AQUIL",1
--,,,,,"REBOUND OFF by MUHAMMAD,AQUIL",,,"REBOUND OFF by MUHAMMAD,AQUIL",1
01:41,,,,,"MISS LAYUP by MUHAMMAD,AQUIL",,,"MISS LAYUP by MUHAMMAD,AQUIL",1
--,,,,,"REBOUND OFF by MUHAMMAD,AQUIL",,,"REBOUND OFF by MUHAMMAD,AQUIL",1
01:06,"FOUL  by MCCLENDOND,JORDAN",,,,,,,"FOUL  by MCCLENDOND,JORDAN",1
01:06,,,,,"TURNOVER  by GEE,TYLER",,,"TURNOVER  by GEE,TYLER",1
00:46,"TURNOVER  by BOWEN,RICKEY",,,,,,,"TURNOVER  by BOWEN,RICKEY",1
00:46,,,,,"STEAL  by BUTTS,KEYSHAWN",,,"STEAL  by BUTTS,KEYSHAWN",1
00:46,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",,,"MISS 3PTR by SULLIVAN,BRENNAN",1
--,,,,,"REBOUND OFF by DARST,DANIEL",,,"REBOUND OFF by DARST,DANIEL",1
00:46,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
00:19,,,,,"TURNOVER  by MUHAMMAD,AQUIL",,,"TURNOVER  by MUHAMMAD,AQUIL",1
00:19,"FOUL  by MCCLENDOND,JORDAN",,,,,,,"FOUL  by MCCLENDOND,JORDAN",1
00:03,,31,,45 (+14),"GOOD LAYUP by GEE,TYLER(in the paint)",RHO 31-45 (+14),,"GOOD LAYUP by GEE,TYLER(in the paint)",1
--,,,,,"ASSIST  by SULLIVAN,BRENNAN",,,"ASSIST  by SULLIVAN,BRENNAN",1
19:37,,,,,"FOUL  by SULLIVAN,BRENNAN",,,"FOUL  by SULLIVAN,BRENNAN",2
19:37,"MISS FT by GILPIN,TAYLOR",,,,,,,"MISS FT by GILPIN,TAYLOR",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
19:37,"GOOD FT by GILPIN,TAYLOR",32,,45 (+13),,JU 32-45 (+13),,"GOOD FT by GILPIN,TAYLOR",2
19:37,"GOOD FT by GILPIN,TAYLOR",33,,45 (+12),,JU 33-45 (+12),,"GOOD FT by GILPIN,TAYLOR",2
19:37,,,,,"SUB IN by BUTTS,KEYSHAWN",,,"SUB IN by BUTTS,KEYSHAWN",2
19:37,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",2
19:15,,,,,"MISS LAYUP by MUHAMMAD,AQUIL",,,"MISS LAYUP by MUHAMMAD,AQUIL",2
19:15,"BLOCK  by MCCLENDOND,JORDAN",,,,,,,"BLOCK  by MCCLENDOND,JORDAN",2
--,"REBOUND DEF by ST. JOHN,GUNNER",,,,,,,"REBOUND DEF by ST. JOHN,GUNNER",2
19:08,"MISS LAYUP by MCCLENDOND,JORDAN",,,,,,,"MISS LAYUP by MCCLENDOND,JORDAN",2
--,,,,,"REBOUND DEF by MUHAMMAD,AQUIL",,,"REBOUND DEF by MUHAMMAD,AQUIL",2
18:40,,33,,48 (+15),"GOOD 3PTR by BUTTS,KEYSHAWN",RHO 33-48 (+15),,"GOOD 3PTR by BUTTS,KEYSHAWN",2
--,,,,,"ASSIST  by WEIR,JJ",,,"ASSIST  by WEIR,JJ",2
18:28,"TURNOVER  by MARSHALL,NICK",,,,,,,"TURNOVER  by MARSHALL,NICK",2
18:28,"FOUL  by MARSHALL,NICK",,,,,,,"FOUL  by MARSHALL,NICK",2
18:01,,,,,"TURNOVER  by LOWRIE,ANDREW",,,"TURNOVER  by LOWRIE,ANDREW",2
17:59,"STEAL  by GILPIN,TAYLOR",,,,,,,"STEAL  by GILPIN,TAYLOR",2
17:56,"GOOD 3PTR by BOWEN,RICKEY",36,,48 (+12),,JU 36-48 (+12),,"GOOD 3PTR by BOWEN,RICKEY",2
--,"ASSIST  by GILPIN,TAYLOR",,,,,,,"ASSIST  by GILPIN,TAYLOR",2
17:35,"FOUL  by MARSHALL,NICK",,,,,,,"FOUL  by MARSHALL,NICK",2
17:35,"SUB IN by KING,TREVOR",,,,,,,"SUB IN by KING,TREVOR",2
17:35,"SUB OUT by MARSHALL,NICK",,,,,,,"SUB OUT by MARSHALL,NICK",2
17:31,,36,,50 (+14),"GOOD LAYUP by BUTTS,KEYSHAWN(in the paint)",RHO 36-50 (+14),,"GOOD LAYUP by BUTTS,KEYSHAWN(in the paint)",2
17:12,"TURNOVER  by MCCLENDOND,JORDAN",,,,,,,"TURNOVER  by MCCLENDOND,JORDAN",2
17:11,,,,,"STEAL  by LOWRIE,ANDREW",,,"STEAL  by LOWRIE,ANDREW",2
16:54,,,,,"TURNOVER  by MUHAMMAD,AQUIL",,,"TURNOVER  by MUHAMMAD,AQUIL",2
16:54,,,,,"FOUL  by MUHAMMAD,AQUIL",,,"FOUL  by MUHAMMAD,AQUIL",2
16:54,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
