Time Remaining,MAC,Away Team Score,Play Team Indicator,Home Team Score,RHO,Game Score,Team Indicator,Play,Period
15:24,,,,,"MISS JUMPER by SULLIVAN,BRENNAN",,,"MISS JUMPER by SULLIVAN,BRENNAN",1
--,"REBOUND DEF by JOHNSON,DEAVIS",,,,,,,"REBOUND DEF by JOHNSON,DEAVIS",1
15:10,"MISS 3PTR by KELTNER,KOLLIN",,,,,,,"MISS 3PTR by KELTNER,KOLLIN",1
--,,,,,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",1
14:55,,,,,"MISS LAYUP by HARRISON,IAN",,,"MISS LAYUP by HARRISON,IAN",1
--,,,,,"REBOUND OFF by GEE,TYLER",,,"REBOUND OFF by GEE,TYLER",1
14:45,,,,,"MISS LAYUP by BUTTS,KEYSHAWN",,,"MISS LAYUP by BUTTS,KEYSHAWN",1
--,,,,,"REBOUND OFF by GEE,TYLER",,,"REBOUND OFF by GEE,TYLER",1
14:27,,,,,"TURNOVER  by SULLIVAN,BRENNAN",,,"TURNOVER  by SULLIVAN,BRENNAN",1
14:26,"STEAL  by CAMERON,MIKE",,,,,,,"STEAL  by CAMERON,MIKE",1
14:15,,,,,"FOUL  by HARRISON,IAN",,,"FOUL  by HARRISON,IAN",1
14:15,,,,,"SUB IN by LOWRIE,ANDREW",,,"SUB IN by LOWRIE,ANDREW",1
14:15,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1
14:14,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
13:54,"GOOD 3PTR by JOHNSON,DEAVIS",12 (+5),,7,,MAC 12-7 (-5),,"GOOD 3PTR by JOHNSON,DEAVIS",1
--,"ASSIST  by KELTNER,KOLLIN",,,,,,,"ASSIST  by KELTNER,KOLLIN",1
13:33,,,,,"MISS JUMPER by LOWRIE,ANDREW",,,"MISS JUMPER by LOWRIE,ANDREW",1
--,"REBOUND DEF by CAMERON,MIKE",,,,,,,"REBOUND DEF by CAMERON,MIKE",1
13:26,"TURNOVER  by CAMERON,MIKE",,,,,,,"TURNOVER  by CAMERON,MIKE",1
13:26,"SUB IN by BUHLIG,LANCE",,,,,,,"SUB IN by BUHLIG,LANCE",1
13:26,"SUB OUT by CAMERON,MIKE",,,,,,,"SUB OUT by CAMERON,MIKE",1
13:25,"SUB IN by BOURKE,DEREK",,,,,,,"SUB IN by BOURKE,DEREK",1
13:25,"SUB OUT by LONG,BRENT",,,,,,,"SUB OUT by LONG,BRENT",1
13:25,,,,,"SUB IN by GALVIN,DANIEL",,,"SUB IN by GALVIN,DANIEL",1
13:25,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
13:03,,12 (+2),,10,"GOOD 3PTR by SULLIVAN,BRENNAN",RHO 12-10 (-2),,"GOOD 3PTR by SULLIVAN,BRENNAN",1
--,,,,,"ASSIST  by GALVIN,DANIEL",,,"ASSIST  by GALVIN,DANIEL",1
12:46,,,,,"FOUL  by SULLIVAN,BRENNAN",,,"FOUL  by SULLIVAN,BRENNAN",1
12:46,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
12:46,,,,,"SUB OUT by BUTTS,KEYSHAWN",,,"SUB OUT by BUTTS,KEYSHAWN",1
12:46,,,,,"SUB OUT by DALTON,PRICE",,,"SUB OUT by DALTON,PRICE",1
12:46,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
12:46,,,,,"SUB OUT by HAYES,JAMES",,,"SUB OUT by HAYES,JAMES",1
12:46,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
12:46,,,,,"SUB IN by LOWRIE,ANDREW",,,"SUB IN by LOWRIE,ANDREW",1
12:46,,,,,"SUB IN by WEIR,JJ",,,"SUB IN by WEIR,JJ",1
12:46,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
12:46,,,,,"SUB IN by GALVIN,DANIEL",,,"SUB IN by GALVIN,DANIEL",1
12:15,,,,,"FOUL  by DARST,DANIEL",,,"FOUL  by DARST,DANIEL",1
12:15,"MISS FT by FRAZIER,TIM",,,,,,,"MISS FT by FRAZIER,TIM",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
12:15,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
12:15,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
12:15,"SUB IN by LONG,BRENT",,,,,,,"SUB IN by LONG,BRENT",1
12:15,"SUB OUT by JOHNSON,DEAVIS",,,,,,,"SUB OUT by JOHNSON,DEAVIS",1
12:15,"GOOD FT by FRAZIER,TIM",13 (+3),,10,,MAC 13-10 (-3),,"GOOD FT by FRAZIER,TIM",1
12:05,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",,,"MISS 3PTR by SULLIVAN,BRENNAN",1
--,,,,,"REBOUND OFF by GEE,TYLER",,,"REBOUND OFF by GEE,TYLER",1
12:00,,,,,"MISS LAYUP by GEE,TYLER",,,"MISS LAYUP by GEE,TYLER",1
--,,,,,"REBOUND OFF by GALVIN,DANIEL",,,"REBOUND OFF by GALVIN,DANIEL",1
11:49,,,,,"MISS JUMPER by LOWRIE,ANDREW",,,"MISS JUMPER by LOWRIE,ANDREW",1
--,,,,,"REBOUND OFF by GEE,TYLER",,,"REBOUND OFF by GEE,TYLER",1
11:34,"FOUL  by BOURKE,DEREK",,,,,,,"FOUL  by BOURKE,DEREK",1
11:34,,13 (+2),,11,"GOOD FT by GEE,TYLER",RHO 13-11 (-2),,"GOOD FT by GEE,TYLER",1
11:34,"SUB IN by BOTT,ALEX",,,,,,,"SUB IN by BOTT,ALEX",1
11:34,"SUB OUT by FRAZIER,TIM",,,,,,,"SUB OUT by FRAZIER,TIM",1
11:34,,13 (+1),,12,"GOOD FT by GEE,TYLER",RHO 13-12 (-1),,"GOOD FT by GEE,TYLER",1
11:34,,,,,"SUB IN by BUTTS,KEYSHAWN",,,"SUB IN by BUTTS,KEYSHAWN",1
11:34,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
11:08,"MISS 3PTR by BUHLIG,LANCE",,,,,,,"MISS 3PTR by BUHLIG,LANCE",1
--,,,,,"REBOUND DEF by WEIR,JJ",,,"REBOUND DEF by WEIR,JJ",1
10:55,,13,,14 (+1),"GOOD LAYUP by BUTTS,KEYSHAWN(in the paint)",RHO 13-14 (+1),,"GOOD LAYUP by BUTTS,KEYSHAWN(in the paint)",1
10:39,,,,,"FOUL  by GALVIN,DANIEL",,,"FOUL  by GALVIN,DANIEL",1
10:39,"SUB OUT by KELTNER,KOLLIN",,,,,,,"SUB OUT by KELTNER,KOLLIN",1
10:39,"SUB OUT by BOTT,ALEX",,,,,,,"SUB OUT by BOTT,ALEX",1
10:39,"SUB OUT by CAMERON,MIKE",,,,,,,"SUB OUT by CAMERON,MIKE",1
10:39,"SUB OUT by JOHNSON,DEAVIS",,,,,,,"SUB OUT by JOHNSON,DEAVIS",1
10:39,"SUB OUT by LONG,BRENT",,,,,,,"SUB OUT by LONG,BRENT",1
10:39,"SUB IN by BOTT,ALEX",,,,,,,"SUB IN by BOTT,ALEX",1
10:39,"SUB IN by CAMERON,MIKE",,,,,,,"SUB IN by CAMERON,MIKE",1
10:39,"SUB IN by JOHNSON,DEAVIS",,,,,,,"SUB IN by JOHNSON,DEAVIS",1
10:39,"SUB IN by BUHLIG,LANCE",,,,,,,"SUB IN by BUHLIG,LANCE",1
10:39,"SUB IN by LONG,BRENT",,,,,,,"SUB IN by LONG,BRENT",1
10:39,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",1
10:39,,,,,"SUB OUT by GALVIN,DANIEL",,,"SUB OUT by GALVIN,DANIEL",1
10:39,"GOOD FT by LONG,BRENT",14,,14,,MAC 14-14 (0),,"GOOD FT by LONG,BRENT",1
10:39,"GOOD FT by LONG,BRENT",15 (+1),,14,,MAC 15-14 (-1),,"GOOD FT by LONG,BRENT",1
10:12,,15,,16 (+1),"GOOD LAYUP by BUTTS,KEYSHAWN(in the paint)",RHO 15-16 (+1),,"GOOD LAYUP by BUTTS,KEYSHAWN(in the paint)",1
09:47,"GOOD LAYUP by LONG,BRENT(in the paint)",17 (+1),,16,,MAC 17-16 (-1),,"GOOD LAYUP by LONG,BRENT(in the paint)",1
--,"ASSIST  by JOHNSON,DEAVIS",,,,,,,"ASSIST  by JOHNSON,DEAVIS",1
09:34,"FOUL  by BOTT,ALEX",,,,,,,"FOUL  by BOTT,ALEX",1
09:34,,17,,17,"GOOD FT by BUTTS,KEYSHAWN",RHO 17-17 (0),,"GOOD FT by BUTTS,KEYSHAWN",1
09:34,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
09:34,,,,,"SUB OUT by LOWRIE,ANDREW",,,"SUB OUT by LOWRIE,ANDREW",1
09:34,,,,,"MISS FT by BUTTS,KEYSHAWN",,,"MISS FT by BUTTS,KEYSHAWN",1
--,"REBOUND DEF by JOHNSON,DEAVIS",,,,,,,"REBOUND DEF by JOHNSON,DEAVIS",1
09:18,"TURNOVER  by BOTT,ALEX",,,,,,,"TURNOVER  by BOTT,ALEX",1
09:17,,,,,"STEAL  by SULLIVAN,BRENNAN",,,"STEAL  by SULLIVAN,BRENNAN",1
09:02,,17,,20 (+3),"GOOD 3PTR by SULLIVAN,BRENNAN",RHO 17-20 (+3),,"GOOD 3PTR by SULLIVAN,BRENNAN",1
--,,,,,"ASSIST  by BUTTS,KEYSHAWN",,,"ASSIST  by BUTTS,KEYSHAWN",1
08:40,,,,,"SUB IN by GALVIN,DANIEL",,,"SUB IN by GALVIN,DANIEL",1
08:40,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
08:40,"SUB OUT by KELTNER,KOLLIN",,,,,,,"SUB OUT by KELTNER,KOLLIN",1
08:40,"SUB OUT by BOTT,ALEX",,,,,,,"SUB OUT by BOTT,ALEX",1
08:40,"SUB OUT by CAMERON,MIKE",,,,,,,"SUB OUT by CAMERON,MIKE",1
08:40,"SUB OUT by JOHNSON,DEAVIS",,,,,,,"SUB OUT by JOHNSON,DEAVIS",1
08:40,"SUB OUT by LONG,BRENT",,,,,,,"SUB OUT by LONG,BRENT",1
08:40,"SUB IN by CAMERON,MIKE",,,,,,,"SUB IN by CAMERON,MIKE",1
08:40,"SUB IN by FRAZIER,TIM",,,,,,,"SUB IN by FRAZIER,TIM",1
08:40,"SUB IN by JOHNSON,DEAVIS",,,,,,,"SUB IN by JOHNSON,DEAVIS",1
08:40,"SUB IN by BUHLIG,LANCE",,,,,,,"SUB IN by BUHLIG,LANCE",1
08:40,"SUB IN by BOURKE,DEREK",,,,,,,"SUB IN by BOURKE,DEREK",1
08:38,"MISS LAYUP by JOHNSON,DEAVIS",,,,,,,"MISS LAYUP by JOHNSON,DEAVIS",1
--,,,,,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",1
08:21,,17,,22 (+5),"GOOD LAYUP by WEIR,JJ(in the paint)",RHO 17-22 (+5),,"GOOD LAYUP by WEIR,JJ(in the paint)",1
--,,,,,"ASSIST  by GALVIN,DANIEL",,,"ASSIST  by GALVIN,DANIEL",1
08:20,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
08:03,"MISS LAYUP by BOURKE,DEREK",,,,,,,"MISS LAYUP by BOURKE,DEREK",1
--,"REBOUND OFF by JOHNSON,DEAVIS",,,,,,,"REBOUND OFF by JOHNSON,DEAVIS",1
08:02,"GOOD LAYUP by JOHNSON,DEAVIS(in the paint)",19,,22 (+3),,MAC 19-22 (+3),,"GOOD LAYUP by JOHNSON,DEAVIS(in the paint)",1
07:53,"SUB IN by KELTNER,KOLLIN",,,,,,,"SUB IN by KELTNER,KOLLIN",1
07:53,"SUB OUT by BUHLIG,LANCE",,,,,,,"SUB OUT by BUHLIG,LANCE",1
07:53,,,,,"MISS JUMPER by WEIR,JJ",,,"MISS JUMPER by WEIR,JJ",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
07:31,"TURNOVER  by JOHNSON,DEAVIS",,,,,,,"TURNOVER  by JOHNSON,DEAVIS",1
07:30,,,,,"STEAL  by WEIR,JJ",,,"STEAL  by WEIR,JJ",1
07:26,,19,,24 (+5),"GOOD LAYUP by GALVIN,DANIEL(in the paint)",RHO 19-24 (+5),,"GOOD LAYUP by GALVIN,DANIEL(in the paint)",1
--,,,,,"ASSIST  by WEIR,JJ",,,"ASSIST  by WEIR,JJ",1
07:09,"TURNOVER  by FRAZIER,TIM",,,,,,,"TURNOVER  by FRAZIER,TIM",1
07:08,,,,,"STEAL  by GEE,TYLER",,,"STEAL  by GEE,TYLER",1
06:48,,,,,"MISS LAYUP by WEIR,JJ",,,"MISS LAYUP by WEIR,JJ",1
--,,,,,"REBOUND OFF by WEIR,JJ",,,"REBOUND OFF by WEIR,JJ",1
06:45,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",,,"MISS 3PTR by SULLIVAN,BRENNAN",1
--,"REBOUND DEF by BOURKE,DEREK",,,,,,,"REBOUND DEF by BOURKE,DEREK",1
06:43,,,,,"FOUL  by BUTTS,KEYSHAWN",,,"FOUL  by BUTTS,KEYSHAWN",1
06:38,,,,,"SUB IN by LOWRIE,ANDREW",,,"SUB IN by LOWRIE,ANDREW",1
06:38,,,,,"SUB OUT by BUTTS,KEYSHAWN",,,"SUB OUT by BUTTS,KEYSHAWN",1
06:38,"SUB OUT by KELTNER,KOLLIN",,,,,,,"SUB OUT by KELTNER,KOLLIN",1
06:38,"SUB OUT by BOTT,ALEX",,,,,,,"SUB OUT by BOTT,ALEX",1
06:38,"SUB OUT by CAMERON,MIKE",,,,,,,"SUB OUT by CAMERON,MIKE",1
06:38,"SUB OUT by JOHNSON,DEAVIS",,,,,,,"SUB OUT by JOHNSON,DEAVIS",1
06:38,"SUB OUT by LONG,BRENT",,,,,,,"SUB OUT by LONG,BRENT",1
06:38,"SUB IN by KELTNER,KOLLIN",,,,,,,"SUB IN by KELTNER,KOLLIN",1
06:38,"SUB IN by CAMERON,MIKE",,,,,,,"SUB IN by CAMERON,MIKE",1
06:38,"SUB IN by MUSSO,TATEN",,,,,,,"SUB IN by MUSSO,TATEN",1
06:38,"SUB IN by LONG,BRENT",,,,,,,"SUB IN by LONG,BRENT",1
06:38,"SUB IN by BOURKE,DEREK",,,,,,,"SUB IN by BOURKE,DEREK",1
06:38,"MISS FT by BOURKE,DEREK",,,,,,,"MISS FT by BOURKE,DEREK",1
--,,,,,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",1
06:17,"FOUL  by BOURKE,DEREK",,,,,,,"FOUL  by BOURKE,DEREK",1
06:16,,19,,25 (+6),"GOOD FT by GALVIN,DANIEL",RHO 19-25 (+6),,"GOOD FT by GALVIN,DANIEL",1
06:16,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
06:16,,,,,"SUB OUT by BUTTS,KEYSHAWN",,,"SUB OUT by BUTTS,KEYSHAWN",1
06:16,,,,,"SUB OUT by DALTON,PRICE",,,"SUB OUT by DALTON,PRICE",1
06:16,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
06:16,,,,,"SUB OUT by HAYES,JAMES",,,"SUB OUT by HAYES,JAMES",1
06:16,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
06:16,,,,,"SUB IN by LOWRIE,ANDREW",,,"SUB IN by LOWRIE,ANDREW",1
06:16,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",1
06:16,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",1
06:16,,,,,"SUB IN by GALVIN,DANIEL",,,"SUB IN by GALVIN,DANIEL",1
06:16,"SUB IN by JOHNSON,DEAVIS",,,,,,,"SUB IN by JOHNSON,DEAVIS",1
06:16,"SUB OUT by BOURKE,DEREK",,,,,,,"SUB OUT by BOURKE,DEREK",1
06:16,,19,,26 (+7),"GOOD FT by GALVIN,DANIEL",RHO 19-26 (+7),,"GOOD FT by GALVIN,DANIEL",1
05:57,"MISS 3PTR by KELTNER,KOLLIN",,,,,,,"MISS 3PTR by KELTNER,KOLLIN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
05:53,"GOOD LAYUP by LONG,BRENT(in the paint)",21,,26 (+5),,MAC 21-26 (+5),,"GOOD LAYUP by LONG,BRENT(in the paint)",1
--,"ASSIST  by CAMERON,MIKE",,,,,,,"ASSIST  by CAMERON,MIKE",1
05:24,,,,,"MISS LAYUP by SULLIVAN,BRENNAN",,,"MISS LAYUP by SULLIVAN,BRENNAN",1
--,,,,,"REBOUND OFF by HARRISON,IAN",,,"REBOUND OFF by HARRISON,IAN",1
05:21,,21,,28 (+7),"GOOD LAYUP by HARRISON,IAN(in the paint)",RHO 21-28 (+7),,"GOOD LAYUP by HARRISON,IAN(in the paint)",1
04:58,"GOOD LAYUP by JOHNSON,DEAVIS(in the paint)",23,,28 (+5),,MAC 23-28 (+5),,"GOOD LAYUP by JOHNSON,DEAVIS(in the paint)",1
04:38,,,,,"TURNOVER  by DALTON,PRICE",,,"TURNOVER  by DALTON,PRICE",1
04:38,"STEAL  by KELTNER,KOLLIN",,,,,,,"STEAL  by KELTNER,KOLLIN",1
04:34,"GOOD LAYUP by KELTNER,KOLLIN(fastbreak)(in the paint)",25,,28 (+3),,MAC 25-28 (+3),,"GOOD LAYUP by KELTNER,KOLLIN(fastbreak)(in the paint)",1
04:23,,,,,"TURNOVER  by SULLIVAN,BRENNAN",,,"TURNOVER  by SULLIVAN,BRENNAN",1
04:23,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
04:23,,,,,"SUB OUT by BUTTS,KEYSHAWN",,,"SUB OUT by BUTTS,KEYSHAWN",1
04:23,,,,,"SUB OUT by DALTON,PRICE",,,"SUB OUT by DALTON,PRICE",1
04:23,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
04:23,,,,,"SUB OUT by HAYES,JAMES",,,"SUB OUT by HAYES,JAMES",1
04:23,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
04:23,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
04:23,,,,,"SUB IN by LOWRIE,ANDREW",,,"SUB IN by LOWRIE,ANDREW",1
04:23,,,,,"SUB IN by WEIR,JJ",,,"SUB IN by WEIR,JJ",1
04:23,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",1
04:21,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
03:50,"MISS LAYUP by CAMERON,MIKE",,,,,,,"MISS LAYUP by CAMERON,MIKE",1
--,,,,,"REBOUND DEF by HARRISON,IAN",,,"REBOUND DEF by HARRISON,IAN",1
03:46,,,,,"MISS LAYUP by WEIR,JJ",,,"MISS LAYUP by WEIR,JJ",1
--,"REBOUND DEF by JOHNSON,DEAVIS",,,,,,,"REBOUND DEF by JOHNSON,DEAVIS",1
03:38,"MISS 3PTR by KELTNER,KOLLIN",,,,,,,"MISS 3PTR by KELTNER,KOLLIN",1
--,"REBOUND OFF by MUSSO,TATEN",,,,,,,"REBOUND OFF by MUSSO,TATEN",1
03:35,"GOOD LAYUP by MUSSO,TATEN(in the paint)",27,,28 (+1),,MAC 27-28 (+1),,"GOOD LAYUP by MUSSO,TATEN(in the paint)",1
03:21,"FOUL  by MUSSO,TATEN",,,,,,,"FOUL  by MUSSO,TATEN",1
03:21,,27,,29 (+2),"GOOD FT by HARRISON,IAN",RHO 27-29 (+2),,"GOOD FT by HARRISON,IAN",1
03:21,,,,,"MISS FT by HARRISON,IAN",,,"MISS FT by HARRISON,IAN",1
--,"REBOUND DEF by JOHNSON,DEAVIS",,,,,,,"REBOUND DEF by JOHNSON,DEAVIS",1
03:05,"GOOD LAYUP by JOHNSON,DEAVIS(in the paint)",29,,29,,MAC 29-29 (0),,"GOOD LAYUP by JOHNSON,DEAVIS(in the paint)",1
02:40,,,,,"TURNOVER  by HARRISON,IAN",,,"TURNOVER  by HARRISON,IAN",1
02:40,,,,,"FOUL  by HARRISON,IAN",,,"FOUL  by HARRISON,IAN",1
02:40,"SUB IN by BUHLIG,LANCE",,,,,,,"SUB IN by BUHLIG,LANCE",1
02:40,"SUB OUT by CAMERON,MIKE",,,,,,,"SUB OUT by CAMERON,MIKE",1
02:18,"MISS JUMPER by LONG,BRENT",,,,,,,"MISS JUMPER by LONG,BRENT",1
--,,,,,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",1
02:13,,,,,"TURNOVER  by GEE,TYLER",,,"TURNOVER  by GEE,TYLER",1
02:12,"STEAL  by JOHNSON,DEAVIS",,,,,,,"STEAL  by JOHNSON,DEAVIS",1
02:10,,,,,"FOUL  by GEE,TYLER",,,"FOUL  by GEE,TYLER",1
02:10,"MISS FT by JOHNSON,DEAVIS",,,,,,,"MISS FT by JOHNSON,DEAVIS",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
02:10,,,,,"SUB IN by GALVIN,DANIEL",,,"SUB IN by GALVIN,DANIEL",1
02:10,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
02:10,"GOOD FT by JOHNSON,DEAVIS",30 (+1),,29,,MAC 30-29 (-1),,"GOOD FT by JOHNSON,DEAVIS",1
01:42,,,,,"MISS JUMPER by WEIR,JJ",,,"MISS JUMPER by WEIR,JJ",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
01:42,,,,,"FOUL  by HARRISON,IAN",,,"FOUL  by HARRISON,IAN",1
01:42,"GOOD FT by LONG,BRENT",31 (+2),,29,,MAC 31-29 (-2),,"GOOD FT by LONG,BRENT",1
01:42,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
01:42,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
01:42,"GOOD FT by LONG,BRENT",32 (+3),,29,,MAC 32-29 (-3),,"GOOD FT by LONG,BRENT",1
01:23,,,,,"MISS 3PTR by DARST,DANIEL",,,"MISS 3PTR by DARST,DANIEL",1
--,"REBOUND DEF by JOHNSON,DEAVIS",,,,,,,"REBOUND DEF by JOHNSON,DEAVIS",1
01:14,"TURNOVER  by JOHNSON,DEAVIS",,,,,,,"TURNOVER  by JOHNSON,DEAVIS",1
01:12,,,,,"STEAL  by WEIR,JJ",,,"STEAL  by WEIR,JJ",1
01:12,"FOUL  by JOHNSON,DEAVIS",,,,,,,"FOUL  by JOHNSON,DEAVIS",1
01:04,,,,,"MISS 3PTR by LOWRIE,ANDREW",,,"MISS 3PTR by LOWRIE,ANDREW",1
--,,,,,"REBOUND OFF by GALVIN,DANIEL",,,"REBOUND OFF by GALVIN,DANIEL",1
