Time Remaining,AMH,Away Team Score,Play Team Indicator,Home Team Score,RHO,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",2
18:03,,,,,"TURNOVER  by WEIR,JJ",,,"TURNOVER  by WEIR,JJ",2
18:03,"STEAL  by DAWSON,JAYDE",,,,,,,"STEAL  by DAWSON,JAYDE",2
17:59,"TURNOVER  by DAWSON,JAYDE",,,,,,,"TURNOVER  by DAWSON,JAYDE",2
17:44,,,,,"TURNOVER  by BUTTS,KEYSHAWN",,,"TURNOVER  by BUTTS,KEYSHAWN",2
17:43,"STEAL  by GEORGE,DAVID",,,,,,,"STEAL  by GEORGE,DAVID",2
17:42,"TURNOVER  by MCCARTHY,JOHNNY",,,,,,,"TURNOVER  by MCCARTHY,JOHNNY",2
17:32,,,,,"MISS JUMPER by BUTTS,KEYSHAWN",,,"MISS JUMPER by BUTTS,KEYSHAWN",2
--,,,,,"REBOUND OFF by GALVIN,DANIEL",,,"REBOUND OFF by GALVIN,DANIEL",2
17:28,,,,,"MISS 3PTR by WEIR,JJ",,,"MISS 3PTR by WEIR,JJ",2
--,,,,,"REBOUND OFF by GALVIN,DANIEL",,,"REBOUND OFF by GALVIN,DANIEL",2
17:03,,42 (+2),,40,"GOOD LAYUP by GEE,TYLER(in the paint)",RHO 42-40 (-2),,"GOOD LAYUP by GEE,TYLER(in the paint)",2
--,,,,,"ASSIST  by GALVIN,DANIEL",,,"ASSIST  by GALVIN,DANIEL",2
16:43,"MISS LAYUP by GREEN,CONNOR",,,,,,,"MISS LAYUP by GREEN,CONNOR",2
--,"REBOUND OFF by GEORGE,DAVID",,,,,,,"REBOUND OFF by GEORGE,DAVID",2
16:38,"MISS 3PTR by DAWSON,JAYDE",,,,,,,"MISS 3PTR by DAWSON,JAYDE",2
--,,,,,"REBOUND DEF by SULLIVAN,BRENNAN",,,"REBOUND DEF by SULLIVAN,BRENNAN",2
16:24,,42,,42,"GOOD JUMPER by WEIR,JJ",RHO 42-42 (0),,"GOOD JUMPER by WEIR,JJ",2
--,,,,,"ASSIST  by GEE,TYLER",,,"ASSIST  by GEE,TYLER",2
16:08,,,,,"FOUL  by GALVIN,DANIEL",,,"FOUL  by GALVIN,DANIEL",2
16:08,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",2
16:08,,,,,"SUB OUT by GALVIN,DANIEL",,,"SUB OUT by GALVIN,DANIEL",2
16:08,"SUB OUT by DAWSON,JAYDE",,,,,,,"SUB OUT by DAWSON,JAYDE",2
16:08,"SUB OUT by MCCARTHY,JOHNNY",,,,,,,"SUB OUT by MCCARTHY,JOHNNY",2
16:08,"SUB OUT by RIOPEL,MICHAEL",,,,,,,"SUB OUT by RIOPEL,MICHAEL",2
16:08,"SUB OUT by RACY,JEFF",,,,,,,"SUB OUT by RACY,JEFF",2
16:08,"SUB OUT by CONKLIN,ERIC",,,,,,,"SUB OUT by CONKLIN,ERIC",2
16:08,"SUB IN by DAWSON,JAYDE",,,,,,,"SUB IN by DAWSON,JAYDE",2
16:08,"SUB IN by MCCARTHY,JOHNNY",,,,,,,"SUB IN by MCCARTHY,JOHNNY",2
16:08,"SUB IN by RACY,JEFF",,,,,,,"SUB IN by RACY,JEFF",2
16:08,"SUB IN by NABATOFF,JACOB",,,,,,,"SUB IN by NABATOFF,JACOB",2
16:08,"SUB IN by CONKLIN,ERIC",,,,,,,"SUB IN by CONKLIN,ERIC",2
15:58,"MISS JUMPER by MCCARTHY,JOHNNY",,,,,,,"MISS JUMPER by MCCARTHY,JOHNNY",2
--,"REBOUND OFF by CONKLIN,ERIC",,,,,,,"REBOUND OFF by CONKLIN,ERIC",2
15:55,"TURNOVER  by CONKLIN,ERIC",,,,,,,"TURNOVER  by CONKLIN,ERIC",2
15:53,,,,,"STEAL  by BUTTS,KEYSHAWN",,,"STEAL  by BUTTS,KEYSHAWN",2
15:43,,,,,"TURNOVER  by DARST,DANIEL",,,"TURNOVER  by DARST,DANIEL",2
15:43,,,,,"SUB IN by LOWRIE,ANDREW",,,"SUB IN by LOWRIE,ANDREW",2
15:43,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",2
15:43,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
15:34,,,,,"FOUL  by GEE,TYLER",,,"FOUL  by GEE,TYLER",2
15:25,"GOOD 3PTR by MCCARTHY,JOHNNY",45 (+3),,42,,AMH 45-42 (-3),,"GOOD 3PTR by MCCARTHY,JOHNNY",2
--,"ASSIST  by DAWSON,JAYDE",,,,,,,"ASSIST  by DAWSON,JAYDE",2
15:08,,,,,"TURNOVER  by GEE,TYLER",,,"TURNOVER  by GEE,TYLER",2
15:08,"STEAL  by MCCARTHY,JOHNNY",,,,,,,"STEAL  by MCCARTHY,JOHNNY",2
15:04,"GOOD LAYUP by MCCARTHY,JOHNNY(fastbreak)(in the paint)",47 (+5),,42,,AMH 47-42 (-5),,"GOOD LAYUP by MCCARTHY,JOHNNY(fastbreak)(in the paint)",2
15:02,FOUL TECH by TEAM,,,,,,,FOUL TECH by TEAM,2
15:02,,,,,"MISS FT by SULLIVAN,BRENNAN",,,"MISS FT by SULLIVAN,BRENNAN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
15:02,,,,,"MISS FT by SULLIVAN,BRENNAN",,,"MISS FT by SULLIVAN,BRENNAN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
14:41,,47 (+3),,44,"GOOD LAYUP by GEE,TYLER(in the paint)",RHO 47-44 (-3),,"GOOD LAYUP by GEE,TYLER(in the paint)",2
--,,,,,"ASSIST  by BUTTS,KEYSHAWN",,,"ASSIST  by BUTTS,KEYSHAWN",2
14:25,"MISS 3PTR by RACY,JEFF",,,,,,,"MISS 3PTR by RACY,JEFF",2
--,"REBOUND OFF by DAWSON,JAYDE",,,,,,,"REBOUND OFF by DAWSON,JAYDE",2
14:16,"TURNOVER  by CONKLIN,ERIC",,,,,,,"TURNOVER  by CONKLIN,ERIC",2
14:02,,,,,"TURNOVER  by BUTTS,KEYSHAWN",,,"TURNOVER  by BUTTS,KEYSHAWN",2
13:43,"MISS LAYUP by CONKLIN,ERIC",,,,,,,"MISS LAYUP by CONKLIN,ERIC",2
--,"REBOUND OFF by RACY,JEFF",,,,,,,"REBOUND OFF by RACY,JEFF",2
13:42,,,,,"FOUL  by DARST,DANIEL",,,"FOUL  by DARST,DANIEL",2
13:42,"MISS FT by RACY,JEFF",,,,,,,"MISS FT by RACY,JEFF",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
13:42,,,,,"SUB IN by WEIR,JJ",,,"SUB IN by WEIR,JJ",2
13:42,,,,,"SUB OUT by BUTTS,KEYSHAWN",,,"SUB OUT by BUTTS,KEYSHAWN",2
13:42,"GOOD FT by RACY,JEFF",48 (+4),,44,,AMH 48-44 (-4),,"GOOD FT by RACY,JEFF",2
13:14,,,,,"MISS JUMPER by LOWRIE,ANDREW",,,"MISS JUMPER by LOWRIE,ANDREW",2
--,,,,,"REBOUND OFF by DARST,DANIEL",,,"REBOUND OFF by DARST,DANIEL",2
13:12,"FOUL  by NABATOFF,JACOB",,,,,,,"FOUL  by NABATOFF,JACOB",2
13:12,,48 (+3),,45,"GOOD FT by DARST,DANIEL",RHO 48-45 (-3),,"GOOD FT by DARST,DANIEL",2
13:12,,48 (+2),,46,"GOOD FT by DARST,DANIEL",RHO 48-46 (-2),,"GOOD FT by DARST,DANIEL",2
12:52,"MISS JUMPER by NABATOFF,JACOB",,,,,,,"MISS JUMPER by NABATOFF,JACOB",2
--,,,,,"REBOUND DEF by DARST,DANIEL",,,"REBOUND DEF by DARST,DANIEL",2
12:38,,,,,"TURNOVER  by LOWRIE,ANDREW",,,"TURNOVER  by LOWRIE,ANDREW",2
12:38,"SUB OUT by DAWSON,JAYDE",,,,,,,"SUB OUT by DAWSON,JAYDE",2
12:38,"SUB OUT by MCCARTHY,JOHNNY",,,,,,,"SUB OUT by MCCARTHY,JOHNNY",2
12:38,"SUB OUT by RIOPEL,MICHAEL",,,,,,,"SUB OUT by RIOPEL,MICHAEL",2
12:38,"SUB OUT by RACY,JEFF",,,,,,,"SUB OUT by RACY,JEFF",2
12:38,"SUB OUT by CONKLIN,ERIC",,,,,,,"SUB OUT by CONKLIN,ERIC",2
12:38,"SUB IN by RIOPEL,MICHAEL",,,,,,,"SUB IN by RIOPEL,MICHAEL",2
12:38,"SUB IN by BERMAN,REID",,,,,,,"SUB IN by BERMAN,REID",2
12:38,"SUB IN by RACY,JEFF",,,,,,,"SUB IN by RACY,JEFF",2
12:38,"SUB IN by GREEN,CONNOR",,,,,,,"SUB IN by GREEN,CONNOR",2
12:38,"SUB IN by CONKLIN,ERIC",,,,,,,"SUB IN by CONKLIN,ERIC",2
12:38,,,,,"SUB IN by GALVIN,DANIEL",,,"SUB IN by GALVIN,DANIEL",2
12:38,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",2
12:27,"MISS LAYUP by GREEN,CONNOR",,,,,,,"MISS LAYUP by GREEN,CONNOR",2
--,,,,,"REBOUND DEF by DARST,DANIEL",,,"REBOUND DEF by DARST,DANIEL",2
12:12,,,,,"MISS LAYUP by GALVIN,DANIEL",,,"MISS LAYUP by GALVIN,DANIEL",2
--,"REBOUND DEF by RACY,JEFF",,,,,,,"REBOUND DEF by RACY,JEFF",2
12:04,"GOOD LAYUP by CONKLIN,ERIC(in the paint)",50 (+4),,46,,AMH 50-46 (-4),,"GOOD LAYUP by CONKLIN,ERIC(in the paint)",2
--,"ASSIST  by RACY,JEFF",,,,,,,"ASSIST  by RACY,JEFF",2
12:04,,,,,"FOUL  by SULLIVAN,BRENNAN",,,"FOUL  by SULLIVAN,BRENNAN",2
12:04,,,,,"SUB IN by BUTTS,KEYSHAWN",,,"SUB IN by BUTTS,KEYSHAWN",2
12:04,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",2
12:04,"GOOD FT by CONKLIN,ERIC",51 (+5),,46,,AMH 51-46 (-5),,"GOOD FT by CONKLIN,ERIC",2
12:00,,,,,"MISS 3PTR by LOWRIE,ANDREW",,,"MISS 3PTR by LOWRIE,ANDREW",2
--,,,,,"REBOUND OFF by GALVIN,DANIEL",,,"REBOUND OFF by GALVIN,DANIEL",2
11:47,,,,,"MISS JUMPER by DARST,DANIEL",,,"MISS JUMPER by DARST,DANIEL",2
--,,,,,"REBOUND OFF by DARST,DANIEL",,,"REBOUND OFF by DARST,DANIEL",2
11:44,,51 (+2),,49,"GOOD 3PTR by WEIR,JJ",RHO 51-49 (-2),,"GOOD 3PTR by WEIR,JJ",2
--,,,,,"ASSIST  by DARST,DANIEL",,,"ASSIST  by DARST,DANIEL",2
11:36,"GOOD LAYUP by CONKLIN,ERIC(in the paint)",53 (+4),,49,,AMH 53-49 (-4),,"GOOD LAYUP by CONKLIN,ERIC(in the paint)",2
--,"ASSIST  by BERMAN,REID",,,,,,,"ASSIST  by BERMAN,REID",2
11:22,"FOUL  by CONKLIN,ERIC",,,,,,,"FOUL  by CONKLIN,ERIC",2
11:17,,53 (+3),,50,"GOOD FT by DARST,DANIEL",RHO 53-50 (-3),,"GOOD FT by DARST,DANIEL",2
11:17,"SUB IN by GEORGE,DAVID",,,,,,,"SUB IN by GEORGE,DAVID",2
11:17,"SUB OUT by CONKLIN,ERIC",,,,,,,"SUB OUT by CONKLIN,ERIC",2
11:17,,53 (+2),,51,"GOOD FT by DARST,DANIEL",RHO 53-51 (-2),,"GOOD FT by DARST,DANIEL",2
10:53,"MISS 3PTR by GREEN,CONNOR",,,,,,,"MISS 3PTR by GREEN,CONNOR",2
--,,,,,"REBOUND DEF by WEIR,JJ",,,"REBOUND DEF by WEIR,JJ",2
10:34,,53,,53,"GOOD LAYUP by BUTTS,KEYSHAWN(in the paint)",RHO 53-53 (0),,"GOOD LAYUP by BUTTS,KEYSHAWN(in the paint)",2
10:17,,,,,"FOUL  by GALVIN,DANIEL",,,"FOUL  by GALVIN,DANIEL",2
10:08,"MISS JUMPER by GREEN,CONNOR",,,,,,,"MISS JUMPER by GREEN,CONNOR",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
10:07,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",2
10:07,,,,,"SUB OUT by LOWRIE,ANDREW",,,"SUB OUT by LOWRIE,ANDREW",2
10:00,"GOOD LAYUP by RIOPEL,MICHAEL(in the paint)",55 (+2),,53,,AMH 55-53 (-2),,"GOOD LAYUP by RIOPEL,MICHAEL(in the paint)",2
10:00,,,,,"FOUL  by DARST,DANIEL",,,"FOUL  by DARST,DANIEL",2
10:00,"SUB IN by MCCARTHY,JOHNNY",,,,,,,"SUB IN by MCCARTHY,JOHNNY",2
10:00,"SUB OUT by RACY,JEFF",,,,,,,"SUB OUT by RACY,JEFF",2
10:00,"GOOD FT by RIOPEL,MICHAEL",56 (+3),,53,,AMH 56-53 (-3),,"GOOD FT by RIOPEL,MICHAEL",2
09:53,,56,,56,"GOOD 3PTR by GALVIN,DANIEL",RHO 56-56 (0),,"GOOD 3PTR by GALVIN,DANIEL",2
--,,,,,"ASSIST  by WEIR,JJ",,,"ASSIST  by WEIR,JJ",2
09:36,,,,,"FOUL  by BUTTS,KEYSHAWN",,,"FOUL  by BUTTS,KEYSHAWN",2
09:36,"MISS FT by GEORGE,DAVID",,,,,,,"MISS FT by GEORGE,DAVID",2
--,"REBOUND OFF by MCCARTHY,JOHNNY",,,,,,,"REBOUND OFF by MCCARTHY,JOHNNY",2
09:21,"MISS 3PTR by GREEN,CONNOR",,,,,,,"MISS 3PTR by GREEN,CONNOR",2
--,,,,,"REBOUND DEF by BUTTS,KEYSHAWN",,,"REBOUND DEF by BUTTS,KEYSHAWN",2
09:08,"FOUL  by GEORGE,DAVID",,,,,,,"FOUL  by GEORGE,DAVID",2
09:06,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
08:48,,,,,"MISS LAYUP by GEE,TYLER",,,"MISS LAYUP by GEE,TYLER",2
--,"REBOUND DEF by GREEN,CONNOR",,,,,,,"REBOUND DEF by GREEN,CONNOR",2
08:31,"MISS LAYUP by MCCARTHY,JOHNNY",,,,,,,"MISS LAYUP by MCCARTHY,JOHNNY",2
--,,,,,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",2
08:18,,56,,58 (+2),"GOOD LAYUP by DARST,DANIEL(in the paint)",RHO 56-58 (+2),,"GOOD LAYUP by DARST,DANIEL(in the paint)",2
07:57,"GOOD LAYUP by GREEN,CONNOR(in the paint)",58,,58,,AMH 58-58 (0),,"GOOD LAYUP by GREEN,CONNOR(in the paint)",2
--,"ASSIST  by GEORGE,DAVID",,,,,,,"ASSIST  by GEORGE,DAVID",2
07:35,"FOUL  by BERMAN,REID",,,,,,,"FOUL  by BERMAN,REID",2
07:25,,,,,"MISS LAYUP by GEE,TYLER",,,"MISS LAYUP by GEE,TYLER",2
--,,,,,"REBOUND OFF by GEE,TYLER",,,"REBOUND OFF by GEE,TYLER",2
07:25,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",2
07:25,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",2
07:15,,,,,"MISS 3PTR by GALVIN,DANIEL",,,"MISS 3PTR by GALVIN,DANIEL",2
--,,,,,"REBOUND OFF by BUTTS,KEYSHAWN",,,"REBOUND OFF by BUTTS,KEYSHAWN",2
07:10,,58,,61 (+3),"GOOD 3PTR by SULLIVAN,BRENNAN",RHO 58-61 (+3),,"GOOD 3PTR by SULLIVAN,BRENNAN",2
--,,,,,"ASSIST  by BUTTS,KEYSHAWN",,,"ASSIST  by BUTTS,KEYSHAWN",2
06:41,"TURNOVER  by BERMAN,REID",,,,,,,"TURNOVER  by BERMAN,REID",2
06:40,,,,,"STEAL  by WEIR,JJ",,,"STEAL  by WEIR,JJ",2
06:34,,58,,63 (+5),"GOOD LAYUP by GALVIN,DANIEL(in the paint)",RHO 58-63 (+5),,"GOOD LAYUP by GALVIN,DANIEL(in the paint)",2
--,,,,,"ASSIST  by SULLIVAN,BRENNAN",,,"ASSIST  by SULLIVAN,BRENNAN",2
06:33,"FOUL  by GEORGE,DAVID",,,,,,,"FOUL  by GEORGE,DAVID",2
06:33,"SUB OUT by DAWSON,JAYDE",,,,,,,"SUB OUT by DAWSON,JAYDE",2
06:33,"SUB OUT by MCCARTHY,JOHNNY",,,,,,,"SUB OUT by MCCARTHY,JOHNNY",2
06:33,"SUB OUT by RIOPEL,MICHAEL",,,,,,,"SUB OUT by RIOPEL,MICHAEL",2
06:33,"SUB OUT by RACY,JEFF",,,,,,,"SUB OUT by RACY,JEFF",2
06:33,"SUB OUT by CONKLIN,ERIC",,,,,,,"SUB OUT by CONKLIN,ERIC",2
06:33,"SUB IN by DAWSON,JAYDE",,,,,,,"SUB IN by DAWSON,JAYDE",2
06:33,"SUB IN by MCCARTHY,JOHNNY",,,,,,,"SUB IN by MCCARTHY,JOHNNY",2
06:33,"SUB IN by RIOPEL,MICHAEL",,,,,,,"SUB IN by RIOPEL,MICHAEL",2
06:33,"SUB IN by RACY,JEFF",,,,,,,"SUB IN by RACY,JEFF",2
06:33,"SUB IN by CONKLIN,ERIC",,,,,,,"SUB IN by CONKLIN,ERIC",2
06:33,,,,,"MISS FT by GALVIN,DANIEL",,,"MISS FT by GALVIN,DANIEL",2
--,"REBOUND DEF by MCCARTHY,JOHNNY",,,,,,,"REBOUND DEF by MCCARTHY,JOHNNY",2
06:14,"MISS LAYUP by RIOPEL,MICHAEL",,,,,,,"MISS LAYUP by RIOPEL,MICHAEL",2
--,,,,,"REBOUND DEF by GALVIN,DANIEL",,,"REBOUND DEF by GALVIN,DANIEL",2
05:50,,,,,"MISS LAYUP by BUTTS,KEYSHAWN",,,"MISS LAYUP by BUTTS,KEYSHAWN",2
--,,,,,"REBOUND OFF by BUTTS,KEYSHAWN",,,"REBOUND OFF by BUTTS,KEYSHAWN",2
05:47,,,,,"MISS LAYUP by BUTTS,KEYSHAWN",,,"MISS LAYUP by BUTTS,KEYSHAWN",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
05:36,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",2
05:36,,,,,"SUB OUT by GALVIN,DANIEL",,,"SUB OUT by GALVIN,DANIEL",2
05:28,"GOOD LAYUP by RIOPEL,MICHAEL(in the paint)",60,,63 (+3),,AMH 60-63 (+3),,"GOOD LAYUP by RIOPEL,MICHAEL(in the paint)",2
--,"ASSIST  by DAWSON,JAYDE",,,,,,,"ASSIST  by DAWSON,JAYDE",2
05:27,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
05:07,,60,,66 (+6),"GOOD 3PTR by SULLIVAN,BRENNAN",RHO 60-66 (+6),,"GOOD 3PTR by SULLIVAN,BRENNAN",2
04:46,"MISS LAYUP by CONKLIN,ERIC",,,,,,,"MISS LAYUP by CONKLIN,ERIC",2
--,,,,,"REBOUND DEF by DARST,DANIEL",,,"REBOUND DEF by DARST,DANIEL",2
04:30,,,,,"MISS LAYUP by BUTTS,KEYSHAWN",,,"MISS LAYUP by BUTTS,KEYSHAWN",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
04:21,"GOOD 3PTR by RACY,JEFF",63,,66 (+3),,AMH 63-66 (+3),,"GOOD 3PTR by RACY,JEFF",2
--,"ASSIST  by DAWSON,JAYDE",,,,,,,"ASSIST  by DAWSON,JAYDE",2
04:03,,63,,69 (+6),"GOOD 3PTR by SULLIVAN,BRENNAN",RHO 63-69 (+6),,"GOOD 3PTR by SULLIVAN,BRENNAN",2
--,,,,,"ASSIST  by DARST,DANIEL",,,"ASSIST  by DARST,DANIEL",2
03:46,"MISS LAYUP by DAWSON,JAYDE",,,,,,,"MISS LAYUP by DAWSON,JAYDE",2
--,"REBOUND OFF by CONKLIN,ERIC",,,,,,,"REBOUND OFF by CONKLIN,ERIC",2
03:44,,,,,"FOUL  by BUTTS,KEYSHAWN",,,"FOUL  by BUTTS,KEYSHAWN",2
03:44,"MISS FT by CONKLIN,ERIC",,,,,,,"MISS FT by CONKLIN,ERIC",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
03:44,,,,,"SUB IN by GALVIN,DANIEL",,,"SUB IN by GALVIN,DANIEL",2
03:44,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",2
03:44,"GOOD FT by CONKLIN,ERIC",64,,69 (+5),,AMH 64-69 (+5),,"GOOD FT by CONKLIN,ERIC",2
03:17,,,,,"MISS LAYUP by BUTTS,KEYSHAWN",,,"MISS LAYUP by BUTTS,KEYSHAWN",2
--,"REBOUND DEF by MCCARTHY,JOHNNY",,,,,,,"REBOUND DEF by MCCARTHY,JOHNNY",2
03:14,"TURNOVER  by MCCARTHY,JOHNNY",,,,,,,"TURNOVER  by MCCARTHY,JOHNNY",2
03:13,,,,,"STEAL  by BUTTS,KEYSHAWN",,,"STEAL  by BUTTS,KEYSHAWN",2
02:58,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
02:45,,,,,"MISS 3PTR by BUTTS,KEYSHAWN",,,"MISS 3PTR by BUTTS,KEYSHAWN",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
02:37,,64,,71 (+7),"GOOD LAYUP by GALVIN,DANIEL(in the paint)",RHO 64-71 (+7),,"GOOD LAYUP by GALVIN,DANIEL(in the paint)",2
--,,,,,"ASSIST  by GEE,TYLER",,,"ASSIST  by GEE,TYLER",2
02:21,"MISS 3PTR by MCCARTHY,JOHNNY",,,,,,,"MISS 3PTR by MCCARTHY,JOHNNY",2
--,"REBOUND OFF by RIOPEL,MICHAEL",,,,,,,"REBOUND OFF by RIOPEL,MICHAEL",2
02:16,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
02:16,,,,,"FOUL  by GALVIN,DANIEL",,,"FOUL  by GALVIN,DANIEL",2
02:16,"MISS FT by CONKLIN,ERIC",,,,,,,"MISS FT by CONKLIN,ERIC",2
--,,,,,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",2
01:52,,,,,"MISS LAYUP by GALVIN,DANIEL",,,"MISS LAYUP by GALVIN,DANIEL",2
--,"REBOUND DEF by CONKLIN,ERIC",,,,,,,"REBOUND DEF by CONKLIN,ERIC",2
01:41,"GOOD 3PTR by MCCARTHY,JOHNNY",67,,71 (+4),,AMH 67-71 (+4),,"GOOD 3PTR by MCCARTHY,JOHNNY",2
--,"ASSIST  by DAWSON,JAYDE",,,,,,,"ASSIST  by DAWSON,JAYDE",2
01:19,,67,,73 (+6),"GOOD LAYUP by GEE,TYLER(in the paint)",RHO 67-73 (+6),,"GOOD LAYUP by GEE,TYLER(in the paint)",2
--,,,,,"ASSIST  by WEIR,JJ",,,"ASSIST  by WEIR,JJ",2
01:07,"MISS 3PTR by MCCARTHY,JOHNNY",,,,,,,"MISS 3PTR by MCCARTHY,JOHNNY",2
--,,,,,"REBOUND DEF by WEIR,JJ",,,"REBOUND DEF by WEIR,JJ",2
01:00,"FOUL  by CONKLIN,ERIC",,,,,,,"FOUL  by CONKLIN,ERIC",2
01:00,,67,,74 (+7),"GOOD FT by SULLIVAN,BRENNAN",RHO 67-74 (+7),,"GOOD FT by SULLIVAN,BRENNAN",2
01:00,,67,,75 (+8),"GOOD FT by SULLIVAN,BRENNAN",RHO 67-75 (+8),,"GOOD FT by SULLIVAN,BRENNAN",2
00:52,"GOOD LAYUP by DAWSON,JAYDE(in the paint)",69,,75 (+6),,AMH 69-75 (+6),,"GOOD LAYUP by DAWSON,JAYDE(in the paint)",2
00:35,"FOUL  by RACY,JEFF",,,,,,,"FOUL  by RACY,JEFF",2
00:35,,,,,"MISS FT by WEIR,JJ",,,"MISS FT by WEIR,JJ",2
--,"REBOUND DEF by MCCARTHY,JOHNNY",,,,,,,"REBOUND DEF by MCCARTHY,JOHNNY",2
00:28,"TURNOVER  by DAWSON,JAYDE",,,,,,,"TURNOVER  by DAWSON,JAYDE",2
00:27,,,,,"STEAL  by BUTTS,KEYSHAWN",,,"STEAL  by BUTTS,KEYSHAWN",2
00:19,"FOUL  by MCCARTHY,JOHNNY",,,,,,,"FOUL  by MCCARTHY,JOHNNY",2
00:19,,69,,76 (+7),"GOOD FT by SULLIVAN,BRENNAN",RHO 69-76 (+7),,"GOOD FT by SULLIVAN,BRENNAN",2
00:19,,,,,"MISS FT by SULLIVAN,BRENNAN",,,"MISS FT by SULLIVAN,BRENNAN",2
--,"REBOUND DEF by MCCARTHY,JOHNNY",,,,,,,"REBOUND DEF by MCCARTHY,JOHNNY",2
00:12,"MISS 3PTR by MCCARTHY,JOHNNY",,,,,,,"MISS 3PTR by MCCARTHY,JOHNNY",2
00:12,,,,,"BLOCK  by BUTTS,KEYSHAWN",,,"BLOCK  by BUTTS,KEYSHAWN",2
--,,,,,"REBOUND DEF by GALVIN,DANIEL",,,"REBOUND DEF by GALVIN,DANIEL",2
