Time Remaining,CROWN COLLEGE,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
--,"REBOUND OFF by MAINOUS,CHAD",,,,,,,"REBOUND OFF by MAINOUS,CHAD",1
15:41,"MISS LAYUP by MAINOUS,CHAD",,,,,,,"MISS LAYUP by MAINOUS,CHAD",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
15:31,,7 (+4),,3,"GOOD JUMPER by CARTER,KESHONN(in the paint)",SEWANEE 7-3 (-4),,"GOOD JUMPER by CARTER,KESHONN(in the paint)",1
15:09,"MISS 3PTR by BRO,ZACH",,,,,,,"MISS 3PTR by BRO,ZACH",1
--,,,,,"REBOUND DEF by VEAL,ROBERT",,,"REBOUND DEF by VEAL,ROBERT",1
14:54,,7 (+2),,5,"GOOD JUMPER by VEAL,ROBERT",SEWANEE 7-5 (-2),,"GOOD JUMPER by VEAL,ROBERT",1
--,,,,,"ASSIST  by CARTER,KESHONN",,,"ASSIST  by CARTER,KESHONN",1
14:37,"MISS JUMPER by LUDKA,JUSTIN",,,,,,,"MISS JUMPER by LUDKA,JUSTIN",1
14:37,,,,,"BLOCK  by VEAL,ROBERT",,,"BLOCK  by VEAL,ROBERT",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
14:37,"SUB IN by SULLIVAN,QUENTIN",,,,,,,"SUB IN by SULLIVAN,QUENTIN",1
14:37,"SUB IN by LUDKA,JUSTIN",,,,,,,"SUB IN by LUDKA,JUSTIN",1
14:37,"SUB OUT by BRO,ZACH",,,,,,,"SUB OUT by BRO,ZACH",1
14:37,"SUB OUT by ARISTIDE,BILLY",,,,,,,"SUB OUT by ARISTIDE,BILLY",1
14:37,,,,,"SUB IN by HEATHERLY,GARRETT",,,"SUB IN by HEATHERLY,GARRETT",1
14:37,,,,,"SUB IN by BORN,LEO",,,"SUB IN by BORN,LEO",1
14:37,,,,,"SUB IN by ARNOLD,ALEX",,,"SUB IN by ARNOLD,ALEX",1
14:37,,,,,"SUB OUT by WILLIAMS,JORDEN",,,"SUB OUT by WILLIAMS,JORDEN",1
14:37,,,,,"SUB OUT by CARDWELL,MARCELLUS",,,"SUB OUT by CARDWELL,MARCELLUS",1
14:37,,,,,"SUB OUT by CARTER,KESHONN",,,"SUB OUT by CARTER,KESHONN",1
14:17,"GOOD LAYUP by FARMER,JOSH(in the paint)",9 (+4),,5,,CROWN COLLEGE 9-5 (-4),,"GOOD LAYUP by FARMER,JOSH(in the paint)",1
14:03,,9 (+2),,7,"GOOD JUMPER by VEAL,ROBERT",SEWANEE 9-7 (-2),,"GOOD JUMPER by VEAL,ROBERT",1
--,,,,,"ASSIST  by TOME,MATT",,,"ASSIST  by TOME,MATT",1
13:50,"TURNOVER  by MAINOUS,CHAD",,,,,,,"TURNOVER  by MAINOUS,CHAD",1
13:48,,,,,"STEAL  by ARNOLD,ALEX",,,"STEAL  by ARNOLD,ALEX",1
13:43,"FOUL  by MAINOUS,CHAD",,,,,,,"FOUL  by MAINOUS,CHAD",1
13:42,,9,,10 (+1),"GOOD 3PTR by TOME,MATT",SEWANEE 9-10 (+1),,"GOOD 3PTR by TOME,MATT",1
--,,,,,"ASSIST  by BORN,LEO",,,"ASSIST  by BORN,LEO",1
13:22,"GOOD 3PTR by FARMER,JOSH",12 (+2),,10,,CROWN COLLEGE 12-10 (-2),,"GOOD 3PTR by FARMER,JOSH",1
--,"ASSIST  by LUDKA,JUSTIN",,,,,,,"ASSIST  by LUDKA,JUSTIN",1
13:01,,,,,"MISS LAYUP by HEATHERLY,GARRETT",,,"MISS LAYUP by HEATHERLY,GARRETT",1
--,,,,,"REBOUND OFF by HEATHERLY,GARRETT",,,"REBOUND OFF by HEATHERLY,GARRETT",1
12:55,,12,,12,"GOOD LAYUP by HEATHERLY,GARRETT(in the paint)",SEWANEE 12-12 (0),,"GOOD LAYUP by HEATHERLY,GARRETT(in the paint)",1
12:29,"TURNOVER  by FARMER,JOSH",,,,,,,"TURNOVER  by FARMER,JOSH",1
12:26,,,,,"STEAL  by ARNOLD,ALEX",,,"STEAL  by ARNOLD,ALEX",1
12:22,,,,,"TURNOVER  by BORN,LEO",,,"TURNOVER  by BORN,LEO",1
12:20,"TURNOVER  by FARMER,JOSH",,,,,,,"TURNOVER  by FARMER,JOSH",1
12:20,,,,,"SUB IN by BROWN,SETH",,,"SUB IN by BROWN,SETH",1
12:20,,,,,"SUB IN by CARDWELL,MARCELLUS",,,"SUB IN by CARDWELL,MARCELLUS",1
12:20,,,,,"SUB OUT by TOME,MATT",,,"SUB OUT by TOME,MATT",1
12:20,,,,,"SUB OUT by VEAL,ROBERT",,,"SUB OUT by VEAL,ROBERT",1
12:14,"SUB IN by BRO,ZACH",,,,,,,"SUB IN by BRO,ZACH",1
12:14,"SUB IN by EVANS,KEVIN",,,,,,,"SUB IN by EVANS,KEVIN",1
12:14,"SUB OUT by LUDKA,JUSTIN",,,,,,,"SUB OUT by LUDKA,JUSTIN",1
12:14,"SUB OUT by BROWN,TROY",,,,,,,"SUB OUT by BROWN,TROY",1
12:05,,,,,"SUB IN by CARTER,KESHONN",,,"SUB IN by CARTER,KESHONN",1
12:05,,,,,"SUB OUT by HEATHERLY,GARRETT",,,"SUB OUT by HEATHERLY,GARRETT",1
11:53,,,,,"MISS JUMPER by CARTER,KESHONN",,,"MISS JUMPER by CARTER,KESHONN",1
--,,,,,"REBOUND OFF by ARNOLD,ALEX",,,"REBOUND OFF by ARNOLD,ALEX",1
11:45,"FOUL  by BRO,ZACH",,,,,,,"FOUL  by BRO,ZACH",1
11:45,,12,,13 (+1),"GOOD FT by ARNOLD,ALEX",SEWANEE 12-13 (+1),,"GOOD FT by ARNOLD,ALEX",1
11:45,,12,,14 (+2),"GOOD FT by ARNOLD,ALEX",SEWANEE 12-14 (+2),,"GOOD FT by ARNOLD,ALEX",1
11:45,"SUB IN by ARISTIDE,BILLY",,,,,,,"SUB IN by ARISTIDE,BILLY",1
11:45,"SUB OUT by BRO,ZACH",,,,,,,"SUB OUT by BRO,ZACH",1
11:45,,,,,"SUB IN by DOWNEY,WILL",,,"SUB IN by DOWNEY,WILL",1
11:45,,,,,"SUB IN by WILLIAMS,JORDEN",,,"SUB IN by WILLIAMS,JORDEN",1
11:45,,,,,"SUB OUT by ARNOLD,ALEX",,,"SUB OUT by ARNOLD,ALEX",1
11:45,,,,,"SUB OUT by BORN,LEO",,,"SUB OUT by BORN,LEO",1
11:40,"TURNOVER  by SULLIVAN,QUENTIN",,,,,,,"TURNOVER  by SULLIVAN,QUENTIN",1
11:22,"FOUL  by EVANS,KEVIN",,,,,,,"FOUL  by EVANS,KEVIN",1
11:22,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
11:07,,12,,16 (+4),"GOOD JUMPER by CARTER,KESHONN(in the paint)",SEWANEE 12-16 (+4),,"GOOD JUMPER by CARTER,KESHONN(in the paint)",1
10:43,"TURNOVER  by ARISTIDE,BILLY",,,,,,,"TURNOVER  by ARISTIDE,BILLY",1
10:41,,,,,"STEAL  by WILLIAMS,JORDEN",,,"STEAL  by WILLIAMS,JORDEN",1
10:33,,,,,"TURNOVER  by WILLIAMS,JORDEN",,,"TURNOVER  by WILLIAMS,JORDEN",1
10:31,"SUB IN by FLATT,RYAN",,,,,,,"SUB IN by FLATT,RYAN",1
10:31,"SUB OUT by EVANS,KEVIN",,,,,,,"SUB OUT by EVANS,KEVIN",1
10:06,"MISS JUMPER by FARMER,JOSH",,,,,,,"MISS JUMPER by FARMER,JOSH",1
--,,,,,"REBOUND DEF by WILLIAMS,JORDEN",,,"REBOUND DEF by WILLIAMS,JORDEN",1
09:54,,,,,"MISS 3PTR by DOWNEY,WILL",,,"MISS 3PTR by DOWNEY,WILL",1
--,,,,,"REBOUND OFF by BROWN,SETH",,,"REBOUND OFF by BROWN,SETH",1
09:49,,,,,"MISS 3PTR by WILLIAMS,JORDEN",,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,"REBOUND DEF by ARISTIDE,BILLY",,,,,,,"REBOUND DEF by ARISTIDE,BILLY",1
09:10,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
09:10,"SUB IN by LUDKA,JUSTIN",,,,,,,"SUB IN by LUDKA,JUSTIN",1
09:10,"SUB OUT by SULLIVAN,QUENTIN",,,,,,,"SUB OUT by SULLIVAN,QUENTIN",1
09:10,,,,,"SUB IN by BORN,LEO",,,"SUB IN by BORN,LEO",1
09:10,,,,,"SUB OUT by BROWN,SETH",,,"SUB OUT by BROWN,SETH",1
08:55,,,,,"MISS JUMPER by CARTER,KESHONN",,,"MISS JUMPER by CARTER,KESHONN",1
--,"REBOUND DEF by LUDKA,JUSTIN",,,,,,,"REBOUND DEF by LUDKA,JUSTIN",1
08:43,"MISS JUMPER by ARISTIDE,BILLY",,,,,,,"MISS JUMPER by ARISTIDE,BILLY",1
08:43,,,,,"BLOCK  by CARTER,KESHONN",,,"BLOCK  by CARTER,KESHONN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
08:37,"SUB IN by SULLIVAN,QUENTIN",,,,,,,"SUB IN by SULLIVAN,QUENTIN",1
08:37,"SUB IN by DOOLIN,MICHAEL",,,,,,,"SUB IN by DOOLIN,MICHAEL",1
08:37,"SUB OUT by FLATT,RYAN",,,,,,,"SUB OUT by FLATT,RYAN",1
08:37,"SUB OUT by ARISTIDE,BILLY",,,,,,,"SUB OUT by ARISTIDE,BILLY",1
08:37,,,,,"SUB IN by TOME,MATT",,,"SUB IN by TOME,MATT",1
08:37,,,,,"SUB OUT by CARDWELL,MARCELLUS",,,"SUB OUT by CARDWELL,MARCELLUS",1
08:31,,12,,19 (+7),"GOOD 3PTR by BORN,LEO",SEWANEE 12-19 (+7),,"GOOD 3PTR by BORN,LEO",1
--,,,,,"ASSIST  by TOME,MATT",,,"ASSIST  by TOME,MATT",1
08:06,"MISS JUMPER by BROWN,TROY",,,,,,,"MISS JUMPER by BROWN,TROY",1
08:06,,,,,"BLOCK  by CARTER,KESHONN",,,"BLOCK  by CARTER,KESHONN",1
--,,,,,"REBOUND DEF by TOME,MATT",,,"REBOUND DEF by TOME,MATT",1
07:47,,12,,21 (+9),"GOOD DUNK by CARTER,KESHONN(fastbreak)(in the paint)",SEWANEE 12-21 (+9),,"GOOD DUNK by CARTER,KESHONN(fastbreak)(in the paint)",1
07:42,"SUB IN by BROWN,TROY",,,,,,,"SUB IN by BROWN,TROY",1
07:42,"SUB OUT by DOOLIN,MICHAEL",,,,,,,"SUB OUT by DOOLIN,MICHAEL",1
07:34,"MISS 3PTR by FARMER,JOSH",,,,,,,"MISS 3PTR by FARMER,JOSH",1
--,,,,,"REBOUND DEF by VEAL,ROBERT",,,"REBOUND DEF by VEAL,ROBERT",1
07:25,,12,,23 (+11),"GOOD LAYUP by WILLIAMS,JORDEN(in the paint)",SEWANEE 12-23 (+11),,"GOOD LAYUP by WILLIAMS,JORDEN(in the paint)",1
07:14,"MISS JUMPER by LUDKA,JUSTIN",,,,,,,"MISS JUMPER by LUDKA,JUSTIN",1
--,"REBOUND OFF by MAINOUS,CHAD",,,,,,,"REBOUND OFF by MAINOUS,CHAD",1
06:56,"GOOD LAYUP by FARMER,JOSH(in the paint)",14,,23 (+9),,CROWN COLLEGE 14-23 (+9),,"GOOD LAYUP by FARMER,JOSH(in the paint)",1
06:56,,,,,"FOUL  by WILLIAMS,JORDEN",,,"FOUL  by WILLIAMS,JORDEN",1
06:56,"GOOD FT by FARMER,JOSH",15,,23 (+8),,CROWN COLLEGE 15-23 (+8),,"GOOD FT by FARMER,JOSH",1
06:56,,,,,"SUB IN by NELSON,ANVIL",,,"SUB IN by NELSON,ANVIL",1
06:56,,,,,"SUB IN by BROWN,SETH",,,"SUB IN by BROWN,SETH",1
06:56,,,,,"SUB IN by VEAL,ROBERT",,,"SUB IN by VEAL,ROBERT",1
06:56,,,,,"SUB IN by ARNOLD,ALEX",,,"SUB IN by ARNOLD,ALEX",1
06:56,,,,,"SUB OUT by WILLIAMS,JORDEN",,,"SUB OUT by WILLIAMS,JORDEN",1
06:56,,,,,"SUB OUT by BORN,LEO",,,"SUB OUT by BORN,LEO",1
06:56,,,,,"SUB OUT by DOWNEY,WILL",,,"SUB OUT by DOWNEY,WILL",1
06:56,,,,,"SUB OUT by CARTER,KESHONN",,,"SUB OUT by CARTER,KESHONN",1
06:38,,,,,"TURNOVER  by VEAL,ROBERT",,,"TURNOVER  by VEAL,ROBERT",1
06:03,"TURNOVER  by FARMER,JOSH",,,,,,,"TURNOVER  by FARMER,JOSH",1
05:38,,,,,"MISS 3PTR by ARNOLD,ALEX",,,"MISS 3PTR by ARNOLD,ALEX",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
05:30,"TURNOVER  by MAINOUS,CHAD",,,,,,,"TURNOVER  by MAINOUS,CHAD",1
05:30,"FOUL  by MAINOUS,CHAD",,,,,,,"FOUL  by MAINOUS,CHAD",1
05:19,,,,,"MISS JUMPER by NELSON,ANVIL",,,"MISS JUMPER by NELSON,ANVIL",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
05:16,,,,,"MISS JUMPER by ARNOLD,ALEX",,,"MISS JUMPER by ARNOLD,ALEX",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
05:16,,,,,"SUB IN by TURNER,BYRON",,,"SUB IN by TURNER,BYRON",1
05:16,,,,,"SUB OUT by VEAL,ROBERT",,,"SUB OUT by VEAL,ROBERT",1
04:59,"TURNOVER  by EVANS,KEVIN",,,,,,,"TURNOVER  by EVANS,KEVIN",1
04:51,,,,,"STEAL  by TOME,MATT",,,"STEAL  by TOME,MATT",1
04:48,,15,,26 (+11),"GOOD 3PTR by BROWN,SETH",SEWANEE 15-26 (+11),,"GOOD 3PTR by BROWN,SETH",1
--,,,,,"ASSIST  by ARNOLD,ALEX",,,"ASSIST  by ARNOLD,ALEX",1
04:43,"TURNOVER  by BROWN,TROY",,,,,,,"TURNOVER  by BROWN,TROY",1
04:35,"SUB IN by EVANS,KEVIN",,,,,,,"SUB IN by EVANS,KEVIN",1
04:35,"SUB IN by ARISTIDE,BILLY",,,,,,,"SUB IN by ARISTIDE,BILLY",1
04:35,"SUB OUT by LUDKA,JUSTIN",,,,,,,"SUB OUT by LUDKA,JUSTIN",1
04:35,"SUB OUT by MAINOUS,CHAD",,,,,,,"SUB OUT by MAINOUS,CHAD",1
04:09,,,,,"STEAL  by ARNOLD,ALEX",,,"STEAL  by ARNOLD,ALEX",1
04:06,"FOUL  by ARISTIDE,BILLY",,,,,,,"FOUL  by ARISTIDE,BILLY",1
04:06,,15,,27 (+12),"GOOD FT by BROWN,SETH",SEWANEE 15-27 (+12),,"GOOD FT by BROWN,SETH",1
04:06,"SUB IN by DOOLIN,MICHAEL",,,,,,,"SUB IN by DOOLIN,MICHAEL",1
04:06,"SUB IN by FLATT,RYAN",,,,,,,"SUB IN by FLATT,RYAN",1
04:06,"SUB IN by WILKERSON,MATTHEW",,,,,,,"SUB IN by WILKERSON,MATTHEW",1
04:06,"SUB OUT by SULLIVAN,QUENTIN",,,,,,,"SUB OUT by SULLIVAN,QUENTIN",1
04:06,"SUB OUT by EVANS,KEVIN",,,,,,,"SUB OUT by EVANS,KEVIN",1
04:06,"SUB OUT by BROWN,TROY",,,,,,,"SUB OUT by BROWN,TROY",1
04:06,,,,,"SUB IN by BORN,LEO",,,"SUB IN by BORN,LEO",1
04:06,,,,,"SUB IN by CARTER,KESHONN",,,"SUB IN by CARTER,KESHONN",1
04:06,,,,,"SUB IN by WILLIAMS,JORDEN",,,"SUB IN by WILLIAMS,JORDEN",1
04:06,,,,,"SUB OUT by TOME,MATT",,,"SUB OUT by TOME,MATT",1
04:06,,,,,"SUB OUT by NELSON,ANVIL",,,"SUB OUT by NELSON,ANVIL",1
04:06,,,,,"SUB OUT by ARNOLD,ALEX",,,"SUB OUT by ARNOLD,ALEX",1
03:51,"MISS JUMPER by FLATT,RYAN",,,,,,,"MISS JUMPER by FLATT,RYAN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
03:50,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
03:45,"MISS 3PTR by DOOLIN,MICHAEL",,,,,,,"MISS 3PTR by DOOLIN,MICHAEL",1
--,,,,,"REBOUND DEF by WILLIAMS,JORDEN",,,"REBOUND DEF by WILLIAMS,JORDEN",1
03:35,,,,,"MISS 3PTR by BROWN,SETH",,,"MISS 3PTR by BROWN,SETH",1
--,,,,,"REBOUND OFF by TURNER,BYRON",,,"REBOUND OFF by TURNER,BYRON",1
03:28,,,,,"MISS JUMPER by TURNER,BYRON",,,"MISS JUMPER by TURNER,BYRON",1
--,"REBOUND DEF by FARMER,JOSH",,,,,,,"REBOUND DEF by FARMER,JOSH",1
03:18,,,,,"FOUL  by BORN,LEO",,,"FOUL  by BORN,LEO",1
03:18,"GOOD FT by FLATT,RYAN",16,,27 (+11),,CROWN COLLEGE 16-27 (+11),,"GOOD FT by FLATT,RYAN",1
03:18,"MISS FT by FLATT,RYAN",,,,,,,"MISS FT by FLATT,RYAN",1
--,"REBOUND OFF by ARISTIDE,BILLY",,,,,,,"REBOUND OFF by ARISTIDE,BILLY",1
03:16,"MISS JUMPER by ARISTIDE,BILLY",,,,,,,"MISS JUMPER by ARISTIDE,BILLY",1
--,,,,,"REBOUND DEF by TURNER,BYRON",,,"REBOUND DEF by TURNER,BYRON",1
03:12,,,,,"TURNOVER  by TURNER,BYRON",,,"TURNOVER  by TURNER,BYRON",1
03:11,,,,,"FOUL  by TURNER,BYRON",,,"FOUL  by TURNER,BYRON",1
03:06,"GOOD JUMPER by DOOLIN,MICHAEL(in the paint)",18,,27 (+9),,CROWN COLLEGE 18-27 (+9),,"GOOD JUMPER by DOOLIN,MICHAEL(in the paint)",1
02:33,,18,,29 (+11),"GOOD LAYUP by TURNER,BYRON(in the paint)",SEWANEE 18-29 (+11),,"GOOD LAYUP by TURNER,BYRON(in the paint)",1
02:24,"MISS JUMPER by FARMER,JOSH",,,,,,,"MISS JUMPER by FARMER,JOSH",1
--,,,,,"REBOUND DEF by BORN,LEO",,,"REBOUND DEF by BORN,LEO",1
02:19,,18,,31 (+13),"GOOD DUNK by CARTER,KESHONN(fastbreak)(in the paint)",SEWANEE 18-31 (+13),,"GOOD DUNK by CARTER,KESHONN(fastbreak)(in the paint)",1
01:43,,,,,"FOUL  by BROWN,SETH",,,"FOUL  by BROWN,SETH",1
01:43,"MISS FT by ARISTIDE,BILLY",,,,,,,"MISS FT by ARISTIDE,BILLY",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
01:42,"MISS FT by ARISTIDE,BILLY",,,,,,,"MISS FT by ARISTIDE,BILLY",1
--,,,,,"REBOUND DEF by VEAL,ROBERT",,,"REBOUND DEF by VEAL,ROBERT",1
01:42,"SUB IN by SULLIVAN,QUENTIN",,,,,,,"SUB IN by SULLIVAN,QUENTIN",1
01:42,"SUB IN by BROWN,TROY",,,,,,,"SUB IN by BROWN,TROY",1
01:42,"SUB OUT by FARMER,JOSH",,,,,,,"SUB OUT by FARMER,JOSH",1
01:42,"SUB OUT by WILKERSON,MATTHEW",,,,,,,"SUB OUT by WILKERSON,MATTHEW",1
01:42,,,,,"SUB IN by TOME,MATT",,,"SUB IN by TOME,MATT",1
01:42,,,,,"SUB IN by VEAL,ROBERT",,,"SUB IN by VEAL,ROBERT",1
01:42,,,,,"SUB IN by CARDWELL,MARCELLUS",,,"SUB IN by CARDWELL,MARCELLUS",1
01:42,,,,,"SUB OUT by BROWN,SETH",,,"SUB OUT by BROWN,SETH",1
01:42,,,,,"SUB OUT by BORN,LEO",,,"SUB OUT by BORN,LEO",1
01:42,,,,,"SUB OUT by TURNER,BYRON",,,"SUB OUT by TURNER,BYRON",1
01:31,,18,,33 (+15),"GOOD JUMPER by WILLIAMS,JORDEN(in the paint)",SEWANEE 18-33 (+15),,"GOOD JUMPER by WILLIAMS,JORDEN(in the paint)",1
01:13,"MISS JUMPER by ARISTIDE,BILLY",,,,,,,"MISS JUMPER by ARISTIDE,BILLY",1
01:13,,,,,"BLOCK  by CARTER,KESHONN",,,"BLOCK  by CARTER,KESHONN",1
--,,,,,"REBOUND DEF by CARDWELL,MARCELLUS",,,"REBOUND DEF by CARDWELL,MARCELLUS",1
00:58,,,,,"MISS JUMPER by CARTER,KESHONN",,,"MISS JUMPER by CARTER,KESHONN",1
--,"REBOUND DEF by ARISTIDE,BILLY",,,,,,,"REBOUND DEF by ARISTIDE,BILLY",1
00:16,"MISS JUMPER by DOOLIN,MICHAEL",,,,,,,"MISS JUMPER by DOOLIN,MICHAEL",1
--,,,,,"REBOUND DEF by CARDWELL,MARCELLUS",,,"REBOUND DEF by CARDWELL,MARCELLUS",1
00:05,,,,,"MISS 3PTR by TOME,MATT",,,"MISS 3PTR by TOME,MATT",1
--,,,,,"REBOUND OFF by CARTER,KESHONN",,,"REBOUND OFF by CARTER,KESHONN",1
00:00,,,,,"MISS JUMPER by CARTER,KESHONN",,,"MISS JUMPER by CARTER,KESHONN",1
--,,,,,"REBOUND OFF by CARDWELL,MARCELLUS",,,"REBOUND OFF by CARDWELL,MARCELLUS",1
20:00,"SUB IN by BRO,ZACH",,,,,,,"SUB IN by BRO,ZACH",2
20:00,"SUB IN by FARMER,JOSH",,,,,,,"SUB IN by FARMER,JOSH",2
20:00,"SUB IN by MAINOUS,CHAD",,,,,,,"SUB IN by MAINOUS,CHAD",2
20:00,"SUB OUT by SULLIVAN,QUENTIN",,,,,,,"SUB OUT by SULLIVAN,QUENTIN",2
20:00,"SUB OUT by DOOLIN,MICHAEL",,,,,,,"SUB OUT by DOOLIN,MICHAEL",2
20:00,"SUB OUT by FLATT,RYAN",,,,,,,"SUB OUT by FLATT,RYAN",2
19:56,,18,,35 (+17),"GOOD JUMPER by CARTER,KESHONN",SEWANEE 18-35 (+17),,"GOOD JUMPER by CARTER,KESHONN",2
--,,,,,"ASSIST  by WILLIAMS,JORDEN",,,"ASSIST  by WILLIAMS,JORDEN",2
19:56,,,,,"SUB IN by BROWN,SETH",,,"SUB IN by BROWN,SETH",2
19:56,,,,,"SUB IN by BORN,LEO",,,"SUB IN by BORN,LEO",2
19:56,,,,,"SUB OUT by TOME,MATT",,,"SUB OUT by TOME,MATT",2
19:56,,,,,"SUB OUT by VEAL,ROBERT",,,"SUB OUT by VEAL,ROBERT",2
19:41,"MISS JUMPER by ARISTIDE,BILLY",,,,,,,"MISS JUMPER by ARISTIDE,BILLY",2
--,,,,,"REBOUND DEF by BROWN,SETH",,,"REBOUND DEF by BROWN,SETH",2
19:21,,,,,"MISS FT by CARTER,KESHONN",,,"MISS FT by CARTER,KESHONN",2
19:21,"FOUL  by FARMER,JOSH",,,,,,,"FOUL  by FARMER,JOSH",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
19:21,,18,,36 (+18),"GOOD FT by CARTER,KESHONN",SEWANEE 18-36 (+18),,"GOOD FT by CARTER,KESHONN",2
19:21,"SUB IN by SULLIVAN,QUENTIN",,,,,,,"SUB IN by SULLIVAN,QUENTIN",2
19:21,"SUB IN by DOOLIN,MICHAEL",,,,,,,"SUB IN by DOOLIN,MICHAEL",2
19:21,"SUB IN by LUDKA,JUSTIN",,,,,,,"SUB IN by LUDKA,JUSTIN",2
19:21,"SUB IN by FLATT,RYAN",,,,,,,"SUB IN by FLATT,RYAN",2
19:21,"SUB IN by EVANS,KEVIN",,,,,,,"SUB IN by EVANS,KEVIN",2
19:21,"SUB OUT by BRO,ZACH",,,,,,,"SUB OUT by BRO,ZACH",2
19:21,"SUB OUT by FARMER,JOSH",,,,,,,"SUB OUT by FARMER,JOSH",2
19:21,"SUB OUT by MAINOUS,CHAD",,,,,,,"SUB OUT by MAINOUS,CHAD",2
19:21,"SUB OUT by BROWN,TROY",,,,,,,"SUB OUT by BROWN,TROY",2
