Time Remaining,SEWANE~2,Away Team Score,Play Team Indicator,Home Team Score,BCM,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by JACOBS,OWEN",,,"REBOUND DEF by JACOBS,OWEN",2
16:55,,45 (+12),,33,"GOOD LAYUP by MCCLOUD,LEE(in the paint)",BCM 45-33 (+12),,"GOOD LAYUP by MCCLOUD,LEE(in the paint)",2
16:55,"FOUL  by CALDWELL,MARCELLUS",,,,,,,"FOUL  by CALDWELL,MARCELLUS",2
16:55,,45 (+11),,34,"GOOD FT by MCCLOUD,LEE",BCM 45-34 (+11),,"GOOD FT by MCCLOUD,LEE",2
16:55,,,,,"SUB IN by JONES,RON",,,"SUB IN by JONES,RON",2
16:55,,,,,"SUB IN by GRAHAM,LAKE",,,"SUB IN by GRAHAM,LAKE",2
16:55,,,,,"SUB OUT by JACOBS,OWEN",,,"SUB OUT by JACOBS,OWEN",2
16:55,,,,,"SUB OUT by COTTER,DOUGLAS",,,"SUB OUT by COTTER,DOUGLAS",2
16:52,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
16:44,"MISS JUMPER by CARTER,KESHONN",,,,,,,"MISS JUMPER by CARTER,KESHONN",2
--,,,,,"REBOUND DEF by GRAHAM,LAKE",,,"REBOUND DEF by GRAHAM,LAKE",2
16:38,,,,,"MISS LAYUP by SMOAK,HUNTER",,,"MISS LAYUP by SMOAK,HUNTER",2
--,"REBOUND DEF by CARTER,KESHONN",,,,,,,"REBOUND DEF by CARTER,KESHONN",2
16:33,,,,,"FOUL  by JONES,RON",,,"FOUL  by JONES,RON",2
16:33,"GOOD FT by CALDWELL,MARCELLUS",46 (+12),,34,,SEWANE~2 46-34 (+12),,"GOOD FT by CALDWELL,MARCELLUS",2
16:33,"GOOD FT by CALDWELL,MARCELLUS",47 (+13),,34,,SEWANE~2 47-34 (+13),,"GOOD FT by CALDWELL,MARCELLUS",2
16:33,,,,,"SUB IN by JACOBS,OWEN",,,"SUB IN by JACOBS,OWEN",2
16:33,,,,,"SUB IN by LEWIS,AJ",,,"SUB IN by LEWIS,AJ",2
16:33,,,,,"SUB OUT by JONES,RON",,,"SUB OUT by JONES,RON",2
16:33,,,,,"SUB OUT by SMOAK,HUNTER",,,"SUB OUT by SMOAK,HUNTER",2
16:10,,47 (+11),,36,"GOOD LAYUP by JACOBS,OWEN(in the paint)",BCM 47-36 (+11),,"GOOD LAYUP by JACOBS,OWEN(in the paint)",2
--,,,,,"ASSIST  by GRAHAM,LAKE",,,"ASSIST  by GRAHAM,LAKE",2
15:52,"TURNOVER  by BORN,LEO",,,,,,,"TURNOVER  by BORN,LEO",2
15:52,"SUB IN by BORN,CLAY",,,,,,,"SUB IN by BORN,CLAY",2
15:52,"SUB OUT by BORN,LEO",,,,,,,"SUB OUT by BORN,LEO",2
15:45,"FOUL  by WILLIAMS,JORDEN",,,,,,,"FOUL  by WILLIAMS,JORDEN",2
15:32,,,,,"MISS LAYUP by JACOBS,OWEN",,,"MISS LAYUP by JACOBS,OWEN",2
15:32,"BLOCK  by BROWN,SETH",,,,,,,"BLOCK  by BROWN,SETH",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
15:23,,,,,"MISS LAYUP by GRAHAM,LAKE",,,"MISS LAYUP by GRAHAM,LAKE",2
--,,,,,"REBOUND OFF by JACOBS,OWEN",,,"REBOUND OFF by JACOBS,OWEN",2
15:23,"FOUL  by BORN,CLAY",,,,,,,"FOUL  by BORN,CLAY",2
15:04,,,,,"MISS LAYUP by JACOBS,OWEN",,,"MISS LAYUP by JACOBS,OWEN",2
--,"REBOUND DEF by CALDWELL,MARCELLUS",,,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",2
14:33,"FOUL  by CALDWELL,MARCELLUS",,,,,,,"FOUL  by CALDWELL,MARCELLUS",2
14:33,"SUB IN by TOME,MATT",,,,,,,"SUB IN by TOME,MATT",2
14:33,"SUB OUT by CALDWELL,MARCELLUS",,,,,,,"SUB OUT by CALDWELL,MARCELLUS",2
14:33,,,,,"SUB IN by SMOAK,HUNTER",,,"SUB IN by SMOAK,HUNTER",2
14:33,,,,,"SUB OUT by LEWIS,AJ",,,"SUB OUT by LEWIS,AJ",2
14:08,,,,,"TURNOVER  by WHALEN,MAC",,,"TURNOVER  by WHALEN,MAC",2
13:48,"MISS LAYUP by BROWN,SETH",,,,,,,"MISS LAYUP by BROWN,SETH",2
--,,,,,"REBOUND DEF by JACOBS,OWEN",,,"REBOUND DEF by JACOBS,OWEN",2
13:33,"FOUL  by BORN,CLAY",,,,,,,"FOUL  by BORN,CLAY",2
13:32,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
13:32,,47 (+10),,37,"GOOD FT by SMOAK,HUNTER",BCM 47-37 (+10),,"GOOD FT by SMOAK,HUNTER",2
13:32,,47 (+9),,38,"GOOD FT by SMOAK,HUNTER",BCM 47-38 (+9),,"GOOD FT by SMOAK,HUNTER",2
13:32,,47 (+8),,39,"GOOD FT by SMOAK,HUNTER",BCM 47-39 (+8),,"GOOD FT by SMOAK,HUNTER",2
13:32,"SUB IN by BORN,LEO",,,,,,,"SUB IN by BORN,LEO",2
13:32,"SUB IN by TURNER,BYRON",,,,,,,"SUB IN by TURNER,BYRON",2
13:32,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",2
13:32,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",2
13:07,"TURNOVER  by WILLIAMS,JORDEN",,,,,,,"TURNOVER  by WILLIAMS,JORDEN",2
13:05,,,,,"STEAL  by MCCLOUD,LEE",,,"STEAL  by MCCLOUD,LEE",2
13:02,,,,,"MISS LAYUP by MCCLOUD,LEE",,,"MISS LAYUP by MCCLOUD,LEE",2
--,"REBOUND DEF by BORN,LEO",,,,,,,"REBOUND DEF by BORN,LEO",2
12:55,,,,,"FOUL  by WHALEN,MAC",,,"FOUL  by WHALEN,MAC",2
12:43,"MISS 3PTR by TOME,MATT",,,,,,,"MISS 3PTR by TOME,MATT",2
--,"REBOUND OFF by TURNER,BYRON",,,,,,,"REBOUND OFF by TURNER,BYRON",2
12:39,"GOOD 3PTR by WILLIAMS,JORDEN",50 (+11),,39,,SEWANE~2 50-39 (+11),,"GOOD 3PTR by WILLIAMS,JORDEN",2
--,"ASSIST  by TURNER,BYRON",,,,,,,"ASSIST  by TURNER,BYRON",2
12:38,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
12:28,,,,,"MISS LAYUP by WHALEN,MAC",,,"MISS LAYUP by WHALEN,MAC",2
--,,,,,"REBOUND OFF by WHALEN,MAC",,,"REBOUND OFF by WHALEN,MAC",2
12:23,"FOUL  by TURNER,BYRON",,,,,,,"FOUL  by TURNER,BYRON",2
12:23,,50 (+10),,40,"GOOD FT by JACOBS,OWEN",BCM 50-40 (+10),,"GOOD FT by JACOBS,OWEN",2
12:23,,50 (+9),,41,"GOOD FT by JACOBS,OWEN",BCM 50-41 (+9),,"GOOD FT by JACOBS,OWEN",2
11:57,"MISS JUMPER by CARTER,KESHONN",,,,,,,"MISS JUMPER by CARTER,KESHONN",2
--,,,,,"REBOUND DEF by GRAHAM,LAKE",,,"REBOUND DEF by GRAHAM,LAKE",2
11:35,,,,,"MISS 3PTR by WHALEN,MAC",,,"MISS 3PTR by WHALEN,MAC",2
--,"REBOUND DEF by CARTER,KESHONN",,,,,,,"REBOUND DEF by CARTER,KESHONN",2
11:14,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",2
--,"REBOUND OFF by TURNER,BYRON",,,,,,,"REBOUND OFF by TURNER,BYRON",2
10:55,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",2
--,,,,,"REBOUND DEF by GRAHAM,LAKE",,,"REBOUND DEF by GRAHAM,LAKE",2
10:52,"FOUL  by BORN,LEO",,,,,,,"FOUL  by BORN,LEO",2
10:52,,,,,"MISS FT by GRAHAM,LAKE",,,"MISS FT by GRAHAM,LAKE",2
--,,,,,"REBOUND OFF by GRAHAM,LAKE",,,"REBOUND OFF by GRAHAM,LAKE",2
10:52,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",2
10:52,"SUB IN by VEAL,ROBERT",,,,,,,"SUB IN by VEAL,ROBERT",2
10:52,"SUB IN by BORN,CLAY",,,,,,,"SUB IN by BORN,CLAY",2
10:52,"SUB OUT by TURNER,BYRON",,,,,,,"SUB OUT by TURNER,BYRON",2
10:52,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",2
10:52,"SUB OUT by WILLIAMS,JORDEN",,,,,,,"SUB OUT by WILLIAMS,JORDEN",2
10:52,,,,,"SUB IN by JONES,RON",,,"SUB IN by JONES,RON",2
10:52,,,,,"SUB OUT by JACOBS,OWEN",,,"SUB OUT by JACOBS,OWEN",2
10:47,,50 (+6),,44,"GOOD 3PTR by WHALEN,MAC",BCM 50-44 (+6),,"GOOD 3PTR by WHALEN,MAC",2
--,,,,,"ASSIST  by GRAHAM,LAKE",,,"ASSIST  by GRAHAM,LAKE",2
10:35,"GOOD LAYUP by VEAL,ROBERT(in the paint)",52 (+8),,44,,SEWANE~2 52-44 (+8),,"GOOD LAYUP by VEAL,ROBERT(in the paint)",2
--,"ASSIST  by BORN,LEO",,,,,,,"ASSIST  by BORN,LEO",2
10:25,"FOUL  by BROWN,SETH",,,,,,,"FOUL  by BROWN,SETH",2
10:25,,52 (+7),,45,"GOOD FT by GRAHAM,LAKE",BCM 52-45 (+7),,"GOOD FT by GRAHAM,LAKE",2
10:25,,52 (+6),,46,"GOOD FT by GRAHAM,LAKE",BCM 52-46 (+6),,"GOOD FT by GRAHAM,LAKE",2
10:25,,,,,"SUB IN by COTTER,DOUGLAS",,,"SUB IN by COTTER,DOUGLAS",2
10:25,,,,,"SUB OUT by GRAHAM,LAKE",,,"SUB OUT by GRAHAM,LAKE",2
10:23,"TURNOVER  by BROWN,SETH",,,,,,,"TURNOVER  by BROWN,SETH",2
10:01,,52 (+3),,49,"GOOD 3PTR by WHALEN,MAC",BCM 52-49 (+3),,"GOOD 3PTR by WHALEN,MAC",2
--,,,,,"ASSIST  by SMOAK,HUNTER",,,"ASSIST  by SMOAK,HUNTER",2
09:49,,,,,"FOUL  by SMOAK,HUNTER",,,"FOUL  by SMOAK,HUNTER",2
09:49,"GOOD FT by VEAL,ROBERT",53 (+4),,49,,SEWANE~2 53-49 (+4),,"GOOD FT by VEAL,ROBERT",2
09:49,"MISS FT by VEAL,ROBERT",,,,,,,"MISS FT by VEAL,ROBERT",2
--,,,,,"REBOUND DEF by WHALEN,MAC",,,"REBOUND DEF by WHALEN,MAC",2
09:49,"SUB IN by WILLIAMS,JORDEN",,,,,,,"SUB IN by WILLIAMS,JORDEN",2
09:49,"SUB OUT by BORN,LEO",,,,,,,"SUB OUT by BORN,LEO",2
09:39,,,,,"MISS 3PTR by COTTER,DOUGLAS",,,"MISS 3PTR by COTTER,DOUGLAS",2
--,"REBOUND DEF by TOME,MATT",,,,,,,"REBOUND DEF by TOME,MATT",2
09:37,,,,,"FOUL  by WHALEN,MAC",,,"FOUL  by WHALEN,MAC",2
09:37,,,,,"SUB IN by JACOBS,OWEN",,,"SUB IN by JACOBS,OWEN",2
09:37,,,,,"SUB OUT by JONES,RON",,,"SUB OUT by JONES,RON",2
09:25,"GOOD 3PTR by BORN,CLAY",56 (+7),,49,,SEWANE~2 56-49 (+7),,"GOOD 3PTR by BORN,CLAY",2
--,"ASSIST  by WILLIAMS,JORDEN",,,,,,,"ASSIST  by WILLIAMS,JORDEN",2
09:11,,,,,"MISS JUMPER by COTTER,DOUGLAS",,,"MISS JUMPER by COTTER,DOUGLAS",2
--,"REBOUND DEF by BROWN,SETH",,,,,,,"REBOUND DEF by BROWN,SETH",2
09:02,"MISS JUMPER by VEAL,ROBERT",,,,,,,"MISS JUMPER by VEAL,ROBERT",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
09:01,"SUB IN by CARTER,KESHONN",,,,,,,"SUB IN by CARTER,KESHONN",2
09:01,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",2
09:01,,,,,"SUB IN by JONES,RON",,,"SUB IN by JONES,RON",2
09:01,,,,,"SUB IN by LEWIS,AJ",,,"SUB IN by LEWIS,AJ",2
09:01,,,,,"SUB OUT by COTTER,DOUGLAS",,,"SUB OUT by COTTER,DOUGLAS",2
09:01,,,,,"SUB OUT by MCCLOUD,LEE",,,"SUB OUT by MCCLOUD,LEE",2
08:26,,56 (+5),,51,"GOOD JUMPER by LEWIS,AJ",BCM 56-51 (+5),,"GOOD JUMPER by LEWIS,AJ",2
08:06,,,,,"SUB IN by PARK,BRANDON",,,"SUB IN by PARK,BRANDON",2
08:06,,,,,"SUB OUT by WHALEN,MAC",,,"SUB OUT by WHALEN,MAC",2
07:59,,,,,"FOUL  by WHALEN,MAC",,,"FOUL  by WHALEN,MAC",2
08:06,"GOOD FT by CARTER,KESHONN",57 (+6),,51,,SEWANE~2 57-51 (+6),,"GOOD FT by CARTER,KESHONN",2
08:06,"GOOD FT by CARTER,KESHONN",58 (+7),,51,,SEWANE~2 58-51 (+7),,"GOOD FT by CARTER,KESHONN",2
07:47,,,,,"MISS 3PTR by SMOAK,HUNTER",,,"MISS 3PTR by SMOAK,HUNTER",2
--,"REBOUND DEF by BORN,CLAY",,,,,,,"REBOUND DEF by BORN,CLAY",2
07:38,"TURNOVER  by TOME,MATT",,,,,,,"TURNOVER  by TOME,MATT",2
07:36,,,,,"STEAL  by LEWIS,AJ",,,"STEAL  by LEWIS,AJ",2
07:32,,58 (+5),,53,"GOOD LAYUP by LEWIS,AJ(fastbreak)(in the paint)",BCM 58-53 (+5),,"GOOD LAYUP by LEWIS,AJ(fastbreak)(in the paint)",2
07:06,"MISS JUMPER by CARTER,KESHONN",,,,,,,"MISS JUMPER by CARTER,KESHONN",2
--,"REBOUND OFF by VEAL,ROBERT",,,,,,,"REBOUND OFF by VEAL,ROBERT",2
06:41,"MISS 3PTR by TOME,MATT",,,,,,,"MISS 3PTR by TOME,MATT",2
--,"REBOUND OFF by CARTER,KESHONN",,,,,,,"REBOUND OFF by CARTER,KESHONN",2
06:37,"GOOD 3PTR by WILLIAMS,JORDEN",61 (+8),,53,,SEWANE~2 61-53 (+8),,"GOOD 3PTR by WILLIAMS,JORDEN",2
--,"ASSIST  by TOME,MATT",,,,,,,"ASSIST  by TOME,MATT",2
06:26,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",2
06:26,"SUB IN by CALDWELL,MARCELLUS",,,,,,,"SUB IN by CALDWELL,MARCELLUS",2
06:26,"SUB OUT by TOME,MATT",,,,,,,"SUB OUT by TOME,MATT",2
06:26,"SUB OUT by VEAL,ROBERT",,,,,,,"SUB OUT by VEAL,ROBERT",2
06:22,,61 (+5),,56,"GOOD 3PTR by LEWIS,AJ",BCM 61-56 (+5),,"GOOD 3PTR by LEWIS,AJ",2
06:20,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
06:10,"TURNOVER  by WILLIAMS,JORDEN",,,,,,,"TURNOVER  by WILLIAMS,JORDEN",2
05:51,,61 (+3),,58,"GOOD LAYUP by JACOBS,OWEN(in the paint)",BCM 61-58 (+3),,"GOOD LAYUP by JACOBS,OWEN(in the paint)",2
05:45,,,,,"FOUL  by PARK,BRANDON",,,"FOUL  by PARK,BRANDON",2
05:45,"MISS FT by BORN,CLAY",,,,,,,"MISS FT by BORN,CLAY",2
--,,,,,"REBOUND DEF by JACOBS,OWEN",,,"REBOUND DEF by JACOBS,OWEN",2
05:45,,61 (+1),,60,"GOOD LAYUP by JACOBS,OWEN(in the paint)",BCM 61-60 (+1),,"GOOD LAYUP by JACOBS,OWEN(in the paint)",2
05:45,,,,,"FOUL  by SMOAK,HUNTER",,,"FOUL  by SMOAK,HUNTER",2
05:45,"GOOD FT by CALDWELL,MARCELLUS",62 (+2),,60,,SEWANE~2 62-60 (+2),,"GOOD FT by CALDWELL,MARCELLUS",2
05:45,"GOOD FT by CALDWELL,MARCELLUS",63 (+3),,60,,SEWANE~2 63-60 (+3),,"GOOD FT by CALDWELL,MARCELLUS",2
05:45,,,,,"MISS 3PTR by SMOAK,HUNTER",,,"MISS 3PTR by SMOAK,HUNTER",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
05:45,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
04:50,"SUB IN by BORN,LEO",,,,,,,"SUB IN by BORN,LEO",2
04:50,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",2
04:50,,,,,"SUB IN by WHALEN,MAC",,,"SUB IN by WHALEN,MAC",2
04:50,,,,,"SUB IN by MCCLOUD,LEE",,,"SUB IN by MCCLOUD,LEE",2
04:50,,,,,"SUB OUT by LEWIS,AJ",,,"SUB OUT by LEWIS,AJ",2
04:50,,,,,"SUB OUT by PARK,BRANDON",,,"SUB OUT by PARK,BRANDON",2
04:46,"MISS LAYUP by CALDWELL,MARCELLUS",,,,,,,"MISS LAYUP by CALDWELL,MARCELLUS",2
04:46,,,,,"BLOCK  by JONES,RON",,,"BLOCK  by JONES,RON",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
04:27,,,,,"MISS LAYUP by JACOBS,OWEN",,,"MISS LAYUP by JACOBS,OWEN",2
04:27,"BLOCK  by CARTER,KESHONN",,,,,,,"BLOCK  by CARTER,KESHONN",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
04:09,"FOUL  by CARTER,KESHONN",,,,,,,"FOUL  by CARTER,KESHONN",2
03:56,,,,,"MISS LAYUP by JACOBS,OWEN",,,"MISS LAYUP by JACOBS,OWEN",2
03:56,"BLOCK  by CARTER,KESHONN",,,,,,,"BLOCK  by CARTER,KESHONN",2
--,"REBOUND DEF by CARTER,KESHONN",,,,,,,"REBOUND DEF by CARTER,KESHONN",2
03:48,"GOOD LAYUP by WILLIAMS,JORDEN(fastbreak)(in the paint)",65 (+5),,60,,SEWANE~2 65-60 (+5),,"GOOD LAYUP by WILLIAMS,JORDEN(fastbreak)(in the paint)",2
03:25,,,,,"MISS LAYUP by WHALEN,MAC",,,"MISS LAYUP by WHALEN,MAC",2
--,,,,,"REBOUND OFF by JACOBS,OWEN",,,"REBOUND OFF by JACOBS,OWEN",2
03:23,"FOUL  by BORN,CLAY",,,,,,,"FOUL  by BORN,CLAY",2
03:23,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
03:23,,,,,"MISS FT by JACOBS,OWEN",,,"MISS FT by JACOBS,OWEN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
03:23,,65 (+4),,61,"GOOD FT by JACOBS,OWEN",BCM 65-61 (+4),,"GOOD FT by JACOBS,OWEN",2
03:23,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",2
03:23,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",2
03:23,,,,,"SUB IN by GRAHAM,LAKE",,,"SUB IN by GRAHAM,LAKE",2
03:23,,,,,"SUB OUT by JACOBS,OWEN",,,"SUB OUT by JACOBS,OWEN",2
02:51,"GOOD 3PTR by BROWN,SETH",68 (+7),,61,,SEWANE~2 68-61 (+7),,"GOOD 3PTR by BROWN,SETH",2
--,"ASSIST  by CALDWELL,MARCELLUS",,,,,,,"ASSIST  by CALDWELL,MARCELLUS",2
02:18,,68 (+5),,63,"GOOD LAYUP by MCCLOUD,LEE(in the paint)",BCM 68-63 (+5),,"GOOD LAYUP by MCCLOUD,LEE(in the paint)",2
02:15,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
02:15,,,,,"SUB IN by LEWIS,AJ",,,"SUB IN by LEWIS,AJ",2
02:15,,,,,"SUB OUT by GRAHAM,LAKE",,,"SUB OUT by GRAHAM,LAKE",2
01:44,"GOOD 3PTR by WILLIAMS,JORDEN",71 (+8),,63,,SEWANE~2 71-63 (+8),,"GOOD 3PTR by WILLIAMS,JORDEN",2
01:37,"FOUL  by CARTER,KESHONN",,,,,,,"FOUL  by CARTER,KESHONN",2
01:37,,,,,"MISS FT by LEWIS,AJ",,,"MISS FT by LEWIS,AJ",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
01:37,,,,,"MISS FT by LEWIS,AJ",,,"MISS FT by LEWIS,AJ",2
--,"REBOUND DEF by CALDWELL,MARCELLUS",,,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",2
01:05,"MISS 3PTR by BROWN,SETH",,,,,,,"MISS 3PTR by BROWN,SETH",2
--,"REBOUND OFF by BORN,LEO",,,,,,,"REBOUND OFF by BORN,LEO",2
01:02,"GOOD LAYUP by BORN,LEO(in the paint)",73 (+10),,63,,SEWANE~2 73-63 (+10),,"GOOD LAYUP by BORN,LEO(in the paint)",2
00:50,,,,,"SUB IN by PARK,BRANDON",,,"SUB IN by PARK,BRANDON",2
00:50,,,,,"SUB OUT by JONES,RON",,,"SUB OUT by JONES,RON",2
00:45,"SUB IN by TOME,MATT",,,,,,,"SUB IN by TOME,MATT",2
00:45,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",2
00:45,,,,,"SUB IN by COTTER,DOUGLAS",,,"SUB IN by COTTER,DOUGLAS",2
00:45,,,,,"SUB OUT by MCCLOUD,LEE",,,"SUB OUT by MCCLOUD,LEE",2
00:44,,,,,"MISS 3PTR by WHALEN,MAC",,,"MISS 3PTR by WHALEN,MAC",2
--,"REBOUND DEF by BROWN,SETH",,,,,,,"REBOUND DEF by BROWN,SETH",2
00:45,,,,,"FOUL  by PARK,BRANDON",,,"FOUL  by PARK,BRANDON",2
00:45,"GOOD FT by BROWN,SETH",74 (+11),,63,,SEWANE~2 74-63 (+11),,"GOOD FT by BROWN,SETH",2
00:45,"GOOD FT by BROWN,SETH",75 (+12),,63,,SEWANE~2 75-63 (+12),,"GOOD FT by BROWN,SETH",2
00:38,,,,,"MISS 3PTR by SMOAK,HUNTER",,,"MISS 3PTR by SMOAK,HUNTER",2
--,,,,,"REBOUND OFF by COTTER,DOUGLAS",,,"REBOUND OFF by COTTER,DOUGLAS",2
00:35,,75 (+10),,65,"GOOD LAYUP by COTTER,DOUGLAS(in the paint)",BCM 75-65 (+10),,"GOOD LAYUP by COTTER,DOUGLAS(in the paint)",2
00:35,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:28,"GOOD DUNK by CARTER,KESHONN(in the paint)",77 (+12),,65,,SEWANE~2 77-65 (+12),,"GOOD DUNK by CARTER,KESHONN(in the paint)",2
00:20,,,,,"MISS 3PTR by WHALEN,MAC",,,"MISS 3PTR by WHALEN,MAC",2
--,,,,,"REBOUND OFF by PARK,BRANDON",,,"REBOUND OFF by PARK,BRANDON",2
00:17,,,,,"MISS 3PTR by PARK,BRANDON",,,"MISS 3PTR by PARK,BRANDON",2
--,,,,,"REBOUND OFF by MCCLOUD,LEE",,,"REBOUND OFF by MCCLOUD,LEE",2
00:14,,,,,"MISS LAYUP by MCCLOUD,LEE",,,"MISS LAYUP by MCCLOUD,LEE",2
--,"REBOUND DEF by CALDWELL,MARCELLUS",,,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",2
