Time Remaining,SEW,Away Team Score,Play Team Indicator,Home Team Score,FUR,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND OFF by RWABIGWI, ADONIS",,,"REBOUND OFF by RWABIGWI, ADONIS",1
17:35,,,,,"TURNOVER  by RWABIGWI, ADONIS",,,"TURNOVER  by RWABIGWI, ADONIS",1
17:18,"GOOD 3PTR by BROWN, SETH",4 (+2),,2,,SEW 4-2 (+2),,"GOOD 3PTR by BROWN, SETH",1
--,"ASSIST  by BORN, LEO",,,,,,,"ASSIST  by BORN, LEO",1
16:47,,,,,"MISS 3PTR by WIDEMAN, LARRY",,,"MISS 3PTR by WIDEMAN, LARRY",1
--,"REBOUND DEF by BORN, LEO",,,,,,,"REBOUND DEF by BORN, LEO",1
16:38,"GOOD 3PTR by WILLIAMS, JORDEN",7 (+5),,2,,SEW 7-2 (+5),,"GOOD 3PTR by WILLIAMS, JORDEN",1
16:18,"FOUL  by BROWN, SETH",,,,,,,"FOUL  by BROWN, SETH",1
16:18,"SUB IN by TOME, MATT",,,,,,,"SUB IN by TOME, MATT",1
16:18,"SUB OUT by CALDWELL, MARCELLUS",,,,,,,"SUB OUT by CALDWELL, MARCELLUS",1
16:18,,,,,"SUB IN by GATES, WILLIAM",,,"SUB IN by GATES, WILLIAM",1
16:18,,,,,"SUB OUT by O'NEILL, AARON",,,"SUB OUT by O'NEILL, AARON",1
16:09,,,,,"TURNOVER  by RWABIGWI, ADONIS",,,"TURNOVER  by RWABIGWI, ADONIS",1
16:08,"STEAL  by TOME, MATT",,,,,,,"STEAL  by TOME, MATT",1
16:00,"MISS 3PTR by BROWN, SETH",,,,,,,"MISS 3PTR by BROWN, SETH",1
--,,,,,"REBOUND DEF by GATES, WILLIAM",,,"REBOUND DEF by GATES, WILLIAM",1
15:53,"FOUL  by BORN, LEO",,,,,,,"FOUL  by BORN, LEO",1
15:53,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
15:53,,7 (+4),,3,"GOOD FT by WIDEMAN, LARRY",FUR 7-3 (+4),,"GOOD FT by WIDEMAN, LARRY",1
15:53,,7 (+3),,4,"GOOD FT by WIDEMAN, LARRY",FUR 7-4 (+3),,"GOOD FT by WIDEMAN, LARRY",1
15:38,"MISS 3PTR by BROWN, SETH",,,,,,,"MISS 3PTR by BROWN, SETH",1
--,,,,,"REBOUND DEF by CROONE, STEPHEN",,,"REBOUND DEF by CROONE, STEPHEN",1
15:19,,,,,"MISS JUMPER by WIDEMAN, LARRY",,,"MISS JUMPER by WIDEMAN, LARRY",1
--,"REBOUND DEF by BORN, LEO",,,,,,,"REBOUND DEF by BORN, LEO",1
14:57,"MISS 3PTR by BORN, LEO",,,,,,,"MISS 3PTR by BORN, LEO",1
--,,,,,"REBOUND DEF by FERRARA, KENDREC",,,"REBOUND DEF by FERRARA, KENDREC",1
14:34,,7,,7,"GOOD 3PTR by GATES, WILLIAM",FUR 7-7 (0),,"GOOD 3PTR by GATES, WILLIAM",1
--,,,,,"ASSIST  by WIDEMAN, LARRY",,,"ASSIST  by WIDEMAN, LARRY",1
14:10,"GOOD 3PTR by WILLIAMS, JORDEN",10 (+3),,7,,SEW 10-7 (+3),,"GOOD 3PTR by WILLIAMS, JORDEN",1
--,"ASSIST  by BORN, LEO",,,,,,,"ASSIST  by BORN, LEO",1
13:48,,,,,"MISS 3PTR by WIDEMAN, LARRY",,,"MISS 3PTR by WIDEMAN, LARRY",1
--,,,,,"REBOUND OFF by RWABIGWI, ADONIS",,,"REBOUND OFF by RWABIGWI, ADONIS",1
13:44,,10 (+1),,9,"GOOD LAYUP by RWABIGWI, ADONIS(in the paint)",FUR 10-9 (+1),,"GOOD LAYUP by RWABIGWI, ADONIS(in the paint)",1
13:13,"MISS JUMPER by BORN, LEO",,,,,,,"MISS JUMPER by BORN, LEO",1
--,"REBOUND OFF by BROWN, SETH",,,,,,,"REBOUND OFF by BROWN, SETH",1
13:05,"GOOD 3PTR by WILLIAMS, JORDEN",13 (+4),,9,,SEW 13-9 (+4),,"GOOD 3PTR by WILLIAMS, JORDEN",1
--,"ASSIST  by BROWN, SETH",,,,,,,"ASSIST  by BROWN, SETH",1
12:50,,,,,"MISS 3PTR by CROONE, STEPHEN",,,"MISS 3PTR by CROONE, STEPHEN",1
--,"REBOUND DEF by TOME, MATT",,,,,,,"REBOUND DEF by TOME, MATT",1
12:40,"MISS 3PTR by BORN, LEO",,,,,,,"MISS 3PTR by BORN, LEO",1
--,,,,,"REBOUND DEF by GATES, WILLIAM",,,"REBOUND DEF by GATES, WILLIAM",1
12:22,,,,,"MISS 3PTR by CROONE, STEPHEN",,,"MISS 3PTR by CROONE, STEPHEN",1
--,"REBOUND DEF by CARTER, KESHONN",,,,,,,"REBOUND DEF by CARTER, KESHONN",1
11:49,"MISS JUMPER by CARTER, KESHONN",,,,,,,"MISS JUMPER by CARTER, KESHONN",1
--,,,,,"REBOUND DEF by RWABIGWI, ADONIS",,,"REBOUND DEF by RWABIGWI, ADONIS",1
11:29,,,,,"MISS LAYUP by FERRARA, KENDREC",,,"MISS LAYUP by FERRARA, KENDREC",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
11:29,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
11:29,"SUB IN by HEATHERLY, GARRETT",,,,,,,"SUB IN by HEATHERLY, GARRETT",1
11:29,"SUB IN by VEAL, ROBERT",,,,,,,"SUB IN by VEAL, ROBERT",1
11:29,"SUB IN by CALDWELL, MARCELLUS",,,,,,,"SUB IN by CALDWELL, MARCELLUS",1
11:29,"SUB IN by ARNOLD, ALEX",,,,,,,"SUB IN by ARNOLD, ALEX",1
11:29,"SUB OUT by BROWN, SETH",,,,,,,"SUB OUT by BROWN, SETH",1
11:29,"SUB OUT by BORN, LEO",,,,,,,"SUB OUT by BORN, LEO",1
11:29,"SUB OUT by CARTER, KESHONN",,,,,,,"SUB OUT by CARTER, KESHONN",1
11:29,"SUB OUT by WILLIAMS, JORDEN",,,,,,,"SUB OUT by WILLIAMS, JORDEN",1
11:29,,,,,"SUB IN by EARLY, DOMINIC",,,"SUB IN by EARLY, DOMINIC",1
11:29,,,,,"SUB IN by BELFIELD, KEITH",,,"SUB IN by BELFIELD, KEITH",1
11:29,,,,,"SUB IN by GATES, WILLIAM",,,"SUB IN by GATES, WILLIAM",1
11:29,,,,,"SUB IN by ACOX, KRIS",,,"SUB IN by ACOX, KRIS",1
11:29,,,,,"SUB IN by O'NEILL, AARON",,,"SUB IN by O'NEILL, AARON",1
11:29,,,,,"SUB OUT by FERRARA, KENDREC",,,"SUB OUT by FERRARA, KENDREC",1
11:29,,,,,"SUB OUT by WIDEMAN, LARRY",,,"SUB OUT by WIDEMAN, LARRY",1
11:29,,,,,"SUB OUT by RWABIGWI, ADONIS",,,"SUB OUT by RWABIGWI, ADONIS",1
11:29,,,,,"SUB OUT by GATES, WILLIAM",,,"SUB OUT by GATES, WILLIAM",1
11:29,,,,,"SUB OUT by CROONE, STEPHEN",,,"SUB OUT by CROONE, STEPHEN",1
11:06,,,,,"MISS 3PTR by O'NEILL, AARON",,,"MISS 3PTR by O'NEILL, AARON",1
--,,,,,"REBOUND OFF by ACOX, KRIS",,,"REBOUND OFF by ACOX, KRIS",1
10:48,,,,,"MISS JUMPER by GATES, WILLIAM",,,"MISS JUMPER by GATES, WILLIAM",1
--,,,,,"REBOUND OFF by ACOX, KRIS",,,"REBOUND OFF by ACOX, KRIS",1
10:45,,,,,"TURNOVER  by ACOX, KRIS",,,"TURNOVER  by ACOX, KRIS",1
10:31,,,,,"FOUL  by ACOX, KRIS",,,"FOUL  by ACOX, KRIS",1
10:30,"TURNOVER  by HEATHERLY, GARRETT",,,,,,,"TURNOVER  by HEATHERLY, GARRETT",1
10:30,"FOUL  by HEATHERLY, GARRETT",,,,,,,"FOUL  by HEATHERLY, GARRETT",1
10:02,"FOUL  by TOME, MATT",,,,,,,"FOUL  by TOME, MATT",1
10:02,,13 (+3),,10,"GOOD FT by BELFIELD, KEITH",FUR 13-10 (+3),,"GOOD FT by BELFIELD, KEITH",1
10:02,,13 (+2),,11,"GOOD FT by BELFIELD, KEITH",FUR 13-11 (+2),,"GOOD FT by BELFIELD, KEITH",1
10:02,"SUB IN by WILLIAMS, JORDEN",,,,,,,"SUB IN by WILLIAMS, JORDEN",1
10:02,"SUB OUT by TOME, MATT",,,,,,,"SUB OUT by TOME, MATT",1
10:02,,,,,"SUB IN by CROONE, STEPHEN",,,"SUB IN by CROONE, STEPHEN",1
10:02,,,,,"SUB OUT by GATES, WILLIAM",,,"SUB OUT by GATES, WILLIAM",1
09:33,"TURNOVER  by VEAL, ROBERT",,,,,,,"TURNOVER  by VEAL, ROBERT",1
09:15,,,,,"MISS 3PTR by EARLY, DOMINIC",,,"MISS 3PTR by EARLY, DOMINIC",1
--,"REBOUND DEF by HEATHERLY, GARRETT",,,,,,,"REBOUND DEF by HEATHERLY, GARRETT",1
09:00,,,,,"FOUL  by ACOX, KRIS",,,"FOUL  by ACOX, KRIS",1
09:00,"SUB IN by CARTER, KESHONN",,,,,,,"SUB IN by CARTER, KESHONN",1
09:00,"SUB OUT by HEATHERLY, GARRETT",,,,,,,"SUB OUT by HEATHERLY, GARRETT",1
09:00,,,,,"SUB IN by RWABIGWI, ADONIS",,,"SUB IN by RWABIGWI, ADONIS",1
09:00,,,,,"SUB OUT by ACOX, KRIS",,,"SUB OUT by ACOX, KRIS",1
08:50,,,,,"FOUL  by RWABIGWI, ADONIS",,,"FOUL  by RWABIGWI, ADONIS",1
08:50,"SUB IN by BORN, LEO",,,,,,,"SUB IN by BORN, LEO",1
08:50,"SUB OUT by ARNOLD, ALEX",,,,,,,"SUB OUT by ARNOLD, ALEX",1
08:46,"MISS JUMPER by WILLIAMS, JORDEN",,,,,,,"MISS JUMPER by WILLIAMS, JORDEN",1
--,,,,,"REBOUND DEF by O'NEILL, AARON",,,"REBOUND DEF by O'NEILL, AARON",1
08:39,,,,,"MISS LAYUP by CROONE, STEPHEN",,,"MISS LAYUP by CROONE, STEPHEN",1
--,,,,,"REBOUND OFF by RWABIGWI, ADONIS",,,"REBOUND OFF by RWABIGWI, ADONIS",1
08:36,,,,,"MISS TIPIN by RWABIGWI, ADONIS",,,"MISS TIPIN by RWABIGWI, ADONIS",1
--,"REBOUND DEF by CALDWELL, MARCELLUS",,,,,,,"REBOUND DEF by CALDWELL, MARCELLUS",1
08:16,"GOOD JUMPER by CARTER, KESHONN(in the paint)",15 (+4),,11,,SEW 15-11 (+4),,"GOOD JUMPER by CARTER, KESHONN(in the paint)",1
--,"ASSIST  by VEAL, ROBERT",,,,,,,"ASSIST  by VEAL, ROBERT",1
08:03,"SUB IN by BROWN, SETH",,,,,,,"SUB IN by BROWN, SETH",1
08:03,"SUB OUT by CALDWELL, MARCELLUS",,,,,,,"SUB OUT by CALDWELL, MARCELLUS",1
07:56,"FOUL  by VEAL, ROBERT",,,,,,,"FOUL  by VEAL, ROBERT",1
07:56,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
07:56,,,,,"SUB IN by WIDEMAN, LARRY",,,"SUB IN by WIDEMAN, LARRY",1
07:56,,,,,"SUB OUT by BELFIELD, KEITH",,,"SUB OUT by BELFIELD, KEITH",1
07:45,,15 (+2),,13,"GOOD LAYUP by CROONE, STEPHEN(in the paint)",FUR 15-13 (+2),,"GOOD LAYUP by CROONE, STEPHEN(in the paint)",1
07:21,"GOOD JUMPER by CARTER, KESHONN",17 (+4),,13,,SEW 17-13 (+4),,"GOOD JUMPER by CARTER, KESHONN",1
--,"ASSIST  by VEAL, ROBERT",,,,,,,"ASSIST  by VEAL, ROBERT",1
07:07,"FOUL  by CARTER, KESHONN",,,,,,,"FOUL  by CARTER, KESHONN",1
07:07,,17 (+3),,14,"GOOD FT by WIDEMAN, LARRY",FUR 17-14 (+3),,"GOOD FT by WIDEMAN, LARRY",1
07:07,,17 (+2),,15,"GOOD FT by WIDEMAN, LARRY",FUR 17-15 (+2),,"GOOD FT by WIDEMAN, LARRY",1
07:07,"SUB IN by CALDWELL, MARCELLUS",,,,,,,"SUB IN by CALDWELL, MARCELLUS",1
07:07,"SUB OUT by VEAL, ROBERT",,,,,,,"SUB OUT by VEAL, ROBERT",1
06:45,"MISS LAYUP by CARTER, KESHONN",,,,,,,"MISS LAYUP by CARTER, KESHONN",1
--,,,,,"REBOUND DEF by EARLY, DOMINIC",,,"REBOUND DEF by EARLY, DOMINIC",1
06:44,"FOUL  by BROWN, SETH",,,,,,,"FOUL  by BROWN, SETH",1
06:44,,,,,"MISS FT by EARLY, DOMINIC",,,"MISS FT by EARLY, DOMINIC",1
--,"REBOUND DEF by CARTER, KESHONN",,,,,,,"REBOUND DEF by CARTER, KESHONN",1
06:19,"MISS 3PTR by BORN, LEO",,,,,,,"MISS 3PTR by BORN, LEO",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
06:17,"SUB IN by TOME, MATT",,,,,,,"SUB IN by TOME, MATT",1
06:17,"SUB OUT by BROWN, SETH",,,,,,,"SUB OUT by BROWN, SETH",1
06:02,,,,,"MISS 3PTR by EARLY, DOMINIC",,,"MISS 3PTR by EARLY, DOMINIC",1
--,"REBOUND DEF by BORN, LEO",,,,,,,"REBOUND DEF by BORN, LEO",1
05:45,"MISS JUMPER by CARTER, KESHONN",,,,,,,"MISS JUMPER by CARTER, KESHONN",1
--,,,,,"REBOUND DEF by O'NEILL, AARON",,,"REBOUND DEF by O'NEILL, AARON",1
05:36,,,,,"TURNOVER  by CROONE, STEPHEN",,,"TURNOVER  by CROONE, STEPHEN",1
05:35,"STEAL  by CALDWELL, MARCELLUS",,,,,,,"STEAL  by CALDWELL, MARCELLUS",1
05:27,,,,,"FOUL  by RWABIGWI, ADONIS",,,"FOUL  by RWABIGWI, ADONIS",1
05:27,"MISS FT by BORN, LEO",,,,,,,"MISS FT by BORN, LEO",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
05:27,"GOOD FT by BORN, LEO",18 (+3),,15,,SEW 18-15 (+3),,"GOOD FT by BORN, LEO",1
05:27,"SUB IN by VEAL, ROBERT",,,,,,,"SUB IN by VEAL, ROBERT",1
05:27,"SUB OUT by CARTER, KESHONN",,,,,,,"SUB OUT by CARTER, KESHONN",1
05:27,,,,,"SUB IN by BELFIELD, KEITH",,,"SUB IN by BELFIELD, KEITH",1
05:27,,,,,"SUB IN by FERRARA, KENDREC",,,"SUB IN by FERRARA, KENDREC",1
05:27,,,,,"SUB IN by GATES, WILLIAM",,,"SUB IN by GATES, WILLIAM",1
05:27,,,,,"SUB OUT by EARLY, DOMINIC",,,"SUB OUT by EARLY, DOMINIC",1
05:27,,,,,"SUB OUT by RWABIGWI, ADONIS",,,"SUB OUT by RWABIGWI, ADONIS",1
05:27,,,,,"SUB OUT by O'NEILL, AARON",,,"SUB OUT by O'NEILL, AARON",1
05:06,,,,,"TURNOVER  by WIDEMAN, LARRY",,,"TURNOVER  by WIDEMAN, LARRY",1
05:05,"STEAL  by WILLIAMS, JORDEN",,,,,,,"STEAL  by WILLIAMS, JORDEN",1
05:02,,,,,"FOUL  by CROONE, STEPHEN",,,"FOUL  by CROONE, STEPHEN",1
05:02,"GOOD FT by WILLIAMS, JORDEN",19 (+4),,15,,SEW 19-15 (+4),,"GOOD FT by WILLIAMS, JORDEN",1
05:02,"MISS FT by WILLIAMS, JORDEN",,,,,,,"MISS FT by WILLIAMS, JORDEN",1
--,,,,,"REBOUND DEF by FERRARA, KENDREC",,,"REBOUND DEF by FERRARA, KENDREC",1
04:53,"FOUL  by VEAL, ROBERT",,,,,,,"FOUL  by VEAL, ROBERT",1
04:53,,,,,"MISS FT by WIDEMAN, LARRY",,,"MISS FT by WIDEMAN, LARRY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
04:53,,19 (+3),,16,"GOOD FT by WIDEMAN, LARRY",FUR 19-16 (+3),,"GOOD FT by WIDEMAN, LARRY",1
04:53,"SUB IN by CARTER, KESHONN",,,,,,,"SUB IN by CARTER, KESHONN",1
04:53,"SUB OUT by VEAL, ROBERT",,,,,,,"SUB OUT by VEAL, ROBERT",1
04:37,"TURNOVER  by CARTER, KESHONN",,,,,,,"TURNOVER  by CARTER, KESHONN",1
04:23,,,,,"MISS 3PTR by CROONE, STEPHEN",,,"MISS 3PTR by CROONE, STEPHEN",1
--,,,,,"REBOUND OFF by BELFIELD, KEITH",,,"REBOUND OFF by BELFIELD, KEITH",1
04:18,,19 (+1),,18,"GOOD LAYUP by BELFIELD, KEITH(in the paint)",FUR 19-18 (+1),,"GOOD LAYUP by BELFIELD, KEITH(in the paint)",1
04:18,"FOUL  by CARTER, KESHONN",,,,,,,"FOUL  by CARTER, KESHONN",1
04:18,,19,,19,"GOOD FT by BELFIELD, KEITH",FUR 19-19 (0),,"GOOD FT by BELFIELD, KEITH",1
04:18,"SUB IN by HEATHERLY, GARRETT",,,,,,,"SUB IN by HEATHERLY, GARRETT",1
04:18,"SUB OUT by CARTER, KESHONN",,,,,,,"SUB OUT by CARTER, KESHONN",1
04:04,"MISS 3PTR by WILLIAMS, JORDEN",,,,,,,"MISS 3PTR by WILLIAMS, JORDEN",1
--,,,,,"REBOUND DEF by BELFIELD, KEITH",,,"REBOUND DEF by BELFIELD, KEITH",1
03:55,,,,,"MISS JUMPER by CROONE, STEPHEN",,,"MISS JUMPER by CROONE, STEPHEN",1
03:55,"BLOCK  by HEATHERLY, GARRETT",,,,,,,"BLOCK  by HEATHERLY, GARRETT",1
--,"REBOUND DEF by HEATHERLY, GARRETT",,,,,,,"REBOUND DEF by HEATHERLY, GARRETT",1
03:34,"MISS JUMPER by BORN, LEO",,,,,,,"MISS JUMPER by BORN, LEO",1
--,,,,,"REBOUND DEF by CROONE, STEPHEN",,,"REBOUND DEF by CROONE, STEPHEN",1
03:21,,19,,21 (+2),"GOOD LAYUP by FERRARA, KENDREC(in the paint)",FUR 19-21 (-2),,"GOOD LAYUP by FERRARA, KENDREC(in the paint)",1
--,,,,,"ASSIST  by CROONE, STEPHEN",,,"ASSIST  by CROONE, STEPHEN",1
02:59,"TURNOVER  by HEATHERLY, GARRETT",,,,,,,"TURNOVER  by HEATHERLY, GARRETT",1
02:59,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
02:35,,,,,"MISS 3PTR by BELFIELD, KEITH",,,"MISS 3PTR by BELFIELD, KEITH",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
02:07,"MISS JUMPER by WILLIAMS, JORDEN",,,,,,,"MISS JUMPER by WILLIAMS, JORDEN",1
--,"REBOUND OFF by CALDWELL, MARCELLUS",,,,,,,"REBOUND OFF by CALDWELL, MARCELLUS",1
02:02,"MISS 3PTR by BORN, LEO",,,,,,,"MISS 3PTR by BORN, LEO",1
--,,,,,"REBOUND DEF by WIDEMAN, LARRY",,,"REBOUND DEF by WIDEMAN, LARRY",1
01:49,"FOUL  by HEATHERLY, GARRETT",,,,,,,"FOUL  by HEATHERLY, GARRETT",1
01:49,,19,,22 (+3),"GOOD FT by CROONE, STEPHEN",FUR 19-22 (-3),,"GOOD FT by CROONE, STEPHEN",1
01:49,,19,,23 (+4),"GOOD FT by CROONE, STEPHEN",FUR 19-23 (-4),,"GOOD FT by CROONE, STEPHEN",1
01:49,,,,,"SUB IN by EARLY, DOMINIC",,,"SUB IN by EARLY, DOMINIC",1
01:49,,,,,"SUB OUT by BELFIELD, KEITH",,,"SUB OUT by BELFIELD, KEITH",1
01:18,"TURNOVER  by WILLIAMS, JORDEN",,,,,,,"TURNOVER  by WILLIAMS, JORDEN",1
01:17,,,,,"STEAL  by GATES, WILLIAM",,,"STEAL  by GATES, WILLIAM",1
01:09,,,,,"MISS JUMPER by GATES, WILLIAM",,,"MISS JUMPER by GATES, WILLIAM",1
--,"REBOUND DEF by WILLIAMS, JORDEN",,,,,,,"REBOUND DEF by WILLIAMS, JORDEN",1
00:57,"MISS 3PTR by WILLIAMS, JORDEN",,,,,,,"MISS 3PTR by WILLIAMS, JORDEN",1
--,,,,,"REBOUND DEF by GATES, WILLIAM",,,"REBOUND DEF by GATES, WILLIAM",1
00:42,,19,,25 (+6),"GOOD JUMPER by WIDEMAN, LARRY",FUR 19-25 (-6),,"GOOD JUMPER by WIDEMAN, LARRY",1
--,,,,,"ASSIST  by GATES, WILLIAM",,,"ASSIST  by GATES, WILLIAM",1
00:33,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:33,"SUB IN by BROWN, SETH",,,,,,,"SUB IN by BROWN, SETH",1
00:33,"SUB IN by CARTER, KESHONN",,,,,,,"SUB IN by CARTER, KESHONN",1
00:33,"SUB IN by ARNOLD, ALEX",,,,,,,"SUB IN by ARNOLD, ALEX",1
00:33,"SUB OUT by HEATHERLY, GARRETT",,,,,,,"SUB OUT by HEATHERLY, GARRETT",1
00:33,"SUB OUT by TOME, MATT",,,,,,,"SUB OUT by TOME, MATT",1
00:33,"SUB OUT by WILLIAMS, JORDEN",,,,,,,"SUB OUT by WILLIAMS, JORDEN",1
00:08,"MISS JUMPER by CARTER, KESHONN",,,,,,,"MISS JUMPER by CARTER, KESHONN",1
--,"REBOUND OFF by CARTER, KESHONN",,,,,,,"REBOUND OFF by CARTER, KESHONN",1
00:01,"GOOD LAYUP by CALDWELL, MARCELLUS(in the paint)",21,,25 (+4),,SEW 21-25 (-4),,"GOOD LAYUP by CALDWELL, MARCELLUS(in the paint)",1
--,"ASSIST  by CARTER, KESHONN",,,,,,,"ASSIST  by CARTER, KESHONN",1
20:00,,,,,"SUB IN by BELFIELD, KEITH",,,"SUB IN by BELFIELD, KEITH",2
20:00,,,,,"SUB OUT by CHUISSEU, KEVIN",,,"SUB OUT by CHUISSEU, KEVIN",2
19:47,"GOOD JUMPER by CARTER, KESHONN",23,,25 (+2),,SEW 23-25 (-2),,"GOOD JUMPER by CARTER, KESHONN",2
--,"ASSIST  by WILLIAMS, JORDEN",,,,,,,"ASSIST  by WILLIAMS, JORDEN",2
19:29,,,,,"MISS 3PTR by O'NEILL, AARON",,,"MISS 3PTR by O'NEILL, AARON",2
--,,,,,"REBOUND OFF by BELFIELD, KEITH",,,"REBOUND OFF by BELFIELD, KEITH",2
19:23,"FOUL  by CARTER, KESHONN",,,,,,,"FOUL  by CARTER, KESHONN",2
19:23,,23,,26 (+3),"GOOD FT by BELFIELD, KEITH",FUR 23-26 (-3),,"GOOD FT by BELFIELD, KEITH",2
19:23,,23,,27 (+4),"GOOD FT by BELFIELD, KEITH",FUR 23-27 (-4),,"GOOD FT by BELFIELD, KEITH",2
19:15,"MISS 3PTR by BROWN, SETH",,,,,,,"MISS 3PTR by BROWN, SETH",2
--,,,,,"REBOUND DEF by O'NEILL, AARON",,,"REBOUND DEF by O'NEILL, AARON",2
19:00,,,,,"MISS LAYUP by RWABIGWI, ADONIS",,,"MISS LAYUP by RWABIGWI, ADONIS",2
--,"REBOUND DEF by CARTER, KESHONN",,,,,,,"REBOUND DEF by CARTER, KESHONN",2
18:46,"GOOD JUMPER by CARTER, KESHONN(in the paint)",25,,27 (+2),,SEW 25-27 (-2),,"GOOD JUMPER by CARTER, KESHONN(in the paint)",2
--,"ASSIST  by BORN, LEO",,,,,,,"ASSIST  by BORN, LEO",2
18:27,,25,,29 (+4),"GOOD LAYUP by RWABIGWI, ADONIS(in the paint)",FUR 25-29 (-4),,"GOOD LAYUP by RWABIGWI, ADONIS(in the paint)",2
--,,,,,"ASSIST  by WIDEMAN, LARRY",,,"ASSIST  by WIDEMAN, LARRY",2
18:10,"GOOD LAYUP by CARTER, KESHONN(in the paint)",27,,29 (+2),,SEW 27-29 (-2),,"GOOD LAYUP by CARTER, KESHONN(in the paint)",2
--,"ASSIST  by BROWN, SETH",,,,,,,"ASSIST  by BROWN, SETH",2
17:56,,,,,"MISS JUMPER by WIDEMAN, LARRY",,,"MISS JUMPER by WIDEMAN, LARRY",2
--,,,,,"REBOUND OFF by WIDEMAN, LARRY",,,"REBOUND OFF by WIDEMAN, LARRY",2
17:53,,27,,31 (+4),"GOOD TIPIN by WIDEMAN, LARRY(in the paint)",FUR 27-31 (-4),,"GOOD TIPIN by WIDEMAN, LARRY(in the paint)",2
17:32,"MISS JUMPER by CARTER, KESHONN",,,,,,,"MISS JUMPER by CARTER, KESHONN",2
--,,,,,"REBOUND DEF by RWABIGWI, ADONIS",,,"REBOUND DEF by RWABIGWI, ADONIS",2
17:15,,,,,"TURNOVER  by RWABIGWI, ADONIS",,,"TURNOVER  by RWABIGWI, ADONIS",2
17:14,"STEAL  by CARTER, KESHONN",,,,,,,"STEAL  by CARTER, KESHONN",2
17:07,"MISS LAYUP by BORN, LEO",,,,,,,"MISS LAYUP by BORN, LEO",2
--,"REBOUND OFF by BORN, LEO",,,,,,,"REBOUND OFF by BORN, LEO",2
17:05,,,,,"FOUL  by BELFIELD, KEITH",,,"FOUL  by BELFIELD, KEITH",2
17:05,"SUB IN by HEATHERLY, GARRETT",,,,,,,"SUB IN by HEATHERLY, GARRETT",2
17:05,"SUB IN by TOME, MATT",,,,,,,"SUB IN by TOME, MATT",2
