Time Remaining,SUM,Away Team Score,Play Team Indicator,Home Team Score,TFCM,Game Score,Team Indicator,Play,Period
16:59,,,,,"MISS 3PTR by BARRETT,JOSH",,,"MISS 3PTR by BARRETT,JOSH",2
--,"REBOUND DEF by CALDWELL,MARCELLUS",,,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",2
16:49,,,,,"FOUL  by WESTFALL,DEREK",,,"FOUL  by WESTFALL,DEREK",2
16:49,"SUB IN by BORN,CLAY",,,,,,,"SUB IN by BORN,CLAY",2
16:49,"SUB OUT by CALDWELL,MARCELLUS",,,,,,,"SUB OUT by CALDWELL,MARCELLUS",2
16:40,,,,,"FOUL  by WESTFALL,DEREK",,,"FOUL  by WESTFALL,DEREK",2
16:40,"MISS FT by CARTER,KESHONN",,,,,,,"MISS FT by CARTER,KESHONN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
16:40,"MISS FT by CARTER,KESHONN",,,,,,,"MISS FT by CARTER,KESHONN",2
--,,,,,"REBOUND DEF by WILLIAMS,CAM",,,"REBOUND DEF by WILLIAMS,CAM",2
16:40,,,,,"SUB IN by BARRETT,ZACH",,,"SUB IN by BARRETT,ZACH",2
16:40,,,,,"SUB OUT by WESTFALL,DEREK",,,"SUB OUT by WESTFALL,DEREK",2
16:35,,,,,"MISS 3PTR by SAULS,JON",,,"MISS 3PTR by SAULS,JON",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
16:30,,31,,37 (+6),"GOOD LAYUP by WILLIAMS,CAM(in the paint)",TFCM 31-37 (-6),,"GOOD LAYUP by WILLIAMS,CAM(in the paint)",2
--,,,,,"ASSIST  by BARRETT,JOSH",,,"ASSIST  by BARRETT,JOSH",2
16:29,"FOUL  by TOME,MATT",,,,,,,"FOUL  by TOME,MATT",2
16:29,,31,,38 (+7),"GOOD FT by WILLIAMS,CAM",TFCM 31-38 (-7),,"GOOD FT by WILLIAMS,CAM",2
16:29,"SUB IN by VEAL,ROBERT",,,,,,,"SUB IN by VEAL,ROBERT",2
16:29,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",2
16:18,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",2
--,"REBOUND OFF by CARTER,KESHONN",,,,,,,"REBOUND OFF by CARTER,KESHONN",2
16:14,"GOOD TIPIN by CARTER,KESHONN(in the paint)",33,,38 (+5),,SUM 33-38 (-5),,"GOOD TIPIN by CARTER,KESHONN(in the paint)",2
15:45,,,,,"MISS JUMPER by BARRETT,JOSH",,,"MISS JUMPER by BARRETT,JOSH",2
--,,,,,"REBOUND OFF by WILLIAMS,CAM",,,"REBOUND OFF by WILLIAMS,CAM",2
15:38,,,,,"MISS LAYUP by WILLIAMS,CAM",,,"MISS LAYUP by WILLIAMS,CAM",2
--,,,,,"REBOUND OFF by WILLIAMS,CAM",,,"REBOUND OFF by WILLIAMS,CAM",2
15:34,,,,,"MISS LAYUP by SMITH,DONOVAN",,,"MISS LAYUP by SMITH,DONOVAN",2
15:34,"BLOCK  by CARTER,KESHONN",,,,,,,"BLOCK  by CARTER,KESHONN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
15:33,"TURNOVER  by CARTER,KESHONN",,,,,,,"TURNOVER  by CARTER,KESHONN",2
15:32,,,,,"STEAL  by WILLIAMS,CAM",,,"STEAL  by WILLIAMS,CAM",2
15:31,,33,,40 (+7),"GOOD LAYUP by WILLIAMS,CAM(fastbreak)(in the paint)",TFCM 33-40 (-7),,"GOOD LAYUP by WILLIAMS,CAM(fastbreak)(in the paint)",2
15:18,"GOOD LAYUP by CARTER,KESHONN(in the paint)",35,,40 (+5),,SUM 35-40 (-5),,"GOOD LAYUP by CARTER,KESHONN(in the paint)",2
15:15,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
15:15,"SUB IN by BORN,LEO",,,,,,,"SUB IN by BORN,LEO",2
15:15,"SUB OUT by TOME,MATT",,,,,,,"SUB OUT by TOME,MATT",2
15:15,,,,,"SUB IN by CLARK,DEVIAN",,,"SUB IN by CLARK,DEVIAN",2
15:15,,,,,"SUB OUT by SMITH,DONOVAN",,,"SUB OUT by SMITH,DONOVAN",2
15:00,,35,,42 (+7),"GOOD JUMPER by BARRETT,ZACH",TFCM 35-42 (-7),,"GOOD JUMPER by BARRETT,ZACH",2
14:49,"GOOD LAYUP by CARTER,KESHONN(fastbreak)(in the paint)",37,,42 (+5),,SUM 37-42 (-5),,"GOOD LAYUP by CARTER,KESHONN(fastbreak)(in the paint)",2
14:22,,37,,45 (+8),"GOOD 3PTR by SAULS,JON",TFCM 37-45 (-8),,"GOOD 3PTR by SAULS,JON",2
--,,,,,"ASSIST  by BARRETT,ZACH",,,"ASSIST  by BARRETT,ZACH",2
13:53,"MISS JUMPER by VEAL,ROBERT",,,,,,,"MISS JUMPER by VEAL,ROBERT",2
--,,,,,"REBOUND DEF by BARRETT,JOSH",,,"REBOUND DEF by BARRETT,JOSH",2
13:32,,37,,48 (+11),"GOOD 3PTR by BARRETT,JOSH",TFCM 37-48 (-11),,"GOOD 3PTR by BARRETT,JOSH",2
--,,,,,"ASSIST  by CLARK,DEVIAN",,,"ASSIST  by CLARK,DEVIAN",2
13:21,"TURNOVER  by BORN,LEO",,,,,,,"TURNOVER  by BORN,LEO",2
13:21,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",2
13:21,"SUB IN by CALDWELL,MARCELLUS",,,,,,,"SUB IN by CALDWELL,MARCELLUS",2
13:21,"SUB OUT by VEAL,ROBERT",,,,,,,"SUB OUT by VEAL,ROBERT",2
13:21,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",2
13:02,,,,,"MISS 3PTR by SAULS,JON",,,"MISS 3PTR by SAULS,JON",2
--,"REBOUND DEF by CALDWELL,MARCELLUS",,,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",2
12:44,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",2
--,,,,,"REBOUND DEF by WILLIAMS,CAM",,,"REBOUND DEF by WILLIAMS,CAM",2
12:39,"FOUL  by CALDWELL,MARCELLUS",,,,,,,"FOUL  by CALDWELL,MARCELLUS",2
12:39,"SUB IN by STONE,BRODY",,,,,,,"SUB IN by STONE,BRODY",2
12:39,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",2
12:31,"FOUL  by WILLIAMS,JORDEN",,,,,,,"FOUL  by WILLIAMS,JORDEN",2
12:22,,,,,"MISS LAYUP by BARRETT,JOSH",,,"MISS LAYUP by BARRETT,JOSH",2
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",2
12:08,"MISS LAYUP by STONE,BRODY",,,,,,,"MISS LAYUP by STONE,BRODY",2
--,,,,,"REBOUND DEF by WILLIAMS,CAM",,,"REBOUND DEF by WILLIAMS,CAM",2
11:50,,,,,"MISS 3PTR by BARRETT,JOSH",,,"MISS 3PTR by BARRETT,JOSH",2
--,"REBOUND DEF by BORN,LEO",,,,,,,"REBOUND DEF by BORN,LEO",2
11:33,"GOOD 3PTR by BORN,LEO",40,,48 (+8),,SUM 40-48 (-8),,"GOOD 3PTR by BORN,LEO",2
11:18,,,,,"MISS JUMPER by WILLIAMS,CAM",,,"MISS JUMPER by WILLIAMS,CAM",2
--,"REBOUND DEF by CALDWELL,MARCELLUS",,,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",2
11:09,"MISS JUMPER by WILLIAMS,JORDEN",,,,,,,"MISS JUMPER by WILLIAMS,JORDEN",2
--,"REBOUND OFF by STONE,BRODY",,,,,,,"REBOUND OFF by STONE,BRODY",2
11:05,,,,,"FOUL  by CLARK,DEVIAN",,,"FOUL  by CLARK,DEVIAN",2
11:05,"SUB IN by TURNER,BYRON",,,,,,,"SUB IN by TURNER,BYRON",2
11:05,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",2
11:02,"GOOD JUMPER by BORN,LEO",42,,48 (+6),,SUM 42-48 (-6),,"GOOD JUMPER by BORN,LEO",2
10:26,,,,,"MISS JUMPER by CLARK,DEVIAN",,,"MISS JUMPER by CLARK,DEVIAN",2
--,"REBOUND DEF by WILLIAMS,JORDEN",,,,,,,"REBOUND DEF by WILLIAMS,JORDEN",2
10:21,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
10:21,"SUB IN by BORN,CLAY",,,,,,,"SUB IN by BORN,CLAY",2
10:21,"SUB OUT by CALDWELL,MARCELLUS",,,,,,,"SUB OUT by CALDWELL,MARCELLUS",2
10:04,"MISS JUMPER by WILLIAMS,JORDEN",,,,,,,"MISS JUMPER by WILLIAMS,JORDEN",2
--,,,,,"REBOUND DEF by CLARK,DEVIAN",,,"REBOUND DEF by CLARK,DEVIAN",2
09:47,,42,,50 (+8),"GOOD LAYUP by BARRETT,ZACH(in the paint)",TFCM 42-50 (-8),,"GOOD LAYUP by BARRETT,ZACH(in the paint)",2
--,,,,,"ASSIST  by WILLIAMS,CAM",,,"ASSIST  by WILLIAMS,CAM",2
09:36,"TURNOVER  by TURNER,BYRON",,,,,,,"TURNOVER  by TURNER,BYRON",2
09:35,,,,,"STEAL  by WILLIAMS,CAM",,,"STEAL  by WILLIAMS,CAM",2
09:34,,42,,52 (+10),"GOOD LAYUP by WILLIAMS,CAM(fastbreak)(in the paint)",TFCM 42-52 (-10),,"GOOD LAYUP by WILLIAMS,CAM(fastbreak)(in the paint)",2
09:22,"TURNOVER  by BORN,CLAY",,,,,,,"TURNOVER  by BORN,CLAY",2
09:22,"SUB IN by TOME,MATT",,,,,,,"SUB IN by TOME,MATT",2
09:22,"SUB IN by CALDWELL,MARCELLUS",,,,,,,"SUB IN by CALDWELL,MARCELLUS",2
09:22,"SUB OUT by TURNER,BYRON",,,,,,,"SUB OUT by TURNER,BYRON",2
09:22,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",2
09:09,,,,,"MISS JUMPER by BARRETT,ZACH",,,"MISS JUMPER by BARRETT,ZACH",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
09:02,,,,,"MISS 3PTR by SAULS,JON",,,"MISS 3PTR by SAULS,JON",2
--,"REBOUND DEF by CALDWELL,MARCELLUS",,,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",2
08:36,"GOOD JUMPER by CALDWELL,MARCELLUS",44,,52 (+8),,SUM 44-52 (-8),,"GOOD JUMPER by CALDWELL,MARCELLUS",2
--,"ASSIST  by TOME,MATT",,,,,,,"ASSIST  by TOME,MATT",2
08:13,"FOUL  by CARTER,KESHONN",,,,,,,"FOUL  by CARTER,KESHONN",2
08:13,,44,,53 (+9),"GOOD FT by BARRETT,JOSH",TFCM 44-53 (-9),,"GOOD FT by BARRETT,JOSH",2
08:13,,44,,54 (+10),"GOOD FT by BARRETT,JOSH",TFCM 44-54 (-10),,"GOOD FT by BARRETT,JOSH",2
08:13,,,,,"SUB IN by FOLWELL,JOSH",,,"SUB IN by FOLWELL,JOSH",2
08:13,,,,,"SUB IN by PALMER,NATHAN",,,"SUB IN by PALMER,NATHAN",2
08:13,,,,,"SUB OUT by CLARK,DEVIAN",,,"SUB OUT by CLARK,DEVIAN",2
08:13,,,,,"SUB OUT by SAULS,JON",,,"SUB OUT by SAULS,JON",2
07:53,"GOOD JUMPER by CALDWELL,MARCELLUS",46,,54 (+8),,SUM 46-54 (-8),,"GOOD JUMPER by CALDWELL,MARCELLUS",2
07:30,"FOUL  by CARTER,KESHONN",,,,,,,"FOUL  by CARTER,KESHONN",2
07:30,,46,,55 (+9),"GOOD FT by WILLIAMS,CAM",TFCM 46-55 (-9),,"GOOD FT by WILLIAMS,CAM",2
07:30,,46,,56 (+10),"GOOD FT by WILLIAMS,CAM",TFCM 46-56 (-10),,"GOOD FT by WILLIAMS,CAM",2
07:30,"SUB IN by CARTER,KESHONN",,,,,,,"SUB IN by CARTER,KESHONN",2
07:30,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",2
07:20,"GOOD 3PTR by WILLIAMS,JORDEN",49,,56 (+7),,SUM 49-56 (-7),,"GOOD 3PTR by WILLIAMS,JORDEN",2
06:59,,49,,59 (+10),"GOOD 3PTR by WILLIAMS,CAM",TFCM 49-59 (-10),,"GOOD 3PTR by WILLIAMS,CAM",2
--,,,,,"ASSIST  by FOLWELL,JOSH",,,"ASSIST  by FOLWELL,JOSH",2
06:46,,,,,"FOUL  by BARRETT,ZACH",,,"FOUL  by BARRETT,ZACH",2
06:46,"GOOD FT by WILLIAMS,JORDEN",50,,59 (+9),,SUM 50-59 (-9),,"GOOD FT by WILLIAMS,JORDEN",2
06:46,"GOOD FT by WILLIAMS,JORDEN",51,,59 (+8),,SUM 51-59 (-8),,"GOOD FT by WILLIAMS,JORDEN",2
06:46,,,,,"SUB IN by MARTIN,CLAYTON",,,"SUB IN by MARTIN,CLAYTON",2
06:46,,,,,"SUB OUT by BARRETT,ZACH",,,"SUB OUT by BARRETT,ZACH",2
06:26,,,,,"MISS JUMPER by WILLIAMS,CAM",,,"MISS JUMPER by WILLIAMS,CAM",2
--,"REBOUND DEF by TOME,MATT",,,,,,,"REBOUND DEF by TOME,MATT",2
06:12,"GOOD 3PTR by TOME,MATT",54,,59 (+5),,SUM 54-59 (-5),,"GOOD 3PTR by TOME,MATT",2
--,"ASSIST  by WILLIAMS,JORDEN",,,,,,,"ASSIST  by WILLIAMS,JORDEN",2
05:52,,,,,"SUB IN by SMITH,DONOVAN",,,"SUB IN by SMITH,DONOVAN",2
05:52,,,,,"SUB OUT by BARRETT,JOSH",,,"SUB OUT by BARRETT,JOSH",2
05:34,,,,,"MISS JUMPER by SMITH,DONOVAN",,,"MISS JUMPER by SMITH,DONOVAN",2
--,,,,,"REBOUND OFF by MARTIN,CLAYTON",,,"REBOUND OFF by MARTIN,CLAYTON",2
05:26,,54,,61 (+7),"GOOD DUNK by MARTIN,CLAYTON(in the paint)",TFCM 54-61 (-7),,"GOOD DUNK by MARTIN,CLAYTON(in the paint)",2
--,,,,,"ASSIST  by FOLWELL,JOSH",,,"ASSIST  by FOLWELL,JOSH",2
05:16,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
05:16,,,,,"MISS JUMPER by FOLWELL,JOSH",,,"MISS JUMPER by FOLWELL,JOSH",2
--,,,,,"REBOUND OFF by MARTIN,CLAYTON",,,"REBOUND OFF by MARTIN,CLAYTON",2
05:16,"FOUL  by BORN,LEO",,,,,,,"FOUL  by BORN,LEO",2
05:16,,54,,62 (+8),"GOOD FT by WILLIAMS,CAM",TFCM 54-62 (-8),,"GOOD FT by WILLIAMS,CAM",2
05:16,,54,,63 (+9),"GOOD FT by WILLIAMS,CAM",TFCM 54-63 (-9),,"GOOD FT by WILLIAMS,CAM",2
05:16,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",2
05:16,"SUB OUT by BORN,LEO",,,,,,,"SUB OUT by BORN,LEO",2
04:57,"GOOD 3PTR by BROWN,SETH",57,,63 (+6),,SUM 57-63 (-6),,"GOOD 3PTR by BROWN,SETH",2
--,"ASSIST  by TOME,MATT",,,,,,,"ASSIST  by TOME,MATT",2
04:24,,57,,65 (+8),"GOOD LAYUP by WILLIAMS,CAM(in the paint)",TFCM 57-65 (-8),,"GOOD LAYUP by WILLIAMS,CAM(in the paint)",2
04:05,"GOOD 3PTR by WILLIAMS,JORDEN",60,,65 (+5),,SUM 60-65 (-5),,"GOOD 3PTR by WILLIAMS,JORDEN",2
03:28,"FOUL  by CARTER,KESHONN",,,,,,,"FOUL  by CARTER,KESHONN",2
03:28,,,,,"MISS FT by FOLWELL,JOSH",,,"MISS FT by FOLWELL,JOSH",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
03:28,,60,,66 (+6),"GOOD FT by FOLWELL,JOSH",TFCM 60-66 (-6),,"GOOD FT by FOLWELL,JOSH",2
03:28,,,,,"SUB IN by WESTFALL,DEREK",,,"SUB IN by WESTFALL,DEREK",2
03:28,,,,,"SUB IN by BARRETT,JOSH",,,"SUB IN by BARRETT,JOSH",2
03:28,,,,,"SUB OUT by PALMER,NATHAN",,,"SUB OUT by PALMER,NATHAN",2
03:28,,,,,"SUB OUT by WILLIAMS,CAM",,,"SUB OUT by WILLIAMS,CAM",2
03:18,"GOOD 3PTR by WILLIAMS,JORDEN",63,,66 (+3),,SUM 63-66 (-3),,"GOOD 3PTR by WILLIAMS,JORDEN",2
--,"ASSIST  by CALDWELL,MARCELLUS",,,,,,,"ASSIST  by CALDWELL,MARCELLUS",2
02:39,,63,,68 (+5),"GOOD JUMPER by BARRETT,JOSH",TFCM 63-68 (-5),,"GOOD JUMPER by BARRETT,JOSH",2
02:27,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",2
--,,,,,"REBOUND DEF by FOLWELL,JOSH",,,"REBOUND DEF by FOLWELL,JOSH",2
02:06,,,,,"TURNOVER  by WESTFALL,DEREK",,,"TURNOVER  by WESTFALL,DEREK",2
02:04,"STEAL  by BROWN,SETH",,,,,,,"STEAL  by BROWN,SETH",2
02:04,"TURNOVER  by BROWN,SETH",,,,,,,"TURNOVER  by BROWN,SETH",2
02:04,,,,,"STEAL  by WESTFALL,DEREK",,,"STEAL  by WESTFALL,DEREK",2
02:04,"FOUL  by WILLIAMS,JORDEN",,,,,,,"FOUL  by WILLIAMS,JORDEN",2
02:04,,63,,69 (+6),"GOOD FT by WESTFALL,DEREK",TFCM 63-69 (-6),,"GOOD FT by WESTFALL,DEREK",2
02:04,,63,,70 (+7),"GOOD FT by WESTFALL,DEREK",TFCM 63-70 (-7),,"GOOD FT by WESTFALL,DEREK",2
02:04,"SUB IN by BORN,LEO",,,,,,,"SUB IN by BORN,LEO",2
02:04,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",2
02:04,,,,,"SUB IN by BARRETT,ZACH",,,"SUB IN by BARRETT,ZACH",2
02:04,,,,,"SUB IN by WILLIAMS,CAM",,,"SUB IN by WILLIAMS,CAM",2
02:04,,,,,"SUB OUT by MARTIN,CLAYTON",,,"SUB OUT by MARTIN,CLAYTON",2
02:04,,,,,"SUB OUT by FOLWELL,JOSH",,,"SUB OUT by FOLWELL,JOSH",2
01:46,"GOOD JUMPER by CARTER,KESHONN(in the paint)",65,,70 (+5),,SUM 65-70 (-5),,"GOOD JUMPER by CARTER,KESHONN(in the paint)",2
01:32,,,,,"MISS LAYUP by WILLIAMS,CAM",,,"MISS LAYUP by WILLIAMS,CAM",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
01:30,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",2
01:30,"SUB OUT by BORN,LEO",,,,,,,"SUB OUT by BORN,LEO",2
01:10,,,,,"TURNOVER  by BARRETT,ZACH",,,"TURNOVER  by BARRETT,ZACH",2
01:10,"SUB IN by BORN,LEO",,,,,,,"SUB IN by BORN,LEO",2
01:10,"SUB OUT by CALDWELL,MARCELLUS",,,,,,,"SUB OUT by CALDWELL,MARCELLUS",2
00:55,"GOOD LAYUP by CARTER,KESHONN(in the paint)",67,,70 (+3),,SUM 67-70 (-3),,"GOOD LAYUP by CARTER,KESHONN(in the paint)",2
00:55,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:55,"SUB IN by CALDWELL,MARCELLUS",,,,,,,"SUB IN by CALDWELL,MARCELLUS",2
00:55,"SUB IN by STONE,BRODY",,,,,,,"SUB IN by STONE,BRODY",2
00:55,"SUB OUT by TOME,MATT",,,,,,,"SUB OUT by TOME,MATT",2
00:55,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",2
00:21,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:21,,,,,"TURNOVER  by BARRETT,JOSH",,,"TURNOVER  by BARRETT,JOSH",2
00:21,"STEAL  by CALDWELL,MARCELLUS",,,,,,,"STEAL  by CALDWELL,MARCELLUS",2
00:19,"SUB IN by TOME,MATT",,,,,,,"SUB IN by TOME,MATT",2
00:19,"SUB IN by CARTER,KESHONN",,,,,,,"SUB IN by CARTER,KESHONN",2
00:19,"SUB OUT by CALDWELL,MARCELLUS",,,,,,,"SUB OUT by CALDWELL,MARCELLUS",2
00:19,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",2
00:09,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:02,"MISS 3PTR by TOME,MATT",,,,,,,"MISS 3PTR by TOME,MATT",2
--,"REBOUND OFF by BORN,LEO",,,,,,,"REBOUND OFF by BORN,LEO",2
