Time Remaining,CENTRE-M,Away Team Score,Play Team Indicator,Home Team Score,OTT,Game Score,Team Indicator,Play,Period
06:27,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
06:27,,,,,"SUB IN by HUGHES,MATT",,,"SUB IN by HUGHES,MATT",1
06:27,,,,,"SUB OUT by BEAVERS,MAURICE",,,"SUB OUT by BEAVERS,MAURICE",1
06:09,"FOUL  by SPITZER,JAKOB",,,,,,,"FOUL  by SPITZER,JAKOB",1
06:09,,31 (+6),,25,"GOOD FT by CARTER,JUSTIN",OTT 31-25 (+6),,"GOOD FT by CARTER,JUSTIN",1
06:09,,31 (+5),,26,"GOOD FT by CARTER,JUSTIN",OTT 31-26 (+5),,"GOOD FT by CARTER,JUSTIN",1
05:57,"FOUL  by PURVIS,KC",,,,,,,"FOUL  by PURVIS,KC",1
05:57,"SUB IN by PURVIS,KC",,,,,,,"SUB IN by PURVIS,KC",1
05:57,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",1
05:48,,,,,"MISS 3PTR by NOSSAMAN,NICK",,,"MISS 3PTR by NOSSAMAN,NICK",1
--,"REBOUND DEF by GRIFFIN,JAROD",,,,,,,"REBOUND DEF by GRIFFIN,JAROD",1
05:36,"GOOD 3PTR by CRUMP,DAWSON",34 (+8),,26,,CENTRE-M 34-26 (+8),,"GOOD 3PTR by CRUMP,DAWSON",1
--,"ASSIST  by PURVIS,KC",,,,,,,"ASSIST  by PURVIS,KC",1
05:12,,,,,"MISS JUMPER by DENNISON,HUNTER",,,"MISS JUMPER by DENNISON,HUNTER",1
--,"REBOUND DEF by CRUMP,DAWSON",,,,,,,"REBOUND DEF by CRUMP,DAWSON",1
05:00,"GOOD JUMPER by GRIFFIN,JAROD",36 (+10),,26,,CENTRE-M 36-26 (+10),,"GOOD JUMPER by GRIFFIN,JAROD",1
04:59,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
04:57,,,,,"SUB IN by ANDERS,EDDIE",,,"SUB IN by ANDERS,EDDIE",1
04:57,,,,,"SUB IN by BRADLEY,ANDRE",,,"SUB IN by BRADLEY,ANDRE",1
04:57,,,,,"SUB OUT by KOONTZ,NICK",,,"SUB OUT by KOONTZ,NICK",1
04:57,,,,,"SUB OUT by NOSSAMAN,NICK",,,"SUB OUT by NOSSAMAN,NICK",1
04:45,,36 (+8),,28,"GOOD LAYUP by CARTER,JUSTIN(in the paint)",OTT 36-28 (+8),,"GOOD LAYUP by CARTER,JUSTIN(in the paint)",1
04:42,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",1
04:42,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
04:42,"SUB OUT by PURVIS,KC",,,,,,,"SUB OUT by PURVIS,KC",1
04:42,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
04:23,"MISS JUMPER by GRIFFIN,JAROD",,,,,,,"MISS JUMPER by GRIFFIN,JAROD",1
--,,,,,"REBOUND DEF by BRADLEY,ANDRE",,,"REBOUND DEF by BRADLEY,ANDRE",1
04:22,"FOUL  by SCHMUCKER,ZACH",,,,,,,"FOUL  by SCHMUCKER,ZACH",1
04:22,,36 (+7),,29,"GOOD FT by ANDERS,EDDIE",OTT 36-29 (+7),,"GOOD FT by ANDERS,EDDIE",1
04:22,,36 (+6),,30,"GOOD FT by ANDERS,EDDIE",OTT 36-30 (+6),,"GOOD FT by ANDERS,EDDIE",1
04:06,"TURNOVER  by CRUMP,DAWSON",,,,,,,"TURNOVER  by CRUMP,DAWSON",1
04:06,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
04:06,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
03:46,,36 (+4),,32,"GOOD JUMPER by ANDERS,EDDIE(in the paint)",OTT 36-32 (+4),,"GOOD JUMPER by ANDERS,EDDIE(in the paint)",1
03:23,"MISS JUMPER by BATES,JACOB",,,,,,,"MISS JUMPER by BATES,JACOB",1
--,,,,,"REBOUND DEF by HUGHES,MATT",,,"REBOUND DEF by HUGHES,MATT",1
03:09,,,,,"MISS LAYUP by HUGHES,MATT",,,"MISS LAYUP by HUGHES,MATT",1
--,"REBOUND DEF by CRUMP,DAWSON",,,,,,,"REBOUND DEF by CRUMP,DAWSON",1
03:01,"GOOD LAYUP by BATES,JACOB(in the paint)",38 (+6),,32,,CENTRE-M 38-32 (+6),,"GOOD LAYUP by BATES,JACOB(in the paint)",1
--,"ASSIST  by GRIFFIN,JAROD",,,,,,,"ASSIST  by GRIFFIN,JAROD",1
02:48,,,,,"MISS JUMPER by ANDERS,EDDIE",,,"MISS JUMPER by ANDERS,EDDIE",1
--,"REBOUND DEF by CRUMP,DAWSON",,,,,,,"REBOUND DEF by CRUMP,DAWSON",1
02:42,"TURNOVER  by CRUMP,DAWSON",,,,,,,"TURNOVER  by CRUMP,DAWSON",1
02:40,,,,,"STEAL  by CARTER,JUSTIN",,,"STEAL  by CARTER,JUSTIN",1
02:22,,,,,"MISS 3PTR by CARTER,JUSTIN",,,"MISS 3PTR by CARTER,JUSTIN",1
--,,,,,"REBOUND OFF by BRADLEY,ANDRE",,,"REBOUND OFF by BRADLEY,ANDRE",1
