Time Remaining,CEN,Away Team Score,Play Team Indicator,Home Team Score,SU,Game Score,Team Indicator,Play,Period
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
17:48,,,,,"MISS JUMPER by HOLT,BRENDAN",,,"MISS JUMPER by HOLT,BRENDAN",1
--,"REBOUND DEF by RAKES,BAILEY",,,,,,,"REBOUND DEF by RAKES,BAILEY",1
17:42,"TURNOVER  by RAKES,BAILEY",,,,,,,"TURNOVER  by RAKES,BAILEY",1
17:27,,,,,"TURNOVER  by WATTS,CORNELIUS",,,"TURNOVER  by WATTS,CORNELIUS",1
17:19,"TURNOVER  by RAKES,BAILEY",,,,,,,"TURNOVER  by RAKES,BAILEY",1
17:18,,,,,"STEAL  by BENDINGFIELD,ROBERT",,,"STEAL  by BENDINGFIELD,ROBERT",1
17:08,,2,,2,"GOOD JUMPER by BENDINGFIELD,ROBERT(in the paint)",SU 2-2 (0),,"GOOD JUMPER by BENDINGFIELD,ROBERT(in the paint)",1
16:48,"FOUL  by SPITZER,JAKOB",,,,,,,"FOUL  by SPITZER,JAKOB",1
16:48,"TURNOVER  by SPITZER,JAKOB",,,,,,,"TURNOVER  by SPITZER,JAKOB",1
16:48,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",1
16:48,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",1
16:36,,,,,"MISS JUMPER by WILLIAMS,BRANDON",,,"MISS JUMPER by WILLIAMS,BRANDON",1
--,"REBOUND DEF by SINE,TUCKER",,,,,,,"REBOUND DEF by SINE,TUCKER",1
16:22,"MISS JUMPER by SPITZER,JAKOB",,,,,,,"MISS JUMPER by SPITZER,JAKOB",1
--,,,,,"REBOUND DEF by HOLT,BRENDAN",,,"REBOUND DEF by HOLT,BRENDAN",1
16:06,,2,,4 (+2),"GOOD LAYUP by WILLIAMS,BRANDON(in the paint)",SU 2-4 (-2),,"GOOD LAYUP by WILLIAMS,BRANDON(in the paint)",1
--,,,,,"ASSIST  by ELLIS,DOMINIQUE",,,"ASSIST  by ELLIS,DOMINIQUE",1
15:47,"GOOD 3PTR by SINE,TUCKER",5 (+1),,4,,CEN 5-4 (+1),,"GOOD 3PTR by SINE,TUCKER",1
--,"ASSIST  by RAKES,BAILEY",,,,,,,"ASSIST  by RAKES,BAILEY",1
15:20,,,,,"MISS LAYUP by WILLIAMS,BRANDON",,,"MISS LAYUP by WILLIAMS,BRANDON",1
15:20,"BLOCK  by SPITZER,JAKOB",,,,,,,"BLOCK  by SPITZER,JAKOB",1
--,"REBOUND DEF by SINE,TUCKER",,,,,,,"REBOUND DEF by SINE,TUCKER",1
15:15,,,,,"FOUL  by WATTS,CORNELIUS",,,"FOUL  by WATTS,CORNELIUS",1
15:15,"MISS FT by SINE,TUCKER",,,,,,,"MISS FT by SINE,TUCKER",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
15:15,"GOOD FT by SINE,TUCKER",6 (+2),,4,,CEN 6-4 (+2),,"GOOD FT by SINE,TUCKER",1
15:15,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",1
15:15,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",1
15:15,"SUB IN by PURVIS,KC",,,,,,,"SUB IN by PURVIS,KC",1
15:15,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
15:15,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",1
15:15,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",1
15:15,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
15:15,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
15:15,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
15:15,"SUB OUT by CRUMP,DAWSON",,,,,,,"SUB OUT by CRUMP,DAWSON",1
15:15,,,,,"SUB IN by WARREN,BRAEDEN",,,"SUB IN by WARREN,BRAEDEN",1
15:15,,,,,"SUB OUT by HOLT,BRENDAN",,,"SUB OUT by HOLT,BRENDAN",1
14:59,,6,,7 (+1),"GOOD 3PTR by WILLIAMS,BRANDON",SU 6-7 (-1),,"GOOD 3PTR by WILLIAMS,BRANDON",1
--,,,,,"ASSIST  by BENDINGFIELD,ROBERT",,,"ASSIST  by BENDINGFIELD,ROBERT",1
14:45,"MISS LAYUP by SINE,TUCKER",,,,,,,"MISS LAYUP by SINE,TUCKER",1
14:45,,,,,"BLOCK  by BENDINGFIELD,ROBERT",,,"BLOCK  by BENDINGFIELD,ROBERT",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
14:45,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
14:45,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
14:42,"TURNOVER  by WALKER,ART",,,,,,,"TURNOVER  by WALKER,ART",1
14:16,,,,,"MISS 3PTR by WATTS,CORNELIUS",,,"MISS 3PTR by WATTS,CORNELIUS",1
--,"REBOUND DEF by WALKER,ART",,,,,,,"REBOUND DEF by WALKER,ART",1
14:00,"MISS LAYUP by AYERS,PERRY",,,,,,,"MISS LAYUP by AYERS,PERRY",1
--,,,,,"REBOUND DEF by BENDINGFIELD,ROBERT",,,"REBOUND DEF by BENDINGFIELD,ROBERT",1
13:53,,,,,"MISS LAYUP by WATTS,CORNELIUS",,,"MISS LAYUP by WATTS,CORNELIUS",1
--,"REBOUND DEF by WALKER,ART",,,,,,,"REBOUND DEF by WALKER,ART",1
13:50,,,,,"FOUL  by BENDINGFIELD,ROBERT",,,"FOUL  by BENDINGFIELD,ROBERT",1
13:50,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",1
13:50,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",1
13:50,,,,,"SUB IN by WARREN,BRAEDEN",,,"SUB IN by WARREN,BRAEDEN",1
13:50,,,,,"SUB IN by BENDINGFIELD,ROBERT",,,"SUB IN by BENDINGFIELD,ROBERT",1
13:50,,,,,"SUB IN by ELLIS,DOMINIQUE",,,"SUB IN by ELLIS,DOMINIQUE",1
13:50,,,,,"SUB IN by ROWE,RYLAN",,,"SUB IN by ROWE,RYLAN",1
13:50,,,,,"SUB IN by WALLACE,KEITH",,,"SUB IN by WALLACE,KEITH",1
13:50,,,,,"SUB OUT by HOLT,BRENDAN",,,"SUB OUT by HOLT,BRENDAN",1
13:50,,,,,"SUB OUT by BENDINGFIELD,ROBERT",,,"SUB OUT by BENDINGFIELD,ROBERT",1
13:50,,,,,"SUB OUT by WATTS,CORNELIUS",,,"SUB OUT by WATTS,CORNELIUS",1
13:50,,,,,"SUB OUT by WILLIAMS,BRANDON",,,"SUB OUT by WILLIAMS,BRANDON",1
13:50,,,,,"SUB OUT by ELLIS,DOMINIQUE",,,"SUB OUT by ELLIS,DOMINIQUE",1
13:41,"FOUL  by GRIFFIN,JAROD",,,,,,,"FOUL  by GRIFFIN,JAROD",1
13:41,"TURNOVER  by GRIFFIN,JAROD",,,,,,,"TURNOVER  by GRIFFIN,JAROD",1
13:41,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
13:24,,6,,9 (+3),"GOOD JUMPER by ELLIS,DOMINIQUE",SU 6-9 (-3),,"GOOD JUMPER by ELLIS,DOMINIQUE",1
12:59,"MISS 3PTR by SCHMUCKER,ZACH",,,,,,,"MISS 3PTR by SCHMUCKER,ZACH",1
--,,,,,"REBOUND DEF by WALLACE,KEITH",,,"REBOUND DEF by WALLACE,KEITH",1
12:51,,6,,11 (+5),"GOOD JUMPER by BENDINGFIELD,ROBERT(fastbreak)(in the paint)",SU 6-11 (-5),,"GOOD JUMPER by BENDINGFIELD,ROBERT(fastbreak)(in the paint)",1
12:31,,,,,"FOUL  by WALLACE,KEITH",,,"FOUL  by WALLACE,KEITH",1
12:31,"MISS FT by GRIFFIN,JAROD",,,,,,,"MISS FT by GRIFFIN,JAROD",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
12:31,"MISS FT by GRIFFIN,JAROD",,,,,,,"MISS FT by GRIFFIN,JAROD",1
--,,,,,"REBOUND DEF by WARREN,BRAEDEN",,,"REBOUND DEF by WARREN,BRAEDEN",1
12:31,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
12:31,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
12:31,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
12:31,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",1
12:31,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",1
12:31,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",1
12:31,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
12:31,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
12:31,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
12:31,"SUB OUT by CRUMP,DAWSON",,,,,,,"SUB OUT by CRUMP,DAWSON",1
12:31,,,,,"SUB IN by MONTGOMERY,MARCUS",,,"SUB IN by MONTGOMERY,MARCUS",1
12:31,,,,,"SUB OUT by ELLIS,DOMINIQUE",,,"SUB OUT by ELLIS,DOMINIQUE",1
12:09,,,,,"MISS JUMPER by WARREN,BRAEDEN",,,"MISS JUMPER by WARREN,BRAEDEN",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
11:53,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",1
--,,,,,"REBOUND DEF by WARREN,BRAEDEN",,,"REBOUND DEF by WARREN,BRAEDEN",1
11:29,,,,,"MISS JUMPER by MONTGOMERY,MARCUS",,,"MISS JUMPER by MONTGOMERY,MARCUS",1
--,"REBOUND DEF by SINE,TUCKER",,,,,,,"REBOUND DEF by SINE,TUCKER",1
11:18,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",1
--,"REBOUND OFF by BATES,JACOB",,,,,,,"REBOUND OFF by BATES,JACOB",1
10:58,"GOOD LAYUP by CRUMP,DAWSON(in the paint)",8,,11 (+3),,CEN 8-11 (-3),,"GOOD LAYUP by CRUMP,DAWSON(in the paint)",1
10:58,,,,,"FOUL  by BENDINGFIELD,ROBERT",,,"FOUL  by BENDINGFIELD,ROBERT",1
10:58,"GOOD FT by CRUMP,DAWSON",9,,11 (+2),,CEN 9-11 (-2),,"GOOD FT by CRUMP,DAWSON",1
10:58,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",1
10:58,"SUB OUT by CRUMP,DAWSON",,,,,,,"SUB OUT by CRUMP,DAWSON",1
10:58,,,,,"SUB IN by WATTS,CORNELIUS",,,"SUB IN by WATTS,CORNELIUS",1
10:58,,,,,"SUB OUT by BENDINGFIELD,ROBERT",,,"SUB OUT by BENDINGFIELD,ROBERT",1
10:28,,,,,"MISS JUMPER by WALLACE,KEITH",,,"MISS JUMPER by WALLACE,KEITH",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
10:12,"MISS 3PTR by GRIFFIN,JAROD",,,,,,,"MISS 3PTR by GRIFFIN,JAROD",1
--,"REBOUND OFF by WALKER,ART",,,,,,,"REBOUND OFF by WALKER,ART",1
09:53,"MISS LAYUP by BATES,JACOB",,,,,,,"MISS LAYUP by BATES,JACOB",1
09:53,,,,,"BLOCK  by WARREN,BRAEDEN",,,"BLOCK  by WARREN,BRAEDEN",1
--,,,,,"REBOUND DEF by WALLACE,KEITH",,,"REBOUND DEF by WALLACE,KEITH",1
09:49,,,,,"MISS JUMPER by ROWE,RYLAN",,,"MISS JUMPER by ROWE,RYLAN",1
--,,,,,"REBOUND OFF by MONTGOMERY,MARCUS",,,"REBOUND OFF by MONTGOMERY,MARCUS",1
09:42,,9,,13 (+4),"GOOD JUMPER by MONTGOMERY,MARCUS(in the paint)",SU 9-13 (-4),,"GOOD JUMPER by MONTGOMERY,MARCUS(in the paint)",1
09:20,"GOOD 3PTR by WALKER,ART",12,,13 (+1),,CEN 12-13 (-1),,"GOOD 3PTR by WALKER,ART",1
--,"ASSIST  by GRIFFIN,JAROD",,,,,,,"ASSIST  by GRIFFIN,JAROD",1
09:00,,,,,"TURNOVER  by WALLACE,KEITH",,,"TURNOVER  by WALLACE,KEITH",1
08:58,"STEAL  by SINE,TUCKER",,,,,,,"STEAL  by SINE,TUCKER",1
08:52,"GOOD LAYUP by WALKER,ART(in the paint)",14 (+1),,13,,CEN 14-13 (+1),,"GOOD LAYUP by WALKER,ART(in the paint)",1
08:26,,,,,"MISS 3PTR by ROWE,RYLAN",,,"MISS 3PTR by ROWE,RYLAN",1
--,"REBOUND DEF by GRIFFIN,JAROD",,,,,,,"REBOUND DEF by GRIFFIN,JAROD",1
08:13,,,,,"FOUL  by WALLACE,KEITH",,,"FOUL  by WALLACE,KEITH",1
08:13,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",1
08:13,"SUB IN by BROWNLEY,HOGAN",,,,,,,"SUB IN by BROWNLEY,HOGAN",1
08:13,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",1
08:13,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
08:13,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",1
08:13,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",1
08:13,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
08:13,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
08:13,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
08:13,"SUB OUT by CRUMP,DAWSON",,,,,,,"SUB OUT by CRUMP,DAWSON",1
08:13,,,,,"SUB IN by WILLIAMS,BRANDON",,,"SUB IN by WILLIAMS,BRANDON",1
08:13,,,,,"SUB IN by MCMAHAN,EVAN",,,"SUB IN by MCMAHAN,EVAN",1
08:13,,,,,"SUB IN by WATTS,CORNELIUS",,,"SUB IN by WATTS,CORNELIUS",1
08:13,,,,,"SUB IN by MONTGOMERY,MARCUS",,,"SUB IN by MONTGOMERY,MARCUS",1
08:13,,,,,"SUB IN by ELLIS,DOMINIQUE",,,"SUB IN by ELLIS,DOMINIQUE",1
08:13,,,,,"SUB OUT by HOLT,BRENDAN",,,"SUB OUT by HOLT,BRENDAN",1
08:13,,,,,"SUB OUT by BENDINGFIELD,ROBERT",,,"SUB OUT by BENDINGFIELD,ROBERT",1
08:13,,,,,"SUB OUT by WATTS,CORNELIUS",,,"SUB OUT by WATTS,CORNELIUS",1
08:13,,,,,"SUB OUT by WILLIAMS,BRANDON",,,"SUB OUT by WILLIAMS,BRANDON",1
08:13,,,,,"SUB OUT by ELLIS,DOMINIQUE",,,"SUB OUT by ELLIS,DOMINIQUE",1
08:08,"MISS JUMPER by SINE,TUCKER",,,,,,,"MISS JUMPER by SINE,TUCKER",1
--,,,,,"REBOUND DEF by WILLIAMS,BRANDON",,,"REBOUND DEF by WILLIAMS,BRANDON",1
07:40,,14,,16 (+2),"GOOD 3PTR by MONTGOMERY,MARCUS",SU 14-16 (-2),,"GOOD 3PTR by MONTGOMERY,MARCUS",1
--,,,,,"ASSIST  by WATTS,CORNELIUS",,,"ASSIST  by WATTS,CORNELIUS",1
07:26,"MISS JUMPER by RAKES,BAILEY",,,,,,,"MISS JUMPER by RAKES,BAILEY",1
--,,,,,"REBOUND DEF by WILLIAMS,BRANDON",,,"REBOUND DEF by WILLIAMS,BRANDON",1
07:22,"FOUL  by SPITZER,JAKOB",,,,,,,"FOUL  by SPITZER,JAKOB",1
07:22,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",1
07:22,"SUB IN by BROWNLEY,HOGAN",,,,,,,"SUB IN by BROWNLEY,HOGAN",1
07:22,"SUB IN by PURVIS,KC",,,,,,,"SUB IN by PURVIS,KC",1
07:22,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",1
07:22,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",1
07:22,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",1
07:22,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
07:22,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
07:22,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
07:22,"SUB OUT by CRUMP,DAWSON",,,,,,,"SUB OUT by CRUMP,DAWSON",1
06:53,,,,,"MISS 3PTR by MONTGOMERY,MARCUS",,,"MISS 3PTR by MONTGOMERY,MARCUS",1
--,,,,,"REBOUND OFF by MONTGOMERY,MARCUS",,,"REBOUND OFF by MONTGOMERY,MARCUS",1
06:49,,,,,"MISS JUMPER by MONTGOMERY,MARCUS",,,"MISS JUMPER by MONTGOMERY,MARCUS",1
--,"REBOUND DEF by PURVIS,KC",,,,,,,"REBOUND DEF by PURVIS,KC",1
06:41,,,,,"FOUL  by WILLIAMS,BRANDON",,,"FOUL  by WILLIAMS,BRANDON",1
06:41,"GOOD FT by AYERS,PERRY",15,,16 (+1),,CEN 15-16 (-1),,"GOOD FT by AYERS,PERRY",1
06:41,"GOOD FT by AYERS,PERRY",16,,16,,CEN 16-16 (0),,"GOOD FT by AYERS,PERRY",1
06:24,,,,,"TURNOVER  by WILLIAMS,BRANDON",,,"TURNOVER  by WILLIAMS,BRANDON",1
06:05,"MISS JUMPER by RAKES,BAILEY",,,,,,,"MISS JUMPER by RAKES,BAILEY",1
--,"REBOUND OFF by RAKES,BAILEY",,,,,,,"REBOUND OFF by RAKES,BAILEY",1
05:59,"GOOD LAYUP by AYERS,PERRY(in the paint)",18 (+2),,16,,CEN 18-16 (+2),,"GOOD LAYUP by AYERS,PERRY(in the paint)",1
--,"ASSIST  by RAKES,BAILEY",,,,,,,"ASSIST  by RAKES,BAILEY",1
05:42,,18,,19 (+1),"GOOD 3PTR by MONTGOMERY,MARCUS",SU 18-19 (-1),,"GOOD 3PTR by MONTGOMERY,MARCUS",1
--,,,,,"ASSIST  by ELLIS,DOMINIQUE",,,"ASSIST  by ELLIS,DOMINIQUE",1
05:23,"TURNOVER  by PURVIS,KC",,,,,,,"TURNOVER  by PURVIS,KC",1
05:23,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
05:23,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",1
04:54,,,,,"MISS 3PTR by MONTGOMERY,MARCUS",,,"MISS 3PTR by MONTGOMERY,MARCUS",1
--,"REBOUND DEF by CRUMP,DAWSON",,,,,,,"REBOUND DEF by CRUMP,DAWSON",1
04:38,"GOOD 3PTR by CRUMP,DAWSON",21 (+2),,19,,CEN 21-19 (+2),,"GOOD 3PTR by CRUMP,DAWSON",1
--,"ASSIST  by AYERS,PERRY",,,,,,,"ASSIST  by AYERS,PERRY",1
04:23,,,,,"MISS JUMPER by MCMAHAN,EVAN",,,"MISS JUMPER by MCMAHAN,EVAN",1
--,"REBOUND DEF by BROWNLEY,HOGAN",,,,,,,"REBOUND DEF by BROWNLEY,HOGAN",1
04:14,"TURNOVER  by CRUMP,DAWSON",,,,,,,"TURNOVER  by CRUMP,DAWSON",1
04:14,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",1
04:14,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",1
03:56,,,,,"MISS 3PTR by MONTGOMERY,MARCUS",,,"MISS 3PTR by MONTGOMERY,MARCUS",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
03:52,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",1
03:52,"SUB OUT by BROWNLEY,HOGAN",,,,,,,"SUB OUT by BROWNLEY,HOGAN",1
03:52,,,,,"SUB IN by WILLIAMS,BRANDON",,,"SUB IN by WILLIAMS,BRANDON",1
03:52,,,,,"SUB IN by WATTS,CORNELIUS",,,"SUB IN by WATTS,CORNELIUS",1
03:52,,,,,"SUB IN by ELLIS,DOMINIQUE",,,"SUB IN by ELLIS,DOMINIQUE",1
03:52,,,,,"SUB IN by ROWE,RYLAN",,,"SUB IN by ROWE,RYLAN",1
03:52,,,,,"SUB IN by WALLACE,KEITH",,,"SUB IN by WALLACE,KEITH",1
03:52,,,,,"SUB OUT by HOLT,BRENDAN",,,"SUB OUT by HOLT,BRENDAN",1
03:52,,,,,"SUB OUT by BENDINGFIELD,ROBERT",,,"SUB OUT by BENDINGFIELD,ROBERT",1
03:52,,,,,"SUB OUT by WATTS,CORNELIUS",,,"SUB OUT by WATTS,CORNELIUS",1
03:52,,,,,"SUB OUT by WILLIAMS,BRANDON",,,"SUB OUT by WILLIAMS,BRANDON",1
03:52,,,,,"SUB OUT by ELLIS,DOMINIQUE",,,"SUB OUT by ELLIS,DOMINIQUE",1
03:42,"MISS JUMPER by GRIFFIN,JAROD",,,,,,,"MISS JUMPER by GRIFFIN,JAROD",1
--,"REBOUND OFF by GRIFFIN,JAROD",,,,,,,"REBOUND OFF by GRIFFIN,JAROD",1
03:39,,,,,"FOUL  by WALLACE,KEITH",,,"FOUL  by WALLACE,KEITH",1
03:39,"GOOD FT by GRIFFIN,JAROD",22 (+3),,19,,CEN 22-19 (+3),,"GOOD FT by GRIFFIN,JAROD",1
03:39,"GOOD FT by GRIFFIN,JAROD",23 (+4),,19,,CEN 23-19 (+4),,"GOOD FT by GRIFFIN,JAROD",1
03:39,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
03:39,"SUB OUT by CRUMP,DAWSON",,,,,,,"SUB OUT by CRUMP,DAWSON",1
03:39,,,,,"SUB IN by HOLT,BRENDAN",,,"SUB IN by HOLT,BRENDAN",1
03:39,,,,,"SUB OUT by WALLACE,KEITH",,,"SUB OUT by WALLACE,KEITH",1
03:22,,,,,"MISS LAYUP by ELLIS,DOMINIQUE",,,"MISS LAYUP by ELLIS,DOMINIQUE",1
--,,,,,"REBOUND OFF by WILLIAMS,BRANDON",,,"REBOUND OFF by WILLIAMS,BRANDON",1
03:20,,,,,"MISS LAYUP by WILLIAMS,BRANDON",,,"MISS LAYUP by WILLIAMS,BRANDON",1
--,,,,,"REBOUND OFF by WILLIAMS,BRANDON",,,"REBOUND OFF by WILLIAMS,BRANDON",1
03:17,,23 (+2),,21,"GOOD LAYUP by WILLIAMS,BRANDON(in the paint)",SU 23-21 (+2),,"GOOD LAYUP by WILLIAMS,BRANDON(in the paint)",1
02:54,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",1
--,,,,,"REBOUND DEF by WATTS,CORNELIUS",,,"REBOUND DEF by WATTS,CORNELIUS",1
02:46,,,,,"MISS LAYUP by ROWE,RYLAN",,,"MISS LAYUP by ROWE,RYLAN",1
--,"REBOUND DEF by WALKER,ART",,,,,,,"REBOUND DEF by WALKER,ART",1
02:38,"MISS LAYUP by SCHMUCKER,ZACH",,,,,,,"MISS LAYUP by SCHMUCKER,ZACH",1
02:38,,,,,"BLOCK  by HOLT,BRENDAN",,,"BLOCK  by HOLT,BRENDAN",1
--,,,,,"REBOUND DEF by WILLIAMS,BRANDON",,,"REBOUND DEF by WILLIAMS,BRANDON",1
02:33,"FOUL  by GRIFFIN,JAROD",,,,,,,"FOUL  by GRIFFIN,JAROD",1
02:33,,23 (+1),,22,"GOOD FT by ELLIS,DOMINIQUE",SU 23-22 (+1),,"GOOD FT by ELLIS,DOMINIQUE",1
02:33,,23,,23,"GOOD FT by ELLIS,DOMINIQUE",SU 23-23 (0),,"GOOD FT by ELLIS,DOMINIQUE",1
02:33,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",1
02:33,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",1
02:22,"MISS JUMPER by RAKES,BAILEY",,,,,,,"MISS JUMPER by RAKES,BAILEY",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
02:18,"FOUL  by SCHMUCKER,ZACH",,,,,,,"FOUL  by SCHMUCKER,ZACH",1
02:01,,23,,26 (+3),"GOOD 3PTR by ROWE,RYLAN",SU 23-26 (-3),,"GOOD 3PTR by ROWE,RYLAN",1
--,,,,,"ASSIST  by WILLIAMS,BRANDON",,,"ASSIST  by WILLIAMS,BRANDON",1
01:55,"TURNOVER  by SCHMUCKER,ZACH",,,,,,,"TURNOVER  by SCHMUCKER,ZACH",1
01:53,,,,,"STEAL  by HOLT,BRENDAN",,,"STEAL  by HOLT,BRENDAN",1
01:50,,23,,28 (+5),"GOOD JUMPER by ROWE,RYLAN(in the paint)",SU 23-28 (-5),,"GOOD JUMPER by ROWE,RYLAN(in the paint)",1
01:48,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
