Time Remaining,CARTMBB,Away Team Score,Play Team Indicator,Home Team Score,CENTMBB,Game Score,Team Indicator,Play,Period
14:09,,,,,"MISS FT by BATES,JACOB",,,"MISS FT by BATES,JACOB",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
14:09,,38 (+11),,27,"GOOD FT by BATES,JACOB",CENTMBB 38-27 (-11),,"GOOD FT by BATES,JACOB",2
13:51,"MISS JUMPER by MASON,DEREK",,,,,,,"MISS JUMPER by MASON,DEREK",2
13:51,,,,,"BLOCK  by RAKES,BAILEY",,,"BLOCK  by RAKES,BAILEY",2
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",2
13:34,,,,,"TURNOVER  by BATES,JACOB",,,"TURNOVER  by BATES,JACOB",2
13:31,"STEAL  by MASON,DEREK",,,,,,,"STEAL  by MASON,DEREK",2
13:14,"MISS 3PTR by POLGLASE,JACOB",,,,,,,"MISS 3PTR by POLGLASE,JACOB",2
--,,,,,"REBOUND DEF by AYERS,PERRY",,,"REBOUND DEF by AYERS,PERRY",2
12:59,,,,,"MISS JUMPER by RAKES,BAILEY",,,"MISS JUMPER by RAKES,BAILEY",2
--,,,,,"REBOUND OFF by RAKES,BAILEY",,,"REBOUND OFF by RAKES,BAILEY",2
12:56,,,,,"MISS 3PTR by WALKER,ART",,,"MISS 3PTR by WALKER,ART",2
--,"REBOUND DEF by PERRY,BRAD",,,,,,,"REBOUND DEF by PERRY,BRAD",2
12:35,"GOOD 3PTR by MASON,DEREK",41 (+14),,27,,CARTMBB 41-27 (-14),,"GOOD 3PTR by MASON,DEREK",2
--,"ASSIST  by PERRY,BRAD",,,,,,,"ASSIST  by PERRY,BRAD",2
12:06,,,,,"MISS JUMPER by BATES,JACOB",,,"MISS JUMPER by BATES,JACOB",2
12:06,"BLOCK  by PERRY,BRAD",,,,,,,"BLOCK  by PERRY,BRAD",2
--,,,,,"REBOUND OFF by AYERS,PERRY",,,"REBOUND OFF by AYERS,PERRY",2
12:00,,,,,"MISS JUMPER by AYERS,PERRY",,,"MISS JUMPER by AYERS,PERRY",2
--,"REBOUND DEF by MASON,DEREK",,,,,,,"REBOUND DEF by MASON,DEREK",2
11:46,"GOOD JUMPER by MASON,DEREK",43 (+16),,27,,CARTMBB 43-27 (-16),,"GOOD JUMPER by MASON,DEREK",2
11:29,,43 (+14),,29,"GOOD JUMPER by BATES,JACOB",CENTMBB 43-29 (-14),,"GOOD JUMPER by BATES,JACOB",2
11:09,"GOOD JUMPER by KRUSE,BRAD",45 (+16),,29,,CARTMBB 45-29 (-16),,"GOOD JUMPER by KRUSE,BRAD",2
--,"ASSIST  by MASON,DEREK",,,,,,,"ASSIST  by MASON,DEREK",2
11:04,"FOUL  by MASON,DEREK",,,,,,,"FOUL  by MASON,DEREK",2
11:04,"SUB IN by JOHNSON,SEAN",,,,,,,"SUB IN by JOHNSON,SEAN",2
11:04,"SUB IN by THOMAS,JORDAN",,,,,,,"SUB IN by THOMAS,JORDAN",2
11:04,"SUB OUT by PERRY,BRAD",,,,,,,"SUB OUT by PERRY,BRAD",2
11:04,"SUB OUT by SHASI,KAMAL",,,,,,,"SUB OUT by SHASI,KAMAL",2
11:04,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",2
11:04,,,,,"SUB IN by CRUMP,DAWSON",,,"SUB IN by CRUMP,DAWSON",2
11:04,,,,,"SUB OUT by AYERS,PERRY",,,"SUB OUT by AYERS,PERRY",2
11:04,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",2
10:49,"FOUL  by JOHNSON,SEAN",,,,,,,"FOUL  by JOHNSON,SEAN",2
10:49,,45 (+15),,30,"GOOD FT by BATES,JACOB",CENTMBB 45-30 (-15),,"GOOD FT by BATES,JACOB",2
10:49,,,,,"MISS FT by BATES,JACOB",,,"MISS FT by BATES,JACOB",2
--,"REBOUND DEF by JOHNSON,SEAN",,,,,,,"REBOUND DEF by JOHNSON,SEAN",2
10:29,"GOOD JUMPER by KRUSE,BRAD",47 (+17),,30,,CARTMBB 47-30 (-17),,"GOOD JUMPER by KRUSE,BRAD",2
--,"ASSIST  by THOMAS,JORDAN",,,,,,,"ASSIST  by THOMAS,JORDAN",2
10:10,"FOUL  by THOMAS,JORDAN",,,,,,,"FOUL  by THOMAS,JORDAN",2
10:10,,47 (+16),,31,"GOOD FT by WALKER,ART",CENTMBB 47-31 (-16),,"GOOD FT by WALKER,ART",2
10:10,,47 (+15),,32,"GOOD FT by WALKER,ART",CENTMBB 47-32 (-15),,"GOOD FT by WALKER,ART",2
09:45,"GOOD JUMPER by MASON,DEREK",49 (+17),,32,,CARTMBB 49-32 (-17),,"GOOD JUMPER by MASON,DEREK",2
--,"ASSIST  by THOMAS,JORDAN",,,,,,,"ASSIST  by THOMAS,JORDAN",2
09:26,,,,,"MISS JUMPER by BATES,JACOB",,,"MISS JUMPER by BATES,JACOB",2
09:26,"BLOCK  by JOHNSON,SEAN",,,,,,,"BLOCK  by JOHNSON,SEAN",2
--,"REBOUND DEF by JOHNSON,SEAN",,,,,,,"REBOUND DEF by JOHNSON,SEAN",2
09:09,"GOOD JUMPER by KRUSE,BRAD",51 (+19),,32,,CARTMBB 51-32 (-19),,"GOOD JUMPER by KRUSE,BRAD",2
--,"ASSIST  by MASON,DEREK",,,,,,,"ASSIST  by MASON,DEREK",2
09:02,"FOUL  by JOHNSON,SEAN",,,,,,,"FOUL  by JOHNSON,SEAN",2
09:02,,51 (+18),,33,"GOOD FT by WALKER,ART",CENTMBB 51-33 (-18),,"GOOD FT by WALKER,ART",2
09:02,,51 (+17),,34,"GOOD FT by WALKER,ART",CENTMBB 51-34 (-17),,"GOOD FT by WALKER,ART",2
09:02,"SUB IN by LEAZER,STEVE",,,,,,,"SUB IN by LEAZER,STEVE",2
09:02,"SUB OUT by KRUSE,BRAD",,,,,,,"SUB OUT by KRUSE,BRAD",2
09:02,,,,,"SUB IN by AYERS,PERRY",,,"SUB IN by AYERS,PERRY",2
09:02,,,,,"SUB IN by SPITZER,JAKOB",,,"SUB IN by SPITZER,JAKOB",2
09:02,,,,,"SUB IN by RAKES,BAILEY",,,"SUB IN by RAKES,BAILEY",2
09:02,,,,,"SUB OUT by WALKER,ART",,,"SUB OUT by WALKER,ART",2
09:02,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",2
09:02,,,,,"SUB OUT by CRUMP,DAWSON",,,"SUB OUT by CRUMP,DAWSON",2
08:30,"MISS 3PTR by THOMAS,JORDAN",,,,,,,"MISS 3PTR by THOMAS,JORDAN",2
--,"REBOUND OFF by THOMAS,JORDAN",,,,,,,"REBOUND OFF by THOMAS,JORDAN",2
08:30,"MISS JUMPER by THOMAS,JORDAN",,,,,,,"MISS JUMPER by THOMAS,JORDAN",2
08:30,,,,,"BLOCK  by SPITZER,JAKOB",,,"BLOCK  by SPITZER,JAKOB",2
--,,,,,"REBOUND DEF by SPITZER,JAKOB",,,"REBOUND DEF by SPITZER,JAKOB",2
08:30,"FOUL  by POLGLASE,JACOB",,,,,,,"FOUL  by POLGLASE,JACOB",2
08:30,,,,,"MISS FT by SINE,TUCKER",,,"MISS FT by SINE,TUCKER",2
--,"REBOUND DEF by KRUSE,BRAD",,,,,,,"REBOUND DEF by KRUSE,BRAD",2
08:30,"SUB IN by KRUSE,BRAD",,,,,,,"SUB IN by KRUSE,BRAD",2
08:30,"SUB OUT by POLGLASE,JACOB",,,,,,,"SUB OUT by POLGLASE,JACOB",2
08:10,"GOOD 3PTR by KRUSE,BRAD",54 (+20),,34,,CARTMBB 54-34 (-20),,"GOOD 3PTR by KRUSE,BRAD",2
--,"ASSIST  by MASON,DEREK",,,,,,,"ASSIST  by MASON,DEREK",2
07:46,,,,,"MISS JUMPER by SPITZER,JAKOB",,,"MISS JUMPER by SPITZER,JAKOB",2
--,"REBOUND DEF by MASON,DEREK",,,,,,,"REBOUND DEF by MASON,DEREK",2
07:31,"MISS JUMPER by JOHNSON,SEAN",,,,,,,"MISS JUMPER by JOHNSON,SEAN",2
--,,,,,"REBOUND DEF by SPITZER,JAKOB",,,"REBOUND DEF by SPITZER,JAKOB",2
07:21,,,,,"MISS JUMPER by RAKES,BAILEY",,,"MISS JUMPER by RAKES,BAILEY",2
--,,,,,"REBOUND OFF by RAKES,BAILEY",,,"REBOUND OFF by RAKES,BAILEY",2
07:17,,54 (+18),,36,"GOOD JUMPER by RAKES,BAILEY",CENTMBB 54-36 (-18),,"GOOD JUMPER by RAKES,BAILEY",2
06:46,"GOOD 3PTR by THOMAS,JORDAN",57 (+21),,36,,CARTMBB 57-36 (-21),,"GOOD 3PTR by THOMAS,JORDAN",2
06:22,"FOUL  by JOHNSON,SEAN",,,,,,,"FOUL  by JOHNSON,SEAN",2
06:22,,,,,"MISS FT by SPITZER,JAKOB",,,"MISS FT by SPITZER,JAKOB",2
--,"REBOUND DEF by LEAZER,STEVE",,,,,,,"REBOUND DEF by LEAZER,STEVE",2
06:22,"SUB IN by PERRY,BRAD",,,,,,,"SUB IN by PERRY,BRAD",2
06:22,"SUB IN by BEST,TJ",,,,,,,"SUB IN by BEST,TJ",2
06:22,"SUB OUT by JOHNSON,SEAN",,,,,,,"SUB OUT by JOHNSON,SEAN",2
06:22,"SUB OUT by MASON,DEREK",,,,,,,"SUB OUT by MASON,DEREK",2
06:22,,,,,"SUB IN by WALKER,ART",,,"SUB IN by WALKER,ART",2
06:22,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",2
05:58,,,,,"FOUL  by SPITZER,JAKOB",,,"FOUL  by SPITZER,JAKOB",2
05:42,"MISS JUMPER by THOMAS,JORDAN",,,,,,,"MISS JUMPER by THOMAS,JORDAN",2
--,,,,,"REBOUND DEF by GRIFFIN,JAROD",,,"REBOUND DEF by GRIFFIN,JAROD",2
05:32,,,,,"MISS JUMPER by WALKER,ART",,,"MISS JUMPER by WALKER,ART",2
--,"REBOUND DEF by THOMAS,JORDAN",,,,,,,"REBOUND DEF by THOMAS,JORDAN",2
05:08,"MISS JUMPER by PERRY,BRAD",,,,,,,"MISS JUMPER by PERRY,BRAD",2
--,,,,,"REBOUND DEF by GRIFFIN,JAROD",,,"REBOUND DEF by GRIFFIN,JAROD",2
05:00,,,,,"MISS JUMPER by SPITZER,JAKOB",,,"MISS JUMPER by SPITZER,JAKOB",2
--,"REBOUND DEF by PERRY,BRAD",,,,,,,"REBOUND DEF by PERRY,BRAD",2
04:32,"MISS JUMPER by KRUSE,BRAD",,,,,,,"MISS JUMPER by KRUSE,BRAD",2
--,,,,,"REBOUND DEF by AYERS,PERRY",,,"REBOUND DEF by AYERS,PERRY",2
04:25,,57 (+19),,38,"GOOD JUMPER by WALKER,ART",CENTMBB 57-38 (-19),,"GOOD JUMPER by WALKER,ART",2
04:08,"TURNOVER  by PERRY,BRAD",,,,,,,"TURNOVER  by PERRY,BRAD",2
04:08,"SUB IN by SHASI,KAMAL",,,,,,,"SUB IN by SHASI,KAMAL",2
04:08,"SUB OUT by THOMAS,JORDAN",,,,,,,"SUB OUT by THOMAS,JORDAN",2
04:08,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",2
04:08,,,,,"SUB IN by WEST,CHRIS",,,"SUB IN by WEST,CHRIS",2
04:08,,,,,"SUB IN by CRUMP,DAWSON",,,"SUB IN by CRUMP,DAWSON",2
04:08,,,,,"SUB OUT by AYERS,PERRY",,,"SUB OUT by AYERS,PERRY",2
04:08,,,,,"SUB OUT by SPITZER,JAKOB",,,"SUB OUT by SPITZER,JAKOB",2
04:08,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",2
03:58,"FOUL  by LEAZER,STEVE",,,,,,,"FOUL  by LEAZER,STEVE",2
03:58,,57 (+18),,39,"GOOD FT by WALKER,ART",CENTMBB 57-39 (-18),,"GOOD FT by WALKER,ART",2
03:56,,,,,"FOUL  by CRUMP,DAWSON",,,"FOUL  by CRUMP,DAWSON",2
03:56,"GOOD FT by SHASI,KAMAL",58 (+19),,39,,CARTMBB 58-39 (-19),,"GOOD FT by SHASI,KAMAL",2
03:56,"GOOD FT by SHASI,KAMAL",59 (+20),,39,,CARTMBB 59-39 (-20),,"GOOD FT by SHASI,KAMAL",2
03:56,,59 (+18),,41,"GOOD JUMPER by WALKER,ART",CENTMBB 59-41 (-18),,"GOOD JUMPER by WALKER,ART",2
03:44,,,,,"MISS 3PTR by GRIFFIN,JAROD",,,"MISS 3PTR by GRIFFIN,JAROD",2
--,"REBOUND DEF by KRUSE,BRAD",,,,,,,"REBOUND DEF by KRUSE,BRAD",2
03:13,"MISS JUMPER by KRUSE,BRAD",,,,,,,"MISS JUMPER by KRUSE,BRAD",2
--,,,,,"REBOUND DEF by CRUMP,DAWSON",,,"REBOUND DEF by CRUMP,DAWSON",2
03:07,,,,,"MISS JUMPER by WEST,CHRIS",,,"MISS JUMPER by WEST,CHRIS",2
--,,,,,"REBOUND OFF by SCHMUCKER,ZACH",,,"REBOUND OFF by SCHMUCKER,ZACH",2
03:03,,,,,"SUB IN by BROWNLEY,HOGAN",,,"SUB IN by BROWNLEY,HOGAN",2
03:03,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",2
02:51,,,,,"MISS JUMPER by BROWNLEY,HOGAN",,,"MISS JUMPER by BROWNLEY,HOGAN",2
02:51,"BLOCK  by PERRY,BRAD",,,,,,,"BLOCK  by PERRY,BRAD",2
--,"REBOUND DEF by PERRY,BRAD",,,,,,,"REBOUND DEF by PERRY,BRAD",2
02:37,"TURNOVER  by LEAZER,STEVE",,,,,,,"TURNOVER  by LEAZER,STEVE",2
02:36,,,,,"STEAL  by BROWNLEY,HOGAN",,,"STEAL  by BROWNLEY,HOGAN",2
02:30,,,,,"MISS 3PTR by CRUMP,DAWSON",,,"MISS 3PTR by CRUMP,DAWSON",2
--,"REBOUND DEF by LEAZER,STEVE",,,,,,,"REBOUND DEF by LEAZER,STEVE",2
02:03,"MISS 3PTR by KRUSE,BRAD",,,,,,,"MISS 3PTR by KRUSE,BRAD",2
--,,,,,"REBOUND DEF by WEST,CHRIS",,,"REBOUND DEF by WEST,CHRIS",2
01:57,,,,,"TURNOVER  by CRUMP,DAWSON",,,"TURNOVER  by CRUMP,DAWSON",2
01:57,"SUB IN by JOHNSON,SEAN",,,,,,,"SUB IN by JOHNSON,SEAN",2
01:57,"SUB OUT by PERRY,BRAD",,,,,,,"SUB OUT by PERRY,BRAD",2
01:57,,,,,"SUB IN by PURVIS,KC",,,"SUB IN by PURVIS,KC",2
01:57,,,,,"SUB IN by MORETTE,MATT",,,"SUB IN by MORETTE,MATT",2
01:57,,,,,"SUB OUT by WALKER,ART",,,"SUB OUT by WALKER,ART",2
01:57,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",2
01:30,"MISS JUMPER by JOHNSON,SEAN",,,,,,,"MISS JUMPER by JOHNSON,SEAN",2
--,,,,,"REBOUND DEF by CRUMP,DAWSON",,,"REBOUND DEF by CRUMP,DAWSON",2
01:14,,,,,"TURNOVER  by BROWNLEY,HOGAN",,,"TURNOVER  by BROWNLEY,HOGAN",2
01:12,"STEAL  by LEAZER,STEVE",,,,,,,"STEAL  by LEAZER,STEVE",2
00:48,"GOOD JUMPER by SHASI,KAMAL",61 (+20),,41,,CARTMBB 61-41 (-20),,"GOOD JUMPER by SHASI,KAMAL",2
00:46,"SUB IN by MESSINA,DAN",,,,,,,"SUB IN by MESSINA,DAN",2
00:46,"SUB IN by CANADY,MIKE",,,,,,,"SUB IN by CANADY,MIKE",2
00:46,"SUB IN by MASON,DEREK",,,,,,,"SUB IN by MASON,DEREK",2
00:46,"SUB OUT by LEAZER,STEVE",,,,,,,"SUB OUT by LEAZER,STEVE",2
00:46,"SUB OUT by SHASI,KAMAL",,,,,,,"SUB OUT by SHASI,KAMAL",2
00:46,"SUB OUT by BEST,TJ",,,,,,,"SUB OUT by BEST,TJ",2
00:46,,,,,"SUB IN by TERRY,CHRISTIAN",,,"SUB IN by TERRY,CHRISTIAN",2
00:46,,,,,"SUB IN by JACKSON,BRAYDEN",,,"SUB IN by JACKSON,BRAYDEN",2
00:46,,,,,"SUB IN by PRICE,KAMDEN",,,"SUB IN by PRICE,KAMDEN",2
00:46,,,,,"SUB IN by NOBLE,CARSON",,,"SUB IN by NOBLE,CARSON",2
00:46,,,,,"SUB OUT by BROWNLEY,HOGAN",,,"SUB OUT by BROWNLEY,HOGAN",2
00:46,,,,,"SUB OUT by WEST,CHRIS",,,"SUB OUT by WEST,CHRIS",2
00:46,,,,,"SUB OUT by PURVIS,KC",,,"SUB OUT by PURVIS,KC",2
00:46,,,,,"SUB OUT by CRUMP,DAWSON",,,"SUB OUT by CRUMP,DAWSON",2
00:30,,,,,"TURNOVER  by MORETTE,MATT",,,"TURNOVER  by MORETTE,MATT",2
00:29,"STEAL  by CANADY,MIKE",,,,,,,"STEAL  by CANADY,MIKE",2
