Time Remaining,CENTRE-M,Away Team Score,Play Team Indicator,Home Team Score,HXM,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by HALL,MARCIS",,,"REBOUND DEF by HALL,MARCIS",1
11:53,,15,,19 (+4),"GOOD LAYUP by BRASFIELD,KAM(in the paint)",HXM 15-19 (-4),,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",1
11:34,"MISS LAYUP by SCHMUCKER,ZACH",,,,,,,"MISS LAYUP by SCHMUCKER,ZACH",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
11:26,"FOUL  by CRUMP,DAWSON",,,,,,,"FOUL  by CRUMP,DAWSON",1
11:26,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
11:26,,,,,"MISS FT by BRASFIELD,KAM",,,"MISS FT by BRASFIELD,KAM",1
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",1
11:26,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
11:26,"SUB IN by PURVIS,KC",,,,,,,"SUB IN by PURVIS,KC",1
11:26,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
11:26,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
11:26,,,,,"SUB IN by ROBERTS,ERIC",,,"SUB IN by ROBERTS,ERIC",1
11:26,,,,,"SUB OUT by HALL,MARCIS",,,"SUB OUT by HALL,MARCIS",1
11:10,"MISS JUMPER by PURVIS,KC",,,,,,,"MISS JUMPER by PURVIS,KC",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
10:43,,,,,"TURNOVER  by BRASFIELD,KAM",,,"TURNOVER  by BRASFIELD,KAM",1
10:43,,,,,"SUB IN by CALAMESE,MICHAEL",,,"SUB IN by CALAMESE,MICHAEL",1
10:43,,,,,"SUB OUT by BRASFIELD,KAM",,,"SUB OUT by BRASFIELD,KAM",1
10:33,"GOOD LAYUP by WALKER,ART(in the paint)",17,,19 (+2),,CENTRE-M 17-19 (-2),,"GOOD LAYUP by WALKER,ART(in the paint)",1
10:33,,,,,"FOUL  by ROBERTS,ERIC",,,"FOUL  by ROBERTS,ERIC",1
10:33,"GOOD FT by WALKER,ART",18,,19 (+1),,CENTRE-M 18-19 (-1),,"GOOD FT by WALKER,ART",1
10:21,,,,,"MISS JUMPER by CALAMESE,MICHAEL",,,"MISS JUMPER by CALAMESE,MICHAEL",1
--,"REBOUND DEF by CRUMP,DAWSON",,,,,,,"REBOUND DEF by CRUMP,DAWSON",1
10:18,,,,,"FOUL  by CALAMESE,MICHAEL",,,"FOUL  by CALAMESE,MICHAEL",1
10:18,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",1
10:18,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",1
10:03,"GOOD LAYUP by CRUMP,DAWSON(in the paint)",20 (+1),,19,,CENTRE-M 20-19 (+1),,"GOOD LAYUP by CRUMP,DAWSON(in the paint)",1
09:34,,,,,"TURNOVER  by CALAMESE,MICHAEL",,,"TURNOVER  by CALAMESE,MICHAEL",1
09:33,"STEAL  by AYERS,PERRY",,,,,,,"STEAL  by AYERS,PERRY",1
09:24,,,,,"SUB IN by EATON,JACK",,,"SUB IN by EATON,JACK",1
09:24,,,,,"SUB OUT by SMITH,PRESTON",,,"SUB OUT by SMITH,PRESTON",1
09:07,"GOOD 3PTR by AYERS,PERRY",23 (+4),,19,,CENTRE-M 23-19 (+4),,"GOOD 3PTR by AYERS,PERRY",1
--,"ASSIST  by WALKER,ART",,,,,,,"ASSIST  by WALKER,ART",1
08:57,,23 (+1),,22,"GOOD 3PTR by FISHER,ELI",HXM 23-22 (+1),,"GOOD 3PTR by FISHER,ELI",1
--,,,,,"ASSIST  by CALAMESE,MICHAEL",,,"ASSIST  by CALAMESE,MICHAEL",1
08:39,"GOOD 3PTR by AYERS,PERRY",26 (+4),,22,,CENTRE-M 26-22 (+4),,"GOOD 3PTR by AYERS,PERRY",1
--,"ASSIST  by RAKES,BAILEY",,,,,,,"ASSIST  by RAKES,BAILEY",1
08:26,,,,,"TURNOVER  by CALAMESE,MICHAEL",,,"TURNOVER  by CALAMESE,MICHAEL",1
08:24,"STEAL  by RAKES,BAILEY",,,,,,,"STEAL  by RAKES,BAILEY",1
08:18,,,,,"FOUL  by ROBERTS,ERIC",,,"FOUL  by ROBERTS,ERIC",1
08:18,"GOOD FT by WALKER,ART",27 (+5),,22,,CENTRE-M 27-22 (+5),,"GOOD FT by WALKER,ART",1
08:18,"GOOD FT by WALKER,ART",28 (+6),,22,,CENTRE-M 28-22 (+6),,"GOOD FT by WALKER,ART",1
08:18,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
08:18,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
08:18,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",1
08:18,"SUB OUT by PURVIS,KC",,,,,,,"SUB OUT by PURVIS,KC",1
08:18,,,,,"SUB IN by HALL,MARCIS",,,"SUB IN by HALL,MARCIS",1
08:18,,,,,"SUB OUT by ROBERTS,ERIC",,,"SUB OUT by ROBERTS,ERIC",1
07:52,"FOUL  by SINE,TUCKER",,,,,,,"FOUL  by SINE,TUCKER",1
07:52,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
07:52,,28 (+5),,23,"GOOD FT by LINK,JACOB",HXM 28-23 (+5),,"GOOD FT by LINK,JACOB",1
07:52,,,,,"MISS FT by LINK,JACOB",,,"MISS FT by LINK,JACOB",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
07:52,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",1
07:52,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",1
07:52,,,,,"SUB IN by BRASFIELD,KAM",,,"SUB IN by BRASFIELD,KAM",1
07:52,,,,,"SUB OUT by CALAMESE,MICHAEL",,,"SUB OUT by CALAMESE,MICHAEL",1
07:37,,,,,"FOUL  by BRASFIELD,KAM",,,"FOUL  by BRASFIELD,KAM",1
07:31,,,,,"FOUL  by EATON,JACK",,,"FOUL  by EATON,JACK",1
07:26,"MISS FT by SINE,TUCKER",,,,,,,"MISS FT by SINE,TUCKER",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
07:26,,,,,"SUB IN by SMITH,PRESTON",,,"SUB IN by SMITH,PRESTON",1
07:26,,,,,"SUB OUT by EATON,JACK",,,"SUB OUT by EATON,JACK",1
07:10,,28 (+3),,25,"GOOD LAYUP by SMITH,PRESTON(in the paint)",HXM 28-25 (+3),,"GOOD LAYUP by SMITH,PRESTON(in the paint)",1
06:53,,,,,"FOUL  by FISHER,ELI",,,"FOUL  by FISHER,ELI",1
06:53,"GOOD FT by WALKER,ART",29 (+4),,25,,CENTRE-M 29-25 (+4),,"GOOD FT by WALKER,ART",1
06:53,"GOOD FT by WALKER,ART",30 (+5),,25,,CENTRE-M 30-25 (+5),,"GOOD FT by WALKER,ART",1
06:53,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",1
06:53,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",1
06:53,"SUB OUT by CRUMP,DAWSON",,,,,,,"SUB OUT by CRUMP,DAWSON",1
06:53,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
06:53,,,,,"SUB IN by CRISWELL,SEAN",,,"SUB IN by CRISWELL,SEAN",1
06:53,,,,,"SUB OUT by FISHER,ELI",,,"SUB OUT by FISHER,ELI",1
06:38,,,,,"MISS LAYUP by CRISWELL,SEAN",,,"MISS LAYUP by CRISWELL,SEAN",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
06:30,,,,,"FOUL  by BRASFIELD,KAM",,,"FOUL  by BRASFIELD,KAM",1
06:30,"GOOD FT by AYERS,PERRY",31 (+6),,25,,CENTRE-M 31-25 (+6),,"GOOD FT by AYERS,PERRY",1
06:30,"MISS FT by AYERS,PERRY",,,,,,,"MISS FT by AYERS,PERRY",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
06:30,,,,,"SUB IN by EATON,JACK",,,"SUB IN by EATON,JACK",1
06:30,,,,,"SUB OUT by BRASFIELD,KAM",,,"SUB OUT by BRASFIELD,KAM",1
06:21,,,,,"MISS LAYUP by CRISWELL,SEAN",,,"MISS LAYUP by CRISWELL,SEAN",1
--,,,,,"REBOUND OFF by HALL,MARCIS",,,"REBOUND OFF by HALL,MARCIS",1
06:18,,31 (+4),,27,"GOOD LAYUP by HALL,MARCIS(in the paint)",HXM 31-27 (+4),,"GOOD LAYUP by HALL,MARCIS(in the paint)",1
06:05,,,,,"FOUL  by CRISWELL,SEAN",,,"FOUL  by CRISWELL,SEAN",1
06:05,"GOOD FT by WALKER,ART",32 (+5),,27,,CENTRE-M 32-27 (+5),,"GOOD FT by WALKER,ART",1
06:05,"GOOD FT by WALKER,ART",33 (+6),,27,,CENTRE-M 33-27 (+6),,"GOOD FT by WALKER,ART",1
06:05,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",1
06:05,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
05:47,"MISS 3PTR by WEST,CHRIS",,,,,,,"MISS 3PTR by WEST,CHRIS",1
--,"REBOUND OFF by SCHMUCKER,ZACH",,,,,,,"REBOUND OFF by SCHMUCKER,ZACH",1
05:43,,,,,"MISS FT by CRISWELL,SEAN",,,"MISS FT by CRISWELL,SEAN",1
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",1
05:43,"FOUL  by SCHMUCKER,ZACH",,,,,,,"FOUL  by SCHMUCKER,ZACH",1
05:28,"MISS 3PTR by GRIFFIN,JAROD",,,,,,,"MISS 3PTR by GRIFFIN,JAROD",1
--,,,,,"REBOUND DEF by CRISWELL,SEAN",,,"REBOUND DEF by CRISWELL,SEAN",1
05:18,,33 (+3),,30,"GOOD 3PTR by SMITH,PRESTON",HXM 33-30 (+3),,"GOOD 3PTR by SMITH,PRESTON",1
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",1
05:01,"MISS LAYUP by SCHMUCKER,ZACH",,,,,,,"MISS LAYUP by SCHMUCKER,ZACH",1
--,"REBOUND OFF by SCHMUCKER,ZACH",,,,,,,"REBOUND OFF by SCHMUCKER,ZACH",1
04:57,"GOOD 3PTR by AYERS,PERRY",36 (+6),,30,,CENTRE-M 36-30 (+6),,"GOOD 3PTR by AYERS,PERRY",1
04:42,"FOUL  by GRIFFIN,JAROD",,,,,,,"FOUL  by GRIFFIN,JAROD",1
04:42,,36 (+5),,31,"GOOD FT by EATON,JACK",HXM 36-31 (+5),,"GOOD FT by EATON,JACK",1
04:42,,36 (+4),,32,"GOOD FT by EATON,JACK",HXM 36-32 (+4),,"GOOD FT by EATON,JACK",1
04:42,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
04:42,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
04:21,"MISS LAYUP by AYERS,PERRY",,,,,,,"MISS LAYUP by AYERS,PERRY",1
--,,,,,"REBOUND DEF by HALL,MARCIS",,,"REBOUND DEF by HALL,MARCIS",1
04:13,,,,,"MISS LAYUP by LINK,JACOB",,,"MISS LAYUP by LINK,JACOB",1
--,"REBOUND DEF by RAKES,BAILEY",,,,,,,"REBOUND DEF by RAKES,BAILEY",1
04:09,"TURNOVER  by RAKES,BAILEY",,,,,,,"TURNOVER  by RAKES,BAILEY",1
04:09,"SUB IN by PURVIS,KC",,,,,,,"SUB IN by PURVIS,KC",1
04:09,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
04:04,"FOUL  by WALKER,ART",,,,,,,"FOUL  by WALKER,ART",1
04:04,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
04:04,,36 (+3),,33,"GOOD FT by CRISWELL,SEAN",HXM 36-33 (+3),,"GOOD FT by CRISWELL,SEAN",1
04:04,,36 (+2),,34,"GOOD FT by CRISWELL,SEAN",HXM 36-34 (+2),,"GOOD FT by CRISWELL,SEAN",1
04:04,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",1
04:04,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",1
03:43,"GOOD 3PTR by WALKER,ART",39 (+5),,34,,CENTRE-M 39-34 (+5),,"GOOD 3PTR by WALKER,ART",1
03:33,,39 (+3),,36,"GOOD LAYUP by LINK,JACOB(in the paint)",HXM 39-36 (+3),,"GOOD LAYUP by LINK,JACOB(in the paint)",1
03:06,"MISS JUMPER by AYERS,PERRY",,,,,,,"MISS JUMPER by AYERS,PERRY",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
03:02,,,,,"SUB IN by CALAMESE,MICHAEL",,,"SUB IN by CALAMESE,MICHAEL",1
03:02,,,,,"SUB OUT by LINK,JACOB",,,"SUB OUT by LINK,JACOB",1
02:54,,,,,"FOUL  by CRISWELL,SEAN",,,"FOUL  by CRISWELL,SEAN",1
02:38,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
02:34,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
02:34,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",1
02:34,,,,,"SUB IN by FISHER,ELI",,,"SUB IN by FISHER,ELI",1
02:34,,,,,"SUB OUT by CRISWELL,SEAN",,,"SUB OUT by CRISWELL,SEAN",1
02:17,"FOUL  by SINE,TUCKER",,,,,,,"FOUL  by SINE,TUCKER",1
02:17,,,,,"MISS FT by SMITH,PRESTON",,,"MISS FT by SMITH,PRESTON",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
02:17,,39 (+2),,37,"GOOD FT by SMITH,PRESTON",HXM 39-37 (+2),,"GOOD FT by SMITH,PRESTON",1
02:17,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",1
02:17,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
02:17,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
02:17,"SUB OUT by PURVIS,KC",,,,,,,"SUB OUT by PURVIS,KC",1
01:51,"GOOD 3PTR by GRIFFIN,JAROD",42 (+5),,37,,CENTRE-M 42-37 (+5),,"GOOD 3PTR by GRIFFIN,JAROD",1
--,"ASSIST  by CRUMP,DAWSON",,,,,,,"ASSIST  by CRUMP,DAWSON",1
01:38,,,,,"TURNOVER  by CALAMESE,MICHAEL",,,"TURNOVER  by CALAMESE,MICHAEL",1
01:37,"STEAL  by CRUMP,DAWSON",,,,,,,"STEAL  by CRUMP,DAWSON",1
01:35,"MISS LAYUP by CRUMP,DAWSON",,,,,,,"MISS LAYUP by CRUMP,DAWSON",1
--,"REBOUND OFF by WALKER,ART",,,,,,,"REBOUND OFF by WALKER,ART",1
01:32,"GOOD LAYUP by WALKER,ART(in the paint)",44 (+7),,37,,CENTRE-M 44-37 (+7),,"GOOD LAYUP by WALKER,ART(in the paint)",1
01:19,,44 (+5),,39,"GOOD LAYUP by HALL,MARCIS(in the paint)",HXM 44-39 (+5),,"GOOD LAYUP by HALL,MARCIS(in the paint)",1
01:05,"GOOD LAYUP by WALKER,ART(in the paint)",46 (+7),,39,,CENTRE-M 46-39 (+7),,"GOOD LAYUP by WALKER,ART(in the paint)",1
00:57,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:57,,,,,"SUB IN by CRAWFORD,TRACE",,,"SUB IN by CRAWFORD,TRACE",1
00:57,,,,,"SUB OUT by CALAMESE,MICHAEL",,,"SUB OUT by CALAMESE,MICHAEL",1
00:43,"FOUL  by AYERS,PERRY",,,,,,,"FOUL  by AYERS,PERRY",1
00:43,,,,,"MISS FT by HALL,MARCIS",,,"MISS FT by HALL,MARCIS",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
00:43,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",1
00:43,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",1
00:39,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:31,"MISS LAYUP by BATES,JACOB",,,,,,,"MISS LAYUP by BATES,JACOB",1
--,,,,,"REBOUND DEF by HALL,MARCIS",,,"REBOUND DEF by HALL,MARCIS",1
00:05,,,,,"TURNOVER  by FISHER,ELI",,,"TURNOVER  by FISHER,ELI",1
20:00,,,,,"SUB IN by EATON,JACK",,,"SUB IN by EATON,JACK",2
20:00,,,,,"SUB OUT by LINK,JACOB",,,"SUB OUT by LINK,JACOB",2
19:46,,,,,"TURNOVER  by HALL,MARCIS",,,"TURNOVER  by HALL,MARCIS",2
19:46,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
19:34,,,,,"TURNOVER  by HALL,MARCIS",,,"TURNOVER  by HALL,MARCIS",2
19:33,"STEAL  by RAKES,BAILEY",,,,,,,"STEAL  by RAKES,BAILEY",2
19:29,"TURNOVER  by RAKES,BAILEY",,,,,,,"TURNOVER  by RAKES,BAILEY",2
19:13,"FOUL  by RAKES,BAILEY",,,,,,,"FOUL  by RAKES,BAILEY",2
19:04,,46 (+4),,42,"GOOD 3PTR by EATON,JACK",HXM 46-42 (+4),,"GOOD 3PTR by EATON,JACK",2
--,,,,,"ASSIST  by BRASFIELD,KAM",,,"ASSIST  by BRASFIELD,KAM",2
18:56,"MISS JUMPER by SPITZER,JAKOB",,,,,,,"MISS JUMPER by SPITZER,JAKOB",2
--,,,,,"REBOUND DEF by BRASFIELD,KAM",,,"REBOUND DEF by BRASFIELD,KAM",2
18:46,,,,,"FOUL  by BRASFIELD,KAM",,,"FOUL  by BRASFIELD,KAM",2
18:24,"GOOD JUMPER by RAKES,BAILEY",48 (+6),,42,,CENTRE-M 48-42 (+6),,"GOOD JUMPER by RAKES,BAILEY",2
18:13,,,,,"MISS JUMPER by BRASFIELD,KAM",,,"MISS JUMPER by BRASFIELD,KAM",2
--,"REBOUND DEF by WALKER,ART",,,,,,,"REBOUND DEF by WALKER,ART",2
