Time Remaining,CENTRE-M,Away Team Score,Play Team Indicator,Home Team Score,FCMBB,Game Score,Team Indicator,Play,Period
15:27,"GOOD FT by WALKER,ART",43 (+14),,29,,CENTRE-M 43-29 (+14),,"GOOD FT by WALKER,ART",2
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",2
15:18,,,,,"MISS 3PTR by GUTIERREZ,SAM",,,"MISS 3PTR by GUTIERREZ,SAM",2
15:12,"MISS LAYUP by AYERS,PERRY",,,,,,,"MISS LAYUP by AYERS,PERRY",2
15:12,,,,,"BLOCK  by GUTIERREZ,SAM",,,"BLOCK  by GUTIERREZ,SAM",2
--,,,,,"REBOUND DEF by ANDERSON,JORDAN",,,"REBOUND DEF by ANDERSON,JORDAN",2
15:02,,43 (+12),,31,"GOOD LAYUP by GOGGANS,DANNY(in the paint)",FCMBB 43-31 (+12),,"GOOD LAYUP by GOGGANS,DANNY(in the paint)",2
14:41,"MISS JUMPER by WALKER,ART",,,,,,,"MISS JUMPER by WALKER,ART",2
--,,,,,"REBOUND DEF by MEYER,KYLE",,,"REBOUND DEF by MEYER,KYLE",2
14:28,,,,,"TURNOVER  by ANDERSON,JORDAN",,,"TURNOVER  by ANDERSON,JORDAN",2
14:27,"STEAL  by SINE,TUCKER",,,,,,,"STEAL  by SINE,TUCKER",2
14:25,"GOOD LAYUP by AYERS,PERRY(fastbreak)(in the paint)",45 (+14),,31,,CENTRE-M 45-31 (+14),,"GOOD LAYUP by AYERS,PERRY(fastbreak)(in the paint)",2
14:00,,,,,"MISS 3PTR by GUTIERREZ,SAM",,,"MISS 3PTR by GUTIERREZ,SAM",2
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",2
13:42,"MISS JUMPER by AYERS,PERRY",,,,,,,"MISS JUMPER by AYERS,PERRY",2
13:42,,,,,"BLOCK  by GOGGANS,DANNY",,,"BLOCK  by GOGGANS,DANNY",2
--,"REBOUND OFF by AYERS,PERRY",,,,,,,"REBOUND OFF by AYERS,PERRY",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
13:37,"MISS JUMPER by AYERS,PERRY",,,,,,,"MISS JUMPER by AYERS,PERRY",2
13:36,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",2
13:36,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",2
13:36,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",2
13:36,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",2
13:36,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",2
13:36,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",2
13:36,,,,,"SUB IN by KENNEDY,BORDEN",,,"SUB IN by KENNEDY,BORDEN",2
13:36,,,,,"SUB IN by ROBERTSON,BRAXTON",,,"SUB IN by ROBERTSON,BRAXTON",2
13:36,,,,,"SUB OUT by GOGGANS,DANNY",,,"SUB OUT by GOGGANS,DANNY",2
13:36,,,,,"SUB OUT by ANDERSON,JORDAN",,,"SUB OUT by ANDERSON,JORDAN",2
13:18,,45 (+12),,33,"GOOD JUMPER by GUTIERREZ,SAM(in the paint)",FCMBB 45-33 (+12),,"GOOD JUMPER by GUTIERREZ,SAM(in the paint)",2
13:06,"MISS JUMPER by SCHMUCKER,ZACH",,,,,,,"MISS JUMPER by SCHMUCKER,ZACH",2
--,,,,,"REBOUND DEF by ROBERTSON,BRAXTON",,,"REBOUND DEF by ROBERTSON,BRAXTON",2
12:46,,,,,"MISS 3PTR by MORRIS,KALE",,,"MISS 3PTR by MORRIS,KALE",2
--,"REBOUND DEF by WALKER,ART",,,,,,,"REBOUND DEF by WALKER,ART",2
12:37,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
12:18,"GOOD 3PTR by RAKES,BAILEY",48 (+15),,33,,CENTRE-M 48-33 (+15),,"GOOD 3PTR by RAKES,BAILEY",2
--,"ASSIST  by GRIFFIN,JAROD",,,,,,,"ASSIST  by GRIFFIN,JAROD",2
12:09,"FOUL  by SCHMUCKER,ZACH",,,,,,,"FOUL  by SCHMUCKER,ZACH",2
12:09,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",2
12:09,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",2
12:09,,,,,"SUB IN by BEINEKE,JOHN",,,"SUB IN by BEINEKE,JOHN",2
12:09,,,,,"SUB OUT by MEYER,KYLE",,,"SUB OUT by MEYER,KYLE",2
11:51,,,,,"MISS JUMPER by ROBERTSON,BRAXTON",,,"MISS JUMPER by ROBERTSON,BRAXTON",2
--,,,,,"REBOUND OFF by BEINEKE,JOHN",,,"REBOUND OFF by BEINEKE,JOHN",2
11:47,"FOUL  by SPITZER,JAKOB",,,,,,,"FOUL  by SPITZER,JAKOB",2
11:47,,,,,"MISS FT by BEINEKE,JOHN",,,"MISS FT by BEINEKE,JOHN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
11:47,,48 (+14),,34,"GOOD FT by BEINEKE,JOHN",FCMBB 48-34 (+14),,"GOOD FT by BEINEKE,JOHN",2
11:29,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",2
--,,,,,"REBOUND DEF by MORRIS,KALE",,,"REBOUND DEF by MORRIS,KALE",2
11:13,"FOUL  by GRIFFIN,JAROD",,,,,,,"FOUL  by GRIFFIN,JAROD",2
11:04,,,,,"MISS 3PTR by MORRIS,KALE",,,"MISS 3PTR by MORRIS,KALE",2
--,,,,,"REBOUND OFF by GUTIERREZ,SAM",,,"REBOUND OFF by GUTIERREZ,SAM",2
10:59,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",2
10:59,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",2
10:46,,48 (+11),,37,"GOOD 3PTR by GUTIERREZ,SAM",FCMBB 48-37 (+11),,"GOOD 3PTR by GUTIERREZ,SAM",2
--,,,,,"ASSIST  by BEINEKE,JOHN",,,"ASSIST  by BEINEKE,JOHN",2
10:28,"MISS 3PTR by AYERS,PERRY",,,,,,,"MISS 3PTR by AYERS,PERRY",2
--,,,,,"REBOUND DEF by ROBERTSON,BRAXTON",,,"REBOUND DEF by ROBERTSON,BRAXTON",2
10:04,,48 (+9),,39,"GOOD LAYUP by BEINEKE,JOHN(in the paint)",FCMBB 48-39 (+9),,"GOOD LAYUP by BEINEKE,JOHN(in the paint)",2
--,,,,,"ASSIST  by ROBERTSON,BRAXTON",,,"ASSIST  by ROBERTSON,BRAXTON",2
09:56,TIMEOUT FULL by TEAM,,,,,,,TIMEOUT FULL by TEAM,2
09:52,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",2
09:52,"SUB IN by BROWNLEY,HOGAN",,,,,,,"SUB IN by BROWNLEY,HOGAN",2
09:52,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",2
09:52,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",2
09:52,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",2
09:52,"SUB OUT by CRUMP,DAWSON",,,,,,,"SUB OUT by CRUMP,DAWSON",2
09:49,"MISS JUMPER by BROWNLEY,HOGAN",,,,,,,"MISS JUMPER by BROWNLEY,HOGAN",2
--,"REBOUND OFF by BATES,JACOB",,,,,,,"REBOUND OFF by BATES,JACOB",2
09:46,"GOOD LAYUP by BATES,JACOB(in the paint)",50 (+11),,39,,CENTRE-M 50-39 (+11),,"GOOD LAYUP by BATES,JACOB(in the paint)",2
09:29,,,,,"MISS JUMPER by GUTIERREZ,SAM",,,"MISS JUMPER by GUTIERREZ,SAM",2
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",2
09:24,"GOOD LAYUP by AYERS,PERRY(fastbreak)(in the paint)",52 (+13),,39,,CENTRE-M 52-39 (+13),,"GOOD LAYUP by AYERS,PERRY(fastbreak)(in the paint)",2
--,"ASSIST  by SINE,TUCKER",,,,,,,"ASSIST  by SINE,TUCKER",2
09:13,,,,,"TURNOVER  by ROBERTSON,BRAXTON",,,"TURNOVER  by ROBERTSON,BRAXTON",2
09:13,,,,,"FOUL  by ROBERTSON,BRAXTON",,,"FOUL  by ROBERTSON,BRAXTON",2
09:11,,,,,"SUB IN by GOGGANS,DANNY",,,"SUB IN by GOGGANS,DANNY",2
09:11,,,,,"SUB IN by ANDERSON,JORDAN",,,"SUB IN by ANDERSON,JORDAN",2
09:11,,,,,"SUB OUT by ROBERTSON,BRAXTON",,,"SUB OUT by ROBERTSON,BRAXTON",2
09:11,,,,,"SUB OUT by KENNEDY,BORDEN",,,"SUB OUT by KENNEDY,BORDEN",2
09:00,"GOOD 3PTR by SCHMUCKER,ZACH",55 (+16),,39,,CENTRE-M 55-39 (+16),,"GOOD 3PTR by SCHMUCKER,ZACH",2
--,"ASSIST  by GRIFFIN,JAROD",,,,,,,"ASSIST  by GRIFFIN,JAROD",2
08:49,,55 (+14),,41,"GOOD LAYUP by BEINEKE,JOHN(in the paint)",FCMBB 55-41 (+14),,"GOOD LAYUP by BEINEKE,JOHN(in the paint)",2
08:34,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",2
08:34,"SUB OUT by BROWNLEY,HOGAN",,,,,,,"SUB OUT by BROWNLEY,HOGAN",2
08:28,"MISS 3PTR by GRIFFIN,JAROD",,,,,,,"MISS 3PTR by GRIFFIN,JAROD",2
--,,,,,"REBOUND DEF by ANDERSON,JORDAN",,,"REBOUND DEF by ANDERSON,JORDAN",2
08:17,,55 (+12),,43,"GOOD JUMPER by GOGGANS,DANNY",FCMBB 55-43 (+12),,"GOOD JUMPER by GOGGANS,DANNY",2
07:47,"MISS JUMPER by SINE,TUCKER",,,,,,,"MISS JUMPER by SINE,TUCKER",2
--,"REBOUND OFF by AYERS,PERRY",,,,,,,"REBOUND OFF by AYERS,PERRY",2
07:41,"MISS LAYUP by AYERS,PERRY",,,,,,,"MISS LAYUP by AYERS,PERRY",2
--,,,,,"REBOUND DEF by GOGGANS,DANNY",,,"REBOUND DEF by GOGGANS,DANNY",2
07:37,,,,,"MISS LAYUP by GOGGANS,DANNY",,,"MISS LAYUP by GOGGANS,DANNY",2
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
06:57,,,,,"FOUL  by BEINEKE,JOHN",,,"FOUL  by BEINEKE,JOHN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
06:57,"MISS FT by BATES,JACOB",,,,,,,"MISS FT by BATES,JACOB",2
06:57,"MISS FT by BATES,JACOB",,,,,,,"MISS FT by BATES,JACOB",2
--,"REBOUND OFF by BATES,JACOB",,,,,,,"REBOUND OFF by BATES,JACOB",2
06:57,"MISS LAYUP by GRIFFIN,JAROD",,,,,,,"MISS LAYUP by GRIFFIN,JAROD",2
--,"REBOUND OFF by SCHMUCKER,ZACH",,,,,,,"REBOUND OFF by SCHMUCKER,ZACH",2
06:57,"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",57 (+14),,43,,CENTRE-M 57-43 (+14),,"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",2
06:57,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",2
06:57,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",2
06:57,,,,,"SUB IN by MEYER,KYLE",,,"SUB IN by MEYER,KYLE",2
06:57,,,,,"SUB OUT by BEINEKE,JOHN",,,"SUB OUT by BEINEKE,JOHN",2
06:54,,,,,"TURNOVER  by GOGGANS,DANNY",,,"TURNOVER  by GOGGANS,DANNY",2
06:37,,,,,TIMEOUT FULL by TEAM,,,TIMEOUT FULL by TEAM,2
06:11,"MISS JUMPER by BATES,JACOB",,,,,,,"MISS JUMPER by BATES,JACOB",2
--,"REBOUND OFF by SCHMUCKER,ZACH",,,,,,,"REBOUND OFF by SCHMUCKER,ZACH",2
06:07,"MISS JUMPER by BATES,JACOB",,,,,,,"MISS JUMPER by BATES,JACOB",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
06:04,"FOUL  by SCHMUCKER,ZACH",,,,,,,"FOUL  by SCHMUCKER,ZACH",2
05:51,,,,,"MISS JUMPER by GUTIERREZ,SAM",,,"MISS JUMPER by GUTIERREZ,SAM",2
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",2
05:32,"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",59 (+16),,43,,CENTRE-M 59-43 (+16),,"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",2
--,"ASSIST  by AYERS,PERRY",,,,,,,"ASSIST  by AYERS,PERRY",2
05:12,,59 (+14),,45,"GOOD LAYUP by MEYER,KYLE(in the paint)",FCMBB 59-45 (+14),,"GOOD LAYUP by MEYER,KYLE(in the paint)",2
--,,,,,"ASSIST  by GOGGANS,DANNY",,,"ASSIST  by GOGGANS,DANNY",2
05:01,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
05:01,,,,,"SUB IN by BEINEKE,JOHN",,,"SUB IN by BEINEKE,JOHN",2
05:01,,,,,"SUB OUT by MEYER,KYLE",,,"SUB OUT by MEYER,KYLE",2
04:43,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",2
04:43,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",2
04:43,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",2
04:43,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",2
04:41,"GOOD LAYUP by BATES,JACOB(in the paint)",61 (+16),,45,,CENTRE-M 61-45 (+16),,"GOOD LAYUP by BATES,JACOB(in the paint)",2
04:38,,,,,"TURNOVER  by MORRIS,KALE",,,"TURNOVER  by MORRIS,KALE",2
04:13,"MISS LAYUP by RAKES,BAILEY",,,,,,,"MISS LAYUP by RAKES,BAILEY",2
--,,,,,"REBOUND DEF by GUTIERREZ,SAM",,,"REBOUND DEF by GUTIERREZ,SAM",2
04:03,,61 (+14),,47,"GOOD LAYUP by BEINEKE,JOHN(in the paint)",FCMBB 61-47 (+14),,"GOOD LAYUP by BEINEKE,JOHN(in the paint)",2
04:00,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
03:34,"GOOD LAYUP by RAKES,BAILEY(in the paint)",63 (+16),,47,,CENTRE-M 63-47 (+16),,"GOOD LAYUP by RAKES,BAILEY(in the paint)",2
03:34,,,,,"FOUL  by MORRIS,KALE",,,"FOUL  by MORRIS,KALE",2
03:34,"GOOD FT by RAKES,BAILEY",64 (+17),,47,,CENTRE-M 64-47 (+17),,"GOOD FT by RAKES,BAILEY",2
03:34,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",2
03:34,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",2
03:34,,,,,"SUB IN by KING,CAMERON",,,"SUB IN by KING,CAMERON",2
03:34,,,,,"SUB OUT by MORRIS,KALE",,,"SUB OUT by MORRIS,KALE",2
03:20,,64 (+15),,49,"GOOD LAYUP by BEINEKE,JOHN(in the paint)",FCMBB 64-49 (+15),,"GOOD LAYUP by BEINEKE,JOHN(in the paint)",2
--,,,,,"ASSIST  by KING,CAMERON",,,"ASSIST  by KING,CAMERON",2
03:20,"FOUL  by SPITZER,JAKOB",,,,,,,"FOUL  by SPITZER,JAKOB",2
03:20,,64 (+14),,50,"GOOD FT by BEINEKE,JOHN",FCMBB 64-50 (+14),,"GOOD FT by BEINEKE,JOHN",2
03:20,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",2
03:20,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",2
03:20,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",2
03:20,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",2
02:56,"TURNOVER  by AYERS,PERRY",,,,,,,"TURNOVER  by AYERS,PERRY",2
02:48,,,,,"TURNOVER  by BEINEKE,JOHN",,,"TURNOVER  by BEINEKE,JOHN",2
02:27,"MISS LAYUP by SINE,TUCKER",,,,,,,"MISS LAYUP by SINE,TUCKER",2
02:27,,,,,"BLOCK  by GOGGANS,DANNY",,,"BLOCK  by GOGGANS,DANNY",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
02:27,TIMEOUT FULL by TEAM,,,,,,,TIMEOUT FULL by TEAM,2
02:19,"MISS LAYUP by AYERS,PERRY",,,,,,,"MISS LAYUP by AYERS,PERRY",2
--,,,,,"REBOUND DEF by GOGGANS,DANNY",,,"REBOUND DEF by GOGGANS,DANNY",2
02:13,,,,,"MISS LAYUP by ANDERSON,JORDAN",,,"MISS LAYUP by ANDERSON,JORDAN",2
02:13,"BLOCK  by RAKES,BAILEY",,,,,,,"BLOCK  by RAKES,BAILEY",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
02:05,"FOUL  by BATES,JACOB",,,,,,,"FOUL  by BATES,JACOB",2
02:05,,64 (+13),,51,"GOOD FT by BEINEKE,JOHN",FCMBB 64-51 (+13),,"GOOD FT by BEINEKE,JOHN",2
02:05,,64 (+12),,52,"GOOD FT by BEINEKE,JOHN",FCMBB 64-52 (+12),,"GOOD FT by BEINEKE,JOHN",2
02:05,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",2
02:05,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",2
01:39,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
01:27,,,,,"MISS JUMPER by GOGGANS,DANNY",,,"MISS JUMPER by GOGGANS,DANNY",2
--,"REBOUND DEF by WALKER,ART",,,,,,,"REBOUND DEF by WALKER,ART",2
00:59,"MISS JUMPER by RAKES,BAILEY",,,,,,,"MISS JUMPER by RAKES,BAILEY",2
--,"REBOUND OFF by AYERS,PERRY",,,,,,,"REBOUND OFF by AYERS,PERRY",2
00:55,"GOOD LAYUP by AYERS,PERRY(in the paint)",66 (+14),,52,,CENTRE-M 66-52 (+14),,"GOOD LAYUP by AYERS,PERRY(in the paint)",2
00:55,TIMEOUT FULL by TEAM,,,,,,,TIMEOUT FULL by TEAM,2
00:55,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",2
00:55,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",2
00:52,,,,,"SUB IN by MORRIS,KALE",,,"SUB IN by MORRIS,KALE",2
00:52,,,,,"SUB OUT by BEINEKE,JOHN",,,"SUB OUT by BEINEKE,JOHN",2
00:47,,,,,"MISS 3PTR by MORRIS,KALE",,,"MISS 3PTR by MORRIS,KALE",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
00:45,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",2
00:45,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",2
00:45,,,,,"SUB IN by COLLIER,GAVIN",,,"SUB IN by COLLIER,GAVIN",2
00:45,,,,,"SUB OUT by KING,CAMERON",,,"SUB OUT by KING,CAMERON",2
00:44,"TURNOVER  by AYERS,PERRY",,,,,,,"TURNOVER  by AYERS,PERRY",2
00:44,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",2
00:44,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",2
00:42,,,,,"TURNOVER  by GOGGANS,DANNY",,,"TURNOVER  by GOGGANS,DANNY",2
00:38,"STEAL  by AYERS,PERRY",,,,,,,"STEAL  by AYERS,PERRY",2
00:20,"MISS 3PTR by SCHMUCKER,ZACH",,,,,,,"MISS 3PTR by SCHMUCKER,ZACH",2
--,,,,,"REBOUND DEF by GOGGANS,DANNY",,,"REBOUND DEF by GOGGANS,DANNY",2
00:13,,66 (+12),,54,"GOOD LAYUP by GUTIERREZ,SAM(fastbreak)(in the paint)",FCMBB 66-54 (+12),,"GOOD LAYUP by GUTIERREZ,SAM(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by GOGGANS,DANNY",,,"ASSIST  by GOGGANS,DANNY",2
00:13,"FOUL  by SCHMUCKER,ZACH",,,,,,,"FOUL  by SCHMUCKER,ZACH",2
00:13,,66 (+11),,55,"GOOD FT by GUTIERREZ,SAM",FCMBB 66-55 (+11),,"GOOD FT by GUTIERREZ,SAM",2
00:13,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",2
00:13,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",2
00:13,,,,,"SUB IN by KING,CAMERON",,,"SUB IN by KING,CAMERON",2
00:13,,,,,"SUB OUT by COLLIER,GAVIN",,,"SUB OUT by COLLIER,GAVIN",2
00:12,,,,,"FOUL  by GUTIERREZ,SAM",,,"FOUL  by GUTIERREZ,SAM",2
00:12,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",2
00:12,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",2
00:12,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",2
00:12,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",2
00:12,,,,,"SUB IN by KENNEDY,BORDEN",,,"SUB IN by KENNEDY,BORDEN",2
00:12,,,,,"SUB OUT by GUTIERREZ,SAM",,,"SUB OUT by GUTIERREZ,SAM",2
