Time Remaining,HXM,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-M,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",1
14:34,,7,,14 (+7),"GOOD DUNK by BATES,JACOB(in the paint)",CENTRE-M 7-14 (+7),,"GOOD DUNK by BATES,JACOB(in the paint)",1
--,,,,,"ASSIST  by RAKES,BAILEY",,,"ASSIST  by RAKES,BAILEY",1
14:24,"GOOD JUMPER by CALAMESE,MICHAEL",9,,14 (+5),,HXM 9-14 (+5),,"GOOD JUMPER by CALAMESE,MICHAEL",1
14:06,,,,,"TURNOVER  by BATES,JACOB",,,"TURNOVER  by BATES,JACOB",1
14:05,,,,,"SUB IN by CRUMP,DAWSON",,,"SUB IN by CRUMP,DAWSON",1
14:05,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",1
13:59,"GOOD LAYUP by HALL,MARCIS(in the paint)",11,,14 (+3),,HXM 11-14 (+3),,"GOOD LAYUP by HALL,MARCIS(in the paint)",1
--,"ASSIST  by CALAMESE,MICHAEL",,,,,,,"ASSIST  by CALAMESE,MICHAEL",1
13:34,,,,,"MISS 3PTR by WALKER,ART",,,"MISS 3PTR by WALKER,ART",1
--,"REBOUND DEF by EATON,JACK",,,,,,,"REBOUND DEF by EATON,JACK",1
13:24,"MISS LAYUP by SMITH,PRESTON",,,,,,,"MISS LAYUP by SMITH,PRESTON",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
13:10,,,,,"MISS JUMPER by AYERS,PERRY",,,"MISS JUMPER by AYERS,PERRY",1
--,,,,,"REBOUND OFF by BATES,JACOB",,,"REBOUND OFF by BATES,JACOB",1
13:04,"FOUL  by EATON,JACK",,,,,,,"FOUL  by EATON,JACK",1
13:04,,11,,15 (+4),"GOOD FT by WALKER,ART",CENTRE-M 11-15 (+4),,"GOOD FT by WALKER,ART",1
13:04,,11,,16 (+5),"GOOD FT by WALKER,ART",CENTRE-M 11-16 (+5),,"GOOD FT by WALKER,ART",1
13:04,"SUB IN by CRISWELL,SEAN",,,,,,,"SUB IN by CRISWELL,SEAN",1
13:04,"SUB IN by ROUSE,TREY",,,,,,,"SUB IN by ROUSE,TREY",1
13:04,"SUB OUT by EATON,JACK",,,,,,,"SUB OUT by EATON,JACK",1
13:04,"SUB OUT by HALL,MARCIS",,,,,,,"SUB OUT by HALL,MARCIS",1
13:04,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",1
13:04,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",1
13:04,,,,,"SUB OUT by AYERS,PERRY",,,"SUB OUT by AYERS,PERRY",1
13:04,,,,,"SUB OUT by WALKER,ART",,,"SUB OUT by WALKER,ART",1
12:53,"MISS JUMPER by FISHER,ELI",,,,,,,"MISS JUMPER by FISHER,ELI",1
--,,,,,"REBOUND DEF by GRIFFIN,JAROD",,,"REBOUND DEF by GRIFFIN,JAROD",1
12:38,,,,,"MISS LAYUP by CRUMP,DAWSON",,,"MISS LAYUP by CRUMP,DAWSON",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
12:30,,11,,18 (+7),"GOOD LAYUP by BATES,JACOB(in the paint)",CENTRE-M 11-18 (+7),,"GOOD LAYUP by BATES,JACOB(in the paint)",1
12:07,"TURNOVER  by FISHER,ELI",,,,,,,"TURNOVER  by FISHER,ELI",1
11:49,,,,,"MISS 3PTR by CRUMP,DAWSON",,,"MISS 3PTR by CRUMP,DAWSON",1
--,,,,,"REBOUND OFF by SCHMUCKER,ZACH",,,"REBOUND OFF by SCHMUCKER,ZACH",1
11:43,,,,,"MISS 3PTR by GRIFFIN,JAROD",,,"MISS 3PTR by GRIFFIN,JAROD",1
--,,,,,"REBOUND OFF by CRUMP,DAWSON",,,"REBOUND OFF by CRUMP,DAWSON",1
11:39,,11,,20 (+9),"GOOD LAYUP by CRUMP,DAWSON(in the paint)",CENTRE-M 11-20 (+9),,"GOOD LAYUP by CRUMP,DAWSON(in the paint)",1
11:28,"MISS LAYUP by CALAMESE,MICHAEL",,,,,,,"MISS LAYUP by CALAMESE,MICHAEL",1
--,,,,,"REBOUND DEF by GRIFFIN,JAROD",,,"REBOUND DEF by GRIFFIN,JAROD",1
11:17,,11,,22 (+11),"GOOD JUMPER by GRIFFIN,JAROD",CENTRE-M 11-22 (+11),,"GOOD JUMPER by GRIFFIN,JAROD",1
11:05,"GOOD 3PTR by FISHER,ELI",14,,22 (+8),,HXM 14-22 (+8),,"GOOD 3PTR by FISHER,ELI",1
10:44,,14,,24 (+10),"GOOD JUMPER by BATES,JACOB(in the paint)",CENTRE-M 14-24 (+10),,"GOOD JUMPER by BATES,JACOB(in the paint)",1
10:22,"MISS 3PTR by ROUSE,TREY",,,,,,,"MISS 3PTR by ROUSE,TREY",1
--,,,,,"REBOUND DEF by SCHMUCKER,ZACH",,,"REBOUND DEF by SCHMUCKER,ZACH",1
10:10,,,,,"MISS LAYUP by GRIFFIN,JAROD",,,"MISS LAYUP by GRIFFIN,JAROD",1
--,"REBOUND DEF by ROUSE,TREY",,,,,,,"REBOUND DEF by ROUSE,TREY",1
10:04,,,,,"FOUL  by CRUMP,DAWSON",,,"FOUL  by CRUMP,DAWSON",1
10:04,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
10:04,"MISS FT by ROUSE,TREY",,,,,,,"MISS FT by ROUSE,TREY",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
10:04,"MISS FT by ROUSE,TREY",,,,,,,"MISS FT by ROUSE,TREY",1
--,,,,,"REBOUND DEF by SCHMUCKER,ZACH",,,"REBOUND DEF by SCHMUCKER,ZACH",1
10:04,"SUB IN by HALL,MARCIS",,,,,,,"SUB IN by HALL,MARCIS",1
10:04,"SUB IN by BRASFIELD,KAM",,,,,,,"SUB IN by BRASFIELD,KAM",1
10:04,"SUB OUT by FISHER,ELI",,,,,,,"SUB OUT by FISHER,ELI",1
10:04,"SUB OUT by CALAMESE,MICHAEL",,,,,,,"SUB OUT by CALAMESE,MICHAEL",1
10:04,,,,,"SUB IN by AYERS,PERRY",,,"SUB IN by AYERS,PERRY",1
10:04,,,,,"SUB IN by PURVIS,KC",,,"SUB IN by PURVIS,KC",1
10:04,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",1
10:04,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",1
09:47,,,,,"MISS 3PTR by SCHMUCKER,ZACH",,,"MISS 3PTR by SCHMUCKER,ZACH",1
--,,,,,"REBOUND OFF by AYERS,PERRY",,,"REBOUND OFF by AYERS,PERRY",1
09:40,,14,,26 (+12),"GOOD LAYUP by PURVIS,KC(in the paint)",CENTRE-M 14-26 (+12),,"GOOD LAYUP by PURVIS,KC(in the paint)",1
--,,,,,"ASSIST  by AYERS,PERRY",,,"ASSIST  by AYERS,PERRY",1
09:24,,,,,"FOUL  by SINE,TUCKER",,,"FOUL  by SINE,TUCKER",1
09:24,"MISS FT by SMITH,PRESTON",,,,,,,"MISS FT by SMITH,PRESTON",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
09:24,"GOOD FT by SMITH,PRESTON",15,,26 (+11),,HXM 15-26 (+11),,"GOOD FT by SMITH,PRESTON",1
09:24,"SUB IN by EATON,JACK",,,,,,,"SUB IN by EATON,JACK",1
