Time Remaining,CENTMBB,Away Team Score,Play Team Indicator,Home Team Score,WUMBB,Game Score,Team Indicator,Play,Period
14:58,"GOOD FT by BATES,JACOB",6,,10 (+4),,CENTMBB 6-10 (-4),,"GOOD FT by BATES,JACOB",1
14:58,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",1
14:58,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",1
14:58,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
14:58,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",1
14:58,,,,,"SUB IN by VAN NEST,PARKER",,,"SUB IN by VAN NEST,PARKER",1
14:58,,,,,"SUB IN by MACIAS,ELIJAH",,,"SUB IN by MACIAS,ELIJAH",1
14:58,,,,,"SUB OUT by ETIENNE,RODSON",,,"SUB OUT by ETIENNE,RODSON",1
14:58,,,,,"SUB OUT by DUNN,MICHAEL",,,"SUB OUT by DUNN,MICHAEL",1
14:43,,,,,"TURNOVER  by WILCOX,NIGEL",,,"TURNOVER  by WILCOX,NIGEL",1
14:14,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",1
--,,,,,"REBOUND DEF by WILCOX,NIGEL",,,"REBOUND DEF by WILCOX,NIGEL",1
14:03,,,,,"TURNOVER  by JOHNSON,JOSH",,,"TURNOVER  by JOHNSON,JOSH",1
13:42,"MISS JUMPER by RAKES,BAILEY",,,,,,,"MISS JUMPER by RAKES,BAILEY",1
--,,,,,"REBOUND DEF by VAN NEST,PARKER",,,"REBOUND DEF by VAN NEST,PARKER",1
13:25,,,,,"TURNOVER  by JOHNSON,JOSH",,,"TURNOVER  by JOHNSON,JOSH",1
12:54,"MISS JUMPER by WALKER,ART",,,,,,,"MISS JUMPER by WALKER,ART",1
--,,,,,"REBOUND DEF by JOHNSON,JOSH",,,"REBOUND DEF by JOHNSON,JOSH",1
12:35,,,,,"MISS JUMPER by VAN NEST,PARKER",,,"MISS JUMPER by VAN NEST,PARKER",1
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",1
12:11,"GOOD JUMPER by RAKES,BAILEY",8,,10 (+2),,CENTMBB 8-10 (-2),,"GOOD JUMPER by RAKES,BAILEY",1
--,"ASSIST  by BATES,JACOB",,,,,,,"ASSIST  by BATES,JACOB",1
11:55,,,,,"TURNOVER  by TANKINS,ENRIQUE",,,"TURNOVER  by TANKINS,ENRIQUE",1
11:55,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",1
11:55,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
11:55,,,,,"SUB IN by TARPLIN,JUSTIN",,,"SUB IN by TARPLIN,JUSTIN",1
11:55,,,,,"SUB IN by NATION,AUSTIN",,,"SUB IN by NATION,AUSTIN",1
11:55,,,,,"SUB IN by CRESPO,CHRISTIAN",,,"SUB IN by CRESPO,CHRISTIAN",1
11:55,,,,,"SUB OUT by WILCOX,NIGEL",,,"SUB OUT by WILCOX,NIGEL",1
11:55,,,,,"SUB OUT by TANKINS,ENRIQUE",,,"SUB OUT by TANKINS,ENRIQUE",1
11:55,,,,,"SUB OUT by JOHNSON,JOSH",,,"SUB OUT by JOHNSON,JOSH",1
11:42,"GOOD JUMPER by SCHMUCKER,ZACH",10,,10,,CENTMBB 10-10 (0),,"GOOD JUMPER by SCHMUCKER,ZACH",1
--,"ASSIST  by RAKES,BAILEY",,,,,,,"ASSIST  by RAKES,BAILEY",1
11:20,,,,,"TURNOVER  by VAN NEST,PARKER",,,"TURNOVER  by VAN NEST,PARKER",1
11:20,"STEAL  by RAKES,BAILEY",,,,,,,"STEAL  by RAKES,BAILEY",1
11:14,,,,,"FOUL  by TARPLIN,JUSTIN",,,"FOUL  by TARPLIN,JUSTIN",1
11:14,"GOOD FT by RAKES,BAILEY",11 (+1),,10,,CENTMBB 11-10 (+1),,"GOOD FT by RAKES,BAILEY",1
11:14,"GOOD FT by RAKES,BAILEY",12 (+2),,10,,CENTMBB 12-10 (+2),,"GOOD FT by RAKES,BAILEY",1
11:14,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
11:14,"SUB IN by BROWNLEY,HOGAN",,,,,,,"SUB IN by BROWNLEY,HOGAN",1
11:14,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",1
11:14,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",1
11:14,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
11:14,"SUB OUT by CRUMP,DAWSON",,,,,,,"SUB OUT by CRUMP,DAWSON",1
11:01,,12,,12,"GOOD JUMPER by MACIAS,ELIJAH",WUMBB 12-12 (0),,"GOOD JUMPER by MACIAS,ELIJAH",1
--,,,,,"ASSIST  by CRESPO,CHRISTIAN",,,"ASSIST  by CRESPO,CHRISTIAN",1
10:41,"GOOD JUMPER by AYERS,PERRY",14 (+2),,12,,CENTMBB 14-12 (+2),,"GOOD JUMPER by AYERS,PERRY",1
--,"ASSIST  by SINE,TUCKER",,,,,,,"ASSIST  by SINE,TUCKER",1
10:29,,,,,"MISS 3PTR by CRESPO,CHRISTIAN",,,"MISS 3PTR by CRESPO,CHRISTIAN",1
--,,,,,"REBOUND OFF by NATION,AUSTIN",,,"REBOUND OFF by NATION,AUSTIN",1
10:26,,,,,"MISS 3PTR by MACIAS,ELIJAH",,,"MISS 3PTR by MACIAS,ELIJAH",1
--,"REBOUND DEF by GRIFFIN,JAROD",,,,,,,"REBOUND DEF by GRIFFIN,JAROD",1
10:19,"TURNOVER  by SINE,TUCKER",,,,,,,"TURNOVER  by SINE,TUCKER",1
10:09,,,,,"MISS JUMPER by TARPLIN,JUSTIN",,,"MISS JUMPER by TARPLIN,JUSTIN",1
--,"REBOUND DEF by BROWNLEY,HOGAN",,,,,,,"REBOUND DEF by BROWNLEY,HOGAN",1
09:53,"MISS 3PTR by AYERS,PERRY",,,,,,,"MISS 3PTR by AYERS,PERRY",1
--,"REBOUND OFF by SINE,TUCKER",,,,,,,"REBOUND OFF by SINE,TUCKER",1
09:47,"MISS 3PTR by GRIFFIN,JAROD",,,,,,,"MISS 3PTR by GRIFFIN,JAROD",1
--,"REBOUND OFF by SCHMUCKER,ZACH",,,,,,,"REBOUND OFF by SCHMUCKER,ZACH",1
09:39,"GOOD JUMPER by SCHMUCKER,ZACH",16 (+4),,12,,CENTMBB 16-12 (+4),,"GOOD JUMPER by SCHMUCKER,ZACH",1
--,"ASSIST  by BROWNLEY,HOGAN",,,,,,,"ASSIST  by BROWNLEY,HOGAN",1
09:17,,,,,"TURNOVER  by NATION,AUSTIN",,,"TURNOVER  by NATION,AUSTIN",1
09:16,"STEAL  by SINE,TUCKER",,,,,,,"STEAL  by SINE,TUCKER",1
09:02,"GOOD 3PTR by SINE,TUCKER",19 (+7),,12,,CENTMBB 19-12 (+7),,"GOOD 3PTR by SINE,TUCKER",1
--,"ASSIST  by GRIFFIN,JAROD",,,,,,,"ASSIST  by GRIFFIN,JAROD",1
08:59,,,,,"SUB IN by TANKINS,ENRIQUE",,,"SUB IN by TANKINS,ENRIQUE",1
08:59,,,,,"SUB OUT by VAN NEST,PARKER",,,"SUB OUT by VAN NEST,PARKER",1
08:44,,,,,"MISS JUMPER by TANKINS,ENRIQUE",,,"MISS JUMPER by TANKINS,ENRIQUE",1
--,"REBOUND DEF by BROWNLEY,HOGAN",,,,,,,"REBOUND DEF by BROWNLEY,HOGAN",1
08:39,"TURNOVER  by SINE,TUCKER",,,,,,,"TURNOVER  by SINE,TUCKER",1
08:39,,,,,"SUB IN by WILCOX,NIGEL",,,"SUB IN by WILCOX,NIGEL",1
08:39,,,,,"SUB IN by JOHNSON,JOSH",,,"SUB IN by JOHNSON,JOSH",1
08:39,,,,,"SUB OUT by TARPLIN,JUSTIN",,,"SUB OUT by TARPLIN,JUSTIN",1
08:39,,,,,"SUB OUT by MACIAS,ELIJAH",,,"SUB OUT by MACIAS,ELIJAH",1
08:18,"FOUL  by AYERS,PERRY",,,,,,,"FOUL  by AYERS,PERRY",1
08:18,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
08:18,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
08:18,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",1
08:18,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
08:18,"SUB OUT by BROWNLEY,HOGAN",,,,,,,"SUB OUT by BROWNLEY,HOGAN",1
08:18,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
08:11,,19 (+5),,14,"GOOD JUMPER by WILCOX,NIGEL",WUMBB 19-14 (+5),,"GOOD JUMPER by WILCOX,NIGEL",1
--,,,,,"ASSIST  by JOHNSON,JOSH",,,"ASSIST  by JOHNSON,JOSH",1
07:41,,,,,"FOUL  by NATION,AUSTIN",,,"FOUL  by NATION,AUSTIN",1
07:23,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",1
--,,,,,"REBOUND DEF by TANKINS,ENRIQUE",,,"REBOUND DEF by TANKINS,ENRIQUE",1
07:13,,,,,"MISS JUMPER by TANKINS,ENRIQUE",,,"MISS JUMPER by TANKINS,ENRIQUE",1
--,,,,,"REBOUND OFF by WILCOX,NIGEL",,,"REBOUND OFF by WILCOX,NIGEL",1
07:09,,,,,"MISS 3PTR by JOHNSON,JOSH",,,"MISS 3PTR by JOHNSON,JOSH",1
--,,,,,"REBOUND OFF by TANKINS,ENRIQUE",,,"REBOUND OFF by TANKINS,ENRIQUE",1
07:06,,19 (+3),,16,"GOOD JUMPER by TANKINS,ENRIQUE",WUMBB 19-16 (+3),,"GOOD JUMPER by TANKINS,ENRIQUE",1
07:03,,,,,"SUB IN by ETIENNE,RODSON",,,"SUB IN by ETIENNE,RODSON",1
07:03,,,,,"SUB OUT by NATION,AUSTIN",,,"SUB OUT by NATION,AUSTIN",1
06:42,"GOOD JUMPER by BATES,JACOB",21 (+5),,16,,CENTMBB 21-16 (+5),,"GOOD JUMPER by BATES,JACOB",1
--,"ASSIST  by GRIFFIN,JAROD",,,,,,,"ASSIST  by GRIFFIN,JAROD",1
06:25,,21 (+2),,19,"GOOD 3PTR by CRESPO,CHRISTIAN",WUMBB 21-19 (+2),,"GOOD 3PTR by CRESPO,CHRISTIAN",1
--,,,,,"ASSIST  by JOHNSON,JOSH",,,"ASSIST  by JOHNSON,JOSH",1
06:05,"TURNOVER  by AYERS,PERRY",,,,,,,"TURNOVER  by AYERS,PERRY",1
06:04,,,,,"STEAL  by CRESPO,CHRISTIAN",,,"STEAL  by CRESPO,CHRISTIAN",1
06:01,,21,,21,"GOOD JUMPER by CRESPO,CHRISTIAN",WUMBB 21-21 (0),,"GOOD JUMPER by CRESPO,CHRISTIAN",1
05:43,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
05:43,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",1
05:30,"GOOD JUMPER by BATES,JACOB",23 (+2),,21,,CENTMBB 23-21 (+2),,"GOOD JUMPER by BATES,JACOB",1
--,"ASSIST  by SINE,TUCKER",,,,,,,"ASSIST  by SINE,TUCKER",1
05:14,,,,,"MISS JUMPER by WILCOX,NIGEL",,,"MISS JUMPER by WILCOX,NIGEL",1
--,"REBOUND DEF by WALKER,ART",,,,,,,"REBOUND DEF by WALKER,ART",1
05:04,"GOOD 3PTR by WALKER,ART",26 (+5),,21,,CENTMBB 26-21 (+5),,"GOOD 3PTR by WALKER,ART",1
--,"ASSIST  by RAKES,BAILEY",,,,,,,"ASSIST  by RAKES,BAILEY",1
04:46,,26 (+2),,24,"GOOD 3PTR by CRESPO,CHRISTIAN",WUMBB 26-24 (+2),,"GOOD 3PTR by CRESPO,CHRISTIAN",1
--,,,,,"ASSIST  by JOHNSON,JOSH",,,"ASSIST  by JOHNSON,JOSH",1
04:18,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",1
--,"REBOUND OFF by GRIFFIN,JAROD",,,,,,,"REBOUND OFF by GRIFFIN,JAROD",1
04:10,,,,,"FOUL  by WILCOX,NIGEL",,,"FOUL  by WILCOX,NIGEL",1
04:10,"GOOD FT by SINE,TUCKER",27 (+3),,24,,CENTMBB 27-24 (+3),,"GOOD FT by SINE,TUCKER",1
04:10,"GOOD FT by SINE,TUCKER",28 (+4),,24,,CENTMBB 28-24 (+4),,"GOOD FT by SINE,TUCKER",1
04:10,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",1
04:10,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
03:49,,,,,"MISS JUMPER by TANKINS,ENRIQUE",,,"MISS JUMPER by TANKINS,ENRIQUE",1
--,"REBOUND DEF by SINE,TUCKER",,,,,,,"REBOUND DEF by SINE,TUCKER",1
03:26,"MISS 3PTR by GRIFFIN,JAROD",,,,,,,"MISS 3PTR by GRIFFIN,JAROD",1
--,,,,,"REBOUND DEF by ETIENNE,RODSON",,,"REBOUND DEF by ETIENNE,RODSON",1
03:17,,28 (+2),,26,"GOOD JUMPER by JOHNSON,JOSH",WUMBB 28-26 (+2),,"GOOD JUMPER by JOHNSON,JOSH",1
--,,,,,"ASSIST  by TANKINS,ENRIQUE",,,"ASSIST  by TANKINS,ENRIQUE",1
02:53,"GOOD JUMPER by RAKES,BAILEY",30 (+4),,26,,CENTMBB 30-26 (+4),,"GOOD JUMPER by RAKES,BAILEY",1
--,"ASSIST  by AYERS,PERRY",,,,,,,"ASSIST  by AYERS,PERRY",1
02:31,,,,,"MISS JUMPER by ETIENNE,RODSON",,,"MISS JUMPER by ETIENNE,RODSON",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
02:05,"MISS JUMPER by AYERS,PERRY",,,,,,,"MISS JUMPER by AYERS,PERRY",1
--,,,,,"REBOUND DEF by WILCOX,NIGEL",,,"REBOUND DEF by WILCOX,NIGEL",1
01:58,,,,,"TURNOVER  by JOHNSON,JOSH",,,"TURNOVER  by JOHNSON,JOSH",1
01:58,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",1
01:58,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
01:58,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
01:58,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",1
01:58,,,,,"SUB IN by VAN NEST,PARKER",,,"SUB IN by VAN NEST,PARKER",1
01:58,,,,,"SUB IN by DUNN,MICHAEL",,,"SUB IN by DUNN,MICHAEL",1
01:58,,,,,"SUB OUT by CRESPO,CHRISTIAN",,,"SUB OUT by CRESPO,CHRISTIAN",1
01:58,,,,,"SUB OUT by WILCOX,NIGEL",,,"SUB OUT by WILCOX,NIGEL",1
01:33,"MISS 3PTR by RAKES,BAILEY",,,,,,,"MISS 3PTR by RAKES,BAILEY",1
--,,,,,"REBOUND DEF by ETIENNE,RODSON",,,"REBOUND DEF by ETIENNE,RODSON",1
01:13,,30 (+2),,28,"GOOD JUMPER by ETIENNE,RODSON",WUMBB 30-28 (+2),,"GOOD JUMPER by ETIENNE,RODSON",1
--,,,,,"ASSIST  by TANKINS,ENRIQUE",,,"ASSIST  by TANKINS,ENRIQUE",1
00:53,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",1
--,"REBOUND OFF by RAKES,BAILEY",,,,,,,"REBOUND OFF by RAKES,BAILEY",1
00:41,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
00:39,,,,,"SUB IN by MACIAS,ELIJAH",,,"SUB IN by MACIAS,ELIJAH",1
00:39,,,,,"SUB OUT by JOHNSON,JOSH",,,"SUB OUT by JOHNSON,JOSH",1
00:15,"MISS JUMPER by SPITZER,JAKOB",,,,,,,"MISS JUMPER by SPITZER,JAKOB",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
00:14,,,,,"FOUL  by TANKINS,ENRIQUE",,,"FOUL  by TANKINS,ENRIQUE",1
00:14,"GOOD FT by BATES,JACOB",31 (+3),,28,,CENTMBB 31-28 (+3),,"GOOD FT by BATES,JACOB",1
00:14,"GOOD FT by BATES,JACOB",32 (+4),,28,,CENTMBB 32-28 (+4),,"GOOD FT by BATES,JACOB",1
00:14,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",1
00:14,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
00:14,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
00:14,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",1
00:14,,,,,"SUB IN by JOHNSON,JOSH",,,"SUB IN by JOHNSON,JOSH",1
00:14,,,,,"SUB OUT by ETIENNE,RODSON",,,"SUB OUT by ETIENNE,RODSON",1
00:07,,32 (+2),,30,"GOOD JUMPER by TANKINS,ENRIQUE",WUMBB 32-30 (+2),,"GOOD JUMPER by TANKINS,ENRIQUE",1
19:39,"MISS 3PTR by GRIFFIN,JAROD",,,,,,,"MISS 3PTR by GRIFFIN,JAROD",2
--,,,,,"REBOUND DEF by ETIENNE,RODSON",,,"REBOUND DEF by ETIENNE,RODSON",2
19:15,,,,,"MISS JUMPER by WILCOX,NIGEL",,,"MISS JUMPER by WILCOX,NIGEL",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
18:39,"MISS 3PTR by RAKES,BAILEY",,,,,,,"MISS 3PTR by RAKES,BAILEY",2
--,,,,,"REBOUND DEF by DUNN,MICHAEL",,,"REBOUND DEF by DUNN,MICHAEL",2
18:17,,32,,32,"GOOD JUMPER by WILCOX,NIGEL",WUMBB 32-32 (0),,"GOOD JUMPER by WILCOX,NIGEL",2
--,,,,,"ASSIST  by TANKINS,ENRIQUE",,,"ASSIST  by TANKINS,ENRIQUE",2
17:56,"GOOD JUMPER by SINE,TUCKER",34 (+2),,32,,CENTMBB 34-32 (+2),,"GOOD JUMPER by SINE,TUCKER",2
--,"ASSIST  by AYERS,PERRY",,,,,,,"ASSIST  by AYERS,PERRY",2
17:42,,,,,"MISS 3PTR by JOHNSON,JOSH",,,"MISS 3PTR by JOHNSON,JOSH",2
--,,,,,"REBOUND OFF by WILCOX,NIGEL",,,"REBOUND OFF by WILCOX,NIGEL",2
17:36,,,,,"TURNOVER  by ETIENNE,RODSON",,,"TURNOVER  by ETIENNE,RODSON",2
17:34,"STEAL  by BATES,JACOB",,,,,,,"STEAL  by BATES,JACOB",2
17:32,"TURNOVER  by AYERS,PERRY",,,,,,,"TURNOVER  by AYERS,PERRY",2
17:29,,34,,34,"GOOD JUMPER by DUNN,MICHAEL",WUMBB 34-34 (0),,"GOOD JUMPER by DUNN,MICHAEL",2
17:18,,,,,"STEAL  by ETIENNE,RODSON",,,"STEAL  by ETIENNE,RODSON",2
17:03,"MISS JUMPER by AYERS,PERRY",,,,,,,"MISS JUMPER by AYERS,PERRY",2
--,,,,,"REBOUND DEF by DUNN,MICHAEL",,,"REBOUND DEF by DUNN,MICHAEL",2
16:53,,,,,"TURNOVER  by JOHNSON,JOSH",,,"TURNOVER  by JOHNSON,JOSH",2
16:52,"STEAL  by BATES,JACOB",,,,,,,"STEAL  by BATES,JACOB",2
16:47,"TURNOVER  by SINE,TUCKER",,,,,,,"TURNOVER  by SINE,TUCKER",2
16:47,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",2
16:47,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",2
16:47,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",2
16:47,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",2
16:26,,34,,36 (+2),"GOOD JUMPER by WILCOX,NIGEL",WUMBB 34-36 (-2),,"GOOD JUMPER by WILCOX,NIGEL",2
--,,,,,"ASSIST  by JOHNSON,JOSH",,,"ASSIST  by JOHNSON,JOSH",2
16:14,"FOUL  by SPITZER,JAKOB",,,,,,,"FOUL  by SPITZER,JAKOB",2
16:14,"TURNOVER  by SPITZER,JAKOB",,,,,,,"TURNOVER  by SPITZER,JAKOB",2
16:14,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",2
16:14,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",2
16:14,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",2
16:14,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",2
16:14,,,,,"SUB IN by CRESPO,CHRISTIAN",,,"SUB IN by CRESPO,CHRISTIAN",2
16:14,,,,,"SUB OUT by ETIENNE,RODSON",,,"SUB OUT by ETIENNE,RODSON",2
16:08,,34,,38 (+4),"GOOD JUMPER by WILCOX,NIGEL",WUMBB 34-38 (-4),,"GOOD JUMPER by WILCOX,NIGEL",2
--,,,,,"ASSIST  by CRESPO,CHRISTIAN",,,"ASSIST  by CRESPO,CHRISTIAN",2
15:45,"GOOD JUMPER by SPITZER,JAKOB",36,,38 (+2),,CENTMBB 36-38 (-2),,"GOOD JUMPER by SPITZER,JAKOB",2
15:32,,,,,"FOUL  by TANKINS,ENRIQUE",,,"FOUL  by TANKINS,ENRIQUE",2
15:32,,,,,"TURNOVER  by TANKINS,ENRIQUE",,,"TURNOVER  by TANKINS,ENRIQUE",2
15:01,"MISS 3PTR by GRIFFIN,JAROD",,,,,,,"MISS 3PTR by GRIFFIN,JAROD",2
--,,,,,"REBOUND DEF by WILCOX,NIGEL",,,"REBOUND DEF by WILCOX,NIGEL",2
15:01,"FOUL  by SPITZER,JAKOB",,,,,,,"FOUL  by SPITZER,JAKOB",2
14:38,,36,,40 (+4),"GOOD JUMPER by JOHNSON,JOSH",WUMBB 36-40 (-4),,"GOOD JUMPER by JOHNSON,JOSH",2
--,,,,,"ASSIST  by TANKINS,ENRIQUE",,,"ASSIST  by TANKINS,ENRIQUE",2
