Time Remaining,CC-M,Away Team Score,Play Team Indicator,Home Team Score,EC-M,Game Score,Team Indicator,Play,Period
17:16,,6 (+4),,2,"GOOD LAYUP by DOLIBOA,AUSTIN(in the paint)",EC-M 6-2 (+4),,"GOOD LAYUP by DOLIBOA,AUSTIN(in the paint)",1
16:55,"MISS LAYUP by SINE,TUCKER",,,,,,,"MISS LAYUP by SINE,TUCKER",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
16:53,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
16:53,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",1
16:47,"MISS 3PTR by RAKES,BAILEY",,,,,,,"MISS 3PTR by RAKES,BAILEY",1
--,"REBOUND OFF by BATES,JACOB",,,,,,,"REBOUND OFF by BATES,JACOB",1
16:42,"GOOD LAYUP by RAKES,BAILEY(in the paint)",8 (+6),,2,,CC-M 8-2 (+6),,"GOOD LAYUP by RAKES,BAILEY(in the paint)",1
--,"ASSIST  by BATES,JACOB",,,,,,,"ASSIST  by BATES,JACOB",1
16:29,"FOUL  by AYERS,PERRY",,,,,,,"FOUL  by AYERS,PERRY",1
16:29,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
16:29,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",1
16:29,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
16:29,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
16:22,,8 (+4),,4,"GOOD LAYUP by JR,DARRELL HUTCHISON(in the paint)",EC-M 8-4 (+4),,"GOOD LAYUP by JR,DARRELL HUTCHISON(in the paint)",1
--,,,,,"ASSIST  by ZOLMAN,CHAINEY",,,"ASSIST  by ZOLMAN,CHAINEY",1
16:06,"GOOD LAYUP by AYERS,PERRY(in the paint)",10 (+6),,4,,CC-M 10-4 (+6),,"GOOD LAYUP by AYERS,PERRY(in the paint)",1
--,"ASSIST  by GRIFFIN,JAROD",,,,,,,"ASSIST  by GRIFFIN,JAROD",1
15:57,,10 (+4),,6,"GOOD LAYUP by WILSON-THOMAS,ELIJAH(in the paint)",EC-M 10-6 (+4),,"GOOD LAYUP by WILSON-THOMAS,ELIJAH(in the paint)",1
--,,,,,"ASSIST  by BONIN,BLAKE",,,"ASSIST  by BONIN,BLAKE",1
15:38,,,,,"FOUL  by DOLIBOA,AUSTIN",,,"FOUL  by DOLIBOA,AUSTIN",1
15:38,"GOOD FT by AYERS,PERRY",11 (+5),,6,,CC-M 11-6 (+5),,"GOOD FT by AYERS,PERRY",1
15:38,"GOOD FT by AYERS,PERRY",12 (+6),,6,,CC-M 12-6 (+6),,"GOOD FT by AYERS,PERRY",1
15:38,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",1
15:38,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",1
15:27,,,,,"MISS LAYUP by BONIN,BLAKE",,,"MISS LAYUP by BONIN,BLAKE",1
15:27,"BLOCK  by BATES,JACOB",,,,,,,"BLOCK  by BATES,JACOB",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
15:23,"FOUL  by WALKER,ART",,,,,,,"FOUL  by WALKER,ART",1
15:23,,12 (+5),,7,"GOOD FT by JR,DARRELL HUTCHISON",EC-M 12-7 (+5),,"GOOD FT by JR,DARRELL HUTCHISON",1
15:23,,12 (+4),,8,"GOOD FT by JR,DARRELL HUTCHISON",EC-M 12-8 (+4),,"GOOD FT by JR,DARRELL HUTCHISON",1
14:56,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",1
--,,,,,"REBOUND DEF by JR,DARRELL HUTCHISON",,,"REBOUND DEF by JR,DARRELL HUTCHISON",1
14:35,,,,,"MISS JUMPER by DOLIBOA,AUSTIN",,,"MISS JUMPER by DOLIBOA,AUSTIN",1
--,,,,,"REBOUND OFF by ZOLMAN,CHAINEY",,,"REBOUND OFF by ZOLMAN,CHAINEY",1
14:31,,,,,"MISS LAYUP by ZOLMAN,CHAINEY",,,"MISS LAYUP by ZOLMAN,CHAINEY",1
--,,,,,"REBOUND OFF by ZOLMAN,CHAINEY",,,"REBOUND OFF by ZOLMAN,CHAINEY",1
14:25,,12 (+1),,11,"GOOD 3PTR by ZOLMAN,CHAINEY",EC-M 12-11 (+1),,"GOOD 3PTR by ZOLMAN,CHAINEY",1
14:08,"GOOD 3PTR by WALKER,ART",15 (+4),,11,,CC-M 15-11 (+4),,"GOOD 3PTR by WALKER,ART",1
--,"ASSIST  by CRUMP,DAWSON",,,,,,,"ASSIST  by CRUMP,DAWSON",1
13:49,,,,,"MISS JUMPER by JR,DARRELL HUTCHISON",,,"MISS JUMPER by JR,DARRELL HUTCHISON",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
13:38,"MISS LAYUP by AYERS,PERRY",,,,,,,"MISS LAYUP by AYERS,PERRY",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
13:36,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
13:36,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",1
13:36,,,,,"SUB IN by JR,KENNETH STALLING",,,"SUB IN by JR,KENNETH STALLING",1
13:36,,,,,"SUB IN by ELDOSOUGI,TARIG",,,"SUB IN by ELDOSOUGI,TARIG",1
13:36,,,,,"SUB IN by BARNES,JAMEL",,,"SUB IN by BARNES,JAMEL",1
13:36,,,,,"SUB OUT by DOLIBOA,AUSTIN",,,"SUB OUT by DOLIBOA,AUSTIN",1
13:36,,,,,"SUB OUT by WILSON-THOMAS,ELIJAH",,,"SUB OUT by WILSON-THOMAS,ELIJAH",1
13:36,,,,,"SUB OUT by ZOLMAN,CHAINEY",,,"SUB OUT by ZOLMAN,CHAINEY",1
13:28,"GOOD 3PTR by CRUMP,DAWSON",18 (+7),,11,,CC-M 18-11 (+7),,"GOOD 3PTR by CRUMP,DAWSON",1
--,"ASSIST  by SINE,TUCKER",,,,,,,"ASSIST  by SINE,TUCKER",1
13:12,,,,,"MISS 3PTR by JR,KENNETH STALLING",,,"MISS 3PTR by JR,KENNETH STALLING",1
--,"REBOUND DEF by SINE,TUCKER",,,,,,,"REBOUND DEF by SINE,TUCKER",1
12:57,"MISS LAYUP by BATES,JACOB",,,,,,,"MISS LAYUP by BATES,JACOB",1
12:57,,,,,"BLOCK  by JR,KENNETH STALLING",,,"BLOCK  by JR,KENNETH STALLING",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
12:46,"MISS 3PTR by CRUMP,DAWSON",,,,,,,"MISS 3PTR by CRUMP,DAWSON",1
--,,,,,"REBOUND DEF by BARNES,JAMEL",,,"REBOUND DEF by BARNES,JAMEL",1
12:36,,,,,"TURNOVER  by JR,DARRELL HUTCHISON",,,"TURNOVER  by JR,DARRELL HUTCHISON",1
12:36,,,,,"FOUL  by JR,DARRELL HUTCHISON",,,"FOUL  by JR,DARRELL HUTCHISON",1
12:34,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
12:34,,,,,"SUB IN by ZOLMAN,CHAINEY",,,"SUB IN by ZOLMAN,CHAINEY",1
12:34,,,,,"SUB OUT by JR,DARRELL HUTCHISON",,,"SUB OUT by JR,DARRELL HUTCHISON",1
12:18,"MISS 3PTR by GRIFFIN,JAROD",,,,,,,"MISS 3PTR by GRIFFIN,JAROD",1
--,,,,,"REBOUND DEF by BARNES,JAMEL",,,"REBOUND DEF by BARNES,JAMEL",1
11:57,,,,,"MISS LAYUP by BONIN,BLAKE",,,"MISS LAYUP by BONIN,BLAKE",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
11:50,"GOOD LAYUP by WALKER,ART(fastbreak)(in the paint)",20 (+9),,11,,CC-M 20-11 (+9),,"GOOD LAYUP by WALKER,ART(fastbreak)(in the paint)",1
--,"ASSIST  by BATES,JACOB",,,,,,,"ASSIST  by BATES,JACOB",1
11:50,,,,,"FOUL  by ELDOSOUGI,TARIG",,,"FOUL  by ELDOSOUGI,TARIG",1
11:50,"GOOD FT by WALKER,ART",21 (+10),,11,,CC-M 21-11 (+10),,"GOOD FT by WALKER,ART",1
11:50,"SUB IN by PURVIS,KC",,,,,,,"SUB IN by PURVIS,KC",1
11:50,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
11:50,,,,,"SUB IN by WILSON-THOMAS,ELIJAH",,,"SUB IN by WILSON-THOMAS,ELIJAH",1
11:50,,,,,"SUB OUT by BONIN,BLAKE",,,"SUB OUT by BONIN,BLAKE",1
11:43,,,,,"MISS JUMPER by WILSON-THOMAS,ELIJAH",,,"MISS JUMPER by WILSON-THOMAS,ELIJAH",1
--,"REBOUND DEF by SINE,TUCKER",,,,,,,"REBOUND DEF by SINE,TUCKER",1
11:33,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",1
--,,,,,"REBOUND DEF by ELDOSOUGI,TARIG",,,"REBOUND DEF by ELDOSOUGI,TARIG",1
11:21,,21 (+8),,13,"GOOD JUMPER by JR,KENNETH STALLING",EC-M 21-13 (+8),,"GOOD JUMPER by JR,KENNETH STALLING",1
10:54,"TURNOVER  by WALKER,ART",,,,,,,"TURNOVER  by WALKER,ART",1
10:52,,,,,"STEAL  by WILSON-THOMAS,ELIJAH",,,"STEAL  by WILSON-THOMAS,ELIJAH",1
10:50,,21 (+6),,15,"GOOD LAYUP by BARNES,JAMEL(fastbreak)(in the paint)",EC-M 21-15 (+6),,"GOOD LAYUP by BARNES,JAMEL(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by WILSON-THOMAS,ELIJAH",,,"ASSIST  by WILSON-THOMAS,ELIJAH",1
10:45,"GOOD 3PTR by WALKER,ART",24 (+9),,15,,CC-M 24-15 (+9),,"GOOD 3PTR by WALKER,ART",1
--,"ASSIST  by CRUMP,DAWSON",,,,,,,"ASSIST  by CRUMP,DAWSON",1
10:36,,24 (+6),,18,"GOOD 3PTR by ZOLMAN,CHAINEY",EC-M 24-18 (+6),,"GOOD 3PTR by ZOLMAN,CHAINEY",1
--,,,,,"ASSIST  by BARNES,JAMEL",,,"ASSIST  by BARNES,JAMEL",1
10:19,"TURNOVER  by SINE,TUCKER",,,,,,,"TURNOVER  by SINE,TUCKER",1
10:19,"FOUL  by SINE,TUCKER",,,,,,,"FOUL  by SINE,TUCKER",1
10:19,,,,,"SUB IN by DOLIBOA,AUSTIN",,,"SUB IN by DOLIBOA,AUSTIN",1
10:19,,,,,"SUB IN by JR,DARRELL HUTCHISON",,,"SUB IN by JR,DARRELL HUTCHISON",1
10:19,,,,,"SUB OUT by ELDOSOUGI,TARIG",,,"SUB OUT by ELDOSOUGI,TARIG",1
10:19,,,,,"SUB OUT by JR,KENNETH STALLING",,,"SUB OUT by JR,KENNETH STALLING",1
10:16,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",1
10:16,"SUB IN by BROWNLEY,HOGAN",,,,,,,"SUB IN by BROWNLEY,HOGAN",1
10:16,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",1
10:16,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
10:16,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",1
10:16,"SUB OUT by CRUMP,DAWSON",,,,,,,"SUB OUT by CRUMP,DAWSON",1
10:02,,,,,"MISS 3PTR by ZOLMAN,CHAINEY",,,"MISS 3PTR by ZOLMAN,CHAINEY",1
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",1
09:59,,,,,"FOUL  by DOLIBOA,AUSTIN",,,"FOUL  by DOLIBOA,AUSTIN",1
09:33,"GOOD LAYUP by AYERS,PERRY(in the paint)",26 (+8),,18,,CC-M 26-18 (+8),,"GOOD LAYUP by AYERS,PERRY(in the paint)",1
09:20,,26 (+6),,20,"GOOD JUMPER by ZOLMAN,CHAINEY",EC-M 26-20 (+6),,"GOOD JUMPER by ZOLMAN,CHAINEY",1
09:20,"FOUL  by PURVIS,KC",,,,,,,"FOUL  by PURVIS,KC",1
09:20,,26 (+5),,21,"GOOD FT by ZOLMAN,CHAINEY",EC-M 26-21 (+5),,"GOOD FT by ZOLMAN,CHAINEY",1
08:55,"GOOD LAYUP by AYERS,PERRY(in the paint)",28 (+7),,21,,CC-M 28-21 (+7),,"GOOD LAYUP by AYERS,PERRY(in the paint)",1
08:55,,,,,"FOUL  by JR,DARRELL HUTCHISON",,,"FOUL  by JR,DARRELL HUTCHISON",1
08:55,"GOOD FT by AYERS,PERRY",29 (+8),,21,,CC-M 29-21 (+8),,"GOOD FT by AYERS,PERRY",1
08:55,,,,,"SUB IN by ELDOSOUGI,TARIG",,,"SUB IN by ELDOSOUGI,TARIG",1
08:55,,,,,"SUB OUT by JR,DARRELL HUTCHISON",,,"SUB OUT by JR,DARRELL HUTCHISON",1
08:25,,,,,"MISS JUMPER by DOLIBOA,AUSTIN",,,"MISS JUMPER by DOLIBOA,AUSTIN",1
08:25,"BLOCK  by PURVIS,KC",,,,,,,"BLOCK  by PURVIS,KC",1
--,"REBOUND DEF by BROWNLEY,HOGAN",,,,,,,"REBOUND DEF by BROWNLEY,HOGAN",1
08:25,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
08:03,"MISS LAYUP by BROWNLEY,HOGAN",,,,,,,"MISS LAYUP by BROWNLEY,HOGAN",1
08:03,,,,,"BLOCK  by ELDOSOUGI,TARIG",,,"BLOCK  by ELDOSOUGI,TARIG",1
--,,,,,"REBOUND DEF by BARNES,JAMEL",,,"REBOUND DEF by BARNES,JAMEL",1
07:40,,29 (+5),,24,"GOOD 3PTR by BARNES,JAMEL",EC-M 29-24 (+5),,"GOOD 3PTR by BARNES,JAMEL",1
--,,,,,"ASSIST  by ELDOSOUGI,TARIG",,,"ASSIST  by ELDOSOUGI,TARIG",1
07:25,"TURNOVER  by SINE,TUCKER",,,,,,,"TURNOVER  by SINE,TUCKER",1
07:25,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
07:25,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",1
07:25,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",1
07:25,"SUB OUT by BROWNLEY,HOGAN",,,,,,,"SUB OUT by BROWNLEY,HOGAN",1
07:25,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
07:25,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",1
07:15,"FOUL  by PURVIS,KC",,,,,,,"FOUL  by PURVIS,KC",1
07:15,,29 (+4),,25,"GOOD FT by ZOLMAN,CHAINEY",EC-M 29-25 (+4),,"GOOD FT by ZOLMAN,CHAINEY",1
07:15,,,,,"MISS FT by ZOLMAN,CHAINEY",,,"MISS FT by ZOLMAN,CHAINEY",1
--,"REBOUND DEF by GRIFFIN,JAROD",,,,,,,"REBOUND DEF by GRIFFIN,JAROD",1
07:15,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",1
07:15,"SUB OUT by PURVIS,KC",,,,,,,"SUB OUT by PURVIS,KC",1
07:03,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",31 (+6),,25,,CC-M 31-25 (+6),,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",1
--,"ASSIST  by AYERS,PERRY",,,,,,,"ASSIST  by AYERS,PERRY",1
06:54,,,,,"MISS JUMPER by ZOLMAN,CHAINEY",,,"MISS JUMPER by ZOLMAN,CHAINEY",1
--,"REBOUND DEF by GRIFFIN,JAROD",,,,,,,"REBOUND DEF by GRIFFIN,JAROD",1
06:51,,,,,"FOUL  by WILSON-THOMAS,ELIJAH",,,"FOUL  by WILSON-THOMAS,ELIJAH",1
06:47,,,,,"SUB IN by WAIRE,ISAIAH",,,"SUB IN by WAIRE,ISAIAH",1
06:47,,,,,"SUB OUT by DOLIBOA,AUSTIN",,,"SUB OUT by DOLIBOA,AUSTIN",1
06:31,,,,,"FOUL  by BARNES,JAMEL",,,"FOUL  by BARNES,JAMEL",1
06:31,"MISS FT by CRUMP,DAWSON",,,,,,,"MISS FT by CRUMP,DAWSON",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
06:31,"GOOD FT by CRUMP,DAWSON",32 (+7),,25,,CC-M 32-25 (+7),,"GOOD FT by CRUMP,DAWSON",1
06:15,"FOUL  by CRUMP,DAWSON",,,,,,,"FOUL  by CRUMP,DAWSON",1
06:15,,32 (+6),,26,"GOOD FT by WILSON-THOMAS,ELIJAH",EC-M 32-26 (+6),,"GOOD FT by WILSON-THOMAS,ELIJAH",1
06:15,,32 (+5),,27,"GOOD FT by WILSON-THOMAS,ELIJAH",EC-M 32-27 (+5),,"GOOD FT by WILSON-THOMAS,ELIJAH",1
05:55,,,,,"FOUL  by ELDOSOUGI,TARIG",,,"FOUL  by ELDOSOUGI,TARIG",1
05:55,"GOOD FT by WALKER,ART",33 (+6),,27,,CC-M 33-27 (+6),,"GOOD FT by WALKER,ART",1
05:55,"GOOD FT by WALKER,ART",34 (+7),,27,,CC-M 34-27 (+7),,"GOOD FT by WALKER,ART",1
05:55,,,,,"SUB IN by JR,KENNETH STALLING",,,"SUB IN by JR,KENNETH STALLING",1
05:55,,,,,"SUB OUT by ELDOSOUGI,TARIG",,,"SUB OUT by ELDOSOUGI,TARIG",1
05:41,,34 (+5),,29,"GOOD JUMPER by WAIRE,ISAIAH",EC-M 34-29 (+5),,"GOOD JUMPER by WAIRE,ISAIAH",1
05:24,,,,,"FOUL  by JR,KENNETH STALLING",,,"FOUL  by JR,KENNETH STALLING",1
05:24,"GOOD FT by WALKER,ART",35 (+6),,29,,CC-M 35-29 (+6),,"GOOD FT by WALKER,ART",1
05:24,"GOOD FT by WALKER,ART",36 (+7),,29,,CC-M 36-29 (+7),,"GOOD FT by WALKER,ART",1
05:24,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",1
05:24,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",1
05:09,,,,,"MISS LAYUP by JR,KENNETH STALLING",,,"MISS LAYUP by JR,KENNETH STALLING",1
--,,,,,"REBOUND OFF by JR,KENNETH STALLING",,,"REBOUND OFF by JR,KENNETH STALLING",1
05:08,"FOUL  by WALKER,ART",,,,,,,"FOUL  by WALKER,ART",1
05:08,,,,,"MISS FT by JR,KENNETH STALLING",,,"MISS FT by JR,KENNETH STALLING",1
--,"REBOUND DEF by SPITZER,JAKOB",,,,,,,"REBOUND DEF by SPITZER,JAKOB",1
04:58,"GOOD 3PTR by WALKER,ART",39 (+10),,29,,CC-M 39-29 (+10),,"GOOD 3PTR by WALKER,ART",1
--,"ASSIST  by RAKES,BAILEY",,,,,,,"ASSIST  by RAKES,BAILEY",1
04:36,,,,,"MISS JUMPER by WILSON-THOMAS,ELIJAH",,,"MISS JUMPER by WILSON-THOMAS,ELIJAH",1
--,"REBOUND DEF by SPITZER,JAKOB",,,,,,,"REBOUND DEF by SPITZER,JAKOB",1
04:20,"MISS JUMPER by WALKER,ART",,,,,,,"MISS JUMPER by WALKER,ART",1
--,,,,,"REBOUND DEF by ZOLMAN,CHAINEY",,,"REBOUND DEF by ZOLMAN,CHAINEY",1
04:13,"FOUL  by GRIFFIN,JAROD",,,,,,,"FOUL  by GRIFFIN,JAROD",1
04:13,,,,,"MISS FT by WAIRE,ISAIAH",,,"MISS FT by WAIRE,ISAIAH",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
04:13,,39 (+9),,30,"GOOD FT by WAIRE,ISAIAH",EC-M 39-30 (+9),,"GOOD FT by WAIRE,ISAIAH",1
04:13,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
04:13,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
04:13,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",1
04:13,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",1
04:12,,,,,"SUB IN by SLAIN,JASON",,,"SUB IN by SLAIN,JASON",1
04:12,,,,,"SUB IN by BONIN,BLAKE",,,"SUB IN by BONIN,BLAKE",1
04:12,,,,,"SUB OUT by BARNES,JAMEL",,,"SUB OUT by BARNES,JAMEL",1
04:12,,,,,"SUB OUT by ZOLMAN,CHAINEY",,,"SUB OUT by ZOLMAN,CHAINEY",1
03:51,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
03:51,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",1
03:51,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
03:24,,,,,"TURNOVER  by JR,KENNETH STALLING",,,"TURNOVER  by JR,KENNETH STALLING",1
03:22,"STEAL  by SCHMUCKER,ZACH",,,,,,,"STEAL  by SCHMUCKER,ZACH",1
03:16,"MISS 3PTR by RAKES,BAILEY",,,,,,,"MISS 3PTR by RAKES,BAILEY",1
--,"REBOUND OFF by BATES,JACOB",,,,,,,"REBOUND OFF by BATES,JACOB",1
02:57,"MISS LAYUP by SCHMUCKER,ZACH",,,,,,,"MISS LAYUP by SCHMUCKER,ZACH",1
--,,,,,"REBOUND DEF by JR,KENNETH STALLING",,,"REBOUND DEF by JR,KENNETH STALLING",1
02:46,,39 (+7),,32,"GOOD JUMPER by JR,KENNETH STALLING(in the paint)",EC-M 39-32 (+7),,"GOOD JUMPER by JR,KENNETH STALLING(in the paint)",1
02:31,"TURNOVER  by CRUMP,DAWSON",,,,,,,"TURNOVER  by CRUMP,DAWSON",1
02:31,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",1
02:31,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
02:01,,,,,"MISS 3PTR by WILSON-THOMAS,ELIJAH",,,"MISS 3PTR by WILSON-THOMAS,ELIJAH",1
02:01,"BLOCK  by BATES,JACOB",,,,,,,"BLOCK  by BATES,JACOB",1
--,"REBOUND DEF by CRUMP,DAWSON",,,,,,,"REBOUND DEF by CRUMP,DAWSON",1
01:54,"GOOD LAYUP by BATES,JACOB(fastbreak)(in the paint)",41 (+9),,32,,CC-M 41-32 (+9),,"GOOD LAYUP by BATES,JACOB(fastbreak)(in the paint)",1
--,"ASSIST  by CRUMP,DAWSON",,,,,,,"ASSIST  by CRUMP,DAWSON",1
01:49,,41 (+7),,34,"GOOD LAYUP by WAIRE,ISAIAH(fastbreak)(in the paint)",EC-M 41-34 (+7),,"GOOD LAYUP by WAIRE,ISAIAH(fastbreak)(in the paint)",1
01:37,"GOOD LAYUP by RAKES,BAILEY(in the paint)",43 (+9),,34,,CC-M 43-34 (+9),,"GOOD LAYUP by RAKES,BAILEY(in the paint)",1
01:16,,,,,"MISS JUMPER by WILSON-THOMAS,ELIJAH",,,"MISS JUMPER by WILSON-THOMAS,ELIJAH",1
--,,,,,"REBOUND OFF by SLAIN,JASON",,,"REBOUND OFF by SLAIN,JASON",1
01:08,,,,,"MISS JUMPER by WAIRE,ISAIAH",,,"MISS JUMPER by WAIRE,ISAIAH",1
--,"REBOUND DEF by SINE,TUCKER",,,,,,,"REBOUND DEF by SINE,TUCKER",1
01:00,,,,,"FOUL  by SLAIN,JASON",,,"FOUL  by SLAIN,JASON",1
01:00,"GOOD FT by SINE,TUCKER",44 (+10),,34,,CC-M 44-34 (+10),,"GOOD FT by SINE,TUCKER",1
01:00,"GOOD FT by SINE,TUCKER",45 (+11),,34,,CC-M 45-34 (+11),,"GOOD FT by SINE,TUCKER",1
01:00,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",1
01:00,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
01:00,,,,,"SUB IN by SANBORN,THOMAS",,,"SUB IN by SANBORN,THOMAS",1
01:00,,,,,"SUB OUT by WILSON-THOMAS,ELIJAH",,,"SUB OUT by WILSON-THOMAS,ELIJAH",1
00:39,,45 (+8),,37,"GOOD 3PTR by BONIN,BLAKE",EC-M 45-37 (+8),,"GOOD 3PTR by BONIN,BLAKE",1
