Time Remaining,CENTRE-M,Away Team Score,Play Team Indicator,Home Team Score,TU-M,Game Score,Team Indicator,Play,Period
19:14,"FOUL  by GRIFFIN,JAROD",,,,,,,"FOUL  by GRIFFIN,JAROD",2
19:14,,36,,40 (+4),"GOOD FT by DENCE,ROBERT",TU-M 36-40 (-4),,"GOOD FT by DENCE,ROBERT",2
19:14,,36,,41 (+5),"GOOD FT by DENCE,ROBERT",TU-M 36-41 (-5),,"GOOD FT by DENCE,ROBERT",2
18:56,"TURNOVER  by SPITZER,JAKOB",,,,,,,"TURNOVER  by SPITZER,JAKOB",2
18:55,,,,,"STEAL  by DENCE,ROBERT",,,"STEAL  by DENCE,ROBERT",2
18:47,,36,,44 (+8),"GOOD 3PTR by SCHMITT,GABE",TU-M 36-44 (-8),,"GOOD 3PTR by SCHMITT,GABE",2
--,,,,,"ASSIST  by JEFFERSON,MICHAEL",,,"ASSIST  by JEFFERSON,MICHAEL",2
18:24,"GOOD JUMPER by AYERS,PERRY(in the paint)",38,,44 (+6),,CENTRE-M 38-44 (-6),,"GOOD JUMPER by AYERS,PERRY(in the paint)",2
--,"ASSIST  by GRIFFIN,JAROD",,,,,,,"ASSIST  by GRIFFIN,JAROD",2
17:58,,38,,46 (+8),"GOOD LAYUP by THEOBALD,COOPER(in the paint)",TU-M 38-46 (-8),,"GOOD LAYUP by THEOBALD,COOPER(in the paint)",2
--,,,,,"ASSIST  by JEFFERSON,MICHAEL",,,"ASSIST  by JEFFERSON,MICHAEL",2
17:54,,,,,"FOUL  by JEFFERSON,MICHAEL",,,"FOUL  by JEFFERSON,MICHAEL",2
17:54,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",2
17:54,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",2
17:38,,,,,"FOUL  by DENCE,ROBERT",,,"FOUL  by DENCE,ROBERT",2
17:34,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",2
--,,,,,"REBOUND DEF by DENCE,ROBERT",,,"REBOUND DEF by DENCE,ROBERT",2
17:10,"FOUL  by AYERS,PERRY",,,,,,,"FOUL  by AYERS,PERRY",2
17:10,,,,,"FOUL  by TRIMBLE,DREW",,,"FOUL  by TRIMBLE,DREW",2
17:10,,,,,"TURNOVER  by TRIMBLE,DREW",,,"TURNOVER  by TRIMBLE,DREW",2
17:10,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",2
17:10,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",2
17:10,,,,,"SUB IN by TRIMBLE,DREW",,,"SUB IN by TRIMBLE,DREW",2
17:10,,,,,"SUB IN by SCHUH,BO",,,"SUB IN by SCHUH,BO",2
17:10,,,,,"SUB OUT by DENCE,ROBERT",,,"SUB OUT by DENCE,ROBERT",2
17:10,,,,,"SUB OUT by GULLETT,KYLE",,,"SUB OUT by GULLETT,KYLE",2
16:48,"GOOD JUMPER by BATES,JACOB",40,,46 (+6),,CENTRE-M 40-46 (-6),,"GOOD JUMPER by BATES,JACOB",2
16:28,,40,,48 (+8),"GOOD LAYUP by TRIMBLE,DREW(in the paint)",TU-M 40-48 (-8),,"GOOD LAYUP by TRIMBLE,DREW(in the paint)",2
16:14,"MISS JUMPER by BATES,JACOB",,,,,,,"MISS JUMPER by BATES,JACOB",2
--,,,,,"REBOUND DEF by SCHUH,BO",,,"REBOUND DEF by SCHUH,BO",2
16:02,,,,,"MISS 3PTR by THEOBALD,COOPER",,,"MISS 3PTR by THEOBALD,COOPER",2
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",2
15:52,,,,,"FOUL  by SCHUH,BO",,,"FOUL  by SCHUH,BO",2
15:52,,,,,"SUB IN by DENCE,ROBERT",,,"SUB IN by DENCE,ROBERT",2
15:52,,,,,"SUB IN by MCKINNEY,SPENCER",,,"SUB IN by MCKINNEY,SPENCER",2
15:52,,,,,"SUB OUT by SCHUH,BO",,,"SUB OUT by SCHUH,BO",2
15:52,,,,,"SUB OUT by TRIMBLE,DREW",,,"SUB OUT by TRIMBLE,DREW",2
15:46,,,,,"FOUL  by JEFFERSON,MICHAEL",,,"FOUL  by JEFFERSON,MICHAEL",2
15:39,"GOOD LAYUP by AYERS,PERRY(in the paint)",42,,48 (+6),,CENTRE-M 42-48 (-6),,"GOOD LAYUP by AYERS,PERRY(in the paint)",2
15:23,,,,,"MISS LAYUP by JEFFERSON,MICHAEL",,,"MISS LAYUP by JEFFERSON,MICHAEL",2
--,,,,,"REBOUND OFF by JEFFERSON,MICHAEL",,,"REBOUND OFF by JEFFERSON,MICHAEL",2
15:20,,,,,"MISS TIPIN by JEFFERSON,MICHAEL",,,"MISS TIPIN by JEFFERSON,MICHAEL",2
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",2
15:10,"FOUL  by AYERS,PERRY",,,,,,,"FOUL  by AYERS,PERRY",2
15:10,"TURNOVER  by AYERS,PERRY",,,,,,,"TURNOVER  by AYERS,PERRY",2
15:10,,,,,"SUB IN by GULLETT,KYLE",,,"SUB IN by GULLETT,KYLE",2
15:10,,,,,"SUB OUT by DENCE,ROBERT",,,"SUB OUT by DENCE,ROBERT",2
14:56,,,,,"MISS JUMPER by THEOBALD,COOPER",,,"MISS JUMPER by THEOBALD,COOPER",2
14:56,"BLOCK  by BATES,JACOB",,,,,,,"BLOCK  by BATES,JACOB",2
--,"REBOUND DEF by RAKES,BAILEY",,,,,,,"REBOUND DEF by RAKES,BAILEY",2
14:43,"MISS LAYUP by BATES,JACOB",,,,,,,"MISS LAYUP by BATES,JACOB",2
--,,,,,"REBOUND DEF by GULLETT,KYLE",,,"REBOUND DEF by GULLETT,KYLE",2
14:35,,,,,"FOUL  by GULLETT,KYLE",,,"FOUL  by GULLETT,KYLE",2
14:35,,,,,"TURNOVER  by GULLETT,KYLE",,,"TURNOVER  by GULLETT,KYLE",2
14:35,"SUB IN by SCHMUCKER ,ZACH",,,,,,,"SUB IN by SCHMUCKER ,ZACH",2
14:35,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",2
14:35,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",2
14:35,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",2
14:35,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",2
14:35,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",2
14:31,"MISS 3PTR by AYERS,PERRY",,,,,,,"MISS 3PTR by AYERS,PERRY",2
--,,,,,"REBOUND DEF by SCHMITT,GABE",,,"REBOUND DEF by SCHMITT,GABE",2
14:25,,,,,"MISS JUMPER by SCHMITT,GABE",,,"MISS JUMPER by SCHMITT,GABE",2
--,"REBOUND DEF by SCHMUCKER ,ZACH",,,,,,,"REBOUND DEF by SCHMUCKER ,ZACH",2
14:10,"TURNOVER  by GRIFFIN,JAROD",,,,,,,"TURNOVER  by GRIFFIN,JAROD",2
14:10,,,,,"STEAL  by JEFFERSON,MICHAEL",,,"STEAL  by JEFFERSON,MICHAEL",2
14:10,,,,,"SUB IN by BURGESS,TRISTAN",,,"SUB IN by BURGESS,TRISTAN",2
14:10,,,,,"SUB OUT by GULLETT,KYLE",,,"SUB OUT by GULLETT,KYLE",2
13:58,,,,,"TURNOVER  by JEFFERSON,MICHAEL",,,"TURNOVER  by JEFFERSON,MICHAEL",2
13:52,,,,,"FOUL  by JEFFERSON,MICHAEL",,,"FOUL  by JEFFERSON,MICHAEL",2
13:52,"GOOD FT by AYERS,PERRY",43,,48 (+5),,CENTRE-M 43-48 (-5),,"GOOD FT by AYERS,PERRY",2
13:52,"GOOD FT by AYERS,PERRY",44,,48 (+4),,CENTRE-M 44-48 (-4),,"GOOD FT by AYERS,PERRY",2
13:52,,,,,"SUB IN by GULLETT,KYLE",,,"SUB IN by GULLETT,KYLE",2
13:52,,,,,"SUB OUT by BURGESS,TRISTAN",,,"SUB OUT by BURGESS,TRISTAN",2
13:37,"FOUL  by CRUMP,DAWSON",,,,,,,"FOUL  by CRUMP,DAWSON",2
13:37,,,,,"MISS FT by SCHMITT,GABE",,,"MISS FT by SCHMITT,GABE",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
13:37,,44,,49 (+5),"GOOD FT by SCHMITT,GABE",TU-M 44-49 (-5),,"GOOD FT by SCHMITT,GABE",2
13:37,,,,,"SUB IN by TWENTY,DEVIN",,,"SUB IN by TWENTY,DEVIN",2
13:37,,,,,"SUB OUT by JEFFERSON,MICHAEL",,,"SUB OUT by JEFFERSON,MICHAEL",2
13:10,"GOOD 3PTR by GRIFFIN,JAROD",47,,49 (+2),,CENTRE-M 47-49 (-2),,"GOOD 3PTR by GRIFFIN,JAROD",2
--,"ASSIST  by SCHMUCKER ,ZACH",,,,,,,"ASSIST  by SCHMUCKER ,ZACH",2
12:42,,47,,52 (+5),"GOOD 3PTR by SCHMITT,GABE",TU-M 47-52 (-5),,"GOOD 3PTR by SCHMITT,GABE",2
--,,,,,"ASSIST  by TWENTY,DEVIN",,,"ASSIST  by TWENTY,DEVIN",2
12:15,,,,,"FOUL  by GULLETT,KYLE",,,"FOUL  by GULLETT,KYLE",2
12:15,"GOOD FT by WALKER,ART",48,,52 (+4),,CENTRE-M 48-52 (-4),,"GOOD FT by WALKER,ART",2
12:15,"GOOD FT by WALKER,ART",49,,52 (+3),,CENTRE-M 49-52 (-3),,"GOOD FT by WALKER,ART",2
12:15,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",2
12:15,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",2
12:15,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",2
12:15,"SUB OUT by CRUMP,DAWSON",,,,,,,"SUB OUT by CRUMP,DAWSON",2
11:53,"FOUL  by WALKER,ART",,,,,,,"FOUL  by WALKER,ART",2
11:53,,49,,53 (+4),"GOOD FT by GULLETT,KYLE",TU-M 49-53 (-4),,"GOOD FT by GULLETT,KYLE",2
11:53,,49,,54 (+5),"GOOD FT by GULLETT,KYLE",TU-M 49-54 (-5),,"GOOD FT by GULLETT,KYLE",2
11:35,,,,,"FOUL  by TWENTY,DEVIN",,,"FOUL  by TWENTY,DEVIN",2
11:35,"GOOD FT by RAKES,BAILEY",50,,54 (+4),,CENTRE-M 50-54 (-4),,"GOOD FT by RAKES,BAILEY",2
11:35,"GOOD FT by RAKES,BAILEY",51,,54 (+3),,CENTRE-M 51-54 (-3),,"GOOD FT by RAKES,BAILEY",2
11:20,"FOUL  by RAKES,BAILEY",,,,,,,"FOUL  by RAKES,BAILEY",2
11:20,,51,,55 (+4),"GOOD FT by GULLETT,KYLE",TU-M 51-55 (-4),,"GOOD FT by GULLETT,KYLE",2
11:20,,51,,56 (+5),"GOOD FT by GULLETT,KYLE",TU-M 51-56 (-5),,"GOOD FT by GULLETT,KYLE",2
11:20,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",2
11:20,"SUB OUT by SCHMUCKER ,ZACH",,,,,,,"SUB OUT by SCHMUCKER ,ZACH",2
11:07,"TURNOVER  by SINE,TUCKER",,,,,,,"TURNOVER  by SINE,TUCKER",2
11:06,,,,,"STEAL  by MCKINNEY,SPENCER",,,"STEAL  by MCKINNEY,SPENCER",2
10:59,,51,,59 (+8),"GOOD 3PTR by TWENTY,DEVIN",TU-M 51-59 (-8),,"GOOD 3PTR by TWENTY,DEVIN",2
--,,,,,"ASSIST  by MCKINNEY,SPENCER",,,"ASSIST  by MCKINNEY,SPENCER",2
10:49,,,,,"FOUL  by MCKINNEY,SPENCER",,,"FOUL  by MCKINNEY,SPENCER",2
10:49,"GOOD FT by GRIFFIN,JAROD",52,,59 (+7),,CENTRE-M 52-59 (-7),,"GOOD FT by GRIFFIN,JAROD",2
10:49,"GOOD FT by GRIFFIN,JAROD",53,,59 (+6),,CENTRE-M 53-59 (-6),,"GOOD FT by GRIFFIN,JAROD",2
10:49,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",2
10:49,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",2
10:35,,,,,"FOUL  by GULLETT,KYLE",,,"FOUL  by GULLETT,KYLE",2
10:35,,,,,"TURNOVER  by GULLETT,KYLE",,,"TURNOVER  by GULLETT,KYLE",2
10:35,,,,,"SUB IN by TRIMBLE,DREW",,,"SUB IN by TRIMBLE,DREW",2
10:35,,,,,"SUB OUT by GULLETT,KYLE",,,"SUB OUT by GULLETT,KYLE",2
10:31,,,,,"FOUL  by THEOBALD,COOPER",,,"FOUL  by THEOBALD,COOPER",2
10:31,"GOOD FT by AYERS,PERRY",54,,59 (+5),,CENTRE-M 54-59 (-5),,"GOOD FT by AYERS,PERRY",2
10:31,"GOOD FT by AYERS,PERRY",55,,59 (+4),,CENTRE-M 55-59 (-4),,"GOOD FT by AYERS,PERRY",2
10:15,,55,,61 (+6),"GOOD LAYUP by TWENTY,DEVIN(in the paint)",TU-M 55-61 (-6),,"GOOD LAYUP by TWENTY,DEVIN(in the paint)",2
10:15,"FOUL  by GRIFFIN,JAROD",,,,,,,"FOUL  by GRIFFIN,JAROD",2
10:15,,55,,62 (+7),"GOOD FT by TWENTY,DEVIN",TU-M 55-62 (-7),,"GOOD FT by TWENTY,DEVIN",2
09:59,"MISS JUMPER by RAKES,BAILEY",,,,,,,"MISS JUMPER by RAKES,BAILEY",2
--,"REBOUND OFF by SPITZER,JAKOB",,,,,,,"REBOUND OFF by SPITZER,JAKOB",2
09:51,"MISS JUMPER by GRIFFIN,JAROD",,,,,,,"MISS JUMPER by GRIFFIN,JAROD",2
--,"REBOUND OFF by AYERS,PERRY",,,,,,,"REBOUND OFF by AYERS,PERRY",2
09:48,"GOOD TIPIN by AYERS,PERRY(in the paint)",57,,62 (+5),,CENTRE-M 57-62 (-5),,"GOOD TIPIN by AYERS,PERRY(in the paint)",2
09:33,,,,,"MISS 3PTR by TWENTY,DEVIN",,,"MISS 3PTR by TWENTY,DEVIN",2
--,"REBOUND DEF by SPITZER,JAKOB",,,,,,,"REBOUND DEF by SPITZER,JAKOB",2
09:15,"GOOD LAYUP by AYERS,PERRY(in the paint)",59,,62 (+3),,CENTRE-M 59-62 (-3),,"GOOD LAYUP by AYERS,PERRY(in the paint)",2
08:57,,,,,"TURNOVER  by SCHMITT,GABE",,,"TURNOVER  by SCHMITT,GABE",2
08:57,"STEAL  by AYERS,PERRY",,,,,,,"STEAL  by AYERS,PERRY",2
08:57,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
08:57,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",2
08:57,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",2
08:54,"TURNOVER  by SPITZER,JAKOB",,,,,,,"TURNOVER  by SPITZER,JAKOB",2
08:44,,,,,"MISS JUMPER by THEOBALD,COOPER",,,"MISS JUMPER by THEOBALD,COOPER",2
--,,,,,"REBOUND OFF by TWENTY,DEVIN",,,"REBOUND OFF by TWENTY,DEVIN",2
08:23,,,,,"TURNOVER  by TRIMBLE,DREW",,,"TURNOVER  by TRIMBLE,DREW",2
08:06,"GOOD JUMPER by AYERS,PERRY(in the paint)",61,,62 (+1),,CENTRE-M 61-62 (-1),,"GOOD JUMPER by AYERS,PERRY(in the paint)",2
07:47,,61,,64 (+3),"GOOD JUMPER by SCHMITT,GABE(in the paint)",TU-M 61-64 (-3),,"GOOD JUMPER by SCHMITT,GABE(in the paint)",2
07:43,"FOUL  by SINE,TUCKER",,,,,,,"FOUL  by SINE,TUCKER",2
07:43,,61,,65 (+4),"GOOD FT by SCHMITT,GABE",TU-M 61-65 (-4),,"GOOD FT by SCHMITT,GABE",2
07:43,,,,,"SUB IN by GULLETT,KYLE",,,"SUB IN by GULLETT,KYLE",2
07:43,,,,,"SUB IN by SCHUH,BO",,,"SUB IN by SCHUH,BO",2
07:43,,,,,"SUB IN by JEFFERSON,MICHAEL",,,"SUB IN by JEFFERSON,MICHAEL",2
07:43,,,,,"SUB OUT by MCKINNEY,SPENCER",,,"SUB OUT by MCKINNEY,SPENCER",2
07:43,,,,,"SUB OUT by TRIMBLE,DREW",,,"SUB OUT by TRIMBLE,DREW",2
07:43,,,,,"SUB OUT by TWENTY,DEVIN",,,"SUB OUT by TWENTY,DEVIN",2
07:24,"MISS JUMPER by AYERS,PERRY",,,,,,,"MISS JUMPER by AYERS,PERRY",2
--,,,,,"REBOUND DEF by THEOBALD,COOPER",,,"REBOUND DEF by THEOBALD,COOPER",2
07:23,"FOUL  by SPITZER,JAKOB",,,,,,,"FOUL  by SPITZER,JAKOB",2
07:23,,61,,66 (+5),"GOOD FT by THEOBALD,COOPER",TU-M 61-66 (-5),,"GOOD FT by THEOBALD,COOPER",2
07:23,,,,,"MISS FT by THEOBALD,COOPER",,,"MISS FT by THEOBALD,COOPER",2
--,"REBOUND DEF by RAKES,BAILEY",,,,,,,"REBOUND DEF by RAKES,BAILEY",2
07:23,"SUB IN by SCHMUCKER ,ZACH",,,,,,,"SUB IN by SCHMUCKER ,ZACH",2
07:23,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",2
07:10,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",2
--,,,,,"REBOUND DEF by SCHUH,BO",,,"REBOUND DEF by SCHUH,BO",2
06:46,"FOUL  by WALKER,ART",,,,,,,"FOUL  by WALKER,ART",2
06:46,,61,,67 (+6),"GOOD FT by GULLETT,KYLE",TU-M 61-67 (-6),,"GOOD FT by GULLETT,KYLE",2
06:46,,,,,"MISS FT by GULLETT,KYLE",,,"MISS FT by GULLETT,KYLE",2
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",2
06:46,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",2
06:46,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",2
06:46,"SUB OUT by SCHMUCKER ,ZACH",,,,,,,"SUB OUT by SCHMUCKER ,ZACH",2
06:46,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",2
06:27,"GOOD LAYUP by BATES,JACOB(in the paint)",63,,67 (+4),,CENTRE-M 63-67 (-4),,"GOOD LAYUP by BATES,JACOB(in the paint)",2
05:59,,,,,"MISS JUMPER by SCHUH,BO",,,"MISS JUMPER by SCHUH,BO",2
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",2
05:35,,,,,"FOUL  by SCHUH,BO",,,"FOUL  by SCHUH,BO",2
05:35,"GOOD FT by BATES,JACOB",64,,67 (+3),,CENTRE-M 64-67 (-3),,"GOOD FT by BATES,JACOB",2
05:35,"GOOD FT by BATES,JACOB",65,,67 (+2),,CENTRE-M 65-67 (-2),,"GOOD FT by BATES,JACOB",2
05:25,,65,,69 (+4),"GOOD LAYUP by SCHMITT,GABE(in the paint)",TU-M 65-69 (-4),,"GOOD LAYUP by SCHMITT,GABE(in the paint)",2
--,,,,,"ASSIST  by GULLETT,KYLE",,,"ASSIST  by GULLETT,KYLE",2
05:08,,,,,"FOUL  by GULLETT,KYLE",,,"FOUL  by GULLETT,KYLE",2
05:08,"GOOD FT by AYERS,PERRY",66,,69 (+3),,CENTRE-M 66-69 (-3),,"GOOD FT by AYERS,PERRY",2
05:08,"GOOD FT by AYERS,PERRY",67,,69 (+2),,CENTRE-M 67-69 (-2),,"GOOD FT by AYERS,PERRY",2
05:08,,,,,"SUB IN by TRIMBLE,DREW",,,"SUB IN by TRIMBLE,DREW",2
05:08,,,,,"SUB OUT by GULLETT,KYLE",,,"SUB OUT by GULLETT,KYLE",2
04:55,,,,,"MISS 3PTR by SCHUH,BO",,,"MISS 3PTR by SCHUH,BO",2
--,"REBOUND DEF by RAKES,BAILEY",,,,,,,"REBOUND DEF by RAKES,BAILEY",2
04:37,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",2
--,,,,,"REBOUND DEF by THEOBALD,COOPER",,,"REBOUND DEF by THEOBALD,COOPER",2
04:27,"FOUL  by GRIFFIN,JAROD",,,,,,,"FOUL  by GRIFFIN,JAROD",2
04:27,,67,,70 (+3),"GOOD FT by SCHUH,BO",TU-M 67-70 (-3),,"GOOD FT by SCHUH,BO",2
04:27,,67,,71 (+4),"GOOD FT by SCHUH,BO",TU-M 67-71 (-4),,"GOOD FT by SCHUH,BO",2
04:27,,,,,"SUB IN by DENCE,ROBERT",,,"SUB IN by DENCE,ROBERT",2
04:27,,,,,"SUB OUT by SCHUH,BO",,,"SUB OUT by SCHUH,BO",2
04:17,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
04:06,"MISS 3PTR by RAKES,BAILEY",,,,,,,"MISS 3PTR by RAKES,BAILEY",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
03:44,,,,,"MISS LAYUP by THEOBALD,COOPER",,,"MISS LAYUP by THEOBALD,COOPER",2
--,,,,,"REBOUND OFF by TRIMBLE,DREW",,,"REBOUND OFF by TRIMBLE,DREW",2
03:43,,67,,73 (+6),"GOOD TIPIN by TRIMBLE,DREW(in the paint)",TU-M 67-73 (-6),,"GOOD TIPIN by TRIMBLE,DREW(in the paint)",2
03:25,"MISS JUMPER by GRIFFIN,JAROD",,,,,,,"MISS JUMPER by GRIFFIN,JAROD",2
--,,,,,"REBOUND DEF by DENCE,ROBERT",,,"REBOUND DEF by DENCE,ROBERT",2
03:08,,,,,"MISS JUMPER by JEFFERSON,MICHAEL",,,"MISS JUMPER by JEFFERSON,MICHAEL",2
--,"REBOUND DEF by SINE,TUCKER",,,,,,,"REBOUND DEF by SINE,TUCKER",2
02:57,"MISS LAYUP by AYERS,PERRY",,,,,,,"MISS LAYUP by AYERS,PERRY",2
--,,,,,"REBOUND DEF by DENCE,ROBERT",,,"REBOUND DEF by DENCE,ROBERT",2
02:50,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
02:50,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",2
02:50,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",2
02:35,,67,,76 (+9),"GOOD 3PTR by SCHMITT,GABE",TU-M 67-76 (-9),,"GOOD 3PTR by SCHMITT,GABE",2
02:17,,,,,"FOUL  by THEOBALD,COOPER",,,"FOUL  by THEOBALD,COOPER",2
02:17,"MISS FT by AYERS,PERRY",,,,,,,"MISS FT by AYERS,PERRY",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
02:17,"GOOD FT by AYERS,PERRY",68,,76 (+8),,CENTRE-M 68-76 (-8),,"GOOD FT by AYERS,PERRY",2
02:17,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",2
02:17,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",2
02:12,,68,,78 (+10),"GOOD LAYUP by JEFFERSON,MICHAEL(in the paint)",TU-M 68-78 (-10),,"GOOD LAYUP by JEFFERSON,MICHAEL(in the paint)",2
02:00,,,,,"FOUL  by JEFFERSON,MICHAEL",,,"FOUL  by JEFFERSON,MICHAEL",2
02:00,"GOOD FT by GRIFFIN,JAROD",69,,78 (+9),,CENTRE-M 69-78 (-9),,"GOOD FT by GRIFFIN,JAROD",2
02:00,"GOOD FT by GRIFFIN,JAROD",70,,78 (+8),,CENTRE-M 70-78 (-8),,"GOOD FT by GRIFFIN,JAROD",2
02:00,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",2
02:00,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",2
01:55,,,,,"MISS JUMPER by TRIMBLE,DREW",,,"MISS JUMPER by TRIMBLE,DREW",2
--,"REBOUND DEF by RAKES,BAILEY",,,,,,,"REBOUND DEF by RAKES,BAILEY",2
01:41,,,,,"FOUL  by DENCE,ROBERT",,,"FOUL  by DENCE,ROBERT",2
01:41,"MISS FT by RAKES,BAILEY",,,,,,,"MISS FT by RAKES,BAILEY",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
01:41,"GOOD FT by RAKES,BAILEY",71,,78 (+7),,CENTRE-M 71-78 (-7),,"GOOD FT by RAKES,BAILEY",2
01:41,,,,,"SUB IN by MCKINNEY,SPENCER",,,"SUB IN by MCKINNEY,SPENCER",2
01:41,,,,,"SUB OUT by DENCE,ROBERT",,,"SUB OUT by DENCE,ROBERT",2
01:31,,,,,"TURNOVER  by SCHMITT,GABE",,,"TURNOVER  by SCHMITT,GABE",2
01:23,"TURNOVER  by SINE,TUCKER",,,,,,,"TURNOVER  by SINE,TUCKER",2
01:22,,,,,"STEAL  by JEFFERSON,MICHAEL",,,"STEAL  by JEFFERSON,MICHAEL",2
01:21,,71,,80 (+9),"GOOD LAYUP by JEFFERSON,MICHAEL(fastbreak)(in the paint)",TU-M 71-80 (-9),,"GOOD LAYUP by JEFFERSON,MICHAEL(fastbreak)(in the paint)",2
01:12,"TURNOVER  by AYERS,PERRY",,,,,,,"TURNOVER  by AYERS,PERRY",2
01:07,"FOUL  by SPITZER,JAKOB",,,,,,,"FOUL  by SPITZER,JAKOB",2
01:07,,71,,81 (+10),"GOOD FT by JEFFERSON,MICHAEL",TU-M 71-81 (-10),,"GOOD FT by JEFFERSON,MICHAEL",2
01:07,,,,,"MISS FT by JEFFERSON,MICHAEL",,,"MISS FT by JEFFERSON,MICHAEL",2
--,"REBOUND DEF by WALKER,ART",,,,,,,"REBOUND DEF by WALKER,ART",2
01:07,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",2
01:07,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",2
01:01,,,,,"FOUL  by MCKINNEY,SPENCER",,,"FOUL  by MCKINNEY,SPENCER",2
01:01,"GOOD FT by RAKES,BAILEY",72,,81 (+9),,CENTRE-M 72-81 (-9),,"GOOD FT by RAKES,BAILEY",2
01:01,"GOOD FT by RAKES,BAILEY",73,,81 (+8),,CENTRE-M 73-81 (-8),,"GOOD FT by RAKES,BAILEY",2
01:01,"FOUL  by RAKES,BAILEY",,,,,,,"FOUL  by RAKES,BAILEY",2
01:01,,73,,82 (+9),"GOOD FT by THEOBALD,COOPER",TU-M 73-82 (-9),,"GOOD FT by THEOBALD,COOPER",2
01:01,,73,,83 (+10),"GOOD FT by THEOBALD,COOPER",TU-M 73-83 (-10),,"GOOD FT by THEOBALD,COOPER",2
01:01,,,,,"SUB IN by DENCE,ROBERT",,,"SUB IN by DENCE,ROBERT",2
01:01,,,,,"SUB OUT by MCKINNEY,SPENCER",,,"SUB OUT by MCKINNEY,SPENCER",2
00:54,"MISS JUMPER by RAKES,BAILEY",,,,,,,"MISS JUMPER by RAKES,BAILEY",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:49,,,,,"FOUL  by THEOBALD,COOPER",,,"FOUL  by THEOBALD,COOPER",2
00:49,"GOOD FT by WALKER,ART",74,,83 (+9),,CENTRE-M 74-83 (-9),,"GOOD FT by WALKER,ART",2
