Time Remaining,CENTRE-M,Away Team Score,Play Team Indicator,Home Team Score,UK,Game Score,Team Indicator,Play,Period
19:02,,,,,"STEAL  by DIALLO,HAMIDOU",,,"STEAL  by DIALLO,HAMIDOU",2
18:59,,,,,"TURNOVER  by DIALLO,HAMIDOU",,,"TURNOVER  by DIALLO,HAMIDOU",2
18:58,"STEAL  by RAKES,BAILEY",,,,,,,"STEAL  by RAKES,BAILEY",2
18:52,"MISS JUMPER by SPITZER,JAKOB",,,,,,,"MISS JUMPER by SPITZER,JAKOB",2
--,,,,,"REBOUND DEF by WASHINGTON,PJ",,,"REBOUND DEF by WASHINGTON,PJ",2
18:47,,26,,54 (+28),"GOOD LAYUP by GREEN,QUADE(fastbreak)(in the paint)",UK 26-54 (-28),,"GOOD LAYUP by GREEN,QUADE(fastbreak)(in the paint)",2
18:24,"GOOD LAYUP by AYERS,PERRY(in the paint)",28,,54 (+26),,CENTRE-M 28-54 (-26),,"GOOD LAYUP by AYERS,PERRY(in the paint)",2
18:24,,,,,"FOUL  by DIALLO,HAMIDOU",,,"FOUL  by DIALLO,HAMIDOU",2
18:24,"GOOD FT by AYERS,PERRY",29,,54 (+25),,CENTRE-M 29-54 (-25),,"GOOD FT by AYERS,PERRY",2
18:16,,,,,"MISS 3PTR by GABRIEL,WENYEN",,,"MISS 3PTR by GABRIEL,WENYEN",2
--,,,,,"REBOUND OFF by KNOX,KEVIN",,,"REBOUND OFF by KNOX,KEVIN",2
18:11,,,,,"MISS LAYUP by KNOX,KEVIN",,,"MISS LAYUP by KNOX,KEVIN",2
--,,,,,"REBOUND OFF by WASHINGTON,PJ",,,"REBOUND OFF by WASHINGTON,PJ",2
18:09,,,,,"MISS LAYUP by WASHINGTON,PJ",,,"MISS LAYUP by WASHINGTON,PJ",2
18:09,"BLOCK  by SPITZER,JAKOB",,,,,,,"BLOCK  by SPITZER,JAKOB",2
--,,,,,"REBOUND OFF by GABRIEL,WENYEN",,,"REBOUND OFF by GABRIEL,WENYEN",2
18:06,"FOUL  by SPITZER,JAKOB",,,,,,,"FOUL  by SPITZER,JAKOB",2
18:06,,,,,"MISS FT by GABRIEL,WENYEN",,,"MISS FT by GABRIEL,WENYEN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
18:06,,,,,"MISS FT by GABRIEL,WENYEN",,,"MISS FT by GABRIEL,WENYEN",2
--,,,,,"REBOUND OFF by GABRIEL,WENYEN",,,"REBOUND OFF by GABRIEL,WENYEN",2
18:06,,29,,56 (+27),"GOOD LAYUP by GABRIEL,WENYEN(in the paint)",UK 29-56 (-27),,"GOOD LAYUP by GABRIEL,WENYEN(in the paint)",2
18:06,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",2
18:06,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",2
17:29,"GOOD 3PTR by RAKES,BAILEY",32,,56 (+24),,CENTRE-M 32-56 (-24),,"GOOD 3PTR by RAKES,BAILEY",2
--,"ASSIST  by BATES,JACOB",,,,,,,"ASSIST  by BATES,JACOB",2
17:16,,,,,"MISS LAYUP by GABRIEL,WENYEN",,,"MISS LAYUP by GABRIEL,WENYEN",2
--,,,,,"REBOUND OFF by GABRIEL,WENYEN",,,"REBOUND OFF by GABRIEL,WENYEN",2
17:13,,,,,"MISS LAYUP by GABRIEL,WENYEN",,,"MISS LAYUP by GABRIEL,WENYEN",2
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",2
17:04,,,,,"FOUL  by DIALLO,HAMIDOU",,,"FOUL  by DIALLO,HAMIDOU",2
17:04,"GOOD FT by SINE,TUCKER",33,,56 (+23),,CENTRE-M 33-56 (-23),,"GOOD FT by SINE,TUCKER",2
17:04,"MISS FT by SINE,TUCKER",,,,,,,"MISS FT by SINE,TUCKER",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
17:04,"GOOD FT by SINE,TUCKER",34,,56 (+22),,CENTRE-M 34-56 (-22),,"GOOD FT by SINE,TUCKER",2
17:04,"SUB IN by HAGER,WILL",,,,,,,"SUB IN by HAGER,WILL",2
17:04,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",2
17:04,,,,,SUB IN by GILGEOUS-ALEXANDER,,,SUB IN by GILGEOUS-ALEXANDER,2
17:04,,,,,"SUB IN by RICHARDS,NICK",,,"SUB IN by RICHARDS,NICK",2
17:04,,,,,"SUB OUT by WASHINGTON,PJ",,,"SUB OUT by WASHINGTON,PJ",2
17:04,,,,,"SUB OUT by DIALLO,HAMIDOU",,,"SUB OUT by DIALLO,HAMIDOU",2
16:49,,,,,"TURNOVER  by KNOX,KEVIN",,,"TURNOVER  by KNOX,KEVIN",2
16:33,"MISS 3PTR by RAKES,BAILEY",,,,,,,"MISS 3PTR by RAKES,BAILEY",2
--,,,,,"REBOUND DEF by KNOX,KEVIN",,,"REBOUND DEF by KNOX,KEVIN",2
16:17,,34,,59 (+25),"GOOD 3PTR by GREEN,QUADE",UK 34-59 (-25),,"GOOD 3PTR by GREEN,QUADE",2
--,,,,,ASSIST  by GILGEOUS-ALEXANDER,,,ASSIST  by GILGEOUS-ALEXANDER,2
15:53,,,,,"FOUL  by GABRIEL,WENYEN",,,"FOUL  by GABRIEL,WENYEN",2
15:52,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
15:52,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",2
15:52,"SUB IN by HAGER,WILL",,,,,,,"SUB IN by HAGER,WILL",2
15:52,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",2
15:52,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",2
15:52,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",2
15:52,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",2
15:52,"SUB OUT by HAGER,WILL",,,,,,,"SUB OUT by HAGER,WILL",2
15:52,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",2
15:52,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",2
15:52,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",2
15:52,,,,,"SUB IN by WASHINGTON,PJ",,,"SUB IN by WASHINGTON,PJ",2
15:52,,,,,"SUB IN by KILLEYA-JONES,SACHA",,,"SUB IN by KILLEYA-JONES,SACHA",2
15:52,,,,,"SUB OUT by GABRIEL,WENYEN",,,"SUB OUT by GABRIEL,WENYEN",2
15:52,,,,,"SUB OUT by RICHARDS,NICK",,,"SUB OUT by RICHARDS,NICK",2
15:48,"GOOD LAYUP by HAGER,WILL(in the paint)",36,,59 (+23),,CENTRE-M 36-59 (-23),,"GOOD LAYUP by HAGER,WILL(in the paint)",2
--,"ASSIST  by BATES,JACOB",,,,,,,"ASSIST  by BATES,JACOB",2
15:29,,36,,61 (+25),"GOOD DUNK by KNOX,KEVIN(in the paint)",UK 36-61 (-25),,"GOOD DUNK by KNOX,KEVIN(in the paint)",2
--,,,,,"ASSIST  by GREEN,QUADE",,,"ASSIST  by GREEN,QUADE",2
14:57,"MISS JUMPER by HAGER,WILL",,,,,,,"MISS JUMPER by HAGER,WILL",2
14:57,,,,,"BLOCK  by WASHINGTON,PJ",,,"BLOCK  by WASHINGTON,PJ",2
--,,,,,"REBOUND DEF by KILLEYA-JONES,SACHA",,,"REBOUND DEF by KILLEYA-JONES,SACHA",2
14:50,"FOUL  by AYERS,PERRY",,,,,,,"FOUL  by AYERS,PERRY",2
14:50,,36,,62 (+26),GOOD FT by GILGEOUS-ALEXANDER,UK 36-62 (-26),,GOOD FT by GILGEOUS-ALEXANDER,2
14:50,,36,,63 (+27),GOOD FT by GILGEOUS-ALEXANDER,UK 36-63 (-27),,GOOD FT by GILGEOUS-ALEXANDER,2
14:27,"MISS JUMPER by BATES,JACOB",,,,,,,"MISS JUMPER by BATES,JACOB",2
--,,,,,"REBOUND DEF by KILLEYA-JONES,SACHA",,,"REBOUND DEF by KILLEYA-JONES,SACHA",2
14:20,,36,,65 (+29),"GOOD LAYUP by KILLEYA-JONES,SACHA(in the paint)",UK 36-65 (-29),,"GOOD LAYUP by KILLEYA-JONES,SACHA(in the paint)",2
--,,,,,"ASSIST  by GREEN,QUADE",,,"ASSIST  by GREEN,QUADE",2
14:15,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",2
14:15,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",2
14:15,,,,,"SUB IN by RICHARDS,NICK",,,"SUB IN by RICHARDS,NICK",2
14:15,,,,,"SUB OUT by WASHINGTON,PJ",,,"SUB OUT by WASHINGTON,PJ",2
14:14,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
14:14,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",2
14:14,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",2
14:14,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",2
14:14,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",2
14:14,"SUB IN by TERRY,CHRISTIAN",,,,,,,"SUB IN by TERRY,CHRISTIAN",2
14:14,"SUB IN by BROWNLEY,HOGAN",,,,,,,"SUB IN by BROWNLEY,HOGAN",2
14:14,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",2
14:14,"SUB OUT by TERRY,CHRISTIAN",,,,,,,"SUB OUT by TERRY,CHRISTIAN",2
14:14,"SUB OUT by BROWNLEY,HOGAN",,,,,,,"SUB OUT by BROWNLEY,HOGAN",2
14:14,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",2
14:14,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",2
14:14,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",2
14:14,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",2
14:14,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",2
14:14,,,,,"SUB IN by VANDERBILT,JARRED",,,"SUB IN by VANDERBILT,JARRED",2
14:14,,,,,SUB OUT by GILGEOUS-ALEXANDER,,,SUB OUT by GILGEOUS-ALEXANDER,2
13:59,"GOOD JUMPER by WALKER,ART(in the paint)",38,,65 (+27),,CENTRE-M 38-65 (-27),,"GOOD JUMPER by WALKER,ART(in the paint)",2
13:36,,,,,MISS JUMPER by GILGEOUS-ALEXANDER,,,MISS JUMPER by GILGEOUS-ALEXANDER,2
--,,,,,"REBOUND OFF by RICHARDS,NICK",,,"REBOUND OFF by RICHARDS,NICK",2
13:36,,38,,67 (+29),"GOOD LAYUP by RICHARDS,NICK(in the paint)",UK 38-67 (-29),,"GOOD LAYUP by RICHARDS,NICK(in the paint)",2
13:36,,,,,"SUB IN by GABRIEL,WENYEN",,,"SUB IN by GABRIEL,WENYEN",2
13:36,,,,,"SUB IN by DIALLO,HAMIDOU",,,"SUB IN by DIALLO,HAMIDOU",2
13:36,,,,,SUB IN by GILGEOUS-ALEXANDER,,,SUB IN by GILGEOUS-ALEXANDER,2
13:36,,,,,"SUB OUT by KILLEYA-JONES,SACHA",,,"SUB OUT by KILLEYA-JONES,SACHA",2
13:36,,,,,"SUB OUT by GREEN,QUADE",,,"SUB OUT by GREEN,QUADE",2
13:36,,,,,"SUB OUT by VANDERBILT,JARRED",,,"SUB OUT by VANDERBILT,JARRED",2
13:35,"FOUL  by SCHMUCKER,ZACH",,,,,,,"FOUL  by SCHMUCKER,ZACH",2
13:34,,38,,68 (+30),"GOOD FT by RICHARDS,NICK",UK 38-68 (-30),,"GOOD FT by RICHARDS,NICK",2
13:10,"GOOD 3PTR by WALKER,ART",41,,68 (+27),,CENTRE-M 41-68 (-27),,"GOOD 3PTR by WALKER,ART",2
--,"ASSIST  by RAKES,BAILEY",,,,,,,"ASSIST  by RAKES,BAILEY",2
12:48,,41,,70 (+29),"GOOD JUMPER by RICHARDS,NICK",UK 41-70 (-29),,"GOOD JUMPER by RICHARDS,NICK",2
12:23,"TURNOVER  by SCHMUCKER,ZACH",,,,,,,"TURNOVER  by SCHMUCKER,ZACH",2
12:22,,,,,"STEAL  by KNOX,KEVIN",,,"STEAL  by KNOX,KEVIN",2
12:19,,,,,"MISS LAYUP by DIALLO,HAMIDOU",,,"MISS LAYUP by DIALLO,HAMIDOU",2
--,,,,,"REBOUND OFF by KNOX,KEVIN",,,"REBOUND OFF by KNOX,KEVIN",2
12:16,,41,,72 (+31),"GOOD LAYUP by KNOX,KEVIN(in the paint)",UK 41-72 (-31),,"GOOD LAYUP by KNOX,KEVIN(in the paint)",2
12:05,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
11:54,,,,,"FOUL  by GABRIEL,WENYEN",,,"FOUL  by GABRIEL,WENYEN",2
11:54,,,,,"FOUL  by DIALLO,HAMIDOU",,,"FOUL  by DIALLO,HAMIDOU",2
11:54,,,,,"SUB IN by WASHINGTON,PJ",,,"SUB IN by WASHINGTON,PJ",2
11:54,,,,,"SUB OUT by GABRIEL,WENYEN",,,"SUB OUT by GABRIEL,WENYEN",2
11:38,"TURNOVER  by BATES,JACOB",,,,,,,"TURNOVER  by BATES,JACOB",2
11:27,,,,,"MISS JUMPER by WASHINGTON,PJ",,,"MISS JUMPER by WASHINGTON,PJ",2
--,,,,,"REBOUND OFF by RICHARDS,NICK",,,"REBOUND OFF by RICHARDS,NICK",2
11:25,"FOUL  by BATES,JACOB",,,,,,,"FOUL  by BATES,JACOB",2
11:25,,41,,73 (+32),"GOOD FT by RICHARDS,NICK",UK 41-73 (-32),,"GOOD FT by RICHARDS,NICK",2
11:25,,41,,74 (+33),"GOOD FT by RICHARDS,NICK",UK 41-74 (-33),,"GOOD FT by RICHARDS,NICK",2
11:15,"GOOD 3PTR by AYERS,PERRY",44,,74 (+30),,CENTRE-M 44-74 (-30),,"GOOD 3PTR by AYERS,PERRY",2
--,"ASSIST  by SINE,TUCKER",,,,,,,"ASSIST  by SINE,TUCKER",2
11:01,,44,,77 (+33),"GOOD 3PTR by KNOX,KEVIN",UK 44-77 (-33),,"GOOD 3PTR by KNOX,KEVIN",2
--,,,,,ASSIST  by GILGEOUS-ALEXANDER,,,ASSIST  by GILGEOUS-ALEXANDER,2
10:47,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",2
--,,,,,REBOUND DEF by GILGEOUS-ALEXANDER,,,REBOUND DEF by GILGEOUS-ALEXANDER,2
10:37,,,,,"MISS 3PTR by DIALLO,HAMIDOU",,,"MISS 3PTR by DIALLO,HAMIDOU",2
--,"REBOUND DEF by SPITZER,JAKOB",,,,,,,"REBOUND DEF by SPITZER,JAKOB",2
10:26,"TURNOVER  by BATES,JACOB",,,,,,,"TURNOVER  by BATES,JACOB",2
10:25,,,,,"STEAL  by KNOX,KEVIN",,,"STEAL  by KNOX,KEVIN",2
10:18,,44,,79 (+35),GOOD LAYUP by GILGEOUS-ALEXANDER(fastbreak)(in the paint),UK 44-79 (-35),,GOOD LAYUP by GILGEOUS-ALEXANDER(fastbreak)(in the paint),2
10:01,"TURNOVER  by BATES,JACOB",,,,,,,"TURNOVER  by BATES,JACOB",2
10:00,,,,,STEAL  by GILGEOUS-ALEXANDER,,,STEAL  by GILGEOUS-ALEXANDER,2
09:56,,,,,"TURNOVER  by DIALLO,HAMIDOU",,,"TURNOVER  by DIALLO,HAMIDOU",2
09:56,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",2
09:56,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",2
09:56,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",2
09:56,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",2
09:56,,,,,"SUB IN by GABRIEL,WENYEN",,,"SUB IN by GABRIEL,WENYEN",2
09:56,,,,,"SUB OUT by WASHINGTON,PJ",,,"SUB OUT by WASHINGTON,PJ",2
09:41,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
09:32,,,,,"SUB IN by KILLEYA-JONES,SACHA",,,"SUB IN by KILLEYA-JONES,SACHA",2
09:32,,,,,"SUB IN by GREEN,QUADE",,,"SUB IN by GREEN,QUADE",2
09:32,,,,,"SUB OUT by RICHARDS,NICK",,,"SUB OUT by RICHARDS,NICK",2
09:32,,,,,SUB OUT by GILGEOUS-ALEXANDER,,,SUB OUT by GILGEOUS-ALEXANDER,2
09:09,"GOOD 3PTR by SINE,TUCKER",47,,79 (+32),,CENTRE-M 47-79 (-32),,"GOOD 3PTR by SINE,TUCKER",2
--,"ASSIST  by HAGER,WILL",,,,,,,"ASSIST  by HAGER,WILL",2
08:52,,,,,"TURNOVER  by KNOX,KEVIN",,,"TURNOVER  by KNOX,KEVIN",2
08:51,"STEAL  by GRIFFIN,JAROD",,,,,,,"STEAL  by GRIFFIN,JAROD",2
08:48,"GOOD LAYUP by GRIFFIN,JAROD(fastbreak)(in the paint)",49,,79 (+30),,CENTRE-M 49-79 (-30),,"GOOD LAYUP by GRIFFIN,JAROD(fastbreak)(in the paint)",2
08:41,,,,,"MISS JUMPER by GREEN,QUADE",,,"MISS JUMPER by GREEN,QUADE",2
--,"REBOUND DEF by SINE,TUCKER",,,,,,,"REBOUND DEF by SINE,TUCKER",2
08:35,"TURNOVER  by SINE,TUCKER",,,,,,,"TURNOVER  by SINE,TUCKER",2
08:34,,,,,"STEAL  by GREEN,QUADE",,,"STEAL  by GREEN,QUADE",2
08:31,,,,,"TURNOVER  by DIALLO,HAMIDOU",,,"TURNOVER  by DIALLO,HAMIDOU",2
08:30,"STEAL  by RAKES,BAILEY",,,,,,,"STEAL  by RAKES,BAILEY",2
08:24,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",2
08:23,,,,,"BLOCK  by GABRIEL,WENYEN",,,"BLOCK  by GABRIEL,WENYEN",2
--,,,,,"REBOUND DEF by KNOX,KEVIN",,,"REBOUND DEF by KNOX,KEVIN",2
08:18,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
08:18,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",2
08:18,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",2
08:11,,,,,SUB IN by GILGEOUS-ALEXANDER,,,SUB IN by GILGEOUS-ALEXANDER,2
08:11,,,,,"SUB OUT by KNOX,KEVIN",,,"SUB OUT by KNOX,KEVIN",2
08:07,,,,,"MISS JUMPER by DIALLO,HAMIDOU",,,"MISS JUMPER by DIALLO,HAMIDOU",2
--,,,,,"REBOUND OFF by KILLEYA-JONES,SACHA",,,"REBOUND OFF by KILLEYA-JONES,SACHA",2
08:04,"FOUL  by HAGER,WILL",,,,,,,"FOUL  by HAGER,WILL",2
08:04,,,,,"MISS FT by KILLEYA-JONES,SACHA",,,"MISS FT by KILLEYA-JONES,SACHA",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
08:04,,,,,"MISS FT by KILLEYA-JONES,SACHA",,,"MISS FT by KILLEYA-JONES,SACHA",2
--,,,,,"REBOUND OFF by GABRIEL,WENYEN",,,"REBOUND OFF by GABRIEL,WENYEN",2
08:04,,49,,81 (+32),"GOOD LAYUP by GABRIEL,WENYEN(in the paint)",UK 49-81 (-32),,"GOOD LAYUP by GABRIEL,WENYEN(in the paint)",2
07:43,"MISS LAYUP by AYERS,PERRY",,,,,,,"MISS LAYUP by AYERS,PERRY",2
--,,,,,"REBOUND DEF by KILLEYA-JONES,SACHA",,,"REBOUND DEF by KILLEYA-JONES,SACHA",2
07:36,,49,,83 (+34),"GOOD LAYUP by GREEN,QUADE(in the paint)",UK 49-83 (-34),,"GOOD LAYUP by GREEN,QUADE(in the paint)",2
07:15,"TURNOVER  by SINE,TUCKER",,,,,,,"TURNOVER  by SINE,TUCKER",2
07:13,,,,,"STEAL  by KILLEYA-JONES,SACHA",,,"STEAL  by KILLEYA-JONES,SACHA",2
07:10,,49,,85 (+36),"GOOD LAYUP by DIALLO,HAMIDOU(fastbreak)(in the paint)",UK 49-85 (-36),,"GOOD LAYUP by DIALLO,HAMIDOU(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by KILLEYA-JONES,SACHA",,,"ASSIST  by KILLEYA-JONES,SACHA",2
07:00,"TURNOVER  by WALKER,ART",,,,,,,"TURNOVER  by WALKER,ART",2
06:57,,,,,"TURNOVER  by DIALLO,HAMIDOU",,,"TURNOVER  by DIALLO,HAMIDOU",2
06:56,"STEAL  by SINE,TUCKER",,,,,,,"STEAL  by SINE,TUCKER",2
06:55,"GOOD LAYUP by SINE,TUCKER(fastbreak)(in the paint)",51,,85 (+34),,CENTRE-M 51-85 (-34),,"GOOD LAYUP by SINE,TUCKER(fastbreak)(in the paint)",2
06:52,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",2
06:52,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",2
06:52,,,,,"SUB IN by WYNYARD,TAI",,,"SUB IN by WYNYARD,TAI",2
06:52,,,,,"SUB OUT by KILLEYA-JONES,SACHA",,,"SUB OUT by KILLEYA-JONES,SACHA",2
06:51,,,,,MISS JUMPER by GILGEOUS-ALEXANDER,,,MISS JUMPER by GILGEOUS-ALEXANDER,2
--,"REBOUND DEF by SCHMUCKER,ZACH",,,,,,,"REBOUND DEF by SCHMUCKER,ZACH",2
06:46,"MISS JUMPER by AYERS,PERRY",,,,,,,"MISS JUMPER by AYERS,PERRY",2
--,,,,,"REBOUND DEF by GABRIEL,WENYEN",,,"REBOUND DEF by GABRIEL,WENYEN",2
06:20,,51,,87 (+36),"GOOD LAYUP by GREEN,QUADE(fastbreak)(in the paint)",UK 51-87 (-36),,"GOOD LAYUP by GREEN,QUADE(fastbreak)(in the paint)",2
06:06,"GOOD 3PTR by SCHMUCKER,ZACH",54,,87 (+33),,CENTRE-M 54-87 (-33),,"GOOD 3PTR by SCHMUCKER,ZACH",2
--,"ASSIST  by SINE,TUCKER",,,,,,,"ASSIST  by SINE,TUCKER",2
05:51,,,,,"MISS JUMPER by GREEN,QUADE",,,"MISS JUMPER by GREEN,QUADE",2
--,,,,,"REBOUND OFF by WYNYARD,TAI",,,"REBOUND OFF by WYNYARD,TAI",2
05:44,"FOUL  by AYERS,PERRY",,,,,,,"FOUL  by AYERS,PERRY",2
05:44,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",2
05:44,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",2
05:44,"SUB OUT by HAGER,WILL",,,,,,,"SUB OUT by HAGER,WILL",2
05:44,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",2
05:44,,,,,"SUB IN by KNOX,KEVIN",,,"SUB IN by KNOX,KEVIN",2
05:44,,,,,"SUB OUT by DIALLO,HAMIDOU",,,"SUB OUT by DIALLO,HAMIDOU",2
05:37,,54,,89 (+35),"GOOD JUMPER by KNOX,KEVIN",UK 54-89 (-35),,"GOOD JUMPER by KNOX,KEVIN",2
05:23,"MISS JUMPER by SCHMUCKER,ZACH",,,,,,,"MISS JUMPER by SCHMUCKER,ZACH",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
05:19,"SUB IN by BROWNLEY,HOGAN",,,,,,,"SUB IN by BROWNLEY,HOGAN",2
05:19,"SUB IN by CAVANAUGH,CHASE",,,,,,,"SUB IN by CAVANAUGH,CHASE",2
05:19,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",2
05:19,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",2
05:00,,54,,91 (+37),"GOOD JUMPER by KNOX,KEVIN(in the paint)",UK 54-91 (-37),,"GOOD JUMPER by KNOX,KEVIN(in the paint)",2
04:33,"MISS 3PTR by GRIFFIN,JAROD",,,,,,,"MISS 3PTR by GRIFFIN,JAROD",2
04:33,,,,,BLOCK  by GILGEOUS-ALEXANDER,,,BLOCK  by GILGEOUS-ALEXANDER,2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
04:31,"MISS JUMPER by BATES,JACOB",,,,,,,"MISS JUMPER by BATES,JACOB",2
--,,,,,"REBOUND DEF by GABRIEL,WENYEN",,,"REBOUND DEF by GABRIEL,WENYEN",2
04:25,,54,,94 (+40),"GOOD 3PTR by GABRIEL,WENYEN",UK 54-94 (-40),,"GOOD 3PTR by GABRIEL,WENYEN",2
--,,,,,"ASSIST  by GREEN,QUADE",,,"ASSIST  by GREEN,QUADE",2
03:58,"MISS JUMPER by GRIFFIN,JAROD",,,,,,,"MISS JUMPER by GRIFFIN,JAROD",2
--,,,,,"REBOUND DEF by GREEN,QUADE",,,"REBOUND DEF by GREEN,QUADE",2
03:53,,54,,96 (+42),"GOOD LAYUP by KNOX,KEVIN(fastbreak)(in the paint)",UK 54-96 (-42),,"GOOD LAYUP by KNOX,KEVIN(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by GREEN,QUADE",,,"ASSIST  by GREEN,QUADE",2
03:27,"GOOD LAYUP by AYERS,PERRY(in the paint)",56,,96 (+40),,CENTRE-M 56-96 (-40),,"GOOD LAYUP by AYERS,PERRY(in the paint)",2
03:16,"FOUL  by CAVANAUGH,CHASE",,,,,,,"FOUL  by CAVANAUGH,CHASE",2
03:16,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
03:16,,56,,97 (+41),"GOOD FT by GREEN,QUADE",UK 56-97 (-41),,"GOOD FT by GREEN,QUADE",2
03:16,,,,,"MISS FT by GREEN,QUADE",,,"MISS FT by GREEN,QUADE",2
--,"REBOUND DEF by PURVIS,KC",,,,,,,"REBOUND DEF by PURVIS,KC",2
03:16,"SUB IN by JACKSON,BRAYDEN",,,,,,,"SUB IN by JACKSON,BRAYDEN",2
03:16,"SUB IN by PURVIS,KC",,,,,,,"SUB IN by PURVIS,KC",2
03:16,"SUB IN by PRICE,KAMDEN",,,,,,,"SUB IN by PRICE,KAMDEN",2
03:16,"SUB IN by NOBLE,CARSON",,,,,,,"SUB IN by NOBLE,CARSON",2
03:16,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",2
03:16,"SUB OUT by BROWNLEY,HOGAN",,,,,,,"SUB OUT by BROWNLEY,HOGAN",2
03:16,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",2
03:16,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",2
03:16,,,,,"SUB IN by RICHARDS,NICK",,,"SUB IN by RICHARDS,NICK",2
03:16,,,,,"SUB OUT by WYNYARD,TAI",,,"SUB OUT by WYNYARD,TAI",2
02:59,"GOOD 3PTR by JACKSON,BRAYDEN",59,,97 (+38),,CENTRE-M 59-97 (-38),,"GOOD 3PTR by JACKSON,BRAYDEN",2
