Time Remaining,CENTRE-M,Away Team Score,Play Team Indicator,Home Team Score,MILMB,Game Score,Team Indicator,Play,Period
01:14,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",2
01:14,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",2
01:14,,,,,"SUB IN by TURNER,JAMES",,,"SUB IN by TURNER,JAMES",2
01:14,,,,,"SUB OUT by BLANZ,BUCK",,,"SUB OUT by BLANZ,BUCK",2
01:00,,,,,"FOUL  by BECKER,SAXTON",,,"FOUL  by BECKER,SAXTON",2
01:00,"GOOD FT by AYERS,PERRY",61,,62 (+1),,CENTRE-M 61-62 (-1),,"GOOD FT by AYERS,PERRY",2
01:00,"GOOD FT by AYERS,PERRY",62,,62,,CENTRE-M 62-62 (0),,"GOOD FT by AYERS,PERRY",2
01:00,,,,,"SUB IN by OWENS,MATT",,,"SUB IN by OWENS,MATT",2
01:00,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",2
00:47,,,,,"TURNOVER  by BECKER,SAXTON",,,"TURNOVER  by BECKER,SAXTON",2
00:47,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:47,,,,,"SUB IN by TURNER,JAMES",,,"SUB IN by TURNER,JAMES",2
00:47,,,,,"SUB OUT by OWENS,MATT",,,"SUB OUT by OWENS,MATT",2
00:24,"GOOD LAYUP by BATES,JACOB(in the paint)",64 (+2),,62,,CENTRE-M 64-62 (+2),,"GOOD LAYUP by BATES,JACOB(in the paint)",2
00:09,,,,,"MISS JUMPER by KOHNKE,SAM",,,"MISS JUMPER by KOHNKE,SAM",2
--,,,,,"REBOUND OFF by BECKER,SAXTON",,,"REBOUND OFF by BECKER,SAXTON",2
00:03,,,,,"MISS 3PTR by BECKER,SAXTON",,,"MISS 3PTR by BECKER,SAXTON",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
00:01,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
00:01,,,,,"FOUL  by SULLIVAN,MICHAEL",,,"FOUL  by SULLIVAN,MICHAEL",2
00:01,"GOOD FT by CRUMP,DAWSON",65 (+3),,62,,CENTRE-M 65-62 (+3),,"GOOD FT by CRUMP,DAWSON",2
00:01,"MISS FT by CRUMP,DAWSON",,,,,,,"MISS FT by CRUMP,DAWSON",2
--,"REBOUND OFF by SINE,TUCKER",,,,,,,"REBOUND OFF by SINE,TUCKER",2
