Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-M,Game Score,Team Indicator,Play,Period
11:21,"STEAL  by HOLLOWAY,JACK",,,,,,,"STEAL  by HOLLOWAY,JACK",1
11:02,"GOOD 3PTR by HOWELL,TAYLOR",20 (+5),,15,,SEWANEE 20-15 (-5),,"GOOD 3PTR by HOWELL,TAYLOR",1
--,"ASSIST  by SMITH,LUKE",,,,,,,"ASSIST  by SMITH,LUKE",1
10:41,,20 (+3),,17,"GOOD JUMPER by GRIFFIN,JAROD(in the paint)",CENTRE-M 20-17 (-3),,"GOOD JUMPER by GRIFFIN,JAROD(in the paint)",1
10:25,"GOOD LAYUP by MCDONOUGH,SEAN(in the paint)",22 (+5),,17,,SEWANEE 22-17 (-5),,"GOOD LAYUP by MCDONOUGH,SEAN(in the paint)",1
--,"ASSIST  by HOLLOWAY,JACK",,,,,,,"ASSIST  by HOLLOWAY,JACK",1
10:08,,22 (+2),,20,"GOOD 3PTR by GRIFFIN,JAROD",CENTRE-M 22-20 (-2),,"GOOD 3PTR by GRIFFIN,JAROD",1
--,,,,,"ASSIST  by CRUMP,DAWSON",,,"ASSIST  by CRUMP,DAWSON",1
09:51,"GOOD 3PTR by SMITH,LUKE",25 (+5),,20,,SEWANEE 25-20 (-5),,"GOOD 3PTR by SMITH,LUKE",1
--,"ASSIST  by MCDONOUGH,SEAN",,,,,,,"ASSIST  by MCDONOUGH,SEAN",1
09:38,,,,,"MISS JUMPER by SINE,TUCKER",,,"MISS JUMPER by SINE,TUCKER",1
--,"REBOUND DEF by CALDWELL,CAM",,,,,,,"REBOUND DEF by CALDWELL,CAM",1
09:25,"MISS LAYUP by MCDONOUGH,SEAN",,,,,,,"MISS LAYUP by MCDONOUGH,SEAN",1
--,,,,,"REBOUND DEF by GRIFFIN,JAROD",,,"REBOUND DEF by GRIFFIN,JAROD",1
09:15,,,,,"TURNOVER  by CRUMP,DAWSON",,,"TURNOVER  by CRUMP,DAWSON",1
09:15,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
09:15,"SUB IN by THOMAS,ADRIAN",,,,,,,"SUB IN by THOMAS,ADRIAN",1
09:15,"SUB IN by LEE,MATT",,,,,,,"SUB IN by LEE,MATT",1
09:15,"SUB OUT by HOLLOWAY,JACK",,,,,,,"SUB OUT by HOLLOWAY,JACK",1
09:15,"SUB OUT by SMITH,LUKE",,,,,,,"SUB OUT by SMITH,LUKE",1
09:15,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",1
09:15,,,,,"SUB IN by AYERS,PERRY",,,"SUB IN by AYERS,PERRY",1
09:15,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",1
09:15,,,,,"SUB IN by RAKES,BAILEY",,,"SUB IN by RAKES,BAILEY",1
09:15,,,,,"SUB OUT by SPITZER,JAKOB",,,"SUB OUT by SPITZER,JAKOB",1
09:15,,,,,"SUB OUT by WALKER,ART",,,"SUB OUT by WALKER,ART",1
09:15,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",1
09:15,,,,,"SUB OUT by CRUMP,DAWSON",,,"SUB OUT by CRUMP,DAWSON",1
08:55,,,,,"FOUL  by AYERS,PERRY",,,"FOUL  by AYERS,PERRY",1
08:55,"SUB IN by SMITH,LUKE",,,,,,,"SUB IN by SMITH,LUKE",1
08:55,"SUB OUT by MCDONOUGH,SEAN",,,,,,,"SUB OUT by MCDONOUGH,SEAN",1
08:37,"TURNOVER  by LEE,MATT",,,,,,,"TURNOVER  by LEE,MATT",1
08:22,,,,,"MISS 3PTR by SCHMUCKER,ZACH",,,"MISS 3PTR by SCHMUCKER,ZACH",1
--,,,,,"REBOUND OFF by BATES,JACOB",,,"REBOUND OFF by BATES,JACOB",1
08:12,,25 (+3),,22,"GOOD TIPIN by BATES,JACOB(in the paint)",CENTRE-M 25-22 (-3),,"GOOD TIPIN by BATES,JACOB(in the paint)",1
07:52,"GOOD JUMPER by SMITH,LUKE(in the paint)",27 (+5),,22,,SEWANEE 27-22 (-5),,"GOOD JUMPER by SMITH,LUKE(in the paint)",1
07:35,,,,,"MISS JUMPER by BATES,JACOB",,,"MISS JUMPER by BATES,JACOB",1
--,,,,,"REBOUND OFF by BATES,JACOB",,,"REBOUND OFF by BATES,JACOB",1
07:33,"FOUL  by LEE,MATT",,,,,,,"FOUL  by LEE,MATT",1
07:33,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
07:33,,27 (+4),,23,"GOOD FT by BATES,JACOB",CENTRE-M 27-23 (-4),,"GOOD FT by BATES,JACOB",1
07:33,,,,,"MISS FT by BATES,JACOB",,,"MISS FT by BATES,JACOB",1
--,"REBOUND DEF by THOMAS,ADRIAN",,,,,,,"REBOUND DEF by THOMAS,ADRIAN",1
07:33,"SUB IN by MCDONOUGH,SEAN",,,,,,,"SUB IN by MCDONOUGH,SEAN",1
07:33,"SUB OUT by LEE,MATT",,,,,,,"SUB OUT by LEE,MATT",1
