Time Remaining,CCM,Away Team Score,Play Team Indicator,Home Team Score,BSC-M,Game Score,Team Indicator,Play,Period
13:43,,,,,"FOUL  by O'SULLIVAN,CONOR",,,"FOUL  by O'SULLIVAN,CONOR",1
13:43,,,,,"TURNOVER  by O'SULLIVAN,CONOR",,,"TURNOVER  by O'SULLIVAN,CONOR",1
13:26,"MISS 3PTR by BARNETTE,CHRIS",,,,,,,"MISS 3PTR by BARNETTE,CHRIS",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
13:06,,,,,"MISS JUMPER by O'SULLIVAN,CONOR",,,"MISS JUMPER by O'SULLIVAN,CONOR",1
--,"REBOUND DEF by OETJEN,NOAH",,,,,,,"REBOUND DEF by OETJEN,NOAH",1
12:55,"GOOD 3PTR by BARNETTE,CHRIS",14 (+10),,4,,CCM 14-4 (-10),,"GOOD 3PTR by BARNETTE,CHRIS",1
--,"ASSIST  by OETJEN,NOAH",,,,,,,"ASSIST  by OETJEN,NOAH",1
12:44,,14 (+8),,6,"GOOD LAYUP by SPENCE,BEN(in the paint)",BSC-M 14-6 (-8),,"GOOD LAYUP by SPENCE,BEN(in the paint)",1
12:22,"TURNOVER  by CRUMLY,WILL",,,,,,,"TURNOVER  by CRUMLY,WILL",1
12:20,,,,,"STEAL  by O'SULLIVAN,CONOR",,,"STEAL  by O'SULLIVAN,CONOR",1
12:18,,14 (+6),,8,"GOOD LAYUP by BAK,CALVIN(fastbreak)(in the paint)",BSC-M 14-8 (-6),,"GOOD LAYUP by BAK,CALVIN(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by O'SULLIVAN,CONOR",,,"ASSIST  by O'SULLIVAN,CONOR",1
12:06,"GOOD JUMPER by BARNETTE,CHRIS",16 (+8),,8,,CCM 16-8 (-8),,"GOOD JUMPER by BARNETTE,CHRIS",1
11:42,,,,,"MISS JUMPER by O'SULLIVAN,CONOR",,,"MISS JUMPER by O'SULLIVAN,CONOR",1
--,"REBOUND DEF by BARNETTE,CHRIS",,,,,,,"REBOUND DEF by BARNETTE,CHRIS",1
11:40,,,,,"FOUL  by FITZGERALD,PAUL",,,"FOUL  by FITZGERALD,PAUL",1
11:40,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
11:40,"SUB IN by ALLEN,ZACK",,,,,,,"SUB IN by ALLEN,ZACK",1
11:40,"SUB IN by MITCHELL,JAMES",,,,,,,"SUB IN by MITCHELL,JAMES",1
11:40,"SUB IN by HOLLIS,MITCHELL",,,,,,,"SUB IN by HOLLIS,MITCHELL",1
11:40,"SUB OUT by BARNETTE,CHRIS",,,,,,,"SUB OUT by BARNETTE,CHRIS",1
11:40,"SUB OUT by OETJEN,NOAH",,,,,,,"SUB OUT by OETJEN,NOAH",1
