Time Remaining,LETU,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
05:53,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
05:50,,,,,"MISS 3PTR by KANE,DENMAN",,,"MISS 3PTR by KANE,DENMAN",2
--,"REBOUND DEF by RICHARDSON,WARREN",,,,,,,"REBOUND DEF by RICHARDSON,WARREN",2
05:42,"GOOD JUMPER by RICHARDSON,WARREN(fastbreak)(in the paint)",74 (+18),,56,,LETU 74-56 (-18),,"GOOD JUMPER by RICHARDSON,WARREN(fastbreak)(in the paint)",2
05:21,,,,,"MISS LAYUP by FITZGERALD,PAUL(in the paint)",,,"MISS LAYUP by FITZGERALD,PAUL(in the paint)",2
--,,,,,"REBOUND OFF by KANE,DENMAN",,,"REBOUND OFF by KANE,DENMAN",2
05:14,,,,,"MISS 3PTR by O'SULLIVAN,CONOR",,,"MISS 3PTR by O'SULLIVAN,CONOR",2
--,"REBOUND DEF by ARGUE,JOHN",,,,,,,"REBOUND DEF by ARGUE,JOHN",2
04:58,"MISS 3PTR by WILSON,KYCE",,,,,,,"MISS 3PTR by WILSON,KYCE",2
--,"REBOUND OFF by RICHARDSON,WARREN",,,,,,,"REBOUND OFF by RICHARDSON,WARREN",2
04:55,,,,,"FOUL  by SPENCE,BEN",,,"FOUL  by SPENCE,BEN",2
04:55,"GOOD FT by RICHARDSON,WARREN",75 (+19),,56,,LETU 75-56 (-19),,"GOOD FT by RICHARDSON,WARREN",2
04:55,"SUB OUT by ARGUE,JOHN",,,,,,,"SUB OUT by ARGUE,JOHN",2
04:55,"SUB IN by GERBER,ELIJAH",,,,,,,"SUB IN by GERBER,ELIJAH",2
04:55,"MISS FT by RICHARDSON,WARREN",,,,,,,"MISS FT by RICHARDSON,WARREN",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
04:50,"SUB OUT by FOSNIGHT,BRICK",,,,,,,"SUB OUT by FOSNIGHT,BRICK",2
04:50,"SUB IN by THELEN,PAUL",,,,,,,"SUB IN by THELEN,PAUL",2
04:46,,,,,"MISS 3PTR by FITZGERALD,PAUL",,,"MISS 3PTR by FITZGERALD,PAUL",2
--,"REBOUND DEF by WILSON,KYCE",,,,,,,"REBOUND DEF by WILSON,KYCE",2
04:41,"MISS LAYUP by THELEN,PAUL(in the paint)",,,,,,,"MISS LAYUP by THELEN,PAUL(in the paint)",2
--,,,,,"REBOUND DEF by KANE,DENMAN",,,"REBOUND DEF by KANE,DENMAN",2
04:32,,,,,"TURNOVER  by O'SULLIVAN,CONOR",,,"TURNOVER  by O'SULLIVAN,CONOR",2
04:32,,,,,"SUB OUT by O'SULLIVAN,CONOR",,,"SUB OUT by O'SULLIVAN,CONOR",2
04:32,,,,,"SUB IN by BARNETT,CHARLIE",,,"SUB IN by BARNETT,CHARLIE",2
04:12,"TURNOVER  by WEST,NATE",,,,,,,"TURNOVER  by WEST,NATE",2
04:12,,,,,"STEAL  by SPENCE,BEN",,,"STEAL  by SPENCE,BEN",2
04:02,,,,,"MISS 3PTR by FITZGERALD,PAUL",,,"MISS 3PTR by FITZGERALD,PAUL",2
--,"REBOUND DEF by RICHARDSON,WARREN",,,,,,,"REBOUND DEF by RICHARDSON,WARREN",2
03:52,"MISS 3PTR by WILSON,KYCE",,,,,,,"MISS 3PTR by WILSON,KYCE",2
--,,,,,"REBOUND DEF by SPENCE,BEN",,,"REBOUND DEF by SPENCE,BEN",2
03:40,,,,,"MISS 3PTR by KANE,DENMAN",,,"MISS 3PTR by KANE,DENMAN",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
03:36,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
03:36,,,,,"SUB OUT by FITZGERALD,PAUL",,,"SUB OUT by FITZGERALD,PAUL",2
03:36,,,,,"SUB OUT by STEWART,CHRISTIAN",,,"SUB OUT by STEWART,CHRISTIAN",2
03:36,,,,,"SUB IN by MORRISON,JASON",,,"SUB IN by MORRISON,JASON",2
03:36,,,,,"SUB IN by CHILDERS,JOSH",,,"SUB IN by CHILDERS,JOSH",2
03:36,"SUB OUT by WILSON,KYCE",,,,,,,"SUB OUT by WILSON,KYCE",2
03:36,"SUB IN by MOORE,JUSTIN",,,,,,,"SUB IN by MOORE,JUSTIN",2
03:27,"MISS LAYUP by MOORE,JUSTIN(in the paint)",,,,,,,"MISS LAYUP by MOORE,JUSTIN(in the paint)",2
--,,,,,"REBOUND DEF by CHILDERS,JOSH",,,"REBOUND DEF by CHILDERS,JOSH",2
03:00,,,,,"MISS 3PTR by KANE,DENMAN",,,"MISS 3PTR by KANE,DENMAN",2
--,"REBOUND DEF by RICHARDSON,WARREN",,,,,,,"REBOUND DEF by RICHARDSON,WARREN",2
02:49,,,,,"FOUL  by CHILDERS,JOSH",,,"FOUL  by CHILDERS,JOSH",2
02:49,"GOOD FT by RICHARDSON,WARREN",76 (+20),,56,,LETU 76-56 (-20),,"GOOD FT by RICHARDSON,WARREN",2
02:49,,,,,"SUB OUT by SPENCE,BEN",,,"SUB OUT by SPENCE,BEN",2
02:49,,,,,"SUB IN by BRIGHT JR.,BRUCE",,,"SUB IN by BRIGHT JR.,BRUCE",2
02:49,"MISS FT by RICHARDSON,WARREN",,,,,,,"MISS FT by RICHARDSON,WARREN",2
--,,,,,"REBOUND DEF by BARNETT,CHARLIE",,,"REBOUND DEF by BARNETT,CHARLIE",2
02:37,,76 (+18),,58,"GOOD JUMPER by BARNETT,CHARLIE",BSC 76-58 (-18),,"GOOD JUMPER by BARNETT,CHARLIE",2
02:33,,,,,"FOUL  by BARNETT,CHARLIE",,,"FOUL  by BARNETT,CHARLIE",2
02:33,"SUB OUT by RICHARDSON,WARREN",,,,,,,"SUB OUT by RICHARDSON,WARREN",2
02:33,"SUB IN by JONES,BREYDEN",,,,,,,"SUB IN by JONES,BREYDEN",2
02:33,"GOOD FT by WEST,NATE(fastbreak)",77 (+19),,58,,LETU 77-58 (-19),,"GOOD FT by WEST,NATE(fastbreak)",2
02:33,"GOOD FT by WEST,NATE(fastbreak)",78 (+20),,58,,LETU 78-58 (-20),,"GOOD FT by WEST,NATE(fastbreak)",2
02:33,"SUB OUT by WEST,NATE",,,,,,,"SUB OUT by WEST,NATE",2
02:33,"SUB IN by MATTHEWS,KYLE",,,,,,,"SUB IN by MATTHEWS,KYLE",2
02:22,,,,,"MISS LAYUP by MORRISON,JASON(in the paint)",,,"MISS LAYUP by MORRISON,JASON(in the paint)",2
--,,,,,"REBOUND OFF by CHILDERS,JOSH",,,"REBOUND OFF by CHILDERS,JOSH",2
02:21,"FOUL  by THELEN,PAUL",,,,,,,"FOUL  by THELEN,PAUL",2
02:21,,78 (+19),,59,"GOOD FT by CHILDERS,JOSH",BSC 78-59 (-19),,"GOOD FT by CHILDERS,JOSH",2
02:21,,78 (+18),,60,"GOOD FT by CHILDERS,JOSH",BSC 78-60 (-18),,"GOOD FT by CHILDERS,JOSH",2
02:09,"MISS LAYUP by MATTHEWS,KYLE(in the paint)",,,,,,,"MISS LAYUP by MATTHEWS,KYLE(in the paint)",2
--,,,,,"REBOUND DEF by BARNETT,CHARLIE",,,"REBOUND DEF by BARNETT,CHARLIE",2
01:53,,,,,"MISS LAYUP by BARNETT,CHARLIE(in the paint)",,,"MISS LAYUP by BARNETT,CHARLIE(in the paint)",2
--,,,,,"REBOUND OFF by CHILDERS,JOSH",,,"REBOUND OFF by CHILDERS,JOSH",2
01:51,,,,,"MISS LAYUP by CHILDERS,JOSH(in the paint)",,,"MISS LAYUP by CHILDERS,JOSH(in the paint)",2
--,,,,,"REBOUND OFF by BRIGHT JR.,BRUCE",,,"REBOUND OFF by BRIGHT JR.,BRUCE",2
01:51,"FOUL  by GERBER,ELIJAH",,,,,,,"FOUL  by GERBER,ELIJAH",2
01:51,,78 (+17),,61,"GOOD FT by BRIGHT JR.,BRUCE",BSC 78-61 (-17),,"GOOD FT by BRIGHT JR.,BRUCE",2
01:51,,,,,"SUB OUT by CHILDERS,JOSH",,,"SUB OUT by CHILDERS,JOSH",2
01:51,,,,,"SUB IN by BYRON,TREVOR",,,"SUB IN by BYRON,TREVOR",2
01:51,,78 (+16),,62,"GOOD FT by BRIGHT JR.,BRUCE",BSC 78-62 (-16),,"GOOD FT by BRIGHT JR.,BRUCE",2
01:37,,,,,"FOUL  by BARNETT,CHARLIE",,,"FOUL  by BARNETT,CHARLIE",2
01:37,"GOOD FT by MOORE,JUSTIN",79 (+17),,62,,LETU 79-62 (-17),,"GOOD FT by MOORE,JUSTIN",2
01:37,,,,,"SUB OUT by MORRISON,JASON",,,"SUB OUT by MORRISON,JASON",2
01:37,,,,,"SUB IN by LARSON,CLARK",,,"SUB IN by LARSON,CLARK",2
01:37,"SUB OUT by GERBER,ELIJAH",,,,,,,"SUB OUT by GERBER,ELIJAH",2
01:37,"SUB IN by GUIDRY,JOSH",,,,,,,"SUB IN by GUIDRY,JOSH",2
01:37,"GOOD FT by MOORE,JUSTIN",80 (+18),,62,,LETU 80-62 (-18),,"GOOD FT by MOORE,JUSTIN",2
01:37,"SUB OUT by MOORE,JUSTIN",,,,,,,"SUB OUT by MOORE,JUSTIN",2
01:37,"SUB IN by HESTER,DEMARCUS",,,,,,,"SUB IN by HESTER,DEMARCUS",2
01:30,,,,,"MISS 3PTR by KANE,DENMAN",,,"MISS 3PTR by KANE,DENMAN",2
--,,,,,"REBOUND OFF by BARNETT,CHARLIE",,,"REBOUND OFF by BARNETT,CHARLIE",2
01:14,,,,,"MISS 3PTR by BRIGHT JR.,BRUCE",,,"MISS 3PTR by BRIGHT JR.,BRUCE",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
01:09,"FOUL  by GUIDRY,JOSH",,,,,,,"FOUL  by GUIDRY,JOSH",2
01:09,,,,,"MISS FT by LARSON,CLARK",,,"MISS FT by LARSON,CLARK",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
01:09,,80 (+17),,63,"GOOD FT by LARSON,CLARK",BSC 80-63 (-17),,"GOOD FT by LARSON,CLARK",2
00:57,"MISS LAYUP by JONES,BREYDEN(in the paint)",,,,,,,"MISS LAYUP by JONES,BREYDEN(in the paint)",2
--,,,,,"REBOUND DEF by LARSON,CLARK",,,"REBOUND DEF by LARSON,CLARK",2
00:55,"FOUL  by THELEN,PAUL",,,,,,,"FOUL  by THELEN,PAUL",2
00:55,,,,,"MISS FT by LARSON,CLARK(fastbreak)",,,"MISS FT by LARSON,CLARK(fastbreak)",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
00:55,,80 (+16),,64,"GOOD FT by LARSON,CLARK(fastbreak)",BSC 80-64 (-16),,"GOOD FT by LARSON,CLARK(fastbreak)",2
00:44,"MISS JUMPER by MATTHEWS,KYLE",,,,,,,"MISS JUMPER by MATTHEWS,KYLE",2
--,,,,,"REBOUND DEF by LARSON,CLARK",,,"REBOUND DEF by LARSON,CLARK",2
00:30,,80 (+14),,66,"GOOD JUMPER by BYRON,TREVOR",BSC 80-66 (-14),,"GOOD JUMPER by BYRON,TREVOR",2
