Time Remaining,LETU,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by GERBER,ELIJAH",,,,,,,"REBOUND DEF by GERBER,ELIJAH",1
11:28,"SUB OUT by GERBER,ELIJAH",,,,,,,"SUB OUT by GERBER,ELIJAH",1
11:28,"SUB IN by BEENE,GARRETT",,,,,,,"SUB IN by BEENE,GARRETT",1
11:18,"MISS 3PTR by EBERHARDT,ANDREW",,,,,,,"MISS 3PTR by EBERHARDT,ANDREW",1
--,"REBOUND OFF by MATTHEWS,KYLE",,,,,,,"REBOUND OFF by MATTHEWS,KYLE",1
11:15,"MISS LAYUP by MATTHEWS,KYLE(in the paint)",,,,,,,"MISS LAYUP by MATTHEWS,KYLE(in the paint)",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
10:57,,,,,"MISS 3PTR by BAK,CALVIN",,,"MISS 3PTR by BAK,CALVIN",1
--,,,,,"REBOUND OFF by O'SULLIVAN,CONOR",,,"REBOUND OFF by O'SULLIVAN,CONOR",1
10:52,,20 (+6),,14,"GOOD LAYUP by O'SULLIVAN,CONOR(in the paint)",BSC 20-14 (-6),,"GOOD LAYUP by O'SULLIVAN,CONOR(in the paint)",1
10:44,"MISS 3PTR by EBERHARDT,ANDREW",,,,,,,"MISS 3PTR by EBERHARDT,ANDREW",1
--,"REBOUND OFF by EBERHARDT,ANDREW",,,,,,,"REBOUND OFF by EBERHARDT,ANDREW",1
10:36,"SUB OUT by EBERHARDT,ANDREW",,,,,,,"SUB OUT by EBERHARDT,ANDREW",1
10:36,"SUB IN by FOSNIGHT,BRICK",,,,,,,"SUB IN by FOSNIGHT,BRICK",1
10:30,"GOOD JUMPER by FOSNIGHT,BRICK",22 (+8),,14,,LETU 22-14 (-8),,"GOOD JUMPER by FOSNIGHT,BRICK",1
--,"ASSIST  by MOORE,JUSTIN",,,,,,,"ASSIST  by MOORE,JUSTIN",1
10:15,,,,,"FOUL  by STEWART,CHRISTIAN",,,"FOUL  by STEWART,CHRISTIAN",1
10:15,,,,,"TURNOVER  by STEWART,CHRISTIAN",,,"TURNOVER  by STEWART,CHRISTIAN",1
10:15,,,,,"SUB OUT by STEWART,CHRISTIAN",,,"SUB OUT by STEWART,CHRISTIAN",1
10:15,,,,,"SUB IN by CHILDERS,JOSH",,,"SUB IN by CHILDERS,JOSH",1
10:04,"GOOD JUMPER by BEENE,GARRETT",24 (+10),,14,,LETU 24-14 (-10),,"GOOD JUMPER by BEENE,GARRETT",1
--,"ASSIST  by FOSNIGHT,BRICK",,,,,,,"ASSIST  by FOSNIGHT,BRICK",1
09:57,"FOUL  by WEST,NATE",,,,,,,"FOUL  by WEST,NATE",1
09:57,"FOUL  by MATTHEWS,KYLE",,,,,,,"FOUL  by MATTHEWS,KYLE",1
09:53,,,,,"MISS JUMPER by BAK,CALVIN(in the paint)",,,"MISS JUMPER by BAK,CALVIN(in the paint)",1
--,"REBOUND DEF by MATTHEWS,KYLE",,,,,,,"REBOUND DEF by MATTHEWS,KYLE",1
09:45,"GOOD LAYUP by FOSNIGHT,BRICK(fastbreak)(in the paint)",26 (+12),,14,,LETU 26-14 (-12),,"GOOD LAYUP by FOSNIGHT,BRICK(fastbreak)(in the paint)",1
--,"ASSIST  by MATTHEWS,KYLE",,,,,,,"ASSIST  by MATTHEWS,KYLE",1
09:31,,26 (+9),,17,"GOOD 3PTR by BAK,CALVIN",BSC 26-17 (-9),,"GOOD 3PTR by BAK,CALVIN",1
--,,,,,"ASSIST  by O'SULLIVAN,CONOR",,,"ASSIST  by O'SULLIVAN,CONOR",1
09:24,"GOOD 3PTR by WEST,NATE(fastbreak)",29 (+12),,17,,LETU 29-17 (-12),,"GOOD 3PTR by WEST,NATE(fastbreak)",1
