Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,STMARYS,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by O'SULLIVAN,CONOR",,,,,,,"REBOUND DEF by O'SULLIVAN,CONOR",1
02:43,"GOOD 3PTR by O'SULLIVAN,CONOR",40 (+1),,39,,BSC 40-39 (+1),,"GOOD 3PTR by O'SULLIVAN,CONOR",1
--,"ASSIST  by STEWART,CHRISTIAN",,,,,,,"ASSIST  by STEWART,CHRISTIAN",1
02:38,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
02:38,,,,,"TURNOVER  by GILLETTE,MILES",,,"TURNOVER  by GILLETTE,MILES",1
02:38,"SUB IN by KANE,DENMAN",,,,,,,"SUB IN by KANE,DENMAN",1
02:38,"SUB OUT by SIGLER,EVAN",,,,,,,"SUB OUT by SIGLER,EVAN",1
02:38,,,,,"SUB IN by GILLETTE,MILES",,,"SUB IN by GILLETTE,MILES",1
02:38,,,,,"SUB IN by NEWSOME,PHIL",,,"SUB IN by NEWSOME,PHIL",1
02:38,,,,,"SUB IN by JONES,SETH",,,"SUB IN by JONES,SETH",1
02:38,,,,,"SUB OUT by YOUNG,TRYLLIAN",,,"SUB OUT by YOUNG,TRYLLIAN",1
02:38,,,,,"SUB OUT by MILSTEAD,JUSTIN",,,"SUB OUT by MILSTEAD,JUSTIN",1
02:38,,,,,"SUB OUT by GRANT,GARY",,,"SUB OUT by GRANT,GARY",1
02:37,"STEAL  by KANE,DENMAN",,,,,,,"STEAL  by KANE,DENMAN",1
02:31,"TURNOVER  by STEWART,CHRISTIAN",,,,,,,"TURNOVER  by STEWART,CHRISTIAN",1
02:02,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
01:47,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",42 (+3),,39,,BSC 42-39 (+3),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",1
--,"ASSIST  by SPENCE,BEN",,,,,,,"ASSIST  by SPENCE,BEN",1
01:18,,,,,"MISS 3PTR by JONES,SETH",,,"MISS 3PTR by JONES,SETH",1
--,"REBOUND DEF by STEWART,CHRISTIAN",,,,,,,"REBOUND DEF by STEWART,CHRISTIAN",1
01:18,,,,,"FOUL  by SCOTT,ALBERT",,,"FOUL  by SCOTT,ALBERT",1
01:03,"GOOD LAYUP by SPENCE,BEN(in the paint)",44 (+5),,39,,BSC 44-39 (+5),,"GOOD LAYUP by SPENCE,BEN(in the paint)",1
--,"ASSIST  by O'SULLIVAN,CONOR",,,,,,,"ASSIST  by O'SULLIVAN,CONOR",1
00:59,,,,,"FOUL  by NEWSOME,PHIL",,,"FOUL  by NEWSOME,PHIL",1
00:59,"GOOD FT by SPENCE,BEN",45 (+6),,39,,BSC 45-39 (+6),,"GOOD FT by SPENCE,BEN",1
00:59,,,,,SUB IN by 0,,,SUB IN by 0,1
00:59,,,,,"SUB OUT by SCOTT,ALBERT",,,"SUB OUT by SCOTT,ALBERT",1
00:45,,,,,"MISS JUMPER by GILLETTE,MILES",,,"MISS JUMPER by GILLETTE,MILES",1
--,"REBOUND DEF by O'SULLIVAN,CONOR",,,,,,,"REBOUND DEF by O'SULLIVAN,CONOR",1
00:35,"TURNOVER  by SPENCE,BEN",,,,,,,"TURNOVER  by SPENCE,BEN",1
00:31,,,,,"STEAL  by HAYES,JALEN",,,"STEAL  by HAYES,JALEN",1
00:26,,45 (+4),,41,"GOOD LAYUP by HAYES,JALEN(fastbreak)(in the paint)",STMARYS 45-41 (+4),,"GOOD LAYUP by HAYES,JALEN(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by GILLETTE,MILES",,,"ASSIST  by GILLETTE,MILES",1
00:11,"GOOD 3PTR by BAK,CALVIN",48 (+7),,41,,BSC 48-41 (+7),,"GOOD 3PTR by BAK,CALVIN",1
--,"ASSIST  by O'SULLIVAN,CONOR",,,,,,,"ASSIST  by O'SULLIVAN,CONOR",1
19:41,,,,,"MISS LAYUP by GRANT,GARY",,,"MISS LAYUP by GRANT,GARY",2
--,,,,,"REBOUND OFF by FOLEY,JACK",,,"REBOUND OFF by FOLEY,JACK",2
19:39,,48 (+5),,43,"GOOD LAYUP by FOLEY,JACK(in the paint)",STMARYS 48-43 (+5),,"GOOD LAYUP by FOLEY,JACK(in the paint)",2
19:15,"MISS 3PTR by BAK,CALVIN",,,,,,,"MISS 3PTR by BAK,CALVIN",2
--,,,,,"REBOUND DEF by MILSTEAD,JUSTIN",,,"REBOUND DEF by MILSTEAD,JUSTIN",2
19:10,,48 (+3),,45,"GOOD LAYUP by GILLETTE,MILES(fastbreak)(in the paint)",STMARYS 48-45 (+3),,"GOOD LAYUP by GILLETTE,MILES(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by MILSTEAD,JUSTIN",,,"ASSIST  by MILSTEAD,JUSTIN",2
18:51,,,,,"FOUL  by MILSTEAD,JUSTIN",,,"FOUL  by MILSTEAD,JUSTIN",2
18:44,"MISS LAYUP by STEWART,CHRISTIAN",,,,,,,"MISS LAYUP by STEWART,CHRISTIAN",2
--,,,,,"REBOUND DEF by GRANT,GARY",,,"REBOUND DEF by GRANT,GARY",2
18:38,,,,,"MISS 3PTR by MILSTEAD,JUSTIN",,,"MISS 3PTR by MILSTEAD,JUSTIN",2
--,"REBOUND DEF by O'SULLIVAN,CONOR",,,,,,,"REBOUND DEF by O'SULLIVAN,CONOR",2
18:19,"MISS LAYUP by FITZGERLAD,PAUL",,,,,,,"MISS LAYUP by FITZGERLAD,PAUL",2
--,"REBOUND OFF by STEWART,CHRISTIAN",,,,,,,"REBOUND OFF by STEWART,CHRISTIAN",2
18:14,"GOOD 3PTR by BAK,CALVIN",51 (+6),,45,,BSC 51-45 (+6),,"GOOD 3PTR by BAK,CALVIN",2
--,"ASSIST  by STEWART,CHRISTIAN",,,,,,,"ASSIST  by STEWART,CHRISTIAN",2
17:45,,51 (+4),,47,"GOOD JUMPER by GILLETTE,MILES",STMARYS 51-47 (+4),,"GOOD JUMPER by GILLETTE,MILES",2
--,,,,,"ASSIST  by MILSTEAD,JUSTIN",,,"ASSIST  by MILSTEAD,JUSTIN",2
17:38,"FOUL  by STEWART,CHRISTIAN",,,,,,,"FOUL  by STEWART,CHRISTIAN",2
17:38,"TURNOVER  by STEWART,CHRISTIAN",,,,,,,"TURNOVER  by STEWART,CHRISTIAN",2
17:32,,,,,"MISS JUMPER by GILLETTE,MILES",,,"MISS JUMPER by GILLETTE,MILES",2
--,"REBOUND DEF by STEWART,CHRISTIAN",,,,,,,"REBOUND DEF by STEWART,CHRISTIAN",2
17:19,"MISS JUMPER by STEWART,CHRISTIAN",,,,,,,"MISS JUMPER by STEWART,CHRISTIAN",2
--,,,,,"REBOUND DEF by GRANT,GARY",,,"REBOUND DEF by GRANT,GARY",2
17:15,,51 (+2),,49,"GOOD LAYUP by GRANT,GARY(fastbreak)(in the paint)",STMARYS 51-49 (+2),,"GOOD LAYUP by GRANT,GARY(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by MILSTEAD,JUSTIN",,,"ASSIST  by MILSTEAD,JUSTIN",2
16:51,"MISS LAYUP by O'SULLIVAN,CONOR",,,,,,,"MISS LAYUP by O'SULLIVAN,CONOR",2
--,"REBOUND OFF by O'SULLIVAN,CONOR",,,,,,,"REBOUND OFF by O'SULLIVAN,CONOR",2
16:48,"GOOD JUMPER by BAK,CALVIN",53 (+4),,49,,BSC 53-49 (+4),,"GOOD JUMPER by BAK,CALVIN",2
16:16,,53 (+1),,52,"GOOD 3PTR by HAYES,JALEN",STMARYS 53-52 (+1),,"GOOD 3PTR by HAYES,JALEN",2
16:10,"MISS 3PTR by SPENCE,BEN",,,,,,,"MISS 3PTR by SPENCE,BEN",2
--,,,,,"REBOUND DEF by GILLETTE,MILES",,,"REBOUND DEF by GILLETTE,MILES",2
16:04,,,,,"TURNOVER  by GILLETTE,MILES",,,"TURNOVER  by GILLETTE,MILES",2
15:51,"MISS LAYUP by FITZGERLAD,PAUL",,,,,,,"MISS LAYUP by FITZGERLAD,PAUL",2
--,,,,,"REBOUND DEF by FOLEY,JACK",,,"REBOUND DEF by FOLEY,JACK",2
15:48,,,,,"TURNOVER  by FOLEY,JACK",,,"TURNOVER  by FOLEY,JACK",2
15:47,"STEAL  by O'SULLIVAN,CONOR",,,,,,,"STEAL  by O'SULLIVAN,CONOR",2
15:45,"GOOD JUMPER by O'SULLIVAN,CONOR",55 (+3),,52,,BSC 55-52 (+3),,"GOOD JUMPER by O'SULLIVAN,CONOR",2
15:34,,,,,"MISS LAYUP by GRANT,GARY",,,"MISS LAYUP by GRANT,GARY",2
--,,,,,"REBOUND OFF by FOLEY,JACK",,,"REBOUND OFF by FOLEY,JACK",2
15:31,,55 (+1),,54,"GOOD LAYUP by FOLEY,JACK(in the paint)",STMARYS 55-54 (+1),,"GOOD LAYUP by FOLEY,JACK(in the paint)",2
15:29,"FOUL  by SPENCE,BEN",,,,,,,"FOUL  by SPENCE,BEN",2
15:29,,55,,55,"GOOD FT by FOLEY,JACK",STMARYS 55-55 (0),,"GOOD FT by FOLEY,JACK",2
15:29,"SUB IN by SIGLER,EVAN",,,,,,,"SUB IN by SIGLER,EVAN",2
15:29,"SUB OUT by FITZGERLAD,PAUL",,,,,,,"SUB OUT by FITZGERLAD,PAUL",2
15:29,,,,,"SUB IN by SCOTT,ALBERT",,,"SUB IN by SCOTT,ALBERT",2
15:29,,,,,SUB OUT by 0,,,SUB OUT by 0,2
15:05,"MISS JUMPER by O'SULLIVAN,CONOR",,,,,,,"MISS JUMPER by O'SULLIVAN,CONOR",2
--,,,,,"REBOUND DEF by GILLETTE,MILES",,,"REBOUND DEF by GILLETTE,MILES",2
15:00,,,,,"FOUL  by GILLETTE,MILES",,,"FOUL  by GILLETTE,MILES",2
15:00,,,,,"TURNOVER  by GILLETTE,MILES",,,"TURNOVER  by GILLETTE,MILES",2
14:46,"MISS 3PTR by SIGLER,EVAN",,,,,,,"MISS 3PTR by SIGLER,EVAN",2
--,,,,,"REBOUND DEF by GRANT,GARY",,,"REBOUND DEF by GRANT,GARY",2
14:40,,,,,"TURNOVER  by GILLETTE,MILES",,,"TURNOVER  by GILLETTE,MILES",2
14:40,,,,,"SUB IN by JONES,SETH",,,"SUB IN by JONES,SETH",2
14:40,,,,,"SUB OUT by MILSTEAD,JUSTIN",,,"SUB OUT by MILSTEAD,JUSTIN",2
14:35,"GOOD 3PTR by BAK,CALVIN(fastbreak)(in the paint)",58 (+3),,55,,BSC 58-55 (+3),,"GOOD 3PTR by BAK,CALVIN(fastbreak)(in the paint)",2
--,"ASSIST  by O'SULLIVAN,CONOR",,,,,,,"ASSIST  by O'SULLIVAN,CONOR",2
14:17,,,,,"MISS LAYUP by GRANT,GARY",,,"MISS LAYUP by GRANT,GARY",2
--,,,,,"REBOUND OFF by GRANT,GARY",,,"REBOUND OFF by GRANT,GARY",2
14:16,"FOUL  by STEWART,CHRISTIAN",,,,,,,"FOUL  by STEWART,CHRISTIAN",2
14:16,,58 (+2),,56,"GOOD FT by GRANT,GARY",STMARYS 58-56 (+2),,"GOOD FT by GRANT,GARY",2
14:16,,,,,"MISS FT by GRANT,GARY",,,"MISS FT by GRANT,GARY",2
--,"REBOUND DEF by O'SULLIVAN,CONOR",,,,,,,"REBOUND DEF by O'SULLIVAN,CONOR",2
14:16,,,,,"SUB IN by YOUNG,TRYLLIAN",,,"SUB IN by YOUNG,TRYLLIAN",2
14:16,,,,,"SUB OUT by GILLETTE,MILES",,,"SUB OUT by GILLETTE,MILES",2
14:14,"FOUL  by O'SULLIVAN,CONOR",,,,,,,"FOUL  by O'SULLIVAN,CONOR",2
14:14,"TURNOVER  by O'SULLIVAN,CONOR",,,,,,,"TURNOVER  by O'SULLIVAN,CONOR",2
13:57,,,,,"MISS 3PTR by HAYES,JALEN",,,"MISS 3PTR by HAYES,JALEN",2
--,"REBOUND DEF by STEWART,CHRISTIAN",,,,,,,"REBOUND DEF by STEWART,CHRISTIAN",2
13:42,"MISS 3PTR by O'SULLIVAN,CONOR",,,,,,,"MISS 3PTR by O'SULLIVAN,CONOR",2
--,,,,,"REBOUND DEF by YOUNG,TRYLLIAN",,,"REBOUND DEF by YOUNG,TRYLLIAN",2
13:12,,,,,"MISS 3PTR by JONES,SETH",,,"MISS 3PTR by JONES,SETH",2
--,,,,,"REBOUND OFF by SCOTT,ALBERT",,,"REBOUND OFF by SCOTT,ALBERT",2
13:07,,,,,"MISS LAYUP by SCOTT,ALBERT",,,"MISS LAYUP by SCOTT,ALBERT",2
--,"REBOUND DEF by STEWART,CHRISTIAN",,,,,,,"REBOUND DEF by STEWART,CHRISTIAN",2
13:02,"MISS LAYUP by STEWART,CHRISTIAN",,,,,,,"MISS LAYUP by STEWART,CHRISTIAN",2
--,,,,,"REBOUND DEF by SCOTT,ALBERT",,,"REBOUND DEF by SCOTT,ALBERT",2
12:52,,58,,58,"GOOD LAYUP by GRANT,GARY(in the paint)",STMARYS 58-58 (0),,"GOOD LAYUP by GRANT,GARY(in the paint)",2
12:46,"SUB IN by CHILDERS,JOSH",,,,,,,"SUB IN by CHILDERS,JOSH",2
12:46,"SUB IN by JR,BRUCE BRIGHT",,,,,,,"SUB IN by JR,BRUCE BRIGHT",2
12:46,"SUB IN by MORRISON,JASON",,,,,,,"SUB IN by MORRISON,JASON",2
12:46,"SUB IN by GONDA,MATT",,,,,,,"SUB IN by GONDA,MATT",2
12:46,"SUB IN by FITZGERLAD,PAUL",,,,,,,"SUB IN by FITZGERLAD,PAUL",2
12:46,"SUB OUT by SPENCE,BEN",,,,,,,"SUB OUT by SPENCE,BEN",2
12:46,"SUB OUT by SIGLER,EVAN",,,,,,,"SUB OUT by SIGLER,EVAN",2
12:46,"SUB OUT by STEWART,CHRISTIAN",,,,,,,"SUB OUT by STEWART,CHRISTIAN",2
12:46,"SUB OUT by O'SULLIVAN,CONOR",,,,,,,"SUB OUT by O'SULLIVAN,CONOR",2
12:46,"SUB OUT by BAK,CALVIN",,,,,,,"SUB OUT by BAK,CALVIN",2
12:46,,,,,SUB IN by 0,,,SUB IN by 0,2
12:46,,,,,"SUB IN by NEWSOME,PHIL",,,"SUB IN by NEWSOME,PHIL",2
12:46,,,,,"SUB IN by ROUSE,REGGIE",,,"SUB IN by ROUSE,REGGIE",2
12:46,,,,,"SUB OUT by SCOTT,ALBERT",,,"SUB OUT by SCOTT,ALBERT",2
12:46,,,,,"SUB OUT by GRANT,GARY",,,"SUB OUT by GRANT,GARY",2
12:46,,,,,"SUB OUT by HAYES,JALEN",,,"SUB OUT by HAYES,JALEN",2
12:39,,,,,"FOUL  by NEWSOME,PHIL",,,"FOUL  by NEWSOME,PHIL",2
12:26,"MISS 3PTR by JR,BRUCE BRIGHT",,,,,,,"MISS 3PTR by JR,BRUCE BRIGHT",2
--,,,,,"REBOUND DEF by ROUSE,REGGIE",,,"REBOUND DEF by ROUSE,REGGIE",2
12:19,"FOUL  by FITZGERLAD,PAUL",,,,,,,"FOUL  by FITZGERLAD,PAUL",2
12:09,,,,,"MISS LAYUP by NEWSOME,PHIL",,,"MISS LAYUP by NEWSOME,PHIL",2
--,,,,,"REBOUND OFF by NEWSOME,PHIL",,,"REBOUND OFF by NEWSOME,PHIL",2
12:06,,,,,"MISS LAYUP by NEWSOME,PHIL",,,"MISS LAYUP by NEWSOME,PHIL",2
12:06,"BLOCK  by CHILDERS,JOSH",,,,,,,"BLOCK  by CHILDERS,JOSH",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
12:00,,,,,"TURNOVER  by NEWSOME,PHIL",,,"TURNOVER  by NEWSOME,PHIL",2
11:34,"MISS JUMPER by JR,BRUCE BRIGHT",,,,,,,"MISS JUMPER by JR,BRUCE BRIGHT",2
--,,,,,"REBOUND DEF by YOUNG,TRYLLIAN",,,"REBOUND DEF by YOUNG,TRYLLIAN",2
11:19,,,,,"MISS 3PTR by JONES,SETH",,,"MISS 3PTR by JONES,SETH",2
--,,,,,"REBOUND OFF by NEWSOME,PHIL",,,"REBOUND OFF by NEWSOME,PHIL",2
10:56,,58,,60 (+2),"GOOD JUMPER by ROUSE,REGGIE(in the paint)",STMARYS 58-60 (-2),,"GOOD JUMPER by ROUSE,REGGIE(in the paint)",2
10:44,,,,,"FOUL  by NEWSOME,PHIL",,,"FOUL  by NEWSOME,PHIL",2
10:44,"GOOD FT by JR,BRUCE BRIGHT",59,,60 (+1),,BSC 59-60 (-1),,"GOOD FT by JR,BRUCE BRIGHT",2
10:44,"GOOD FT by JR,BRUCE BRIGHT",60,,60,,BSC 60-60 (0),,"GOOD FT by JR,BRUCE BRIGHT",2
10:44,"GOOD FT by JR,BRUCE BRIGHT",61 (+1),,60,,BSC 61-60 (+1),,"GOOD FT by JR,BRUCE BRIGHT",2
10:44,,,,,"SUB IN by MILSTEAD,JUSTIN",,,"SUB IN by MILSTEAD,JUSTIN",2
10:44,,,,,"SUB IN by GILLETTE,MILES",,,"SUB IN by GILLETTE,MILES",2
10:44,,,,,"SUB IN by GRANT,GARY",,,"SUB IN by GRANT,GARY",2
10:44,,,,,"SUB OUT by YOUNG,TRYLLIAN",,,"SUB OUT by YOUNG,TRYLLIAN",2
10:44,,,,,"SUB OUT by NEWSOME,PHIL",,,"SUB OUT by NEWSOME,PHIL",2
10:44,,,,,"SUB OUT by JONES,SETH",,,"SUB OUT by JONES,SETH",2
10:32,"FOUL  by MORRISON,JASON",,,,,,,"FOUL  by MORRISON,JASON",2
10:32,,,,,"MISS FT by FOLEY,JACK",,,"MISS FT by FOLEY,JACK",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
10:32,,,,,"MISS FT by FOLEY,JACK",,,"MISS FT by FOLEY,JACK",2
--,"REBOUND DEF by FITZGERLAD,PAUL",,,,,,,"REBOUND DEF by FITZGERLAD,PAUL",2
10:16,"TURNOVER  by JR,BRUCE BRIGHT",,,,,,,"TURNOVER  by JR,BRUCE BRIGHT",2
10:15,,,,,"STEAL  by MILSTEAD,JUSTIN",,,"STEAL  by MILSTEAD,JUSTIN",2
10:06,,,,,"MISS LAYUP by MILSTEAD,JUSTIN",,,"MISS LAYUP by MILSTEAD,JUSTIN",2
--,"REBOUND DEF by GONDA,MATT",,,,,,,"REBOUND DEF by GONDA,MATT",2
10:02,"GOOD 3PTR by FITZGERLAD,PAUL",64 (+4),,60,,BSC 64-60 (+4),,"GOOD 3PTR by FITZGERLAD,PAUL",2
--,"ASSIST  by GONDA,MATT",,,,,,,"ASSIST  by GONDA,MATT",2
09:31,,,,,"MISS JUMPER by FOLEY,JACK",,,"MISS JUMPER by FOLEY,JACK",2
--,,,,,"REBOUND OFF by GILLETTE,MILES",,,"REBOUND OFF by GILLETTE,MILES",2
09:29,,,,,"MISS LAYUP by GILLETTE,MILES",,,"MISS LAYUP by GILLETTE,MILES",2
--,,,,,"REBOUND OFF by GRANT,GARY",,,"REBOUND OFF by GRANT,GARY",2
09:26,"FOUL  by CHILDERS,JOSH",,,,,,,"FOUL  by CHILDERS,JOSH",2
09:26,,64 (+3),,61,"GOOD FT by GRANT,GARY",STMARYS 64-61 (+3),,"GOOD FT by GRANT,GARY",2
09:26,,64 (+2),,62,"GOOD FT by GRANT,GARY",STMARYS 64-62 (+2),,"GOOD FT by GRANT,GARY",2
09:26,"SUB IN by SPENCE,BEN",,,,,,,"SUB IN by SPENCE,BEN",2
09:26,"SUB IN by STEWART,CHRISTIAN",,,,,,,"SUB IN by STEWART,CHRISTIAN",2
09:26,"SUB IN by O'SULLIVAN,CONOR",,,,,,,"SUB IN by O'SULLIVAN,CONOR",2
09:26,"SUB IN by BAK,CALVIN",,,,,,,"SUB IN by BAK,CALVIN",2
09:26,"SUB IN by KANE,DENMAN",,,,,,,"SUB IN by KANE,DENMAN",2
09:26,"SUB OUT by CHILDERS,JOSH",,,,,,,"SUB OUT by CHILDERS,JOSH",2
09:26,"SUB OUT by JR,BRUCE BRIGHT",,,,,,,"SUB OUT by JR,BRUCE BRIGHT",2
09:26,"SUB OUT by MORRISON,JASON",,,,,,,"SUB OUT by MORRISON,JASON",2
09:26,"SUB OUT by GONDA,MATT",,,,,,,"SUB OUT by GONDA,MATT",2
09:26,"SUB OUT by FITZGERLAD,PAUL",,,,,,,"SUB OUT by FITZGERLAD,PAUL",2
09:17,,,,,"FOUL  by FOLEY,JACK",,,"FOUL  by FOLEY,JACK",2
09:05,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",66 (+4),,62,,BSC 66-62 (+4),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",2
--,"ASSIST  by SPENCE,BEN",,,,,,,"ASSIST  by SPENCE,BEN",2
08:42,,66 (+1),,65,"GOOD 3PTR by MILSTEAD,JUSTIN",STMARYS 66-65 (+1),,"GOOD 3PTR by MILSTEAD,JUSTIN",2
--,,,,,"ASSIST  by GILLETTE,MILES",,,"ASSIST  by GILLETTE,MILES",2
08:32,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",68 (+3),,65,,BSC 68-65 (+3),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",2
--,"ASSIST  by SPENCE,BEN",,,,,,,"ASSIST  by SPENCE,BEN",2
08:21,,68 (+1),,67,"GOOD JUMPER by GILLETTE,MILES(fastbreak)",STMARYS 68-67 (+1),,"GOOD JUMPER by GILLETTE,MILES(fastbreak)",2
08:00,"TURNOVER  by SPENCE,BEN",,,,,,,"TURNOVER  by SPENCE,BEN",2
07:59,,,,,"STEAL  by GILLETTE,MILES",,,"STEAL  by GILLETTE,MILES",2
07:50,,68,,70 (+2),"GOOD 3PTR by FOLEY,JACK",STMARYS 68-70 (-2),,"GOOD 3PTR by FOLEY,JACK",2
--,,,,,"ASSIST  by MILSTEAD,JUSTIN",,,"ASSIST  by MILSTEAD,JUSTIN",2
07:27,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",70,,70,,BSC 70-70 (0),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",2
--,"ASSIST  by SPENCE,BEN",,,,,,,"ASSIST  by SPENCE,BEN",2
07:15,,,,,"MISS JUMPER by MILSTEAD,JUSTIN",,,"MISS JUMPER by MILSTEAD,JUSTIN",2
--,"REBOUND DEF by SPENCE,BEN",,,,,,,"REBOUND DEF by SPENCE,BEN",2
07:08,"TURNOVER  by SPENCE,BEN",,,,,,,"TURNOVER  by SPENCE,BEN",2
07:07,,,,,"STEAL  by MILSTEAD,JUSTIN",,,"STEAL  by MILSTEAD,JUSTIN",2
07:02,,70,,73 (+3),"GOOD 3PTR by ROUSE,REGGIE(fastbreak)",STMARYS 70-73 (-3),,"GOOD 3PTR by ROUSE,REGGIE(fastbreak)",2
--,,,,,"ASSIST  by MILSTEAD,JUSTIN",,,"ASSIST  by MILSTEAD,JUSTIN",2
06:38,"GOOD 3PTR by KANE,DENMAN",73,,73,,BSC 73-73 (0),,"GOOD 3PTR by KANE,DENMAN",2
--,"ASSIST  by SPENCE,BEN",,,,,,,"ASSIST  by SPENCE,BEN",2
06:09,,,,,"TURNOVER  by MILSTEAD,JUSTIN",,,"TURNOVER  by MILSTEAD,JUSTIN",2
06:08,"STEAL  by KANE,DENMAN",,,,,,,"STEAL  by KANE,DENMAN",2
05:50,"MISS 3PTR by KANE,DENMAN",,,,,,,"MISS 3PTR by KANE,DENMAN",2
--,,,,,"REBOUND DEF by GRANT,GARY",,,"REBOUND DEF by GRANT,GARY",2
05:44,,73,,75 (+2),"GOOD LAYUP by GRANT,GARY(fastbreak)(in the paint)",STMARYS 73-75 (-2),,"GOOD LAYUP by GRANT,GARY(fastbreak)(in the paint)",2
05:42,"FOUL  by BAK,CALVIN",,,,,,,"FOUL  by BAK,CALVIN",2
05:42,,73,,76 (+3),"GOOD FT by GRANT,GARY",STMARYS 73-76 (-3),,"GOOD FT by GRANT,GARY",2
05:42,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
05:42,,,,,"SUB IN by SCOTT,ALBERT",,,"SUB IN by SCOTT,ALBERT",2
05:42,,,,,"SUB IN by YOUNG,TRYLLIAN",,,"SUB IN by YOUNG,TRYLLIAN",2
05:42,,,,,"SUB IN by HAYES,JALEN",,,"SUB IN by HAYES,JALEN",2
05:42,,,,,"SUB OUT by FOLEY,JACK",,,"SUB OUT by FOLEY,JACK",2
05:42,,,,,"SUB OUT by GILLETTE,MILES",,,"SUB OUT by GILLETTE,MILES",2
05:42,,,,,"SUB OUT by ROUSE,REGGIE",,,"SUB OUT by ROUSE,REGGIE",2
05:32,"TURNOVER  by STEWART,CHRISTIAN",,,,,,,"TURNOVER  by STEWART,CHRISTIAN",2
05:29,,,,,"STEAL  by YOUNG,TRYLLIAN",,,"STEAL  by YOUNG,TRYLLIAN",2
05:02,,,,,"MISS LAYUP by HAYES,JALEN",,,"MISS LAYUP by HAYES,JALEN",2
--,"REBOUND DEF by SPENCE,BEN",,,,,,,"REBOUND DEF by SPENCE,BEN",2
04:41,"MISS LAYUP by STEWART,CHRISTIAN",,,,,,,"MISS LAYUP by STEWART,CHRISTIAN",2
04:41,,,,,"BLOCK  by GRANT,GARY",,,"BLOCK  by GRANT,GARY",2
--,,,,,"REBOUND DEF by GRANT,GARY",,,"REBOUND DEF by GRANT,GARY",2
04:33,"FOUL  by O'SULLIVAN,CONOR",,,,,,,"FOUL  by O'SULLIVAN,CONOR",2
04:33,,73,,77 (+4),"GOOD FT by HAYES,JALEN",STMARYS 73-77 (-4),,"GOOD FT by HAYES,JALEN",2
04:33,,73,,78 (+5),"GOOD FT by HAYES,JALEN",STMARYS 73-78 (-5),,"GOOD FT by HAYES,JALEN",2
04:33,,,,,"SUB IN by GILLETTE,MILES",,,"SUB IN by GILLETTE,MILES",2
04:33,,,,,"SUB OUT by YOUNG,TRYLLIAN",,,"SUB OUT by YOUNG,TRYLLIAN",2
04:08,"MISS JUMPER by SPENCE,BEN",,,,,,,"MISS JUMPER by SPENCE,BEN",2
--,,,,,"REBOUND DEF by GILLETTE,MILES",,,"REBOUND DEF by GILLETTE,MILES",2
03:45,"FOUL  by KANE,DENMAN",,,,,,,"FOUL  by KANE,DENMAN",2
03:45,,73,,79 (+6),"GOOD FT by GRANT,GARY",STMARYS 73-79 (-6),,"GOOD FT by GRANT,GARY",2
03:45,,73,,80 (+7),"GOOD FT by GRANT,GARY",STMARYS 73-80 (-7),,"GOOD FT by GRANT,GARY",2
03:45,"SUB IN by FITZGERLAD,PAUL",,,,,,,"SUB IN by FITZGERLAD,PAUL",2
03:45,"SUB OUT by KANE,DENMAN",,,,,,,"SUB OUT by KANE,DENMAN",2
03:26,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",75,,80 (+5),,BSC 75-80 (-5),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",2
02:54,,,,,"MISS JUMPER by HAYES,JALEN",,,"MISS JUMPER by HAYES,JALEN",2
--,,,,,"REBOUND OFF by GRANT,GARY",,,"REBOUND OFF by GRANT,GARY",2
02:52,,,,,"MISS JUMPER by GRANT,GARY",,,"MISS JUMPER by GRANT,GARY",2
--,"REBOUND DEF by O'SULLIVAN,CONOR",,,,,,,"REBOUND DEF by O'SULLIVAN,CONOR",2
02:46,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
02:46,,,,,"SUB IN by FOLEY,JACK",,,"SUB IN by FOLEY,JACK",2
02:46,,,,,"SUB OUT by SCOTT,ALBERT",,,"SUB OUT by SCOTT,ALBERT",2
