Time Remaining,PCC,Away Team Score,Play Team Indicator,Home Team Score,BSC-M,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by O'SULLIVAN,CONOR",,,"REBOUND DEF by O'SULLIVAN,CONOR",1
14:36,,,,,"MISS 3PTR by FITZGERALD,PAUL",,,"MISS 3PTR by FITZGERALD,PAUL",1
--,"REBOUND DEF by PORTER,CHRISTIAN",,,,,,,"REBOUND DEF by PORTER,CHRISTIAN",1
14:26,"GOOD LAYUP by CLAY,JOHN(in the paint)",14 (+1),,13,,PCC 14-13 (-1),,"GOOD LAYUP by CLAY,JOHN(in the paint)",1
14:01,,14,,15 (+1),"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",BSC-M 14-15 (+1),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",1
13:36,"MISS JUMPER by CLAY,JOHN",,,,,,,"MISS JUMPER by CLAY,JOHN",1
--,,,,,"REBOUND DEF by SPENCE,BEN",,,"REBOUND DEF by SPENCE,BEN",1
13:30,,,,,"MISS 3PTR by FITZGERALD,PAUL",,,"MISS 3PTR by FITZGERALD,PAUL",1
--,,,,,"REBOUND OFF by O'SULLIVAN,CONOR",,,"REBOUND OFF by O'SULLIVAN,CONOR",1
13:25,"FOUL  by CLAY,JOHN",,,,,,,"FOUL  by CLAY,JOHN",1
13:25,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
13:25,,14,,16 (+2),"GOOD FT by O'SULLIVAN,CONOR",BSC-M 14-16 (+2),,"GOOD FT by O'SULLIVAN,CONOR",1
13:25,,14,,17 (+3),"GOOD FT by O'SULLIVAN,CONOR",BSC-M 14-17 (+3),,"GOOD FT by O'SULLIVAN,CONOR",1
13:25,,,,,"SUB IN by CHILDERS,JOSH",,,"SUB IN by CHILDERS,JOSH",1
13:25,,,,,"SUB IN by SIGLER,EVAN",,,"SUB IN by SIGLER,EVAN",1
13:25,,,,,"SUB IN by JR,BRUCE BRIGHT",,,"SUB IN by JR,BRUCE BRIGHT",1
13:25,,,,,"SUB IN by MORRISON,JASON",,,"SUB IN by MORRISON,JASON",1
13:25,,,,,"SUB OUT by SPENCE,BEN",,,"SUB OUT by SPENCE,BEN",1
13:25,,,,,"SUB OUT by STEWART,CHRISTIAN",,,"SUB OUT by STEWART,CHRISTIAN",1
13:25,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",1
13:25,,,,,"SUB OUT by FITZGERALD,PAUL",,,"SUB OUT by FITZGERALD,PAUL",1
13:21,"SUB IN by LEWIS,AUSTIN",,,,,,,"SUB IN by LEWIS,AUSTIN",1
13:21,"SUB OUT by PORTER,CHRISTIAN",,,,,,,"SUB OUT by PORTER,CHRISTIAN",1
13:21,,,,,"SUB IN by GONDA,MATT",,,"SUB IN by GONDA,MATT",1
13:21,,,,,"SUB OUT by O'SULLIVAN,CONOR",,,"SUB OUT by O'SULLIVAN,CONOR",1
13:04,"MISS JUMPER by LOCKETT,ELLIOTT",,,,,,,"MISS JUMPER by LOCKETT,ELLIOTT",1
--,,,,,"REBOUND DEF by CHILDERS,JOSH",,,"REBOUND DEF by CHILDERS,JOSH",1
12:58,,,,,"MISS LAYUP by JR,BRUCE BRIGHT",,,"MISS LAYUP by JR,BRUCE BRIGHT",1
--,"REBOUND DEF by LOCKETT,ELLIOTT",,,,,,,"REBOUND DEF by LOCKETT,ELLIOTT",1
12:50,"GOOD LAYUP by WOODS,DERIC(in the paint)",16,,17 (+1),,PCC 16-17 (+1),,"GOOD LAYUP by WOODS,DERIC(in the paint)",1
12:43,,,,,"MISS LAYUP by JR,BRUCE BRIGHT",,,"MISS LAYUP by JR,BRUCE BRIGHT",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
12:31,"FOUL  by SHODIMU,JAMES",,,,,,,"FOUL  by SHODIMU,JAMES",1
12:30,,16,,19 (+3),"GOOD JUMPER by CHILDERS,JOSH(in the paint)",BSC-M 16-19 (+3),,"GOOD JUMPER by CHILDERS,JOSH(in the paint)",1
--,,,,,"ASSIST  by GONDA,MATT",,,"ASSIST  by GONDA,MATT",1
12:14,"GOOD LAYUP by CLAY,JOHN(in the paint)",18,,19 (+1),,PCC 18-19 (+1),,"GOOD LAYUP by CLAY,JOHN(in the paint)",1
12:02,,18,,21 (+3),"GOOD LAYUP by CHILDERS,JOSH(in the paint)",BSC-M 18-21 (+3),,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",1
11:50,"GOOD 3PTR by CLAY,JOHN",21,,21,,PCC 21-21 (0),,"GOOD 3PTR by CLAY,JOHN",1
11:42,,,,,"MISS JUMPER by CHILDERS,JOSH",,,"MISS JUMPER by CHILDERS,JOSH",1
11:42,"BLOCK  by LOCKETT,ELLIOTT",,,,,,,"BLOCK  by LOCKETT,ELLIOTT",1
--,"REBOUND DEF by SHODIMU,JAMES",,,,,,,"REBOUND DEF by SHODIMU,JAMES",1
11:32,"GOOD 3PTR by CLAY,JOHN",24 (+3),,21,,PCC 24-21 (-3),,"GOOD 3PTR by CLAY,JOHN",1
11:21,,24,,24,"GOOD 3PTR by SIGLER,EVAN",BSC-M 24-24 (0),,"GOOD 3PTR by SIGLER,EVAN",1
--,,,,,"ASSIST  by GONDA,MATT",,,"ASSIST  by GONDA,MATT",1
11:05,"TURNOVER  by LOCKETT,ELLIOTT",,,,,,,"TURNOVER  by LOCKETT,ELLIOTT",1
11:02,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
10:43,"SUB IN by HORTON,ANTHONY",,,,,,,"SUB IN by HORTON,ANTHONY",1
10:43,"SUB IN by PORTER,CHRISTIAN",,,,,,,"SUB IN by PORTER,CHRISTIAN",1
10:43,"SUB OUT by LOCKETT,ELLIOTT",,,,,,,"SUB OUT by LOCKETT,ELLIOTT",1
10:43,"SUB OUT by SHODIMU,JAMES",,,,,,,"SUB OUT by SHODIMU,JAMES",1
10:39,,,,,"MISS JUMPER by MORRISON,JASON",,,"MISS JUMPER by MORRISON,JASON",1
--,,,,,"REBOUND OFF by GONDA,MATT",,,"REBOUND OFF by GONDA,MATT",1
10:32,,24,,27 (+3),"GOOD 3PTR by SIGLER,EVAN",BSC-M 24-27 (+3),,"GOOD 3PTR by SIGLER,EVAN",1
--,,,,,"ASSIST  by GONDA,MATT",,,"ASSIST  by GONDA,MATT",1
10:12,"TURNOVER  by WOODS,DERIC",,,,,,,"TURNOVER  by WOODS,DERIC",1
10:12,,,,,"STEAL  by MORRISON,JASON",,,"STEAL  by MORRISON,JASON",1
10:08,,,,,"FOUL  by MORRISON,JASON",,,"FOUL  by MORRISON,JASON",1
10:08,,,,,"TURNOVER  by MORRISON,JASON",,,"TURNOVER  by MORRISON,JASON",1
09:50,"GOOD 3PTR by LEWIS,AUSTIN",27,,27,,PCC 27-27 (0),,"GOOD 3PTR by LEWIS,AUSTIN",1
--,"ASSIST  by PORTER,CHRISTIAN",,,,,,,"ASSIST  by PORTER,CHRISTIAN",1
09:42,"FOUL  by CLAY,JOHN",,,,,,,"FOUL  by CLAY,JOHN",1
09:42,"SUB IN by ALEXANDER,JOSHUA",,,,,,,"SUB IN by ALEXANDER,JOSHUA",1
09:42,"SUB OUT by CLAY,JOHN",,,,,,,"SUB OUT by CLAY,JOHN",1
09:27,,,,,"MISS 3PTR by SIGLER,EVAN",,,"MISS 3PTR by SIGLER,EVAN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
09:25,,,,,"SUB IN by SPENCE,BEN",,,"SUB IN by SPENCE,BEN",1
09:25,,,,,"SUB IN by STEWART,CHRISTIAN",,,"SUB IN by STEWART,CHRISTIAN",1
09:25,,,,,"SUB IN by O'SULLIVAN,CONOR",,,"SUB IN by O'SULLIVAN,CONOR",1
09:25,,,,,"SUB IN by BAK,CALVIN",,,"SUB IN by BAK,CALVIN",1
09:25,,,,,"SUB IN by FITZGERALD,PAUL",,,"SUB IN by FITZGERALD,PAUL",1
09:25,,,,,"SUB OUT by CHILDERS,JOSH",,,"SUB OUT by CHILDERS,JOSH",1
09:25,,,,,"SUB OUT by SIGLER,EVAN",,,"SUB OUT by SIGLER,EVAN",1
09:25,,,,,"SUB OUT by JR,BRUCE BRIGHT",,,"SUB OUT by JR,BRUCE BRIGHT",1
09:25,,,,,"SUB OUT by MORRISON,JASON",,,"SUB OUT by MORRISON,JASON",1
09:25,,,,,"SUB OUT by GONDA,MATT",,,"SUB OUT by GONDA,MATT",1
09:12,"GOOD JUMPER by HORTON,ANTHONY(in the paint)",29 (+2),,27,,PCC 29-27 (-2),,"GOOD JUMPER by HORTON,ANTHONY(in the paint)",1
08:57,,29,,30 (+1),"GOOD 3PTR by SPENCE,BEN",BSC-M 29-30 (+1),,"GOOD 3PTR by SPENCE,BEN",1
--,,,,,"ASSIST  by FITZGERALD,PAUL",,,"ASSIST  by FITZGERALD,PAUL",1
08:38,"TURNOVER  by HORTON,ANTHONY",,,,,,,"TURNOVER  by HORTON,ANTHONY",1
08:31,,,,,"MISS 3PTR by SPENCE,BEN",,,"MISS 3PTR by SPENCE,BEN",1
--,,,,,"REBOUND OFF by STEWART,CHRISTIAN",,,"REBOUND OFF by STEWART,CHRISTIAN",1
08:23,,29,,33 (+4),"GOOD 3PTR by O'SULLIVAN,CONOR",BSC-M 29-33 (+4),,"GOOD 3PTR by O'SULLIVAN,CONOR",1
--,,,,,"ASSIST  by SPENCE,BEN",,,"ASSIST  by SPENCE,BEN",1
08:05,"GOOD JUMPER by WOODS,DERIC(in the paint)",31,,33 (+2),,PCC 31-33 (+2),,"GOOD JUMPER by WOODS,DERIC(in the paint)",1
07:53,,,,,"MISS 3PTR by O'SULLIVAN,CONOR",,,"MISS 3PTR by O'SULLIVAN,CONOR",1
--,"REBOUND DEF by ALEXANDER,JOSHUA",,,,,,,"REBOUND DEF by ALEXANDER,JOSHUA",1
07:48,,,,,"FOUL  by STEWART,CHRISTIAN",,,"FOUL  by STEWART,CHRISTIAN",1
07:48,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
07:42,"GOOD 3PTR by ALEXANDER,JOSHUA",34 (+1),,33,,PCC 34-33 (-1),,"GOOD 3PTR by ALEXANDER,JOSHUA",1
07:24,,34,,35 (+1),"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",BSC-M 34-35 (+1),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",1
--,,,,,"ASSIST  by SPENCE,BEN",,,"ASSIST  by SPENCE,BEN",1
07:07,"MISS 3PTR by HORTON,ANTHONY",,,,,,,"MISS 3PTR by HORTON,ANTHONY",1
--,,,,,"REBOUND DEF by O'SULLIVAN,CONOR",,,"REBOUND DEF by O'SULLIVAN,CONOR",1
06:57,,34,,38 (+4),"GOOD 3PTR by BAK,CALVIN",BSC-M 34-38 (+4),,"GOOD 3PTR by BAK,CALVIN",1
06:35,"GOOD JUMPER by WOODS,DERIC(in the paint)",36,,38 (+2),,PCC 36-38 (+2),,"GOOD JUMPER by WOODS,DERIC(in the paint)",1
06:18,,36,,41 (+5),"GOOD 3PTR by BAK,CALVIN",BSC-M 36-41 (+5),,"GOOD 3PTR by BAK,CALVIN",1
--,,,,,"ASSIST  by O'SULLIVAN,CONOR",,,"ASSIST  by O'SULLIVAN,CONOR",1
06:03,"GOOD 3PTR by ALEXANDER,JOSHUA",39,,41 (+2),,PCC 39-41 (+2),,"GOOD 3PTR by ALEXANDER,JOSHUA",1
05:56,,,,,"TURNOVER  by BAK,CALVIN",,,"TURNOVER  by BAK,CALVIN",1
05:56,"STEAL  by HORTON,ANTHONY",,,,,,,"STEAL  by HORTON,ANTHONY",1
05:53,"TURNOVER  by HORTON,ANTHONY",,,,,,,"TURNOVER  by HORTON,ANTHONY",1
05:48,"SUB IN by ROBERSON,CHANCE",,,,,,,"SUB IN by ROBERSON,CHANCE",1
05:48,"SUB OUT by HORTON,ANTHONY",,,,,,,"SUB OUT by HORTON,ANTHONY",1
05:46,,39,,44 (+5),"GOOD 3PTR by BAK,CALVIN",BSC-M 39-44 (+5),,"GOOD 3PTR by BAK,CALVIN",1
05:35,"MISS 3PTR by PORTER,CHRISTIAN",,,,,,,"MISS 3PTR by PORTER,CHRISTIAN",1
--,,,,,"REBOUND DEF by SPENCE,BEN",,,"REBOUND DEF by SPENCE,BEN",1
05:14,,,,,"TURNOVER  by FITZGERALD,PAUL",,,"TURNOVER  by FITZGERALD,PAUL",1
05:14,"STEAL  by LEWIS,AUSTIN",,,,,,,"STEAL  by LEWIS,AUSTIN",1
05:03,"MISS 3PTR by WOODS,DERIC",,,,,,,"MISS 3PTR by WOODS,DERIC",1
--,,,,,"REBOUND DEF by FITZGERALD,PAUL",,,"REBOUND DEF by FITZGERALD,PAUL",1
04:53,,,,,"TURNOVER  by FITZGERALD,PAUL",,,"TURNOVER  by FITZGERALD,PAUL",1
04:53,"STEAL  by WOODS,DERIC",,,,,,,"STEAL  by WOODS,DERIC",1
04:52,,,,,"FOUL  by O'SULLIVAN,CONOR",,,"FOUL  by O'SULLIVAN,CONOR",1
04:45,"SUB IN by LOCKETT,ELLIOTT",,,,,,,"SUB IN by LOCKETT,ELLIOTT",1
04:45,"SUB IN by CLAY,JOHN",,,,,,,"SUB IN by CLAY,JOHN",1
04:45,"SUB OUT by ROBERSON,CHANCE",,,,,,,"SUB OUT by ROBERSON,CHANCE",1
04:45,"SUB OUT by PORTER,CHRISTIAN",,,,,,,"SUB OUT by PORTER,CHRISTIAN",1
04:45,,,,,"SUB IN by CHILDERS,JOSH",,,"SUB IN by CHILDERS,JOSH",1
04:45,,,,,"SUB IN by SIGLER,EVAN",,,"SUB IN by SIGLER,EVAN",1
04:45,,,,,"SUB IN by MORRISON,JASON",,,"SUB IN by MORRISON,JASON",1
04:45,,,,,"SUB IN by KANE,DENMAN",,,"SUB IN by KANE,DENMAN",1
04:45,,,,,"SUB IN by GONDA,MATT",,,"SUB IN by GONDA,MATT",1
04:45,,,,,"SUB OUT by SPENCE,BEN",,,"SUB OUT by SPENCE,BEN",1
04:45,,,,,"SUB OUT by STEWART,CHRISTIAN",,,"SUB OUT by STEWART,CHRISTIAN",1
04:45,,,,,"SUB OUT by O'SULLIVAN,CONOR",,,"SUB OUT by O'SULLIVAN,CONOR",1
04:45,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",1
04:45,,,,,"SUB OUT by FITZGERALD,PAUL",,,"SUB OUT by FITZGERALD,PAUL",1
04:41,"MISS JUMPER by ALEXANDER,JOSHUA",,,,,,,"MISS JUMPER by ALEXANDER,JOSHUA",1
--,"REBOUND OFF by LOCKETT,ELLIOTT",,,,,,,"REBOUND OFF by LOCKETT,ELLIOTT",1
04:32,"GOOD JUMPER by WOODS,DERIC(in the paint)",41,,44 (+3),,PCC 41-44 (+3),,"GOOD JUMPER by WOODS,DERIC(in the paint)",1
--,"ASSIST  by LEWIS,AUSTIN",,,,,,,"ASSIST  by LEWIS,AUSTIN",1
04:23,,41,,47 (+6),"GOOD 3PTR by KANE,DENMAN",BSC-M 41-47 (+6),,"GOOD 3PTR by KANE,DENMAN",1
--,,,,,"ASSIST  by GONDA,MATT",,,"ASSIST  by GONDA,MATT",1
03:59,,,,,"FOUL  by CHILDERS,JOSH",,,"FOUL  by CHILDERS,JOSH",1
03:59,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
03:59,"MISS FT by LOCKETT,ELLIOTT",,,,,,,"MISS FT by LOCKETT,ELLIOTT",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
03:59,"MISS FT by LOCKETT,ELLIOTT",,,,,,,"MISS FT by LOCKETT,ELLIOTT",1
--,"REBOUND OFF by LOCKETT,ELLIOTT",,,,,,,"REBOUND OFF by LOCKETT,ELLIOTT",1
03:43,"TURNOVER  by ALEXANDER,JOSHUA",,,,,,,"TURNOVER  by ALEXANDER,JOSHUA",1
03:26,,,,,"MISS JUMPER by GONDA,MATT",,,"MISS JUMPER by GONDA,MATT",1
--,"REBOUND DEF by LEWIS,AUSTIN",,,,,,,"REBOUND DEF by LEWIS,AUSTIN",1
03:18,"MISS 3PTR by LOCKETT,ELLIOTT",,,,,,,"MISS 3PTR by LOCKETT,ELLIOTT",1
--,"REBOUND OFF by WOODS,DERIC",,,,,,,"REBOUND OFF by WOODS,DERIC",1
03:10,"GOOD LAYUP by WOODS,DERIC(in the paint)",43,,47 (+4),,PCC 43-47 (+4),,"GOOD LAYUP by WOODS,DERIC(in the paint)",1
02:56,,43,,50 (+7),"GOOD 3PTR by KANE,DENMAN",BSC-M 43-50 (+7),,"GOOD 3PTR by KANE,DENMAN",1
--,,,,,"ASSIST  by MORRISON,JASON",,,"ASSIST  by MORRISON,JASON",1
02:42,"TURNOVER  by CLAY,JOHN",,,,,,,"TURNOVER  by CLAY,JOHN",1
02:42,,,,,"SUB IN by STEWART,CHRISTIAN",,,"SUB IN by STEWART,CHRISTIAN",1
02:42,,,,,"SUB IN by BAK,CALVIN",,,"SUB IN by BAK,CALVIN",1
02:42,,,,,"SUB OUT by CHILDERS,JOSH",,,"SUB OUT by CHILDERS,JOSH",1
02:42,,,,,"SUB OUT by KANE,DENMAN",,,"SUB OUT by KANE,DENMAN",1
02:24,,43,,52 (+9),"GOOD LAYUP by MORRISON,JASON(in the paint)",BSC-M 43-52 (+9),,"GOOD LAYUP by MORRISON,JASON(in the paint)",1
02:05,"GOOD JUMPER by LEWIS,AUSTIN(in the paint)",45,,52 (+7),,PCC 45-52 (+7),,"GOOD JUMPER by LEWIS,AUSTIN(in the paint)",1
01:54,,,,,"MISS JUMPER by STEWART,CHRISTIAN",,,"MISS JUMPER by STEWART,CHRISTIAN",1
--,,,,,"REBOUND OFF by STEWART,CHRISTIAN",,,"REBOUND OFF by STEWART,CHRISTIAN",1
01:52,"FOUL  by LEWIS,AUSTIN",,,,,,,"FOUL  by LEWIS,AUSTIN",1
01:52,,45,,53 (+8),"GOOD FT by STEWART,CHRISTIAN",BSC-M 45-53 (+8),,"GOOD FT by STEWART,CHRISTIAN",1
01:52,,45,,54 (+9),"GOOD FT by STEWART,CHRISTIAN",BSC-M 45-54 (+9),,"GOOD FT by STEWART,CHRISTIAN",1
01:52,"SUB IN by UGLADE,BRIAN",,,,,,,"SUB IN by UGLADE,BRIAN",1
01:52,"SUB OUT by LOCKETT,ELLIOTT",,,,,,,"SUB OUT by LOCKETT,ELLIOTT",1
01:52,,,,,"SUB IN by SPENCE,BEN",,,"SUB IN by SPENCE,BEN",1
01:52,,,,,"SUB IN by O'SULLIVAN,CONOR",,,"SUB IN by O'SULLIVAN,CONOR",1
01:52,,,,,"SUB IN by FITZGERALD,PAUL",,,"SUB IN by FITZGERALD,PAUL",1
01:52,,,,,"SUB OUT by SIGLER,EVAN",,,"SUB OUT by SIGLER,EVAN",1
01:52,,,,,"SUB OUT by MORRISON,JASON",,,"SUB OUT by MORRISON,JASON",1
01:52,,,,,"SUB OUT by GONDA,MATT",,,"SUB OUT by GONDA,MATT",1
01:36,"MISS 3PTR by ALEXANDER,JOSHUA",,,,,,,"MISS 3PTR by ALEXANDER,JOSHUA",1
--,,,,,"REBOUND DEF by SPENCE,BEN",,,"REBOUND DEF by SPENCE,BEN",1
01:23,,45,,56 (+11),"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",BSC-M 45-56 (+11),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",1
01:12,"MISS 3PTR by UGLADE,BRIAN",,,,,,,"MISS 3PTR by UGLADE,BRIAN",1
--,,,,,"REBOUND DEF by STEWART,CHRISTIAN",,,"REBOUND DEF by STEWART,CHRISTIAN",1
01:02,,45,,58 (+13),"GOOD LAYUP by BAK,CALVIN(in the paint)",BSC-M 45-58 (+13),,"GOOD LAYUP by BAK,CALVIN(in the paint)",1
00:59,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:56,"SUB IN by SMITH,GRANT",,,,,,,"SUB IN by SMITH,GRANT",1
00:56,"SUB OUT by UGLADE,BRIAN",,,,,,,"SUB OUT by UGLADE,BRIAN",1
00:48,"GOOD 3PTR by SMITH,GRANT",48,,58 (+10),,PCC 48-58 (+10),,"GOOD 3PTR by SMITH,GRANT",1
--,"ASSIST  by WOODS,DERIC",,,,,,,"ASSIST  by WOODS,DERIC",1
00:41,,,,,"MISS 3PTR by FITZGERALD,PAUL",,,"MISS 3PTR by FITZGERALD,PAUL",1
--,,,,,"REBOUND OFF by STEWART,CHRISTIAN",,,"REBOUND OFF by STEWART,CHRISTIAN",1
00:35,,48,,60 (+12),"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",BSC-M 48-60 (+12),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",1
00:26,"GOOD JUMPER by LEWIS,AUSTIN(in the paint)",50,,60 (+10),,PCC 50-60 (+10),,"GOOD JUMPER by LEWIS,AUSTIN(in the paint)",1
00:06,,50,,63 (+13),"GOOD 3PTR by BAK,CALVIN",BSC-M 50-63 (+13),,"GOOD 3PTR by BAK,CALVIN",1
--,,,,,"ASSIST  by SPENCE,BEN",,,"ASSIST  by SPENCE,BEN",1
20:00,"SUB IN by LOCKETT,ELLIOTT",,,,,,,"SUB IN by LOCKETT,ELLIOTT",2
20:00,"SUB IN by PORTER,CHRISTIAN",,,,,,,"SUB IN by PORTER,CHRISTIAN",2
20:00,"SUB IN by SHODIMU,JAMES",,,,,,,"SUB IN by SHODIMU,JAMES",2
20:00,"SUB OUT by LEWIS,AUSTIN",,,,,,,"SUB OUT by LEWIS,AUSTIN",2
20:00,"SUB OUT by SMITH,GRANT",,,,,,,"SUB OUT by SMITH,GRANT",2
20:00,"SUB OUT by ALEXANDER,JOSHUA",,,,,,,"SUB OUT by ALEXANDER,JOSHUA",2
19:42,,50,,65 (+15),"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",BSC-M 50-65 (+15),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",2
19:29,"TURNOVER  by CLAY,JOHN",,,,,,,"TURNOVER  by CLAY,JOHN",2
19:29,,,,,"STEAL  by FITZGERALD,PAUL",,,"STEAL  by FITZGERALD,PAUL",2
