Time Remaining,UO,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
17:04,"MISS LAYUP by WILHELM,CORY",,,,,,,"MISS LAYUP by WILHELM,CORY",1
--,,,,,"REBOUND DEF by BAK,CALVIN",,,"REBOUND DEF by BAK,CALVIN",1
16:57,,,,,"MISS 3PTR by O'SULLIVAN,CONOR",,,"MISS 3PTR by O'SULLIVAN,CONOR",1
--,"REBOUND DEF by JOHNSON,BRYSON",,,,,,,"REBOUND DEF by JOHNSON,BRYSON",1
16:50,"TURNOVER  by JOHNSON,BRYSON",,,,,,,"TURNOVER  by JOHNSON,BRYSON",1
16:50,"SUB IN by HELZER,JAMES",,,,,,,"SUB IN by HELZER,JAMES",1
16:50,"SUB OUT by WILHELM,CORY",,,,,,,"SUB OUT by WILHELM,CORY",1
16:39,,9,,12 (+3),"GOOD 3PTR by BAK,CALVIN",BSC 9-12 (+3),,"GOOD 3PTR by BAK,CALVIN",1
--,,,,,"ASSIST  by O'SULLIVAN,CONOR",,,"ASSIST  by O'SULLIVAN,CONOR",1
16:09,"GOOD JUMPER by DAVIS,JACOBE(in the paint)",11,,12 (+1),,UO 11-12 (+1),,"GOOD JUMPER by DAVIS,JACOBE(in the paint)",1
15:41,"FOUL  by BOBO,ZACH",,,,,,,"FOUL  by BOBO,ZACH",1
15:41,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
15:41,"SUB IN by BOWMAN,ETHAN",,,,,,,"SUB IN by BOWMAN,ETHAN",1
15:41,"SUB IN by WINSTON,CORDY",,,,,,,"SUB IN by WINSTON,CORDY",1
15:41,"SUB OUT by BOBO,ZACH",,,,,,,"SUB OUT by BOBO,ZACH",1
15:41,"SUB OUT by JOHNSON,BRYSON",,,,,,,"SUB OUT by JOHNSON,BRYSON",1
15:31,,,,,"MISS 3PTR by BAK,CALVIN",,,"MISS 3PTR by BAK,CALVIN",1
--,,,,,"REBOUND OFF by SPENCE,BEN",,,"REBOUND OFF by SPENCE,BEN",1
15:25,"FOUL  by HELZER,JAMES",,,,,,,"FOUL  by HELZER,JAMES",1
15:25,,,,,"MISS FT by STEWART,CHRISTIAN",,,"MISS FT by STEWART,CHRISTIAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
15:25,,11,,13 (+2),"GOOD FT by STEWART,CHRISTIAN",BSC 11-13 (+2),,"GOOD FT by STEWART,CHRISTIAN",1
15:07,,,,,"FOUL  by O'SULLIVAN,CONOR",,,"FOUL  by O'SULLIVAN,CONOR",1
14:49,"GOOD 3PTR by HELZER,JAMES",14 (+1),,13,,UO 14-13 (-1),,"GOOD 3PTR by HELZER,JAMES",1
--,"ASSIST  by RENELIQUE,DARNEL",,,,,,,"ASSIST  by RENELIQUE,DARNEL",1
14:32,,,,,"TURNOVER  by SPENCE,BEN",,,"TURNOVER  by SPENCE,BEN",1
14:32,"STEAL  by BOWMAN,ETHAN",,,,,,,"STEAL  by BOWMAN,ETHAN",1
14:20,"TURNOVER  by DAVIS,JACOBE",,,,,,,"TURNOVER  by DAVIS,JACOBE",1
14:20,"SUB IN by BOBO,ZACH",,,,,,,"SUB IN by BOBO,ZACH",1
14:20,"SUB IN by JOHNSON,BRYSON",,,,,,,"SUB IN by JOHNSON,BRYSON",1
14:20,"SUB OUT by RENELIQUE,DARNEL",,,,,,,"SUB OUT by RENELIQUE,DARNEL",1
14:20,"SUB OUT by DAVIS,JACOBE",,,,,,,"SUB OUT by DAVIS,JACOBE",1
14:20,,,,,"SUB IN by CHILDERS,JOSH",,,"SUB IN by CHILDERS,JOSH",1
14:20,,,,,"SUB IN by GONDA,MATT",,,"SUB IN by GONDA,MATT",1
14:20,,,,,"SUB OUT by STEWART,CHRISTIAN",,,"SUB OUT by STEWART,CHRISTIAN",1
14:20,,,,,"SUB OUT by FITZGERALD,PAUL",,,"SUB OUT by FITZGERALD,PAUL",1
14:05,,,,,"MISS 3PTR by SPENCE,BEN",,,"MISS 3PTR by SPENCE,BEN",1
--,"REBOUND DEF by HELZER,JAMES",,,,,,,"REBOUND DEF by HELZER,JAMES",1
13:54,"GOOD JUMPER by BOBO,ZACH(in the paint)",16 (+3),,13,,UO 16-13 (-3),,"GOOD JUMPER by BOBO,ZACH(in the paint)",1
13:45,,,,,"TURNOVER  by O'SULLIVAN,CONOR",,,"TURNOVER  by O'SULLIVAN,CONOR",1
13:45,"STEAL  by WINSTON,CORDY",,,,,,,"STEAL  by WINSTON,CORDY",1
13:41,"MISS LAYUP by WINSTON,CORDY",,,,,,,"MISS LAYUP by WINSTON,CORDY",1
--,"REBOUND OFF by BOWMAN,ETHAN",,,,,,,"REBOUND OFF by BOWMAN,ETHAN",1
13:36,"MISS 3PTR by BOBO,ZACH",,,,,,,"MISS 3PTR by BOBO,ZACH",1
--,,,,,"REBOUND DEF by SPENCE,BEN",,,"REBOUND DEF by SPENCE,BEN",1
13:27,,,,,"MISS LAYUP by SPENCE,BEN",,,"MISS LAYUP by SPENCE,BEN",1
--,"REBOUND DEF by BOWMAN,ETHAN",,,,,,,"REBOUND DEF by BOWMAN,ETHAN",1
13:19,"GOOD JUMPER by JOHNSON,BRYSON(fastbreak)(in the paint)",18 (+5),,13,,UO 18-13 (-5),,"GOOD JUMPER by JOHNSON,BRYSON(fastbreak)(in the paint)",1
13:04,"FOUL  by HELZER,JAMES",,,,,,,"FOUL  by HELZER,JAMES",1
13:04,"SUB IN by TURPIN,TIM",,,,,,,"SUB IN by TURPIN,TIM",1
13:04,"SUB OUT by HELZER,JAMES",,,,,,,"SUB OUT by HELZER,JAMES",1
13:04,,,,,"SUB IN by MORRISON,JASON",,,"SUB IN by MORRISON,JASON",1
13:04,,,,,"SUB OUT by SPENCE,BEN",,,"SUB OUT by SPENCE,BEN",1
12:58,,,,,"MISS LAYUP by CHILDERS,JOSH",,,"MISS LAYUP by CHILDERS,JOSH",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
12:40,"GOOD JUMPER by JOHNSON,BRYSON(in the paint)",20 (+7),,13,,UO 20-13 (-7),,"GOOD JUMPER by JOHNSON,BRYSON(in the paint)",1
12:19,,,,,"MISS 3PTR by GONDA,MATT",,,"MISS 3PTR by GONDA,MATT",1
--,"REBOUND DEF by JOHNSON,BRYSON",,,,,,,"REBOUND DEF by JOHNSON,BRYSON",1
12:15,,,,,"FOUL  by MORRISON,JASON",,,"FOUL  by MORRISON,JASON",1
12:15,"GOOD FT by BOBO,ZACH",21 (+8),,13,,UO 21-13 (-8),,"GOOD FT by BOBO,ZACH",1
12:15,"GOOD FT by BOBO,ZACH",22 (+9),,13,,UO 22-13 (-9),,"GOOD FT by BOBO,ZACH",1
12:15,,,,,"SUB IN by SIGLER,EVAN",,,"SUB IN by SIGLER,EVAN",1
12:15,,,,,"SUB IN by BARNETT,CHARLIE",,,"SUB IN by BARNETT,CHARLIE",1
12:15,,,,,"SUB OUT by O'SULLIVAN,CONOR",,,"SUB OUT by O'SULLIVAN,CONOR",1
12:15,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",1
11:49,,,,,"MISS 3PTR by MORRISON,JASON",,,"MISS 3PTR by MORRISON,JASON",1
--,,,,,"REBOUND OFF by CHILDERS,JOSH",,,"REBOUND OFF by CHILDERS,JOSH",1
11:44,,,,,"MISS LAYUP by CHILDERS,JOSH",,,"MISS LAYUP by CHILDERS,JOSH",1
--,"REBOUND DEF by BOWMAN,ETHAN",,,,,,,"REBOUND DEF by BOWMAN,ETHAN",1
11:42,,,,,"FOUL  by BARNETT,CHARLIE",,,"FOUL  by BARNETT,CHARLIE",1
11:42,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
11:36,"SUB IN by RENELIQUE,DARNEL",,,,,,,"SUB IN by RENELIQUE,DARNEL",1
11:36,"SUB IN by DAVIS,JACOBE",,,,,,,"SUB IN by DAVIS,JACOBE",1
11:36,"SUB OUT by BOWMAN,ETHAN",,,,,,,"SUB OUT by BOWMAN,ETHAN",1
11:36,"SUB OUT by WINSTON,CORDY",,,,,,,"SUB OUT by WINSTON,CORDY",1
11:29,"MISS 3PTR by DAVIS,JACOBE",,,,,,,"MISS 3PTR by DAVIS,JACOBE",1
--,"REBOUND OFF by RENELIQUE,DARNEL",,,,,,,"REBOUND OFF by RENELIQUE,DARNEL",1
11:22,"GOOD 3PTR by BOBO,ZACH",25 (+12),,13,,UO 25-13 (-12),,"GOOD 3PTR by BOBO,ZACH",1
--,"ASSIST  by DAVIS,JACOBE",,,,,,,"ASSIST  by DAVIS,JACOBE",1
10:58,,,,,"MISS 3PTR by SIGLER,EVAN",,,"MISS 3PTR by SIGLER,EVAN",1
--,,,,,"REBOUND OFF by CHILDERS,JOSH",,,"REBOUND OFF by CHILDERS,JOSH",1
10:51,,,,,"MISS 3PTR by MORRISON,JASON",,,"MISS 3PTR by MORRISON,JASON",1
--,"REBOUND DEF by TURPIN,TIM",,,,,,,"REBOUND DEF by TURPIN,TIM",1
10:49,,,,,"FOUL  by CHILDERS,JOSH",,,"FOUL  by CHILDERS,JOSH",1
10:49,,,,,"SUB IN by STEWART,CHRISTIAN",,,"SUB IN by STEWART,CHRISTIAN",1
10:49,,,,,"SUB OUT by CHILDERS,JOSH",,,"SUB OUT by CHILDERS,JOSH",1
10:38,"MISS 3PTR by TURPIN,TIM",,,,,,,"MISS 3PTR by TURPIN,TIM",1
--,"REBOUND OFF by JOHNSON,BRYSON",,,,,,,"REBOUND OFF by JOHNSON,BRYSON",1
10:36,,,,,"FOUL  by GONDA,MATT",,,"FOUL  by GONDA,MATT",1
10:30,"TURNOVER  by BOBO,ZACH",,,,,,,"TURNOVER  by BOBO,ZACH",1
10:12,,,,,"TURNOVER  by STEWART,CHRISTIAN",,,"TURNOVER  by STEWART,CHRISTIAN",1
10:12,"SUB IN by WILHELM,CORY",,,,,,,"SUB IN by WILHELM,CORY",1
10:12,"SUB OUT by TURPIN,TIM",,,,,,,"SUB OUT by TURPIN,TIM",1
10:12,,,,,"SUB IN by SPENCE,BEN",,,"SUB IN by SPENCE,BEN",1
10:12,,,,,"SUB IN by O'SULLIVAN,CONOR",,,"SUB IN by O'SULLIVAN,CONOR",1
10:12,,,,,"SUB IN by BAK,CALVIN",,,"SUB IN by BAK,CALVIN",1
10:12,,,,,"SUB IN by FITZGERALD,PAUL",,,"SUB IN by FITZGERALD,PAUL",1
10:12,,,,,"SUB OUT by SIGLER,EVAN",,,"SUB OUT by SIGLER,EVAN",1
10:12,,,,,"SUB OUT by MORRISON,JASON",,,"SUB OUT by MORRISON,JASON",1
10:12,,,,,"SUB OUT by GONDA,MATT",,,"SUB OUT by GONDA,MATT",1
10:12,,,,,"SUB OUT by BARNETT,CHARLIE",,,"SUB OUT by BARNETT,CHARLIE",1
10:00,"TURNOVER  by RENELIQUE,DARNEL",,,,,,,"TURNOVER  by RENELIQUE,DARNEL",1
10:00,,,,,"STEAL  by FITZGERALD,PAUL",,,"STEAL  by FITZGERALD,PAUL",1
09:39,,,,,"MISS JUMPER by FITZGERALD,PAUL",,,"MISS JUMPER by FITZGERALD,PAUL",1
--,,,,,"REBOUND OFF by FITZGERALD,PAUL",,,"REBOUND OFF by FITZGERALD,PAUL",1
09:34,,,,,"TURNOVER  by FITZGERALD,PAUL",,,"TURNOVER  by FITZGERALD,PAUL",1
09:18,"TURNOVER  by RENELIQUE,DARNEL",,,,,,,"TURNOVER  by RENELIQUE,DARNEL",1
09:09,"SUB IN by BOWMAN,ETHAN",,,,,,,"SUB IN by BOWMAN,ETHAN",1
09:09,"SUB OUT by BOBO,ZACH",,,,,,,"SUB OUT by BOBO,ZACH",1
08:57,,,,,"MISS LAYUP by SPENCE,BEN",,,"MISS LAYUP by SPENCE,BEN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
08:50,,,,,"MISS JUMPER by BAK,CALVIN",,,"MISS JUMPER by BAK,CALVIN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
08:39,,,,,"MISS 3PTR by FITZGERALD,PAUL",,,"MISS 3PTR by FITZGERALD,PAUL",1
--,"REBOUND DEF by JOHNSON,BRYSON",,,,,,,"REBOUND DEF by JOHNSON,BRYSON",1
08:30,"GOOD JUMPER by JOHNSON,BRYSON(in the paint)",27 (+14),,13,,UO 27-13 (-14),,"GOOD JUMPER by JOHNSON,BRYSON(in the paint)",1
08:19,,,,,"MISS 3PTR by BAK,CALVIN",,,"MISS 3PTR by BAK,CALVIN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
08:16,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
08:16,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
08:02,"MISS JUMPER by RENELIQUE,DARNEL",,,,,,,"MISS JUMPER by RENELIQUE,DARNEL",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
07:49,,27 (+12),,15,"GOOD JUMPER by STEWART,CHRISTIAN(in the paint)",BSC 27-15 (-12),,"GOOD JUMPER by STEWART,CHRISTIAN(in the paint)",1
--,,,,,"ASSIST  by O'SULLIVAN,CONOR",,,"ASSIST  by O'SULLIVAN,CONOR",1
07:31,"GOOD 3PTR by JOHNSON,BRYSON",30 (+15),,15,,UO 30-15 (-15),,"GOOD 3PTR by JOHNSON,BRYSON",1
07:17,"FOUL  by RENELIQUE,DARNEL",,,,,,,"FOUL  by RENELIQUE,DARNEL",1
07:17,"SUB IN by TURPIN,TIM",,,,,,,"SUB IN by TURPIN,TIM",1
07:17,"SUB IN by WINSTON,CORDY",,,,,,,"SUB IN by WINSTON,CORDY",1
07:17,"SUB OUT by RENELIQUE,DARNEL",,,,,,,"SUB OUT by RENELIQUE,DARNEL",1
07:17,"SUB OUT by DAVIS,JACOBE",,,,,,,"SUB OUT by DAVIS,JACOBE",1
07:17,,,,,"SUB IN by GONDA,MATT",,,"SUB IN by GONDA,MATT",1
07:17,,,,,"SUB OUT by O'SULLIVAN,CONOR",,,"SUB OUT by O'SULLIVAN,CONOR",1
07:08,,,,,"MISS LAYUP by STEWART,CHRISTIAN",,,"MISS LAYUP by STEWART,CHRISTIAN",1
--,,,,,"REBOUND OFF by STEWART,CHRISTIAN",,,"REBOUND OFF by STEWART,CHRISTIAN",1
07:05,,,,,"MISS 3PTR by FITZGERALD,PAUL",,,"MISS 3PTR by FITZGERALD,PAUL",1
--,,,,,"REBOUND OFF by SPENCE,BEN",,,"REBOUND OFF by SPENCE,BEN",1
06:59,,30 (+13),,17,"GOOD LAYUP by SPENCE,BEN(in the paint)",BSC 30-17 (-13),,"GOOD LAYUP by SPENCE,BEN(in the paint)",1
06:41,"MISS 3PTR by TURPIN,TIM",,,,,,,"MISS 3PTR by TURPIN,TIM",1
--,,,,,"REBOUND DEF by SPENCE,BEN",,,"REBOUND DEF by SPENCE,BEN",1
06:29,"FOUL  by JOHNSON,BRYSON",,,,,,,"FOUL  by JOHNSON,BRYSON",1
06:21,"FOUL  by WILHELM,CORY",,,,,,,"FOUL  by WILHELM,CORY",1
06:21,,,,,"MISS FT by STEWART,CHRISTIAN",,,"MISS FT by STEWART,CHRISTIAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
06:21,,30 (+12),,18,"GOOD FT by STEWART,CHRISTIAN",BSC 30-18 (-12),,"GOOD FT by STEWART,CHRISTIAN",1
06:06,"MISS LAYUP by BOWMAN,ETHAN",,,,,,,"MISS LAYUP by BOWMAN,ETHAN",1
--,,,,,"REBOUND DEF by STEWART,CHRISTIAN",,,"REBOUND DEF by STEWART,CHRISTIAN",1
05:55,,30 (+10),,20,"GOOD JUMPER by STEWART,CHRISTIAN(in the paint)",BSC 30-20 (-10),,"GOOD JUMPER by STEWART,CHRISTIAN(in the paint)",1
05:28,,,,,"FOUL  by BAK,CALVIN",,,"FOUL  by BAK,CALVIN",1
05:28,"GOOD FT by WINSTON,CORDY",31 (+11),,20,,UO 31-20 (-11),,"GOOD FT by WINSTON,CORDY",1
05:28,"MISS FT by WINSTON,CORDY",,,,,,,"MISS FT by WINSTON,CORDY",1
05:28,"SUB IN by BOBO,ZACH",,,,,,,"SUB IN by BOBO,ZACH",1
05:28,"SUB OUT by WILHELM,CORY",,,,,,,"SUB OUT by WILHELM,CORY",1
--,,,,,"REBOUND DEF by FITZGERALD,PAUL",,,"REBOUND DEF by FITZGERALD,PAUL",1
05:13,,31 (+9),,22,"GOOD JUMPER by GONDA,MATT(in the paint)",BSC 31-22 (-9),,"GOOD JUMPER by GONDA,MATT(in the paint)",1
04:47,"MISS LAYUP by BOBO,ZACH",,,,,,,"MISS LAYUP by BOBO,ZACH",1
--,,,,,"REBOUND DEF by BAK,CALVIN",,,"REBOUND DEF by BAK,CALVIN",1
04:31,,,,,"TURNOVER  by FITZGERALD,PAUL",,,"TURNOVER  by FITZGERALD,PAUL",1
04:31,,,,,"SUB IN by CHILDERS,JOSH",,,"SUB IN by CHILDERS,JOSH",1
04:31,,,,,"SUB IN by MORRISON,JASON",,,"SUB IN by MORRISON,JASON",1
04:31,,,,,"SUB OUT by SPENCE,BEN",,,"SUB OUT by SPENCE,BEN",1
04:31,,,,,"SUB OUT by STEWART,CHRISTIAN",,,"SUB OUT by STEWART,CHRISTIAN",1
04:30,"MISS JUMPER by WINSTON,CORDY",,,,,,,"MISS JUMPER by WINSTON,CORDY",1
--,,,,,"REBOUND DEF by MORRISON,JASON",,,"REBOUND DEF by MORRISON,JASON",1
04:24,,,,,"FOUL  by FITZGERALD,PAUL",,,"FOUL  by FITZGERALD,PAUL",1
04:24,,,,,"TURNOVER  by FITZGERALD,PAUL",,,"TURNOVER  by FITZGERALD,PAUL",1
04:15,"TURNOVER  by JOHNSON,BRYSON",,,,,,,"TURNOVER  by JOHNSON,BRYSON",1
04:15,,,,,"STEAL  by CHILDERS,JOSH",,,"STEAL  by CHILDERS,JOSH",1
04:15,,31 (+6),,25,"GOOD 3PTR by BAK,CALVIN(fastbreak)",BSC 31-25 (-6),,"GOOD 3PTR by BAK,CALVIN(fastbreak)",1
--,,,,,"ASSIST  by FITZGERALD,PAUL",,,"ASSIST  by FITZGERALD,PAUL",1
04:04,"MISS LAYUP by JOHNSON,BRYSON",,,,,,,"MISS LAYUP by JOHNSON,BRYSON",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
03:59,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
03:15,,,,,"SUB IN by KANE,DENMAN",,,"SUB IN by KANE,DENMAN",1
03:15,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",1
03:10,,,,,"MISS 3PTR by KANE,DENMAN",,,"MISS 3PTR by KANE,DENMAN",1
--,"REBOUND DEF by WINSTON,CORDY",,,,,,,"REBOUND DEF by WINSTON,CORDY",1
03:01,"GOOD 3PTR by BOWMAN,ETHAN",34 (+9),,25,,UO 34-25 (-9),,"GOOD 3PTR by BOWMAN,ETHAN",1
--,"ASSIST  by TURPIN,TIM",,,,,,,"ASSIST  by TURPIN,TIM",1
02:30,,,,,"MISS 3PTR by KANE,DENMAN",,,"MISS 3PTR by KANE,DENMAN",1
--,,,,,"REBOUND OFF by CHILDERS,JOSH",,,"REBOUND OFF by CHILDERS,JOSH",1
02:27,"FOUL  by TURPIN,TIM",,,,,,,"FOUL  by TURPIN,TIM",1
02:27,,,,,"MISS FT by CHILDERS,JOSH",,,"MISS FT by CHILDERS,JOSH",1
02:27,,,,,"SUB IN by SPENCE,BEN",,,"SUB IN by SPENCE,BEN",1
02:27,,,,,"SUB IN by BAK,CALVIN",,,"SUB IN by BAK,CALVIN",1
02:27,,,,,"SUB OUT by MORRISON,JASON",,,"SUB OUT by MORRISON,JASON",1
02:27,,,,,"SUB OUT by KANE,DENMAN",,,"SUB OUT by KANE,DENMAN",1
--,"REBOUND DEF by BOBO,ZACH",,,,,,,"REBOUND DEF by BOBO,ZACH",1
02:18,"TURNOVER  by WINSTON,CORDY",,,,,,,"TURNOVER  by WINSTON,CORDY",1
02:18,,,,,"STEAL  by CHILDERS,JOSH",,,"STEAL  by CHILDERS,JOSH",1
02:13,,,,,"MISS LAYUP by BAK,CALVIN",,,"MISS LAYUP by BAK,CALVIN",1
--,,,,,"REBOUND OFF by CHILDERS,JOSH",,,"REBOUND OFF by CHILDERS,JOSH",1
02:02,,,,,"MISS LAYUP by SPENCE,BEN",,,"MISS LAYUP by SPENCE,BEN",1
--,"REBOUND DEF by BOWMAN,ETHAN",,,,,,,"REBOUND DEF by BOWMAN,ETHAN",1
01:54,"GOOD LAYUP by TURPIN,TIM(fastbreak)(in the paint)",36 (+11),,25,,UO 36-25 (-11),,"GOOD LAYUP by TURPIN,TIM(fastbreak)(in the paint)",1
--,"ASSIST  by JOHNSON,BRYSON",,,,,,,"ASSIST  by JOHNSON,BRYSON",1
01:53,,,,,"SUB IN by STEWART,CHRISTIAN",,,"SUB IN by STEWART,CHRISTIAN",1
01:53,,,,,"SUB OUT by CHILDERS,JOSH",,,"SUB OUT by CHILDERS,JOSH",1
01:41,,,,,"TURNOVER  by STEWART,CHRISTIAN",,,"TURNOVER  by STEWART,CHRISTIAN",1
01:41,"STEAL  by BOWMAN,ETHAN",,,,,,,"STEAL  by BOWMAN,ETHAN",1
01:33,"MISS 3PTR by TURPIN,TIM",,,,,,,"MISS 3PTR by TURPIN,TIM",1
--,,,,,"REBOUND DEF by SPENCE,BEN",,,"REBOUND DEF by SPENCE,BEN",1
01:20,,,,,"TURNOVER  by BAK,CALVIN",,,"TURNOVER  by BAK,CALVIN",1
01:20,"STEAL  by WINSTON,CORDY",,,,,,,"STEAL  by WINSTON,CORDY",1
01:14,"GOOD JUMPER by BOBO,ZACH(fastbreak)(in the paint)",38 (+13),,25,,UO 38-25 (-13),,"GOOD JUMPER by BOBO,ZACH(fastbreak)(in the paint)",1
--,"ASSIST  by WINSTON,CORDY",,,,,,,"ASSIST  by WINSTON,CORDY",1
01:13,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:48,,38 (+11),,27,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",BSC 38-27 (-11),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",1
--,,,,,"ASSIST  by GONDA,MATT",,,"ASSIST  by GONDA,MATT",1
00:19,"MISS JUMPER by WINSTON,CORDY",,,,,,,"MISS JUMPER by WINSTON,CORDY",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
00:05,,38 (+9),,29,"GOOD JUMPER by SPENCE,BEN(in the paint)",BSC 38-29 (-9),,"GOOD JUMPER by SPENCE,BEN(in the paint)",1
20:00,"SUB IN by WILHELM,CORY",,,,,,,"SUB IN by WILHELM,CORY",2
20:00,"SUB IN by RENELIQUE,DARNEL",,,,,,,"SUB IN by RENELIQUE,DARNEL",2
20:00,"SUB IN by DAVIS,JACOBE",,,,,,,"SUB IN by DAVIS,JACOBE",2
20:00,"SUB OUT by TURPIN,TIM",,,,,,,"SUB OUT by TURPIN,TIM",2
20:00,"SUB OUT by BOWMAN,ETHAN",,,,,,,"SUB OUT by BOWMAN,ETHAN",2
20:00,"SUB OUT by WINSTON,CORDY",,,,,,,"SUB OUT by WINSTON,CORDY",2
20:00,,,,,"SUB IN by O'SULLIVAN,CONOR",,,"SUB IN by O'SULLIVAN,CONOR",2
20:00,,,,,"SUB OUT by GONDA,MATT",,,"SUB OUT by GONDA,MATT",2
19:43,"GOOD LAYUP by WILHELM,CORY(in the paint)",40 (+11),,29,,UO 40-29 (-11),,"GOOD LAYUP by WILHELM,CORY(in the paint)",2
--,"ASSIST  by RENELIQUE,DARNEL",,,,,,,"ASSIST  by RENELIQUE,DARNEL",2
19:28,,40 (+9),,31,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",BSC 40-31 (-9),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",2
--,,,,,"ASSIST  by SPENCE,BEN",,,"ASSIST  by SPENCE,BEN",2
19:09,"MISS JUMPER by JOHNSON,BRYSON",,,,,,,"MISS JUMPER by JOHNSON,BRYSON",2
--,,,,,"REBOUND DEF by STEWART,CHRISTIAN",,,"REBOUND DEF by STEWART,CHRISTIAN",2
18:52,,40 (+6),,34,"GOOD 3PTR by BAK,CALVIN",BSC 40-34 (-6),,"GOOD 3PTR by BAK,CALVIN",2
--,,,,,"ASSIST  by STEWART,CHRISTIAN",,,"ASSIST  by STEWART,CHRISTIAN",2
18:29,"TURNOVER  by RENELIQUE,DARNEL",,,,,,,"TURNOVER  by RENELIQUE,DARNEL",2
18:29,,,,,"STEAL  by SPENCE,BEN",,,"STEAL  by SPENCE,BEN",2
18:21,,40 (+4),,36,"GOOD JUMPER by SPENCE,BEN(fastbreak)(in the paint)",BSC 40-36 (-4),,"GOOD JUMPER by SPENCE,BEN(fastbreak)(in the paint)",2
18:01,"GOOD JUMPER by BOBO,ZACH",42 (+6),,36,,UO 42-36 (-6),,"GOOD JUMPER by BOBO,ZACH",2
