Time Remaining,MILMB,Away Team Score,Play Team Indicator,Home Team Score,LCM,Game Score,Team Indicator,Play,Period
08:41,"TURNOVER  by MILLER,JOSHUA",,,,,,,"TURNOVER  by MILLER,JOSHUA",1
08:41,,,,,"STEAL  by POWELL,LASHARD",,,"STEAL  by POWELL,LASHARD",1
08:28,,17,,30 (+13),"GOOD JUMPER by STOKES,TIMOTHY",LCM 17-30 (-13),,"GOOD JUMPER by STOKES,TIMOTHY",1
08:05,"MISS 3PTR by KOHNKE,SAM",,,,,,,"MISS 3PTR by KOHNKE,SAM",1
--,"REBOUND OFF by SPIKES,KALVIN",,,,,,,"REBOUND OFF by SPIKES,KALVIN",1
08:02,"MISS JUMPER by SPIKES,KALVIN",,,,,,,"MISS JUMPER by SPIKES,KALVIN",1
--,,,,,"REBOUND DEF by SCHULTZ,TRAVIS",,,"REBOUND DEF by SCHULTZ,TRAVIS",1
08:00,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
08:00,"SUB IN by BLANZ,BUCK",,,,,,,"SUB IN by BLANZ,BUCK",1
08:00,"SUB OUT by SPIKES,KALVIN",,,,,,,"SUB OUT by SPIKES,KALVIN",1
07:33,,,,,"MISS JUMPER by POWELL,LASHARD",,,"MISS JUMPER by POWELL,LASHARD",1
07:33,"BLOCK  by TURNER,JAMES",,,,,,,"BLOCK  by TURNER,JAMES",1
--,"REBOUND DEF by TURNER,JAMES",,,,,,,"REBOUND DEF by TURNER,JAMES",1
07:27,"MISS 3PTR by SULLIVAN,MICHAEL",,,,,,,"MISS 3PTR by SULLIVAN,MICHAEL",1
--,"REBOUND OFF by KOHNKE,SAM",,,,,,,"REBOUND OFF by KOHNKE,SAM",1
07:14,"TURNOVER  by TURNER,JAMES",,,,,,,"TURNOVER  by TURNER,JAMES",1
07:02,,,,,"TURNOVER  by POWELL,LASHARD",,,"TURNOVER  by POWELL,LASHARD",1
07:02,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
06:34,"TURNOVER  by BLANZ,BUCK",,,,,,,"TURNOVER  by BLANZ,BUCK",1
06:34,"SUB IN by OWENS,MATT",,,,,,,"SUB IN by OWENS,MATT",1
06:34,"SUB IN by GRANT,SHE'CHEM",,,,,,,"SUB IN by GRANT,SHE'CHEM",1
06:34,"SUB OUT by TURNER,JAMES",,,,,,,"SUB OUT by TURNER,JAMES",1
06:34,"SUB OUT by BLANZ,BUCK",,,,,,,"SUB OUT by BLANZ,BUCK",1
06:19,,17,,33 (+16),"GOOD 3PTR by POWELL,LASHARD",LCM 17-33 (-16),,"GOOD 3PTR by POWELL,LASHARD",1
05:57,"MISS JUMPER by OWENS,MATT",,,,,,,"MISS JUMPER by OWENS,MATT",1
--,,,,,"REBOUND DEF by SCHULTZ,TRAVIS",,,"REBOUND DEF by SCHULTZ,TRAVIS",1
05:40,,,,,"TURNOVER  by POWELL,LASHARD",,,"TURNOVER  by POWELL,LASHARD",1
05:40,,,,,"SUB IN by GROGAN,TAYLAN",,,"SUB IN by GROGAN,TAYLAN",1
05:40,,,,,"SUB OUT by WASHINGTON,DEVON",,,"SUB OUT by WASHINGTON,DEVON",1
05:32,,,,,"FOUL  by SCHULTZ,TRAVIS",,,"FOUL  by SCHULTZ,TRAVIS",1
05:32,"MISS FT by KOHNKE,SAM",,,,,,,"MISS FT by KOHNKE,SAM",1
