Time Remaining,MILMB,Away Team Score,Play Team Indicator,Home Team Score,LCM,Game Score,Team Indicator,Play,Period
07:52,,,,,"SUB IN by SCHULTZ,TRAVIS",,,"SUB IN by SCHULTZ,TRAVIS",2
07:52,,,,,"SUB OUT by AMES,TREY",,,"SUB OUT by AMES,TREY",2
07:27,,33,,72 (+39),"GOOD JUMPER by BURKS,NICK(in the paint)",LCM 33-72 (-39),,"GOOD JUMPER by BURKS,NICK(in the paint)",2
07:16,"TURNOVER  by TURNER,JAMES",,,,,,,"TURNOVER  by TURNER,JAMES",2
07:16,"FOUL  by BURNETT,DREW",,,,,,,"FOUL  by BURNETT,DREW",2
07:16,,,,,"FOUL  by LANDRY,TYRIK",,,"FOUL  by LANDRY,TYRIK",2
07:16,,,,,"SUB IN by LANDRY,TYRIK",,,"SUB IN by LANDRY,TYRIK",2
07:16,,,,,"SUB OUT by LEE,TORRIAN",,,"SUB OUT by LEE,TORRIAN",2
07:00,,,,,"MISS JUMPER by LANDRY,TYRIK",,,"MISS JUMPER by LANDRY,TYRIK",2
--,"REBOUND DEF by TURNER,JAMES",,,,,,,"REBOUND DEF by TURNER,JAMES",2
06:54,"TURNOVER  by II,DERRICK BURT",,,,,,,"TURNOVER  by II,DERRICK BURT",2
06:52,,,,,"STEAL  by SCHULTZ,TRAVIS",,,"STEAL  by SCHULTZ,TRAVIS",2
06:48,,33,,74 (+41),"GOOD LAYUP by BURKS,NICK(fastbreak)(in the paint)",LCM 33-74 (-41),,"GOOD LAYUP by BURKS,NICK(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by COLEMAN,JAQUEZ",,,"ASSIST  by COLEMAN,JAQUEZ",2
06:48,"FOUL  by II,DERRICK BURT",,,,,,,"FOUL  by II,DERRICK BURT",2
06:48,,33,,75 (+42),"GOOD FT by BURKS,NICK",LCM 33-75 (-42),,"GOOD FT by BURKS,NICK",2
06:37,,,,,"FOUL  by BURKS,NICK",,,"FOUL  by BURKS,NICK",2
06:37,"GOOD FT by BURNETT,DREW",34,,75 (+41),,MILMB 34-75 (-41),,"GOOD FT by BURNETT,DREW",2
06:37,"GOOD FT by BURNETT,DREW",35,,75 (+40),,MILMB 35-75 (-40),,"GOOD FT by BURNETT,DREW",2
06:37,"SUB IN by SULLIVAN,MICHAEL",,,,,,,"SUB IN by SULLIVAN,MICHAEL",2
06:37,"SUB IN by COLEMAN,DANIEL",,,,,,,"SUB IN by COLEMAN,DANIEL",2
06:37,"SUB IN by MILLER,JOSHUA",,,,,,,"SUB IN by MILLER,JOSHUA",2
06:37,"SUB IN by LEONCE,JOSH",,,,,,,"SUB IN by LEONCE,JOSH",2
06:37,"SUB IN by BLANZ,BUCK",,,,,,,"SUB IN by BLANZ,BUCK",2
06:37,"SUB OUT by BURNETT,DREW",,,,,,,"SUB OUT by BURNETT,DREW",2
06:37,"SUB OUT by TURNER,JAMES",,,,,,,"SUB OUT by TURNER,JAMES",2
06:37,"SUB OUT by CARVELLI,CAMERON",,,,,,,"SUB OUT by CARVELLI,CAMERON",2
06:37,"SUB OUT by II,DERRICK BURT",,,,,,,"SUB OUT by II,DERRICK BURT",2
06:37,"SUB OUT by BECKER,SAXTON",,,,,,,"SUB OUT by BECKER,SAXTON",2
06:14,,,,,"MISS JUMPER by COLEMAN,JAQUEZ",,,"MISS JUMPER by COLEMAN,JAQUEZ",2
--,"REBOUND DEF by SULLIVAN,MICHAEL",,,,,,,"REBOUND DEF by SULLIVAN,MICHAEL",2
05:44,"GOOD 3PTR by MILLER,JOSHUA",38,,75 (+37),,MILMB 38-75 (-37),,"GOOD 3PTR by MILLER,JOSHUA",2
--,"ASSIST  by BLANZ,BUCK",,,,,,,"ASSIST  by BLANZ,BUCK",2
05:44,,,,,"FOUL  by COLEMAN,JAQUEZ",,,"FOUL  by COLEMAN,JAQUEZ",2
05:44,"GOOD FT by MILLER,JOSHUA",39,,75 (+36),,MILMB 39-75 (-36),,"GOOD FT by MILLER,JOSHUA",2
05:17,,,,,"MISS 3PTR by COLEMAN,JAQUEZ",,,"MISS 3PTR by COLEMAN,JAQUEZ",2
--,"REBOUND DEF by SULLIVAN,MICHAEL",,,,,,,"REBOUND DEF by SULLIVAN,MICHAEL",2
04:47,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
04:25,,,,,"MISS 3PTR by HOLLIS,REX",,,"MISS 3PTR by HOLLIS,REX",2
--,"REBOUND DEF by SULLIVAN,MICHAEL",,,,,,,"REBOUND DEF by SULLIVAN,MICHAEL",2
04:19,"GOOD 3PTR by LEONCE,JOSH",42,,75 (+33),,MILMB 42-75 (-33),,"GOOD 3PTR by LEONCE,JOSH",2
--,"ASSIST  by SULLIVAN,MICHAEL",,,,,,,"ASSIST  by SULLIVAN,MICHAEL",2
03:56,,,,,"MISS 3PTR by LANDRY,TYRIK",,,"MISS 3PTR by LANDRY,TYRIK",2
--,,,,,"REBOUND OFF by SCHULTZ,TRAVIS",,,"REBOUND OFF by SCHULTZ,TRAVIS",2
03:52,"FOUL  by SULLIVAN,MICHAEL",,,,,,,"FOUL  by SULLIVAN,MICHAEL",2
03:52,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
03:52,,42,,76 (+34),"GOOD FT by SCHULTZ,TRAVIS",LCM 42-76 (-34),,"GOOD FT by SCHULTZ,TRAVIS",2
03:52,,,,,"MISS FT by SCHULTZ,TRAVIS",,,"MISS FT by SCHULTZ,TRAVIS",2
--,"REBOUND DEF by MANNING,JOHNATHAN",,,,,,,"REBOUND DEF by MANNING,JOHNATHAN",2
03:52,"SUB IN by MANNING,JOHNATHAN",,,,,,,"SUB IN by MANNING,JOHNATHAN",2
03:52,"SUB IN by ,RONALD WILLIAMS JR",,,,,,,"SUB IN by ,RONALD WILLIAMS JR",2
03:52,"SUB IN by BURNETT,DREW",,,,,,,"SUB IN by BURNETT,DREW",2
03:52,"SUB IN by TURNER,JAMES",,,,,,,"SUB IN by TURNER,JAMES",2
03:52,"SUB IN by GRANT,SHE'CHEM",,,,,,,"SUB IN by GRANT,SHE'CHEM",2
03:52,"SUB OUT by SULLIVAN,MICHAEL",,,,,,,"SUB OUT by SULLIVAN,MICHAEL",2
03:52,"SUB OUT by COLEMAN,DANIEL",,,,,,,"SUB OUT by COLEMAN,DANIEL",2
03:52,"SUB OUT by MILLER,JOSHUA",,,,,,,"SUB OUT by MILLER,JOSHUA",2
03:52,"SUB OUT by LEONCE,JOSH",,,,,,,"SUB OUT by LEONCE,JOSH",2
03:52,"SUB OUT by BLANZ,BUCK",,,,,,,"SUB OUT by BLANZ,BUCK",2
03:52,,,,,"SUB IN by LEE,TORRIAN",,,"SUB IN by LEE,TORRIAN",2
03:52,,,,,"SUB IN by AMES,TREY",,,"SUB IN by AMES,TREY",2
03:52,,,,,"SUB OUT by HOLLIS,REX",,,"SUB OUT by HOLLIS,REX",2
03:52,,,,,"SUB OUT by LANDRY,TYRIK",,,"SUB OUT by LANDRY,TYRIK",2
03:32,,,,,"FOUL  by AMES,TREY",,,"FOUL  by AMES,TREY",2
03:32,"MISS FT by TURNER,JAMES",,,,,,,"MISS FT by TURNER,JAMES",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
03:32,"MISS FT by TURNER,JAMES",,,,,,,"MISS FT by TURNER,JAMES",2
--,,,,,"REBOUND DEF by SCHULTZ,TRAVIS",,,"REBOUND DEF by SCHULTZ,TRAVIS",2
03:04,"FOUL  by ,RONALD WILLIAMS JR",,,,,,,"FOUL  by ,RONALD WILLIAMS JR",2
03:04,,,,,"MISS FT by COLEMAN,JAQUEZ",,,"MISS FT by COLEMAN,JAQUEZ",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
03:04,,42,,77 (+35),"GOOD FT by COLEMAN,JAQUEZ",LCM 42-77 (-35),,"GOOD FT by COLEMAN,JAQUEZ",2
02:42,"MISS JUMPER by ,RONALD WILLIAMS JR",,,,,,,"MISS JUMPER by ,RONALD WILLIAMS JR",2
--,,,,,"REBOUND DEF by AMES,TREY",,,"REBOUND DEF by AMES,TREY",2
02:36,,,,,"TURNOVER  by LEE,TORRIAN",,,"TURNOVER  by LEE,TORRIAN",2
02:34,"STEAL  by GRANT,SHE'CHEM",,,,,,,"STEAL  by GRANT,SHE'CHEM",2
02:19,,,,,"FOUL  by AMES,TREY",,,"FOUL  by AMES,TREY",2
02:19,"GOOD FT by ,RONALD WILLIAMS JR",43,,77 (+34),,MILMB 43-77 (-34),,"GOOD FT by ,RONALD WILLIAMS JR",2
02:19,"MISS FT by ,RONALD WILLIAMS JR",,,,,,,"MISS FT by ,RONALD WILLIAMS JR",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
02:19,,,,,"SUB IN by LANDRY,TYRIK",,,"SUB IN by LANDRY,TYRIK",2
02:19,,,,,"SUB OUT by LEE,TORRIAN",,,"SUB OUT by LEE,TORRIAN",2
01:55,"FOUL  by MANNING,JOHNATHAN",,,,,,,"FOUL  by MANNING,JOHNATHAN",2
01:55,,43,,78 (+35),"GOOD FT by SCHULTZ,TRAVIS",LCM 43-78 (-35),,"GOOD FT by SCHULTZ,TRAVIS",2
01:55,,43,,79 (+36),"GOOD FT by SCHULTZ,TRAVIS",LCM 43-79 (-36),,"GOOD FT by SCHULTZ,TRAVIS",2
01:55,,,,,"SUB IN by HOLLIS,REX",,,"SUB IN by HOLLIS,REX",2
01:55,,,,,"SUB OUT by SCHULTZ,TRAVIS",,,"SUB OUT by SCHULTZ,TRAVIS",2
01:32,"MISS 3PTR by GRANT,SHE'CHEM",,,,,,,"MISS 3PTR by GRANT,SHE'CHEM",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
01:31,,,,,"FOUL  by AMES,TREY",,,"FOUL  by AMES,TREY",2
01:31,"GOOD FT by ,RONALD WILLIAMS JR",44,,79 (+35),,MILMB 44-79 (-35),,"GOOD FT by ,RONALD WILLIAMS JR",2
01:31,"GOOD FT by ,RONALD WILLIAMS JR",45,,79 (+34),,MILMB 45-79 (-34),,"GOOD FT by ,RONALD WILLIAMS JR",2
01:31,"SUB IN by BECKER,SAXTON",,,,,,,"SUB IN by BECKER,SAXTON",2
01:31,"SUB OUT by GRANT,SHE'CHEM",,,,,,,"SUB OUT by GRANT,SHE'CHEM",2
01:31,,,,,"SUB IN by SCHULTZ,TRAVIS",,,"SUB IN by SCHULTZ,TRAVIS",2
01:31,,,,,"SUB OUT by AMES,TREY",,,"SUB OUT by AMES,TREY",2
01:09,"FOUL  by MANNING,JOHNATHAN",,,,,,,"FOUL  by MANNING,JOHNATHAN",2
01:09,,45,,80 (+35),"GOOD FT by LANDRY,TYRIK",LCM 45-80 (-35),,"GOOD FT by LANDRY,TYRIK",2
01:09,,,,,"MISS FT by LANDRY,TYRIK",,,"MISS FT by LANDRY,TYRIK",2
--,"REBOUND DEF by ,RONALD WILLIAMS JR",,,,,,,"REBOUND DEF by ,RONALD WILLIAMS JR",2
00:58,"TURNOVER  by MANNING,JOHNATHAN",,,,,,,"TURNOVER  by MANNING,JOHNATHAN",2
00:57,,,,,"STEAL  by LANDRY,TYRIK",,,"STEAL  by LANDRY,TYRIK",2
00:55,,45,,82 (+37),"GOOD LAYUP by LANDRY,TYRIK(fastbreak)(in the paint)",LCM 45-82 (-37),,"GOOD LAYUP by LANDRY,TYRIK(fastbreak)(in the paint)",2
00:36,"GOOD LAYUP by TURNER,JAMES(in the paint)",47,,82 (+35),,MILMB 47-82 (-35),,"GOOD LAYUP by TURNER,JAMES(in the paint)",2
--,"ASSIST  by ,RONALD WILLIAMS JR",,,,,,,"ASSIST  by ,RONALD WILLIAMS JR",2
00:06,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,2
