Time Remaining,MILMB,Away Team Score,Play Team Indicator,Home Team Score,BUMBB,Game Score,Team Indicator,Play,Period
14:04,"GOOD 3PTR by KOHNKE,SAM",14,,17 (+3),,MILMB 14-17 (-3),,"GOOD 3PTR by KOHNKE,SAM",1
--,"ASSIST  by MILLER,JOSHUA",,,,,,,"ASSIST  by MILLER,JOSHUA",1
13:50,,,,,"MISS 3PTR by ROBERTS,JOSHUA",,,"MISS 3PTR by ROBERTS,JOSHUA",1
--,"REBOUND DEF by KOHNKE,SAM",,,,,,,"REBOUND DEF by KOHNKE,SAM",1
13:34,"MISS LAYUP by SULLIVAN,MICHAEL",,,,,,,"MISS LAYUP by SULLIVAN,MICHAEL",1
13:34,,,,,"BLOCK  by LEATHERWOOD,TRAEVIAN",,,"BLOCK  by LEATHERWOOD,TRAEVIAN",1
--,,,,,"REBOUND DEF by LEATHERWOOD,TRAEVIAN",,,"REBOUND DEF by LEATHERWOOD,TRAEVIAN",1
13:22,"FOUL  by TURNER,JAMES",,,,,,,"FOUL  by TURNER,JAMES",1
13:22,,14,,18 (+4),"GOOD FT by LEATHERWOOD,TRAEVIAN",BUMBB 14-18 (-4),,"GOOD FT by LEATHERWOOD,TRAEVIAN",1
13:22,,14,,19 (+5),"GOOD FT by LEATHERWOOD,TRAEVIAN",BUMBB 14-19 (-5),,"GOOD FT by LEATHERWOOD,TRAEVIAN",1
13:22,"SUB IN by COLEMAN,DANIEL",,,,,,,"SUB IN by COLEMAN,DANIEL",1
13:22,"SUB IN by BURNETT,DREW",,,,,,,"SUB IN by BURNETT,DREW",1
13:22,"SUB OUT by SULLIVAN,MICHAEL",,,,,,,"SUB OUT by SULLIVAN,MICHAEL",1
13:22,"SUB OUT by TURNER,JAMES",,,,,,,"SUB OUT by TURNER,JAMES",1
13:21,"TURNOVER  by COLEMAN,DANIEL",,,,,,,"TURNOVER  by COLEMAN,DANIEL",1
13:21,,14,,21 (+7),"GOOD LAYUP by LORIS,JOHN(in the paint)",BUMBB 14-21 (-7),,"GOOD LAYUP by LORIS,JOHN(in the paint)",1
--,,,,,"ASSIST  by LEATHERWOOD,TRAEVIAN",,,"ASSIST  by LEATHERWOOD,TRAEVIAN",1
13:14,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
13:14,"FOUL  by BURNETT,DREW",,,,,,,"FOUL  by BURNETT,DREW",1
13:14,,,,,"MISS FT by COLE,DAVID",,,"MISS FT by COLE,DAVID",1
--,"REBOUND DEF by BURNETT,DREW",,,,,,,"REBOUND DEF by BURNETT,DREW",1
13:06,"MISS 3PTR by KOHNKE,SAM",,,,,,,"MISS 3PTR by KOHNKE,SAM",1
--,,,,,"REBOUND DEF by LORIS,JOHN",,,"REBOUND DEF by LORIS,JOHN",1
12:57,,,,,"MISS LAYUP by LORIS,JOHN",,,"MISS LAYUP by LORIS,JOHN",1
--,"REBOUND DEF by COLEMAN,DANIEL",,,,,,,"REBOUND DEF by COLEMAN,DANIEL",1
12:52,,,,,"FOUL  by LORIS,JOHN",,,"FOUL  by LORIS,JOHN",1
12:52,"MISS FT by COLEMAN,DANIEL",,,,,,,"MISS FT by COLEMAN,DANIEL",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
12:52,,,,,"SUB IN by PRICE,VICTOR",,,"SUB IN by PRICE,VICTOR",1
12:52,,,,,"SUB IN by WEBBER,BRENT",,,"SUB IN by WEBBER,BRENT",1
12:52,,,,,"SUB IN by RICHARDSON,TERIK",,,"SUB IN by RICHARDSON,TERIK",1
12:52,,,,,"SUB IN by BROWN,ISIAH",,,"SUB IN by BROWN,ISIAH",1
12:52,,,,,"SUB IN by ,KYLE PATTERSON SR",,,"SUB IN by ,KYLE PATTERSON SR",1
12:52,,,,,"SUB OUT by LEATHERWOOD,TRAEVIAN",,,"SUB OUT by LEATHERWOOD,TRAEVIAN",1
12:52,,,,,"SUB OUT by ROBERTS,JOSHUA",,,"SUB OUT by ROBERTS,JOSHUA",1
12:52,,,,,"SUB OUT by LORIS,JOHN",,,"SUB OUT by LORIS,JOHN",1
12:52,,,,,"SUB OUT by WORKS,JOHN",,,"SUB OUT by WORKS,JOHN",1
12:52,,,,,"SUB OUT by COLE,DAVID",,,"SUB OUT by COLE,DAVID",1
12:51,"FOUL  by BURNETT,DREW",,,,,,,"FOUL  by BURNETT,DREW",1
12:51,,14,,22 (+8),"GOOD FT by WEBBER,BRENT",BUMBB 14-22 (-8),,"GOOD FT by WEBBER,BRENT",1
12:51,,14,,23 (+9),"GOOD FT by WEBBER,BRENT",BUMBB 14-23 (-9),,"GOOD FT by WEBBER,BRENT",1
12:51,"SUB IN by SULLIVAN,MICHAEL",,,,,,,"SUB IN by SULLIVAN,MICHAEL",1
12:51,"SUB IN by BECKER,SAXTON",,,,,,,"SUB IN by BECKER,SAXTON",1
12:51,"SUB OUT by COLEMAN,DANIEL",,,,,,,"SUB OUT by COLEMAN,DANIEL",1
12:51,"SUB OUT by BURNETT,DREW",,,,,,,"SUB OUT by BURNETT,DREW",1
12:30,"TURNOVER  by SULLIVAN,MICHAEL",,,,,,,"TURNOVER  by SULLIVAN,MICHAEL",1
12:21,"SUB IN by MEADS,TYSIN",,,,,,,"SUB IN by MEADS,TYSIN",1
12:21,"SUB OUT by II,DERRICK BURT",,,,,,,"SUB OUT by II,DERRICK BURT",1
12:03,,,,,"FOUL  by ,KYLE PATTERSON SR",,,"FOUL  by ,KYLE PATTERSON SR",1
11:42,"FOUL  by MEADS,TYSIN",,,,,,,"FOUL  by MEADS,TYSIN",1
11:42,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
11:42,"SUB IN by ,RONALD WILLIAMS JR",,,,,,,"SUB IN by ,RONALD WILLIAMS JR",1
11:42,"SUB OUT by MEADS,TYSIN",,,,,,,"SUB OUT by MEADS,TYSIN",1
11:20,,,,,"MISS LAYUP by BROWN,ISIAH",,,"MISS LAYUP by BROWN,ISIAH",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
10:59,,14,,25 (+11),"GOOD LAYUP by BROWN,ISIAH(in the paint)",BUMBB 14-25 (-11),,"GOOD LAYUP by BROWN,ISIAH(in the paint)",1
10:54,"GOOD 3PTR by MILLER,JOSHUA",17,,25 (+8),,MILMB 17-25 (-8),,"GOOD 3PTR by MILLER,JOSHUA",1
10:29,"MISS LAYUP by MILLER,JOSHUA",,,,,,,"MISS LAYUP by MILLER,JOSHUA",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
10:24,,,,,"FOUL  by BROWN,ISIAH",,,"FOUL  by BROWN,ISIAH",1
10:24,"GOOD FT by MILLER,JOSHUA",18,,25 (+7),,MILMB 18-25 (-7),,"GOOD FT by MILLER,JOSHUA",1
