Time Remaining,MILMB,Away Team Score,Play Team Indicator,Home Team Score,UMHB-MEN,Game Score,Team Indicator,Play,Period
16:50,"GOOD JUMPER by SULLIVAN,MICHAEL(in the paint)",10 (+7),,3,,MILMB 10-3 (+7),,"GOOD JUMPER by SULLIVAN,MICHAEL(in the paint)",1
--,"ASSIST  by BLANZ,BUCK",,,,,,,"ASSIST  by BLANZ,BUCK",1
16:34,"FOUL  by MILLER,JOSHUA",,,,,,,"FOUL  by MILLER,JOSHUA",1
16:34,"SUB IN by GRANT,SHE'CHEM",,,,,,,"SUB IN by GRANT,SHE'CHEM",1
16:34,"SUB IN by OWENS,MATT",,,,,,,"SUB IN by OWENS,MATT",1
16:34,"SUB OUT by MILLER,JOSHUA",,,,,,,"SUB OUT by MILLER,JOSHUA",1
16:34,"SUB OUT by TURNER,JAMES",,,,,,,"SUB OUT by TURNER,JAMES",1
16:34,,,,,"SUB IN by KING,AUBRIE",,,"SUB IN by KING,AUBRIE",1
16:34,,,,,"SUB OUT by HAMMOND,BRADEN",,,"SUB OUT by HAMMOND,BRADEN",1
16:33,,10 (+5),,5,"GOOD JUMPER by HYSON,LAKENDRIC(in the paint)",UMHB-MEN 10-5 (+5),,"GOOD JUMPER by HYSON,LAKENDRIC(in the paint)",1
--,,,,,"ASSIST  by KING,AUBRIE",,,"ASSIST  by KING,AUBRIE",1
16:03,"MISS JUMPER by OWENS,MATT",,,,,,,"MISS JUMPER by OWENS,MATT",1
--,,,,,"REBOUND DEF by GAMMILL,JUSTIN",,,"REBOUND DEF by GAMMILL,JUSTIN",1
16:02,"FOUL  by OWENS,MATT",,,,,,,"FOUL  by OWENS,MATT",1
15:46,"FOUL  by OWENS,MATT",,,,,,,"FOUL  by OWENS,MATT",1
15:46,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
15:46,,10 (+4),,6,"GOOD FT by CRESS,DEMARIUS",UMHB-MEN 10-6 (+4),,"GOOD FT by CRESS,DEMARIUS",1
15:46,,10 (+3),,7,"GOOD FT by CRESS,DEMARIUS",UMHB-MEN 10-7 (+3),,"GOOD FT by CRESS,DEMARIUS",1
15:46,"SUB IN by TURNER,JAMES",,,,,,,"SUB IN by TURNER,JAMES",1
15:46,"SUB IN by MEADS,TYSIN",,,,,,,"SUB IN by MEADS,TYSIN",1
15:46,"SUB OUT by BLANZ,BUCK",,,,,,,"SUB OUT by BLANZ,BUCK",1
15:46,"SUB OUT by OWENS,MATT",,,,,,,"SUB OUT by OWENS,MATT",1
15:23,"MISS 3PTR by TURNER,JAMES",,,,,,,"MISS 3PTR by TURNER,JAMES",1
--,"REBOUND OFF by KOHNKE,SAM",,,,,,,"REBOUND OFF by KOHNKE,SAM",1
15:11,"GOOD JUMPER by SULLIVAN,MICHAEL(in the paint)",12 (+5),,7,,MILMB 12-7 (+5),,"GOOD JUMPER by SULLIVAN,MICHAEL(in the paint)",1
14:56,,12 (+2),,10,"GOOD 3PTR by KING,AUBRIE",UMHB-MEN 12-10 (+2),,"GOOD 3PTR by KING,AUBRIE",1
--,,,,,"ASSIST  by CRESS,DEMARIUS",,,"ASSIST  by CRESS,DEMARIUS",1
14:26,"GOOD 3PTR by KOHNKE,SAM",15 (+5),,10,,MILMB 15-10 (+5),,"GOOD 3PTR by KOHNKE,SAM",1
--,"ASSIST  by SULLIVAN,MICHAEL",,,,,,,"ASSIST  by SULLIVAN,MICHAEL",1
14:18,"FOUL  by SULLIVAN,MICHAEL",,,,,,,"FOUL  by SULLIVAN,MICHAEL",1
14:18,"SUB IN by MILLER,JOSHUA",,,,,,,"SUB IN by MILLER,JOSHUA",1
14:18,"SUB OUT by SULLIVAN,MICHAEL",,,,,,,"SUB OUT by SULLIVAN,MICHAEL",1
14:08,,,,,"MISS JUMPER by GAMMILL,JUSTIN",,,"MISS JUMPER by GAMMILL,JUSTIN",1
14:08,"BLOCK  by MEADS,TYSIN",,,,,,,"BLOCK  by MEADS,TYSIN",1
--,"REBOUND DEF by MEADS,TYSIN",,,,,,,"REBOUND DEF by MEADS,TYSIN",1
13:46,"MISS 3PTR by GRANT,SHE'CHEM",,,,,,,"MISS 3PTR by GRANT,SHE'CHEM",1
--,,,,,"REBOUND DEF by GAMMILL,JUSTIN",,,"REBOUND DEF by GAMMILL,JUSTIN",1
13:45,"FOUL  by TURNER,JAMES",,,,,,,"FOUL  by TURNER,JAMES",1
13:45,"SUB IN by SULLIVAN,MICHAEL",,,,,,,"SUB IN by SULLIVAN,MICHAEL",1
13:45,"SUB OUT by KOHNKE,SAM",,,,,,,"SUB OUT by KOHNKE,SAM",1
13:45,,,,,"SUB IN by LONG,BRIAN",,,"SUB IN by LONG,BRIAN",1
13:45,,,,,"SUB OUT by GAMMILL,JUSTIN",,,"SUB OUT by GAMMILL,JUSTIN",1
13:34,,15 (+3),,12,"GOOD JUMPER by LONG,BRIAN(in the paint)",UMHB-MEN 15-12 (+3),,"GOOD JUMPER by LONG,BRIAN(in the paint)",1
--,,,,,"ASSIST  by KING,AUBRIE",,,"ASSIST  by KING,AUBRIE",1
13:08,"MISS 3PTR by GRANT,SHE'CHEM",,,,,,,"MISS 3PTR by GRANT,SHE'CHEM",1
--,,,,,"REBOUND DEF by HYSON,LAKENDRIC",,,"REBOUND DEF by HYSON,LAKENDRIC",1
13:03,,15 (+1),,14,"GOOD DUNK by MOORE,SAM(fastbreak)(in the paint)",UMHB-MEN 15-14 (+1),,"GOOD DUNK by MOORE,SAM(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by HYSON,LAKENDRIC",,,"ASSIST  by HYSON,LAKENDRIC",1
12:41,,,,,"FOUL  by LONG,BRIAN",,,"FOUL  by LONG,BRIAN",1
12:41,"SUB IN by BLANZ,BUCK",,,,,,,"SUB IN by BLANZ,BUCK",1
12:41,"SUB IN by SPIKES,KALVIN",,,,,,,"SUB IN by SPIKES,KALVIN",1
12:41,"SUB OUT by TURNER,JAMES",,,,,,,"SUB OUT by TURNER,JAMES",1
12:41,"SUB OUT by MEADS,TYSIN",,,,,,,"SUB OUT by MEADS,TYSIN",1
12:40,"GOOD JUMPER by SULLIVAN,MICHAEL(in the paint)",17 (+3),,14,,MILMB 17-14 (+3),,"GOOD JUMPER by SULLIVAN,MICHAEL(in the paint)",1
--,"ASSIST  by MILLER,JOSHUA",,,,,,,"ASSIST  by MILLER,JOSHUA",1
12:29,,,,,"TURNOVER  by CRESS,DEMARIUS",,,"TURNOVER  by CRESS,DEMARIUS",1
12:19,"TURNOVER  by SPIKES,KALVIN",,,,,,,"TURNOVER  by SPIKES,KALVIN",1
12:02,,17 (+1),,16,"GOOD JUMPER by HYSON,LAKENDRIC",UMHB-MEN 17-16 (+1),,"GOOD JUMPER by HYSON,LAKENDRIC",1
11:47,"GOOD JUMPER by GRANT,SHE'CHEM",19 (+3),,16,,MILMB 19-16 (+3),,"GOOD JUMPER by GRANT,SHE'CHEM",1
11:35,,19,,19,"GOOD 3PTR by CRESS,DEMARIUS",UMHB-MEN 19-19 (0),,"GOOD 3PTR by CRESS,DEMARIUS",1
--,,,,,"ASSIST  by LONG,BRIAN",,,"ASSIST  by LONG,BRIAN",1
11:11,"TURNOVER  by SULLIVAN,MICHAEL",,,,,,,"TURNOVER  by SULLIVAN,MICHAEL",1
11:11,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
10:53,,,,,"MISS JUMPER by MOORE,SAM",,,"MISS JUMPER by MOORE,SAM",1
--,"REBOUND DEF by SULLIVAN,MICHAEL",,,,,,,"REBOUND DEF by SULLIVAN,MICHAEL",1
10:29,"TURNOVER  by SPIKES,KALVIN",,,,,,,"TURNOVER  by SPIKES,KALVIN",1
10:29,"SUB IN by TURNER,JAMES",,,,,,,"SUB IN by TURNER,JAMES",1
10:29,"SUB IN by KOHNKE,SAM",,,,,,,"SUB IN by KOHNKE,SAM",1
10:29,"SUB OUT by GRANT,SHE'CHEM",,,,,,,"SUB OUT by GRANT,SHE'CHEM",1
10:29,"SUB OUT by SPIKES,KALVIN",,,,,,,"SUB OUT by SPIKES,KALVIN",1
10:16,,19,,22 (+3),"GOOD 3PTR by KING,AUBRIE",UMHB-MEN 19-22 (-3),,"GOOD 3PTR by KING,AUBRIE",1
10:12,,,,,"SUB IN by GAMMILL,JUSTIN",,,"SUB IN by GAMMILL,JUSTIN",1
10:12,,,,,"SUB OUT by KING,AUBRIE",,,"SUB OUT by KING,AUBRIE",1
09:47,"MISS JUMPER by MILLER,JOSHUA",,,,,,,"MISS JUMPER by MILLER,JOSHUA",1
--,,,,,"REBOUND DEF by GAMMILL,JUSTIN",,,"REBOUND DEF by GAMMILL,JUSTIN",1
09:36,,,,,"MISS JUMPER by MOORE,SAM",,,"MISS JUMPER by MOORE,SAM",1
--,"REBOUND DEF by TURNER,JAMES",,,,,,,"REBOUND DEF by TURNER,JAMES",1
09:31,"MISS 3PTR by KOHNKE,SAM",,,,,,,"MISS 3PTR by KOHNKE,SAM",1
--,"REBOUND OFF by SULLIVAN,MICHAEL",,,,,,,"REBOUND OFF by SULLIVAN,MICHAEL",1
09:24,"TURNOVER  by BLANZ,BUCK",,,,,,,"TURNOVER  by BLANZ,BUCK",1
09:24,"FOUL  by BLANZ,BUCK",,,,,,,"FOUL  by BLANZ,BUCK",1
09:03,,,,,"MISS JUMPER by HYSON,LAKENDRIC",,,"MISS JUMPER by HYSON,LAKENDRIC",1
--,"REBOUND DEF by TURNER,JAMES",,,,,,,"REBOUND DEF by TURNER,JAMES",1
08:57,"MISS JUMPER by MILLER,JOSHUA",,,,,,,"MISS JUMPER by MILLER,JOSHUA",1
08:57,,,,,"BLOCK  by HYSON,LAKENDRIC",,,"BLOCK  by HYSON,LAKENDRIC",1
--,,,,,"REBOUND DEF by LONG,BRIAN",,,"REBOUND DEF by LONG,BRIAN",1
08:51,,,,,"MISS JUMPER by CRESS,DEMARIUS",,,"MISS JUMPER by CRESS,DEMARIUS",1
--,"REBOUND DEF by TURNER,JAMES",,,,,,,"REBOUND DEF by TURNER,JAMES",1
08:44,"MISS 3PTR by SULLIVAN,MICHAEL",,,,,,,"MISS 3PTR by SULLIVAN,MICHAEL",1
--,"REBOUND OFF by KOHNKE,SAM",,,,,,,"REBOUND OFF by KOHNKE,SAM",1
08:41,,,,,"FOUL  by MOORE,SAM",,,"FOUL  by MOORE,SAM",1
08:41,"SUB IN by OWENS,MATT",,,,,,,"SUB IN by OWENS,MATT",1
08:41,"SUB IN by GRANT,SHE'CHEM",,,,,,,"SUB IN by GRANT,SHE'CHEM",1
08:41,"SUB OUT by MILLER,JOSHUA",,,,,,,"SUB OUT by MILLER,JOSHUA",1
08:41,"SUB OUT by BLANZ,BUCK",,,,,,,"SUB OUT by BLANZ,BUCK",1
08:41,,,,,"SUB IN by KING,AUBRIE",,,"SUB IN by KING,AUBRIE",1
08:41,,,,,"SUB OUT by HYSON,LAKENDRIC",,,"SUB OUT by HYSON,LAKENDRIC",1
08:35,"MISS JUMPER by OWENS,MATT",,,,,,,"MISS JUMPER by OWENS,MATT",1
--,,,,,"REBOUND DEF by LONG,BRIAN",,,"REBOUND DEF by LONG,BRIAN",1
08:27,,,,,"MISS 3PTR by GAMMILL,JUSTIN",,,"MISS 3PTR by GAMMILL,JUSTIN",1
--,"REBOUND DEF by SULLIVAN,MICHAEL",,,,,,,"REBOUND DEF by SULLIVAN,MICHAEL",1
08:05,"GOOD JUMPER by SULLIVAN,MICHAEL(in the paint)",21,,22 (+1),,MILMB 21-22 (-1),,"GOOD JUMPER by SULLIVAN,MICHAEL(in the paint)",1
--,"ASSIST  by OWENS,MATT",,,,,,,"ASSIST  by OWENS,MATT",1
07:54,,,,,"MISS 3PTR by CRESS,DEMARIUS",,,"MISS 3PTR by CRESS,DEMARIUS",1
--,"REBOUND DEF by SULLIVAN,MICHAEL",,,,,,,"REBOUND DEF by SULLIVAN,MICHAEL",1
07:46,"MISS 3PTR by GRANT,SHE'CHEM",,,,,,,"MISS 3PTR by GRANT,SHE'CHEM",1
--,,,,,"REBOUND DEF by MOORE,SAM",,,"REBOUND DEF by MOORE,SAM",1
07:39,"FOUL  by SULLIVAN,MICHAEL",,,,,,,"FOUL  by SULLIVAN,MICHAEL",1
07:39,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
07:39,,21,,23 (+2),"GOOD FT by CRESS,DEMARIUS",UMHB-MEN 21-23 (-2),,"GOOD FT by CRESS,DEMARIUS",1
07:39,,21,,24 (+3),"GOOD FT by CRESS,DEMARIUS",UMHB-MEN 21-24 (-3),,"GOOD FT by CRESS,DEMARIUS",1
07:39,"SUB IN by MILLER,JOSHUA",,,,,,,"SUB IN by MILLER,JOSHUA",1
07:39,"SUB IN by CARVELLI,CAMERON",,,,,,,"SUB IN by CARVELLI,CAMERON",1
07:39,"SUB OUT by SULLIVAN,MICHAEL",,,,,,,"SUB OUT by SULLIVAN,MICHAEL",1
07:39,"SUB OUT by KOHNKE,SAM",,,,,,,"SUB OUT by KOHNKE,SAM",1
07:39,,,,,"SUB IN by MARTIN,SHAQ",,,"SUB IN by MARTIN,SHAQ",1
07:39,,,,,"SUB OUT by MOORE,SAM",,,"SUB OUT by MOORE,SAM",1
07:21,"TURNOVER  by TURNER,JAMES",,,,,,,"TURNOVER  by TURNER,JAMES",1
07:21,"MISS JUMPER by CARVELLI,CAMERON",,,,,,,"MISS JUMPER by CARVELLI,CAMERON",1
--,"REBOUND OFF by TURNER,JAMES",,,,,,,"REBOUND OFF by TURNER,JAMES",1
07:05,,21,,26 (+5),"GOOD JUMPER by MARTIN,SHAQ(fastbreak)(in the paint)",UMHB-MEN 21-26 (-5),,"GOOD JUMPER by MARTIN,SHAQ(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by CRESS,DEMARIUS",,,"ASSIST  by CRESS,DEMARIUS",1
06:46,"MISS JUMPER by OWENS,MATT",,,,,,,"MISS JUMPER by OWENS,MATT",1
--,"REBOUND OFF by TURNER,JAMES",,,,,,,"REBOUND OFF by TURNER,JAMES",1
06:41,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
06:19,,,,,"MISS JUMPER by MARTIN,SHAQ",,,"MISS JUMPER by MARTIN,SHAQ",1
06:19,"BLOCK  by TURNER,JAMES",,,,,,,"BLOCK  by TURNER,JAMES",1
--,,,,,"REBOUND OFF by MARTIN,SHAQ",,,"REBOUND OFF by MARTIN,SHAQ",1
06:12,,21,,28 (+7),"GOOD JUMPER by CRESS,DEMARIUS(in the paint)",UMHB-MEN 21-28 (-7),,"GOOD JUMPER by CRESS,DEMARIUS(in the paint)",1
05:59,"MISS JUMPER by MILLER,JOSHUA",,,,,,,"MISS JUMPER by MILLER,JOSHUA",1
--,,,,,"REBOUND DEF by GAMMILL,JUSTIN",,,"REBOUND DEF by GAMMILL,JUSTIN",1
05:53,,21,,30 (+9),"GOOD JUMPER by MARTIN,SHAQ(in the paint)",UMHB-MEN 21-30 (-9),,"GOOD JUMPER by MARTIN,SHAQ(in the paint)",1
--,,,,,"ASSIST  by KING,AUBRIE",,,"ASSIST  by KING,AUBRIE",1
05:53,"FOUL  by CARVELLI,CAMERON",,,,,,,"FOUL  by CARVELLI,CAMERON",1
05:53,,21,,31 (+10),"GOOD FT by MARTIN,SHAQ",UMHB-MEN 21-31 (-10),,"GOOD FT by MARTIN,SHAQ",1
05:53,"SUB IN by BLANZ,BUCK",,,,,,,"SUB IN by BLANZ,BUCK",1
05:53,"SUB IN by SULLIVAN,MICHAEL",,,,,,,"SUB IN by SULLIVAN,MICHAEL",1
05:53,"SUB IN by KOHNKE,SAM",,,,,,,"SUB IN by KOHNKE,SAM",1
05:53,"SUB OUT by OWENS,MATT",,,,,,,"SUB OUT by OWENS,MATT",1
05:53,"SUB OUT by MILLER,JOSHUA",,,,,,,"SUB OUT by MILLER,JOSHUA",1
05:53,"SUB OUT by GRANT,SHE'CHEM",,,,,,,"SUB OUT by GRANT,SHE'CHEM",1
05:53,,,,,"SUB IN by HAMMOND,BRADEN",,,"SUB IN by HAMMOND,BRADEN",1
05:53,,,,,"SUB OUT by CRESS,DEMARIUS",,,"SUB OUT by CRESS,DEMARIUS",1
05:33,"MISS 3PTR by CARVELLI,CAMERON",,,,,,,"MISS 3PTR by CARVELLI,CAMERON",1
--,,,,,"REBOUND DEF by GAMMILL,JUSTIN",,,"REBOUND DEF by GAMMILL,JUSTIN",1
05:22,,,,,"MISS 3PTR by KING,AUBRIE",,,"MISS 3PTR by KING,AUBRIE",1
--,,,,,"REBOUND OFF by MARTIN,SHAQ",,,"REBOUND OFF by MARTIN,SHAQ",1
05:04,,,,,"MISS JUMPER by LONG,BRIAN",,,"MISS JUMPER by LONG,BRIAN",1
--,"REBOUND DEF by BLANZ,BUCK",,,,,,,"REBOUND DEF by BLANZ,BUCK",1
04:58,"TURNOVER  by BLANZ,BUCK",,,,,,,"TURNOVER  by BLANZ,BUCK",1
04:58,,,,,"STEAL  by KING,AUBRIE",,,"STEAL  by KING,AUBRIE",1
04:58,"FOUL  by CARVELLI,CAMERON",,,,,,,"FOUL  by CARVELLI,CAMERON",1
04:58,,21,,32 (+11),"GOOD FT by KING,AUBRIE",UMHB-MEN 21-32 (-11),,"GOOD FT by KING,AUBRIE",1
04:58,,21,,33 (+12),"GOOD FT by KING,AUBRIE",UMHB-MEN 21-33 (-12),,"GOOD FT by KING,AUBRIE",1
04:58,"SUB IN by BURNETT,DREW",,,,,,,"SUB IN by BURNETT,DREW",1
04:58,"SUB OUT by CARVELLI,CAMERON",,,,,,,"SUB OUT by CARVELLI,CAMERON",1
04:45,"GOOD 3PTR by BURNETT,DREW",24,,33 (+9),,MILMB 24-33 (-9),,"GOOD 3PTR by BURNETT,DREW",1
--,"ASSIST  by TURNER,JAMES",,,,,,,"ASSIST  by TURNER,JAMES",1
04:34,,24,,35 (+11),"GOOD JUMPER by GAMMILL,JUSTIN",UMHB-MEN 24-35 (-11),,"GOOD JUMPER by GAMMILL,JUSTIN",1
04:16,"GOOD JUMPER by BLANZ,BUCK(in the paint)",26,,35 (+9),,MILMB 26-35 (-9),,"GOOD JUMPER by BLANZ,BUCK(in the paint)",1
--,"ASSIST  by KOHNKE,SAM",,,,,,,"ASSIST  by KOHNKE,SAM",1
04:01,,,,,"MISS 3PTR by GAMMILL,JUSTIN",,,"MISS 3PTR by GAMMILL,JUSTIN",1
--,,,,,"REBOUND OFF by HAMMOND,BRADEN",,,"REBOUND OFF by HAMMOND,BRADEN",1
04:00,"FOUL  by SULLIVAN,MICHAEL",,,,,,,"FOUL  by SULLIVAN,MICHAEL",1
04:00,,26,,36 (+10),"GOOD FT by HAMMOND,BRADEN",UMHB-MEN 26-36 (-10),,"GOOD FT by HAMMOND,BRADEN",1
04:00,,26,,37 (+11),"GOOD FT by HAMMOND,BRADEN",UMHB-MEN 26-37 (-11),,"GOOD FT by HAMMOND,BRADEN",1
04:00,"SUB IN by SPIKES,KALVIN",,,,,,,"SUB IN by SPIKES,KALVIN",1
04:00,"SUB IN by MILLER,JOSHUA",,,,,,,"SUB IN by MILLER,JOSHUA",1
04:00,"SUB OUT by BLANZ,BUCK",,,,,,,"SUB OUT by BLANZ,BUCK",1
04:00,"SUB OUT by SULLIVAN,MICHAEL",,,,,,,"SUB OUT by SULLIVAN,MICHAEL",1
04:00,,,,,"SUB IN by LANG,RYAN",,,"SUB IN by LANG,RYAN",1
04:00,,,,,"SUB IN by HYSON,LAKENDRIC",,,"SUB IN by HYSON,LAKENDRIC",1
04:00,,,,,"SUB OUT by KING,AUBRIE",,,"SUB OUT by KING,AUBRIE",1
04:00,,,,,"SUB OUT by LONG,BRIAN",,,"SUB OUT by LONG,BRIAN",1
03:46,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:45,,,,,"FOUL  by LANG,RYAN",,,"FOUL  by LANG,RYAN",1
03:40,"GOOD JUMPER by TURNER,JAMES(in the paint)",28,,37 (+9),,MILMB 28-37 (-9),,"GOOD JUMPER by TURNER,JAMES(in the paint)",1
03:23,,,,,"MISS 3PTR by MARTIN,SHAQ",,,"MISS 3PTR by MARTIN,SHAQ",1
--,,,,,"REBOUND OFF by HYSON,LAKENDRIC",,,"REBOUND OFF by HYSON,LAKENDRIC",1
03:20,"FOUL  by BURNETT,DREW",,,,,,,"FOUL  by BURNETT,DREW",1
03:20,,28,,38 (+10),"GOOD FT by HYSON,LAKENDRIC",UMHB-MEN 28-38 (-10),,"GOOD FT by HYSON,LAKENDRIC",1
03:20,,28,,39 (+11),"GOOD FT by HYSON,LAKENDRIC",UMHB-MEN 28-39 (-11),,"GOOD FT by HYSON,LAKENDRIC",1
03:20,"SUB IN by GRANT,SHE'CHEM",,,,,,,"SUB IN by GRANT,SHE'CHEM",1
03:20,"SUB OUT by KOHNKE,SAM",,,,,,,"SUB OUT by KOHNKE,SAM",1
03:10,"MISS JUMPER by MILLER,JOSHUA",,,,,,,"MISS JUMPER by MILLER,JOSHUA",1
03:10,,,,,"BLOCK  by LANG,RYAN",,,"BLOCK  by LANG,RYAN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
03:10,,,,,"SUB IN by MOORE,SAM",,,"SUB IN by MOORE,SAM",1
03:10,,,,,"SUB OUT by GAMMILL,JUSTIN",,,"SUB OUT by GAMMILL,JUSTIN",1
03:08,,,,,"FOUL  by LANG,RYAN",,,"FOUL  by LANG,RYAN",1
03:08,"GOOD FT by SPIKES,KALVIN",29,,39 (+10),,MILMB 29-39 (-10),,"GOOD FT by SPIKES,KALVIN",1
03:08,"MISS FT by SPIKES,KALVIN",,,,,,,"MISS FT by SPIKES,KALVIN",1
--,,,,,"REBOUND DEF by WELCH,AEDAN",,,"REBOUND DEF by WELCH,AEDAN",1
03:08,,,,,"SUB IN by WELCH,AEDAN",,,"SUB IN by WELCH,AEDAN",1
03:08,,,,,"SUB OUT by LANG,RYAN",,,"SUB OUT by LANG,RYAN",1
02:52,,,,,"MISS 3PTR by HYSON,LAKENDRIC",,,"MISS 3PTR by HYSON,LAKENDRIC",1
--,"REBOUND DEF by SPIKES,KALVIN",,,,,,,"REBOUND DEF by SPIKES,KALVIN",1
02:45,"TURNOVER  by GRANT,SHE'CHEM",,,,,,,"TURNOVER  by GRANT,SHE'CHEM",1
02:35,,,,,"MISS 3PTR by MOORE,SAM",,,"MISS 3PTR by MOORE,SAM",1
--,"REBOUND DEF by SPIKES,KALVIN",,,,,,,"REBOUND DEF by SPIKES,KALVIN",1
02:24,"TURNOVER  by MILLER,JOSHUA",,,,,,,"TURNOVER  by MILLER,JOSHUA",1
02:22,,,,,"STEAL  by MARTIN,SHAQ",,,"STEAL  by MARTIN,SHAQ",1
02:19,"FOUL  by SPIKES,KALVIN",,,,,,,"FOUL  by SPIKES,KALVIN",1
02:19,,29,,40 (+11),"GOOD FT by MARTIN,SHAQ",UMHB-MEN 29-40 (-11),,"GOOD FT by MARTIN,SHAQ",1
02:19,,,,,"MISS FT by MARTIN,SHAQ",,,"MISS FT by MARTIN,SHAQ",1
--,,,,,"REBOUND OFF by MARTIN,SHAQ",,,"REBOUND OFF by MARTIN,SHAQ",1
02:19,,,,,"TURNOVER  by WELCH,AEDAN",,,"TURNOVER  by WELCH,AEDAN",1
02:19,,,,,"FOUL  by WELCH,AEDAN",,,"FOUL  by WELCH,AEDAN",1
02:19,"MISS FT by TURNER,JAMES",,,,,,,"MISS FT by TURNER,JAMES",1
--,"REBOUND OFF by TURNER,JAMES",,,,,,,"REBOUND OFF by TURNER,JAMES",1
02:19,"SUB IN by MEADS,TYSIN",,,,,,,"SUB IN by MEADS,TYSIN",1
02:19,"SUB OUT by SPIKES,KALVIN",,,,,,,"SUB OUT by SPIKES,KALVIN",1
02:16,"GOOD JUMPER by TURNER,JAMES(in the paint)",31,,40 (+9),,MILMB 31-40 (-9),,"GOOD JUMPER by TURNER,JAMES(in the paint)",1
01:54,,31,,42 (+11),"GOOD JUMPER by WELCH,AEDAN(in the paint)",UMHB-MEN 31-42 (-11),,"GOOD JUMPER by WELCH,AEDAN(in the paint)",1
01:36,,,,,"FOUL  by HAMMOND,BRADEN",,,"FOUL  by HAMMOND,BRADEN",1
01:36,"GOOD FT by MILLER,JOSHUA",32,,42 (+10),,MILMB 32-42 (-10),,"GOOD FT by MILLER,JOSHUA",1
01:36,"GOOD FT by MILLER,JOSHUA",33,,42 (+9),,MILMB 33-42 (-9),,"GOOD FT by MILLER,JOSHUA",1
01:36,"SUB IN by BECKER,SAXTON",,,,,,,"SUB IN by BECKER,SAXTON",1
01:36,"SUB IN by KOHNKE,SAM",,,,,,,"SUB IN by KOHNKE,SAM",1
01:36,"SUB OUT by TURNER,JAMES",,,,,,,"SUB OUT by TURNER,JAMES",1
01:36,"SUB OUT by BURNETT,DREW",,,,,,,"SUB OUT by BURNETT,DREW",1
01:36,,,,,"SUB IN by CRESS,DEMARIUS",,,"SUB IN by CRESS,DEMARIUS",1
01:36,,,,,"SUB OUT by HAMMOND,BRADEN",,,"SUB OUT by HAMMOND,BRADEN",1
01:18,"FOUL  by GRANT,SHE'CHEM",,,,,,,"FOUL  by GRANT,SHE'CHEM",1
