Time Remaining,MILMB,Away Team Score,Play Team Indicator,Home Team Score,CENTMB,Game Score,Team Indicator,Play,Period
16:29,,,,,"SUB OUT by HELZER,JAMES",,,"SUB OUT by HELZER,JAMES",1
16:29,,,,,"SUB OUT by MATTHEWS,TREYLAN",,,"SUB OUT by MATTHEWS,TREYLAN",1
16:29,,,,,"SUB OUT by JOHNSON,REGIS",,,"SUB OUT by JOHNSON,REGIS",1
16:21,,,,,"MISS 3PTR by CARTER,KAHARRI",,,"MISS 3PTR by CARTER,KAHARRI",1
--,,,,,"REBOUND OFF by HAWKINS,NEIL",,,"REBOUND OFF by HAWKINS,NEIL",1
16:03,,,,,"MISS LAYUP by HAWKINS,NEIL",,,"MISS LAYUP by HAWKINS,NEIL",1
16:03,"BLOCK  by SPIKES,KALVIN",,,,,,,"BLOCK  by SPIKES,KALVIN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
15:55,,,,,"FOUL  by CARTER,KAHARRI",,,"FOUL  by CARTER,KAHARRI",1
15:49,,,,,"FOUL  by HAWKINS,NEIL",,,"FOUL  by HAWKINS,NEIL",1
15:49,"MISS FT by TURNER,JAMES",,,,,,,"MISS FT by TURNER,JAMES",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
15:49,"GOOD FT by TURNER,JAMES",5,,10 (+5),,MILMB 5-10 (-5),,"GOOD FT by TURNER,JAMES",1
15:35,"FOUL  by JR,RONALD WILLIAMS",,,,,,,"FOUL  by JR,RONALD WILLIAMS",1
15:34,,,,,"FOUL  by HARDY,RAYLON",,,"FOUL  by HARDY,RAYLON",1
15:34,,,,,"TURNOVER  by HARDY,RAYLON",,,"TURNOVER  by HARDY,RAYLON",1
15:12,"GOOD 3PTR by KOHNKE,SAM",8,,10 (+2),,MILMB 8-10 (-2),,"GOOD 3PTR by KOHNKE,SAM",1
--,"ASSIST  by JR,RONALD WILLIAMS",,,,,,,"ASSIST  by JR,RONALD WILLIAMS",1
14:46,"SUB IN by BLANZ,BUCK",,,,,,,"SUB IN by BLANZ,BUCK",1
14:46,"SUB OUT by TURNER,JAMES",,,,,,,"SUB OUT by TURNER,JAMES",1
14:46,,,,,"SUB IN by CLASON,HAYDEN",,,"SUB IN by CLASON,HAYDEN",1
14:46,,,,,"SUB IN by MATTHEWS,TREYLAN",,,"SUB IN by MATTHEWS,TREYLAN",1
14:46,,,,,"SUB OUT by HARRIS,CEDRIC",,,"SUB OUT by HARRIS,CEDRIC",1
14:46,,,,,"SUB OUT by KIRKENDOLL,TRAVION",,,"SUB OUT by KIRKENDOLL,TRAVION",1
14:40,,,,,"MISS 3PTR by MATTHEWS,TREYLAN",,,"MISS 3PTR by MATTHEWS,TREYLAN",1
--,"REBOUND DEF by SULLIVAN,MICHAEL",,,,,,,"REBOUND DEF by SULLIVAN,MICHAEL",1
14:30,,,,,"FOUL  by HAWKINS,NEIL",,,"FOUL  by HAWKINS,NEIL",1
14:30,"SUB IN by BECKER,SAXTON",,,,,,,"SUB IN by BECKER,SAXTON",1
14:30,"SUB OUT by SULLIVAN,MICHAEL",,,,,,,"SUB OUT by SULLIVAN,MICHAEL",1
14:25,"TURNOVER  by JR,RONALD WILLIAMS",,,,,,,"TURNOVER  by JR,RONALD WILLIAMS",1
14:08,,,,,"MISS 3PTR by CLASON,HAYDEN",,,"MISS 3PTR by CLASON,HAYDEN",1
--,,,,,"REBOUND OFF by HAWKINS,NEIL",,,"REBOUND OFF by HAWKINS,NEIL",1
14:04,,,,,"MISS JUMPER by HAWKINS,NEIL",,,"MISS JUMPER by HAWKINS,NEIL",1
14:04,"BLOCK  by JR,RONALD WILLIAMS",,,,,,,"BLOCK  by JR,RONALD WILLIAMS",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
14:00,,,,,"SUB IN by BILBO,KJ",,,"SUB IN by BILBO,KJ",1
14:00,,,,,"SUB OUT by HAWKINS,NEIL",,,"SUB OUT by HAWKINS,NEIL",1
13:53,"MISS 3PTR by BLANZ,BUCK",,,,,,,"MISS 3PTR by BLANZ,BUCK",1
--,,,,,"REBOUND DEF by MATTHEWS,TREYLAN",,,"REBOUND DEF by MATTHEWS,TREYLAN",1
13:50,"FOUL  by JR,RONALD WILLIAMS",,,,,,,"FOUL  by JR,RONALD WILLIAMS",1
13:50,"SUB IN by MEADS,TYSIN",,,,,,,"SUB IN by MEADS,TYSIN",1
13:50,"SUB OUT by JR,RONALD WILLIAMS",,,,,,,"SUB OUT by JR,RONALD WILLIAMS",1
13:50,,,,,"SUB IN by HARRIS,CEDRIC",,,"SUB IN by HARRIS,CEDRIC",1
13:50,,,,,"SUB IN by JOHNSON,REGIS",,,"SUB IN by JOHNSON,REGIS",1
13:50,,,,,"SUB IN by KIRKENDOLL,TRAVION",,,"SUB IN by KIRKENDOLL,TRAVION",1
13:50,,,,,"SUB IN by WEAVER,DYLLON",,,"SUB IN by WEAVER,DYLLON",1
13:50,,,,,"SUB IN by HELZER,JAMES",,,"SUB IN by HELZER,JAMES",1
13:50,,,,,"SUB OUT by CLASON,HAYDEN",,,"SUB OUT by CLASON,HAYDEN",1
13:50,,,,,"SUB OUT by HARDY,RAYLON",,,"SUB OUT by HARDY,RAYLON",1
13:50,,,,,"SUB OUT by BILBO,KJ",,,"SUB OUT by BILBO,KJ",1
13:50,,,,,"SUB OUT by MATTHEWS,TREYLAN",,,"SUB OUT by MATTHEWS,TREYLAN",1
13:50,,,,,"SUB OUT by CARTER,KAHARRI",,,"SUB OUT by CARTER,KAHARRI",1
13:30,,,,,"MISS 3PTR by HARRIS,CEDRIC",,,"MISS 3PTR by HARRIS,CEDRIC",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
13:14,,,,,"FOUL  by HARRIS,CEDRIC",,,"FOUL  by HARRIS,CEDRIC",1
13:14,,,,,"TURNOVER  by HARRIS,CEDRIC",,,"TURNOVER  by HARRIS,CEDRIC",1
13:14,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
13:14,"SUB IN by SULLIVAN,MICHAEL",,,,,,,"SUB IN by SULLIVAN,MICHAEL",1
13:14,"SUB OUT by MILLER,JOSHUA",,,,,,,"SUB OUT by MILLER,JOSHUA",1
13:11,"TURNOVER  by KOHNKE,SAM",,,,,,,"TURNOVER  by KOHNKE,SAM",1
13:05,,,,,"MISS 3PTR by KIRKENDOLL,TRAVION",,,"MISS 3PTR by KIRKENDOLL,TRAVION",1
--,"REBOUND DEF by MEADS,TYSIN",,,,,,,"REBOUND DEF by MEADS,TYSIN",1
12:57,"TURNOVER  by BECKER,SAXTON",,,,,,,"TURNOVER  by BECKER,SAXTON",1
12:57,"SUB IN by TURNER,JAMES",,,,,,,"SUB IN by TURNER,JAMES",1
12:57,"SUB OUT by KOHNKE,SAM",,,,,,,"SUB OUT by KOHNKE,SAM",1
12:47,"FOUL  by BECKER,SAXTON",,,,,,,"FOUL  by BECKER,SAXTON",1
12:36,,8,,12 (+4),"GOOD LAYUP by HELZER,JAMES(in the paint)",CENTMB 8-12 (-4),,"GOOD LAYUP by HELZER,JAMES(in the paint)",1
--,,,,,"ASSIST  by WEAVER,DYLLON",,,"ASSIST  by WEAVER,DYLLON",1
12:04,"TURNOVER  by MEADS,TYSIN",,,,,,,"TURNOVER  by MEADS,TYSIN",1
12:04,"FOUL  by MEADS,TYSIN",,,,,,,"FOUL  by MEADS,TYSIN",1
11:51,,,,,"FOUL  by HELZER,JAMES",,,"FOUL  by HELZER,JAMES",1
11:51,,,,,"TURNOVER  by HELZER,JAMES",,,"TURNOVER  by HELZER,JAMES",1
11:51,"SUB IN by MILLER,JOSHUA",,,,,,,"SUB IN by MILLER,JOSHUA",1
11:51,"SUB OUT by MEADS,TYSIN",,,,,,,"SUB OUT by MEADS,TYSIN",1
11:51,,,,,"SUB IN by CLASON,HAYDEN",,,"SUB IN by CLASON,HAYDEN",1
11:51,,,,,"SUB OUT by HELZER,JAMES",,,"SUB OUT by HELZER,JAMES",1
11:43,"MISS 3PTR by BECKER,SAXTON",,,,,,,"MISS 3PTR by BECKER,SAXTON",1
--,,,,,"REBOUND DEF by HARRIS,CEDRIC",,,"REBOUND DEF by HARRIS,CEDRIC",1
11:35,"FOUL  by BECKER,SAXTON",,,,,,,"FOUL  by BECKER,SAXTON",1
11:35,,8,,13 (+5),"GOOD FT by WEAVER,DYLLON",CENTMB 8-13 (-5),,"GOOD FT by WEAVER,DYLLON",1
11:35,,8,,14 (+6),"GOOD FT by WEAVER,DYLLON",CENTMB 8-14 (-6),,"GOOD FT by WEAVER,DYLLON",1
11:20,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
11:07,,,,,"MISS JUMPER by CLASON,HAYDEN",,,"MISS JUMPER by CLASON,HAYDEN",1
--,"REBOUND DEF by BECKER,SAXTON",,,,,,,"REBOUND DEF by BECKER,SAXTON",1
10:53,,,,,"FOUL  by JOHNSON,REGIS",,,"FOUL  by JOHNSON,REGIS",1
10:53,"GOOD FT by MILLER,JOSHUA",9,,14 (+5),,MILMB 9-14 (-5),,"GOOD FT by MILLER,JOSHUA",1
10:53,"GOOD FT by MILLER,JOSHUA",10,,14 (+4),,MILMB 10-14 (-4),,"GOOD FT by MILLER,JOSHUA",1
10:53,"SUB IN by GRANT,SHE'CHEM",,,,,,,"SUB IN by GRANT,SHE'CHEM",1
10:53,"SUB OUT by BECKER,SAXTON",,,,,,,"SUB OUT by BECKER,SAXTON",1
10:53,,,,,"SUB IN by CARTER,KAHARRI",,,"SUB IN by CARTER,KAHARRI",1
10:53,,,,,"SUB OUT by JOHNSON,REGIS",,,"SUB OUT by JOHNSON,REGIS",1
10:33,,,,,"MISS JUMPER by HARRIS,CEDRIC",,,"MISS JUMPER by HARRIS,CEDRIC",1
--,"REBOUND DEF by SULLIVAN,MICHAEL",,,,,,,"REBOUND DEF by SULLIVAN,MICHAEL",1
10:20,"GOOD 3PTR by GRANT,SHE'CHEM",13,,14 (+1),,MILMB 13-14 (-1),,"GOOD 3PTR by GRANT,SHE'CHEM",1
--,"ASSIST  by TURNER,JAMES",,,,,,,"ASSIST  by TURNER,JAMES",1
09:53,,,,,"MISS 3PTR by CARTER,KAHARRI",,,"MISS 3PTR by CARTER,KAHARRI",1
--,"REBOUND DEF by MILLER,JOSHUA",,,,,,,"REBOUND DEF by MILLER,JOSHUA",1
09:30,"MISS 3PTR by MILLER,JOSHUA",,,,,,,"MISS 3PTR by MILLER,JOSHUA",1
--,,,,,"REBOUND DEF by KIRKENDOLL,TRAVION",,,"REBOUND DEF by KIRKENDOLL,TRAVION",1
09:24,,13,,16 (+3),"GOOD LAYUP by KIRKENDOLL,TRAVION(fastbreak)(in the paint)",CENTMB 13-16 (-3),,"GOOD LAYUP by KIRKENDOLL,TRAVION(fastbreak)(in the paint)",1
09:24,"FOUL  by SULLIVAN,MICHAEL",,,,,,,"FOUL  by SULLIVAN,MICHAEL",1
09:24,TIMEOUT FULL by TEAM,,,,,,,TIMEOUT FULL by TEAM,1
09:24,,,,,"MISS FT by KIRKENDOLL,TRAVION",,,"MISS FT by KIRKENDOLL,TRAVION",1
--,,,,,"REBOUND OFF by KIRKENDOLL,TRAVION",,,"REBOUND OFF by KIRKENDOLL,TRAVION",1
09:24,"SUB IN by COLEMAN,DANIEL",,,,,,,"SUB IN by COLEMAN,DANIEL",1
09:24,"SUB OUT by MILLER,JOSHUA",,,,,,,"SUB OUT by MILLER,JOSHUA",1
09:24,,,,,"SUB IN by BILBO,KJ",,,"SUB IN by BILBO,KJ",1
09:24,,,,,"SUB IN by MATTHEWS,TREYLAN",,,"SUB IN by MATTHEWS,TREYLAN",1
09:24,,,,,"SUB OUT by HARRIS,CEDRIC",,,"SUB OUT by HARRIS,CEDRIC",1
09:24,,,,,"SUB OUT by WEAVER,DYLLON",,,"SUB OUT by WEAVER,DYLLON",1
09:16,,,,,"TURNOVER  by KIRKENDOLL,TRAVION",,,"TURNOVER  by KIRKENDOLL,TRAVION",1
09:01,"GOOD LAYUP by GRANT,SHE'CHEM(in the paint)",15,,16 (+1),,MILMB 15-16 (-1),,"GOOD LAYUP by GRANT,SHE'CHEM(in the paint)",1
08:41,,,,,"MISS LAYUP by BILBO,KJ",,,"MISS LAYUP by BILBO,KJ",1
08:41,"BLOCK  by LEONCE,JOSH",,,,,,,"BLOCK  by LEONCE,JOSH",1
--,"REBOUND DEF by COLEMAN,DANIEL",,,,,,,"REBOUND DEF by COLEMAN,DANIEL",1
08:33,"GOOD JUMPER by GRANT,SHE'CHEM",17 (+1),,16,,MILMB 17-16 (+1),,"GOOD JUMPER by GRANT,SHE'CHEM",1
--,"ASSIST  by COLEMAN,DANIEL",,,,,,,"ASSIST  by COLEMAN,DANIEL",1
08:17,,,,,"MISS 3PTR by CLASON,HAYDEN",,,"MISS 3PTR by CLASON,HAYDEN",1
--,"REBOUND DEF by TURNER,JAMES",,,,,,,"REBOUND DEF by TURNER,JAMES",1
08:05,,,,,"FOUL  by CLASON,HAYDEN",,,"FOUL  by CLASON,HAYDEN",1
08:05,"MISS FT by II,DERRICK BURT",,,,,,,"MISS FT by II,DERRICK BURT",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
08:05,"GOOD FT by II,DERRICK BURT",18 (+2),,16,,MILMB 18-16 (+2),,"GOOD FT by II,DERRICK BURT",1
08:05,"SUB IN by LEONCE,JOSH",,,,,,,"SUB IN by LEONCE,JOSH",1
08:05,"SUB OUT by TURNER,JAMES",,,,,,,"SUB OUT by TURNER,JAMES",1
08:05,,,,,"SUB IN by HARRIS,CEDRIC",,,"SUB IN by HARRIS,CEDRIC",1
08:05,,,,,"SUB OUT by CLASON,HAYDEN",,,"SUB OUT by CLASON,HAYDEN",1
07:53,,18,,19 (+1),"GOOD 3PTR by MATTHEWS,TREYLAN",CENTMB 18-19 (-1),,"GOOD 3PTR by MATTHEWS,TREYLAN",1
--,,,,,"ASSIST  by HARRIS,CEDRIC",,,"ASSIST  by HARRIS,CEDRIC",1
07:41,"SUB IN by II,DERRICK BURT",,,,,,,"SUB IN by II,DERRICK BURT",1
07:41,"SUB OUT by SULLIVAN,MICHAEL",,,,,,,"SUB OUT by SULLIVAN,MICHAEL",1
07:15,"MISS JUMPER by BLANZ,BUCK",,,,,,,"MISS JUMPER by BLANZ,BUCK",1
--,,,,,"REBOUND DEF by KIRKENDOLL,TRAVION",,,"REBOUND DEF by KIRKENDOLL,TRAVION",1
07:04,"FOUL  by II,DERRICK BURT",,,,,,,"FOUL  by II,DERRICK BURT",1
07:04,,,,,"MISS FT by HARRIS,CEDRIC",,,"MISS FT by HARRIS,CEDRIC",1
--,,,,,"REBOUND OFF by BILBO,KJ",,,"REBOUND OFF by BILBO,KJ",1
07:04,"SUB IN by SULLIVAN,MICHAEL",,,,,,,"SUB IN by SULLIVAN,MICHAEL",1
07:04,"SUB IN by MILLER,JOSHUA",,,,,,,"SUB IN by MILLER,JOSHUA",1
07:04,"SUB OUT by GRANT,SHE'CHEM",,,,,,,"SUB OUT by GRANT,SHE'CHEM",1
07:04,"SUB OUT by II,DERRICK BURT",,,,,,,"SUB OUT by II,DERRICK BURT",1
07:04,,,,,"SUB IN by HARDY,RAYLON",,,"SUB IN by HARDY,RAYLON",1
07:04,,,,,"SUB OUT by KIRKENDOLL,TRAVION",,,"SUB OUT by KIRKENDOLL,TRAVION",1
06:59,"SUB IN by TURNER,JAMES",,,,,,,"SUB IN by TURNER,JAMES",1
06:59,"SUB OUT by LEONCE,JOSH",,,,,,,"SUB OUT by LEONCE,JOSH",1
06:57,,18,,22 (+4),"GOOD 3PTR by CARTER,KAHARRI",CENTMB 18-22 (-4),,"GOOD 3PTR by CARTER,KAHARRI",1
--,,,,,"ASSIST  by MATTHEWS,TREYLAN",,,"ASSIST  by MATTHEWS,TREYLAN",1
06:42,"GOOD 3PTR by TURNER,JAMES",21,,22 (+1),,MILMB 21-22 (-1),,"GOOD 3PTR by TURNER,JAMES",1
--,"ASSIST  by SULLIVAN,MICHAEL",,,,,,,"ASSIST  by SULLIVAN,MICHAEL",1
06:32,,,,,"MISS JUMPER by HARRIS,CEDRIC",,,"MISS JUMPER by HARRIS,CEDRIC",1
--,"REBOUND DEF by MILLER,JOSHUA",,,,,,,"REBOUND DEF by MILLER,JOSHUA",1
06:11,"FOUL  by SULLIVAN,MICHAEL",,,,,,,"FOUL  by SULLIVAN,MICHAEL",1
06:11,"TURNOVER  by SULLIVAN,MICHAEL",,,,,,,"TURNOVER  by SULLIVAN,MICHAEL",1
06:11,"SUB IN by KOHNKE,SAM",,,,,,,"SUB IN by KOHNKE,SAM",1
06:11,"SUB OUT by COLEMAN,DANIEL",,,,,,,"SUB OUT by COLEMAN,DANIEL",1
05:44,,,,,"TURNOVER  by HARDY,RAYLON",,,"TURNOVER  by HARDY,RAYLON",1
05:43,"STEAL  by KOHNKE,SAM",,,,,,,"STEAL  by KOHNKE,SAM",1
05:40,"GOOD LAYUP by MILLER,JOSHUA(fastbreak)(in the paint)",23 (+1),,22,,MILMB 23-22 (+1),,"GOOD LAYUP by MILLER,JOSHUA(fastbreak)(in the paint)",1
--,"ASSIST  by SULLIVAN,MICHAEL",,,,,,,"ASSIST  by SULLIVAN,MICHAEL",1
05:19,,,,,"MISS 3PTR by BILBO,KJ",,,"MISS 3PTR by BILBO,KJ",1
--,,,,,"REBOUND OFF by MATTHEWS,TREYLAN",,,"REBOUND OFF by MATTHEWS,TREYLAN",1
05:15,,,,,"MISS LAYUP by BILBO,KJ",,,"MISS LAYUP by BILBO,KJ",1
05:15,"BLOCK  by TURNER,JAMES",,,,,,,"BLOCK  by TURNER,JAMES",1
--,,,,,"REBOUND OFF by BILBO,KJ",,,"REBOUND OFF by BILBO,KJ",1
05:09,,23,,24 (+1),"GOOD LAYUP by BILBO,KJ(in the paint)",CENTMB 23-24 (-1),,"GOOD LAYUP by BILBO,KJ(in the paint)",1
05:02,"MISS 3PTR by SULLIVAN,MICHAEL",,,,,,,"MISS 3PTR by SULLIVAN,MICHAEL",1
--,,,,,"REBOUND DEF by HARDY,RAYLON",,,"REBOUND DEF by HARDY,RAYLON",1
04:56,,,,,"MISS LAYUP by HARDY,RAYLON",,,"MISS LAYUP by HARDY,RAYLON",1
--,"REBOUND DEF by KOHNKE,SAM",,,,,,,"REBOUND DEF by KOHNKE,SAM",1
04:53,,,,,"FOUL  by BILBO,KJ",,,"FOUL  by BILBO,KJ",1
04:53,"GOOD FT by MILLER,JOSHUA",24,,24,,MILMB 24-24 (0),,"GOOD FT by MILLER,JOSHUA",1
04:53,"GOOD FT by MILLER,JOSHUA",25 (+1),,24,,MILMB 25-24 (+1),,"GOOD FT by MILLER,JOSHUA",1
04:53,"SUB IN by MEADS,TYSIN",,,,,,,"SUB IN by MEADS,TYSIN",1
04:53,"SUB IN by CARVELLI,CAMERON",,,,,,,"SUB IN by CARVELLI,CAMERON",1
04:53,"SUB OUT by BLANZ,BUCK",,,,,,,"SUB OUT by BLANZ,BUCK",1
04:53,"SUB OUT by SULLIVAN,MICHAEL",,,,,,,"SUB OUT by SULLIVAN,MICHAEL",1
04:53,,,,,"SUB IN by HAWKINS,NEIL",,,"SUB IN by HAWKINS,NEIL",1
04:53,,,,,"SUB IN by KIRKENDOLL,TRAVION",,,"SUB IN by KIRKENDOLL,TRAVION",1
04:53,,,,,"SUB OUT by BILBO,KJ",,,"SUB OUT by BILBO,KJ",1
04:53,,,,,"SUB OUT by CARTER,KAHARRI",,,"SUB OUT by CARTER,KAHARRI",1
04:29,,,,,"TURNOVER  by HAWKINS,NEIL",,,"TURNOVER  by HAWKINS,NEIL",1
04:28,"STEAL  by KOHNKE,SAM",,,,,,,"STEAL  by KOHNKE,SAM",1
04:27,"MISS LAYUP by KOHNKE,SAM",,,,,,,"MISS LAYUP by KOHNKE,SAM",1
--,"REBOUND OFF by MEADS,TYSIN",,,,,,,"REBOUND OFF by MEADS,TYSIN",1
04:23,"MISS LAYUP by MEADS,TYSIN",,,,,,,"MISS LAYUP by MEADS,TYSIN",1
04:23,,,,,"BLOCK  by HAWKINS,NEIL",,,"BLOCK  by HAWKINS,NEIL",1
--,"REBOUND OFF by KOHNKE,SAM",,,,,,,"REBOUND OFF by KOHNKE,SAM",1
04:15,"GOOD LAYUP by KOHNKE,SAM(in the paint)",27 (+3),,24,,MILMB 27-24 (+3),,"GOOD LAYUP by KOHNKE,SAM(in the paint)",1
03:51,,27 (+1),,26,"GOOD LAYUP by KIRKENDOLL,TRAVION(in the paint)",CENTMB 27-26 (+1),,"GOOD LAYUP by KIRKENDOLL,TRAVION(in the paint)",1
03:34,"GOOD LAYUP by KOHNKE,SAM(in the paint)",29 (+3),,26,,MILMB 29-26 (+3),,"GOOD LAYUP by KOHNKE,SAM(in the paint)",1
--,"ASSIST  by MILLER,JOSHUA",,,,,,,"ASSIST  by MILLER,JOSHUA",1
03:34,,,,,"FOUL  by MATTHEWS,TREYLAN",,,"FOUL  by MATTHEWS,TREYLAN",1
03:34,"MISS FT by KOHNKE,SAM",,,,,,,"MISS FT by KOHNKE,SAM",1
--,,,,,"REBOUND DEF by HAWKINS,NEIL",,,"REBOUND DEF by HAWKINS,NEIL",1
03:34,,,,,"SUB IN by CARTER,KAHARRI",,,"SUB IN by CARTER,KAHARRI",1
03:34,,,,,"SUB OUT by MATTHEWS,TREYLAN",,,"SUB OUT by MATTHEWS,TREYLAN",1
03:31,,,,,"MISS LAYUP by CARTER,KAHARRI",,,"MISS LAYUP by CARTER,KAHARRI",1
--,"REBOUND DEF by CARVELLI,CAMERON",,,,,,,"REBOUND DEF by CARVELLI,CAMERON",1
03:17,"MISS 3PTR by CARVELLI,CAMERON",,,,,,,"MISS 3PTR by CARVELLI,CAMERON",1
--,,,,,"REBOUND DEF by HAWKINS,NEIL",,,"REBOUND DEF by HAWKINS,NEIL",1
03:09,,,,,"MISS 3PTR by HARRIS,CEDRIC",,,"MISS 3PTR by HARRIS,CEDRIC",1
--,,,,,"REBOUND OFF by CARTER,KAHARRI",,,"REBOUND OFF by CARTER,KAHARRI",1
03:06,"FOUL  by CARVELLI,CAMERON",,,,,,,"FOUL  by CARVELLI,CAMERON",1
03:06,,29 (+2),,27,"GOOD FT by CARTER,KAHARRI",CENTMB 29-27 (+2),,"GOOD FT by CARTER,KAHARRI",1
03:06,,29 (+1),,28,"GOOD FT by CARTER,KAHARRI",CENTMB 29-28 (+1),,"GOOD FT by CARTER,KAHARRI",1
03:06,,,,,"SUB IN by CLASON,HAYDEN",,,"SUB IN by CLASON,HAYDEN",1
03:06,,,,,"SUB OUT by HAWKINS,NEIL",,,"SUB OUT by HAWKINS,NEIL",1
02:39,,,,,"FOUL  by HARDY,RAYLON",,,"FOUL  by HARDY,RAYLON",1
02:39,"MISS FT by KOHNKE,SAM",,,,,,,"MISS FT by KOHNKE,SAM",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
02:39,"MISS FT by KOHNKE,SAM",,,,,,,"MISS FT by KOHNKE,SAM",1
--,,,,,"REBOUND DEF by HARRIS,CEDRIC",,,"REBOUND DEF by HARRIS,CEDRIC",1
02:39,,,,,"SUB IN by WEAVER,DYLLON",,,"SUB IN by WEAVER,DYLLON",1
02:39,,,,,"SUB OUT by HARDY,RAYLON",,,"SUB OUT by HARDY,RAYLON",1
02:21,"FOUL  by MILLER,JOSHUA",,,,,,,"FOUL  by MILLER,JOSHUA",1
02:21,,,,,"MISS FT by CARTER,KAHARRI",,,"MISS FT by CARTER,KAHARRI",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
02:21,,29,,29,"GOOD FT by CARTER,KAHARRI",CENTMB 29-29 (0),,"GOOD FT by CARTER,KAHARRI",1
02:21,"SUB IN by GRANT,SHE'CHEM",,,,,,,"SUB IN by GRANT,SHE'CHEM",1
02:21,"SUB IN by BLANZ,BUCK",,,,,,,"SUB IN by BLANZ,BUCK",1
02:21,"SUB IN by SULLIVAN,MICHAEL",,,,,,,"SUB IN by SULLIVAN,MICHAEL",1
02:21,"SUB OUT by TURNER,JAMES",,,,,,,"SUB OUT by TURNER,JAMES",1
02:21,"SUB OUT by KOHNKE,SAM",,,,,,,"SUB OUT by KOHNKE,SAM",1
02:21,"SUB OUT by MILLER,JOSHUA",,,,,,,"SUB OUT by MILLER,JOSHUA",1
02:10,"MISS LAYUP by BLANZ,BUCK",,,,,,,"MISS LAYUP by BLANZ,BUCK",1
