Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,MILMB,Game Score,Team Indicator,Play,Period
15:04,,,,,"SUB IN by MILLER,JOSHUA",,,"SUB IN by MILLER,JOSHUA",1
15:04,,,,,"SUB OUT by BLANZ,BUCK",,,"SUB OUT by BLANZ,BUCK",1
15:04,,,,,"SUB OUT by KOHNKE,SAM",,,"SUB OUT by KOHNKE,SAM",1
14:51,,,,,"TURNOVER  by TURNER,JAMES",,,"TURNOVER  by TURNER,JAMES",1
14:50,"STEAL  by SWIFT,DJ",,,,,,,"STEAL  by SWIFT,DJ",1
14:34,"GOOD LAYUP by SWIFT,DJ(in the paint)",15 (+5),,10,,RHODES 15-10 (-5),,"GOOD LAYUP by SWIFT,DJ(in the paint)",1
14:18,,15 (+3),,12,"GOOD LAYUP by TURNER,JAMES(fastbreak)(in the paint)",MILMB 15-12 (-3),,"GOOD LAYUP by TURNER,JAMES(fastbreak)(in the paint)",1
14:08,"TURNOVER  by SWIFT,DJ",,,,,,,"TURNOVER  by SWIFT,DJ",1
14:08,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",1
14:08,"SUB IN by BERRY,BRYCE",,,,,,,"SUB IN by BERRY,BRYCE",1
14:08,"SUB IN by ASHBY,KENDRICK",,,,,,,"SUB IN by ASHBY,KENDRICK",1
14:08,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
14:08,"SUB IN by LOVE,KERRY",,,,,,,"SUB IN by LOVE,KERRY",1
14:08,"SUB OUT by GALVIN,OWEN",,,,,,,"SUB OUT by GALVIN,OWEN",1
14:08,"SUB OUT by SWIFT,DJ",,,,,,,"SUB OUT by SWIFT,DJ",1
14:08,"SUB OUT by FERIA,NICK DE",,,,,,,"SUB OUT by FERIA,NICK DE",1
14:08,"SUB OUT by DALTON,PRICE",,,,,,,"SUB OUT by DALTON,PRICE",1
14:08,"SUB OUT by MCINTYRE,WILLIAM",,,,,,,"SUB OUT by MCINTYRE,WILLIAM",1
14:08,,,,,"SUB IN by KOHNKE,SAM",,,"SUB IN by KOHNKE,SAM",1
14:08,,,,,"SUB IN by BECKER,SAXTON",,,"SUB IN by BECKER,SAXTON",1
14:08,,,,,"SUB OUT by GRANT,SHE'CHEM",,,"SUB OUT by GRANT,SHE'CHEM",1
14:08,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",1
13:59,,15,,15,"GOOD 3PTR by KOHNKE,SAM",MILMB 15-15 (0),,"GOOD 3PTR by KOHNKE,SAM",1
--,,,,,"ASSIST  by BECKER,SAXTON",,,"ASSIST  by BECKER,SAXTON",1
13:49,"GOOD LAYUP by BERRY,BRYCE(fastbreak)(in the paint)",17 (+2),,15,,RHODES 17-15 (-2),,"GOOD LAYUP by BERRY,BRYCE(fastbreak)(in the paint)",1
--,"ASSIST  by DARST,DANIEL",,,,,,,"ASSIST  by DARST,DANIEL",1
13:40,,,,,"TURNOVER  by BECKER,SAXTON",,,"TURNOVER  by BECKER,SAXTON",1
13:38,"STEAL  by LOVE,KERRY",,,,,,,"STEAL  by LOVE,KERRY",1
13:31,,,,,"FOUL  by SULLIVAN,MICHAEL",,,"FOUL  by SULLIVAN,MICHAEL",1
13:31,"GOOD FT by BERRY,BRYCE",18 (+3),,15,,RHODES 18-15 (-3),,"GOOD FT by BERRY,BRYCE",1
13:31,"GOOD FT by BERRY,BRYCE",19 (+4),,15,,RHODES 19-15 (-4),,"GOOD FT by BERRY,BRYCE",1
13:31,"SUB IN by GIROUX,PRESTON",,,,,,,"SUB IN by GIROUX,PRESTON",1
13:31,"SUB IN by SAMSON,VAUGHN",,,,,,,"SUB IN by SAMSON,VAUGHN",1
13:31,"SUB IN by NYAWATA,ANESU",,,,,,,"SUB IN by NYAWATA,ANESU",1
13:31,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",1
13:31,"SUB IN by EVANS,ANDREW",,,,,,,"SUB IN by EVANS,ANDREW",1
13:31,"SUB OUT by NESTLEHUTT,JAKE",,,,,,,"SUB OUT by NESTLEHUTT,JAKE",1
13:31,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",1
13:31,"SUB OUT by ASHBY,KENDRICK",,,,,,,"SUB OUT by ASHBY,KENDRICK",1
13:31,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
13:31,"SUB OUT by LOVE,KERRY",,,,,,,"SUB OUT by LOVE,KERRY",1
13:31,,,,,"SUB IN by GRANT,SHE'CHEM",,,"SUB IN by GRANT,SHE'CHEM",1
13:31,,,,,"SUB OUT by SULLIVAN,MICHAEL",,,"SUB OUT by SULLIVAN,MICHAEL",1
13:20,,19 (+2),,17,"GOOD LAYUP by KOHNKE,SAM(in the paint)",MILMB 19-17 (-2),,"GOOD LAYUP by KOHNKE,SAM(in the paint)",1
12:54,"GOOD LAYUP by SAMSON,VAUGHN(in the paint)",21 (+4),,17,,RHODES 21-17 (-4),,"GOOD LAYUP by SAMSON,VAUGHN(in the paint)",1
12:42,,,,,"MISS 3PTR by GRANT,SHE'CHEM",,,"MISS 3PTR by GRANT,SHE'CHEM",1
--,,,,,"REBOUND OFF by MEADS,TYSIN",,,"REBOUND OFF by MEADS,TYSIN",1
12:39,"FOUL  by WEATHERFORD,MITCH",,,,,,,"FOUL  by WEATHERFORD,MITCH",1
12:39,"SUB IN by SWIFT,DJ",,,,,,,"SUB IN by SWIFT,DJ",1
12:39,"SUB IN by FERIA,NICK DE",,,,,,,"SUB IN by FERIA,NICK DE",1
12:39,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",1
12:39,"SUB IN by DALTON,PRICE",,,,,,,"SUB IN by DALTON,PRICE",1
12:39,"SUB IN by MCINTYRE,WILLIAM",,,,,,,"SUB IN by MCINTYRE,WILLIAM",1
12:39,"SUB OUT by GIROUX,PRESTON",,,,,,,"SUB OUT by GIROUX,PRESTON",1
12:39,"SUB OUT by SAMSON,VAUGHN",,,,,,,"SUB OUT by SAMSON,VAUGHN",1
12:39,"SUB OUT by NYAWATA,ANESU",,,,,,,"SUB OUT by NYAWATA,ANESU",1
12:39,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",1
12:39,"SUB OUT by EVANS,ANDREW",,,,,,,"SUB OUT by EVANS,ANDREW",1
12:39,,,,,"SUB IN by SPIKES,KALVIN",,,"SUB IN by SPIKES,KALVIN",1
12:39,,,,,"SUB IN by BLANZ,BUCK",,,"SUB IN by BLANZ,BUCK",1
12:39,,,,,"SUB OUT by BECKER,SAXTON",,,"SUB OUT by BECKER,SAXTON",1
12:39,,,,,"SUB OUT by MEADS,TYSIN",,,"SUB OUT by MEADS,TYSIN",1
12:30,,,,,"TURNOVER  by GRANT,SHE'CHEM",,,"TURNOVER  by GRANT,SHE'CHEM",1
12:28,"STEAL  by DALTON,PRICE",,,,,,,"STEAL  by DALTON,PRICE",1
12:27,"MISS 3PTR by DALTON,PRICE",,,,,,,"MISS 3PTR by DALTON,PRICE",1
--,"REBOUND OFF by GALVIN,OWEN",,,,,,,"REBOUND OFF by GALVIN,OWEN",1
12:11,"MISS 3PTR by FERIA,NICK DE",,,,,,,"MISS 3PTR by FERIA,NICK DE",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
12:09,"SUB IN by LOVE,KERRY",,,,,,,"SUB IN by LOVE,KERRY",1
12:09,"SUB IN by ASHBY,KENDRICK",,,,,,,"SUB IN by ASHBY,KENDRICK",1
12:09,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",1
12:09,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
12:09,"SUB IN by BERRY,BRYCE",,,,,,,"SUB IN by BERRY,BRYCE",1
12:09,"SUB OUT by SWIFT,DJ",,,,,,,"SUB OUT by SWIFT,DJ",1
12:09,"SUB OUT by FERIA,NICK DE",,,,,,,"SUB OUT by FERIA,NICK DE",1
12:09,"SUB OUT by GALVIN,OWEN",,,,,,,"SUB OUT by GALVIN,OWEN",1
12:09,"SUB OUT by DALTON,PRICE",,,,,,,"SUB OUT by DALTON,PRICE",1
12:09,"SUB OUT by MCINTYRE,WILLIAM",,,,,,,"SUB OUT by MCINTYRE,WILLIAM",1
11:59,,,,,"MISS 3PTR by KOHNKE,SAM",,,"MISS 3PTR by KOHNKE,SAM",1
--,"REBOUND DEF by ASHBY,KENDRICK",,,,,,,"REBOUND DEF by ASHBY,KENDRICK",1
11:47,,,,,"FOUL  by BLANZ,BUCK",,,"FOUL  by BLANZ,BUCK",1
11:47,TIMEOUT media by TEAM,,,,,,,TIMEOUT media by TEAM,1
11:41,"MISS JUMPER by DARST,DANIEL",,,,,,,"MISS JUMPER by DARST,DANIEL",1
--,,,,,"REBOUND DEF by SPIKES,KALVIN",,,"REBOUND DEF by SPIKES,KALVIN",1
11:29,,21 (+2),,19,"GOOD LAYUP by BLANZ,BUCK(in the paint)",MILMB 21-19 (-2),,"GOOD LAYUP by BLANZ,BUCK(in the paint)",1
11:22,"MISS 3PTR by DARST,DANIEL",,,,,,,"MISS 3PTR by DARST,DANIEL",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
11:19,,,,,"FOUL  by MILLER,JOSHUA",,,"FOUL  by MILLER,JOSHUA",1
11:19,"SUB IN by GIROUX,PRESTON",,,,,,,"SUB IN by GIROUX,PRESTON",1
11:19,"SUB IN by SAMSON,VAUGHN",,,,,,,"SUB IN by SAMSON,VAUGHN",1
11:19,"SUB IN by EVANS,ANDREW",,,,,,,"SUB IN by EVANS,ANDREW",1
11:19,"SUB IN by NYAWATA,ANESU",,,,,,,"SUB IN by NYAWATA,ANESU",1
11:19,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",1
11:19,"SUB OUT by LOVE,KERRY",,,,,,,"SUB OUT by LOVE,KERRY",1
11:19,"SUB OUT by ASHBY,KENDRICK",,,,,,,"SUB OUT by ASHBY,KENDRICK",1
11:19,"SUB OUT by NESTLEHUTT,JAKE",,,,,,,"SUB OUT by NESTLEHUTT,JAKE",1
11:19,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
11:19,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",1
11:19,,,,,"SUB IN by TURNER,JAMES",,,"SUB IN by TURNER,JAMES",1
11:19,,,,,"SUB OUT by GRANT,SHE'CHEM",,,"SUB OUT by GRANT,SHE'CHEM",1
11:10,,,,,"FOUL  by BLANZ,BUCK",,,"FOUL  by BLANZ,BUCK",1
11:05,"TURNOVER  by SAMSON,VAUGHN",,,,,,,"TURNOVER  by SAMSON,VAUGHN",1
11:01,,21,,21,"GOOD DUNK by SPIKES,KALVIN(in the paint)",MILMB 21-21 (0),,"GOOD DUNK by SPIKES,KALVIN(in the paint)",1
--,,,,,"ASSIST  by KOHNKE,SAM",,,"ASSIST  by KOHNKE,SAM",1
10:50,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",23 (+2),,21,,RHODES 23-21 (-2),,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",1
10:36,,,,,"MISS LAYUP by MILLER,JOSHUA",,,"MISS LAYUP by MILLER,JOSHUA",1
--,,,,,"REBOUND OFF by TURNER,JAMES",,,"REBOUND OFF by TURNER,JAMES",1
10:33,,23,,23,"GOOD LAYUP by TURNER,JAMES(in the paint)",MILMB 23-23 (0),,"GOOD LAYUP by TURNER,JAMES(in the paint)",1
10:30,"FOUL  by GIROUX,PRESTON",,,,,,,"FOUL  by GIROUX,PRESTON",1
10:30,,23,,24 (+1),"GOOD FT by TURNER,JAMES",MILMB 23-24 (+1),,"GOOD FT by TURNER,JAMES",1
10:30,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",1
10:30,"SUB IN by MCINTYRE,WILLIAM",,,,,,,"SUB IN by MCINTYRE,WILLIAM",1
10:30,"SUB IN by SWIFT,DJ",,,,,,,"SUB IN by SWIFT,DJ",1
10:30,"SUB IN by FERIA,NICK DE",,,,,,,"SUB IN by FERIA,NICK DE",1
10:30,"SUB IN by DALTON,PRICE",,,,,,,"SUB IN by DALTON,PRICE",1
10:30,"SUB OUT by GIROUX,PRESTON",,,,,,,"SUB OUT by GIROUX,PRESTON",1
10:30,"SUB OUT by SAMSON,VAUGHN",,,,,,,"SUB OUT by SAMSON,VAUGHN",1
10:30,"SUB OUT by EVANS,ANDREW",,,,,,,"SUB OUT by EVANS,ANDREW",1
10:30,"SUB OUT by NYAWATA,ANESU",,,,,,,"SUB OUT by NYAWATA,ANESU",1
10:30,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",1
10:30,,,,,"SUB IN by MEADS,TYSIN",,,"SUB IN by MEADS,TYSIN",1
10:30,,,,,"SUB OUT by SPIKES,KALVIN",,,"SUB OUT by SPIKES,KALVIN",1
10:19,"TURNOVER  by FERIA,NICK DE",,,,,,,"TURNOVER  by FERIA,NICK DE",1
10:19,,,,,"STEAL  by MILLER,JOSHUA",,,"STEAL  by MILLER,JOSHUA",1
10:19,"FOUL  by FERIA,NICK DE",,,,,,,"FOUL  by FERIA,NICK DE",1
10:19,,,,,"MISS FT by MILLER,JOSHUA",,,"MISS FT by MILLER,JOSHUA",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
10:18,,,,,"SUB IN by GRANT,SHE'CHEM",,,"SUB IN by GRANT,SHE'CHEM",1
10:18,,,,,"SUB OUT by MILLER,JOSHUA",,,"SUB OUT by MILLER,JOSHUA",1
09:59,"MISS 3PTR by MCINTYRE,WILLIAM",,,,,,,"MISS 3PTR by MCINTYRE,WILLIAM",1
--,,,,,"REBOUND DEF by TURNER,JAMES",,,"REBOUND DEF by TURNER,JAMES",1
09:34,"FOUL  by MCINTYRE,WILLIAM",,,,,,,"FOUL  by MCINTYRE,WILLIAM",1
09:34,,23,,25 (+2),"GOOD FT by KOHNKE,SAM",MILMB 23-25 (+2),,"GOOD FT by KOHNKE,SAM",1
09:34,,23,,26 (+3),"GOOD FT by KOHNKE,SAM",MILMB 23-26 (+3),,"GOOD FT by KOHNKE,SAM",1
09:34,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",1
09:34,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
09:34,"SUB IN by LOVE,KERRY",,,,,,,"SUB IN by LOVE,KERRY",1
09:34,"SUB IN by BERRY,BRYCE",,,,,,,"SUB IN by BERRY,BRYCE",1
