Time Remaining,WASHUM,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,Period
14:57,,,,,"TURNOVER  by BARRETT,JORDAN",,,"TURNOVER  by BARRETT,JORDAN",1
14:55,"STEAL  by STYCZYNSKI,MITCH",,,,,,,"STEAL  by STYCZYNSKI,MITCH",1
14:52,,,,,"FOUL  by OGLE,JOHN",,,"FOUL  by OGLE,JOHN",1
14:49,"TURNOVER  by SILVERMAN-LLOYD,L",,,,,,,"TURNOVER  by SILVERMAN-LLOYD,L",1
14:48,,,,,"STEAL  by BARRETT,JORDAN",,,"STEAL  by BARRETT,JORDAN",1
14:46,,9 (+3),,6,"GOOD LAYUP by BARRETT,JORDAN(fastbreak)(in the paint)",HC 9-6 (-3),,"GOOD LAYUP by BARRETT,JORDAN(fastbreak)(in the paint)",1
14:27,"TURNOVER  by BURT,NICK",,,,,,,"TURNOVER  by BURT,NICK",1
14:27,"FOUL  by PALUCKI,MATT",,,,,,,"FOUL  by PALUCKI,MATT",1
14:27,"FOUL  by HIGHSMITH,MATT",,,,,,,"FOUL  by HIGHSMITH,MATT",1
14:27,"SUB IN by HIGHSMITH,MATT",,,,,,,"SUB IN by HIGHSMITH,MATT",1
14:27,"SUB OUT by STYCZYNSKI,MITCH",,,,,,,"SUB OUT by STYCZYNSKI,MITCH",1
14:24,,9 (+2),,7,"GOOD FT by VANCE,LUKE",HC 9-7 (-2),,"GOOD FT by VANCE,LUKE",1
14:20,,9 (+1),,8,"GOOD FT by VANCE,LUKE",HC 9-8 (-1),,"GOOD FT by VANCE,LUKE",1
14:20,,,,,"SUB IN by CONARD,ALEC",,,"SUB IN by CONARD,ALEC",1
14:20,,,,,"SUB OUT by OGLE,JOHN",,,"SUB OUT by OGLE,JOHN",1
14:05,,,,,"FOUL  by ALDOUS,HANK",,,"FOUL  by ALDOUS,HANK",1
14:05,"MISS FT by PALUCKI,MATT",,,,,,,"MISS FT by PALUCKI,MATT",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
14:03,"GOOD FT by PALUCKI,MATT",10 (+2),,8,,WASHUM 10-8 (-2),,"GOOD FT by PALUCKI,MATT",1
13:57,,10,,10,"GOOD LAYUP by BARRETT,JORDAN(in the paint)",HC 10-10 (0),,"GOOD LAYUP by BARRETT,JORDAN(in the paint)",1
13:57,"FOUL  by HIGHSMITH,MATT",,,,,,,"FOUL  by HIGHSMITH,MATT",1
13:57,,10,,11 (+1),"GOOD FT by BARRETT,JORDAN",HC 10-11 (+1),,"GOOD FT by BARRETT,JORDAN",1
13:57,"SUB IN by STYCZYNSKI,MITCH",,,,,,,"SUB IN by STYCZYNSKI,MITCH",1
13:57,"SUB OUT by HIGHSMITH,MATT",,,,,,,"SUB OUT by HIGHSMITH,MATT",1
13:37,"MISS JUMPER by FATOKI,DAVID",,,,,,,"MISS JUMPER by FATOKI,DAVID",1
--,,,,,"REBOUND DEF by ALDOUS,HANK",,,"REBOUND DEF by ALDOUS,HANK",1
13:27,,10,,13 (+3),"GOOD LAYUP by VANCE,LUKE(in the paint)",HC 10-13 (+3),,"GOOD LAYUP by VANCE,LUKE(in the paint)",1
13:05,"MISS JUMPER by PALUCKI,MATT",,,,,,,"MISS JUMPER by PALUCKI,MATT",1
--,,,,,"REBOUND DEF by ALDOUS,HANK",,,"REBOUND DEF by ALDOUS,HANK",1
13:00,,,,,"TURNOVER  by BARRETT,JORDAN",,,"TURNOVER  by BARRETT,JORDAN",1
13:00,"SUB IN by OWENS,GABE",,,,,,,"SUB IN by OWENS,GABE",1
13:00,"SUB IN by LACOB,KENT",,,,,,,"SUB IN by LACOB,KENT",1
13:00,"SUB OUT by FATOKI,DAVID",,,,,,,"SUB OUT by FATOKI,DAVID",1
13:00,"SUB OUT by SILVERMAN-LLOYD,L",,,,,,,"SUB OUT by SILVERMAN-LLOYD,L",1
12:48,,,,,"FOUL  by CONARD,ALEC",,,"FOUL  by CONARD,ALEC",1
12:43,,,,,"SUB IN by NIKOLOVSKI,DREW",,,"SUB IN by NIKOLOVSKI,DREW",1
12:43,,,,,"SUB OUT by ALDOUS,HANK",,,"SUB OUT by ALDOUS,HANK",1
12:42,"TURNOVER  by LACOB,KENT",,,,,,,"TURNOVER  by LACOB,KENT",1
12:27,,10,,15 (+5),"GOOD LAYUP by VANCE,LUKE(in the paint)",HC 10-15 (+5),,"GOOD LAYUP by VANCE,LUKE(in the paint)",1
--,,,,,"ASSIST  by GUMM,GABE",,,"ASSIST  by GUMM,GABE",1
12:09,"GOOD JUMPER by BURT,NICK",12,,15 (+3),,WASHUM 12-15 (+3),,"GOOD JUMPER by BURT,NICK",1
--,"ASSIST  by STYCZYNSKI,MITCH",,,,,,,"ASSIST  by STYCZYNSKI,MITCH",1
11:44,,,,,"TURNOVER  by BARRETT,JORDAN",,,"TURNOVER  by BARRETT,JORDAN",1
11:34,"MISS 3PTR by PALUCKI,MATT",,,,,,,"MISS 3PTR by PALUCKI,MATT",1
--,,,,,"REBOUND DEF by GUMM,GABE",,,"REBOUND DEF by GUMM,GABE",1
11:26,,12,,18 (+6),"GOOD 3PTR by CONARD,ALEC",HC 12-18 (+6),,"GOOD 3PTR by CONARD,ALEC",1
--,,,,,"ASSIST  by GUMM,GABE",,,"ASSIST  by GUMM,GABE",1
11:06,"MISS LAYUP by STYCZYNSKI,MITCH",,,,,,,"MISS LAYUP by STYCZYNSKI,MITCH",1
--,,,,,"REBOUND DEF by VANCE,LUKE",,,"REBOUND DEF by VANCE,LUKE",1
10:52,,12,,20 (+8),"GOOD LAYUP by VANCE,LUKE(in the paint)",HC 12-20 (+8),,"GOOD LAYUP by VANCE,LUKE(in the paint)",1
10:51,"SUB IN by SOBOLEV,SASHA",,,,,,,"SUB IN by SOBOLEV,SASHA",1
10:51,"SUB OUT by STYCZYNSKI,MITCH",,,,,,,"SUB OUT by STYCZYNSKI,MITCH",1
10:51,,,,,"SUB IN by GARRETT,TRAVIS",,,"SUB IN by GARRETT,TRAVIS",1
10:51,,,,,"SUB OUT by BARRETT,JORDAN",,,"SUB OUT by BARRETT,JORDAN",1
10:46,"TURNOVER  by BREGMAN,MICHAEL",,,,,,,"TURNOVER  by BREGMAN,MICHAEL",1
10:41,"SUB IN by BREGMAN,MICHAEL",,,,,,,"SUB IN by BREGMAN,MICHAEL",1
10:41,"SUB OUT by OWENS,GABE",,,,,,,"SUB OUT by OWENS,GABE",1
10:28,,12,,22 (+10),"GOOD JUMPER by NIKOLOVSKI,DREW",HC 12-22 (+10),,"GOOD JUMPER by NIKOLOVSKI,DREW",1
10:09,"GOOD 3PTR by BREGMAN,MICHAEL",15,,22 (+7),,WASHUM 15-22 (+7),,"GOOD 3PTR by BREGMAN,MICHAEL",1
--,"ASSIST  by PALUCKI,MATT",,,,,,,"ASSIST  by PALUCKI,MATT",1
09:39,,15,,25 (+10),"GOOD 3PTR by GARRETT,TRAVIS",HC 15-25 (+10),,"GOOD 3PTR by GARRETT,TRAVIS",1
09:25,"MISS 3PTR by SOBOLEV,SASHA",,,,,,,"MISS 3PTR by SOBOLEV,SASHA",1
--,,,,,"REBOUND DEF by VANCE,LUKE",,,"REBOUND DEF by VANCE,LUKE",1
09:04,,,,,"MISS 3PTR by CONARD,ALEC",,,"MISS 3PTR by CONARD,ALEC",1
--,"REBOUND DEF by SOBOLEV,SASHA",,,,,,,"REBOUND DEF by SOBOLEV,SASHA",1
08:49,"MISS LAYUP by BURT,NICK",,,,,,,"MISS LAYUP by BURT,NICK",1
--,,,,,"REBOUND DEF by NIKOLOVSKI,DREW",,,"REBOUND DEF by NIKOLOVSKI,DREW",1
08:30,,,,,"MISS 3PTR by GUMM,GABE",,,"MISS 3PTR by GUMM,GABE",1
--,"REBOUND DEF by BREGMAN,MICHAEL",,,,,,,"REBOUND DEF by BREGMAN,MICHAEL",1
08:13,"GOOD JUMPER by SOBOLEV,SASHA",17,,25 (+8),,WASHUM 17-25 (+8),,"GOOD JUMPER by SOBOLEV,SASHA",1
--,"ASSIST  by LACOB,KENT",,,,,,,"ASSIST  by LACOB,KENT",1
08:02,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
08:02,"SUB IN by STAFFEIL,BRANDON",,,,,,,"SUB IN by STAFFEIL,BRANDON",1
08:02,"SUB IN by FATOKI,DAVID",,,,,,,"SUB IN by FATOKI,DAVID",1
08:02,"SUB OUT by LACOB,KENT",,,,,,,"SUB OUT by LACOB,KENT",1
08:02,"SUB OUT by BURT,NICK",,,,,,,"SUB OUT by BURT,NICK",1
08:02,,,,,"SUB IN by LITTLEFIELD,GEAREN",,,"SUB IN by LITTLEFIELD,GEAREN",1
08:02,,,,,"SUB IN by ALDOUS,HANK",,,"SUB IN by ALDOUS,HANK",1
08:02,,,,,"SUB OUT by GUMM,GABE",,,"SUB OUT by GUMM,GABE",1
08:02,,,,,"SUB OUT by VANCE,LUKE",,,"SUB OUT by VANCE,LUKE",1
07:52,"FOUL  by STAFFEIL,BRANDON",,,,,,,"FOUL  by STAFFEIL,BRANDON",1
07:46,,17,,27 (+10),"GOOD JUMPER by NIKOLOVSKI,DREW",HC 17-27 (+10),,"GOOD JUMPER by NIKOLOVSKI,DREW",1
--,,,,,"ASSIST  by ALDOUS,HANK",,,"ASSIST  by ALDOUS,HANK",1
07:33,"GOOD 3PTR by BREGMAN,MICHAEL",20,,27 (+7),,WASHUM 20-27 (+7),,"GOOD 3PTR by BREGMAN,MICHAEL",1
07:12,,,,,"TURNOVER  by ALDOUS,HANK",,,"TURNOVER  by ALDOUS,HANK",1
07:12,,,,,"SUB IN by BARRETT,JORDAN",,,"SUB IN by BARRETT,JORDAN",1
07:12,,,,,"SUB OUT by GARRETT,TRAVIS",,,"SUB OUT by GARRETT,TRAVIS",1
06:58,"GOOD JUMPER by FATOKI,DAVID",22,,27 (+5),,WASHUM 22-27 (+5),,"GOOD JUMPER by FATOKI,DAVID",1
06:38,,,,,"TURNOVER  by LITTLEFIELD,GEAREN",,,"TURNOVER  by LITTLEFIELD,GEAREN",1
06:38,,,,,"FOUL  by LITTLEFIELD,GEAREN",,,"FOUL  by LITTLEFIELD,GEAREN",1
06:22,,,,,"FOUL  by BARRETT,JORDAN",,,"FOUL  by BARRETT,JORDAN",1
06:11,"GOOD FT by FATOKI,DAVID",23,,27 (+4),,WASHUM 23-27 (+4),,"GOOD FT by FATOKI,DAVID",1
06:11,"GOOD FT by FATOKI,DAVID",24,,27 (+3),,WASHUM 24-27 (+3),,"GOOD FT by FATOKI,DAVID",1
05:40,,24,,29 (+5),"GOOD JUMPER by CONARD,ALEC",HC 24-29 (+5),,"GOOD JUMPER by CONARD,ALEC",1
05:26,"MISS 3PTR by PALUCKI,MATT",,,,,,,"MISS 3PTR by PALUCKI,MATT",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
05:24,"SUB IN by HOOKS,CLINTON",,,,,,,"SUB IN by HOOKS,CLINTON",1
05:24,"SUB IN by BURT,NICK",,,,,,,"SUB IN by BURT,NICK",1
05:24,"SUB OUT by PALUCKI,MATT",,,,,,,"SUB OUT by PALUCKI,MATT",1
05:24,"SUB OUT by SOBOLEV,SASHA",,,,,,,"SUB OUT by SOBOLEV,SASHA",1
05:09,,24,,31 (+7),"GOOD LAYUP by ALDOUS,HANK(in the paint)",HC 24-31 (+7),,"GOOD LAYUP by ALDOUS,HANK(in the paint)",1
04:53,"MISS JUMPER by BURT,NICK",,,,,,,"MISS JUMPER by BURT,NICK",1
--,,,,,"REBOUND DEF by ALDOUS,HANK",,,"REBOUND DEF by ALDOUS,HANK",1
04:42,,24,,33 (+9),"GOOD LAYUP by BARRETT,JORDAN(in the paint)",HC 24-33 (+9),,"GOOD LAYUP by BARRETT,JORDAN(in the paint)",1
--,,,,,"ASSIST  by CONARD,ALEC",,,"ASSIST  by CONARD,ALEC",1
04:21,,,,,"FOUL  by CONARD,ALEC",,,"FOUL  by CONARD,ALEC",1
04:21,"SUB IN by SILVERMAN-LLOYD,L",,,,,,,"SUB IN by SILVERMAN-LLOYD,L",1
04:21,"SUB IN by STYCZYNSKI,MITCH",,,,,,,"SUB IN by STYCZYNSKI,MITCH",1
04:21,"SUB OUT by BREGMAN,MICHAEL",,,,,,,"SUB OUT by BREGMAN,MICHAEL",1
04:21,"SUB OUT by BURT,NICK",,,,,,,"SUB OUT by BURT,NICK",1
04:21,,,,,"SUB IN by VANCE,LUKE",,,"SUB IN by VANCE,LUKE",1
04:21,,,,,"SUB IN by OGLE,JOHN",,,"SUB IN by OGLE,JOHN",1
04:21,,,,,"SUB OUT by LITTLEFIELD,GEAREN",,,"SUB OUT by LITTLEFIELD,GEAREN",1
04:21,,,,,"SUB OUT by CONARD,ALEC",,,"SUB OUT by CONARD,ALEC",1
04:16,"MISS JUMPER by FATOKI,DAVID",,,,,,,"MISS JUMPER by FATOKI,DAVID",1
--,,,,,"REBOUND DEF by CONARD,ALEC",,,"REBOUND DEF by CONARD,ALEC",1
03:49,,,,,"MISS JUMPER by CONARD,ALEC",,,"MISS JUMPER by CONARD,ALEC",1
--,"REBOUND DEF by STYCZYNSKI,MITCH",,,,,,,"REBOUND DEF by STYCZYNSKI,MITCH",1
03:30,,,,,"FOUL  by NIKOLOVSKI,DREW",,,"FOUL  by NIKOLOVSKI,DREW",1
03:22,"GOOD FT by SILVERMAN-LLOYD,L",25,,33 (+8),,WASHUM 25-33 (+8),,"GOOD FT by SILVERMAN-LLOYD,L",1
03:22,"MISS FT by SILVERMAN-LLOYD,L",,,,,,,"MISS FT by SILVERMAN-LLOYD,L",1
--,,,,,"REBOUND DEF by VANCE,LUKE",,,"REBOUND DEF by VANCE,LUKE",1
03:22,,,,,"SUB IN by GUMM,GABE",,,"SUB IN by GUMM,GABE",1
03:22,,,,,"SUB OUT by ALDOUS,HANK",,,"SUB OUT by ALDOUS,HANK",1
02:51,"FOUL  by STYCZYNSKI,MITCH",,,,,,,"FOUL  by STYCZYNSKI,MITCH",1
02:49,,,,,"MISS JUMPER by NIKOLOVSKI,DREW",,,"MISS JUMPER by NIKOLOVSKI,DREW",1
--,"REBOUND DEF by FATOKI,DAVID",,,,,,,"REBOUND DEF by FATOKI,DAVID",1
02:39,"GOOD 3PTR by SILVERMAN-LLOYD,L",28,,33 (+5),,WASHUM 28-33 (+5),,"GOOD 3PTR by SILVERMAN-LLOYD,L",1
--,"ASSIST  by STYCZYNSKI,MITCH",,,,,,,"ASSIST  by STYCZYNSKI,MITCH",1
02:25,"FOUL  by HOOKS,CLINTON",,,,,,,"FOUL  by HOOKS,CLINTON",1
02:25,"SUB IN by BURT,NICK",,,,,,,"SUB IN by BURT,NICK",1
02:25,"SUB IN by PALUCKI,MATT",,,,,,,"SUB IN by PALUCKI,MATT",1
02:25,"SUB OUT by HOOKS,CLINTON",,,,,,,"SUB OUT by HOOKS,CLINTON",1
02:25,"SUB OUT by STAFFEIL,BRANDON",,,,,,,"SUB OUT by STAFFEIL,BRANDON",1
02:10,,,,,"MISS LAYUP by BARRETT,JORDAN",,,"MISS LAYUP by BARRETT,JORDAN",1
02:10,"BLOCK  by STYCZYNSKI,MITCH",,,,,,,"BLOCK  by STYCZYNSKI,MITCH",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
02:01,,,,,"SUB IN by ALDOUS,HANK",,,"SUB IN by ALDOUS,HANK",1
02:01,,,,,"SUB OUT by BARRETT,JORDAN",,,"SUB OUT by BARRETT,JORDAN",1
01:57,,,,,"MISS 3PTR by VANCE,LUKE",,,"MISS 3PTR by VANCE,LUKE",1
--,"REBOUND DEF by SILVERMAN-LLOYD,L",,,,,,,"REBOUND DEF by SILVERMAN-LLOYD,L",1
01:39,,,,,"FOUL  by ALDOUS,HANK",,,"FOUL  by ALDOUS,HANK",1
01:39,"GOOD FT by BURT,NICK",29,,33 (+4),,WASHUM 29-33 (+4),,"GOOD FT by BURT,NICK",1
01:39,"MISS FT by BURT,NICK",,,,,,,"MISS FT by BURT,NICK",1
--,,,,,"REBOUND DEF by NIKOLOVSKI,DREW",,,"REBOUND DEF by NIKOLOVSKI,DREW",1
01:39,"SUB IN by KUCERA,KEVIN",,,,,,,"SUB IN by KUCERA,KEVIN",1
01:39,"SUB OUT by FATOKI,DAVID",,,,,,,"SUB OUT by FATOKI,DAVID",1
01:39,,,,,"SUB IN by BARRETT,JORDAN",,,"SUB IN by BARRETT,JORDAN",1
01:39,,,,,"SUB OUT by ALDOUS,HANK",,,"SUB OUT by ALDOUS,HANK",1
01:14,,,,,"MISS LAYUP by GUMM,GABE",,,"MISS LAYUP by GUMM,GABE",1
--,"REBOUND DEF by BURT,NICK",,,,,,,"REBOUND DEF by BURT,NICK",1
01:07,"GOOD LAYUP by BURT,NICK(fastbreak)(in the paint)",31,,33 (+2),,WASHUM 31-33 (+2),,"GOOD LAYUP by BURT,NICK(fastbreak)(in the paint)",1
01:07,,,,,"FOUL  by VANCE,LUKE",,,"FOUL  by VANCE,LUKE",1
01:07,"GOOD FT by BURT,NICK",32,,33 (+1),,WASHUM 32-33 (+1),,"GOOD FT by BURT,NICK",1
00:45,"FOUL  by KUCERA,KEVIN",,,,,,,"FOUL  by KUCERA,KEVIN",1
00:45,,,,,"MISS FT by VANCE,LUKE",,,"MISS FT by VANCE,LUKE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
00:45,,32,,34 (+2),"GOOD FT by VANCE,LUKE",HC 32-34 (+2),,"GOOD FT by VANCE,LUKE",1
00:45,"SUB IN by HIGHSMITH,MATT",,,,,,,"SUB IN by HIGHSMITH,MATT",1
00:45,"SUB OUT by STYCZYNSKI,MITCH",,,,,,,"SUB OUT by STYCZYNSKI,MITCH",1
00:29,"MISS JUMPER by PALUCKI,MATT",,,,,,,"MISS JUMPER by PALUCKI,MATT",1
--,,,,,"REBOUND DEF by GUMM,GABE",,,"REBOUND DEF by GUMM,GABE",1
00:08,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:01,,,,,"MISS 3PTR by BARRETT,JORDAN",,,"MISS 3PTR by BARRETT,JORDAN",1
--,"REBOUND DEF by HOOKS,CLINTON",,,,,,,"REBOUND DEF by HOOKS,CLINTON",1
19:53,"TURNOVER  by STYCZYNSKI,MITCH",,,,,,,"TURNOVER  by STYCZYNSKI,MITCH",2
19:52,,,,,"STEAL  by VANCE,LUKE",,,"STEAL  by VANCE,LUKE",2
19:48,,,,,"MISS LAYUP by VANCE,LUKE",,,"MISS LAYUP by VANCE,LUKE",2
--,"REBOUND DEF by PALUCKI,MATT",,,,,,,"REBOUND DEF by PALUCKI,MATT",2
19:33,"MISS LAYUP by BURT,NICK",,,,,,,"MISS LAYUP by BURT,NICK",2
--,,,,,"REBOUND DEF by VANCE,LUKE",,,"REBOUND DEF by VANCE,LUKE",2
19:03,,,,,"TURNOVER  by BARRETT,JORDAN",,,"TURNOVER  by BARRETT,JORDAN",2
18:49,"MISS LAYUP by BURT,NICK",,,,,,,"MISS LAYUP by BURT,NICK",2
18:49,,,,,"BLOCK  by VANCE,LUKE",,,"BLOCK  by VANCE,LUKE",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
18:45,"GOOD LAYUP by PALUCKI,MATT(in the paint)",34,,34,,WASHUM 34-34 (0),,"GOOD LAYUP by PALUCKI,MATT(in the paint)",2
18:24,"FOUL  by BURT,NICK",,,,,,,"FOUL  by BURT,NICK",2
18:24,,,,,"MISS FT by OGLE,JOHN",,,"MISS FT by OGLE,JOHN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
18:24,,34,,35 (+1),"GOOD FT by OGLE,JOHN",HC 34-35 (+1),,"GOOD FT by OGLE,JOHN",2
18:14,,,,,"FOUL  by BARRETT,JORDAN",,,"FOUL  by BARRETT,JORDAN",2
18:05,"GOOD 3PTR by FATOKI,DAVID",37 (+2),,35,,WASHUM 37-35 (-2),,"GOOD 3PTR by FATOKI,DAVID",2
--,"ASSIST  by PALUCKI,MATT",,,,,,,"ASSIST  by PALUCKI,MATT",2
17:37,"FOUL  by STYCZYNSKI,MITCH",,,,,,,"FOUL  by STYCZYNSKI,MITCH",2
17:27,,,,,"MISS LAYUP by ALDOUS,HANK",,,"MISS LAYUP by ALDOUS,HANK",2
--,,,,,"REBOUND OFF by VANCE,LUKE",,,"REBOUND OFF by VANCE,LUKE",2
17:27,,,,,"TURNOVER  by VANCE,LUKE",,,"TURNOVER  by VANCE,LUKE",2
17:27,,,,,"FOUL  by VANCE,LUKE",,,"FOUL  by VANCE,LUKE",2
17:27,"MISS 3PTR by SILVERMAN-LLOYD,L",,,,,,,"MISS 3PTR by SILVERMAN-LLOYD,L",2
--,,,,,"REBOUND DEF by BARRETT,JORDAN",,,"REBOUND DEF by BARRETT,JORDAN",2
17:27,,37,,38 (+1),"GOOD 3PTR by ALDOUS,HANK",HC 37-38 (+1),,"GOOD 3PTR by ALDOUS,HANK",2
--,,,,,"ASSIST  by GUMM,GABE",,,"ASSIST  by GUMM,GABE",2
17:16,"MISS JUMPER by PALUCKI,MATT",,,,,,,"MISS JUMPER by PALUCKI,MATT",2
--,"REBOUND OFF by PALUCKI,MATT",,,,,,,"REBOUND OFF by PALUCKI,MATT",2
17:11,"GOOD LAYUP by PALUCKI,MATT(in the paint)",39 (+1),,38,,WASHUM 39-38 (-1),,"GOOD LAYUP by PALUCKI,MATT(in the paint)",2
16:51,"FOUL  by BURT,NICK",,,,,,,"FOUL  by BURT,NICK",2
16:48,,,,,"SUB IN by CONARD,ALEC",,,"SUB IN by CONARD,ALEC",2
16:48,,,,,"SUB OUT by OGLE,JOHN",,,"SUB OUT by OGLE,JOHN",2
16:19,"FOUL  by FATOKI,DAVID",,,,,,,"FOUL  by FATOKI,DAVID",2
16:16,,,,,"MISS 3PTR by ALDOUS,HANK",,,"MISS 3PTR by ALDOUS,HANK",2
--,"REBOUND DEF by PALUCKI,MATT",,,,,,,"REBOUND DEF by PALUCKI,MATT",2
16:09,"MISS JUMPER by BURT,NICK",,,,,,,"MISS JUMPER by BURT,NICK",2
--,,,,,"REBOUND DEF by ALDOUS,HANK",,,"REBOUND DEF by ALDOUS,HANK",2
15:59,"FOUL  by STYCZYNSKI,MITCH",,,,,,,"FOUL  by STYCZYNSKI,MITCH",2
15:59,,,,,"FOUL  by VANCE,LUKE",,,"FOUL  by VANCE,LUKE",2
15:59,"SUB IN by HIGHSMITH,MATT",,,,,,,"SUB IN by HIGHSMITH,MATT",2
15:59,"SUB OUT by STYCZYNSKI,MITCH",,,,,,,"SUB OUT by STYCZYNSKI,MITCH",2
15:59,,,,,"SUB IN by OGLE,JOHN",,,"SUB IN by OGLE,JOHN",2
15:59,,,,,"SUB OUT by CONARD,ALEC",,,"SUB OUT by CONARD,ALEC",2
15:52,,,,,"SUB IN by CONARD,ALEC",,,"SUB IN by CONARD,ALEC",2
15:52,,,,,"SUB IN by LITTLEFIELD,GEAREN",,,"SUB IN by LITTLEFIELD,GEAREN",2
15:52,,,,,"SUB OUT by VANCE,LUKE",,,"SUB OUT by VANCE,LUKE",2
15:52,,,,,"SUB OUT by OGLE,JOHN",,,"SUB OUT by OGLE,JOHN",2
15:39,,,,,"MISS 3PTR by ALDOUS,HANK",,,"MISS 3PTR by ALDOUS,HANK",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
15:33,"TURNOVER  by FATOKI,DAVID",,,,,,,"TURNOVER  by FATOKI,DAVID",2
15:32,,,,,"STEAL  by GUMM,GABE",,,"STEAL  by GUMM,GABE",2
