Time Remaining,LETU,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by WIGGINS,ROOZARIO",,,,,,,"REBOUND DEF by WIGGINS,ROOZARIO",2
16:44,"GOOD LAYUP by WIGGINS,ROOZARIO(fastbreak)(in the paint)",30,,40 (+10),,LETU 30-40 (+10),,"GOOD LAYUP by WIGGINS,ROOZARIO(fastbreak)(in the paint)",2
--,"ASSIST  by TALBERT,SAM",,,,,,,"ASSIST  by TALBERT,SAM",2
16:27,"FOUL  by SCHIMMING,KELBY",,,,,,,"FOUL  by SCHIMMING,KELBY",2
16:27,,,,,"SUB IN by CONARD,ALEC",,,"SUB IN by CONARD,ALEC",2
16:27,,,,,"SUB OUT by OGLE,JOHN",,,"SUB OUT by OGLE,JOHN",2
16:26,,30,,42 (+12),"GOOD LAYUP by CONARD,ALEC(in the paint)",HC 30-42 (+12),,"GOOD LAYUP by CONARD,ALEC(in the paint)",2
--,,,,,"ASSIST  by GUMM,GABE",,,"ASSIST  by GUMM,GABE",2
16:14,"MISS JUMPER by REED,SHAQUILLE",,,,,,,"MISS JUMPER by REED,SHAQUILLE",2
--,,,,,"REBOUND DEF by CONARD,ALEC",,,"REBOUND DEF by CONARD,ALEC",2
15:54,,30,,44 (+14),"GOOD LAYUP by CONARD,ALEC(in the paint)",HC 30-44 (+14),,"GOOD LAYUP by CONARD,ALEC(in the paint)",2
--,,,,,"ASSIST  by ALDOUS,HANK",,,"ASSIST  by ALDOUS,HANK",2
15:50,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
15:32,"MISS JUMPER by KENNEDY,JAKE",,,,,,,"MISS JUMPER by KENNEDY,JAKE",2
--,"REBOUND OFF by WIGGINS,ROOZARIO",,,,,,,"REBOUND OFF by WIGGINS,ROOZARIO",2
15:28,"MISS JUMPER by WIGGINS,ROOZARIO",,,,,,,"MISS JUMPER by WIGGINS,ROOZARIO",2
--,,,,,"REBOUND DEF by CONARD,ALEC",,,"REBOUND DEF by CONARD,ALEC",2
15:26,"FOUL  by WIGGINS,ROOZARIO",,,,,,,"FOUL  by WIGGINS,ROOZARIO",2
15:12,,,,,"TURNOVER  by NIKOLOVSKI,DREW",,,"TURNOVER  by NIKOLOVSKI,DREW",2
15:12,,,,,"FOUL  by NIKOLOVSKI,DREW",,,"FOUL  by NIKOLOVSKI,DREW",2
15:12,,,,,"SUB IN by OGLE,JOHN",,,"SUB IN by OGLE,JOHN",2
15:12,,,,,"SUB OUT by VANCE,LUKE",,,"SUB OUT by VANCE,LUKE",2
15:01,"TURNOVER  by SCHIMMING,KELBY",,,,,,,"TURNOVER  by SCHIMMING,KELBY",2
15:01,"FOUL  by SCHIMMING,KELBY",,,,,,,"FOUL  by SCHIMMING,KELBY",2
15:01,"SUB IN by THOMPSON,GIOVANNY",,,,,,,"SUB IN by THOMPSON,GIOVANNY",2
15:01,"SUB OUT by SCHIMMING,KELBY",,,,,,,"SUB OUT by SCHIMMING,KELBY",2
14:53,,30,,46 (+16),"GOOD JUMPER by OGLE,JOHN",HC 30-46 (+16),,"GOOD JUMPER by OGLE,JOHN",2
--,,,,,"ASSIST  by NIKOLOVSKI,DREW",,,"ASSIST  by NIKOLOVSKI,DREW",2
14:38,"MISS JUMPER by WIGGINS,ROOZARIO",,,,,,,"MISS JUMPER by WIGGINS,ROOZARIO",2
--,,,,,"REBOUND DEF by CONARD,ALEC",,,"REBOUND DEF by CONARD,ALEC",2
14:27,,,,,"MISS JUMPER by ALDOUS,HANK",,,"MISS JUMPER by ALDOUS,HANK",2
--,"REBOUND DEF by TALBERT,SAM",,,,,,,"REBOUND DEF by TALBERT,SAM",2
14:20,"MISS JUMPER by TALBERT,SAM",,,,,,,"MISS JUMPER by TALBERT,SAM",2
--,,,,,"REBOUND DEF by ALDOUS,HANK",,,"REBOUND DEF by ALDOUS,HANK",2
14:13,,,,,"MISS 3PTR by NIKOLOVSKI,DREW",,,"MISS 3PTR by NIKOLOVSKI,DREW",2
--,"REBOUND DEF by REED,SHAQUILLE",,,,,,,"REBOUND DEF by REED,SHAQUILLE",2
14:04,"GOOD LAYUP by REED,SHAQUILLE(fastbreak)(in the paint)",32,,46 (+14),,LETU 32-46 (+14),,"GOOD LAYUP by REED,SHAQUILLE(fastbreak)(in the paint)",2
13:41,,32,,48 (+16),"GOOD LAYUP by CONARD,ALEC(in the paint)",HC 32-48 (+16),,"GOOD LAYUP by CONARD,ALEC(in the paint)",2
--,,,,,"ASSIST  by ALDOUS,HANK",,,"ASSIST  by ALDOUS,HANK",2
13:28,"MISS JUMPER by REED,SHAQUILLE",,,,,,,"MISS JUMPER by REED,SHAQUILLE",2
--,,,,,"REBOUND DEF by CONARD,ALEC",,,"REBOUND DEF by CONARD,ALEC",2
13:21,"FOUL  by REED,SHAQUILLE",,,,,,,"FOUL  by REED,SHAQUILLE",2
13:21,"SUB IN by HYNES,CHRIS",,,,,,,"SUB IN by HYNES,CHRIS",2
13:21,"SUB IN by DENNIS,TREY",,,,,,,"SUB IN by DENNIS,TREY",2
13:21,"SUB OUT by KENNEDY,JAKE",,,,,,,"SUB OUT by KENNEDY,JAKE",2
13:21,"SUB OUT by TALBERT,SAM",,,,,,,"SUB OUT by TALBERT,SAM",2
13:21,"SUB OUT by WIGGINS,ROOZARIO",,,,,,,"SUB OUT by WIGGINS,ROOZARIO",2
13:10,,,,,"TURNOVER  by CONARD,ALEC",,,"TURNOVER  by CONARD,ALEC",2
13:10,,,,,"SUB IN by GARRETT,TRAVIS",,,"SUB IN by GARRETT,TRAVIS",2
13:10,,,,,"SUB OUT by NIKOLOVSKI,DREW",,,"SUB OUT by NIKOLOVSKI,DREW",2
12:58,"MISS JUMPER by REED,SHAQUILLE",,,,,,,"MISS JUMPER by REED,SHAQUILLE",2
--,,,,,"REBOUND DEF by CONARD,ALEC",,,"REBOUND DEF by CONARD,ALEC",2
12:53,"FOUL  by DENNIS,TREY",,,,,,,"FOUL  by DENNIS,TREY",2
12:53,,,,,"SUB IN by BARRETT,JORDAN",,,"SUB IN by BARRETT,JORDAN",2
12:53,,,,,"SUB OUT by ALDOUS,HANK",,,"SUB OUT by ALDOUS,HANK",2
12:45,"FOUL  by THOMPSON,GIOVANNY",,,,,,,"FOUL  by THOMPSON,GIOVANNY",2
12:44,,32,,50 (+18),"GOOD LAYUP by CONARD,ALEC(in the paint)",HC 32-50 (+18),,"GOOD LAYUP by CONARD,ALEC(in the paint)",2
--,,,,,"ASSIST  by GUMM,GABE",,,"ASSIST  by GUMM,GABE",2
12:44,"FOUL  by DENNIS,TREY",,,,,,,"FOUL  by DENNIS,TREY",2
12:44,,,,,"MISS FT by CONARD,ALEC",,,"MISS FT by CONARD,ALEC",2
--,"REBOUND DEF by ARNEDO,JON",,,,,,,"REBOUND DEF by ARNEDO,JON",2
12:44,"SUB IN by ARNEDO,JON",,,,,,,"SUB IN by ARNEDO,JON",2
12:44,"SUB OUT by THOMPSON,GIOVANNY",,,,,,,"SUB OUT by THOMPSON,GIOVANNY",2
12:37,"GOOD 3PTR by TALBERT,SAM(fastbreak)",35,,50 (+15),,LETU 35-50 (+15),,"GOOD 3PTR by TALBERT,SAM(fastbreak)",2
--,"ASSIST  by HYNES,CHRIS",,,,,,,"ASSIST  by HYNES,CHRIS",2
12:26,"FOUL  by HYNES,CHRIS",,,,,,,"FOUL  by HYNES,CHRIS",2
12:26,,,,,"MISS FT by GUMM,GABE",,,"MISS FT by GUMM,GABE",2
--,"REBOUND DEF by DENNIS,TREY",,,,,,,"REBOUND DEF by DENNIS,TREY",2
12:26,"SUB IN by LEE,CLARK",,,,,,,"SUB IN by LEE,CLARK",2
12:26,"SUB OUT by REED,SHAQUILLE",,,,,,,"SUB OUT by REED,SHAQUILLE",2
12:11,,,,,"FOUL  by BARRETT,JORDAN",,,"FOUL  by BARRETT,JORDAN",2
12:11,,,,,"SUB IN by ALDOUS,HANK",,,"SUB IN by ALDOUS,HANK",2
12:11,,,,,"SUB IN by NIKOLOVSKI,DREW",,,"SUB IN by NIKOLOVSKI,DREW",2
12:11,,,,,"SUB OUT by BARRETT,JORDAN",,,"SUB OUT by BARRETT,JORDAN",2
12:11,,,,,"SUB OUT by GARRETT,TRAVIS",,,"SUB OUT by GARRETT,TRAVIS",2
12:07,"GOOD JUMPER by HYNES,CHRIS",37,,50 (+13),,LETU 37-50 (+13),,"GOOD JUMPER by HYNES,CHRIS",2
--,"ASSIST  by ARNEDO,JON",,,,,,,"ASSIST  by ARNEDO,JON",2
11:39,,,,,"MISS 3PTR by NIKOLOVSKI,DREW",,,"MISS 3PTR by NIKOLOVSKI,DREW",2
--,"REBOUND DEF by HYNES,CHRIS",,,,,,,"REBOUND DEF by HYNES,CHRIS",2
11:31,"TURNOVER  by HYNES,CHRIS",,,,,,,"TURNOVER  by HYNES,CHRIS",2
11:31,"FOUL  by HYNES,CHRIS",,,,,,,"FOUL  by HYNES,CHRIS",2
11:16,,37,,53 (+16),"GOOD 3PTR by ALDOUS,HANK",HC 37-53 (+16),,"GOOD 3PTR by ALDOUS,HANK",2
--,,,,,"ASSIST  by NIKOLOVSKI,DREW",,,"ASSIST  by NIKOLOVSKI,DREW",2
11:01,,,,,"FOUL  by NIKOLOVSKI,DREW",,,"FOUL  by NIKOLOVSKI,DREW",2
11:01,,,,,"SUB IN by GARRETT,TRAVIS",,,"SUB IN by GARRETT,TRAVIS",2
11:01,,,,,"SUB OUT by NIKOLOVSKI,DREW",,,"SUB OUT by NIKOLOVSKI,DREW",2
10:59,"TURNOVER  by DENNIS,TREY",,,,,,,"TURNOVER  by DENNIS,TREY",2
10:57,,,,,"STEAL  by GARRETT,TRAVIS",,,"STEAL  by GARRETT,TRAVIS",2
10:55,,,,,"MISS LAYUP by GARRETT,TRAVIS",,,"MISS LAYUP by GARRETT,TRAVIS",2
--,,,,,"REBOUND OFF by GARRETT,TRAVIS",,,"REBOUND OFF by GARRETT,TRAVIS",2
10:51,,,,,"MISS LAYUP by GARRETT,TRAVIS",,,"MISS LAYUP by GARRETT,TRAVIS",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
10:50,"SUB IN by WIGGINS,ROOZARIO",,,,,,,"SUB IN by WIGGINS,ROOZARIO",2
10:50,"SUB OUT by ARNEDO,JON",,,,,,,"SUB OUT by ARNEDO,JON",2
10:40,"MISS JUMPER by WIGGINS,ROOZARIO",,,,,,,"MISS JUMPER by WIGGINS,ROOZARIO",2
--,,,,,"REBOUND DEF by OGLE,JOHN",,,"REBOUND DEF by OGLE,JOHN",2
10:33,,,,,"TURNOVER  by ALDOUS,HANK",,,"TURNOVER  by ALDOUS,HANK",2
10:33,"SUB IN by KENNEDY,JAKE",,,,,,,"SUB IN by KENNEDY,JAKE",2
10:33,"SUB OUT by DENNIS,TREY",,,,,,,"SUB OUT by DENNIS,TREY",2
10:18,"TURNOVER  by WIGGINS,ROOZARIO",,,,,,,"TURNOVER  by WIGGINS,ROOZARIO",2
10:15,,,,,"STEAL  by GARRETT,TRAVIS",,,"STEAL  by GARRETT,TRAVIS",2
10:15,"FOUL  by LEE,CLARK",,,,,,,"FOUL  by LEE,CLARK",2
10:15,,,,,"MISS FT by OGLE,JOHN",,,"MISS FT by OGLE,JOHN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
10:15,,37,,54 (+17),"GOOD FT by OGLE,JOHN",HC 37-54 (+17),,"GOOD FT by OGLE,JOHN",2
10:03,"GOOD JUMPER by WIGGINS,ROOZARIO(in the paint)",39,,54 (+15),,LETU 39-54 (+15),,"GOOD JUMPER by WIGGINS,ROOZARIO(in the paint)",2
--,"ASSIST  by KENNEDY,JAKE",,,,,,,"ASSIST  by KENNEDY,JAKE",2
09:44,"FOUL  by LEE,CLARK",,,,,,,"FOUL  by LEE,CLARK",2
09:44,,,,,"MISS FT by ALDOUS,HANK",,,"MISS FT by ALDOUS,HANK",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
09:44,,,,,"MISS FT by ALDOUS,HANK",,,"MISS FT by ALDOUS,HANK",2
--,"REBOUND DEF by HYNES,CHRIS",,,,,,,"REBOUND DEF by HYNES,CHRIS",2
09:44,"SUB IN by REED,SHAQUILLE",,,,,,,"SUB IN by REED,SHAQUILLE",2
09:44,"SUB OUT by LEE,CLARK",,,,,,,"SUB OUT by LEE,CLARK",2
09:38,,,,,"FOUL  by GARRETT,TRAVIS",,,"FOUL  by GARRETT,TRAVIS",2
09:38,"GOOD FT by HYNES,CHRIS",40,,54 (+14),,LETU 40-54 (+14),,"GOOD FT by HYNES,CHRIS",2
09:38,"GOOD FT by HYNES,CHRIS",41,,54 (+13),,LETU 41-54 (+13),,"GOOD FT by HYNES,CHRIS",2
09:38,,,,,"SUB IN by VANCE,LUKE",,,"SUB IN by VANCE,LUKE",2
09:38,,,,,"SUB OUT by CONARD,ALEC",,,"SUB OUT by CONARD,ALEC",2
09:36,,,,,"TURNOVER  by ALDOUS,HANK",,,"TURNOVER  by ALDOUS,HANK",2
09:34,"STEAL  by REED,SHAQUILLE",,,,,,,"STEAL  by REED,SHAQUILLE",2
09:30,"GOOD LAYUP by HYNES,CHRIS(fastbreak)(in the paint)",43,,54 (+11),,LETU 43-54 (+11),,"GOOD LAYUP by HYNES,CHRIS(fastbreak)(in the paint)",2
--,"ASSIST  by REED,SHAQUILLE",,,,,,,"ASSIST  by REED,SHAQUILLE",2
09:24,"FOUL  by KENNEDY,JAKE",,,,,,,"FOUL  by KENNEDY,JAKE",2
09:24,,43,,55 (+12),"GOOD FT by GUMM,GABE",HC 43-55 (+12),,"GOOD FT by GUMM,GABE",2
09:24,,43,,56 (+13),"GOOD FT by GUMM,GABE",HC 43-56 (+13),,"GOOD FT by GUMM,GABE",2
09:14,"GOOD JUMPER by WIGGINS,ROOZARIO(in the paint)",45,,56 (+11),,LETU 45-56 (+11),,"GOOD JUMPER by WIGGINS,ROOZARIO(in the paint)",2
--,"ASSIST  by REED,SHAQUILLE",,,,,,,"ASSIST  by REED,SHAQUILLE",2
09:04,,,,,"TURNOVER  by GARRETT,TRAVIS",,,"TURNOVER  by GARRETT,TRAVIS",2
09:03,"STEAL  by WIGGINS,ROOZARIO",,,,,,,"STEAL  by WIGGINS,ROOZARIO",2
09:00,"MISS 3PTR by HYNES,CHRIS",,,,,,,"MISS 3PTR by HYNES,CHRIS",2
--,,,,,"REBOUND DEF by ALDOUS,HANK",,,"REBOUND DEF by ALDOUS,HANK",2
08:50,"FOUL  by HYNES,CHRIS",,,,,,,"FOUL  by HYNES,CHRIS",2
08:50,,,,,"MISS FT by GARRETT,TRAVIS",,,"MISS FT by GARRETT,TRAVIS",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
08:50,,45,,57 (+12),"GOOD FT by GARRETT,TRAVIS",HC 45-57 (+12),,"GOOD FT by GARRETT,TRAVIS",2
08:50,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
08:40,"MISS JUMPER by KENNEDY,JAKE",,,,,,,"MISS JUMPER by KENNEDY,JAKE",2
--,,,,,"REBOUND DEF by VANCE,LUKE",,,"REBOUND DEF by VANCE,LUKE",2
08:23,"FOUL  by TALBERT,SAM",,,,,,,"FOUL  by TALBERT,SAM",2
08:23,,45,,58 (+13),"GOOD FT by ALDOUS,HANK",HC 45-58 (+13),,"GOOD FT by ALDOUS,HANK",2
08:23,,45,,59 (+14),"GOOD FT by ALDOUS,HANK",HC 45-59 (+14),,"GOOD FT by ALDOUS,HANK",2
08:13,,,,,"FOUL  by ALDOUS,HANK",,,"FOUL  by ALDOUS,HANK",2
08:13,"GOOD FT by REED,SHAQUILLE",46,,59 (+13),,LETU 46-59 (+13),,"GOOD FT by REED,SHAQUILLE",2
08:13,"GOOD FT by REED,SHAQUILLE",47,,59 (+12),,LETU 47-59 (+12),,"GOOD FT by REED,SHAQUILLE",2
07:49,,,,,"MISS 3PTR by GUMM,GABE",,,"MISS 3PTR by GUMM,GABE",2
--,,,,,"REBOUND OFF by ALDOUS,HANK",,,"REBOUND OFF by ALDOUS,HANK",2
07:35,,,,,"MISS LAYUP by GARRETT,TRAVIS",,,"MISS LAYUP by GARRETT,TRAVIS",2
--,"REBOUND DEF by KENNEDY,JAKE",,,,,,,"REBOUND DEF by KENNEDY,JAKE",2
07:30,"GOOD LAYUP by REED,SHAQUILLE(fastbreak)(in the paint)",49,,59 (+10),,LETU 49-59 (+10),,"GOOD LAYUP by REED,SHAQUILLE(fastbreak)(in the paint)",2
--,"ASSIST  by KENNEDY,JAKE",,,,,,,"ASSIST  by KENNEDY,JAKE",2
07:28,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
07:28,,,,,"SUB IN by CONARD,ALEC",,,"SUB IN by CONARD,ALEC",2
07:28,,,,,"SUB OUT by OGLE,JOHN",,,"SUB OUT by OGLE,JOHN",2
07:20,,,,,"TURNOVER  by GARRETT,TRAVIS",,,"TURNOVER  by GARRETT,TRAVIS",2
07:18,"STEAL  by KENNEDY,JAKE",,,,,,,"STEAL  by KENNEDY,JAKE",2
07:16,"MISS LAYUP by REED,SHAQUILLE",,,,,,,"MISS LAYUP by REED,SHAQUILLE",2
07:16,,,,,"BLOCK  by ALDOUS,HANK",,,"BLOCK  by ALDOUS,HANK",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
07:16,"MISS 3PTR by HYNES,CHRIS",,,,,,,"MISS 3PTR by HYNES,CHRIS",2
--,"REBOUND OFF by REED,SHAQUILLE",,,,,,,"REBOUND OFF by REED,SHAQUILLE",2
07:16,"MISS 3PTR by REED,SHAQUILLE",,,,,,,"MISS 3PTR by REED,SHAQUILLE",2
--,,,,,"REBOUND DEF by BARRETT,JORDAN",,,"REBOUND DEF by BARRETT,JORDAN",2
07:16,,,,,"TURNOVER  by BARRETT,JORDAN",,,"TURNOVER  by BARRETT,JORDAN",2
07:16,"STEAL  by HYNES,CHRIS",,,,,,,"STEAL  by HYNES,CHRIS",2
07:16,"GOOD LAYUP by KENNEDY,JAKE(fastbreak)(in the paint)",51,,59 (+8),,LETU 51-59 (+8),,"GOOD LAYUP by KENNEDY,JAKE(fastbreak)(in the paint)",2
--,"ASSIST  by HYNES,CHRIS",,,,,,,"ASSIST  by HYNES,CHRIS",2
07:16,,,,,"TURNOVER  by ALDOUS,HANK",,,"TURNOVER  by ALDOUS,HANK",2
07:16,"STEAL  by HYNES,CHRIS",,,,,,,"STEAL  by HYNES,CHRIS",2
06:43,"GOOD 3PTR by TALBERT,SAM",54,,59 (+5),,LETU 54-59 (+5),,"GOOD 3PTR by TALBERT,SAM",2
--,"ASSIST  by HYNES,CHRIS",,,,,,,"ASSIST  by HYNES,CHRIS",2
06:43,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
06:43,,,,,"SUB IN by BARRETT,JORDAN",,,"SUB IN by BARRETT,JORDAN",2
06:43,,,,,"SUB OUT by GARRETT,TRAVIS",,,"SUB OUT by GARRETT,TRAVIS",2
06:40,,,,,"TURNOVER  by ALDOUS,HANK",,,"TURNOVER  by ALDOUS,HANK",2
06:39,"STEAL  by WIGGINS,ROOZARIO",,,,,,,"STEAL  by WIGGINS,ROOZARIO",2
06:38,"MISS 3PTR by REED,SHAQUILLE",,,,,,,"MISS 3PTR by REED,SHAQUILLE",2
--,"REBOUND OFF by WIGGINS,ROOZARIO",,,,,,,"REBOUND OFF by WIGGINS,ROOZARIO",2
06:33,"MISS JUMPER by WIGGINS,ROOZARIO",,,,,,,"MISS JUMPER by WIGGINS,ROOZARIO",2
--,"REBOUND OFF by REED,SHAQUILLE",,,,,,,"REBOUND OFF by REED,SHAQUILLE",2
06:28,"MISS LAYUP by REED,SHAQUILLE",,,,,,,"MISS LAYUP by REED,SHAQUILLE",2
06:28,,,,,"BLOCK  by CONARD,ALEC",,,"BLOCK  by CONARD,ALEC",2
--,,,,,"REBOUND DEF by CONARD,ALEC",,,"REBOUND DEF by CONARD,ALEC",2
06:27,"FOUL  by KENNEDY,JAKE",,,,,,,"FOUL  by KENNEDY,JAKE",2
06:27,,54,,60 (+6),"GOOD FT by CONARD,ALEC",HC 54-60 (+6),,"GOOD FT by CONARD,ALEC",2
06:27,,,,,"MISS FT by CONARD,ALEC",,,"MISS FT by CONARD,ALEC",2
--,"REBOUND DEF by WIGGINS,ROOZARIO",,,,,,,"REBOUND DEF by WIGGINS,ROOZARIO",2
06:27,,,,,"SUB IN by NIKOLOVSKI,DREW",,,"SUB IN by NIKOLOVSKI,DREW",2
06:27,,,,,"SUB OUT by ALDOUS,HANK",,,"SUB OUT by ALDOUS,HANK",2
06:19,"MISS JUMPER by HYNES,CHRIS",,,,,,,"MISS JUMPER by HYNES,CHRIS",2
--,"REBOUND OFF by WIGGINS,ROOZARIO",,,,,,,"REBOUND OFF by WIGGINS,ROOZARIO",2
06:16,"GOOD LAYUP by WIGGINS,ROOZARIO(in the paint)",56,,60 (+4),,LETU 56-60 (+4),,"GOOD LAYUP by WIGGINS,ROOZARIO(in the paint)",2
06:00,,56,,62 (+6),"GOOD LAYUP by BARRETT,JORDAN(fastbreak)(in the paint)",HC 56-62 (+6),,"GOOD LAYUP by BARRETT,JORDAN(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by NIKOLOVSKI,DREW",,,"ASSIST  by NIKOLOVSKI,DREW",2
05:44,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
05:44,"SUB IN by SCHIMMING,KELBY",,,,,,,"SUB IN by SCHIMMING,KELBY",2
05:44,"SUB OUT by WIGGINS,ROOZARIO",,,,,,,"SUB OUT by WIGGINS,ROOZARIO",2
05:24,"MISS 3PTR by TALBERT,SAM",,,,,,,"MISS 3PTR by TALBERT,SAM",2
--,"REBOUND OFF by TALBERT,SAM",,,,,,,"REBOUND OFF by TALBERT,SAM",2
05:15,"GOOD TIPIN by SCHIMMING,KELBY(in the paint)",58,,62 (+4),,LETU 58-62 (+4),,"GOOD TIPIN by SCHIMMING,KELBY(in the paint)",2
--,"ASSIST  by HYNES,CHRIS",,,,,,,"ASSIST  by HYNES,CHRIS",2
05:05,,,,,"MISS LAYUP by GUMM,GABE",,,"MISS LAYUP by GUMM,GABE",2
--,,,,,"REBOUND OFF by VANCE,LUKE",,,"REBOUND OFF by VANCE,LUKE",2
05:02,,,,,"MISS TIPIN by VANCE,LUKE",,,"MISS TIPIN by VANCE,LUKE",2
--,"REBOUND DEF by KENNEDY,JAKE",,,,,,,"REBOUND DEF by KENNEDY,JAKE",2
04:50,"MISS 3PTR by REED,SHAQUILLE",,,,,,,"MISS 3PTR by REED,SHAQUILLE",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
04:47,,,,,"SUB IN by OGLE,JOHN",,,"SUB IN by OGLE,JOHN",2
04:47,,,,,"SUB OUT by VANCE,LUKE",,,"SUB OUT by VANCE,LUKE",2
04:42,"MISS 3PTR by TALBERT,SAM",,,,,,,"MISS 3PTR by TALBERT,SAM",2
--,,,,,"REBOUND DEF by OGLE,JOHN",,,"REBOUND DEF by OGLE,JOHN",2
04:15,"FOUL  by REED,SHAQUILLE",,,,,,,"FOUL  by REED,SHAQUILLE",2
04:15,,,,,"MISS FT by BARRETT,JORDAN",,,"MISS FT by BARRETT,JORDAN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
04:15,,,,,"MISS FT by BARRETT,JORDAN",,,"MISS FT by BARRETT,JORDAN",2
--,"REBOUND DEF by SCHIMMING,KELBY",,,,,,,"REBOUND DEF by SCHIMMING,KELBY",2
04:14,,,,,"FOUL  by OGLE,JOHN",,,"FOUL  by OGLE,JOHN",2
04:14,"GOOD FT by SCHIMMING,KELBY",59,,62 (+3),,LETU 59-62 (+3),,"GOOD FT by SCHIMMING,KELBY",2
04:14,"MISS FT by SCHIMMING,KELBY",,,,,,,"MISS FT by SCHIMMING,KELBY",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
04:14,"FOUL  by KENNEDY,JAKE",,,,,,,"FOUL  by KENNEDY,JAKE",2
04:14,,,,,"FOUL  by VANCE,LUKE",,,"FOUL  by VANCE,LUKE",2
04:14,,,,,"SUB IN by VANCE,LUKE",,,"SUB IN by VANCE,LUKE",2
04:14,,,,,"SUB OUT by OGLE,JOHN",,,"SUB OUT by OGLE,JOHN",2
03:40,,59,,64 (+5),"GOOD JUMPER by GUMM,GABE",HC 59-64 (+5),,"GOOD JUMPER by GUMM,GABE",2
--,,,,,"ASSIST  by BARRETT,JORDAN",,,"ASSIST  by BARRETT,JORDAN",2
03:35,,,,,"FOUL  by BARRETT,JORDAN",,,"FOUL  by BARRETT,JORDAN",2
03:35,"MISS FT by REED,SHAQUILLE",,,,,,,"MISS FT by REED,SHAQUILLE",2
--,,,,,"REBOUND DEF by NIKOLOVSKI,DREW",,,"REBOUND DEF by NIKOLOVSKI,DREW",2
03:35,,,,,"SUB IN by ALDOUS,HANK",,,"SUB IN by ALDOUS,HANK",2
03:35,,,,,"SUB OUT by BARRETT,JORDAN",,,"SUB OUT by BARRETT,JORDAN",2
03:15,,,,,"MISS LAYUP by VANCE,LUKE",,,"MISS LAYUP by VANCE,LUKE",2
--,,,,,"REBOUND OFF by CONARD,ALEC",,,"REBOUND OFF by CONARD,ALEC",2
03:12,,59,,66 (+7),"GOOD LAYUP by CONARD,ALEC(in the paint)",HC 59-66 (+7),,"GOOD LAYUP by CONARD,ALEC(in the paint)",2
03:09,"TURNOVER  by HYNES,CHRIS",,,,,,,"TURNOVER  by HYNES,CHRIS",2
03:09,"SUB IN by WIGGINS,ROOZARIO",,,,,,,"SUB IN by WIGGINS,ROOZARIO",2
03:09,"SUB OUT by SCHIMMING,KELBY",,,,,,,"SUB OUT by SCHIMMING,KELBY",2
03:00,"FOUL  by KENNEDY,JAKE",,,,,,,"FOUL  by KENNEDY,JAKE",2
03:00,,59,,67 (+8),"GOOD FT by GUMM,GABE",HC 59-67 (+8),,"GOOD FT by GUMM,GABE",2
03:00,,59,,68 (+9),"GOOD FT by GUMM,GABE",HC 59-68 (+9),,"GOOD FT by GUMM,GABE",2
03:00,"SUB IN by THORNTON,JOSH",,,,,,,"SUB IN by THORNTON,JOSH",2
03:00,"SUB OUT by KENNEDY,JAKE",,,,,,,"SUB OUT by KENNEDY,JAKE",2
02:57,"GOOD JUMPER by REED,SHAQUILLE(fastbreak)(in the paint)",61,,68 (+7),,LETU 61-68 (+7),,"GOOD JUMPER by REED,SHAQUILLE(fastbreak)(in the paint)",2
--,"ASSIST  by HYNES,CHRIS",,,,,,,"ASSIST  by HYNES,CHRIS",2
02:50,"FOUL  by HYNES,CHRIS",,,,,,,"FOUL  by HYNES,CHRIS",2
02:50,,61,,69 (+8),"GOOD FT by GUMM,GABE",HC 61-69 (+8),,"GOOD FT by GUMM,GABE",2
02:50,,,,,"MISS FT by GUMM,GABE",,,"MISS FT by GUMM,GABE",2
--,"REBOUND DEF by WIGGINS,ROOZARIO",,,,,,,"REBOUND DEF by WIGGINS,ROOZARIO",2
02:40,"TURNOVER  by HYNES,CHRIS",,,,,,,"TURNOVER  by HYNES,CHRIS",2
02:09,,,,,"TURNOVER  by ALDOUS,HANK",,,"TURNOVER  by ALDOUS,HANK",2
02:07,"STEAL  by REED,SHAQUILLE",,,,,,,"STEAL  by REED,SHAQUILLE",2
