Time Remaining,HC,Away Team Score,Play Team Indicator,Home Team Score,UDMB2014,Game Score,Team Indicator,Play,Period
13:38,"MISS FT by VANCE,LUKE",,,,,,,"MISS FT by VANCE,LUKE",2
--,,,,,"REBOUND DEF by SARRAT,MICHAEL",,,"REBOUND DEF by SARRAT,MICHAEL",2
13:38,,,,,"SUB IN by PROMBERGER,MARK",,,"SUB IN by PROMBERGER,MARK",2
13:38,,,,,"SUB OUT by KAISER,TOM",,,"SUB OUT by KAISER,TOM",2
13:22,,33,,45 (+12),"GOOD JUMPER by PROMBERGER,MARK(in the paint)",UDMB2014 33-45 (-12),,"GOOD JUMPER by PROMBERGER,MARK(in the paint)",2
13:05,"MISS 3PTR by GARRETT,TRAVIS",,,,,,,"MISS 3PTR by GARRETT,TRAVIS",2
--,,,,,"REBOUND DEF by HAMPSON,MICHAEL",,,"REBOUND DEF by HAMPSON,MICHAEL",2
12:54,"FOUL  by VANCE,LUKE",,,,,,,"FOUL  by VANCE,LUKE",2
12:54,"SUB IN by NIKOLOVSKI,DREW",,,,,,,"SUB IN by NIKOLOVSKI,DREW",2
12:54,"SUB OUT by GARRETT,TRAVIS",,,,,,,"SUB OUT by GARRETT,TRAVIS",2
12:40,,33,,47 (+14),"GOOD LAYUP by MALONE,KYM(in the paint)",UDMB2014 33-47 (-14),,"GOOD LAYUP by MALONE,KYM(in the paint)",2
12:18,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
12:09,,,,,"FOUL  by HAMPSON,MICHAEL",,,"FOUL  by HAMPSON,MICHAEL",2
12:09,"GOOD FT by BARRETT,JORDAN",34,,47 (+13),,HC 34-47 (-13),,"GOOD FT by BARRETT,JORDAN",2
12:09,"GOOD FT by BARRETT,JORDAN",35,,47 (+12),,HC 35-47 (-12),,"GOOD FT by BARRETT,JORDAN",2
11:59,,,,,"MISS JUMPER by JOHNSON,ANTHONY",,,"MISS JUMPER by JOHNSON,ANTHONY",2
11:59,"BLOCK  by CONARD,ALEC",,,,,,,"BLOCK  by CONARD,ALEC",2
--,"REBOUND DEF by GUMM,GABE",,,,,,,"REBOUND DEF by GUMM,GABE",2
11:56,"TURNOVER  by GUMM,GABE",,,,,,,"TURNOVER  by GUMM,GABE",2
11:54,,,,,"TURNOVER  by MALONE,KYM",,,"TURNOVER  by MALONE,KYM",2
11:53,"STEAL  by VANCE,LUKE",,,,,,,"STEAL  by VANCE,LUKE",2
11:46,"TURNOVER  by VANCE,LUKE",,,,,,,"TURNOVER  by VANCE,LUKE",2
11:46,"SUB IN by ALDOUS,HANK",,,,,,,"SUB IN by ALDOUS,HANK",2
11:46,"SUB OUT by GUMM,GABE",,,,,,,"SUB OUT by GUMM,GABE",2
11:34,"FOUL  by CONARD,ALEC",,,,,,,"FOUL  by CONARD,ALEC",2
11:34,,35,,48 (+13),"GOOD FT by SARRAT,MICHAEL",UDMB2014 35-48 (-13),,"GOOD FT by SARRAT,MICHAEL",2
11:34,,35,,49 (+14),"GOOD FT by SARRAT,MICHAEL",UDMB2014 35-49 (-14),,"GOOD FT by SARRAT,MICHAEL",2
11:24,"TURNOVER  by BARRETT,JORDAN",,,,,,,"TURNOVER  by BARRETT,JORDAN",2
11:08,,,,,"MISS JUMPER by SARRAT,MICHAEL",,,"MISS JUMPER by SARRAT,MICHAEL",2
--,,,,,"REBOUND OFF by HAMPSON,MICHAEL",,,"REBOUND OFF by HAMPSON,MICHAEL",2
11:04,,35,,51 (+16),"GOOD LAYUP by HAMPSON,MICHAEL(in the paint)",UDMB2014 35-51 (-16),,"GOOD LAYUP by HAMPSON,MICHAEL(in the paint)",2
10:55,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
10:55,"SUB IN by GUMM,GABE",,,,,,,"SUB IN by GUMM,GABE",2
10:55,"SUB OUT by BARRETT,JORDAN",,,,,,,"SUB OUT by BARRETT,JORDAN",2
10:45,"GOOD LAYUP by VANCE,LUKE(in the paint)",37,,51 (+14),,HC 37-51 (-14),,"GOOD LAYUP by VANCE,LUKE(in the paint)",2
10:34,"FOUL  by ALDOUS,HANK",,,,,,,"FOUL  by ALDOUS,HANK",2
10:34,,37,,52 (+15),"GOOD FT by MALONE,KYM",UDMB2014 37-52 (-15),,"GOOD FT by MALONE,KYM",2
10:34,,37,,53 (+16),"GOOD FT by MALONE,KYM",UDMB2014 37-53 (-16),,"GOOD FT by MALONE,KYM",2
10:14,"GOOD LAYUP by ALDOUS,HANK(in the paint)",39,,53 (+14),,HC 39-53 (-14),,"GOOD LAYUP by ALDOUS,HANK(in the paint)",2
--,"ASSIST  by VANCE,LUKE",,,,,,,"ASSIST  by VANCE,LUKE",2
09:49,"FOUL  by NIKOLOVSKI,DREW",,,,,,,"FOUL  by NIKOLOVSKI,DREW",2
09:48,,,,,"MISS JUMPER by SARRAT,MICHAEL",,,"MISS JUMPER by SARRAT,MICHAEL",2
--,,,,,"REBOUND OFF by JOHNSON,ANTHONY",,,"REBOUND OFF by JOHNSON,ANTHONY",2
09:39,,39,,56 (+17),"GOOD 3PTR by MALONE,KYM",UDMB2014 39-56 (-17),,"GOOD 3PTR by MALONE,KYM",2
09:13,"MISS JUMPER by ALDOUS,HANK",,,,,,,"MISS JUMPER by ALDOUS,HANK",2
--,,,,,"REBOUND DEF by PROMBERGER,MARK",,,"REBOUND DEF by PROMBERGER,MARK",2
08:56,,39,,58 (+19),"GOOD LAYUP by PROMBERGER,MARK(in the paint)",UDMB2014 39-58 (-19),,"GOOD LAYUP by PROMBERGER,MARK(in the paint)",2
--,,,,,"ASSIST  by SARRAT,MICHAEL",,,"ASSIST  by SARRAT,MICHAEL",2
08:41,"GOOD JUMPER by CONARD,ALEC",41,,58 (+17),,HC 41-58 (-17),,"GOOD JUMPER by CONARD,ALEC",2
08:37,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
08:37,,,,,"SUB IN by WYATT,AARON",,,"SUB IN by WYATT,AARON",2
08:37,,,,,"SUB IN by GONZALEZ,LORENZO",,,"SUB IN by GONZALEZ,LORENZO",2
08:37,,,,,"SUB OUT by JOHNSON,ANTHONY",,,"SUB OUT by JOHNSON,ANTHONY",2
08:37,,,,,"SUB OUT by HAMPSON,MICHAEL",,,"SUB OUT by HAMPSON,MICHAEL",2
08:12,,,,,"MISS LAYUP by PROMBERGER,MARK",,,"MISS LAYUP by PROMBERGER,MARK",2
08:12,"BLOCK  by VANCE,LUKE",,,,,,,"BLOCK  by VANCE,LUKE",2
--,"REBOUND DEF by ALDOUS,HANK",,,,,,,"REBOUND DEF by ALDOUS,HANK",2
08:01,"GOOD 3PTR by GUMM,GABE",44,,58 (+14),,HC 44-58 (-14),,"GOOD 3PTR by GUMM,GABE",2
07:31,,,,,"MISS JUMPER by PROMBERGER,MARK",,,"MISS JUMPER by PROMBERGER,MARK",2
--,"REBOUND DEF by CONARD,ALEC",,,,,,,"REBOUND DEF by CONARD,ALEC",2
07:16,"MISS 3PTR by NIKOLOVSKI,DREW",,,,,,,"MISS 3PTR by NIKOLOVSKI,DREW",2
--,,,,,"REBOUND DEF by MALONE,KYM",,,"REBOUND DEF by MALONE,KYM",2
06:49,,44,,61 (+17),"GOOD 3PTR by SARRAT,MICHAEL",UDMB2014 44-61 (-17),,"GOOD 3PTR by SARRAT,MICHAEL",2
--,,,,,"ASSIST  by MALONE,KYM",,,"ASSIST  by MALONE,KYM",2
06:27,"MISS 3PTR by CONARD,ALEC",,,,,,,"MISS 3PTR by CONARD,ALEC",2
--,"REBOUND OFF by VANCE,LUKE",,,,,,,"REBOUND OFF by VANCE,LUKE",2
06:22,"TURNOVER  by VANCE,LUKE",,,,,,,"TURNOVER  by VANCE,LUKE",2
06:20,,,,,"STEAL  by PROMBERGER,MARK",,,"STEAL  by PROMBERGER,MARK",2
06:12,,44,,63 (+19),"GOOD LAYUP by PROMBERGER,MARK(in the paint)",UDMB2014 44-63 (-19),,"GOOD LAYUP by PROMBERGER,MARK(in the paint)",2
--,,,,,"ASSIST  by MALONE,KYM",,,"ASSIST  by MALONE,KYM",2
05:51,"MISS JUMPER by CONARD,ALEC",,,,,,,"MISS JUMPER by CONARD,ALEC",2
--,"REBOUND OFF by VANCE,LUKE",,,,,,,"REBOUND OFF by VANCE,LUKE",2
05:46,"MISS 3PTR by GUMM,GABE",,,,,,,"MISS 3PTR by GUMM,GABE",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
05:41,"SUB IN by GARRETT,TRAVIS",,,,,,,"SUB IN by GARRETT,TRAVIS",2
05:41,"SUB IN by BARRETT,JORDAN",,,,,,,"SUB IN by BARRETT,JORDAN",2
05:41,"SUB OUT by ALDOUS,HANK",,,,,,,"SUB OUT by ALDOUS,HANK",2
05:41,"SUB OUT by NIKOLOVSKI,DREW",,,,,,,"SUB OUT by NIKOLOVSKI,DREW",2
05:41,,,,,"SUB IN by KAISER,TOM",,,"SUB IN by KAISER,TOM",2
05:41,,,,,"SUB OUT by PROMBERGER,MARK",,,"SUB OUT by PROMBERGER,MARK",2
05:20,"SUB IN by STEELE,AARON",,,,,,,"SUB IN by STEELE,AARON",2
05:20,"SUB OUT by GARRETT,TRAVIS",,,,,,,"SUB OUT by GARRETT,TRAVIS",2
05:14,,44,,65 (+21),"GOOD JUMPER by WYATT,AARON(in the paint)",UDMB2014 44-65 (-21),,"GOOD JUMPER by WYATT,AARON(in the paint)",2
04:50,"GOOD LAYUP by BARRETT,JORDAN(in the paint)",46,,65 (+19),,HC 46-65 (-19),,"GOOD LAYUP by BARRETT,JORDAN(in the paint)",2
04:49,,,,,"FOUL  by GONZALEZ,LORENZO",,,"FOUL  by GONZALEZ,LORENZO",2
04:49,"GOOD FT by BARRETT,JORDAN",47,,65 (+18),,HC 47-65 (-18),,"GOOD FT by BARRETT,JORDAN",2
04:49,"SUB IN by PARKER,BRYCE",,,,,,,"SUB IN by PARKER,BRYCE",2
04:49,"SUB IN by LITTLEFIELD,GEAREN",,,,,,,"SUB IN by LITTLEFIELD,GEAREN",2
04:49,"SUB OUT by VANCE,LUKE",,,,,,,"SUB OUT by VANCE,LUKE",2
04:49,"SUB OUT by GUMM,GABE",,,,,,,"SUB OUT by GUMM,GABE",2
04:27,,47,,67 (+20),"GOOD JUMPER by WYATT,AARON",UDMB2014 47-67 (-20),,"GOOD JUMPER by WYATT,AARON",2
04:08,"GOOD 3PTR by STEELE,AARON",50,,67 (+17),,HC 50-67 (-17),,"GOOD 3PTR by STEELE,AARON",2
03:51,,50,,69 (+19),"GOOD JUMPER by MALONE,KYM",UDMB2014 50-69 (-19),,"GOOD JUMPER by MALONE,KYM",2
03:37,"MISS 3PTR by STEELE,AARON",,,,,,,"MISS 3PTR by STEELE,AARON",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
03:16,,50,,71 (+21),"GOOD JUMPER by GONZALEZ,LORENZO",UDMB2014 50-71 (-21),,"GOOD JUMPER by GONZALEZ,LORENZO",2
03:01,"GOOD 3PTR by PARKER,BRYCE",53,,71 (+18),,HC 53-71 (-18),,"GOOD 3PTR by PARKER,BRYCE",2
02:36,"FOUL  by LITTLEFIELD,GEAREN",,,,,,,"FOUL  by LITTLEFIELD,GEAREN",2
02:36,,,,,"MISS FT by KAISER,TOM",,,"MISS FT by KAISER,TOM",2
--,"REBOUND DEF by PARKER,BRYCE",,,,,,,"REBOUND DEF by PARKER,BRYCE",2
02:36,"SUB IN by BAKER,BRUCE",,,,,,,"SUB IN by BAKER,BRUCE",2
02:36,"SUB IN by CRISWELL,SEAN",,,,,,,"SUB IN by CRISWELL,SEAN",2
02:36,"SUB OUT by CONARD,ALEC",,,,,,,"SUB OUT by CONARD,ALEC",2
02:36,"SUB OUT by BARRETT,JORDAN",,,,,,,"SUB OUT by BARRETT,JORDAN",2
02:22,,,,,"FOUL  by MALONE,KYM",,,"FOUL  by MALONE,KYM",2
02:22,"MISS FT by PARKER,BRYCE",,,,,,,"MISS FT by PARKER,BRYCE",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
02:22,"GOOD FT by PARKER,BRYCE",54,,71 (+17),,HC 54-71 (-17),,"GOOD FT by PARKER,BRYCE",2
02:22,,,,,"SUB IN by JOHNSON,ANTHONY",,,"SUB IN by JOHNSON,ANTHONY",2
02:22,,,,,"SUB OUT by SARRAT,MICHAEL",,,"SUB OUT by SARRAT,MICHAEL",2
01:59,,,,,"MISS JUMPER by GONZALEZ,LORENZO",,,"MISS JUMPER by GONZALEZ,LORENZO",2
--,"REBOUND DEF by CRISWELL,SEAN",,,,,,,"REBOUND DEF by CRISWELL,SEAN",2
01:42,"GOOD JUMPER by STEELE,AARON",56,,71 (+15),,HC 56-71 (-15),,"GOOD JUMPER by STEELE,AARON",2
01:18,,,,,"MISS LAYUP by JOHNSON,ANTHONY",,,"MISS LAYUP by JOHNSON,ANTHONY",2
--,,,,,"REBOUND OFF by KAISER,TOM",,,"REBOUND OFF by KAISER,TOM",2
01:14,,,,,"MISS LAYUP by KAISER,TOM",,,"MISS LAYUP by KAISER,TOM",2
--,,,,,"REBOUND OFF by KAISER,TOM",,,"REBOUND OFF by KAISER,TOM",2
01:11,,,,,"TURNOVER  by KAISER,TOM",,,"TURNOVER  by KAISER,TOM",2
01:11,,,,,"SUB IN by HAMPSON,MICHAEL",,,"SUB IN by HAMPSON,MICHAEL",2
01:11,,,,,"SUB IN by CALTON,EMMANUEL",,,"SUB IN by CALTON,EMMANUEL",2
01:11,,,,,"SUB IN by MACCALLUM,RORY",,,"SUB IN by MACCALLUM,RORY",2
01:11,,,,,"SUB OUT by MALONE,KYM",,,"SUB OUT by MALONE,KYM",2
01:11,,,,,"SUB OUT by WYATT,AARON",,,"SUB OUT by WYATT,AARON",2
01:11,,,,,"SUB OUT by KAISER,TOM",,,"SUB OUT by KAISER,TOM",2
01:00,"TURNOVER  by LITTLEFIELD,GEAREN",,,,,,,"TURNOVER  by LITTLEFIELD,GEAREN",2
00:58,,,,,"STEAL  by MACCALLUM,RORY",,,"STEAL  by MACCALLUM,RORY",2
00:40,,,,,"TURNOVER  by GONZALEZ,LORENZO",,,"TURNOVER  by GONZALEZ,LORENZO",2
00:40,,,,,"SUB IN by ROYAL,ZACH",,,"SUB IN by ROYAL,ZACH",2
00:40,,,,,"SUB OUT by GONZALEZ,LORENZO",,,"SUB OUT by GONZALEZ,LORENZO",2
00:30,"MISS 3PTR by PARKER,BRYCE",,,,,,,"MISS 3PTR by PARKER,BRYCE",2
--,"REBOUND OFF by STEELE,AARON",,,,,,,"REBOUND OFF by STEELE,AARON",2
00:24,"FOUL  by CRISWELL,SEAN",,,,,,,"FOUL  by CRISWELL,SEAN",2
00:24,"TURNOVER  by CRISWELL,SEAN",,,,,,,"TURNOVER  by CRISWELL,SEAN",2
