Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,Period
16:12,"SUB OUT by HOECK,RYAN VAN",,,,,,,"SUB OUT by HOECK,RYAN VAN",2
16:00,,43 (+11),,32,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",HC 43-32 (-11),,"GOOD LAYUP by LITTLEFIELD,GEAREN(in the paint)",2
--,,,,,"ASSIST  by VANCE,LUKE",,,"ASSIST  by VANCE,LUKE",2
16:00,"FOUL  by WAGNER,MATT",,,,,,,"FOUL  by WAGNER,MATT",2
16:00,,,,,"MISS FT by LITTLEFIELD,GEAREN",,,"MISS FT by LITTLEFIELD,GEAREN",2
--,"REBOUND DEF by LIVSEY,GEOFF",,,,,,,"REBOUND DEF by LIVSEY,GEOFF",2
15:48,"TURNOVER  by LIVSEY,GEOFF",,,,,,,"TURNOVER  by LIVSEY,GEOFF",2
15:30,"FOUL  by SULLIVAN,BRENNAN",,,,,,,"FOUL  by SULLIVAN,BRENNAN",2
15:30,,43 (+10),,33,"GOOD FT by GUMM,GABE",HC 43-33 (-10),,"GOOD FT by GUMM,GABE",2
15:30,,43 (+9),,34,"GOOD FT by GUMM,GABE",HC 43-34 (-9),,"GOOD FT by GUMM,GABE",2
15:30,"SUB IN by BUTTS,KEYSHAWN",,,,,,,"SUB IN by BUTTS,KEYSHAWN",2
15:30,"SUB IN by SLEDGE,TATE",,,,,,,"SUB IN by SLEDGE,TATE",2
15:30,"SUB OUT by MILLER,DREW",,,,,,,"SUB OUT by MILLER,DREW",2
15:16,"MISS LAYUP by COLLINS,LUKE",,,,,,,"MISS LAYUP by COLLINS,LUKE",2
15:16,,,,,"BLOCK  by BARRETT,JORDAN",,,"BLOCK  by BARRETT,JORDAN",2
--,,,,,"REBOUND DEF by STEELE,AARON",,,"REBOUND DEF by STEELE,AARON",2
14:53,,,,,"MISS 3PTR by GUMM,GABE",,,"MISS 3PTR by GUMM,GABE",2
--,"REBOUND DEF by WAGNER,MATT",,,,,,,"REBOUND DEF by WAGNER,MATT",2
14:22,"TURNOVER  by COLLINS,LUKE",,,,,,,"TURNOVER  by COLLINS,LUKE",2
14:20,,,,,"STEAL  by GUMM,GABE",,,"STEAL  by GUMM,GABE",2
14:16,,,,,"MISS 3PTR by BARRETT,JORDAN",,,"MISS 3PTR by BARRETT,JORDAN",2
--,"REBOUND DEF by SLEDGE,TATE",,,,,,,"REBOUND DEF by SLEDGE,TATE",2
14:09,,,,,"FOUL  by BARRETT,JORDAN",,,"FOUL  by BARRETT,JORDAN",2
14:09,"GOOD FT by COLLINS,LUKE",44 (+10),,34,,RHODES 44-34 (-10),,"GOOD FT by COLLINS,LUKE",2
14:09,"GOOD FT by COLLINS,LUKE",45 (+11),,34,,RHODES 45-34 (-11),,"GOOD FT by COLLINS,LUKE",2
14:09,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",2
14:09,"SUB IN by HOECK,RYAN VAN",,,,,,,"SUB IN by HOECK,RYAN VAN",2
14:09,"SUB OUT by WAGNER,MATT",,,,,,,"SUB OUT by WAGNER,MATT",2
14:09,"SUB OUT by LIVSEY,GEOFF",,,,,,,"SUB OUT by LIVSEY,GEOFF",2
14:09,,,,,"SUB IN by OGLE,JOHN",,,"SUB IN by OGLE,JOHN",2
14:09,,,,,"SUB IN by ALDOUS,HANK",,,"SUB IN by ALDOUS,HANK",2
14:09,,,,,"SUB IN by NIKOLOVSKI,DREW",,,"SUB IN by NIKOLOVSKI,DREW",2
14:09,,,,,"SUB OUT by STEELE,AARON",,,"SUB OUT by STEELE,AARON",2
14:09,,,,,"SUB OUT by LITTLEFIELD,GEAREN",,,"SUB OUT by LITTLEFIELD,GEAREN",2
14:09,,,,,"SUB OUT by BARRETT,JORDAN",,,"SUB OUT by BARRETT,JORDAN",2
13:55,,,,,"MISS JUMPER by VANCE,LUKE",,,"MISS JUMPER by VANCE,LUKE",2
13:55,"BLOCK  by HOECK,RYAN VAN",,,,,,,"BLOCK  by HOECK,RYAN VAN",2
--,"REBOUND DEF by GEE,TYLER",,,,,,,"REBOUND DEF by GEE,TYLER",2
13:45,"MISS JUMPER by HOECK,RYAN VAN",,,,,,,"MISS JUMPER by HOECK,RYAN VAN",2
--,"REBOUND OFF by SLEDGE,TATE",,,,,,,"REBOUND OFF by SLEDGE,TATE",2
13:38,"TURNOVER  by SLEDGE,TATE",,,,,,,"TURNOVER  by SLEDGE,TATE",2
13:27,"FOUL  by SLEDGE,TATE",,,,,,,"FOUL  by SLEDGE,TATE",2
13:21,,,,,"MISS 3PTR by OGLE,JOHN",,,"MISS 3PTR by OGLE,JOHN",2
--,"REBOUND DEF by BUTTS,KEYSHAWN",,,,,,,"REBOUND DEF by BUTTS,KEYSHAWN",2
12:56,"MISS LAYUP by COLLINS,LUKE",,,,,,,"MISS LAYUP by COLLINS,LUKE",2
--,,,,,"REBOUND DEF by VANCE,LUKE",,,"REBOUND DEF by VANCE,LUKE",2
12:44,"FOUL  by GEE,TYLER",,,,,,,"FOUL  by GEE,TYLER",2
12:33,,45 (+8),,37,"GOOD 3PTR by NIKOLOVSKI,DREW",HC 45-37 (-8),,"GOOD 3PTR by NIKOLOVSKI,DREW",2
--,,,,,"ASSIST  by OGLE,JOHN",,,"ASSIST  by OGLE,JOHN",2
12:06,"MISS JUMPER by HOECK,RYAN VAN",,,,,,,"MISS JUMPER by HOECK,RYAN VAN",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
12:02,"SUB IN by MILLER,DREW",,,,,,,"SUB IN by MILLER,DREW",2
12:02,"SUB OUT by BUTTS,KEYSHAWN",,,,,,,"SUB OUT by BUTTS,KEYSHAWN",2
12:00,"MISS LAYUP by SLEDGE,TATE",,,,,,,"MISS LAYUP by SLEDGE,TATE",2
12:00,,,,,"BLOCK  by ALDOUS,HANK",,,"BLOCK  by ALDOUS,HANK",2
--,"REBOUND OFF by SLEDGE,TATE",,,,,,,"REBOUND OFF by SLEDGE,TATE",2
11:52,"GOOD LAYUP by COLLINS,LUKE(in the paint)",47 (+10),,37,,RHODES 47-37 (-10),,"GOOD LAYUP by COLLINS,LUKE(in the paint)",2
11:52,,,,,"FOUL  by GUMM,GABE",,,"FOUL  by GUMM,GABE",2
11:52,"GOOD FT by COLLINS,LUKE",48 (+11),,37,,RHODES 48-37 (-11),,"GOOD FT by COLLINS,LUKE",2
11:29,,,,,"MISS 3PTR by ALDOUS,HANK",,,"MISS 3PTR by ALDOUS,HANK",2
--,,,,,"REBOUND OFF by VANCE,LUKE",,,"REBOUND OFF by VANCE,LUKE",2
11:25,"FOUL  by HOECK,RYAN VAN",,,,,,,"FOUL  by HOECK,RYAN VAN",2
11:25,,48 (+10),,38,"GOOD FT by VANCE,LUKE",HC 48-38 (-10),,"GOOD FT by VANCE,LUKE",2
11:25,,48 (+9),,39,"GOOD FT by VANCE,LUKE",HC 48-39 (-9),,"GOOD FT by VANCE,LUKE",2
11:25,"SUB IN by WAGNER,MATT",,,,,,,"SUB IN by WAGNER,MATT",2
11:25,"SUB IN by LIVSEY,GEOFF",,,,,,,"SUB IN by LIVSEY,GEOFF",2
11:25,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",2
11:25,"SUB OUT by HOECK,RYAN VAN",,,,,,,"SUB OUT by HOECK,RYAN VAN",2
10:59,"TURNOVER  by WAGNER,MATT",,,,,,,"TURNOVER  by WAGNER,MATT",2
10:57,,,,,"STEAL  by NIKOLOVSKI,DREW",,,"STEAL  by NIKOLOVSKI,DREW",2
10:52,,48 (+6),,42,"GOOD 3PTR by NIKOLOVSKI,DREW(fastbreak)",HC 48-42 (-6),,"GOOD 3PTR by NIKOLOVSKI,DREW(fastbreak)",2
--,,,,,"ASSIST  by ALDOUS,HANK",,,"ASSIST  by ALDOUS,HANK",2
10:30,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
10:30,"SUB IN by HOECK,RYAN VAN",,,,,,,"SUB IN by HOECK,RYAN VAN",2
10:30,"SUB OUT by COLLINS,LUKE",,,,,,,"SUB OUT by COLLINS,LUKE",2
10:30,"SUB OUT by MILLER,DREW",,,,,,,"SUB OUT by MILLER,DREW",2
10:30,,,,,"SUB IN by BARRETT,JORDAN",,,"SUB IN by BARRETT,JORDAN",2
10:30,,,,,"SUB OUT by GUMM,GABE",,,"SUB OUT by GUMM,GABE",2
10:30,,,,,"SUB OUT by OGLE,JOHN",,,"SUB OUT by OGLE,JOHN",2
10:30,,,,,"SUB OUT by VANCE,LUKE",,,"SUB OUT by VANCE,LUKE",2
10:30,,,,,"SUB OUT by ALDOUS,HANK",,,"SUB OUT by ALDOUS,HANK",2
10:30,,,,,"SUB OUT by NIKOLOVSKI,DREW",,,"SUB OUT by NIKOLOVSKI,DREW",2
10:14,,,,,"FOUL  by NIKOLOVSKI,DREW",,,"FOUL  by NIKOLOVSKI,DREW",2
10:14,"GOOD FT by HOECK,RYAN VAN",49 (+7),,42,,RHODES 49-42 (-7),,"GOOD FT by HOECK,RYAN VAN",2
10:14,"GOOD FT by HOECK,RYAN VAN",50 (+8),,42,,RHODES 50-42 (-8),,"GOOD FT by HOECK,RYAN VAN",2
10:14,"SUB IN by MILLER,DREW",,,,,,,"SUB IN by MILLER,DREW",2
10:14,"SUB OUT by WAGNER,MATT",,,,,,,"SUB OUT by WAGNER,MATT",2
09:58,,,,,"MISS LAYUP by OGLE,JOHN",,,"MISS LAYUP by OGLE,JOHN",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
09:46,,,,,"FOUL  by BARRETT,JORDAN",,,"FOUL  by BARRETT,JORDAN",2
09:24,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",52 (+10),,42,,RHODES 52-42 (-10),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",2
--,"ASSIST  by SLEDGE,TATE",,,,,,,"ASSIST  by SLEDGE,TATE",2
08:59,,,,,"MISS LAYUP by BARRETT,JORDAN",,,"MISS LAYUP by BARRETT,JORDAN",2
08:59,"BLOCK  by SLEDGE,TATE",,,,,,,"BLOCK  by SLEDGE,TATE",2
--,"REBOUND DEF by COLLINS,LUKE",,,,,,,"REBOUND DEF by COLLINS,LUKE",2
08:48,,,,,"FOUL  by BARRETT,JORDAN",,,"FOUL  by BARRETT,JORDAN",2
08:48,,,,,"SUB IN by GUMM,GABE",,,"SUB IN by GUMM,GABE",2
08:48,,,,,"SUB IN by CONARD,ALEC",,,"SUB IN by CONARD,ALEC",2
08:48,,,,,"SUB OUT by BARRETT,JORDAN",,,"SUB OUT by BARRETT,JORDAN",2
08:33,"GOOD 3PTR by MILLER,DREW",55 (+13),,42,,RHODES 55-42 (-13),,"GOOD 3PTR by MILLER,DREW",2
--,"ASSIST  by COLLINS,LUKE",,,,,,,"ASSIST  by COLLINS,LUKE",2
08:23,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
08:15,,,,,"MISS JUMPER by CONARD,ALEC",,,"MISS JUMPER by CONARD,ALEC",2
--,,,,,"REBOUND OFF by NIKOLOVSKI,DREW",,,"REBOUND OFF by NIKOLOVSKI,DREW",2
08:11,,,,,"MISS LAYUP by NIKOLOVSKI,DREW",,,"MISS LAYUP by NIKOLOVSKI,DREW",2
--,,,,,"REBOUND OFF by VANCE,LUKE",,,"REBOUND OFF by VANCE,LUKE",2
08:08,,,,,"MISS LAYUP by VANCE,LUKE",,,"MISS LAYUP by VANCE,LUKE",2
--,"REBOUND DEF by LIVSEY,GEOFF",,,,,,,"REBOUND DEF by LIVSEY,GEOFF",2
07:55,"TURNOVER  by LIVSEY,GEOFF",,,,,,,"TURNOVER  by LIVSEY,GEOFF",2
07:53,"SUB IN by SULLIVAN,BRENNAN",,,,,,,"SUB IN by SULLIVAN,BRENNAN",2
07:53,"SUB OUT by SLEDGE,TATE",,,,,,,"SUB OUT by SLEDGE,TATE",2
07:42,,,,,"TURNOVER  by CONARD,ALEC",,,"TURNOVER  by CONARD,ALEC",2
07:16,"MISS LAYUP by LIVSEY,GEOFF",,,,,,,"MISS LAYUP by LIVSEY,GEOFF",2
--,"REBOUND OFF by LIVSEY,GEOFF",,,,,,,"REBOUND OFF by LIVSEY,GEOFF",2
07:14,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
07:09,"MISS LAYUP by HOECK,RYAN VAN",,,,,,,"MISS LAYUP by HOECK,RYAN VAN",2
07:09,,,,,"BLOCK  by CONARD,ALEC",,,"BLOCK  by CONARD,ALEC",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
06:58,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
06:50,"GOOD JUMPER by SULLIVAN,BRENNAN(in the paint)",57 (+15),,42,,RHODES 57-42 (-15),,"GOOD JUMPER by SULLIVAN,BRENNAN(in the paint)",2
06:32,,,,,"MISS 3PTR by NIKOLOVSKI,DREW",,,"MISS 3PTR by NIKOLOVSKI,DREW",2
--,,,,,"REBOUND OFF by VANCE,LUKE",,,"REBOUND OFF by VANCE,LUKE",2
06:27,,,,,"TURNOVER  by VANCE,LUKE",,,"TURNOVER  by VANCE,LUKE",2
06:25,"STEAL  by COLLINS,LUKE",,,,,,,"STEAL  by COLLINS,LUKE",2
06:04,,,,,"FOUL  by CONARD,ALEC",,,"FOUL  by CONARD,ALEC",2
06:04,"GOOD FT by MILLER,DREW",58 (+16),,42,,RHODES 58-42 (-16),,"GOOD FT by MILLER,DREW",2
06:04,"MISS FT by MILLER,DREW",,,,,,,"MISS FT by MILLER,DREW",2
--,,,,,"REBOUND DEF by NIKOLOVSKI,DREW",,,"REBOUND DEF by NIKOLOVSKI,DREW",2
05:52,,58 (+14),,44,"GOOD LAYUP by NIKOLOVSKI,DREW(in the paint)",HC 58-44 (-14),,"GOOD LAYUP by NIKOLOVSKI,DREW(in the paint)",2
--,,,,,"ASSIST  by ALDOUS,HANK",,,"ASSIST  by ALDOUS,HANK",2
05:46,"SUB IN by SLEDGE,TATE",,,,,,,"SUB IN by SLEDGE,TATE",2
05:46,"SUB OUT by MILLER,DREW",,,,,,,"SUB OUT by MILLER,DREW",2
05:46,"SUB OUT by SULLIVAN,BRENNAN",,,,,,,"SUB OUT by SULLIVAN,BRENNAN",2
05:46,"SUB OUT by LIVSEY,GEOFF",,,,,,,"SUB OUT by LIVSEY,GEOFF",2
05:46,"SUB OUT by HOECK,RYAN VAN",,,,,,,"SUB OUT by HOECK,RYAN VAN",2
05:29,,,,,"FOUL  by GUMM,GABE",,,"FOUL  by GUMM,GABE",2
05:29,"GOOD FT by COLLINS,LUKE",59 (+15),,44,,RHODES 59-44 (-15),,"GOOD FT by COLLINS,LUKE",2
05:29,"GOOD FT by COLLINS,LUKE",60 (+16),,44,,RHODES 60-44 (-16),,"GOOD FT by COLLINS,LUKE",2
05:15,,60 (+13),,47,"GOOD 3PTR by GUMM,GABE",HC 60-47 (-13),,"GOOD 3PTR by GUMM,GABE",2
--,,,,,"ASSIST  by ALDOUS,HANK",,,"ASSIST  by ALDOUS,HANK",2
04:53,"MISS JUMPER by SULLIVAN,BRENNAN",,,,,,,"MISS JUMPER by SULLIVAN,BRENNAN",2
--,,,,,"REBOUND DEF by VANCE,LUKE",,,"REBOUND DEF by VANCE,LUKE",2
04:43,,60 (+11),,49,"GOOD LAYUP by ALDOUS,HANK(in the paint)",HC 60-49 (-11),,"GOOD LAYUP by ALDOUS,HANK(in the paint)",2
04:25,"MISS LAYUP by HOECK,RYAN VAN",,,,,,,"MISS LAYUP by HOECK,RYAN VAN",2
04:25,,,,,"BLOCK  by CONARD,ALEC",,,"BLOCK  by CONARD,ALEC",2
--,"REBOUND OFF by HOECK,RYAN VAN",,,,,,,"REBOUND OFF by HOECK,RYAN VAN",2
04:23,,,,,"FOUL  by CONARD,ALEC",,,"FOUL  by CONARD,ALEC",2
04:23,"GOOD FT by HOECK,RYAN VAN",61 (+12),,49,,RHODES 61-49 (-12),,"GOOD FT by HOECK,RYAN VAN",2
04:23,"GOOD FT by HOECK,RYAN VAN",62 (+13),,49,,RHODES 62-49 (-13),,"GOOD FT by HOECK,RYAN VAN",2
04:23,"SUB IN by MILLER,DREW",,,,,,,"SUB IN by MILLER,DREW",2
04:11,,,,,"TURNOVER  by NIKOLOVSKI,DREW",,,"TURNOVER  by NIKOLOVSKI,DREW",2
04:09,"STEAL  by SLEDGE,TATE",,,,,,,"STEAL  by SLEDGE,TATE",2
03:46,"MISS JUMPER by HOECK,RYAN VAN",,,,,,,"MISS JUMPER by HOECK,RYAN VAN",2
--,,,,,"REBOUND DEF by CONARD,ALEC",,,"REBOUND DEF by CONARD,ALEC",2
03:31,,62 (+10),,52,"GOOD 3PTR by NIKOLOVSKI,DREW",HC 62-52 (-10),,"GOOD 3PTR by NIKOLOVSKI,DREW",2
--,,,,,"ASSIST  by GUMM,GABE",,,"ASSIST  by GUMM,GABE",2
03:02,"MISS 3PTR by SLEDGE,TATE",,,,,,,"MISS 3PTR by SLEDGE,TATE",2
--,,,,,"REBOUND DEF by CONARD,ALEC",,,"REBOUND DEF by CONARD,ALEC",2
02:51,,62 (+7),,55,"GOOD 3PTR by GUMM,GABE",HC 62-55 (-7),,"GOOD 3PTR by GUMM,GABE",2
02:33,,,,,"FOUL  by ALDOUS,HANK",,,"FOUL  by ALDOUS,HANK",2
02:33,"GOOD FT by MILLER,DREW",63 (+8),,55,,RHODES 63-55 (-8),,"GOOD FT by MILLER,DREW",2
02:33,"GOOD FT by MILLER,DREW",64 (+9),,55,,RHODES 64-55 (-9),,"GOOD FT by MILLER,DREW",2
02:25,,,,,"MISS 3PTR by CONARD,ALEC",,,"MISS 3PTR by CONARD,ALEC",2
--,"REBOUND DEF by SLEDGE,TATE",,,,,,,"REBOUND DEF by SLEDGE,TATE",2
02:11,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
02:11,"SUB IN by SULLIVAN,BRENNAN",,,,,,,"SUB IN by SULLIVAN,BRENNAN",2
02:11,"SUB OUT by SLEDGE,TATE",,,,,,,"SUB OUT by SLEDGE,TATE",2
02:01,,,,,"FOUL  by VANCE,LUKE",,,"FOUL  by VANCE,LUKE",2
02:01,"MISS FT by HOECK,RYAN VAN",,,,,,,"MISS FT by HOECK,RYAN VAN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
02:01,"GOOD FT by HOECK,RYAN VAN",65 (+10),,55,,RHODES 65-55 (-10),,"GOOD FT by HOECK,RYAN VAN",2
02:01,"SUB IN by SLEDGE,TATE",,,,,,,"SUB IN by SLEDGE,TATE",2
02:01,"SUB OUT by SULLIVAN,BRENNAN",,,,,,,"SUB OUT by SULLIVAN,BRENNAN",2
01:45,,,,,"MISS 3PTR by NIKOLOVSKI,DREW",,,"MISS 3PTR by NIKOLOVSKI,DREW",2
--,,,,,"REBOUND OFF by GUMM,GABE",,,"REBOUND OFF by GUMM,GABE",2
01:40,,,,,"MISS 3PTR by ALDOUS,HANK",,,"MISS 3PTR by ALDOUS,HANK",2
--,"REBOUND DEF by LIVSEY,GEOFF",,,,,,,"REBOUND DEF by LIVSEY,GEOFF",2
01:30,,,,,"FOUL  by CONARD,ALEC",,,"FOUL  by CONARD,ALEC",2
01:30,"GOOD FT by COLLINS,LUKE",66 (+11),,55,,RHODES 66-55 (-11),,"GOOD FT by COLLINS,LUKE",2
01:30,"GOOD FT by COLLINS,LUKE",67 (+12),,55,,RHODES 67-55 (-12),,"GOOD FT by COLLINS,LUKE",2
01:30,"SUB IN by WAGNER,MATT",,,,,,,"SUB IN by WAGNER,MATT",2
01:30,,,,,"SUB IN by GARRETT,TRAVIS",,,"SUB IN by GARRETT,TRAVIS",2
01:30,,,,,"SUB OUT by CONARD,ALEC",,,"SUB OUT by CONARD,ALEC",2
01:29,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
01:29,"SUB IN by HOECK,RYAN VAN",,,,,,,"SUB IN by HOECK,RYAN VAN",2
01:29,"SUB OUT by MILLER,DREW",,,,,,,"SUB OUT by MILLER,DREW",2
01:29,"SUB OUT by SLEDGE,TATE",,,,,,,"SUB OUT by SLEDGE,TATE",2
01:29,"SUB OUT by WAGNER,MATT",,,,,,,"SUB OUT by WAGNER,MATT",2
01:29,,,,,"SUB IN by STEELE,AARON",,,"SUB IN by STEELE,AARON",2
01:29,,,,,"SUB OUT by GUMM,GABE",,,"SUB OUT by GUMM,GABE",2
01:29,,,,,"SUB OUT by GARRETT,TRAVIS",,,"SUB OUT by GARRETT,TRAVIS",2
01:14,,,,,"MISS 3PTR by GUMM,GABE",,,"MISS 3PTR by GUMM,GABE",2
--,"REBOUND DEF by LIVSEY,GEOFF",,,,,,,"REBOUND DEF by LIVSEY,GEOFF",2
01:08,,,,,"FOUL  by GUMM,GABE",,,"FOUL  by GUMM,GABE",2
01:08,"GOOD FT by COLLINS,LUKE",68 (+13),,55,,RHODES 68-55 (-13),,"GOOD FT by COLLINS,LUKE",2
01:08,"GOOD FT by COLLINS,LUKE",69 (+14),,55,,RHODES 69-55 (-14),,"GOOD FT by COLLINS,LUKE",2
00:59,,69 (+12),,57,"GOOD LAYUP by GUMM,GABE(in the paint)",HC 69-57 (-12),,"GOOD LAYUP by GUMM,GABE(in the paint)",2
--,,,,,"ASSIST  by STEELE,AARON",,,"ASSIST  by STEELE,AARON",2
00:58,,,,,"FOUL  by NIKOLOVSKI,DREW",,,"FOUL  by NIKOLOVSKI,DREW",2
00:58,"GOOD FT by MILLER,DREW",70 (+13),,57,,RHODES 70-57 (-13),,"GOOD FT by MILLER,DREW",2
00:58,"GOOD FT by MILLER,DREW",71 (+14),,57,,RHODES 71-57 (-14),,"GOOD FT by MILLER,DREW",2
00:52,,,,,"MISS 3PTR by GUMM,GABE",,,"MISS 3PTR by GUMM,GABE",2
--,,,,,"REBOUND OFF by NIKOLOVSKI,DREW",,,"REBOUND OFF by NIKOLOVSKI,DREW",2
00:47,,,,,"MISS 3PTR by GUMM,GABE",,,"MISS 3PTR by GUMM,GABE",2
--,"REBOUND DEF by HOECK,RYAN VAN",,,,,,,"REBOUND DEF by HOECK,RYAN VAN",2
00:10,"GOOD JUMPER by HOECK,RYAN VAN(in the paint)",73 (+16),,57,,RHODES 73-57 (-16),,"GOOD JUMPER by HOECK,RYAN VAN(in the paint)",2
--,"ASSIST  by COLLINS,LUKE",,,,,,,"ASSIST  by COLLINS,LUKE",2
00:03,,,,,"MISS 3PTR by NIKOLOVSKI,DREW",,,"MISS 3PTR by NIKOLOVSKI,DREW",2
--,"REBOUND DEF by SLEDGE,TATE",,,,,,,"REBOUND DEF by SLEDGE,TATE",2
