Time Remaining,HC,Away Team Score,Play Team Indicator,Home Team Score,CENT,Game Score,Team Indicator,Play,Period
02:28,,,,,"SUB IN by NTAGHA,SARO",,,"SUB IN by NTAGHA,SARO",1
02:28,,,,,"SUB OUT by WILLIAMS,DONOVAN",,,"SUB OUT by WILLIAMS,DONOVAN",1
02:24,"TURNOVER  by ALDOUS,HANK",,,,,,,"TURNOVER  by ALDOUS,HANK",1
02:23,,,,,"STEAL  by DEMOUCHET,KENDALL",,,"STEAL  by DEMOUCHET,KENDALL",1
02:21,,16,,42 (+26),"GOOD JUMPER by CHERAMIE,CADEN(in the paint)",CENT 16-42 (-26),,"GOOD JUMPER by CHERAMIE,CADEN(in the paint)",1
--,,,,,"ASSIST  by DEMOUCHET,KENDALL",,,"ASSIST  by DEMOUCHET,KENDALL",1
02:12,"TURNOVER  by GUMM,GABE",,,,,,,"TURNOVER  by GUMM,GABE",1
02:10,,,,,"STEAL  by KIRKENDOLL,TRAVION",,,"STEAL  by KIRKENDOLL,TRAVION",1
02:08,,,,,"MISS 3PTR by CAMPBELL,BRANDON",,,"MISS 3PTR by CAMPBELL,BRANDON",1
--,"REBOUND DEF by ALDOUS,HANK",,,,,,,"REBOUND DEF by ALDOUS,HANK",1
02:02,"MISS 3PTR by ALDOUS,HANK",,,,,,,"MISS 3PTR by ALDOUS,HANK",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
01:46,"MISS 3PTR by NIKOLOVSKI,DREW",,,,,,,"MISS 3PTR by NIKOLOVSKI,DREW",1
--,,,,,"REBOUND DEF by DEMOUCHET,KENDALL",,,"REBOUND DEF by DEMOUCHET,KENDALL",1
01:29,,16,,44 (+28),"GOOD LAYUP by CHERAMIE,CADEN(in the paint)",CENT 16-44 (-28),,"GOOD LAYUP by CHERAMIE,CADEN(in the paint)",1
--,,,,,"ASSIST  by DEMOUCHET,KENDALL",,,"ASSIST  by DEMOUCHET,KENDALL",1
01:22,"TURNOVER  by GUMM,GABE",,,,,,,"TURNOVER  by GUMM,GABE",1
01:20,,,,,"STEAL  by DEMOUCHET,KENDALL",,,"STEAL  by DEMOUCHET,KENDALL",1
01:19,,16,,46 (+30),"GOOD LAYUP by KIRKENDOLL,TRAVION(in the paint)",CENT 16-46 (-30),,"GOOD LAYUP by KIRKENDOLL,TRAVION(in the paint)",1
--,,,,,"ASSIST  by DEMOUCHET,KENDALL",,,"ASSIST  by DEMOUCHET,KENDALL",1
00:54,,,,,"FOUL  by DEMOUCHET,KENDALL",,,"FOUL  by DEMOUCHET,KENDALL",1
00:53,"GOOD LAYUP by ALDOUS,HANK(in the paint)",18,,46 (+28),,HC 18-46 (-28),,"GOOD LAYUP by ALDOUS,HANK(in the paint)",1
00:53,,,,,"SUB IN by BROUSSARD,JACOB",,,"SUB IN by BROUSSARD,JACOB",1
00:53,,,,,"SUB IN by WEAVER,DYLLON",,,"SUB IN by WEAVER,DYLLON",1
00:53,,,,,"SUB IN by SAPP,JAMES",,,"SUB IN by SAPP,JAMES",1
00:53,,,,,"SUB OUT by CHERAMIE,CADEN",,,"SUB OUT by CHERAMIE,CADEN",1
00:53,,,,,"SUB OUT by DEMOUCHET,KENDALL",,,"SUB OUT by DEMOUCHET,KENDALL",1
