Time Remaining,ETBU,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,Period
17:28,"MISS LAYUP by AUGUSTINE,DYLAN",,,,,,,"MISS LAYUP by AUGUSTINE,DYLAN",1
--,"REBOUND OFF by THOMPSON,ERBY",,,,,,,"REBOUND OFF by THOMPSON,ERBY",1
17:26,,,,,"FOUL  by ALDOUS,HANK",,,"FOUL  by ALDOUS,HANK",1
17:26,"GOOD FT by THOMPSON,ERBY",4,,5 (+1),,ETBU 4-5 (+1),,"GOOD FT by THOMPSON,ERBY",1
17:26,"GOOD FT by THOMPSON,ERBY",5,,5,,ETBU 5-5 (0),,"GOOD FT by THOMPSON,ERBY",1
17:01,,,,,"MISS JUMPER by VANCE,LUKE",,,"MISS JUMPER by VANCE,LUKE",1
17:01,"BLOCK  by HERRING,CHAD",,,,,,,"BLOCK  by HERRING,CHAD",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
16:57,"FOUL  by HERRING,CHAD",,,,,,,"FOUL  by HERRING,CHAD",1
16:57,,,,,"MISS FT by VANCE,LUKE",,,"MISS FT by VANCE,LUKE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
16:57,,,,,"MISS FT by VANCE,LUKE",,,"MISS FT by VANCE,LUKE",1
--,,,,,"REBOUND OFF by GARRETT,TRAVIS",,,"REBOUND OFF by GARRETT,TRAVIS",1
16:47,,,,,"TURNOVER  by ALDOUS,HANK",,,"TURNOVER  by ALDOUS,HANK",1
16:31,"SUB IN by GRAY,AHNRE",,,,,,,"SUB IN by GRAY,AHNRE",1
16:31,"SUB OUT by FELICIA,JUSTIN",,,,,,,"SUB OUT by FELICIA,JUSTIN",1
16:25,"GOOD LAYUP by GRAY,AHNRE(in the paint)",7 (+2),,5,,ETBU 7-5 (-2),,"GOOD LAYUP by GRAY,AHNRE(in the paint)",1
--,"ASSIST  by THOMPSON,ERBY",,,,,,,"ASSIST  by THOMPSON,ERBY",1
16:09,,7,,8 (+1),"GOOD 3PTR by ALDOUS,HANK",HC 7-8 (+1),,"GOOD 3PTR by ALDOUS,HANK",1
--,,,,,"ASSIST  by GUMM,GABE",,,"ASSIST  by GUMM,GABE",1
15:55,"GOOD LAYUP by MITCHELL,JUNIOR(in the paint)",9 (+1),,8,,ETBU 9-8 (-1),,"GOOD LAYUP by MITCHELL,JUNIOR(in the paint)",1
15:44,,,,,"TURNOVER  by OGLE,JOHN",,,"TURNOVER  by OGLE,JOHN",1
15:44,,,,,"FOUL  by OGLE,JOHN",,,"FOUL  by OGLE,JOHN",1
15:44,"SUB IN by DAVIS,ANTHONY",,,,,,,"SUB IN by DAVIS,ANTHONY",1
15:44,"SUB OUT by MITCHELL,JUNIOR",,,,,,,"SUB OUT by MITCHELL,JUNIOR",1
15:32,"GOOD LAYUP by HERRING,CHAD(in the paint)",11 (+3),,8,,ETBU 11-8 (-3),,"GOOD LAYUP by HERRING,CHAD(in the paint)",1
15:29,,,,,"FOUL  by OGLE,JOHN",,,"FOUL  by OGLE,JOHN",1
15:29,"GOOD FT by HERRING,CHAD",12 (+4),,8,,ETBU 12-8 (-4),,"GOOD FT by HERRING,CHAD",1
15:29,,,,,"SUB IN by CONARD,ALEC",,,"SUB IN by CONARD,ALEC",1
15:29,,,,,"SUB OUT by OGLE,JOHN",,,"SUB OUT by OGLE,JOHN",1
15:13,,,,,"MISS JUMPER by CONARD,ALEC",,,"MISS JUMPER by CONARD,ALEC",1
--,"REBOUND DEF by HERRING,CHAD",,,,,,,"REBOUND DEF by HERRING,CHAD",1
15:03,"TURNOVER  by GRAY,AHNRE",,,,,,,"TURNOVER  by GRAY,AHNRE",1
15:02,,,,,"STEAL  by VANCE,LUKE",,,"STEAL  by VANCE,LUKE",1
14:34,,,,,"MISS 3PTR by GUMM,GABE",,,"MISS 3PTR by GUMM,GABE",1
--,"REBOUND DEF by DAVIS,ANTHONY",,,,,,,"REBOUND DEF by DAVIS,ANTHONY",1
14:21,"MISS LAYUP by GRAY,AHNRE",,,,,,,"MISS LAYUP by GRAY,AHNRE",1
--,,,,,"REBOUND DEF by CONARD,ALEC",,,"REBOUND DEF by CONARD,ALEC",1
13:51,,12 (+2),,10,"GOOD JUMPER by GUMM,GABE(in the paint)",HC 12-10 (-2),,"GOOD JUMPER by GUMM,GABE(in the paint)",1
13:37,"GOOD LAYUP by HERRING,CHAD(in the paint)",14 (+4),,10,,ETBU 14-10 (-4),,"GOOD LAYUP by HERRING,CHAD(in the paint)",1
--,"ASSIST  by DAVIS,ANTHONY",,,,,,,"ASSIST  by DAVIS,ANTHONY",1
13:15,"FOUL  by HERRING,CHAD",,,,,,,"FOUL  by HERRING,CHAD",1
13:15,"SUB IN by MCCLAHAN,KERRY",,,,,,,"SUB IN by MCCLAHAN,KERRY",1
13:15,"SUB IN by FELICIA,JUSTIN",,,,,,,"SUB IN by FELICIA,JUSTIN",1
13:15,"SUB IN by DAY,TYLER",,,,,,,"SUB IN by DAY,TYLER",1
13:15,"SUB IN by ATKINS,BRET",,,,,,,"SUB IN by ATKINS,BRET",1
13:15,"SUB OUT by GRAY,AHNRE",,,,,,,"SUB OUT by GRAY,AHNRE",1
13:15,"SUB OUT by AUGUSTINE,DYLAN",,,,,,,"SUB OUT by AUGUSTINE,DYLAN",1
13:15,"SUB OUT by THOMPSON,ERBY",,,,,,,"SUB OUT by THOMPSON,ERBY",1
13:15,"SUB OUT by HERRING,CHAD",,,,,,,"SUB OUT by HERRING,CHAD",1
13:15,,,,,"SUB IN by STEELE,AARON",,,"SUB IN by STEELE,AARON",1
13:15,,,,,"SUB OUT by ALDOUS,HANK",,,"SUB OUT by ALDOUS,HANK",1
13:13,,,,,"MISS 3PTR by CONARD,ALEC",,,"MISS 3PTR by CONARD,ALEC",1
--,"REBOUND DEF by DAY,TYLER",,,,,,,"REBOUND DEF by DAY,TYLER",1
13:01,"GOOD LAYUP by ATKINS,BRET(in the paint)",16 (+6),,10,,ETBU 16-10 (-6),,"GOOD LAYUP by ATKINS,BRET(in the paint)",1
--,"ASSIST  by DAVIS,ANTHONY",,,,,,,"ASSIST  by DAVIS,ANTHONY",1
12:37,,16 (+3),,13,"GOOD 3PTR by GUMM,GABE",HC 16-13 (-3),,"GOOD 3PTR by GUMM,GABE",1
--,,,,,"ASSIST  by VANCE,LUKE",,,"ASSIST  by VANCE,LUKE",1
12:16,"MISS JUMPER by FELICIA,JUSTIN",,,,,,,"MISS JUMPER by FELICIA,JUSTIN",1
--,,,,,"REBOUND DEF by VANCE,LUKE",,,"REBOUND DEF by VANCE,LUKE",1
11:42,,,,,"TURNOVER  by CONARD,ALEC",,,"TURNOVER  by CONARD,ALEC",1
11:42,,,,,"FOUL  by CONARD,ALEC",,,"FOUL  by CONARD,ALEC",1
11:42,"SUB IN by MITCHELL,JUNIOR",,,,,,,"SUB IN by MITCHELL,JUNIOR",1
11:42,"SUB OUT by DAVIS,ANTHONY",,,,,,,"SUB OUT by DAVIS,ANTHONY",1
11:42,,,,,"SUB IN by LITTLEFIELD,GEAREN",,,"SUB IN by LITTLEFIELD,GEAREN",1
11:42,,,,,"SUB OUT by VANCE,LUKE",,,"SUB OUT by VANCE,LUKE",1
11:29,"TURNOVER  by MITCHELL,JUNIOR",,,,,,,"TURNOVER  by MITCHELL,JUNIOR",1
11:29,"FOUL  by MITCHELL,JUNIOR",,,,,,,"FOUL  by MITCHELL,JUNIOR",1
11:29,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
11:09,,16,,16,"GOOD 3PTR by CONARD,ALEC",HC 16-16 (0),,"GOOD 3PTR by CONARD,ALEC",1
--,,,,,"ASSIST  by GUMM,GABE",,,"ASSIST  by GUMM,GABE",1
10:52,"GOOD 3PTR by ATKINS,BRET",19 (+3),,16,,ETBU 19-16 (-3),,"GOOD 3PTR by ATKINS,BRET",1
--,"ASSIST  by FELICIA,JUSTIN",,,,,,,"ASSIST  by FELICIA,JUSTIN",1
10:28,,19,,19,"GOOD 3PTR by GARRETT,TRAVIS",HC 19-19 (0),,"GOOD 3PTR by GARRETT,TRAVIS",1
--,,,,,"ASSIST  by CONARD,ALEC",,,"ASSIST  by CONARD,ALEC",1
10:15,,,,,"FOUL  by LITTLEFIELD,GEAREN",,,"FOUL  by LITTLEFIELD,GEAREN",1
10:04,,,,,"FOUL  by LITTLEFIELD,GEAREN",,,"FOUL  by LITTLEFIELD,GEAREN",1
10:04,"GOOD FT by FELICIA,JUSTIN",20 (+1),,19,,ETBU 20-19 (-1),,"GOOD FT by FELICIA,JUSTIN",1
10:04,"GOOD FT by FELICIA,JUSTIN",21 (+2),,19,,ETBU 21-19 (-2),,"GOOD FT by FELICIA,JUSTIN",1
10:04,,,,,"SUB IN by VANCE,LUKE",,,"SUB IN by VANCE,LUKE",1
10:04,,,,,"SUB OUT by LITTLEFIELD,GEAREN",,,"SUB OUT by LITTLEFIELD,GEAREN",1
09:47,,,,,"MISS 3PTR by GARRETT,TRAVIS",,,"MISS 3PTR by GARRETT,TRAVIS",1
--,"REBOUND DEF by MCCLAHAN,KERRY",,,,,,,"REBOUND DEF by MCCLAHAN,KERRY",1
09:40,"MISS LAYUP by ATKINS,BRET",,,,,,,"MISS LAYUP by ATKINS,BRET",1
--,"REBOUND OFF by MCCLAHAN,KERRY",,,,,,,"REBOUND OFF by MCCLAHAN,KERRY",1
09:28,"MISS 3PTR by DAY,TYLER",,,,,,,"MISS 3PTR by DAY,TYLER",1
--,,,,,"REBOUND DEF by CONARD,ALEC",,,"REBOUND DEF by CONARD,ALEC",1
08:57,,21,,21,"GOOD JUMPER by CONARD,ALEC(in the paint)",HC 21-21 (0),,"GOOD JUMPER by CONARD,ALEC(in the paint)",1
08:37,"MISS LAYUP by DAY,TYLER",,,,,,,"MISS LAYUP by DAY,TYLER",1
08:37,,,,,"BLOCK  by STEELE,AARON",,,"BLOCK  by STEELE,AARON",1
--,,,,,"REBOUND DEF by CONARD,ALEC",,,"REBOUND DEF by CONARD,ALEC",1
08:22,,,,,"TURNOVER  by CONARD,ALEC",,,"TURNOVER  by CONARD,ALEC",1
08:19,"STEAL  by FELICIA,JUSTIN",,,,,,,"STEAL  by FELICIA,JUSTIN",1
08:15,"MISS 3PTR by FELICIA,JUSTIN",,,,,,,"MISS 3PTR by FELICIA,JUSTIN",1
--,,,,,"REBOUND DEF by VANCE,LUKE",,,"REBOUND DEF by VANCE,LUKE",1
07:52,,,,,"MISS JUMPER by VANCE,LUKE",,,"MISS JUMPER by VANCE,LUKE",1
--,"REBOUND DEF by DAY,TYLER",,,,,,,"REBOUND DEF by DAY,TYLER",1
07:38,,,,,"FOUL  by VANCE,LUKE",,,"FOUL  by VANCE,LUKE",1
07:38,"MISS FT by MCCLAHAN,KERRY",,,,,,,"MISS FT by MCCLAHAN,KERRY",1
--,"REBOUND OFF by AUGUSTINE,DYLAN",,,,,,,"REBOUND OFF by AUGUSTINE,DYLAN",1
07:38,"SUB IN by HORTON,ERIC",,,,,,,"SUB IN by HORTON,ERIC",1
07:38,"SUB IN by THOMPSON,ERBY",,,,,,,"SUB IN by THOMPSON,ERBY",1
07:38,"SUB IN by DAVIS,ANTHONY",,,,,,,"SUB IN by DAVIS,ANTHONY",1
07:38,"SUB IN by AUGUSTINE,DYLAN",,,,,,,"SUB IN by AUGUSTINE,DYLAN",1
07:38,"SUB OUT by FELICIA,JUSTIN",,,,,,,"SUB OUT by FELICIA,JUSTIN",1
07:38,"SUB OUT by DAY,TYLER",,,,,,,"SUB OUT by DAY,TYLER",1
07:38,"SUB OUT by MITCHELL,JUNIOR",,,,,,,"SUB OUT by MITCHELL,JUNIOR",1
07:38,"SUB OUT by ATKINS,BRET",,,,,,,"SUB OUT by ATKINS,BRET",1
07:38,,,,,"SUB IN by LITTLEFIELD,GEAREN",,,"SUB IN by LITTLEFIELD,GEAREN",1
07:38,,,,,"SUB IN by PARKER,BRYCE",,,"SUB IN by PARKER,BRYCE",1
07:38,,,,,"SUB IN by ALDOUS,HANK",,,"SUB IN by ALDOUS,HANK",1
07:38,,,,,"SUB OUT by GUMM,GABE",,,"SUB OUT by GUMM,GABE",1
07:38,,,,,"SUB OUT by VANCE,LUKE",,,"SUB OUT by VANCE,LUKE",1
07:38,,,,,"SUB OUT by GARRETT,TRAVIS",,,"SUB OUT by GARRETT,TRAVIS",1
07:22,"GOOD 3PTR by DAVIS,ANTHONY",24 (+3),,21,,ETBU 24-21 (-3),,"GOOD 3PTR by DAVIS,ANTHONY",1
07:04,,,,,"TURNOVER  by LITTLEFIELD,GEAREN",,,"TURNOVER  by LITTLEFIELD,GEAREN",1
07:04,"SUB IN by GRAY,AHNRE",,,,,,,"SUB IN by GRAY,AHNRE",1
07:04,"SUB OUT by MCCLAHAN,KERRY",,,,,,,"SUB OUT by MCCLAHAN,KERRY",1
06:52,"TURNOVER  by GRAY,AHNRE",,,,,,,"TURNOVER  by GRAY,AHNRE",1
06:31,,,,,"MISS JUMPER by PARKER,BRYCE",,,"MISS JUMPER by PARKER,BRYCE",1
--,"REBOUND DEF by DAVIS,ANTHONY",,,,,,,"REBOUND DEF by DAVIS,ANTHONY",1
06:22,"MISS 3PTR by HORTON,ERIC",,,,,,,"MISS 3PTR by HORTON,ERIC",1
--,,,,,"REBOUND DEF by ALDOUS,HANK",,,"REBOUND DEF by ALDOUS,HANK",1
06:11,,,,,"MISS 3PTR by CONARD,ALEC",,,"MISS 3PTR by CONARD,ALEC",1
--,"REBOUND DEF by THOMPSON,ERBY",,,,,,,"REBOUND DEF by THOMPSON,ERBY",1
06:01,,,,,"FOUL  by LITTLEFIELD,GEAREN",,,"FOUL  by LITTLEFIELD,GEAREN",1
06:01,"GOOD FT by GRAY,AHNRE",25 (+4),,21,,ETBU 25-21 (-4),,"GOOD FT by GRAY,AHNRE",1
06:01,"GOOD FT by GRAY,AHNRE",26 (+5),,21,,ETBU 26-21 (-5),,"GOOD FT by GRAY,AHNRE",1
06:01,,,,,"SUB IN by CRISWELL,SEAN",,,"SUB IN by CRISWELL,SEAN",1
06:01,,,,,"SUB OUT by LITTLEFIELD,GEAREN",,,"SUB OUT by LITTLEFIELD,GEAREN",1
05:56,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
05:41,"FOUL  by DAVIS,ANTHONY",,,,,,,"FOUL  by DAVIS,ANTHONY",1
05:40,,,,,"MISS JUMPER by ALDOUS,HANK",,,"MISS JUMPER by ALDOUS,HANK",1
--,"REBOUND DEF by AUGUSTINE,DYLAN",,,,,,,"REBOUND DEF by AUGUSTINE,DYLAN",1
05:28,"TURNOVER  by HORTON,ERIC",,,,,,,"TURNOVER  by HORTON,ERIC",1
05:28,"FOUL  by HORTON,ERIC",,,,,,,"FOUL  by HORTON,ERIC",1
05:12,,,,,"MISS 3PTR by STEELE,AARON",,,"MISS 3PTR by STEELE,AARON",1
--,"REBOUND DEF by GRAY,AHNRE",,,,,,,"REBOUND DEF by GRAY,AHNRE",1
04:58,"TURNOVER  by HORTON,ERIC",,,,,,,"TURNOVER  by HORTON,ERIC",1
04:55,,,,,"STEAL  by ALDOUS,HANK",,,"STEAL  by ALDOUS,HANK",1
04:49,"FOUL  by HORTON,ERIC",,,,,,,"FOUL  by HORTON,ERIC",1
04:49,,26 (+4),,22,"GOOD FT by STEELE,AARON",HC 26-22 (-4),,"GOOD FT by STEELE,AARON",1
04:49,,26 (+3),,23,"GOOD FT by STEELE,AARON",HC 26-23 (-3),,"GOOD FT by STEELE,AARON",1
04:49,"SUB IN by MITCHELL,JUNIOR",,,,,,,"SUB IN by MITCHELL,JUNIOR",1
04:49,"SUB IN by FELICIA,JUSTIN",,,,,,,"SUB IN by FELICIA,JUSTIN",1
04:49,"SUB IN by MCCLAHAN,KERRY",,,,,,,"SUB IN by MCCLAHAN,KERRY",1
04:49,"SUB OUT by GRAY,AHNRE",,,,,,,"SUB OUT by GRAY,AHNRE",1
04:49,"SUB OUT by HORTON,ERIC",,,,,,,"SUB OUT by HORTON,ERIC",1
04:49,"SUB OUT by DAVIS,ANTHONY",,,,,,,"SUB OUT by DAVIS,ANTHONY",1
04:49,,,,,"SUB IN by GUMM,GABE",,,"SUB IN by GUMM,GABE",1
04:49,,,,,"SUB IN by GARRETT,TRAVIS",,,"SUB IN by GARRETT,TRAVIS",1
04:49,,,,,"SUB OUT by PARKER,BRYCE",,,"SUB OUT by PARKER,BRYCE",1
04:49,,,,,"SUB OUT by STEELE,AARON",,,"SUB OUT by STEELE,AARON",1
04:39,"MISS LAYUP by MCCLAHAN,KERRY",,,,,,,"MISS LAYUP by MCCLAHAN,KERRY",1
04:39,,,,,"BLOCK  by CONARD,ALEC",,,"BLOCK  by CONARD,ALEC",1
--,"REBOUND OFF by MCCLAHAN,KERRY",,,,,,,"REBOUND OFF by MCCLAHAN,KERRY",1
04:32,"GOOD LAYUP by MCCLAHAN,KERRY(in the paint)",28 (+5),,23,,ETBU 28-23 (-5),,"GOOD LAYUP by MCCLAHAN,KERRY(in the paint)",1
04:22,,,,,"TURNOVER  by GARRETT,TRAVIS",,,"TURNOVER  by GARRETT,TRAVIS",1
04:21,"STEAL  by AUGUSTINE,DYLAN",,,,,,,"STEAL  by AUGUSTINE,DYLAN",1
04:16,"MISS LAYUP by MCCLAHAN,KERRY",,,,,,,"MISS LAYUP by MCCLAHAN,KERRY",1
--,,,,,"REBOUND DEF by ALDOUS,HANK",,,"REBOUND DEF by ALDOUS,HANK",1
04:04,,,,,"TURNOVER  by ALDOUS,HANK",,,"TURNOVER  by ALDOUS,HANK",1
04:04,"SUB IN by ATKINS,BRET",,,,,,,"SUB IN by ATKINS,BRET",1
04:04,"SUB IN by GRAY,AHNRE",,,,,,,"SUB IN by GRAY,AHNRE",1
04:04,"SUB OUT by AUGUSTINE,DYLAN",,,,,,,"SUB OUT by AUGUSTINE,DYLAN",1
04:04,"SUB OUT by MCCLAHAN,KERRY",,,,,,,"SUB OUT by MCCLAHAN,KERRY",1
03:42,,,,,"FOUL  by CONARD,ALEC",,,"FOUL  by CONARD,ALEC",1
03:42,"GOOD FT by GRAY,AHNRE",29 (+6),,23,,ETBU 29-23 (-6),,"GOOD FT by GRAY,AHNRE",1
03:42,"GOOD FT by GRAY,AHNRE",30 (+7),,23,,ETBU 30-23 (-7),,"GOOD FT by GRAY,AHNRE",1
03:42,,,,,"SUB IN by OGLE,JOHN",,,"SUB IN by OGLE,JOHN",1
03:42,,,,,"SUB IN by VANCE,LUKE",,,"SUB IN by VANCE,LUKE",1
03:42,,,,,"SUB OUT by CRISWELL,SEAN",,,"SUB OUT by CRISWELL,SEAN",1
03:42,,,,,"SUB OUT by CONARD,ALEC",,,"SUB OUT by CONARD,ALEC",1
03:14,,30 (+5),,25,"GOOD LAYUP by VANCE,LUKE(in the paint)",HC 30-25 (-5),,"GOOD LAYUP by VANCE,LUKE(in the paint)",1
--,,,,,"ASSIST  by GARRETT,TRAVIS",,,"ASSIST  by GARRETT,TRAVIS",1
02:57,"GOOD LAYUP by GRAY,AHNRE(in the paint)",32 (+7),,25,,ETBU 32-25 (-7),,"GOOD LAYUP by GRAY,AHNRE(in the paint)",1
--,"ASSIST  by MITCHELL,JUNIOR",,,,,,,"ASSIST  by MITCHELL,JUNIOR",1
02:28,,,,,"MISS LAYUP by VANCE,LUKE",,,"MISS LAYUP by VANCE,LUKE",1
--,"REBOUND DEF by GRAY,AHNRE",,,,,,,"REBOUND DEF by GRAY,AHNRE",1
02:18,"MISS 3PTR by THOMPSON,ERBY",,,,,,,"MISS 3PTR by THOMPSON,ERBY",1
--,"REBOUND OFF by MITCHELL,JUNIOR",,,,,,,"REBOUND OFF by MITCHELL,JUNIOR",1
02:10,"GOOD LAYUP by ATKINS,BRET(in the paint)",34 (+9),,25,,ETBU 34-25 (-9),,"GOOD LAYUP by ATKINS,BRET(in the paint)",1
--,"ASSIST  by THOMPSON,ERBY",,,,,,,"ASSIST  by THOMPSON,ERBY",1
02:05,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
02:05,"SUB IN by DAVIS,ANTHONY",,,,,,,"SUB IN by DAVIS,ANTHONY",1
02:05,"SUB IN by MCCLAHAN,KERRY",,,,,,,"SUB IN by MCCLAHAN,KERRY",1
02:05,"SUB OUT by GRAY,AHNRE",,,,,,,"SUB OUT by GRAY,AHNRE",1
02:05,"SUB OUT by MITCHELL,JUNIOR",,,,,,,"SUB OUT by MITCHELL,JUNIOR",1
01:49,"FOUL  by FELICIA,JUSTIN",,,,,,,"FOUL  by FELICIA,JUSTIN",1
01:49,,34 (+8),,26,"GOOD FT by ALDOUS,HANK",HC 34-26 (-8),,"GOOD FT by ALDOUS,HANK",1
01:49,,34 (+7),,27,"GOOD FT by ALDOUS,HANK",HC 34-27 (-7),,"GOOD FT by ALDOUS,HANK",1
01:45,"GOOD LAYUP by THOMPSON,ERBY(in the paint)",36 (+9),,27,,ETBU 36-27 (-9),,"GOOD LAYUP by THOMPSON,ERBY(in the paint)",1
--,"ASSIST  by DAVIS,ANTHONY",,,,,,,"ASSIST  by DAVIS,ANTHONY",1
01:07,,,,,"MISS JUMPER by OGLE,JOHN",,,"MISS JUMPER by OGLE,JOHN",1
--,,,,,"REBOUND OFF by VANCE,LUKE",,,"REBOUND OFF by VANCE,LUKE",1
01:00,"FOUL  by DAVIS,ANTHONY",,,,,,,"FOUL  by DAVIS,ANTHONY",1
01:00,,36 (+8),,28,"GOOD FT by VANCE,LUKE",HC 36-28 (-8),,"GOOD FT by VANCE,LUKE",1
01:00,,,,,"MISS FT by VANCE,LUKE",,,"MISS FT by VANCE,LUKE",1
--,"REBOUND DEF by GRAY,AHNRE",,,,,,,"REBOUND DEF by GRAY,AHNRE",1
01:00,"SUB IN by AUGUSTINE,DYLAN",,,,,,,"SUB IN by AUGUSTINE,DYLAN",1
01:00,"SUB IN by GRAY,AHNRE",,,,,,,"SUB IN by GRAY,AHNRE",1
01:00,"SUB OUT by ATKINS,BRET",,,,,,,"SUB OUT by ATKINS,BRET",1
01:00,"SUB OUT by FELICIA,JUSTIN",,,,,,,"SUB OUT by FELICIA,JUSTIN",1
00:49,"MISS 3PTR by DAVIS,ANTHONY",,,,,,,"MISS 3PTR by DAVIS,ANTHONY",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
00:37,,36 (+5),,31,"GOOD 3PTR by GUMM,GABE",HC 36-31 (-5),,"GOOD 3PTR by GUMM,GABE",1
--,,,,,"ASSIST  by ALDOUS,HANK",,,"ASSIST  by ALDOUS,HANK",1
00:16,,,,,"FOUL  by GUMM,GABE",,,"FOUL  by GUMM,GABE",1
00:16,"MISS FT by DAVIS,ANTHONY",,,,,,,"MISS FT by DAVIS,ANTHONY",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
00:16,"GOOD FT by DAVIS,ANTHONY",37 (+6),,31,,ETBU 37-31 (-6),,"GOOD FT by DAVIS,ANTHONY",1
00:01,,,,,"TURNOVER  by OGLE,JOHN",,,"TURNOVER  by OGLE,JOHN",1
00:00,"STEAL  by DAVIS,ANTHONY",,,,,,,"STEAL  by DAVIS,ANTHONY",1
19:52,"MISS LAYUP by FELICIA,JUSTIN",,,,,,,"MISS LAYUP by FELICIA,JUSTIN",2
19:52,,,,,"BLOCK  by OGLE,JOHN",,,"BLOCK  by OGLE,JOHN",2
--,"REBOUND OFF by GRAY,AHNRE",,,,,,,"REBOUND OFF by GRAY,AHNRE",2
19:50,,,,,"FOUL  by GUMM,GABE",,,"FOUL  by GUMM,GABE",2
19:50,"GOOD FT by GRAY,AHNRE",38 (+7),,31,,ETBU 38-31 (-7),,"GOOD FT by GRAY,AHNRE",2
19:50,"GOOD FT by GRAY,AHNRE",39 (+8),,31,,ETBU 39-31 (-8),,"GOOD FT by GRAY,AHNRE",2
19:19,,,,,"MISS 3PTR by GUMM,GABE",,,"MISS 3PTR by GUMM,GABE",2
--,"REBOUND DEF by THOMPSON,ERBY",,,,,,,"REBOUND DEF by THOMPSON,ERBY",2
19:12,"MISS LAYUP by MITCHELL,JUNIOR",,,,,,,"MISS LAYUP by MITCHELL,JUNIOR",2
--,,,,,"REBOUND DEF by GARRETT,TRAVIS",,,"REBOUND DEF by GARRETT,TRAVIS",2
18:53,,39 (+6),,33,"GOOD JUMPER by OGLE,JOHN",HC 39-33 (-6),,"GOOD JUMPER by OGLE,JOHN",2
--,,,,,"ASSIST  by VANCE,LUKE",,,"ASSIST  by VANCE,LUKE",2
18:35,"GOOD 3PTR by AUGUSTINE,DYLAN",42 (+9),,33,,ETBU 42-33 (-9),,"GOOD 3PTR by AUGUSTINE,DYLAN",2
18:33,,,,,"FOUL  by GARRETT,TRAVIS",,,"FOUL  by GARRETT,TRAVIS",2
18:33,"GOOD FT by AUGUSTINE,DYLAN",43 (+10),,33,,ETBU 43-33 (-10),,"GOOD FT by AUGUSTINE,DYLAN",2
18:19,,43 (+8),,35,"GOOD LAYUP by ALDOUS,HANK(in the paint)",HC 43-35 (-8),,"GOOD LAYUP by ALDOUS,HANK(in the paint)",2
18:12,"GOOD 3PTR by AUGUSTINE,DYLAN",46 (+11),,35,,ETBU 46-35 (-11),,"GOOD 3PTR by AUGUSTINE,DYLAN",2
18:03,,,,,"TURNOVER  by OGLE,JOHN",,,"TURNOVER  by OGLE,JOHN",2
18:03,"STEAL  by FELICIA,JUSTIN",,,,,,,"STEAL  by FELICIA,JUSTIN",2
