Time Remaining,DALLAS-M,Away Team Score,Play Team Indicator,Home Team Score,HC-MBK,Game Score,Team Indicator,Play,Period
16:21,"GOOD 3PTR by OLMSTED,ZAC",11 (+9),,2,,DALLAS-M 11-2 (-9),,"GOOD 3PTR by OLMSTED,ZAC",1
--,"ASSIST  by HOLLOWAY,MATT",,,,,,,"ASSIST  by HOLLOWAY,MATT",1
16:05,,,,,"MISS 3PTR by COLLIER,CRAIG",,,"MISS 3PTR by COLLIER,CRAIG",1
--,"REBOUND DEF by BOYLE,JACK",,,,,,,"REBOUND DEF by BOYLE,JACK",1
15:55,"GOOD LAYUP by BOYLE,JACK(in the paint)",13 (+11),,2,,DALLAS-M 13-2 (-11),,"GOOD LAYUP by BOYLE,JACK(in the paint)",1
15:53,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
15:53,,,,,"SUB IN by SQUIRES,CALEB",,,"SUB IN by SQUIRES,CALEB",1
15:53,,,,,"SUB IN by RYAN,JONATHAN",,,"SUB IN by RYAN,JONATHAN",1
15:53,,,,,"SUB IN by PARKS,JACKSON",,,"SUB IN by PARKS,JACKSON",1
15:53,,,,,"SUB OUT by MCMULLIN,COLTON",,,"SUB OUT by MCMULLIN,COLTON",1
15:53,,,,,"SUB OUT by COLLIER,CRAIG",,,"SUB OUT by COLLIER,CRAIG",1
15:53,,,,,"SUB OUT by WEAVER,BRADEN",,,"SUB OUT by WEAVER,BRADEN",1
15:36,,,,,"MISS LAYUP by RYAN,JONATHAN",,,"MISS LAYUP by RYAN,JONATHAN",1
--,,,,,"REBOUND OFF by BERRY,COLTEN",,,"REBOUND OFF by BERRY,COLTEN",1
15:33,,,,,"MISS 3PTR by DEITHLOFF,TYLER",,,"MISS 3PTR by DEITHLOFF,TYLER",1
--,"REBOUND DEF by HOLLOWAY,MATT",,,,,,,"REBOUND DEF by HOLLOWAY,MATT",1
15:17,"MISS LAYUP by BOYLE,JACK",,,,,,,"MISS LAYUP by BOYLE,JACK",1
--,,,,,"REBOUND DEF by DEITHLOFF,TYLER",,,"REBOUND DEF by DEITHLOFF,TYLER",1
15:08,,,,,"SUB IN by DEITHLOFF,TYLER",,,"SUB IN by DEITHLOFF,TYLER",1
15:08,,,,,"SUB OUT by KRONENBERGER,BEAU",,,"SUB OUT by KRONENBERGER,BEAU",1
15:06,,,,,"MISS 3PTR by SQUIRES,CALEB",,,"MISS 3PTR by SQUIRES,CALEB",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
14:37,"MISS 3PTR by OLMSTED,ZAC",,,,,,,"MISS 3PTR by OLMSTED,ZAC",1
--,,,,,"REBOUND DEF by SQUIRES,CALEB",,,"REBOUND DEF by SQUIRES,CALEB",1
14:13,,13 (+9),,4,"GOOD LAYUP by DEITHLOFF,TYLER(in the paint)",HC-MBK 13-4 (-9),,"GOOD LAYUP by DEITHLOFF,TYLER(in the paint)",1
13:54,"TURNOVER  by BOYLE,JACK",,,,,,,"TURNOVER  by BOYLE,JACK",1
13:52,,,,,"STEAL  by RYAN,JONATHAN",,,"STEAL  by RYAN,JONATHAN",1
13:48,,,,,"MISS LAYUP by RYAN,JONATHAN",,,"MISS LAYUP by RYAN,JONATHAN",1
--,"REBOUND DEF by TOUSSAINT,LETRELL",,,,,,,"REBOUND DEF by TOUSSAINT,LETRELL",1
13:37,"GOOD JUMPER by HOLLOWAY,MATT",15 (+11),,4,,DALLAS-M 15-4 (-11),,"GOOD JUMPER by HOLLOWAY,MATT",1
13:14,,,,,"TURNOVER  by DEITHLOFF,TYLER",,,"TURNOVER  by DEITHLOFF,TYLER",1
13:11,"STEAL  by GIUNTA,JACOB",,,,,,,"STEAL  by GIUNTA,JACOB",1
13:03,,,,,"FOUL  by RYAN,JONATHAN",,,"FOUL  by RYAN,JONATHAN",1
13:03,"MISS FT by TOUSSAINT,LETRELL",,,,,,,"MISS FT by TOUSSAINT,LETRELL",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
13:03,"GOOD FT by TOUSSAINT,LETRELL",16 (+12),,4,,DALLAS-M 16-4 (-12),,"GOOD FT by TOUSSAINT,LETRELL",1
13:03,,,,,"SUB IN by PATTON,LUKE",,,"SUB IN by PATTON,LUKE",1
13:03,,,,,"SUB OUT by BERRY,COLTEN",,,"SUB OUT by BERRY,COLTEN",1
12:53,,16 (+10),,6,"GOOD LAYUP by RYAN,JONATHAN(in the paint)",HC-MBK 16-6 (-10),,"GOOD LAYUP by RYAN,JONATHAN(in the paint)",1
12:37,,,,,"FOUL  by SQUIRES,CALEB",,,"FOUL  by SQUIRES,CALEB",1
12:37,"GOOD FT by TOUSSAINT,LETRELL",17 (+11),,6,,DALLAS-M 17-6 (-11),,"GOOD FT by TOUSSAINT,LETRELL",1
12:37,"MISS FT by TOUSSAINT,LETRELL",,,,,,,"MISS FT by TOUSSAINT,LETRELL",1
--,,,,,"REBOUND DEF by DEITHLOFF,TYLER",,,"REBOUND DEF by DEITHLOFF,TYLER",1
12:37,"SUB IN by MILES,JAXON",,,,,,,"SUB IN by MILES,JAXON",1
12:37,"SUB IN by OLMSTED,JOHNY",,,,,,,"SUB IN by OLMSTED,JOHNY",1
12:37,"SUB OUT by HOLLOWAY,MATT",,,,,,,"SUB OUT by HOLLOWAY,MATT",1
12:37,"SUB OUT by BOYLE,JACK",,,,,,,"SUB OUT by BOYLE,JACK",1
12:23,,,,,"MISS JUMPER by PARKS,JACKSON",,,"MISS JUMPER by PARKS,JACKSON",1
--,"REBOUND DEF by MILES,JAXON",,,,,,,"REBOUND DEF by MILES,JAXON",1
12:15,"GOOD LAYUP by TOUSSAINT,LETRELL(in the paint)",19 (+13),,6,,DALLAS-M 19-6 (-13),,"GOOD LAYUP by TOUSSAINT,LETRELL(in the paint)",1
--,"ASSIST  by OLMSTED,JOHNY",,,,,,,"ASSIST  by OLMSTED,JOHNY",1
11:55,,,,,"MISS LAYUP by PARKS,JACKSON",,,"MISS LAYUP by PARKS,JACKSON",1
--,"REBOUND DEF by TOUSSAINT,LETRELL",,,,,,,"REBOUND DEF by TOUSSAINT,LETRELL",1
11:42,"MISS 3PTR by OLMSTED,JOHNY",,,,,,,"MISS 3PTR by OLMSTED,JOHNY",1
--,,,,,"REBOUND DEF by SQUIRES,CALEB",,,"REBOUND DEF by SQUIRES,CALEB",1
11:29,,,,,"MISS JUMPER by RYAN,JONATHAN",,,"MISS JUMPER by RYAN,JONATHAN",1
--,"REBOUND DEF by OLMSTED,JOHNY",,,,,,,"REBOUND DEF by OLMSTED,JOHNY",1
11:08,"TURNOVER  by MILES,JAXON",,,,,,,"TURNOVER  by MILES,JAXON",1
11:06,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
11:01,,,,,"TURNOVER  by PARKS,JACKSON",,,"TURNOVER  by PARKS,JACKSON",1
10:59,"STEAL  by TOUSSAINT,LETRELL",,,,,,,"STEAL  by TOUSSAINT,LETRELL",1
10:38,"MISS 3PTR by GIUNTA,JACOB",,,,,,,"MISS 3PTR by GIUNTA,JACOB",1
--,,,,,"REBOUND DEF by RYAN,JONATHAN",,,"REBOUND DEF by RYAN,JONATHAN",1
10:18,,,,,"MISS JUMPER by DEITHLOFF,TYLER",,,"MISS JUMPER by DEITHLOFF,TYLER",1
--,,,,,"REBOUND OFF by DEITHLOFF,TYLER",,,"REBOUND OFF by DEITHLOFF,TYLER",1
10:14,,,,,"MISS LAYUP by DEITHLOFF,TYLER",,,"MISS LAYUP by DEITHLOFF,TYLER",1
--,,,,,"REBOUND OFF by DEITHLOFF,TYLER",,,"REBOUND OFF by DEITHLOFF,TYLER",1
10:11,,19 (+11),,8,"GOOD TIPIN by DEITHLOFF,TYLER(in the paint)",HC-MBK 19-8 (-11),,"GOOD TIPIN by DEITHLOFF,TYLER(in the paint)",1
09:58,"TURNOVER  by GIUNTA,JACOB",,,,,,,"TURNOVER  by GIUNTA,JACOB",1
09:56,,,,,"STEAL  by DEITHLOFF,TYLER",,,"STEAL  by DEITHLOFF,TYLER",1
09:50,,,,,"MISS LAYUP by DEITHLOFF,TYLER",,,"MISS LAYUP by DEITHLOFF,TYLER",1
--,"REBOUND DEF by GIUNTA,JACOB",,,,,,,"REBOUND DEF by GIUNTA,JACOB",1
09:22,"MISS LAYUP by TOUSSAINT,LETRELL",,,,,,,"MISS LAYUP by TOUSSAINT,LETRELL",1
--,,,,,"REBOUND DEF by PATTON,LUKE",,,"REBOUND DEF by PATTON,LUKE",1
09:04,,,,,"MISS 3PTR by DEITHLOFF,TYLER",,,"MISS 3PTR by DEITHLOFF,TYLER",1
--,"REBOUND DEF by MILES,JAXON",,,,,,,"REBOUND DEF by MILES,JAXON",1
08:58,"TURNOVER  by MILES,JAXON",,,,,,,"TURNOVER  by MILES,JAXON",1
08:57,,,,,"STEAL  by SQUIRES,CALEB",,,"STEAL  by SQUIRES,CALEB",1
08:42,,19 (+9),,10,"GOOD LAYUP by SQUIRES,CALEB(in the paint)",HC-MBK 19-10 (-9),,"GOOD LAYUP by SQUIRES,CALEB(in the paint)",1
08:42,"FOUL  by TOUSSAINT,LETRELL",,,,,,,"FOUL  by TOUSSAINT,LETRELL",1
08:42,,19 (+8),,11,"GOOD FT by SQUIRES,CALEB",HC-MBK 19-11 (-8),,"GOOD FT by SQUIRES,CALEB",1
08:42,"SUB IN by BOYLE,JACK",,,,,,,"SUB IN by BOYLE,JACK",1
08:42,"SUB IN by KENNEDY,MICHAEL",,,,,,,"SUB IN by KENNEDY,MICHAEL",1
08:42,"SUB OUT by TOUSSAINT,LETRELL",,,,,,,"SUB OUT by TOUSSAINT,LETRELL",1
08:42,"SUB OUT by GIUNTA,JACOB",,,,,,,"SUB OUT by GIUNTA,JACOB",1
08:42,,,,,"SUB IN by BERRY,COLTEN",,,"SUB IN by BERRY,COLTEN",1
08:42,,,,,"SUB IN by MCMULLIN,COLTON",,,"SUB IN by MCMULLIN,COLTON",1
08:42,,,,,"SUB IN by COLLIER,CRAIG",,,"SUB IN by COLLIER,CRAIG",1
08:42,,,,,"SUB IN by MAYO,DREW",,,"SUB IN by MAYO,DREW",1
08:42,,,,,"SUB OUT by DEITHLOFF,TYLER",,,"SUB OUT by DEITHLOFF,TYLER",1
08:42,,,,,"SUB OUT by PATTON,LUKE",,,"SUB OUT by PATTON,LUKE",1
08:42,,,,,"SUB OUT by RYAN,JONATHAN",,,"SUB OUT by RYAN,JONATHAN",1
08:42,,,,,"SUB OUT by PARKS,JACKSON",,,"SUB OUT by PARKS,JACKSON",1
08:32,"MISS JUMPER by MILES,JAXON",,,,,,,"MISS JUMPER by MILES,JAXON",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
08:32,,,,,"FOUL  by MAYO,DREW",,,"FOUL  by MAYO,DREW",1
08:26,"GOOD LAYUP by BOYLE,JACK(in the paint)",21 (+10),,11,,DALLAS-M 21-11 (-10),,"GOOD LAYUP by BOYLE,JACK(in the paint)",1
--,"ASSIST  by MILES,JAXON",,,,,,,"ASSIST  by MILES,JAXON",1
08:08,,21 (+8),,13,"GOOD JUMPER by COLLIER,CRAIG",HC-MBK 21-13 (-8),,"GOOD JUMPER by COLLIER,CRAIG",1
07:49,"GOOD 3PTR by OLMSTED,ZAC",24 (+11),,13,,DALLAS-M 24-13 (-11),,"GOOD 3PTR by OLMSTED,ZAC",1
--,"ASSIST  by OLMSTED,JOHNY",,,,,,,"ASSIST  by OLMSTED,JOHNY",1
07:26,,24 (+9),,15,"GOOD JUMPER by COLLIER,CRAIG",HC-MBK 24-15 (-9),,"GOOD JUMPER by COLLIER,CRAIG",1
07:13,"MISS JUMPER by BOYLE,JACK",,,,,,,"MISS JUMPER by BOYLE,JACK",1
--,,,,,"REBOUND DEF by COLLIER,CRAIG",,,"REBOUND DEF by COLLIER,CRAIG",1
06:50,"FOUL  by OLMSTED,ZAC",,,,,,,"FOUL  by OLMSTED,ZAC",1
06:50,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
06:50,,,,,"MISS FT by COLLIER,CRAIG",,,"MISS FT by COLLIER,CRAIG",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
06:50,,24 (+8),,16,"GOOD FT by COLLIER,CRAIG",HC-MBK 24-16 (-8),,"GOOD FT by COLLIER,CRAIG",1
06:50,"SUB IN by TOUSSAINT,LETRELL",,,,,,,"SUB IN by TOUSSAINT,LETRELL",1
06:50,"SUB OUT by KENNEDY,MICHAEL",,,,,,,"SUB OUT by KENNEDY,MICHAEL",1
06:35,"GOOD 3PTR by OLMSTED,ZAC",27 (+11),,16,,DALLAS-M 27-16 (-11),,"GOOD 3PTR by OLMSTED,ZAC",1
--,"ASSIST  by MILES,JAXON",,,,,,,"ASSIST  by MILES,JAXON",1
06:13,"FOUL  by OLMSTED,ZAC",,,,,,,"FOUL  by OLMSTED,ZAC",1
06:13,,,,,"MISS FT by BERRY,COLTEN",,,"MISS FT by BERRY,COLTEN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
06:13,,27 (+10),,17,"GOOD FT by BERRY,COLTEN",HC-MBK 27-17 (-10),,"GOOD FT by BERRY,COLTEN",1
06:13,"SUB IN by HOLLOWAY,MATT",,,,,,,"SUB IN by HOLLOWAY,MATT",1
06:13,"SUB OUT by OLMSTED,ZAC",,,,,,,"SUB OUT by OLMSTED,ZAC",1
05:49,,,,,"SUB IN by DEITHLOFF,TYLER",,,"SUB IN by DEITHLOFF,TYLER",1
05:49,,,,,"SUB OUT by MAYO,DREW",,,"SUB OUT by MAYO,DREW",1
05:46,"GOOD LAYUP by TOUSSAINT,LETRELL(in the paint)",29 (+12),,17,,DALLAS-M 29-17 (-12),,"GOOD LAYUP by TOUSSAINT,LETRELL(in the paint)",1
--,"ASSIST  by MILES,JAXON",,,,,,,"ASSIST  by MILES,JAXON",1
05:37,,,,,"TURNOVER  by COLLIER,CRAIG",,,"TURNOVER  by COLLIER,CRAIG",1
05:20,"MISS 3PTR by MILES,JAXON",,,,,,,"MISS 3PTR by MILES,JAXON",1
--,,,,,"REBOUND DEF by DEITHLOFF,TYLER",,,"REBOUND DEF by DEITHLOFF,TYLER",1
05:06,,29 (+10),,19,"GOOD JUMPER by COLLIER,CRAIG(in the paint)",HC-MBK 29-19 (-10),,"GOOD JUMPER by COLLIER,CRAIG(in the paint)",1
04:39,"GOOD JUMPER by HOLLOWAY,MATT",31 (+12),,19,,DALLAS-M 31-19 (-12),,"GOOD JUMPER by HOLLOWAY,MATT",1
--,"ASSIST  by BOYLE,JACK",,,,,,,"ASSIST  by BOYLE,JACK",1
04:17,,31 (+9),,22,"GOOD 3PTR by DEITHLOFF,TYLER",HC-MBK 31-22 (-9),,"GOOD 3PTR by DEITHLOFF,TYLER",1
--,,,,,"ASSIST  by SQUIRES,CALEB",,,"ASSIST  by SQUIRES,CALEB",1
04:00,"GOOD JUMPER by BOYLE,JACK(in the paint)",33 (+11),,22,,DALLAS-M 33-22 (-11),,"GOOD JUMPER by BOYLE,JACK(in the paint)",1
03:38,,,,,"MISS 3PTR by MCMULLIN,COLTON",,,"MISS 3PTR by MCMULLIN,COLTON",1
--,"REBOUND DEF by HOLLOWAY,MATT",,,,,,,"REBOUND DEF by HOLLOWAY,MATT",1
03:10,"MISS JUMPER by OLMSTED,JOHNY",,,,,,,"MISS JUMPER by OLMSTED,JOHNY",1
--,,,,,"REBOUND DEF by MCMULLIN,COLTON",,,"REBOUND DEF by MCMULLIN,COLTON",1
03:01,,33 (+9),,24,"GOOD LAYUP by DEITHLOFF,TYLER(in the paint)",HC-MBK 33-24 (-9),,"GOOD LAYUP by DEITHLOFF,TYLER(in the paint)",1
02:31,"MISS JUMPER by MILES,JAXON",,,,,,,"MISS JUMPER by MILES,JAXON",1
--,"REBOUND OFF by TOUSSAINT,LETRELL",,,,,,,"REBOUND OFF by TOUSSAINT,LETRELL",1
02:31,"TURNOVER  by TOUSSAINT,LETRELL",,,,,,,"TURNOVER  by TOUSSAINT,LETRELL",1
02:30,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
02:30,,,,,"SUB IN by WEAVER,BRADEN",,,"SUB IN by WEAVER,BRADEN",1
02:30,,,,,"SUB IN by RYAN,JONATHAN",,,"SUB IN by RYAN,JONATHAN",1
02:30,,,,,"SUB IN by PARKS,JACKSON",,,"SUB IN by PARKS,JACKSON",1
02:30,,,,,"SUB OUT by SQUIRES,CALEB",,,"SUB OUT by SQUIRES,CALEB",1
02:30,,,,,"SUB OUT by MCMULLIN,COLTON",,,"SUB OUT by MCMULLIN,COLTON",1
02:30,,,,,"SUB OUT by COLLIER,CRAIG",,,"SUB OUT by COLLIER,CRAIG",1
02:14,,,,,"TURNOVER  by RYAN,JONATHAN",,,"TURNOVER  by RYAN,JONATHAN",1
02:12,"STEAL  by TOUSSAINT,LETRELL",,,,,,,"STEAL  by TOUSSAINT,LETRELL",1
01:51,"GOOD LAYUP by OLMSTED,JOHNY(in the paint)",35 (+11),,24,,DALLAS-M 35-24 (-11),,"GOOD LAYUP by OLMSTED,JOHNY(in the paint)",1
01:22,,,,,"TURNOVER  by DEITHLOFF,TYLER",,,"TURNOVER  by DEITHLOFF,TYLER",1
01:21,"STEAL  by BOYLE,JACK",,,,,,,"STEAL  by BOYLE,JACK",1
01:18,,,,,"FOUL  by DEITHLOFF,TYLER",,,"FOUL  by DEITHLOFF,TYLER",1
01:18,"MISS FT by OLMSTED,JOHNY",,,,,,,"MISS FT by OLMSTED,JOHNY",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
01:18,"GOOD FT by OLMSTED,JOHNY",36 (+12),,24,,DALLAS-M 36-24 (-12),,"GOOD FT by OLMSTED,JOHNY",1
00:50,,36 (+10),,26,"GOOD LAYUP by BERRY,COLTEN(in the paint)",HC-MBK 36-26 (-10),,"GOOD LAYUP by BERRY,COLTEN(in the paint)",1
--,,,,,"ASSIST  by PARKS,JACKSON",,,"ASSIST  by PARKS,JACKSON",1
00:29,"GOOD LAYUP by BOYLE,JACK(in the paint)",38 (+12),,26,,DALLAS-M 38-26 (-12),,"GOOD LAYUP by BOYLE,JACK(in the paint)",1
00:05,"FOUL  by MILES,JAXON",,,,,,,"FOUL  by MILES,JAXON",1
00:00,,,,,"MISS LAYUP by RYAN,JONATHAN",,,"MISS LAYUP by RYAN,JONATHAN",1
00:00,"BLOCK  by TOUSSAINT,LETRELL",,,,,,,"BLOCK  by TOUSSAINT,LETRELL",1
--,"REBOUND DEF by HOLLOWAY,MATT",,,,,,,"REBOUND DEF by HOLLOWAY,MATT",1
20:00,,,,,"SUB IN by SQUIRES,CALEB",,,"SUB IN by SQUIRES,CALEB",2
20:00,,,,,"SUB IN by PARKS,JACKSON",,,"SUB IN by PARKS,JACKSON",2
20:00,,,,,"SUB IN by DEITHLOFF,TYLER",,,"SUB IN by DEITHLOFF,TYLER",2
20:00,,,,,"SUB OUT by MCMULLIN,COLTON",,,"SUB OUT by MCMULLIN,COLTON",2
20:00,,,,,"SUB OUT by KRONENBERGER,BEAU",,,"SUB OUT by KRONENBERGER,BEAU",2
20:00,,,,,"SUB OUT by WEAVER,BRADEN",,,"SUB OUT by WEAVER,BRADEN",2
19:40,,,,,"MISS 3PTR by SQUIRES,CALEB",,,"MISS 3PTR by SQUIRES,CALEB",2
--,"REBOUND DEF by OLMSTED,ZAC",,,,,,,"REBOUND DEF by OLMSTED,ZAC",2
19:29,"TURNOVER  by TOUSSAINT,LETRELL",,,,,,,"TURNOVER  by TOUSSAINT,LETRELL",2
19:28,,,,,"STEAL  by PARKS,JACKSON",,,"STEAL  by PARKS,JACKSON",2
19:20,,38 (+10),,28,"GOOD LAYUP by PARKS,JACKSON(in the paint)",HC-MBK 38-28 (-10),,"GOOD LAYUP by PARKS,JACKSON(in the paint)",2
19:03,"MISS LAYUP by BOYLE,JACK",,,,,,,"MISS LAYUP by BOYLE,JACK",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
18:57,"MISS LAYUP by BOYLE,JACK",,,,,,,"MISS LAYUP by BOYLE,JACK",2
--,,,,,"REBOUND DEF by BERRY,COLTEN",,,"REBOUND DEF by BERRY,COLTEN",2
18:45,,,,,"TURNOVER  by PARKS,JACKSON",,,"TURNOVER  by PARKS,JACKSON",2
18:44,"STEAL  by OLMSTED,ZAC",,,,,,,"STEAL  by OLMSTED,ZAC",2
18:31,"GOOD 3PTR by HOLLOWAY,MATT",41 (+13),,28,,DALLAS-M 41-28 (-13),,"GOOD 3PTR by HOLLOWAY,MATT",2
--,"ASSIST  by TOUSSAINT,LETRELL",,,,,,,"ASSIST  by TOUSSAINT,LETRELL",2
18:06,,41 (+11),,30,"GOOD LAYUP by BERRY,COLTEN(in the paint)",HC-MBK 41-30 (-11),,"GOOD LAYUP by BERRY,COLTEN(in the paint)",2
--,,,,,"ASSIST  by PARKS,JACKSON",,,"ASSIST  by PARKS,JACKSON",2
17:53,"MISS LAYUP by OLMSTED,ZAC",,,,,,,"MISS LAYUP by OLMSTED,ZAC",2
17:53,,,,,"BLOCK  by SQUIRES,CALEB",,,"BLOCK  by SQUIRES,CALEB",2
--,,,,,"REBOUND DEF by SQUIRES,CALEB",,,"REBOUND DEF by SQUIRES,CALEB",2
17:33,,41 (+9),,32,"GOOD JUMPER by COLLIER,CRAIG",HC-MBK 41-32 (-9),,"GOOD JUMPER by COLLIER,CRAIG",2
17:23,,,,,"FOUL  by DEITHLOFF,TYLER",,,"FOUL  by DEITHLOFF,TYLER",2
17:16,"TURNOVER  by GIUNTA,JACOB",,,,,,,"TURNOVER  by GIUNTA,JACOB",2
16:58,,,,,"MISS 3PTR by COLLIER,CRAIG",,,"MISS 3PTR by COLLIER,CRAIG",2
--,"REBOUND DEF by BOYLE,JACK",,,,,,,"REBOUND DEF by BOYLE,JACK",2
16:40,"MISS LAYUP by TOUSSAINT,LETRELL",,,,,,,"MISS LAYUP by TOUSSAINT,LETRELL",2
--,,,,,"REBOUND DEF by SQUIRES,CALEB",,,"REBOUND DEF by SQUIRES,CALEB",2
16:17,,,,,"TURNOVER  by PARKS,JACKSON",,,"TURNOVER  by PARKS,JACKSON",2
16:15,"STEAL  by TOUSSAINT,LETRELL",,,,,,,"STEAL  by TOUSSAINT,LETRELL",2
16:13,,,,,"FOUL  by PARKS,JACKSON",,,"FOUL  by PARKS,JACKSON",2
15:51,"MISS JUMPER by GIUNTA,JACOB",,,,,,,"MISS JUMPER by GIUNTA,JACOB",2
--,,,,,"REBOUND DEF by PARKS,JACKSON",,,"REBOUND DEF by PARKS,JACKSON",2
15:44,,,,,"TURNOVER  by PARKS,JACKSON",,,"TURNOVER  by PARKS,JACKSON",2
15:44,,,,,"FOUL  by PARKS,JACKSON",,,"FOUL  by PARKS,JACKSON",2
15:44,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
15:44,"SUB IN by OLMSTED,JOHNY",,,,,,,"SUB IN by OLMSTED,JOHNY",2
15:44,"SUB OUT by GIUNTA,JACOB",,,,,,,"SUB OUT by GIUNTA,JACOB",2
15:35,"TURNOVER  by BOYLE,JACK",,,,,,,"TURNOVER  by BOYLE,JACK",2
15:33,,,,,"STEAL  by COLLIER,CRAIG",,,"STEAL  by COLLIER,CRAIG",2
15:19,,,,,"MISS LAYUP by PARKS,JACKSON",,,"MISS LAYUP by PARKS,JACKSON",2
15:19,"BLOCK  by BOYLE,JACK",,,,,,,"BLOCK  by BOYLE,JACK",2
--,"REBOUND DEF by BOYLE,JACK",,,,,,,"REBOUND DEF by BOYLE,JACK",2
15:11,"GOOD 3PTR by OLMSTED,ZAC",44 (+12),,32,,DALLAS-M 44-32 (-12),,"GOOD 3PTR by OLMSTED,ZAC",2
--,"ASSIST  by OLMSTED,JOHNY",,,,,,,"ASSIST  by OLMSTED,JOHNY",2
14:45,,,,,"MISS JUMPER by SQUIRES,CALEB",,,"MISS JUMPER by SQUIRES,CALEB",2
--,"REBOUND DEF by TOUSSAINT,LETRELL",,,,,,,"REBOUND DEF by TOUSSAINT,LETRELL",2
14:35,"MISS JUMPER by OLMSTED,ZAC",,,,,,,"MISS JUMPER by OLMSTED,ZAC",2
--,,,,,"REBOUND DEF by BERRY,COLTEN",,,"REBOUND DEF by BERRY,COLTEN",2
14:03,,44 (+10),,34,"GOOD LAYUP by DEITHLOFF,TYLER(in the paint)",HC-MBK 44-34 (-10),,"GOOD LAYUP by DEITHLOFF,TYLER(in the paint)",2
--,,,,,"ASSIST  by BERRY,COLTEN",,,"ASSIST  by BERRY,COLTEN",2
13:45,"GOOD 3PTR by OLMSTED,ZAC",47 (+13),,34,,DALLAS-M 47-34 (-13),,"GOOD 3PTR by OLMSTED,ZAC",2
--,"ASSIST  by OLMSTED,JOHNY",,,,,,,"ASSIST  by OLMSTED,JOHNY",2
13:22,,,,,"TURNOVER  by DEITHLOFF,TYLER",,,"TURNOVER  by DEITHLOFF,TYLER",2
13:21,"STEAL  by OLMSTED,ZAC",,,,,,,"STEAL  by OLMSTED,ZAC",2
13:12,"GOOD LAYUP by BOYLE,JACK(in the paint)",49 (+15),,34,,DALLAS-M 49-34 (-15),,"GOOD LAYUP by BOYLE,JACK(in the paint)",2
13:01,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
13:01,"SUB IN by GIUNTA,JACOB",,,,,,,"SUB IN by GIUNTA,JACOB",2
