Time Remaining,Hend,Away Team Score,Play Team Indicator,Home Team Score,ETBU,Game Score,Team Indicator,Play,Period
14:22,"GOOD 3PTR by MCMULLIN,COLTON",13,,16 (+3),,Hend 13-16 (-3),,"GOOD 3PTR by MCMULLIN,COLTON",1
--,"ASSIST  by COBB,DANIEL",,,,,,,"ASSIST  by COBB,DANIEL",1
13:50,,,,,"MISS JUMPER by MOORE,DARRY",,,"MISS JUMPER by MOORE,DARRY",1
--,,,,,"REBOUND OFF by CHARLES,KEVIN",,,"REBOUND OFF by CHARLES,KEVIN",1
13:24,,13,,18 (+5),"GOOD LAYUP by CHARLES,KEVIN(in the paint)",ETBU 13-18 (-5),,"GOOD LAYUP by CHARLES,KEVIN(in the paint)",1
13:19,"GOOD 3PTR by MCMULLIN,COLTON",16,,18 (+2),,Hend 16-18 (-2),,"GOOD 3PTR by MCMULLIN,COLTON",1
--,"ASSIST  by DEITHLOFF,TYLER",,,,,,,"ASSIST  by DEITHLOFF,TYLER",1
12:57,,,,,"MISS 3PTR by WILLIAMS,JAYDEN",,,"MISS 3PTR by WILLIAMS,JAYDEN",1
--,"REBOUND DEF by COBB,DANIEL",,,,,,,"REBOUND DEF by COBB,DANIEL",1
12:48,"TURNOVER  by MCMULLIN,COLTON",,,,,,,"TURNOVER  by MCMULLIN,COLTON",1
12:48,,,,,"STEAL  by WILLIAMS,JAYDEN",,,"STEAL  by WILLIAMS,JAYDEN",1
12:44,,16,,20 (+4),"GOOD LAYUP by ELZY,RYAN(fastbreak)(in the paint)",ETBU 16-20 (-4),,"GOOD LAYUP by ELZY,RYAN(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by WILLIAMS,JAYDEN",,,"ASSIST  by WILLIAMS,JAYDEN",1
12:30,,,,,"FOUL  by CHARLES,KEVIN",,,"FOUL  by CHARLES,KEVIN",1
12:29,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
12:29,,,,,"SUB OUT by MOORE,DARRY",,,"SUB OUT by MOORE,DARRY",1
12:29,,,,,"SUB OUT by LABEAUD,KURT",,,"SUB OUT by LABEAUD,KURT",1
12:29,,,,,"SUB OUT by CHARLES,KEVIN",,,"SUB OUT by CHARLES,KEVIN",1
12:29,,,,,"SUB OUT by ELZY,RYAN",,,"SUB OUT by ELZY,RYAN",1
12:29,,,,,"SUB IN by ROBERTS,MICHAEL",,,"SUB IN by ROBERTS,MICHAEL",1
12:29,,,,,"SUB IN by STUTTS,SKYLER",,,"SUB IN by STUTTS,SKYLER",1
12:29,,,,,"SUB IN by CONNER,JADEN",,,"SUB IN by CONNER,JADEN",1
12:29,,,,,"SUB IN by MCDOWELL,MARTIN",,,"SUB IN by MCDOWELL,MARTIN",1
12:29,"SUB OUT by COBB,DANIEL",,,,,,,"SUB OUT by COBB,DANIEL",1
12:29,"SUB OUT by SQUIRES,CALEB",,,,,,,"SUB OUT by SQUIRES,CALEB",1
12:29,"SUB OUT by BERRY,COLTEN",,,,,,,"SUB OUT by BERRY,COLTEN",1
12:29,"SUB OUT by DEITHLOFF,TYLER",,,,,,,"SUB OUT by DEITHLOFF,TYLER",1
12:29,"SUB IN by RYAN,JONATHAN",,,,,,,"SUB IN by RYAN,JONATHAN",1
12:29,"SUB IN by TORRES,JADEN",,,,,,,"SUB IN by TORRES,JADEN",1
12:29,"SUB IN by MAYO,DREW",,,,,,,"SUB IN by MAYO,DREW",1
12:29,"SUB IN by PATTON,LUKE",,,,,,,"SUB IN by PATTON,LUKE",1
12:29,"MISS FT by MCMULLIN,COLTON",,,,,,,"MISS FT by MCMULLIN,COLTON",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
12:29,"MISS FT by MCMULLIN,COLTON",,,,,,,"MISS FT by MCMULLIN,COLTON",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
12:29,"MISS FT by MCMULLIN,COLTON",,,,,,,"MISS FT by MCMULLIN,COLTON",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
12:29,"FOUL  by PATTON,LUKE",,,,,,,"FOUL  by PATTON,LUKE",1
12:29,"SUB OUT by MCMULLIN,COLTON",,,,,,,"SUB OUT by MCMULLIN,COLTON",1
12:29,"SUB IN by WEAVER,BRADEN",,,,,,,"SUB IN by WEAVER,BRADEN",1
12:09,,16,,22 (+6),"GOOD LAYUP by WILLIAMS,JAYDEN(in the paint)",ETBU 16-22 (-6),,"GOOD LAYUP by WILLIAMS,JAYDEN(in the paint)",1
11:54,"MISS LAYUP by RYAN,JONATHAN(in the paint)",,,,,,,"MISS LAYUP by RYAN,JONATHAN(in the paint)",1
--,,,,,"REBOUND DEF by CONNER,JADEN",,,"REBOUND DEF by CONNER,JADEN",1
11:46,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:37,,,,,"MISS 3PTR by ROBERTS,MICHAEL",,,"MISS 3PTR by ROBERTS,MICHAEL",1
--,"REBOUND DEF by RYAN,JONATHAN",,,,,,,"REBOUND DEF by RYAN,JONATHAN",1
11:19,,,,,"FOUL  by WILLIAMS,JAYDEN",,,"FOUL  by WILLIAMS,JAYDEN",1
11:19,"GOOD FT by RYAN,JONATHAN",17,,22 (+5),,Hend 17-22 (-5),,"GOOD FT by RYAN,JONATHAN",1
11:19,,,,,"SUB OUT by WILLIAMS,JAYDEN",,,"SUB OUT by WILLIAMS,JAYDEN",1
11:19,,,,,"SUB IN by LABEAUD,KURT",,,"SUB IN by LABEAUD,KURT",1
11:19,"GOOD FT by RYAN,JONATHAN",18,,22 (+4),,Hend 18-22 (-4),,"GOOD FT by RYAN,JONATHAN",1
10:54,,,,,"MISS LAYUP by LABEAUD,KURT(in the paint)",,,"MISS LAYUP by LABEAUD,KURT(in the paint)",1
--,"REBOUND DEF by PATTON,LUKE",,,,,,,"REBOUND DEF by PATTON,LUKE",1
10:40,"TURNOVER  by WEAVER,BRADEN",,,,,,,"TURNOVER  by WEAVER,BRADEN",1
10:40,,,,,"STEAL  by ROBERTS,MICHAEL",,,"STEAL  by ROBERTS,MICHAEL",1
10:35,,18,,24 (+6),"GOOD LAYUP by MCDOWELL,MARTIN(fastbreak)(in the paint)",ETBU 18-24 (-6),,"GOOD LAYUP by MCDOWELL,MARTIN(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by LABEAUD,KURT",,,"ASSIST  by LABEAUD,KURT",1
10:35,"FOUL  by WEAVER,BRADEN",,,,,,,"FOUL  by WEAVER,BRADEN",1
10:35,,,,,"SUB OUT by ROBERTS,MICHAEL",,,"SUB OUT by ROBERTS,MICHAEL",1
10:35,,,,,"SUB IN by MOORE,DARRY",,,"SUB IN by MOORE,DARRY",1
10:35,,18,,25 (+7),"GOOD FT by MCDOWELL,MARTIN(fastbreak)",ETBU 18-25 (-7),,"GOOD FT by MCDOWELL,MARTIN(fastbreak)",1
10:28,"TURNOVER  by MAYO,DREW",,,,,,,"TURNOVER  by MAYO,DREW",1
10:28,,,,,"STEAL  by CONNER,JADEN",,,"STEAL  by CONNER,JADEN",1
10:06,,,,,"MISS JUMPER by STUTTS,SKYLER(in the paint)",,,"MISS JUMPER by STUTTS,SKYLER(in the paint)",1
--,"REBOUND DEF by MAYO,DREW",,,,,,,"REBOUND DEF by MAYO,DREW",1
10:01,"TURNOVER  by MAYO,DREW",,,,,,,"TURNOVER  by MAYO,DREW",1
10:01,,,,,"STEAL  by MCDOWELL,MARTIN",,,"STEAL  by MCDOWELL,MARTIN",1
09:59,,,,,"SUB OUT by LABEAUD,KURT",,,"SUB OUT by LABEAUD,KURT",1
09:59,,,,,"SUB IN by ELZY,RYAN",,,"SUB IN by ELZY,RYAN",1
09:59,"SUB OUT by MAYO,DREW",,,,,,,"SUB OUT by MAYO,DREW",1
09:59,"SUB OUT by PATTON,LUKE",,,,,,,"SUB OUT by PATTON,LUKE",1
09:59,"SUB IN by BERRY,COLTEN",,,,,,,"SUB IN by BERRY,COLTEN",1
09:59,"SUB IN by DEITHLOFF,TYLER",,,,,,,"SUB IN by DEITHLOFF,TYLER",1
09:46,,,,,"TURNOVER  by MCDOWELL,MARTIN",,,"TURNOVER  by MCDOWELL,MARTIN",1
09:46,"STEAL  by TORRES,JADEN",,,,,,,"STEAL  by TORRES,JADEN",1
09:40,"GOOD LAYUP by DEITHLOFF,TYLER(fastbreak)(in the paint)",20,,25 (+5),,Hend 20-25 (-5),,"GOOD LAYUP by DEITHLOFF,TYLER(fastbreak)(in the paint)",1
--,"ASSIST  by TORRES,JADEN",,,,,,,"ASSIST  by TORRES,JADEN",1
09:21,,20,,27 (+7),"GOOD LAYUP by MOORE,DARRY(in the paint)",ETBU 20-27 (-7),,"GOOD LAYUP by MOORE,DARRY(in the paint)",1
09:03,"MISS JUMPER by WEAVER,BRADEN(in the paint)",,,,,,,"MISS JUMPER by WEAVER,BRADEN(in the paint)",1
--,,,,,"REBOUND DEF by STUTTS,SKYLER",,,"REBOUND DEF by STUTTS,SKYLER",1
08:46,,20,,29 (+9),"GOOD JUMPER by MOORE,DARRY",ETBU 20-29 (-9),,"GOOD JUMPER by MOORE,DARRY",1
--,,,,,"ASSIST  by STUTTS,SKYLER",,,"ASSIST  by STUTTS,SKYLER",1
08:34,"TURNOVER  by TORRES,JADEN",,,,,,,"TURNOVER  by TORRES,JADEN",1
08:34,,,,,"STEAL  by MCDOWELL,MARTIN",,,"STEAL  by MCDOWELL,MARTIN",1
08:31,,20,,31 (+11),"GOOD DUNK by MOORE,DARRY(fastbreak)(in the paint)",ETBU 20-31 (-11),,"GOOD DUNK by MOORE,DARRY(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by MCDOWELL,MARTIN",,,"ASSIST  by MCDOWELL,MARTIN",1
08:29,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
08:29,,,,,"SUB OUT by STUTTS,SKYLER",,,"SUB OUT by STUTTS,SKYLER",1
08:29,,,,,"SUB OUT by MCDOWELL,MARTIN",,,"SUB OUT by MCDOWELL,MARTIN",1
08:29,,,,,"SUB IN by LABEAUD,KURT",,,"SUB IN by LABEAUD,KURT",1
08:29,,,,,"SUB IN by ROBERTS,MICHAEL",,,"SUB IN by ROBERTS,MICHAEL",1
08:29,"SUB OUT by RYAN,JONATHAN",,,,,,,"SUB OUT by RYAN,JONATHAN",1
08:29,"SUB OUT by WEAVER,BRADEN",,,,,,,"SUB OUT by WEAVER,BRADEN",1
08:29,"SUB OUT by TORRES,JADEN",,,,,,,"SUB OUT by TORRES,JADEN",1
08:29,"SUB IN by COBB,DANIEL",,,,,,,"SUB IN by COBB,DANIEL",1
08:29,"SUB IN by SQUIRES,CALEB",,,,,,,"SUB IN by SQUIRES,CALEB",1
08:29,"SUB IN by MCMULLIN,COLTON",,,,,,,"SUB IN by MCMULLIN,COLTON",1
08:00,"MISS JUMPER by COBB,DANIEL",,,,,,,"MISS JUMPER by COBB,DANIEL",1
--,,,,,"REBOUND DEF by ELZY,RYAN",,,"REBOUND DEF by ELZY,RYAN",1
07:50,,20,,34 (+14),"GOOD 3PTR by ROBERTS,MICHAEL",ETBU 20-34 (-14),,"GOOD 3PTR by ROBERTS,MICHAEL",1
--,,,,,"ASSIST  by LABEAUD,KURT",,,"ASSIST  by LABEAUD,KURT",1
07:32,"TURNOVER  by BERRY,COLTEN",,,,,,,"TURNOVER  by BERRY,COLTEN",1
07:32,,,,,"STEAL  by MOORE,DARRY",,,"STEAL  by MOORE,DARRY",1
07:32,"FOUL  by BERRY,COLTEN",,,,,,,"FOUL  by BERRY,COLTEN",1
07:32,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:32,,,,,"SUB OUT by LABEAUD,KURT",,,"SUB OUT by LABEAUD,KURT",1
07:32,,,,,"SUB IN by MCDOWELL,MARTIN",,,"SUB IN by MCDOWELL,MARTIN",1
07:16,,20,,37 (+17),"GOOD 3PTR by MCDOWELL,MARTIN",ETBU 20-37 (-17),,"GOOD 3PTR by MCDOWELL,MARTIN",1
--,,,,,"ASSIST  by ROBERTS,MICHAEL",,,"ASSIST  by ROBERTS,MICHAEL",1
07:10,"TURNOVER  by COBB,DANIEL",,,,,,,"TURNOVER  by COBB,DANIEL",1
07:04,,,,,"MISS JUMPER by MOORE,DARRY",,,"MISS JUMPER by MOORE,DARRY",1
--,"REBOUND DEF by DEITHLOFF,TYLER",,,,,,,"REBOUND DEF by DEITHLOFF,TYLER",1
06:43,"MISS 3PTR by MCMULLIN,COLTON",,,,,,,"MISS 3PTR by MCMULLIN,COLTON",1
--,,,,,"REBOUND DEF by CONNER,JADEN",,,"REBOUND DEF by CONNER,JADEN",1
06:16,,20,,39 (+19),"GOOD JUMPER by MCDOWELL,MARTIN",ETBU 20-39 (-19),,"GOOD JUMPER by MCDOWELL,MARTIN",1
--,,,,,"ASSIST  by ELZY,RYAN",,,"ASSIST  by ELZY,RYAN",1
06:16,"FOUL  by COBB,DANIEL",,,,,,,"FOUL  by COBB,DANIEL",1
06:16,,20,,40 (+20),"GOOD FT by MCDOWELL,MARTIN",ETBU 20-40 (-20),,"GOOD FT by MCDOWELL,MARTIN",1
06:16,"SUB OUT by COBB,DANIEL",,,,,,,"SUB OUT by COBB,DANIEL",1
06:16,"SUB IN by TORRES,JADEN",,,,,,,"SUB IN by TORRES,JADEN",1
05:56,"GOOD JUMPER by SQUIRES,CALEB",22,,40 (+18),,Hend 22-40 (-18),,"GOOD JUMPER by SQUIRES,CALEB",1
--,"ASSIST  by DEITHLOFF,TYLER",,,,,,,"ASSIST  by DEITHLOFF,TYLER",1
05:40,"FOUL  by BERRY,COLTEN",,,,,,,"FOUL  by BERRY,COLTEN",1
05:40,,22,,41 (+19),"GOOD FT by MOORE,DARRY",ETBU 22-41 (-19),,"GOOD FT by MOORE,DARRY",1
05:40,,22,,42 (+20),"GOOD FT by MOORE,DARRY",ETBU 22-42 (-20),,"GOOD FT by MOORE,DARRY",1
05:17,"MISS 3PTR by DEITHLOFF,TYLER",,,,,,,"MISS 3PTR by DEITHLOFF,TYLER",1
--,,,,,"REBOUND DEF by MCDOWELL,MARTIN",,,"REBOUND DEF by MCDOWELL,MARTIN",1
04:59,,,,,"MISS LAYUP by MOORE,DARRY(in the paint)",,,"MISS LAYUP by MOORE,DARRY(in the paint)",1
04:59,"BLOCK  by BERRY,COLTEN",,,,,,,"BLOCK  by BERRY,COLTEN",1
--,,,,,"REBOUND OFF by MOORE,DARRY",,,"REBOUND OFF by MOORE,DARRY",1
04:55,,22,,44 (+22),"GOOD LAYUP by MOORE,DARRY(in the paint)",ETBU 22-44 (-22),,"GOOD LAYUP by MOORE,DARRY(in the paint)",1
04:45,"TURNOVER  by TORRES,JADEN",,,,,,,"TURNOVER  by TORRES,JADEN",1
04:45,,,,,"STEAL  by ELZY,RYAN",,,"STEAL  by ELZY,RYAN",1
04:41,,22,,46 (+24),"GOOD LAYUP by ROBERTS,MICHAEL(fastbreak)(in the paint)",ETBU 22-46 (-24),,"GOOD LAYUP by ROBERTS,MICHAEL(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by ELZY,RYAN",,,"ASSIST  by ELZY,RYAN",1
04:24,"GOOD 3PTR by MCMULLIN,COLTON",25,,46 (+21),,Hend 25-46 (-21),,"GOOD 3PTR by MCMULLIN,COLTON",1
--,"ASSIST  by TORRES,JADEN",,,,,,,"ASSIST  by TORRES,JADEN",1
04:21,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
04:21,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
04:21,,,,,"SUB OUT by MOORE,DARRY",,,"SUB OUT by MOORE,DARRY",1
04:21,,,,,"SUB OUT by ROBERTS,MICHAEL",,,"SUB OUT by ROBERTS,MICHAEL",1
04:21,,,,,"SUB IN by LABEAUD,KURT",,,"SUB IN by LABEAUD,KURT",1
04:21,,,,,"SUB IN by STUTTS,SKYLER",,,"SUB IN by STUTTS,SKYLER",1
04:21,"SUB OUT by SQUIRES,CALEB",,,,,,,"SUB OUT by SQUIRES,CALEB",1
04:21,"SUB OUT by BERRY,COLTEN",,,,,,,"SUB OUT by BERRY,COLTEN",1
04:21,"SUB IN by RYAN,JONATHAN",,,,,,,"SUB IN by RYAN,JONATHAN",1
04:21,"SUB IN by EDWARDS,LANDON",,,,,,,"SUB IN by EDWARDS,LANDON",1
04:05,,25,,48 (+23),"GOOD JUMPER by ELZY,RYAN(in the paint)",ETBU 25-48 (-23),,"GOOD JUMPER by ELZY,RYAN(in the paint)",1
--,,,,,"ASSIST  by CONNER,JADEN",,,"ASSIST  by CONNER,JADEN",1
03:54,"TURNOVER  by TORRES,JADEN",,,,,,,"TURNOVER  by TORRES,JADEN",1
03:54,,,,,"SUB OUT by CONNER,JADEN",,,"SUB OUT by CONNER,JADEN",1
03:54,,,,,"SUB IN by NYANG,BOLL",,,"SUB IN by NYANG,BOLL",1
03:33,,,,,"MISS 3PTR by LABEAUD,KURT",,,"MISS 3PTR by LABEAUD,KURT",1
--,"REBOUND DEF by DEITHLOFF,TYLER",,,,,,,"REBOUND DEF by DEITHLOFF,TYLER",1
03:13,"MISS LAYUP by EDWARDS,LANDON(in the paint)",,,,,,,"MISS LAYUP by EDWARDS,LANDON(in the paint)",1
--,,,,,"REBOUND DEF by NYANG,BOLL",,,"REBOUND DEF by NYANG,BOLL",1
02:56,,,,,"TURNOVER  by NYANG,BOLL",,,"TURNOVER  by NYANG,BOLL",1
02:44,"MISS JUMPER by RYAN,JONATHAN(in the paint)",,,,,,,"MISS JUMPER by RYAN,JONATHAN(in the paint)",1
02:44,,,,,"BLOCK  by LABEAUD,KURT",,,"BLOCK  by LABEAUD,KURT",1
--,"REBOUND OFF by EDWARDS,LANDON",,,,,,,"REBOUND OFF by EDWARDS,LANDON",1
02:35,"MISS JUMPER by DEITHLOFF,TYLER",,,,,,,"MISS JUMPER by DEITHLOFF,TYLER",1
--,"REBOUND OFF by EDWARDS,LANDON",,,,,,,"REBOUND OFF by EDWARDS,LANDON",1
02:32,"MISS JUMPER by EDWARDS,LANDON(in the paint)",,,,,,,"MISS JUMPER by EDWARDS,LANDON(in the paint)",1
--,,,,,"REBOUND DEF by NYANG,BOLL",,,"REBOUND DEF by NYANG,BOLL",1
02:11,,25,,50 (+25),"GOOD JUMPER by LABEAUD,KURT",ETBU 25-50 (-25),,"GOOD JUMPER by LABEAUD,KURT",1
01:53,"GOOD LAYUP by TORRES,JADEN(in the paint)",27,,50 (+23),,Hend 27-50 (-23),,"GOOD LAYUP by TORRES,JADEN(in the paint)",1
01:35,,,,,"SUB OUT by LABEAUD,KURT",,,"SUB OUT by LABEAUD,KURT",1
01:35,,,,,"SUB IN by CONNER,JADEN",,,"SUB IN by CONNER,JADEN",1
01:35,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
01:24,,,,,"MISS 3PTR by MCDOWELL,MARTIN",,,"MISS 3PTR by MCDOWELL,MARTIN",1
--,"REBOUND DEF by DEITHLOFF,TYLER",,,,,,,"REBOUND DEF by DEITHLOFF,TYLER",1
01:02,"MISS JUMPER by RYAN,JONATHAN(in the paint)",,,,,,,"MISS JUMPER by RYAN,JONATHAN(in the paint)",1
--,,,,,"REBOUND DEF by STUTTS,SKYLER",,,"REBOUND DEF by STUTTS,SKYLER",1
00:41,,,,,"MISS 3PTR by CONNER,JADEN",,,"MISS 3PTR by CONNER,JADEN",1
--,"REBOUND DEF by EDWARDS,LANDON",,,,,,,"REBOUND DEF by EDWARDS,LANDON",1
00:28,"TURNOVER  by TORRES,JADEN",,,,,,,"TURNOVER  by TORRES,JADEN",1
00:28,,,,,"STEAL  by MCDOWELL,MARTIN",,,"STEAL  by MCDOWELL,MARTIN",1
00:07,,,,,"MISS JUMPER by CONNER,JADEN(in the paint)",,,"MISS JUMPER by CONNER,JADEN(in the paint)",1
--,,,,,"REBOUND OFF by NYANG,BOLL",,,"REBOUND OFF by NYANG,BOLL",1
00:03,,,,,"MISS LAYUP by NYANG,BOLL(in the paint)",,,"MISS LAYUP by NYANG,BOLL(in the paint)",1
--,"REBOUND DEF by EDWARDS,LANDON",,,,,,,"REBOUND DEF by EDWARDS,LANDON",1
20:00,,,,,"SUB OUT by STUTTS,SKYLER",,,"SUB OUT by STUTTS,SKYLER",2
20:00,,,,,"SUB OUT by CONNER,JADEN",,,"SUB OUT by CONNER,JADEN",2
20:00,,,,,"SUB OUT by MCDOWELL,MARTIN",,,"SUB OUT by MCDOWELL,MARTIN",2
20:00,,,,,"SUB OUT by NYANG,BOLL",,,"SUB OUT by NYANG,BOLL",2
20:00,,,,,"SUB IN by MOORE,DARRY",,,"SUB IN by MOORE,DARRY",2
20:00,,,,,"SUB IN by WILLIAMS,JAYDEN",,,"SUB IN by WILLIAMS,JAYDEN",2
20:00,,,,,"SUB IN by LABEAUD,KURT",,,"SUB IN by LABEAUD,KURT",2
20:00,,,,,"SUB IN by CHARLES,KEVIN",,,"SUB IN by CHARLES,KEVIN",2
20:00,"SUB OUT by RYAN,JONATHAN",,,,,,,"SUB OUT by RYAN,JONATHAN",2
20:00,"SUB OUT by TORRES,JADEN",,,,,,,"SUB OUT by TORRES,JADEN",2
20:00,"SUB OUT by EDWARDS,LANDON",,,,,,,"SUB OUT by EDWARDS,LANDON",2
20:00,"SUB IN by COBB,DANIEL",,,,,,,"SUB IN by COBB,DANIEL",2
20:00,"SUB IN by SQUIRES,CALEB",,,,,,,"SUB IN by SQUIRES,CALEB",2
20:00,"SUB IN by BERRY,COLTEN",,,,,,,"SUB IN by BERRY,COLTEN",2
19:38,,,,,"MISS LAYUP by LABEAUD,KURT(in the paint)",,,"MISS LAYUP by LABEAUD,KURT(in the paint)",2
19:38,"BLOCK  by DEITHLOFF,TYLER",,,,,,,"BLOCK  by DEITHLOFF,TYLER",2
--,"REBOUND DEF by COBB,DANIEL",,,,,,,"REBOUND DEF by COBB,DANIEL",2
19:28,"MISS JUMPER by COBB,DANIEL(in the paint)",,,,,,,"MISS JUMPER by COBB,DANIEL(in the paint)",2
--,,,,,"REBOUND DEF by ELZY,RYAN",,,"REBOUND DEF by ELZY,RYAN",2
19:11,,,,,"TURNOVER  by LABEAUD,KURT",,,"TURNOVER  by LABEAUD,KURT",2
19:11,"STEAL  by MCMULLIN,COLTON",,,,,,,"STEAL  by MCMULLIN,COLTON",2
18:54,"GOOD LAYUP by DEITHLOFF,TYLER(in the paint)",29,,50 (+21),,Hend 29-50 (-21),,"GOOD LAYUP by DEITHLOFF,TYLER(in the paint)",2
18:34,,,,,"MISS 3PTR by ELZY,RYAN",,,"MISS 3PTR by ELZY,RYAN",2
--,"REBOUND DEF by COBB,DANIEL",,,,,,,"REBOUND DEF by COBB,DANIEL",2
18:27,"TURNOVER  by COBB,DANIEL",,,,,,,"TURNOVER  by COBB,DANIEL",2
18:19,,,,,"MISS JUMPER by ELZY,RYAN",,,"MISS JUMPER by ELZY,RYAN",2
