Time Remaining,Hend,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,Period
02:35,,25,,33 (+8),"GOOD FT by LITTLE ,JAMES",Mill 25-33 (-8),,"GOOD FT by LITTLE ,JAMES",1
02:18,"MISS 3PTR by MCMULLIN,COLTON",,,,,,,"MISS 3PTR by MCMULLIN,COLTON",1
--,,,,,"REBOUND DEF by GORTON,MACK",,,"REBOUND DEF by GORTON,MACK",1
02:05,,,,,"MISS 3PTR by RUCKER,CAM",,,"MISS 3PTR by RUCKER,CAM",1
--,,,,,"REBOUND OFF by GASCA,DAKOTA",,,"REBOUND OFF by GASCA,DAKOTA",1
01:57,,,,,"MISS LAYUP by GASCA,DAKOTA(in the paint)",,,"MISS LAYUP by GASCA,DAKOTA(in the paint)",1
--,"REBOUND DEF by COBB,DANIEL",,,,,,,"REBOUND DEF by COBB,DANIEL",1
01:48,"GOOD 3PTR by MCMULLIN,COLTON",28,,33 (+5),,Hend 28-33 (-5),,"GOOD 3PTR by MCMULLIN,COLTON",1
--,"ASSIST  by COBB,DANIEL",,,,,,,"ASSIST  by COBB,DANIEL",1
01:28,,28,,35 (+7),"GOOD JUMPER by LITTLE ,JAMES",Mill 28-35 (-7),,"GOOD JUMPER by LITTLE ,JAMES",1
01:06,"GOOD LAYUP by DEITHLOFF,TYLER(in the paint)",30,,35 (+5),,Hend 30-35 (-5),,"GOOD LAYUP by DEITHLOFF,TYLER(in the paint)",1
00:46,,,,,"MISS JUMPER by LITTLE ,JAMES(in the paint)",,,"MISS JUMPER by LITTLE ,JAMES(in the paint)",1
--,"REBOUND DEF by DEITHLOFF,TYLER",,,,,,,"REBOUND DEF by DEITHLOFF,TYLER",1
00:35,"GOOD JUMPER by MCMULLIN,COLTON(in the paint)",32,,35 (+3),,Hend 32-35 (-3),,"GOOD JUMPER by MCMULLIN,COLTON(in the paint)",1
00:04,,,,,"MISS JUMPER by WATSON,DOUG",,,"MISS JUMPER by WATSON,DOUG",1
--,"REBOUND DEF by MCMULLIN,COLTON",,,,,,,"REBOUND DEF by MCMULLIN,COLTON",1
00:03,"MISS 3PTR by DEITHLOFF,TYLER",,,,,,,"MISS 3PTR by DEITHLOFF,TYLER",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
20:00,,,,,"SUB OUT by LITTLE ,JAMES",,,"SUB OUT by LITTLE ,JAMES",2
20:00,,,,,"SUB OUT by RUCKER,CAM",,,"SUB OUT by RUCKER,CAM",2
20:00,,,,,"SUB OUT by GORTON,MACK",,,"SUB OUT by GORTON,MACK",2
20:00,,,,,"SUB IN by BONNECAZE,STEWART",,,"SUB IN by BONNECAZE,STEWART",2
20:00,,,,,"SUB IN by BUSH,RODREEKAS",,,"SUB IN by BUSH,RODREEKAS",2
20:00,,,,,"SUB IN by URSIN,AARON",,,"SUB IN by URSIN,AARON",2
20:00,"SUB OUT by COBB,DANIEL",,,,,,,"SUB OUT by COBB,DANIEL",2
20:00,"SUB OUT by MCMULLIN,COLTON",,,,,,,"SUB OUT by MCMULLIN,COLTON",2
