Time Remaining,UTD,Away Team Score,Play Team Indicator,Home Team Score,Hend,Game Score,Team Indicator,Play,Period
18:16,"GOOD FT by STEVENS,HUNTER(fastbreak)",40 (+7),,33,,UTD 40-33 (-7),,"GOOD FT by STEVENS,HUNTER(fastbreak)",2
18:16,"GOOD FT by STEVENS,HUNTER(fastbreak)",41 (+8),,33,,UTD 41-33 (-8),,"GOOD FT by STEVENS,HUNTER(fastbreak)",2
18:05,,,,,"MISS 3PTR by DEITHLOFF,TYLER",,,"MISS 3PTR by DEITHLOFF,TYLER",2
--,"REBOUND DEF by POERSCHKE,KYLE",,,,,,,"REBOUND DEF by POERSCHKE,KYLE",2
17:56,"MISS JUMPER by ISAAC,WILL(in the paint)",,,,,,,"MISS JUMPER by ISAAC,WILL(in the paint)",2
--,,,,,"REBOUND DEF by DEITHLOFF,TYLER",,,"REBOUND DEF by DEITHLOFF,TYLER",2
17:42,,,,,"MISS LAYUP by COBB,DANIEL(in the paint)",,,"MISS LAYUP by COBB,DANIEL(in the paint)",2
--,,,,,"REBOUND OFF by BERRY,COLTEN",,,"REBOUND OFF by BERRY,COLTEN",2
17:37,,,,,"MISS LAYUP by BERRY,COLTEN(in the paint)",,,"MISS LAYUP by BERRY,COLTEN(in the paint)",2
--,"REBOUND DEF by KISER,LUKE",,,,,,,"REBOUND DEF by KISER,LUKE",2
17:30,"MISS 3PTR by POERSCHKE,KYLE",,,,,,,"MISS 3PTR by POERSCHKE,KYLE",2
--,"REBOUND OFF by CURTIS,JAMES",,,,,,,"REBOUND OFF by CURTIS,JAMES",2
17:16,"MISS JUMPER by ISAAC,WILL(in the paint)",,,,,,,"MISS JUMPER by ISAAC,WILL(in the paint)",2
17:16,,,,,"BLOCK  by BERRY,COLTEN",,,"BLOCK  by BERRY,COLTEN",2
--,"REBOUND OFF by POERSCHKE,KYLE",,,,,,,"REBOUND OFF by POERSCHKE,KYLE",2
17:09,"TURNOVER  by POERSCHKE,KYLE",,,,,,,"TURNOVER  by POERSCHKE,KYLE",2
17:09,,,,,"STEAL  by WEAVER,BRADEN",,,"STEAL  by WEAVER,BRADEN",2
16:57,,,,,"MISS JUMPER by DEITHLOFF,TYLER(in the paint)",,,"MISS JUMPER by DEITHLOFF,TYLER(in the paint)",2
--,"REBOUND DEF by CURTIS,JAMES",,,,,,,"REBOUND DEF by CURTIS,JAMES",2
16:36,"MISS JUMPER by CURTIS,JAMES",,,,,,,"MISS JUMPER by CURTIS,JAMES",2
--,,,,,"REBOUND DEF by COBB,DANIEL",,,"REBOUND DEF by COBB,DANIEL",2
16:24,"FOUL  by ISAAC,WILL",,,,,,,"FOUL  by ISAAC,WILL",2
16:24,,41 (+7),,34,"GOOD FT by COBB,DANIEL",Hend 41-34 (-7),,"GOOD FT by COBB,DANIEL",2
16:24,,,,,"SUB OUT by SQUIRES,CALEB",,,"SUB OUT by SQUIRES,CALEB",2
16:24,,,,,"SUB IN by RYAN,GRAYSON",,,"SUB IN by RYAN,GRAYSON",2
16:24,,41 (+6),,35,"GOOD FT by COBB,DANIEL",Hend 41-35 (-6),,"GOOD FT by COBB,DANIEL",2
16:24,,,,,"SUB OUT by COBB,DANIEL",,,"SUB OUT by COBB,DANIEL",2
16:24,,,,,"SUB IN by TORRES,JADEN",,,"SUB IN by TORRES,JADEN",2
16:10,"MISS JUMPER by POERSCHKE,KYLE(in the paint)",,,,,,,"MISS JUMPER by POERSCHKE,KYLE(in the paint)",2
--,"REBOUND OFF by ISAAC,WILL",,,,,,,"REBOUND OFF by ISAAC,WILL",2
16:05,"GOOD LAYUP by ISAAC,WILL(in the paint)",43 (+8),,35,,UTD 43-35 (-8),,"GOOD LAYUP by ISAAC,WILL(in the paint)",2
15:58,"FOUL  by ISAAC,WILL",,,,,,,"FOUL  by ISAAC,WILL",2
15:58,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
15:58,"SUB OUT by ISAAC,WILL",,,,,,,"SUB OUT by ISAAC,WILL",2
15:58,"SUB IN by PAGE,AUSTIN",,,,,,,"SUB IN by PAGE,AUSTIN",2
15:58,,43 (+7),,36,"GOOD FT by TORRES,JADEN(fastbreak)",Hend 43-36 (-7),,"GOOD FT by TORRES,JADEN(fastbreak)",2
15:58,,43 (+6),,37,"GOOD FT by TORRES,JADEN(fastbreak)",Hend 43-37 (-6),,"GOOD FT by TORRES,JADEN(fastbreak)",2
15:40,"GOOD JUMPER by STEVENS,HUNTER(in the paint)",45 (+8),,37,,UTD 45-37 (-8),,"GOOD JUMPER by STEVENS,HUNTER(in the paint)",2
15:40,,,,,"FOUL  by RYAN,GRAYSON",,,"FOUL  by RYAN,GRAYSON",2
15:40,"GOOD FT by STEVENS,HUNTER",46 (+9),,37,,UTD 46-37 (-9),,"GOOD FT by STEVENS,HUNTER",2
15:25,,46 (+7),,39,"GOOD JUMPER by DEITHLOFF,TYLER(in the paint)",Hend 46-39 (-7),,"GOOD JUMPER by DEITHLOFF,TYLER(in the paint)",2
15:10,"GOOD JUMPER by POERSCHKE,KYLE(in the paint)",48 (+9),,39,,UTD 48-39 (-9),,"GOOD JUMPER by POERSCHKE,KYLE(in the paint)",2
14:53,,48 (+6),,42,"GOOD 3PTR by WEAVER,BRADEN",Hend 48-42 (-6),,"GOOD 3PTR by WEAVER,BRADEN",2
--,,,,,"ASSIST  by BERRY,COLTEN",,,"ASSIST  by BERRY,COLTEN",2
14:31,"TURNOVER  by PAGE,AUSTIN",,,,,,,"TURNOVER  by PAGE,AUSTIN",2
14:31,,,,,"STEAL  by WEAVER,BRADEN",,,"STEAL  by WEAVER,BRADEN",2
14:24,,48 (+4),,44,"GOOD JUMPER by WEAVER,BRADEN(fastbreak)(in the paint)",Hend 48-44 (-4),,"GOOD JUMPER by WEAVER,BRADEN(fastbreak)(in the paint)",2
14:16,"GOOD JUMPER by POERSCHKE,KYLE(fastbreak)(in the paint)",50 (+6),,44,,UTD 50-44 (-6),,"GOOD JUMPER by POERSCHKE,KYLE(fastbreak)(in the paint)",2
13:53,,,,,"MISS JUMPER by WEAVER,BRADEN(in the paint)",,,"MISS JUMPER by WEAVER,BRADEN(in the paint)",2
--,"REBOUND DEF by POERSCHKE,KYLE",,,,,,,"REBOUND DEF by POERSCHKE,KYLE",2
13:39,"MISS JUMPER by CURTIS,JAMES(in the paint)",,,,,,,"MISS JUMPER by CURTIS,JAMES(in the paint)",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
13:39,,,,,"SUB OUT by WEAVER,BRADEN",,,"SUB OUT by WEAVER,BRADEN",2
13:39,,,,,"SUB OUT by DEITHLOFF,TYLER",,,"SUB OUT by DEITHLOFF,TYLER",2
13:39,,,,,"SUB IN by KRONENBERGER,BEAU",,,"SUB IN by KRONENBERGER,BEAU",2
13:39,,,,,"SUB IN by SQUIRES,CALEB",,,"SUB IN by SQUIRES,CALEB",2
13:39,"SUB OUT by KISER,LUKE",,,,,,,"SUB OUT by KISER,LUKE",2
13:39,"SUB OUT by CURTIS,JAMES",,,,,,,"SUB OUT by CURTIS,JAMES",2
13:39,"SUB IN by WADE,ROB",,,,,,,"SUB IN by WADE,ROB",2
13:39,"SUB IN by MCKENZIE,CADEN",,,,,,,"SUB IN by MCKENZIE,CADEN",2
13:32,"FOUL  by WADE,ROB",,,,,,,"FOUL  by WADE,ROB",2
13:30,,,,,"TURNOVER  by SQUIRES,CALEB",,,"TURNOVER  by SQUIRES,CALEB",2
13:01,"MISS 3PTR by POERSCHKE,KYLE",,,,,,,"MISS 3PTR by POERSCHKE,KYLE",2
--,,,,,"REBOUND DEF by KRONENBERGER,BEAU",,,"REBOUND DEF by KRONENBERGER,BEAU",2
12:48,,,,,"MISS JUMPER by BERRY,COLTEN(in the paint)",,,"MISS JUMPER by BERRY,COLTEN(in the paint)",2
--,"REBOUND DEF by WADE,ROB",,,,,,,"REBOUND DEF by WADE,ROB",2
12:48,"GOOD JUMPER by PAGE,AUSTIN(fastbreak)(in the paint)",52 (+8),,44,,UTD 52-44 (-8),,"GOOD JUMPER by PAGE,AUSTIN(fastbreak)(in the paint)",2
--,"ASSIST  by STEVENS,HUNTER",,,,,,,"ASSIST  by STEVENS,HUNTER",2
12:21,,52 (+6),,46,"GOOD JUMPER by BERRY,COLTEN(in the paint)",Hend 52-46 (-6),,"GOOD JUMPER by BERRY,COLTEN(in the paint)",2
--,,,,,"ASSIST  by TORRES,JADEN",,,"ASSIST  by TORRES,JADEN",2
12:02,"GOOD 3PTR by WADE,ROB",55 (+9),,46,,UTD 55-46 (-9),,"GOOD 3PTR by WADE,ROB",2
--,"ASSIST  by STEVENS,HUNTER",,,,,,,"ASSIST  by STEVENS,HUNTER",2
11:36,,55 (+7),,48,"GOOD DUNK by BERRY,COLTEN(in the paint)",Hend 55-48 (-7),,"GOOD DUNK by BERRY,COLTEN(in the paint)",2
--,,,,,"ASSIST  by SQUIRES,CALEB",,,"ASSIST  by SQUIRES,CALEB",2
11:34,FOUL TECH by TEAM,,,,,,,FOUL TECH by TEAM,2
11:34,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
11:34,,55 (+6),,49,"GOOD FT by SQUIRES,CALEB",Hend 55-49 (-6),,"GOOD FT by SQUIRES,CALEB",2
11:34,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
11:34,FOUL TECH by TEAM,,,,,,,FOUL TECH by TEAM,2
11:34,,55 (+5),,50,"GOOD FT by SQUIRES,CALEB",Hend 55-50 (-5),,"GOOD FT by SQUIRES,CALEB",2
11:34,,,,,"SUB OUT by SQUIRES,CALEB",,,"SUB OUT by SQUIRES,CALEB",2
11:34,,,,,"SUB OUT by RYAN,GRAYSON",,,"SUB OUT by RYAN,GRAYSON",2
11:34,,,,,"SUB OUT by TORRES,JADEN",,,"SUB OUT by TORRES,JADEN",2
11:34,,,,,"SUB IN by COBB,DANIEL",,,"SUB IN by COBB,DANIEL",2
11:34,,,,,"SUB IN by WEAVER,BRADEN",,,"SUB IN by WEAVER,BRADEN",2
11:34,,,,,"SUB IN by DEITHLOFF,TYLER",,,"SUB IN by DEITHLOFF,TYLER",2
11:34,"SUB OUT by POERSCHKE,KYLE",,,,,,,"SUB OUT by POERSCHKE,KYLE",2
11:34,"SUB IN by TAGNON,THIBAUT",,,,,,,"SUB IN by TAGNON,THIBAUT",2
11:29,"MISS 3PTR by STEVENS,HUNTER",,,,,,,"MISS 3PTR by STEVENS,HUNTER",2
--,"REBOUND OFF by MCKENZIE,CADEN",,,,,,,"REBOUND OFF by MCKENZIE,CADEN",2
11:15,,,,,"FOUL  by DEITHLOFF,TYLER",,,"FOUL  by DEITHLOFF,TYLER",2
11:15,"MISS FT by PAGE,AUSTIN",,,,,,,"MISS FT by PAGE,AUSTIN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
11:15,"GOOD FT by PAGE,AUSTIN",56 (+6),,50,,UTD 56-50 (-6),,"GOOD FT by PAGE,AUSTIN",2
11:00,,,,,"MISS JUMPER by DEITHLOFF,TYLER(in the paint)",,,"MISS JUMPER by DEITHLOFF,TYLER(in the paint)",2
--,"REBOUND DEF by PAGE,AUSTIN",,,,,,,"REBOUND DEF by PAGE,AUSTIN",2
10:55,"TURNOVER  by STEVENS,HUNTER",,,,,,,"TURNOVER  by STEVENS,HUNTER",2
10:34,"FOUL TECH by TAGNON,THIBAUT",,,,,,,"FOUL TECH by TAGNON,THIBAUT",2
10:34,,56 (+5),,51,"GOOD FT by WEAVER,BRADEN",Hend 56-51 (-5),,"GOOD FT by WEAVER,BRADEN",2
10:34,"SUB OUT by STEVENS,HUNTER",,,,,,,"SUB OUT by STEVENS,HUNTER",2
10:34,"SUB IN by DONNELLY,NICK",,,,,,,"SUB IN by DONNELLY,NICK",2
10:13,,,,,"FOUL  by KRONENBERGER,BEAU",,,"FOUL  by KRONENBERGER,BEAU",2
10:13,"MISS FT by TAGNON,THIBAUT",,,,,,,"MISS FT by TAGNON,THIBAUT",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
10:13,"MISS FT by TAGNON,THIBAUT",,,,,,,"MISS FT by TAGNON,THIBAUT",2
--,,,,,"REBOUND DEF by DEITHLOFF,TYLER",,,"REBOUND DEF by DEITHLOFF,TYLER",2
09:56,,,,,"TURNOVER  by DEITHLOFF,TYLER",,,"TURNOVER  by DEITHLOFF,TYLER",2
09:47,"GOOD JUMPER by PAGE,AUSTIN(in the paint)",58 (+7),,51,,UTD 58-51 (-7),,"GOOD JUMPER by PAGE,AUSTIN(in the paint)",2
09:46,,,,,"TURNOVER  by WEAVER,BRADEN",,,"TURNOVER  by WEAVER,BRADEN",2
09:17,"MISS JUMPER by WADE,ROB(in the paint)",,,,,,,"MISS JUMPER by WADE,ROB(in the paint)",2
--,,,,,"REBOUND DEF by BERRY,COLTEN",,,"REBOUND DEF by BERRY,COLTEN",2
09:04,,58 (+5),,53,"GOOD JUMPER by WEAVER,BRADEN(in the paint)",Hend 58-53 (-5),,"GOOD JUMPER by WEAVER,BRADEN(in the paint)",2
08:38,"MISS JUMPER by PAGE,AUSTIN(in the paint)",,,,,,,"MISS JUMPER by PAGE,AUSTIN(in the paint)",2
--,"REBOUND OFF by PAGE,AUSTIN",,,,,,,"REBOUND OFF by PAGE,AUSTIN",2
08:31,"MISS 3PTR by MCKENZIE,CADEN",,,,,,,"MISS 3PTR by MCKENZIE,CADEN",2
--,,,,,"REBOUND DEF by KRONENBERGER,BEAU",,,"REBOUND DEF by KRONENBERGER,BEAU",2
08:24,,,,,"TURNOVER  by COBB,DANIEL",,,"TURNOVER  by COBB,DANIEL",2
08:24,"STEAL  by MCKENZIE,CADEN",,,,,,,"STEAL  by MCKENZIE,CADEN",2
08:19,,,,,"FOUL  by KRONENBERGER,BEAU",,,"FOUL  by KRONENBERGER,BEAU",2
08:19,"GOOD FT by TAGNON,THIBAUT(fastbreak)",59 (+6),,53,,UTD 59-53 (-6),,"GOOD FT by TAGNON,THIBAUT(fastbreak)",2
08:19,,,,,"SUB OUT by KRONENBERGER,BEAU",,,"SUB OUT by KRONENBERGER,BEAU",2
08:19,,,,,"SUB IN by TORRES,JADEN",,,"SUB IN by TORRES,JADEN",2
08:19,"SUB OUT by WADE,ROB",,,,,,,"SUB OUT by WADE,ROB",2
08:19,"SUB IN by CURTIS,JAMES",,,,,,,"SUB IN by CURTIS,JAMES",2
08:19,"MISS FT by TAGNON,THIBAUT(fastbreak)",,,,,,,"MISS FT by TAGNON,THIBAUT(fastbreak)",2
--,,,,,"REBOUND DEF by BERRY,COLTEN",,,"REBOUND DEF by BERRY,COLTEN",2
08:04,,59 (+4),,55,"GOOD JUMPER by COBB,DANIEL(in the paint)",Hend 59-55 (-4),,"GOOD JUMPER by COBB,DANIEL(in the paint)",2
07:51,"MISS 3PTR by CURTIS,JAMES",,,,,,,"MISS 3PTR by CURTIS,JAMES",2
--,,,,,"REBOUND DEF by TORRES,JADEN",,,"REBOUND DEF by TORRES,JADEN",2
07:27,,59 (+2),,57,"GOOD JUMPER by TORRES,JADEN",Hend 59-57 (-2),,"GOOD JUMPER by TORRES,JADEN",2
--,,,,,"ASSIST  by COBB,DANIEL",,,"ASSIST  by COBB,DANIEL",2
07:04,"GOOD JUMPER by PAGE,AUSTIN(in the paint)",61 (+4),,57,,UTD 61-57 (-4),,"GOOD JUMPER by PAGE,AUSTIN(in the paint)",2
--,"ASSIST  by CURTIS,JAMES",,,,,,,"ASSIST  by CURTIS,JAMES",2
06:45,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
06:45,,,,,"SUB OUT by WEAVER,BRADEN",,,"SUB OUT by WEAVER,BRADEN",2
06:45,,,,,"SUB OUT by BERRY,COLTEN",,,"SUB OUT by BERRY,COLTEN",2
06:45,,,,,"SUB OUT by DEITHLOFF,TYLER",,,"SUB OUT by DEITHLOFF,TYLER",2
06:45,,,,,"SUB IN by SQUIRES,CALEB",,,"SUB IN by SQUIRES,CALEB",2
06:45,,,,,"SUB IN by RYAN,GRAYSON",,,"SUB IN by RYAN,GRAYSON",2
06:45,,,,,"SUB IN by PATTON,LUKE",,,"SUB IN by PATTON,LUKE",2
06:45,"SUB OUT by TAGNON,THIBAUT",,,,,,,"SUB OUT by TAGNON,THIBAUT",2
06:45,"SUB OUT by DONNELLY,NICK",,,,,,,"SUB OUT by DONNELLY,NICK",2
06:45,"SUB OUT by MCKENZIE,CADEN",,,,,,,"SUB OUT by MCKENZIE,CADEN",2
06:45,"SUB OUT by PAGE,AUSTIN",,,,,,,"SUB OUT by PAGE,AUSTIN",2
06:45,"SUB IN by KISER,LUKE",,,,,,,"SUB IN by KISER,LUKE",2
06:45,"SUB IN by STEVENS,HUNTER",,,,,,,"SUB IN by STEVENS,HUNTER",2
06:45,"SUB IN by POERSCHKE,KYLE",,,,,,,"SUB IN by POERSCHKE,KYLE",2
06:45,"SUB IN by ISAAC,WILL",,,,,,,"SUB IN by ISAAC,WILL",2
06:35,,61 (+2),,59,"GOOD JUMPER by RYAN,GRAYSON",Hend 61-59 (-2),,"GOOD JUMPER by RYAN,GRAYSON",2
06:13,"MISS JUMPER by ISAAC,WILL(in the paint)",,,,,,,"MISS JUMPER by ISAAC,WILL(in the paint)",2
--,"REBOUND OFF by ISAAC,WILL",,,,,,,"REBOUND OFF by ISAAC,WILL",2
06:06,"MISS LAYUP by ISAAC,WILL(in the paint)",,,,,,,"MISS LAYUP by ISAAC,WILL(in the paint)",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
06:01,"GOOD 3PTR by POERSCHKE,KYLE",64 (+5),,59,,UTD 64-59 (-5),,"GOOD 3PTR by POERSCHKE,KYLE",2
--,"ASSIST  by CURTIS,JAMES",,,,,,,"ASSIST  by CURTIS,JAMES",2
05:28,,,,,"TURNOVER  by RYAN,GRAYSON",,,"TURNOVER  by RYAN,GRAYSON",2
05:28,"STEAL  by CURTIS,JAMES",,,,,,,"STEAL  by CURTIS,JAMES",2
05:24,,,,,"FOUL  by COBB,DANIEL",,,"FOUL  by COBB,DANIEL",2
05:21,"MISS 3PTR by POERSCHKE,KYLE",,,,,,,"MISS 3PTR by POERSCHKE,KYLE",2
--,,,,,"REBOUND DEF by COBB,DANIEL",,,"REBOUND DEF by COBB,DANIEL",2
04:55,,64 (+3),,61,"GOOD JUMPER by COBB,DANIEL(in the paint)",Hend 64-61 (-3),,"GOOD JUMPER by COBB,DANIEL(in the paint)",2
04:41,"FOUL  by KISER,LUKE",,,,,,,"FOUL  by KISER,LUKE",2
04:41,"TURNOVER  by KISER,LUKE",,,,,,,"TURNOVER  by KISER,LUKE",2
04:17,,,,,"TURNOVER  by PATTON,LUKE",,,"TURNOVER  by PATTON,LUKE",2
04:17,"STEAL  by POERSCHKE,KYLE",,,,,,,"STEAL  by POERSCHKE,KYLE",2
04:11,"GOOD JUMPER by KISER,LUKE(fastbreak)(in the paint)",66 (+5),,61,,UTD 66-61 (-5),,"GOOD JUMPER by KISER,LUKE(fastbreak)(in the paint)",2
--,"ASSIST  by POERSCHKE,KYLE",,,,,,,"ASSIST  by POERSCHKE,KYLE",2
03:57,,,,,"MISS JUMPER by SQUIRES,CALEB(in the paint)",,,"MISS JUMPER by SQUIRES,CALEB(in the paint)",2
--,"REBOUND DEF by POERSCHKE,KYLE",,,,,,,"REBOUND DEF by POERSCHKE,KYLE",2
03:51,,,,,"FOUL  by TORRES,JADEN",,,"FOUL  by TORRES,JADEN",2
03:50,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
03:50,,,,,"SUB OUT by SQUIRES,CALEB",,,"SUB OUT by SQUIRES,CALEB",2
03:50,,,,,"SUB OUT by RYAN,GRAYSON",,,"SUB OUT by RYAN,GRAYSON",2
03:50,,,,,"SUB OUT by PATTON,LUKE",,,"SUB OUT by PATTON,LUKE",2
03:50,,,,,"SUB IN by WEAVER,BRADEN",,,"SUB IN by WEAVER,BRADEN",2
03:50,,,,,"SUB IN by BERRY,COLTEN",,,"SUB IN by BERRY,COLTEN",2
03:50,,,,,"SUB IN by DEITHLOFF,TYLER",,,"SUB IN by DEITHLOFF,TYLER",2
03:49,"MISS FT by KISER,LUKE(fastbreak)",,,,,,,"MISS FT by KISER,LUKE(fastbreak)",2
--,,,,,"REBOUND DEF by BERRY,COLTEN",,,"REBOUND DEF by BERRY,COLTEN",2
03:33,,,,,"MISS JUMPER by WEAVER,BRADEN(in the paint)",,,"MISS JUMPER by WEAVER,BRADEN(in the paint)",2
03:33,"BLOCK  by ISAAC,WILL",,,,,,,"BLOCK  by ISAAC,WILL",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
03:16,,66 (+2),,64,"GOOD 3PTR by WEAVER,BRADEN",Hend 66-64 (-2),,"GOOD 3PTR by WEAVER,BRADEN",2
--,,,,,"ASSIST  by COBB,DANIEL",,,"ASSIST  by COBB,DANIEL",2
03:01,"GOOD LAYUP by ISAAC,WILL(in the paint)",68 (+4),,64,,UTD 68-64 (-4),,"GOOD LAYUP by ISAAC,WILL(in the paint)",2
--,"ASSIST  by KISER,LUKE",,,,,,,"ASSIST  by KISER,LUKE",2
02:34,,68 (+2),,66,"GOOD JUMPER by TORRES,JADEN(in the paint)",Hend 68-66 (-2),,"GOOD JUMPER by TORRES,JADEN(in the paint)",2
02:33,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
02:16,,,,,"FOUL  by WEAVER,BRADEN",,,"FOUL  by WEAVER,BRADEN",2
02:16,"GOOD FT by POERSCHKE,KYLE",69 (+3),,66,,UTD 69-66 (-3),,"GOOD FT by POERSCHKE,KYLE",2
02:16,"MISS FT by POERSCHKE,KYLE",,,,,,,"MISS FT by POERSCHKE,KYLE",2
--,"REBOUND OFF by ISAAC,WILL",,,,,,,"REBOUND OFF by ISAAC,WILL",2
02:16,"MISS 3PTR by KISER,LUKE",,,,,,,"MISS 3PTR by KISER,LUKE",2
--,,,,,"REBOUND DEF by TORRES,JADEN",,,"REBOUND DEF by TORRES,JADEN",2
02:16,,,,,"MISS 3PTR by TORRES,JADEN",,,"MISS 3PTR by TORRES,JADEN",2
--,"REBOUND DEF by KISER,LUKE",,,,,,,"REBOUND DEF by KISER,LUKE",2
02:15,,,,,"FOUL  by DEITHLOFF,TYLER",,,"FOUL  by DEITHLOFF,TYLER",2
01:51,"GOOD FT by CURTIS,JAMES(fastbreak)",70 (+4),,66,,UTD 70-66 (-4),,"GOOD FT by CURTIS,JAMES(fastbreak)",2
01:35,"GOOD FT by CURTIS,JAMES(fastbreak)",71 (+5),,66,,UTD 71-66 (-5),,"GOOD FT by CURTIS,JAMES(fastbreak)",2
01:12,,,,,"TURNOVER  by BERRY,COLTEN",,,"TURNOVER  by BERRY,COLTEN",2
01:12,"STEAL  by ISAAC,WILL",,,,,,,"STEAL  by ISAAC,WILL",2
01:12,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
01:12,,,,,"SUB OUT by BERRY,COLTEN",,,"SUB OUT by BERRY,COLTEN",2
01:12,,,,,"SUB IN by SQUIRES,CALEB",,,"SUB IN by SQUIRES,CALEB",2
00:58,"GOOD JUMPER by POERSCHKE,KYLE(in the paint)",73 (+7),,66,,UTD 73-66 (-7),,"GOOD JUMPER by POERSCHKE,KYLE(in the paint)",2
--,"ASSIST  by KISER,LUKE",,,,,,,"ASSIST  by KISER,LUKE",2
00:56,,,,,"SUB OUT by SQUIRES,CALEB",,,"SUB OUT by SQUIRES,CALEB",2
00:56,,,,,"SUB IN by BERRY,COLTEN",,,"SUB IN by BERRY,COLTEN",2
00:46,,73 (+4),,69,"GOOD 3PTR by DEITHLOFF,TYLER",Hend 73-69 (-4),,"GOOD 3PTR by DEITHLOFF,TYLER",2
--,,,,,"ASSIST  by COBB,DANIEL",,,"ASSIST  by COBB,DANIEL",2
00:44,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:44,,,,,"SUB OUT by BERRY,COLTEN",,,"SUB OUT by BERRY,COLTEN",2
00:44,,,,,"SUB IN by SQUIRES,CALEB",,,"SUB IN by SQUIRES,CALEB",2
00:39,,,,,"FOUL  by COBB,DANIEL",,,"FOUL  by COBB,DANIEL",2
00:39,"GOOD FT by CURTIS,JAMES(fastbreak)",74 (+5),,69,,UTD 74-69 (-5),,"GOOD FT by CURTIS,JAMES(fastbreak)",2
00:39,"GOOD FT by CURTIS,JAMES(fastbreak)",75 (+6),,69,,UTD 75-69 (-6),,"GOOD FT by CURTIS,JAMES(fastbreak)",2
00:30,,,,,"MISS JUMPER by TORRES,JADEN",,,"MISS JUMPER by TORRES,JADEN",2
--,"REBOUND DEF by STEVENS,HUNTER",,,,,,,"REBOUND DEF by STEVENS,HUNTER",2
00:27,,,,,"FOUL  by TORRES,JADEN",,,"FOUL  by TORRES,JADEN",2
00:27,"GOOD FT by KISER,LUKE(fastbreak)",76 (+7),,69,,UTD 76-69 (-7),,"GOOD FT by KISER,LUKE(fastbreak)",2
00:27,"MISS FT by KISER,LUKE(fastbreak)",,,,,,,"MISS FT by KISER,LUKE(fastbreak)",2
--,,,,,"REBOUND DEF by DEITHLOFF,TYLER",,,"REBOUND DEF by DEITHLOFF,TYLER",2
00:18,,,,,"MISS JUMPER by COBB,DANIEL(in the paint)",,,"MISS JUMPER by COBB,DANIEL(in the paint)",2
--,"REBOUND DEF by ISAAC,WILL",,,,,,,"REBOUND DEF by ISAAC,WILL",2
