Time Remaining,CRRDCO,Away Team Score,Play Team Indicator,Home Team Score,HNDXCO,Game Score,Team Indicator,Play,Period
05:56,"MISS JUMPER by SMITH,JD",,,,,,,"MISS JUMPER by SMITH,JD",1
--,,,,,"REBOUND DEF by SQUIRES,CALEB",,,"REBOUND DEF by SQUIRES,CALEB",1
05:46,,,,,"MISS JUMPER by TORRES,JADEN",,,"MISS JUMPER by TORRES,JADEN",1
05:46,"BLOCK  by ROBERSON,BO",,,,,,,"BLOCK  by ROBERSON,BO",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
05:45,,,,,"SUB OUT by SQUIRES,CALEB",,,"SUB OUT by SQUIRES,CALEB",1
05:45,,,,,"SUB IN by COBB,DANIEL",,,"SUB IN by COBB,DANIEL",1
05:43,,,,,"MISS JUMPER by BERRY,COLTEN",,,"MISS JUMPER by BERRY,COLTEN",1
--,,,,,"REBOUND OFF by BERRY,COLTEN",,,"REBOUND OFF by BERRY,COLTEN",1
05:39,,23 (+9),,14,"GOOD LAYUP by BERRY,COLTEN",HNDXCO 23-14 (-9),,"GOOD LAYUP by BERRY,COLTEN",1
05:19,"GOOD JUMPER by ROBERSON,BO",25 (+11),,14,,CRRDCO 25-14 (-11),,"GOOD JUMPER by ROBERSON,BO",1
05:08,"FOUL  by JOHNSON,BJ",,,,,,,"FOUL  by JOHNSON,BJ",1
05:08,,,,,"MISS FT by DEITHLOFF,TYLER",,,"MISS FT by DEITHLOFF,TYLER",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
05:08,,25 (+10),,15,"GOOD FT by DEITHLOFF,TYLER",HNDXCO 25-15 (-10),,"GOOD FT by DEITHLOFF,TYLER",1
05:08,,,,,"SUB OUT by TORRES,JADEN",,,"SUB OUT by TORRES,JADEN",1
05:08,,,,,"SUB IN by SQUIRES,CALEB",,,"SUB IN by SQUIRES,CALEB",1
04:51,"GOOD JUMPER by ROBERSON,BO",27 (+12),,15,,CRRDCO 27-15 (-12),,"GOOD JUMPER by ROBERSON,BO",1
04:35,,,,,"TURNOVER  by DEITHLOFF,TYLER",,,"TURNOVER  by DEITHLOFF,TYLER",1
04:35,"STEAL  by ROBERSON,BO",,,,,,,"STEAL  by ROBERSON,BO",1
04:30,"TURNOVER  by ROBERSON,KE",,,,,,,"TURNOVER  by ROBERSON,KE",1
04:23,,,,,"TURNOVER  by COBB,DANIEL",,,"TURNOVER  by COBB,DANIEL",1
04:23,"STEAL  by ROBERSON,BO",,,,,,,"STEAL  by ROBERSON,BO",1
04:17,"MISS JUMPER by BOZEMAN,JAYLEN",,,,,,,"MISS JUMPER by BOZEMAN,JAYLEN",1
--,,,,,"REBOUND DEF by DEITHLOFF,TYLER",,,"REBOUND DEF by DEITHLOFF,TYLER",1
04:10,,,,,"MISS JUMPER by SQUIRES,CALEB",,,"MISS JUMPER by SQUIRES,CALEB",1
--,,,,,"REBOUND OFF by COBB,DANIEL",,,"REBOUND OFF by COBB,DANIEL",1
04:05,,,,,"MISS LAYUP by COBB,DANIEL",,,"MISS LAYUP by COBB,DANIEL",1
04:05,"BLOCK  by JOHNSON,BJ",,,,,,,"BLOCK  by JOHNSON,BJ",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
03:59,,,,,"MISS 3PTR by COBB,DANIEL",,,"MISS 3PTR by COBB,DANIEL",1
--,"REBOUND DEF by JOHNSON,BJ",,,,,,,"REBOUND DEF by JOHNSON,BJ",1
03:47,"MISS 3PTR by ROBERSON,KE",,,,,,,"MISS 3PTR by ROBERSON,KE",1
--,,,,,"REBOUND DEF by SQUIRES,CALEB",,,"REBOUND DEF by SQUIRES,CALEB",1
03:33,,,,,"TURNOVER  by MCMULLIN,COLTON",,,"TURNOVER  by MCMULLIN,COLTON",1
03:33,"STEAL  by BOZEMAN,JAYLEN",,,,,,,"STEAL  by BOZEMAN,JAYLEN",1
03:31,,,,,"FOUL  by COBB,DANIEL",,,"FOUL  by COBB,DANIEL",1
03:31,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:31,"SUB OUT by BOZEMAN,JAYLEN",,,,,,,"SUB OUT by BOZEMAN,JAYLEN",1
03:31,"SUB IN by MERO,ALEX",,,,,,,"SUB IN by MERO,ALEX",1
03:31,,,,,"SUB OUT by BERRY,COLTEN",,,"SUB OUT by BERRY,COLTEN",1
03:31,,,,,"SUB IN by SCIFES,COLIN",,,"SUB IN by SCIFES,COLIN",1
03:22,"MISS JUMPER by JOHNSON,BJ",,,,,,,"MISS JUMPER by JOHNSON,BJ",1
--,,,,,"REBOUND DEF by SCIFES,COLIN",,,"REBOUND DEF by SCIFES,COLIN",1
02:56,,27 (+10),,17,"GOOD LAYUP by DEITHLOFF,TYLER",HNDXCO 27-17 (-10),,"GOOD LAYUP by DEITHLOFF,TYLER",1
02:37,"GOOD LAYUP by ROBERSON,BO",29 (+12),,17,,CRRDCO 29-17 (-12),,"GOOD LAYUP by ROBERSON,BO",1
02:18,,,,,"TURNOVER  by MCMULLIN,COLTON",,,"TURNOVER  by MCMULLIN,COLTON",1
02:18,"STEAL  by MERO,ALEX",,,,,,,"STEAL  by MERO,ALEX",1
02:09,"MISS JUMPER by ROBERSON,BO",,,,,,,"MISS JUMPER by ROBERSON,BO",1
--,,,,,"REBOUND DEF by SCIFES,COLIN",,,"REBOUND DEF by SCIFES,COLIN",1
02:05,"FOUL  by ROBERSON,KE",,,,,,,"FOUL  by ROBERSON,KE",1
02:05,,,,,"SUB OUT by MCMULLIN,COLTON",,,"SUB OUT by MCMULLIN,COLTON",1
02:05,,,,,"SUB IN by WEAVER,BRADEN",,,"SUB IN by WEAVER,BRADEN",1
02:05,"SUB OUT by ROBERSON,KE",,,,,,,"SUB OUT by ROBERSON,KE",1
02:05,"SUB IN by ROBINSON,HAYDEN",,,,,,,"SUB IN by ROBINSON,HAYDEN",1
01:52,,,,,"MISS LAYUP by SQUIRES,CALEB",,,"MISS LAYUP by SQUIRES,CALEB",1
--,,,,,"REBOUND OFF by WEAVER,BRADEN",,,"REBOUND OFF by WEAVER,BRADEN",1
01:45,,29 (+10),,19,"GOOD LAYUP by SCIFES,COLIN",HNDXCO 29-19 (-10),,"GOOD LAYUP by SCIFES,COLIN",1
01:32,"GOOD 3PTR by JOHNSON,BJ",32 (+13),,19,,CRRDCO 32-19 (-13),,"GOOD 3PTR by JOHNSON,BJ",1
--,"ASSIST  by ROBERSON,BO",,,,,,,"ASSIST  by ROBERSON,BO",1
01:17,,,,,"MISS 3PTR by COBB,DANIEL",,,"MISS 3PTR by COBB,DANIEL",1
--,"REBOUND DEF by ROBINSON,HAYDEN",,,,,,,"REBOUND DEF by ROBINSON,HAYDEN",1
00:58,"TURNOVER  by JOHNSON,BJ",,,,,,,"TURNOVER  by JOHNSON,BJ",1
00:58,,,,,"STEAL  by SQUIRES,CALEB",,,"STEAL  by SQUIRES,CALEB",1
00:49,,32 (+10),,22,"GOOD 3PTR by DEITHLOFF,TYLER",HNDXCO 32-22 (-10),,"GOOD 3PTR by DEITHLOFF,TYLER",1
--,,,,,"ASSIST  by COBB,DANIEL",,,"ASSIST  by COBB,DANIEL",1
00:47,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:36,"TURNOVER  by JOHNSON,BJ",,,,,,,"TURNOVER  by JOHNSON,BJ",1
00:12,,,,,"TURNOVER  by DEITHLOFF,TYLER",,,"TURNOVER  by DEITHLOFF,TYLER",1
00:03,,,,,"FOUL  by SCIFES,COLIN",,,"FOUL  by SCIFES,COLIN",1
00:01,"MISS 3PTR by ROBERSON,BO",,,,,,,"MISS 3PTR by ROBERSON,BO",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
20:00,,,,,"SUB OUT by COBB,DANIEL",,,"SUB OUT by COBB,DANIEL",2
20:00,,,,,"SUB OUT by WEAVER,BRADEN",,,"SUB OUT by WEAVER,BRADEN",2
20:00,,,,,"SUB OUT by SCIFES,COLIN",,,"SUB OUT by SCIFES,COLIN",2
20:00,,,,,"SUB IN by TORRES,JADEN",,,"SUB IN by TORRES,JADEN",2
20:00,,,,,"SUB IN by MCMULLIN,COLTON",,,"SUB IN by MCMULLIN,COLTON",2
20:00,,,,,"SUB IN by BERRY,COLTEN",,,"SUB IN by BERRY,COLTEN",2
20:00,"SUB OUT by MERO,ALEX",,,,,,,"SUB OUT by MERO,ALEX",2
20:00,"SUB OUT by ROBINSON,HAYDEN",,,,,,,"SUB OUT by ROBINSON,HAYDEN",2
20:00,"SUB IN by COUSINS,BRAXTON",,,,,,,"SUB IN by COUSINS,BRAXTON",2
20:00,"SUB IN by BOZEMAN,JAYLEN",,,,,,,"SUB IN by BOZEMAN,JAYLEN",2
19:37,"MISS JUMPER by ROBERSON,BO",,,,,,,"MISS JUMPER by ROBERSON,BO",2
--,,,,,"REBOUND DEF by DEITHLOFF,TYLER",,,"REBOUND DEF by DEITHLOFF,TYLER",2
19:24,,,,,"TURNOVER  by SQUIRES,CALEB",,,"TURNOVER  by SQUIRES,CALEB",2
19:24,"STEAL  by COUSINS,BRAXTON",,,,,,,"STEAL  by COUSINS,BRAXTON",2
19:17,"MISS JUMPER by ROBERSON,BO",,,,,,,"MISS JUMPER by ROBERSON,BO",2
--,,,,,"REBOUND DEF by TORRES,JADEN",,,"REBOUND DEF by TORRES,JADEN",2
19:07,,,,,"TURNOVER  by SQUIRES,CALEB",,,"TURNOVER  by SQUIRES,CALEB",2
19:07,,,,,"SUB OUT by SQUIRES,CALEB",,,"SUB OUT by SQUIRES,CALEB",2
19:07,,,,,"SUB IN by COBB,DANIEL",,,"SUB IN by COBB,DANIEL",2
18:48,"GOOD JUMPER by BOZEMAN,JAYLEN",34 (+12),,22,,CRRDCO 34-22 (-12),,"GOOD JUMPER by BOZEMAN,JAYLEN",2
18:30,,,,,"TURNOVER  by MCMULLIN,COLTON",,,"TURNOVER  by MCMULLIN,COLTON",2
18:30,"STEAL  by SMITH,JD",,,,,,,"STEAL  by SMITH,JD",2
18:22,"GOOD JUMPER by COUSINS,BRAXTON(fastbreak)",36 (+14),,22,,CRRDCO 36-22 (-14),,"GOOD JUMPER by COUSINS,BRAXTON(fastbreak)",2
18:22,,,,,"FOUL  by BERRY,COLTEN",,,"FOUL  by BERRY,COLTEN",2
18:22,"GOOD FT by COUSINS,BRAXTON(fastbreak)",37 (+15),,22,,CRRDCO 37-22 (-15),,"GOOD FT by COUSINS,BRAXTON(fastbreak)",2
17:55,,37 (+13),,24,"GOOD LAYUP by MCMULLIN,COLTON",HNDXCO 37-24 (-13),,"GOOD LAYUP by MCMULLIN,COLTON",2
--,,,,,"ASSIST  by COBB,DANIEL",,,"ASSIST  by COBB,DANIEL",2
17:34,"MISS JUMPER by COUSINS,BRAXTON",,,,,,,"MISS JUMPER by COUSINS,BRAXTON",2
--,"REBOUND OFF by JOHNSON,BJ",,,,,,,"REBOUND OFF by JOHNSON,BJ",2
17:16,"MISS LAYUP by COUSINS,BRAXTON",,,,,,,"MISS LAYUP by COUSINS,BRAXTON",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
17:10,"TURNOVER  by SMITH,JD",,,,,,,"TURNOVER  by SMITH,JD",2
17:10,,,,,"STEAL  by DEITHLOFF,TYLER",,,"STEAL  by DEITHLOFF,TYLER",2
16:59,,,,,"MISS JUMPER by DEITHLOFF,TYLER",,,"MISS JUMPER by DEITHLOFF,TYLER",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
16:43,"GOOD LAYUP by ROBERSON,BO",39 (+15),,24,,CRRDCO 39-24 (-15),,"GOOD LAYUP by ROBERSON,BO",2
--,"ASSIST  by BOZEMAN,JAYLEN",,,,,,,"ASSIST  by BOZEMAN,JAYLEN",2
16:43,,,,,"FOUL  by BERRY,COLTEN",,,"FOUL  by BERRY,COLTEN",2
16:43,"MISS FT by ROBERSON,BO",,,,,,,"MISS FT by ROBERSON,BO",2
--,,,,,"REBOUND DEF by TORRES,JADEN",,,"REBOUND DEF by TORRES,JADEN",2
16:21,"FOUL  by COUSINS,BRAXTON",,,,,,,"FOUL  by COUSINS,BRAXTON",2
16:21,,,,,"MISS FT by DEITHLOFF,TYLER",,,"MISS FT by DEITHLOFF,TYLER",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
16:21,,39 (+14),,25,"GOOD FT by DEITHLOFF,TYLER",HNDXCO 39-25 (-14),,"GOOD FT by DEITHLOFF,TYLER",2
16:08,,,,,"FOUL  by COBB,DANIEL",,,"FOUL  by COBB,DANIEL",2
16:08,"GOOD FT by BOZEMAN,JAYLEN",40 (+15),,25,,CRRDCO 40-25 (-15),,"GOOD FT by BOZEMAN,JAYLEN",2
16:08,"GOOD FT by BOZEMAN,JAYLEN",41 (+16),,25,,CRRDCO 41-25 (-16),,"GOOD FT by BOZEMAN,JAYLEN",2
