Time Remaining,UO,Away Team Score,Play Team Indicator,Home Team Score,Hend,Game Score,Team Indicator,Play,Period
18:45,"TURNOVER  by ROELKE,KAMREN",,,,,,,"TURNOVER  by ROELKE,KAMREN",2
18:45,,,,,"STEAL  by BERRY,COLTEN",,,"STEAL  by BERRY,COLTEN",2
18:45,,37,,50 (+13),"GOOD JUMPER by COBB,DANIEL(fastbreak)(in the paint)",Hend 37-50 (+13),,"GOOD JUMPER by COBB,DANIEL(fastbreak)(in the paint)",2
18:22,"GOOD JUMPER by ROELKE,KAMREN(in the paint)",39,,50 (+11),,UO 39-50 (+11),,"GOOD JUMPER by ROELKE,KAMREN(in the paint)",2
--,"ASSIST  by JACKSON,TYLAN",,,,,,,"ASSIST  by JACKSON,TYLAN",2
18:00,,,,,"MISS JUMPER by WEAVER,BRADEN(in the paint)",,,"MISS JUMPER by WEAVER,BRADEN(in the paint)",2
--,,,,,"REBOUND OFF by WEAVER,BRADEN",,,"REBOUND OFF by WEAVER,BRADEN",2
17:51,,,,,"TURNOVER  by DEITHLOFF,TYLER",,,"TURNOVER  by DEITHLOFF,TYLER",2
17:51,"STEAL  by UKPE,JOSH",,,,,,,"STEAL  by UKPE,JOSH",2
17:42,"GOOD 3PTR by JACKSON,TYLAN",42,,50 (+8),,UO 42-50 (+8),,"GOOD 3PTR by JACKSON,TYLAN",2
--,"ASSIST  by UKPE,JOSH",,,,,,,"ASSIST  by UKPE,JOSH",2
17:27,"FOUL  by ROELKE,KAMREN",,,,,,,"FOUL  by ROELKE,KAMREN",2
17:24,"FOUL  by JACKSON,TYLAN",,,,,,,"FOUL  by JACKSON,TYLAN",2
17:24,,42,,51 (+9),"GOOD FT by DEITHLOFF,TYLER",Hend 42-51 (+9),,"GOOD FT by DEITHLOFF,TYLER",2
17:24,,42,,52 (+10),"GOOD FT by DEITHLOFF,TYLER",Hend 42-52 (+10),,"GOOD FT by DEITHLOFF,TYLER",2
17:24,,,,,"MISS FT by DEITHLOFF,TYLER",,,"MISS FT by DEITHLOFF,TYLER",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
17:24,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,2
17:10,"MISS JUMPER by JACKSON,TYLAN",,,,,,,"MISS JUMPER by JACKSON,TYLAN",2
17:10,,,,,"BLOCK  by DEITHLOFF,TYLER",,,"BLOCK  by DEITHLOFF,TYLER",2
--,"REBOUND OFF by JACKSON,TYLAN",,,,,,,"REBOUND OFF by JACKSON,TYLAN",2
17:02,"GOOD JUMPER by NIX,GRAYSON(in the paint)",44,,52 (+8),,UO 44-52 (+8),,"GOOD JUMPER by NIX,GRAYSON(in the paint)",2
16:42,,,,,"MISS 3PTR by SQUIRES,CALEB",,,"MISS 3PTR by SQUIRES,CALEB",2
--,,,,,"REBOUND OFF by WEAVER,BRADEN",,,"REBOUND OFF by WEAVER,BRADEN",2
16:42,"FOUL  by NIX,GRAYSON",,,,,,,"FOUL  by NIX,GRAYSON",2
16:28,,,,,"MISS JUMPER by BERRY,COLTEN(in the paint)",,,"MISS JUMPER by BERRY,COLTEN(in the paint)",2
--,,,,,"REBOUND OFF by WEAVER,BRADEN",,,"REBOUND OFF by WEAVER,BRADEN",2
16:21,,,,,"MISS 3PTR by WEAVER,BRADEN",,,"MISS 3PTR by WEAVER,BRADEN",2
--,,,,,"REBOUND OFF by DEITHLOFF,TYLER",,,"REBOUND OFF by DEITHLOFF,TYLER",2
16:03,,,,,"TURNOVER  by DEITHLOFF,TYLER",,,"TURNOVER  by DEITHLOFF,TYLER",2
16:03,,,,,"SUB OUT by DEITHLOFF,TYLER",,,"SUB OUT by DEITHLOFF,TYLER",2
16:03,,,,,"SUB OUT by COBB,DANIEL",,,"SUB OUT by COBB,DANIEL",2
16:03,,,,,"SUB IN by KRONENBERGER,BEAU",,,"SUB IN by KRONENBERGER,BEAU",2
16:03,,,,,"SUB IN by TORRES,JADEN",,,"SUB IN by TORRES,JADEN",2
15:47,"GOOD 3PTR by LOPEZ,ADAM",47,,52 (+5),,UO 47-52 (+5),,"GOOD 3PTR by LOPEZ,ADAM",2
--,"ASSIST  by UKPE,JOSH",,,,,,,"ASSIST  by UKPE,JOSH",2
15:22,,,,,"MISS JUMPER by SQUIRES,CALEB(in the paint)",,,"MISS JUMPER by SQUIRES,CALEB(in the paint)",2
--,"REBOUND DEF by UKPE,JOSH",,,,,,,"REBOUND DEF by UKPE,JOSH",2
15:18,,,,,"FOUL  by SQUIRES,CALEB",,,"FOUL  by SQUIRES,CALEB",2
15:18,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
15:18,"GOOD FT by UKPE,JOSH",48,,52 (+4),,UO 48-52 (+4),,"GOOD FT by UKPE,JOSH",2
15:18,"GOOD FT by UKPE,JOSH",49,,52 (+3),,UO 49-52 (+3),,"GOOD FT by UKPE,JOSH",2
15:18,,,,,"SUB OUT by SQUIRES,CALEB",,,"SUB OUT by SQUIRES,CALEB",2
15:18,,,,,"SUB OUT by BERRY,COLTEN",,,"SUB OUT by BERRY,COLTEN",2
15:18,,,,,"SUB IN by MAYO,DREW",,,"SUB IN by MAYO,DREW",2
15:18,,,,,"SUB IN by PATTON,LUKE",,,"SUB IN by PATTON,LUKE",2
15:18,"SUB OUT by ROELKE,KAMREN",,,,,,,"SUB OUT by ROELKE,KAMREN",2
15:18,"SUB OUT by LOPEZ,ADAM",,,,,,,"SUB OUT by LOPEZ,ADAM",2
15:18,"SUB IN by ELDRIDGE,TIM",,,,,,,"SUB IN by ELDRIDGE,TIM",2
15:18,"SUB IN by TABE,SEPHFAN",,,,,,,"SUB IN by TABE,SEPHFAN",2
15:05,,49,,54 (+5),"GOOD LAYUP by KRONENBERGER,BEAU(in the paint)",Hend 49-54 (+5),,"GOOD LAYUP by KRONENBERGER,BEAU(in the paint)",2
--,,,,,"ASSIST  by WEAVER,BRADEN",,,"ASSIST  by WEAVER,BRADEN",2
14:41,"GOOD JUMPER by UKPE,JOSH(in the paint)",51,,54 (+3),,UO 51-54 (+3),,"GOOD JUMPER by UKPE,JOSH(in the paint)",2
14:31,,,,,"TURNOVER  by MAYO,DREW",,,"TURNOVER  by MAYO,DREW",2
14:31,"STEAL  by NIX,GRAYSON",,,,,,,"STEAL  by NIX,GRAYSON",2
14:26,"GOOD JUMPER by NIX,GRAYSON(fastbreak)(in the paint)",53,,54 (+1),,UO 53-54 (+1),,"GOOD JUMPER by NIX,GRAYSON(fastbreak)(in the paint)",2
14:16,,53,,56 (+3),"GOOD LAYUP by WEAVER,BRADEN(in the paint)",Hend 53-56 (+3),,"GOOD LAYUP by WEAVER,BRADEN(in the paint)",2
14:16,"FOUL  by NIX,GRAYSON",,,,,,,"FOUL  by NIX,GRAYSON",2
14:16,,53,,57 (+4),"GOOD FT by WEAVER,BRADEN",Hend 53-57 (+4),,"GOOD FT by WEAVER,BRADEN",2
14:16,"SUB OUT by NIX,GRAYSON",,,,,,,"SUB OUT by NIX,GRAYSON",2
14:16,"SUB IN by ROELKE,KAMREN",,,,,,,"SUB IN by ROELKE,KAMREN",2
14:03,"MISS 3PTR by UKPE,JOSH",,,,,,,"MISS 3PTR by UKPE,JOSH",2
--,,,,,"REBOUND DEF by PATTON,LUKE",,,"REBOUND DEF by PATTON,LUKE",2
13:51,"FOUL  by UKPE,JOSH",,,,,,,"FOUL  by UKPE,JOSH",2
13:51,,,,,"SUB OUT by WEAVER,BRADEN",,,"SUB OUT by WEAVER,BRADEN",2
13:51,,,,,"SUB IN by COBB,DANIEL",,,"SUB IN by COBB,DANIEL",2
13:51,"SUB OUT by UKPE,JOSH",,,,,,,"SUB OUT by UKPE,JOSH",2
13:51,"SUB IN by NIX,GRAYSON",,,,,,,"SUB IN by NIX,GRAYSON",2
13:44,,53,,59 (+6),"GOOD LAYUP by PATTON,LUKE(in the paint)",Hend 53-59 (+6),,"GOOD LAYUP by PATTON,LUKE(in the paint)",2
13:32,,,,,"FOUL  by TORRES,JADEN",,,"FOUL  by TORRES,JADEN",2
13:31,,,,,"FOUL  by KRONENBERGER,BEAU",,,"FOUL  by KRONENBERGER,BEAU",2
13:31,"GOOD FT by JACKSON,TYLAN",54,,59 (+5),,UO 54-59 (+5),,"GOOD FT by JACKSON,TYLAN",2
13:31,,,,,"SUB OUT by KRONENBERGER,BEAU",,,"SUB OUT by KRONENBERGER,BEAU",2
13:31,,,,,"SUB IN by DEITHLOFF,TYLER",,,"SUB IN by DEITHLOFF,TYLER",2
13:31,"MISS FT by JACKSON,TYLAN",,,,,,,"MISS FT by JACKSON,TYLAN",2
--,,,,,"REBOUND DEF by DEITHLOFF,TYLER",,,"REBOUND DEF by DEITHLOFF,TYLER",2
13:11,,,,,"MISS JUMPER by PATTON,LUKE(in the paint)",,,"MISS JUMPER by PATTON,LUKE(in the paint)",2
--,"REBOUND DEF by ELDRIDGE,TIM",,,,,,,"REBOUND DEF by ELDRIDGE,TIM",2
13:04,"GOOD JUMPER by ROELKE,KAMREN(fastbreak)(in the paint)",56,,59 (+3),,UO 56-59 (+3),,"GOOD JUMPER by ROELKE,KAMREN(fastbreak)(in the paint)",2
12:35,,,,,"MISS JUMPER by DEITHLOFF,TYLER(in the paint)",,,"MISS JUMPER by DEITHLOFF,TYLER(in the paint)",2
--,"REBOUND DEF by NIX,GRAYSON",,,,,,,"REBOUND DEF by NIX,GRAYSON",2
12:27,,,,,"FOUL  by DEITHLOFF,TYLER",,,"FOUL  by DEITHLOFF,TYLER",2
12:27,"GOOD JUMPER by JACKSON,TYLAN(in the paint)",58,,59 (+1),,UO 58-59 (+1),,"GOOD JUMPER by JACKSON,TYLAN(in the paint)",2
12:27,"GOOD FT by JACKSON,TYLAN(fastbreak)",59,,59,,UO 59-59 (0),,"GOOD FT by JACKSON,TYLAN(fastbreak)",2
12:26,"SUB OUT by JACKSON,TYLAN",,,,,,,"SUB OUT by JACKSON,TYLAN",2
12:26,"SUB IN by LOPEZ,ADAM",,,,,,,"SUB IN by LOPEZ,ADAM",2
12:19,,,,,"SUB OUT by MAYO,DREW",,,"SUB OUT by MAYO,DREW",2
12:19,,,,,"SUB IN by SQUIRES,CALEB",,,"SUB IN by SQUIRES,CALEB",2
12:18,,,,,"TURNOVER  by COBB,DANIEL",,,"TURNOVER  by COBB,DANIEL",2
12:08,"MISS LAYUP by NIX,GRAYSON(in the paint)",,,,,,,"MISS LAYUP by NIX,GRAYSON(in the paint)",2
--,,,,,"REBOUND DEF by DEITHLOFF,TYLER",,,"REBOUND DEF by DEITHLOFF,TYLER",2
11:42,,59,,61 (+2),"GOOD JUMPER by SQUIRES,CALEB(in the paint)",Hend 59-61 (+2),,"GOOD JUMPER by SQUIRES,CALEB(in the paint)",2
--,,,,,"ASSIST  by DEITHLOFF,TYLER",,,"ASSIST  by DEITHLOFF,TYLER",2
11:24,"MISS LAYUP by ROELKE,KAMREN(in the paint)",,,,,,,"MISS LAYUP by ROELKE,KAMREN(in the paint)",2
--,"REBOUND OFF by LOPEZ,ADAM",,,,,,,"REBOUND OFF by LOPEZ,ADAM",2
11:18,"MISS LAYUP by LOPEZ,ADAM(in the paint)",,,,,,,"MISS LAYUP by LOPEZ,ADAM(in the paint)",2
--,,,,,"REBOUND DEF by PATTON,LUKE",,,"REBOUND DEF by PATTON,LUKE",2
11:13,,,,,"TURNOVER  by TORRES,JADEN",,,"TURNOVER  by TORRES,JADEN",2
11:13,"STEAL  by NIX,GRAYSON",,,,,,,"STEAL  by NIX,GRAYSON",2
11:05,"GOOD 3PTR by TABE,SEPHFAN(fastbreak)",62 (+1),,61,,UO 62-61 (-1),,"GOOD 3PTR by TABE,SEPHFAN(fastbreak)",2
--,"ASSIST  by NIX,GRAYSON",,,,,,,"ASSIST  by NIX,GRAYSON",2
11:01,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
11:01,,,,,"SUB OUT by TORRES,JADEN",,,"SUB OUT by TORRES,JADEN",2
11:01,,,,,"SUB IN by WEAVER,BRADEN",,,"SUB IN by WEAVER,BRADEN",2
11:01,,,,,"SUB OUT by PATTON,LUKE",,,"SUB OUT by PATTON,LUKE",2
11:01,,,,,"SUB IN by BERRY,COLTEN",,,"SUB IN by BERRY,COLTEN",2
10:43,,,,,"MISS 3PTR by COBB,DANIEL",,,"MISS 3PTR by COBB,DANIEL",2
--,"REBOUND DEF by LOPEZ,ADAM",,,,,,,"REBOUND DEF by LOPEZ,ADAM",2
10:23,,,,,"FOUL  by BERRY,COLTEN",,,"FOUL  by BERRY,COLTEN",2
10:23,"MISS JUMPER by LOPEZ,ADAM",,,,,,,"MISS JUMPER by LOPEZ,ADAM",2
--,,,,,"REBOUND DEF by DEITHLOFF,TYLER",,,"REBOUND DEF by DEITHLOFF,TYLER",2
10:23,,,,,"MISS JUMPER by SQUIRES,CALEB(in the paint)",,,"MISS JUMPER by SQUIRES,CALEB(in the paint)",2
--,"REBOUND DEF by LOPEZ,ADAM",,,,,,,"REBOUND DEF by LOPEZ,ADAM",2
10:21,"MISS JUMPER by ROELKE,KAMREN(in the paint)",,,,,,,"MISS JUMPER by ROELKE,KAMREN(in the paint)",2
10:21,,,,,"BLOCK  by BERRY,COLTEN",,,"BLOCK  by BERRY,COLTEN",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
09:54,"MISS JUMPER by TABE,SEPHFAN(in the paint)",,,,,,,"MISS JUMPER by TABE,SEPHFAN(in the paint)",2
--,,,,,"REBOUND DEF by BERRY,COLTEN",,,"REBOUND DEF by BERRY,COLTEN",2
09:43,,,,,"MISS JUMPER by DEITHLOFF,TYLER(in the paint)",,,"MISS JUMPER by DEITHLOFF,TYLER(in the paint)",2
09:43,"BLOCK  by LOPEZ,ADAM",,,,,,,"BLOCK  by LOPEZ,ADAM",2
--,,,,,"REBOUND OFF by DEITHLOFF,TYLER",,,"REBOUND OFF by DEITHLOFF,TYLER",2
09:29,,,,,"MISS LAYUP by COBB,DANIEL(in the paint)",,,"MISS LAYUP by COBB,DANIEL(in the paint)",2
--,"REBOUND DEF by LOPEZ,ADAM",,,,,,,"REBOUND DEF by LOPEZ,ADAM",2
09:12,"MISS JUMPER by TABE,SEPHFAN(in the paint)",,,,,,,"MISS JUMPER by TABE,SEPHFAN(in the paint)",2
09:12,,,,,"BLOCK  by BERRY,COLTEN",,,"BLOCK  by BERRY,COLTEN",2
--,,,,,"REBOUND DEF by WEAVER,BRADEN",,,"REBOUND DEF by WEAVER,BRADEN",2
09:03,,62,,64 (+2),"GOOD 3PTR by COBB,DANIEL",Hend 62-64 (+2),,"GOOD 3PTR by COBB,DANIEL",2
--,,,,,"ASSIST  by WEAVER,BRADEN",,,"ASSIST  by WEAVER,BRADEN",2
08:55,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
08:55,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
08:55,"SUB OUT by TABE,SEPHFAN",,,,,,,"SUB OUT by TABE,SEPHFAN",2
08:55,"SUB IN by JACKSON,TYLAN",,,,,,,"SUB IN by JACKSON,TYLAN",2
08:45,"SUB OUT by NIX,GRAYSON",,,,,,,"SUB OUT by NIX,GRAYSON",2
08:45,"SUB IN by UKPE,JOSH",,,,,,,"SUB IN by UKPE,JOSH",2
08:28,"GOOD JUMPER by ELDRIDGE,TIM",64,,64,,UO 64-64 (0),,"GOOD JUMPER by ELDRIDGE,TIM",2
--,"ASSIST  by JACKSON,TYLAN",,,,,,,"ASSIST  by JACKSON,TYLAN",2
08:08,,,,,"MISS 3PTR by COBB,DANIEL",,,"MISS 3PTR by COBB,DANIEL",2
--,,,,,"REBOUND OFF by BERRY,COLTEN",,,"REBOUND OFF by BERRY,COLTEN",2
08:05,,64,,66 (+2),"GOOD LAYUP by DEITHLOFF,TYLER(in the paint)",Hend 64-66 (+2),,"GOOD LAYUP by DEITHLOFF,TYLER(in the paint)",2
--,,,,,"ASSIST  by BERRY,COLTEN",,,"ASSIST  by BERRY,COLTEN",2
08:05,"FOUL  by UKPE,JOSH",,,,,,,"FOUL  by UKPE,JOSH",2
08:05,,64,,67 (+3),"GOOD FT by DEITHLOFF,TYLER",Hend 64-67 (+3),,"GOOD FT by DEITHLOFF,TYLER",2
08:05,"SUB OUT by UKPE,JOSH",,,,,,,"SUB OUT by UKPE,JOSH",2
08:05,"SUB IN by NIX,GRAYSON",,,,,,,"SUB IN by NIX,GRAYSON",2
07:50,"MISS 3PTR by JACKSON,TYLAN",,,,,,,"MISS 3PTR by JACKSON,TYLAN",2
--,,,,,"REBOUND DEF by COBB,DANIEL",,,"REBOUND DEF by COBB,DANIEL",2
07:32,,,,,"MISS 3PTR by WEAVER,BRADEN",,,"MISS 3PTR by WEAVER,BRADEN",2
--,"REBOUND DEF by JACKSON,TYLAN",,,,,,,"REBOUND DEF by JACKSON,TYLAN",2
07:18,,,,,"FOUL  by DEITHLOFF,TYLER",,,"FOUL  by DEITHLOFF,TYLER",2
07:18,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
07:18,,,,,"SUB OUT by DEITHLOFF,TYLER",,,"SUB OUT by DEITHLOFF,TYLER",2
07:18,,,,,"SUB IN by TORRES,JADEN",,,"SUB IN by TORRES,JADEN",2
07:18,,,,,"SUB OUT by COBB,DANIEL",,,"SUB OUT by COBB,DANIEL",2
07:18,,,,,"SUB IN by KRONENBERGER,BEAU",,,"SUB IN by KRONENBERGER,BEAU",2
07:18,"GOOD FT by JACKSON,TYLAN",65,,67 (+2),,UO 65-67 (+2),,"GOOD FT by JACKSON,TYLAN",2
07:18,"MISS FT by JACKSON,TYLAN",,,,,,,"MISS FT by JACKSON,TYLAN",2
--,,,,,"REBOUND DEF by KRONENBERGER,BEAU",,,"REBOUND DEF by KRONENBERGER,BEAU",2
06:58,"FOUL  by ROELKE,KAMREN",,,,,,,"FOUL  by ROELKE,KAMREN",2
06:58,,65,,68 (+3),"GOOD FT by BERRY,COLTEN",Hend 65-68 (+3),,"GOOD FT by BERRY,COLTEN",2
06:58,,,,,"MISS FT by BERRY,COLTEN",,,"MISS FT by BERRY,COLTEN",2
--,"REBOUND DEF by JACKSON,TYLAN",,,,,,,"REBOUND DEF by JACKSON,TYLAN",2
06:37,"MISS JUMPER by JACKSON,TYLAN",,,,,,,"MISS JUMPER by JACKSON,TYLAN",2
--,,,,,"REBOUND DEF by TORRES,JADEN",,,"REBOUND DEF by TORRES,JADEN",2
06:25,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,2
06:08,,,,,"FOUL  by TORRES,JADEN",,,"FOUL  by TORRES,JADEN",2
06:08,"GOOD FT by ELDRIDGE,TIM",66,,68 (+2),,UO 66-68 (+2),,"GOOD FT by ELDRIDGE,TIM",2
06:08,"GOOD FT by ELDRIDGE,TIM",67,,68 (+1),,UO 67-68 (+1),,"GOOD FT by ELDRIDGE,TIM",2
05:58,,67,,71 (+4),"GOOD 3PTR by KRONENBERGER,BEAU",Hend 67-71 (+4),,"GOOD 3PTR by KRONENBERGER,BEAU",2
--,,,,,"ASSIST  by TORRES,JADEN",,,"ASSIST  by TORRES,JADEN",2
05:31,"MISS 3PTR by ELDRIDGE,TIM",,,,,,,"MISS 3PTR by ELDRIDGE,TIM",2
--,"REBOUND OFF by NIX,GRAYSON",,,,,,,"REBOUND OFF by NIX,GRAYSON",2
05:19,"GOOD 3PTR by LOPEZ,ADAM",70,,71 (+1),,UO 70-71 (+1),,"GOOD 3PTR by LOPEZ,ADAM",2
--,"ASSIST  by NIX,GRAYSON",,,,,,,"ASSIST  by NIX,GRAYSON",2
04:56,"FOUL  by LOPEZ,ADAM",,,,,,,"FOUL  by LOPEZ,ADAM",2
04:56,,,,,"MISS FT by KRONENBERGER,BEAU",,,"MISS FT by KRONENBERGER,BEAU",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
04:56,"SUB OUT by JACKSON,TYLAN",,,,,,,"SUB OUT by JACKSON,TYLAN",2
04:56,"SUB IN by CHEATER,DILLON",,,,,,,"SUB IN by CHEATER,DILLON",2
04:56,"SUB OUT by ELDRIDGE,TIM",,,,,,,"SUB OUT by ELDRIDGE,TIM",2
04:56,"SUB IN by UKPE,JOSH",,,,,,,"SUB IN by UKPE,JOSH",2
04:56,,,,,"MISS FT by KRONENBERGER,BEAU",,,"MISS FT by KRONENBERGER,BEAU",2
--,"REBOUND DEF by LOPEZ,ADAM",,,,,,,"REBOUND DEF by LOPEZ,ADAM",2
04:32,"GOOD JUMPER by NIX,GRAYSON",72 (+1),,71,,UO 72-71 (-1),,"GOOD JUMPER by NIX,GRAYSON",2
04:11,,72,,73 (+1),"GOOD JUMPER by BERRY,COLTEN",Hend 72-73 (+1),,"GOOD JUMPER by BERRY,COLTEN",2
--,,,,,"ASSIST  by WEAVER,BRADEN",,,"ASSIST  by WEAVER,BRADEN",2
03:43,"TURNOVER  by ROELKE,KAMREN",,,,,,,"TURNOVER  by ROELKE,KAMREN",2
03:43,,,,,"SUB OUT by WEAVER,BRADEN",,,"SUB OUT by WEAVER,BRADEN",2
03:43,,,,,"SUB IN by COBB,DANIEL",,,"SUB IN by COBB,DANIEL",2
03:43,,,,,"SUB IN by DEITHLOFF,TYLER",,,"SUB IN by DEITHLOFF,TYLER",2
03:43,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
03:43,,,,,"SUB OUT by KRONENBERGER,BEAU",,,"SUB OUT by KRONENBERGER,BEAU",2
03:24,,,,,"MISS LAYUP by BERRY,COLTEN(in the paint)",,,"MISS LAYUP by BERRY,COLTEN(in the paint)",2
--,,,,,"REBOUND OFF by BERRY,COLTEN",,,"REBOUND OFF by BERRY,COLTEN",2
03:24,,,,,"MISS LAYUP by BERRY,COLTEN(in the paint)",,,"MISS LAYUP by BERRY,COLTEN(in the paint)",2
--,,,,,"REBOUND OFF by BERRY,COLTEN",,,"REBOUND OFF by BERRY,COLTEN",2
03:24,"FOUL  by LOPEZ,ADAM",,,,,,,"FOUL  by LOPEZ,ADAM",2
03:24,,,,,"MISS FT by BERRY,COLTEN",,,"MISS FT by BERRY,COLTEN",2
--,"REBOUND DEF by LOPEZ,ADAM",,,,,,,"REBOUND DEF by LOPEZ,ADAM",2
03:15,,,,,"SUB OUT by SQUIRES,CALEB",,,"SUB OUT by SQUIRES,CALEB",2
03:15,,,,,"SUB IN by WEAVER,BRADEN",,,"SUB IN by WEAVER,BRADEN",2
03:01,"MISS 3PTR by ROELKE,KAMREN",,,,,,,"MISS 3PTR by ROELKE,KAMREN",2
--,"REBOUND OFF by NIX,GRAYSON",,,,,,,"REBOUND OFF by NIX,GRAYSON",2
02:56,"TURNOVER  by NIX,GRAYSON",,,,,,,"TURNOVER  by NIX,GRAYSON",2
02:56,,,,,"STEAL  by WEAVER,BRADEN",,,"STEAL  by WEAVER,BRADEN",2
02:51,,72,,75 (+3),"GOOD JUMPER by WEAVER,BRADEN(fastbreak)(in the paint)",Hend 72-75 (+3),,"GOOD JUMPER by WEAVER,BRADEN(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by DEITHLOFF,TYLER",,,"ASSIST  by DEITHLOFF,TYLER",2
02:36,"GOOD 3PTR by LOPEZ,ADAM",75,,75,,UO 75-75 (0),,"GOOD 3PTR by LOPEZ,ADAM",2
--,"ASSIST  by UKPE,JOSH",,,,,,,"ASSIST  by UKPE,JOSH",2
02:28,"SUB OUT by CHEATER,DILLON",,,,,,,"SUB OUT by CHEATER,DILLON",2
02:28,"SUB IN by JACKSON,TYLAN",,,,,,,"SUB IN by JACKSON,TYLAN",2
02:19,"FOUL  by ROELKE,KAMREN",,,,,,,"FOUL  by ROELKE,KAMREN",2
02:19,,75,,76 (+1),"GOOD FT by COBB,DANIEL",Hend 75-76 (+1),,"GOOD FT by COBB,DANIEL",2
02:19,,75,,77 (+2),"GOOD FT by COBB,DANIEL",Hend 75-77 (+2),,"GOOD FT by COBB,DANIEL",2
02:02,,,,,"FOUL  by BERRY,COLTEN",,,"FOUL  by BERRY,COLTEN",2
02:02,"GOOD FT by ROELKE,KAMREN",76,,77 (+1),,UO 76-77 (+1),,"GOOD FT by ROELKE,KAMREN",2
02:02,"GOOD FT by ROELKE,KAMREN",77,,77,,UO 77-77 (0),,"GOOD FT by ROELKE,KAMREN",2
02:02,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
01:50,"FOUL  by LOPEZ,ADAM",,,,,,,"FOUL  by LOPEZ,ADAM",2
01:50,"SUB OUT by LOPEZ,ADAM",,,,,,,"SUB OUT by LOPEZ,ADAM",2
01:50,"SUB IN by TABE,SEPHFAN",,,,,,,"SUB IN by TABE,SEPHFAN",2
01:50,,77,,78 (+1),"GOOD FT by BERRY,COLTEN",Hend 77-78 (+1),,"GOOD FT by BERRY,COLTEN",2
01:50,,,,,"MISS FT by BERRY,COLTEN",,,"MISS FT by BERRY,COLTEN",2
--,"REBOUND DEF by JACKSON,TYLAN",,,,,,,"REBOUND DEF by JACKSON,TYLAN",2
01:27,"TURNOVER  by JACKSON,TYLAN",,,,,,,"TURNOVER  by JACKSON,TYLAN",2
01:12,,,,,"MISS JUMPER by COBB,DANIEL(in the paint)",,,"MISS JUMPER by COBB,DANIEL(in the paint)",2
01:12,"BLOCK  by ROELKE,KAMREN",,,,,,,"BLOCK  by ROELKE,KAMREN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
01:04,,,,,"MISS JUMPER by WEAVER,BRADEN(in the paint)",,,"MISS JUMPER by WEAVER,BRADEN(in the paint)",2
--,"REBOUND DEF by NIX,GRAYSON",,,,,,,"REBOUND DEF by NIX,GRAYSON",2
00:51,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:34,"GOOD 3PTR by TABE,SEPHFAN",80 (+2),,78,,UO 80-78 (-2),,"GOOD 3PTR by TABE,SEPHFAN",2
--,"ASSIST  by UKPE,JOSH",,,,,,,"ASSIST  by UKPE,JOSH",2
00:30,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:30,"SUB OUT by NIX,GRAYSON",,,,,,,"SUB OUT by NIX,GRAYSON",2
00:30,"SUB IN by ELDRIDGE,TIM",,,,,,,"SUB IN by ELDRIDGE,TIM",2
00:20,,,,,"MISS JUMPER by WEAVER,BRADEN",,,"MISS JUMPER by WEAVER,BRADEN",2
--,,,,,"REBOUND OFF by BERRY,COLTEN",,,"REBOUND OFF by BERRY,COLTEN",2
00:15,,,,,"MISS 3PTR by COBB,DANIEL",,,"MISS 3PTR by COBB,DANIEL",2
00:15,,80,,81 (+1),"GOOD 3PTR by COBB,DANIEL",Hend 80-81 (+1),,"GOOD 3PTR by COBB,DANIEL",2
--,,,,,"ASSIST  by BERRY,COLTEN",,,"ASSIST  by BERRY,COLTEN",2
00:13,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
--,,,,,"REBOUND OFF by BERRY,COLTEN",,,"REBOUND OFF by BERRY,COLTEN",2
00:06,"SUB OUT by ELDRIDGE,TIM",,,,,,,"SUB OUT by ELDRIDGE,TIM",2
00:06,"SUB IN by NIX,GRAYSON",,,,,,,"SUB IN by NIX,GRAYSON",2
00:02,"MISS 3PTR by ROELKE,KAMREN",,,,,,,"MISS 3PTR by ROELKE,KAMREN",2
--,,,,,"REBOUND DEF by COBB,DANIEL",,,"REBOUND DEF by COBB,DANIEL",2
00:02,"FOUL  by JACKSON,TYLAN",,,,,,,"FOUL  by JACKSON,TYLAN",2
