Time Remaining,Mill,Away Team Score,Play Team Indicator,Home Team Score,Hend,Game Score,Team Indicator,Play,Period
19:09,"GOOD JUMPER by URSIN,AARON",29,,45 (+16),,Mill 29-45 (+16),,"GOOD JUMPER by URSIN,AARON",2
18:53,,29,,48 (+19),"GOOD 3PTR by SQUIRES,CALEB",Hend 29-48 (+19),,"GOOD 3PTR by SQUIRES,CALEB",2
--,,,,,"ASSIST  by DEITHLOFF,TYLER",,,"ASSIST  by DEITHLOFF,TYLER",2
18:29,"MISS JUMPER by UGHOVWA,NICHOLAS",,,,,,,"MISS JUMPER by UGHOVWA,NICHOLAS",2
--,,,,,"REBOUND DEF by BERRY,COLTEN",,,"REBOUND DEF by BERRY,COLTEN",2
18:19,,,,,"MISS 3PTR by SQUIRES,CALEB",,,"MISS 3PTR by SQUIRES,CALEB",2
--,,,,,"REBOUND OFF by BERRY,COLTEN",,,"REBOUND OFF by BERRY,COLTEN",2
18:07,,29,,50 (+21),"GOOD LAYUP by BERRY,COLTEN(in the paint)",Hend 29-50 (+21),,"GOOD LAYUP by BERRY,COLTEN(in the paint)",2
--,,,,,"ASSIST  by WEAVER,BRADEN",,,"ASSIST  by WEAVER,BRADEN",2
17:53,"GOOD LAYUP by URSIN,AARON(in the paint)",31,,50 (+19),,Mill 31-50 (+19),,"GOOD LAYUP by URSIN,AARON(in the paint)",2
--,"ASSIST  by GASCA,DAKOTA",,,,,,,"ASSIST  by GASCA,DAKOTA",2
17:37,,31,,53 (+22),"GOOD 3PTR by COBB,DANIEL",Hend 31-53 (+22),,"GOOD 3PTR by COBB,DANIEL",2
--,,,,,"ASSIST  by DEITHLOFF,TYLER",,,"ASSIST  by DEITHLOFF,TYLER",2
17:34,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
17:34,"SUB OUT by UGHOVWA,NICHOLAS",,,,,,,"SUB OUT by UGHOVWA,NICHOLAS",2
17:34,"SUB OUT by URSIN,AARON",,,,,,,"SUB OUT by URSIN,AARON",2
17:34,"SUB IN by STEPHEN,SETH",,,,,,,"SUB IN by STEPHEN,SETH",2
17:34,"SUB IN by FORBES,TRACE",,,,,,,"SUB IN by FORBES,TRACE",2
17:19,"TURNOVER  by GASCA,DAKOTA",,,,,,,"TURNOVER  by GASCA,DAKOTA",2
17:19,,,,,"STEAL  by WEAVER,BRADEN",,,"STEAL  by WEAVER,BRADEN",2
17:08,,,,,"TURNOVER  by DEITHLOFF,TYLER",,,"TURNOVER  by DEITHLOFF,TYLER",2
17:08,"STEAL  by FORBES,TRACE",,,,,,,"STEAL  by FORBES,TRACE",2
16:59,"FOUL  by WATSON,DOUG",,,,,,,"FOUL  by WATSON,DOUG",2
16:59,"TURNOVER  by WATSON,DOUG",,,,,,,"TURNOVER  by WATSON,DOUG",2
16:59,"SUB OUT by BONNECAZE,STEWART",,,,,,,"SUB OUT by BONNECAZE,STEWART",2
16:59,"SUB IN by BUSH,RODREEKAS",,,,,,,"SUB IN by BUSH,RODREEKAS",2
16:50,"FOUL  by STEPHEN,SETH",,,,,,,"FOUL  by STEPHEN,SETH",2
16:45,,,,,"MISS JUMPER by COBB,DANIEL(in the paint)",,,"MISS JUMPER by COBB,DANIEL(in the paint)",2
--,"REBOUND DEF by GASCA,DAKOTA",,,,,,,"REBOUND DEF by GASCA,DAKOTA",2
16:41,,,,,"FOUL  by COBB,DANIEL",,,"FOUL  by COBB,DANIEL",2
16:41,,,,,"SUB OUT by COBB,DANIEL",,,"SUB OUT by COBB,DANIEL",2
16:41,,,,,"SUB IN by TORRES,JADEN",,,"SUB IN by TORRES,JADEN",2
16:28,"MISS JUMPER by WATSON,DOUG(in the paint)",,,,,,,"MISS JUMPER by WATSON,DOUG(in the paint)",2
--,"REBOUND OFF by STEPHEN,SETH",,,,,,,"REBOUND OFF by STEPHEN,SETH",2
16:23,"GOOD LAYUP by STEPHEN,SETH(in the paint)",33,,53 (+20),,Mill 33-53 (+20),,"GOOD LAYUP by STEPHEN,SETH(in the paint)",2
16:03,,,,,"TURNOVER  by BERRY,COLTEN",,,"TURNOVER  by BERRY,COLTEN",2
16:03,"STEAL  by GASCA,DAKOTA",,,,,,,"STEAL  by GASCA,DAKOTA",2
15:59,,,,,"FOUL  by SQUIRES,CALEB",,,"FOUL  by SQUIRES,CALEB",2
15:59,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
15:59,"SUB OUT by STEPHEN,SETH",,,,,,,"SUB OUT by STEPHEN,SETH",2
15:59,"SUB IN by HUNT,D'SHAWN",,,,,,,"SUB IN by HUNT,D'SHAWN",2
15:59,"GOOD FT by GASCA,DAKOTA(fastbreak)",34,,53 (+19),,Mill 34-53 (+19),,"GOOD FT by GASCA,DAKOTA(fastbreak)",2
15:59,"GOOD FT by GASCA,DAKOTA(fastbreak)",35,,53 (+18),,Mill 35-53 (+18),,"GOOD FT by GASCA,DAKOTA(fastbreak)",2
15:50,,,,,"MISS 3PTR by WEAVER,BRADEN",,,"MISS 3PTR by WEAVER,BRADEN",2
--,"REBOUND DEF by FORBES,TRACE",,,,,,,"REBOUND DEF by FORBES,TRACE",2
15:36,,,,,"FOUL  by TORRES,JADEN",,,"FOUL  by TORRES,JADEN",2
15:36,,,,,"SUB OUT by WEAVER,BRADEN",,,"SUB OUT by WEAVER,BRADEN",2
15:36,,,,,"SUB IN by MCMULLIN,COLTON",,,"SUB IN by MCMULLIN,COLTON",2
15:16,"GOOD 3PTR by FORBES,TRACE",38,,53 (+15),,Mill 38-53 (+15),,"GOOD 3PTR by FORBES,TRACE",2
--,"ASSIST  by WATSON,DOUG",,,,,,,"ASSIST  by WATSON,DOUG",2
15:03,,,,,"MISS 3PTR by MCMULLIN,COLTON",,,"MISS 3PTR by MCMULLIN,COLTON",2
--,,,,,"REBOUND OFF by TORRES,JADEN",,,"REBOUND OFF by TORRES,JADEN",2
14:58,"FOUL  by BUSH,RODREEKAS",,,,,,,"FOUL  by BUSH,RODREEKAS",2
14:54,,,,,"MISS JUMPER by BERRY,COLTEN(in the paint)",,,"MISS JUMPER by BERRY,COLTEN(in the paint)",2
--,"REBOUND DEF by HUNT,D'SHAWN",,,,,,,"REBOUND DEF by HUNT,D'SHAWN",2
14:44,"MISS JUMPER by HUNT,D'SHAWN",,,,,,,"MISS JUMPER by HUNT,D'SHAWN",2
--,,,,,"REBOUND DEF by MCMULLIN,COLTON",,,"REBOUND DEF by MCMULLIN,COLTON",2
14:33,,38,,55 (+17),"GOOD DUNK by BERRY,COLTEN(in the paint)",Hend 38-55 (+17),,"GOOD DUNK by BERRY,COLTEN(in the paint)",2
--,,,,,"ASSIST  by MCMULLIN,COLTON",,,"ASSIST  by MCMULLIN,COLTON",2
14:14,"MISS 3PTR by BUSH,RODREEKAS",,,,,,,"MISS 3PTR by BUSH,RODREEKAS",2
--,,,,,"REBOUND DEF by BERRY,COLTEN",,,"REBOUND DEF by BERRY,COLTEN",2
13:58,,,,,"MISS 3PTR by SQUIRES,CALEB",,,"MISS 3PTR by SQUIRES,CALEB",2
--,"REBOUND DEF by GASCA,DAKOTA",,,,,,,"REBOUND DEF by GASCA,DAKOTA",2
13:53,"TURNOVER  by GASCA,DAKOTA",,,,,,,"TURNOVER  by GASCA,DAKOTA",2
13:53,,,,,"SUB OUT by SQUIRES,CALEB",,,"SUB OUT by SQUIRES,CALEB",2
13:53,,,,,"SUB OUT by BERRY,COLTEN",,,"SUB OUT by BERRY,COLTEN",2
13:53,,,,,"SUB IN by COBB,DANIEL",,,"SUB IN by COBB,DANIEL",2
13:53,,,,,"SUB IN by PATTON,LUKE",,,"SUB IN by PATTON,LUKE",2
13:53,"SUB OUT by WATSON,DOUG",,,,,,,"SUB OUT by WATSON,DOUG",2
13:53,"SUB OUT by BUSH,RODREEKAS",,,,,,,"SUB OUT by BUSH,RODREEKAS",2
13:53,"SUB IN by HAUPT,KYLE",,,,,,,"SUB IN by HAUPT,KYLE",2
13:53,"SUB IN by BONNECAZE,STEWART",,,,,,,"SUB IN by BONNECAZE,STEWART",2
13:42,,,,,"TURNOVER  by DEITHLOFF,TYLER",,,"TURNOVER  by DEITHLOFF,TYLER",2
13:42,"STEAL  by HAUPT,KYLE",,,,,,,"STEAL  by HAUPT,KYLE",2
13:31,"MISS JUMPER by GASCA,DAKOTA(in the paint)",,,,,,,"MISS JUMPER by GASCA,DAKOTA(in the paint)",2
--,"REBOUND OFF by GASCA,DAKOTA",,,,,,,"REBOUND OFF by GASCA,DAKOTA",2
13:25,"GOOD LAYUP by GASCA,DAKOTA(in the paint)",40,,55 (+15),,Mill 40-55 (+15),,"GOOD LAYUP by GASCA,DAKOTA(in the paint)",2
13:08,,40,,57 (+17),"GOOD JUMPER by PATTON,LUKE(in the paint)",Hend 40-57 (+17),,"GOOD JUMPER by PATTON,LUKE(in the paint)",2
--,,,,,"ASSIST  by MCMULLIN,COLTON",,,"ASSIST  by MCMULLIN,COLTON",2
12:56,"GOOD 3PTR by FORBES,TRACE",43,,57 (+14),,Mill 43-57 (+14),,"GOOD 3PTR by FORBES,TRACE",2
--,"ASSIST  by HUNT,D'SHAWN",,,,,,,"ASSIST  by HUNT,D'SHAWN",2
12:52,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
12:52,"SUB OUT by HUNT,D'SHAWN",,,,,,,"SUB OUT by HUNT,D'SHAWN",2
12:52,"SUB IN by STEPHEN,SETH",,,,,,,"SUB IN by STEPHEN,SETH",2
12:42,,,,,"MISS 3PTR by MCMULLIN,COLTON",,,"MISS 3PTR by MCMULLIN,COLTON",2
--,"REBOUND DEF by GASCA,DAKOTA",,,,,,,"REBOUND DEF by GASCA,DAKOTA",2
12:19,"GOOD LAYUP by BONNECAZE,STEWART(in the paint)",45,,57 (+12),,Mill 45-57 (+12),,"GOOD LAYUP by BONNECAZE,STEWART(in the paint)",2
--,"ASSIST  by STEPHEN,SETH",,,,,,,"ASSIST  by STEPHEN,SETH",2
12:04,,,,,"TURNOVER  by PATTON,LUKE",,,"TURNOVER  by PATTON,LUKE",2
12:04,,,,,"SUB OUT by MCMULLIN,COLTON",,,"SUB OUT by MCMULLIN,COLTON",2
12:04,,,,,"SUB IN by WEAVER,BRADEN",,,"SUB IN by WEAVER,BRADEN",2
12:04,"SUB OUT by FORBES,TRACE",,,,,,,"SUB OUT by FORBES,TRACE",2
12:04,"SUB IN by ROTH,DREW",,,,,,,"SUB IN by ROTH,DREW",2
11:51,,,,,"FOUL  by PATTON,LUKE",,,"FOUL  by PATTON,LUKE",2
11:51,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
11:51,"MISS FT by HAUPT,KYLE",,,,,,,"MISS FT by HAUPT,KYLE",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
11:51,,,,,"SUB OUT by TORRES,JADEN",,,"SUB OUT by TORRES,JADEN",2
11:51,,,,,"SUB OUT by PATTON,LUKE",,,"SUB OUT by PATTON,LUKE",2
11:51,,,,,"SUB IN by SQUIRES,CALEB",,,"SUB IN by SQUIRES,CALEB",2
11:51,,,,,"SUB IN by BERRY,COLTEN",,,"SUB IN by BERRY,COLTEN",2
11:51,"GOOD FT by HAUPT,KYLE",46,,57 (+11),,Mill 46-57 (+11),,"GOOD FT by HAUPT,KYLE",2
11:41,,,,,"TURNOVER  by COBB,DANIEL",,,"TURNOVER  by COBB,DANIEL",2
11:25,"MISS 3PTR by ROTH,DREW",,,,,,,"MISS 3PTR by ROTH,DREW",2
--,,,,,"REBOUND DEF by COBB,DANIEL",,,"REBOUND DEF by COBB,DANIEL",2
11:12,"FOUL  by HAUPT,KYLE",,,,,,,"FOUL  by HAUPT,KYLE",2
11:08,,,,,"TURNOVER  by COBB,DANIEL",,,"TURNOVER  by COBB,DANIEL",2
11:08,"STEAL  by ROTH,DREW",,,,,,,"STEAL  by ROTH,DREW",2
11:03,"TURNOVER  by HAUPT,KYLE",,,,,,,"TURNOVER  by HAUPT,KYLE",2
10:46,,,,,"MISS JUMPER by BERRY,COLTEN(in the paint)",,,"MISS JUMPER by BERRY,COLTEN(in the paint)",2
--,"REBOUND DEF by BONNECAZE,STEWART",,,,,,,"REBOUND DEF by BONNECAZE,STEWART",2
10:32,"TURNOVER  by GASCA,DAKOTA",,,,,,,"TURNOVER  by GASCA,DAKOTA",2
10:32,,,,,"STEAL  by SQUIRES,CALEB",,,"STEAL  by SQUIRES,CALEB",2
10:11,,46,,59 (+13),"GOOD JUMPER by BERRY,COLTEN(in the paint)",Hend 46-59 (+13),,"GOOD JUMPER by BERRY,COLTEN(in the paint)",2
09:45,"TURNOVER  by HAUPT,KYLE",,,,,,,"TURNOVER  by HAUPT,KYLE",2
09:45,,,,,"STEAL  by COBB,DANIEL",,,"STEAL  by COBB,DANIEL",2
09:42,,46,,61 (+15),"GOOD JUMPER by SQUIRES,CALEB(fastbreak)(in the paint)",Hend 46-61 (+15),,"GOOD JUMPER by SQUIRES,CALEB(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by COBB,DANIEL",,,"ASSIST  by COBB,DANIEL",2
09:42,"FOUL  by BONNECAZE,STEWART",,,,,,,"FOUL  by BONNECAZE,STEWART",2
09:42,"SUB OUT by STEPHEN,SETH",,,,,,,"SUB OUT by STEPHEN,SETH",2
09:42,"SUB OUT by BONNECAZE,STEWART",,,,,,,"SUB OUT by BONNECAZE,STEWART",2
09:42,"SUB OUT by ROTH,DREW",,,,,,,"SUB OUT by ROTH,DREW",2
09:42,"SUB IN by WATSON,DOUG",,,,,,,"SUB IN by WATSON,DOUG",2
09:42,"SUB IN by FORBES,TRACE",,,,,,,"SUB IN by FORBES,TRACE",2
09:42,"SUB IN by URSIN,AARON",,,,,,,"SUB IN by URSIN,AARON",2
09:42,,46,,62 (+16),"GOOD FT by SQUIRES,CALEB(fastbreak)",Hend 46-62 (+16),,"GOOD FT by SQUIRES,CALEB(fastbreak)",2
09:26,,,,,"FOUL  by BERRY,COLTEN",,,"FOUL  by BERRY,COLTEN",2
09:15,"TURNOVER  by GASCA,DAKOTA",,,,,,,"TURNOVER  by GASCA,DAKOTA",2
08:56,,,,,"MISS 3PTR by COBB,DANIEL",,,"MISS 3PTR by COBB,DANIEL",2
--,"REBOUND DEF by FORBES,TRACE",,,,,,,"REBOUND DEF by FORBES,TRACE",2
08:49,"MISS 3PTR by FORBES,TRACE",,,,,,,"MISS 3PTR by FORBES,TRACE",2
--,,,,,"REBOUND DEF by SQUIRES,CALEB",,,"REBOUND DEF by SQUIRES,CALEB",2
08:40,,46,,64 (+18),"GOOD JUMPER by DEITHLOFF,TYLER(in the paint)",Hend 46-64 (+18),,"GOOD JUMPER by DEITHLOFF,TYLER(in the paint)",2
--,,,,,"ASSIST  by SQUIRES,CALEB",,,"ASSIST  by SQUIRES,CALEB",2
08:25,"GOOD JUMPER by WATSON,DOUG",48,,64 (+16),,Mill 48-64 (+16),,"GOOD JUMPER by WATSON,DOUG",2
08:04,,,,,"TURNOVER  by WEAVER,BRADEN",,,"TURNOVER  by WEAVER,BRADEN",2
08:04,"STEAL  by FORBES,TRACE",,,,,,,"STEAL  by FORBES,TRACE",2
07:59,"MISS JUMPER by FORBES,TRACE(in the paint)",,,,,,,"MISS JUMPER by FORBES,TRACE(in the paint)",2
--,,,,,"REBOUND DEF by WEAVER,BRADEN",,,"REBOUND DEF by WEAVER,BRADEN",2
07:48,,,,,"MISS 3PTR by DEITHLOFF,TYLER",,,"MISS 3PTR by DEITHLOFF,TYLER",2
--,"REBOUND DEF by URSIN,AARON",,,,,,,"REBOUND DEF by URSIN,AARON",2
07:38,"MISS LAYUP by WATSON,DOUG(in the paint)",,,,,,,"MISS LAYUP by WATSON,DOUG(in the paint)",2
--,,,,,"REBOUND DEF by BERRY,COLTEN",,,"REBOUND DEF by BERRY,COLTEN",2
07:23,,,,,"MISS 3PTR by WEAVER,BRADEN",,,"MISS 3PTR by WEAVER,BRADEN",2
--,"REBOUND DEF by WATSON,DOUG",,,,,,,"REBOUND DEF by WATSON,DOUG",2
07:16,"GOOD JUMPER by WATSON,DOUG(fastbreak)(in the paint)",50,,64 (+14),,Mill 50-64 (+14),,"GOOD JUMPER by WATSON,DOUG(fastbreak)(in the paint)",2
07:16,,,,,"FOUL  by SQUIRES,CALEB",,,"FOUL  by SQUIRES,CALEB",2
07:16,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
07:16,,,,,"SUB OUT by DEITHLOFF,TYLER",,,"SUB OUT by DEITHLOFF,TYLER",2
07:16,,,,,"SUB IN by KRONENBERGER,BEAU",,,"SUB IN by KRONENBERGER,BEAU",2
07:16,"SUB OUT by HAUPT,KYLE",,,,,,,"SUB OUT by HAUPT,KYLE",2
07:16,"SUB OUT by FORBES,TRACE",,,,,,,"SUB OUT by FORBES,TRACE",2
07:16,"SUB OUT by URSIN,AARON",,,,,,,"SUB OUT by URSIN,AARON",2
07:16,"SUB IN by STEPHEN,SETH",,,,,,,"SUB IN by STEPHEN,SETH",2
07:16,"SUB IN by UGHOVWA,NICHOLAS",,,,,,,"SUB IN by UGHOVWA,NICHOLAS",2
07:16,"SUB IN by HOGAN,TJ",,,,,,,"SUB IN by HOGAN,TJ",2
07:16,"GOOD FT by WATSON,DOUG(fastbreak)",51,,64 (+13),,Mill 51-64 (+13),,"GOOD FT by WATSON,DOUG(fastbreak)",2
07:01,,51,,66 (+15),"GOOD JUMPER by SQUIRES,CALEB(in the paint)",Hend 51-66 (+15),,"GOOD JUMPER by SQUIRES,CALEB(in the paint)",2
06:45,"FOUL  by UGHOVWA,NICHOLAS",,,,,,,"FOUL  by UGHOVWA,NICHOLAS",2
06:45,"TURNOVER  by UGHOVWA,NICHOLAS",,,,,,,"TURNOVER  by UGHOVWA,NICHOLAS",2
06:23,,,,,"MISS 3PTR by SQUIRES,CALEB",,,"MISS 3PTR by SQUIRES,CALEB",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
06:04,"GOOD JUMPER by UGHOVWA,NICHOLAS(in the paint)",53,,66 (+13),,Mill 53-66 (+13),,"GOOD JUMPER by UGHOVWA,NICHOLAS(in the paint)",2
05:50,,53,,69 (+16),"GOOD 3PTR by WEAVER,BRADEN",Hend 53-69 (+16),,"GOOD 3PTR by WEAVER,BRADEN",2
--,,,,,"ASSIST  by COBB,DANIEL",,,"ASSIST  by COBB,DANIEL",2
05:32,"MISS JUMPER by WATSON,DOUG(in the paint)",,,,,,,"MISS JUMPER by WATSON,DOUG(in the paint)",2
--,,,,,"REBOUND DEF by COBB,DANIEL",,,"REBOUND DEF by COBB,DANIEL",2
05:09,,,,,"MISS JUMPER by SQUIRES,CALEB(in the paint)",,,"MISS JUMPER by SQUIRES,CALEB(in the paint)",2
--,"REBOUND DEF by UGHOVWA,NICHOLAS",,,,,,,"REBOUND DEF by UGHOVWA,NICHOLAS",2
04:50,"MISS JUMPER by STEPHEN,SETH(in the paint)",,,,,,,"MISS JUMPER by STEPHEN,SETH(in the paint)",2
--,,,,,"REBOUND DEF by KRONENBERGER,BEAU",,,"REBOUND DEF by KRONENBERGER,BEAU",2
04:38,,53,,71 (+18),"GOOD JUMPER by SQUIRES,CALEB(in the paint)",Hend 53-71 (+18),,"GOOD JUMPER by SQUIRES,CALEB(in the paint)",2
04:37,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
04:37,,,,,"SUB OUT by SQUIRES,CALEB",,,"SUB OUT by SQUIRES,CALEB",2
04:37,,,,,"SUB OUT by BERRY,COLTEN",,,"SUB OUT by BERRY,COLTEN",2
04:37,,,,,"SUB IN by MAYO,DREW",,,"SUB IN by MAYO,DREW",2
04:37,,,,,"SUB IN by PATTON,LUKE",,,"SUB IN by PATTON,LUKE",2
04:37,"SUB OUT by STEPHEN,SETH",,,,,,,"SUB OUT by STEPHEN,SETH",2
04:37,"SUB IN by URSIN,AARON",,,,,,,"SUB IN by URSIN,AARON",2
04:20,"GOOD JUMPER by URSIN,AARON(in the paint)",55,,71 (+16),,Mill 55-71 (+16),,"GOOD JUMPER by URSIN,AARON(in the paint)",2
04:20,,,,,"FOUL  by PATTON,LUKE",,,"FOUL  by PATTON,LUKE",2
04:20,"SUB OUT by HOGAN,TJ",,,,,,,"SUB OUT by HOGAN,TJ",2
04:20,"SUB IN by BONNECAZE,STEWART",,,,,,,"SUB IN by BONNECAZE,STEWART",2
04:20,"MISS FT by URSIN,AARON",,,,,,,"MISS FT by URSIN,AARON",2
--,,,,,"REBOUND DEF by KRONENBERGER,BEAU",,,"REBOUND DEF by KRONENBERGER,BEAU",2
04:00,,,,,"MISS 3PTR by KRONENBERGER,BEAU",,,"MISS 3PTR by KRONENBERGER,BEAU",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
03:57,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
03:57,,,,,"SUB OUT by COBB,DANIEL",,,"SUB OUT by COBB,DANIEL",2
03:57,,,,,"SUB OUT by WEAVER,BRADEN",,,"SUB OUT by WEAVER,BRADEN",2
03:57,,,,,"SUB IN by TORRES,JADEN",,,"SUB IN by TORRES,JADEN",2
03:57,,,,,"SUB IN by MCMULLIN,COLTON",,,"SUB IN by MCMULLIN,COLTON",2
03:42,"MISS 3PTR by URSIN,AARON",,,,,,,"MISS 3PTR by URSIN,AARON",2
--,"REBOUND OFF by WATSON,DOUG",,,,,,,"REBOUND OFF by WATSON,DOUG",2
03:37,"MISS JUMPER by WATSON,DOUG(in the paint)",,,,,,,"MISS JUMPER by WATSON,DOUG(in the paint)",2
03:37,,,,,"BLOCK  by MAYO,DREW",,,"BLOCK  by MAYO,DREW",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
03:33,"MISS JUMPER by WATSON,DOUG",,,,,,,"MISS JUMPER by WATSON,DOUG",2
--,"REBOUND OFF by BONNECAZE,STEWART",,,,,,,"REBOUND OFF by BONNECAZE,STEWART",2
03:26,"MISS LAYUP by BONNECAZE,STEWART(in the paint)",,,,,,,"MISS LAYUP by BONNECAZE,STEWART(in the paint)",2
--,"REBOUND OFF by UGHOVWA,NICHOLAS",,,,,,,"REBOUND OFF by UGHOVWA,NICHOLAS",2
03:21,"MISS JUMPER by UGHOVWA,NICHOLAS(in the paint)",,,,,,,"MISS JUMPER by UGHOVWA,NICHOLAS(in the paint)",2
--,,,,,"REBOUND DEF by KRONENBERGER,BEAU",,,"REBOUND DEF by KRONENBERGER,BEAU",2
02:50,,55,,73 (+18),"GOOD LAYUP by TORRES,JADEN(in the paint)",Hend 55-73 (+18),,"GOOD LAYUP by TORRES,JADEN(in the paint)",2
--,,,,,"ASSIST  by PATTON,LUKE",,,"ASSIST  by PATTON,LUKE",2
02:34,"GOOD 3PTR by BONNECAZE,STEWART",58,,73 (+15),,Mill 58-73 (+15),,"GOOD 3PTR by BONNECAZE,STEWART",2
--,"ASSIST  by URSIN,AARON",,,,,,,"ASSIST  by URSIN,AARON",2
02:31,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
02:31,"SUB OUT by UGHOVWA,NICHOLAS",,,,,,,"SUB OUT by UGHOVWA,NICHOLAS",2
02:31,"SUB OUT by URSIN,AARON",,,,,,,"SUB OUT by URSIN,AARON",2
02:31,"SUB IN by STEPHEN,SETH",,,,,,,"SUB IN by STEPHEN,SETH",2
02:31,"SUB IN by FORBES,TRACE",,,,,,,"SUB IN by FORBES,TRACE",2
02:21,,,,,"TURNOVER  by TORRES,JADEN",,,"TURNOVER  by TORRES,JADEN",2
02:08,"GOOD 3PTR by BONNECAZE,STEWART",61,,73 (+12),,Mill 61-73 (+12),,"GOOD 3PTR by BONNECAZE,STEWART",2
--,"ASSIST  by STEPHEN,SETH",,,,,,,"ASSIST  by STEPHEN,SETH",2
01:53,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
01:53,,,,,"SUB OUT by KRONENBERGER,BEAU",,,"SUB OUT by KRONENBERGER,BEAU",2
01:53,,,,,"SUB OUT by TORRES,JADEN",,,"SUB OUT by TORRES,JADEN",2
01:53,,,,,"SUB OUT by MCMULLIN,COLTON",,,"SUB OUT by MCMULLIN,COLTON",2
01:53,,,,,"SUB OUT by MAYO,DREW",,,"SUB OUT by MAYO,DREW",2
01:53,,,,,"SUB OUT by PATTON,LUKE",,,"SUB OUT by PATTON,LUKE",2
01:53,,,,,"SUB IN by COBB,DANIEL",,,"SUB IN by COBB,DANIEL",2
01:53,,,,,"SUB IN by WEAVER,BRADEN",,,"SUB IN by WEAVER,BRADEN",2
01:53,,,,,"SUB IN by SQUIRES,CALEB",,,"SUB IN by SQUIRES,CALEB",2
01:53,,,,,"SUB IN by BERRY,COLTEN",,,"SUB IN by BERRY,COLTEN",2
01:53,,,,,"SUB IN by DEITHLOFF,TYLER",,,"SUB IN by DEITHLOFF,TYLER",2
01:51,"FOUL  by BONNECAZE,STEWART",,,,,,,"FOUL  by BONNECAZE,STEWART",2
01:51,,61,,74 (+13),"GOOD FT by SQUIRES,CALEB",Hend 61-74 (+13),,"GOOD FT by SQUIRES,CALEB",2
01:51,,61,,75 (+14),"GOOD FT by SQUIRES,CALEB",Hend 61-75 (+14),,"GOOD FT by SQUIRES,CALEB",2
01:46,"MISS JUMPER by GASCA,DAKOTA(in the paint)",,,,,,,"MISS JUMPER by GASCA,DAKOTA(in the paint)",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
01:45,"SUB OUT by STEPHEN,SETH",,,,,,,"SUB OUT by STEPHEN,SETH",2
01:45,"SUB OUT by BONNECAZE,STEWART",,,,,,,"SUB OUT by BONNECAZE,STEWART",2
01:45,"SUB OUT by WATSON,DOUG",,,,,,,"SUB OUT by WATSON,DOUG",2
01:45,"SUB OUT by GASCA,DAKOTA",,,,,,,"SUB OUT by GASCA,DAKOTA",2
01:45,"SUB OUT by FORBES,TRACE",,,,,,,"SUB OUT by FORBES,TRACE",2
01:45,"SUB IN by HAUPT,KYLE",,,,,,,"SUB IN by HAUPT,KYLE",2
01:45,"SUB IN by HOGAN,TJ",,,,,,,"SUB IN by HOGAN,TJ",2
01:45,"SUB IN by HUNT,D'SHAWN",,,,,,,"SUB IN by HUNT,D'SHAWN",2
01:45,"SUB IN by GORTON,MACK",,,,,,,"SUB IN by GORTON,MACK",2
01:45,"SUB IN by ROTH,DREW",,,,,,,"SUB IN by ROTH,DREW",2
01:18,,,,,"MISS JUMPER by WEAVER,BRADEN",,,"MISS JUMPER by WEAVER,BRADEN",2
--,,,,,"REBOUND OFF by BERRY,COLTEN",,,"REBOUND OFF by BERRY,COLTEN",2
01:14,,61,,77 (+16),"GOOD LAYUP by BERRY,COLTEN(in the paint)",Hend 61-77 (+16),,"GOOD LAYUP by BERRY,COLTEN(in the paint)",2
00:58,"MISS JUMPER by HUNT,D'SHAWN(in the paint)",,,,,,,"MISS JUMPER by HUNT,D'SHAWN(in the paint)",2
--,,,,,"REBOUND DEF by COBB,DANIEL",,,"REBOUND DEF by COBB,DANIEL",2
00:52,,,,,"SUB OUT by COBB,DANIEL",,,"SUB OUT by COBB,DANIEL",2
00:52,,,,,"SUB OUT by WEAVER,BRADEN",,,"SUB OUT by WEAVER,BRADEN",2
00:52,,,,,"SUB OUT by SQUIRES,CALEB",,,"SUB OUT by SQUIRES,CALEB",2
00:52,,,,,"SUB OUT by BERRY,COLTEN",,,"SUB OUT by BERRY,COLTEN",2
00:52,,,,,"SUB OUT by DEITHLOFF,TYLER",,,"SUB OUT by DEITHLOFF,TYLER",2
