Time Remaining,Hend,Away Team Score,Play Team Indicator,Home Team Score,TLU,Game Score,Team Indicator,Play,Period
15:35,"GOOD JUMPER by SQUIRES,CALEB(in the paint)",2,,7 (+5),,Hend 2-7 (-5),,"GOOD JUMPER by SQUIRES,CALEB(in the paint)",1
15:12,,,,,"MISS 3PTR by PHILLIPS,XAVIER",,,"MISS 3PTR by PHILLIPS,XAVIER",1
--,,,,,"REBOUND OFF by PHILLIPS,XAVIER",,,"REBOUND OFF by PHILLIPS,XAVIER",1
15:05,,4,,7 (+3),"GOOD JUMPER by PHILLIPS,XAVIER(in the paint)",TLU 4-7 (-3),,"GOOD JUMPER by PHILLIPS,XAVIER(in the paint)",1
14:47,"GOOD JUMPER by BERRY,COLTEN(in the paint)",4,,9 (+5),,Hend 4-9 (-5),,"GOOD JUMPER by BERRY,COLTEN(in the paint)",1
--,"ASSIST  by MCMULLIN,COLTON",,,,,,,"ASSIST  by MCMULLIN,COLTON",1
14:23,"FOUL  by MCMULLIN,COLTON",,,,,,,"FOUL  by MCMULLIN,COLTON",1
14:23,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
14:23,"SUB OUT by WEAVER,BRADEN",,,,,,,"SUB OUT by WEAVER,BRADEN",1
14:23,"SUB OUT by SQUIRES,CALEB",,,,,,,"SUB OUT by SQUIRES,CALEB",1
14:23,"SUB OUT by BERRY,COLTEN",,,,,,,"SUB OUT by BERRY,COLTEN",1
14:23,"SUB IN by RYAN,JONATHAN",,,,,,,"SUB IN by RYAN,JONATHAN",1
14:23,"SUB IN by COLLIER II,CRAIG",,,,,,,"SUB IN by COLLIER II,CRAIG",1
14:23,"SUB IN by INGRAM,KYLE",,,,,,,"SUB IN by INGRAM,KYLE",1
14:23,,,,,"SUB OUT by ALLEN,EASTON",,,"SUB OUT by ALLEN,EASTON",1
14:23,,,,,"SUB OUT by PHILLIPS,XAVIER",,,"SUB OUT by PHILLIPS,XAVIER",1
14:23,,,,,"SUB IN by OROZCO,ISAAC",,,"SUB IN by OROZCO,ISAAC",1
14:23,,,,,"SUB IN by WATSON,JT",,,"SUB IN by WATSON,JT",1
14:23,,,,,"SUB OUT by FORNERETTE,RILEY",,,"SUB OUT by FORNERETTE,RILEY",1
14:23,,,,,"SUB IN by PHILLIPS,XAVIER",,,"SUB IN by PHILLIPS,XAVIER",1
14:23,,5,,9 (+4),"GOOD FT by PHILLIPS,XAVIER",TLU 5-9 (-4),,"GOOD FT by PHILLIPS,XAVIER",1
14:23,,6,,9 (+3),"GOOD FT by PHILLIPS,XAVIER",TLU 6-9 (-3),,"GOOD FT by PHILLIPS,XAVIER",1
14:23,,,,,"SUB OUT by PHILLIPS,XAVIER",,,"SUB OUT by PHILLIPS,XAVIER",1
14:23,,,,,"SUB IN by FORNERETTE,RILEY",,,"SUB IN by FORNERETTE,RILEY",1
14:22,"GOOD JUMPER by KRONENBERGER,BEAU(in the paint)",6,,11 (+5),,Hend 6-11 (-5),,"GOOD JUMPER by KRONENBERGER,BEAU(in the paint)",1
14:04,,9,,11 (+2),"GOOD 3PTR by GREEN,MASON",TLU 9-11 (-2),,"GOOD 3PTR by GREEN,MASON",1
--,,,,,"ASSIST  by OROZCO,ISAAC",,,"ASSIST  by OROZCO,ISAAC",1
13:46,,,,,"FOUL  by OROZCO,ISAAC",,,"FOUL  by OROZCO,ISAAC",1
13:46,"SUB OUT by KRONENBERGER,BEAU",,,,,,,"SUB OUT by KRONENBERGER,BEAU",1
13:46,"SUB IN by MAYO,DREW",,,,,,,"SUB IN by MAYO,DREW",1
13:31,"GOOD JUMPER by RYAN,JONATHAN(in the paint)",9,,13 (+4),,Hend 9-13 (-4),,"GOOD JUMPER by RYAN,JONATHAN(in the paint)",1
13:18,,12,,13 (+1),"GOOD 3PTR by FORNERETTE,RILEY",TLU 12-13 (-1),,"GOOD 3PTR by FORNERETTE,RILEY",1
--,,,,,"ASSIST  by OROZCO,ISAAC",,,"ASSIST  by OROZCO,ISAAC",1
13:05,"MISS 3PTR by MCMULLIN,COLTON",,,,,,,"MISS 3PTR by MCMULLIN,COLTON",1
--,"REBOUND OFF by INGRAM,KYLE",,,,,,,"REBOUND OFF by INGRAM,KYLE",1
12:57,"TURNOVER  by INGRAM,KYLE",,,,,,,"TURNOVER  by INGRAM,KYLE",1
12:57,,,,,"STEAL  by OROZCO,ISAAC",,,"STEAL  by OROZCO,ISAAC",1
12:53,,14 (+1),,13,"GOOD LAYUP by OROZCO,ISAAC(fastbreak)(in the paint)",TLU 14-13 (+1),,"GOOD LAYUP by OROZCO,ISAAC(fastbreak)(in the paint)",1
12:41,"TURNOVER  by COLLIER II,CRAIG",,,,,,,"TURNOVER  by COLLIER II,CRAIG",1
12:41,,,,,"STEAL  by GREEN,MASON",,,"STEAL  by GREEN,MASON",1
12:41,"SUB OUT by MCMULLIN,COLTON",,,,,,,"SUB OUT by MCMULLIN,COLTON",1
12:41,"SUB IN by TORRES,JADEN",,,,,,,"SUB IN by TORRES,JADEN",1
12:28,,,,,"MISS 3PTR by FORNERETTE,RILEY",,,"MISS 3PTR by FORNERETTE,RILEY",1
--,"REBOUND DEF by TORRES,JADEN",,,,,,,"REBOUND DEF by TORRES,JADEN",1
12:10,,,,,"FOUL  by GREEN,MASON",,,"FOUL  by GREEN,MASON",1
12:07,"GOOD FT by INGRAM,KYLE",14,,14,,Hend 14-14 (0),,"GOOD FT by INGRAM,KYLE",1
12:04,,,,,"SUB OUT by GREEN,MASON",,,"SUB OUT by GREEN,MASON",1
12:04,,,,,"SUB IN by ALLEN,EASTON",,,"SUB IN by ALLEN,EASTON",1
12:01,"GOOD FT by INGRAM,KYLE",14,,15 (+1),,Hend 14-15 (-1),,"GOOD FT by INGRAM,KYLE",1
11:39,,,,,"TURNOVER  by OROZCO,ISAAC",,,"TURNOVER  by OROZCO,ISAAC",1
11:39,"STEAL  by RYAN,JONATHAN",,,,,,,"STEAL  by RYAN,JONATHAN",1
11:33,"TURNOVER  by RYAN,JONATHAN",,,,,,,"TURNOVER  by RYAN,JONATHAN",1
11:33,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:33,,,,,"SUB OUT by OROZCO,ISAAC",,,"SUB OUT by OROZCO,ISAAC",1
11:33,,,,,"SUB OUT by WALLACE,MASON",,,"SUB OUT by WALLACE,MASON",1
11:33,,,,,"SUB IN by PHILLIPS,XAVIER",,,"SUB IN by PHILLIPS,XAVIER",1
11:33,,,,,"SUB IN by REYES,CESAR",,,"SUB IN by REYES,CESAR",1
11:24,"FOUL  by RYAN,JONATHAN",,,,,,,"FOUL  by RYAN,JONATHAN",1
11:17,"FOUL  by RYAN,JONATHAN",,,,,,,"FOUL  by RYAN,JONATHAN",1
11:17,"SUB OUT by RYAN,JONATHAN",,,,,,,"SUB OUT by RYAN,JONATHAN",1
11:17,"SUB IN by WEAVER,BRADEN",,,,,,,"SUB IN by WEAVER,BRADEN",1
11:17,,,,,"MISS JUMPER by ALLEN,EASTON",,,"MISS JUMPER by ALLEN,EASTON",1
--,"REBOUND DEF by WEAVER,BRADEN",,,,,,,"REBOUND DEF by WEAVER,BRADEN",1
11:17,"GOOD 3PTR by MAYO,DREW",14,,18 (+4),,Hend 14-18 (-4),,"GOOD 3PTR by MAYO,DREW",1
--,"ASSIST  by INGRAM,KYLE",,,,,,,"ASSIST  by INGRAM,KYLE",1
11:17,,,,,"TURNOVER  by FORNERETTE,RILEY",,,"TURNOVER  by FORNERETTE,RILEY",1
11:17,"STEAL  by WEAVER,BRADEN",,,,,,,"STEAL  by WEAVER,BRADEN",1
10:13,"GOOD JUMPER by COLLIER II,CRAIG(in the paint)",14,,20 (+6),,Hend 14-20 (-6),,"GOOD JUMPER by COLLIER II,CRAIG(in the paint)",1
10:02,"FOUL  by COLLIER II,CRAIG",,,,,,,"FOUL  by COLLIER II,CRAIG",1
09:52,,,,,"MISS FT by PHILLIPS,XAVIER",,,"MISS FT by PHILLIPS,XAVIER",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
09:52,,,,,"SUB OUT by ALLEN,EASTON",,,"SUB OUT by ALLEN,EASTON",1
09:52,,,,,"SUB OUT by FORNERETTE,RILEY",,,"SUB OUT by FORNERETTE,RILEY",1
09:52,,,,,"SUB IN by WALLACE,MASON",,,"SUB IN by WALLACE,MASON",1
09:52,,,,,"SUB IN by GREEN,MASON",,,"SUB IN by GREEN,MASON",1
09:52,,15,,20 (+5),"GOOD FT by PHILLIPS,XAVIER",TLU 15-20 (-5),,"GOOD FT by PHILLIPS,XAVIER",1
09:52,"GOOD JUMPER by INGRAM,KYLE(in the paint)",15,,22 (+7),,Hend 15-22 (-7),,"GOOD JUMPER by INGRAM,KYLE(in the paint)",1
--,"ASSIST  by WEAVER,BRADEN",,,,,,,"ASSIST  by WEAVER,BRADEN",1
09:52,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
09:25,,,,,"MISS 3PTR by PHILLIPS,XAVIER",,,"MISS 3PTR by PHILLIPS,XAVIER",1
--,"REBOUND DEF by TORRES,JADEN",,,,,,,"REBOUND DEF by TORRES,JADEN",1
09:07,"MISS JUMPER by COLLIER II,CRAIG",,,,,,,"MISS JUMPER by COLLIER II,CRAIG",1
--,,,,,"REBOUND DEF by WALLACE,MASON",,,"REBOUND DEF by WALLACE,MASON",1
09:01,,18,,22 (+4),"GOOD 3PTR by PHILLIPS,XAVIER",TLU 18-22 (-4),,"GOOD 3PTR by PHILLIPS,XAVIER",1
--,,,,,"ASSIST  by REYES,CESAR",,,"ASSIST  by REYES,CESAR",1
08:34,"GOOD JUMPER by COLLIER II,CRAIG(in the paint)",18,,24 (+6),,Hend 18-24 (-6),,"GOOD JUMPER by COLLIER II,CRAIG(in the paint)",1
08:07,,21,,24 (+3),"GOOD 3PTR by WATSON,JT",TLU 21-24 (-3),,"GOOD 3PTR by WATSON,JT",1
--,,,,,"ASSIST  by GREEN,MASON",,,"ASSIST  by GREEN,MASON",1
07:49,"GOOD JUMPER by COLLIER II,CRAIG(in the paint)",21,,26 (+5),,Hend 21-26 (-5),,"GOOD JUMPER by COLLIER II,CRAIG(in the paint)",1
07:33,,,,,"MISS 3PTR by PHILLIPS,XAVIER",,,"MISS 3PTR by PHILLIPS,XAVIER",1
--,"REBOUND DEF by WEAVER,BRADEN",,,,,,,"REBOUND DEF by WEAVER,BRADEN",1
07:24,"MISS JUMPER by WEAVER,BRADEN",,,,,,,"MISS JUMPER by WEAVER,BRADEN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
07:21,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:21,"SUB OUT by COLLIER II,CRAIG",,,,,,,"SUB OUT by COLLIER II,CRAIG",1
07:21,"SUB OUT by TORRES,JADEN",,,,,,,"SUB OUT by TORRES,JADEN",1
07:21,"SUB OUT by INGRAM,KYLE",,,,,,,"SUB OUT by INGRAM,KYLE",1
07:21,"SUB IN by SQUIRES,CALEB",,,,,,,"SUB IN by SQUIRES,CALEB",1
07:21,"SUB IN by MCMULLIN,COLTON",,,,,,,"SUB IN by MCMULLIN,COLTON",1
07:21,"SUB IN by BERRY,COLTEN",,,,,,,"SUB IN by BERRY,COLTEN",1
07:21,,,,,"SUB OUT by REYES,CESAR",,,"SUB OUT by REYES,CESAR",1
07:21,,,,,"SUB OUT by WATSON,JT",,,"SUB OUT by WATSON,JT",1
07:21,,,,,"SUB IN by ALLEN,EASTON",,,"SUB IN by ALLEN,EASTON",1
07:21,,,,,"SUB IN by FORNERETTE,RILEY",,,"SUB IN by FORNERETTE,RILEY",1
06:53,,,,,"MISS 3PTR by PHILLIPS,XAVIER",,,"MISS 3PTR by PHILLIPS,XAVIER",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
06:53,,,,,"FOUL  by GREEN,MASON",,,"FOUL  by GREEN,MASON",1
06:53,,,,,"TURNOVER  by GREEN,MASON",,,"TURNOVER  by GREEN,MASON",1
06:53,,,,,"SUB OUT by GREEN,MASON",,,"SUB OUT by GREEN,MASON",1
06:53,,,,,"SUB IN by WATSON,JT",,,"SUB IN by WATSON,JT",1
06:47,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
06:15,,,,,"TURNOVER  by FORNERETTE,RILEY",,,"TURNOVER  by FORNERETTE,RILEY",1
06:15,"STEAL  by MCMULLIN,COLTON",,,,,,,"STEAL  by MCMULLIN,COLTON",1
06:04,,,,,"FOUL  by WALLACE,MASON",,,"FOUL  by WALLACE,MASON",1
06:00,"TURNOVER  by SQUIRES,CALEB",,,,,,,"TURNOVER  by SQUIRES,CALEB",1
05:42,,24,,26 (+2),"GOOD 3PTR by FORNERETTE,RILEY",TLU 24-26 (-2),,"GOOD 3PTR by FORNERETTE,RILEY",1
--,,,,,"ASSIST  by PHILLIPS,XAVIER",,,"ASSIST  by PHILLIPS,XAVIER",1
05:23,,,,,"FOUL  by ALLEN,EASTON",,,"FOUL  by ALLEN,EASTON",1
05:23,"SUB OUT by SQUIRES,CALEB",,,,,,,"SUB OUT by SQUIRES,CALEB",1
05:23,"SUB IN by TORRES,JADEN",,,,,,,"SUB IN by TORRES,JADEN",1
05:23,"MISS FT by BERRY,COLTEN",,,,,,,"MISS FT by BERRY,COLTEN",1
--,,,,,"REBOUND DEF by ALLEN,EASTON",,,"REBOUND DEF by ALLEN,EASTON",1
05:17,,,,,"MISS 3PTR by PHILLIPS,XAVIER",,,"MISS 3PTR by PHILLIPS,XAVIER",1
--,,,,,"REBOUND OFF by WALLACE,MASON",,,"REBOUND OFF by WALLACE,MASON",1
05:10,,,,,"MISS JUMPER by FORNERETTE,RILEY",,,"MISS JUMPER by FORNERETTE,RILEY",1
--,,,,,"REBOUND OFF by WATSON,JT",,,"REBOUND OFF by WATSON,JT",1
05:05,"FOUL  by MAYO,DREW",,,,,,,"FOUL  by MAYO,DREW",1
04:52,,25,,26 (+1),"GOOD FT by ALLEN,EASTON",TLU 25-26 (-1),,"GOOD FT by ALLEN,EASTON",1
04:52,"SUB OUT by MAYO,DREW",,,,,,,"SUB OUT by MAYO,DREW",1
04:52,"SUB IN by KRONENBERGER,BEAU",,,,,,,"SUB IN by KRONENBERGER,BEAU",1
04:52,,,,,"SUB OUT by WALLACE,MASON",,,"SUB OUT by WALLACE,MASON",1
04:52,,,,,"SUB IN by OROZCO,ISAAC",,,"SUB IN by OROZCO,ISAAC",1
04:52,"SUB OUT by WEAVER,BRADEN",,,,,,,"SUB OUT by WEAVER,BRADEN",1
04:52,"SUB IN by COLLIER II,CRAIG",,,,,,,"SUB IN by COLLIER II,CRAIG",1
04:52,,26,,26,"GOOD FT by ALLEN,EASTON",TLU 26-26 (0),,"GOOD FT by ALLEN,EASTON",1
04:34,"GOOD JUMPER by BERRY,COLTEN(in the paint)",26,,28 (+2),,Hend 26-28 (-2),,"GOOD JUMPER by BERRY,COLTEN(in the paint)",1
04:07,,,,,"MISS 3PTR by FORNERETTE,RILEY",,,"MISS 3PTR by FORNERETTE,RILEY",1
--,,,,,"REBOUND OFF by WATSON,JT",,,"REBOUND OFF by WATSON,JT",1
04:06,,28,,28,"GOOD JUMPER by ALLEN,EASTON(in the paint)",TLU 28-28 (0),,"GOOD JUMPER by ALLEN,EASTON(in the paint)",1
--,,,,,"ASSIST  by WATSON,JT",,,"ASSIST  by WATSON,JT",1
03:58,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:58,"TURNOVER  by COLLIER II,CRAIG",,,,,,,"TURNOVER  by COLLIER II,CRAIG",1
03:58,,,,,"STEAL  by ALLEN,EASTON",,,"STEAL  by ALLEN,EASTON",1
03:58,,,,,"MISS JUMPER by FORNERETTE,RILEY",,,"MISS JUMPER by FORNERETTE,RILEY",1
--,"REBOUND DEF by BERRY,COLTEN",,,,,,,"REBOUND DEF by BERRY,COLTEN",1
03:58,"MISS JUMPER by MCMULLIN,COLTON(in the paint)",,,,,,,"MISS JUMPER by MCMULLIN,COLTON(in the paint)",1
--,,,,,"REBOUND DEF by OROZCO,ISAAC",,,"REBOUND DEF by OROZCO,ISAAC",1
03:58,"FOUL  by BERRY,COLTEN",,,,,,,"FOUL  by BERRY,COLTEN",1
03:58,,29 (+1),,28,"GOOD FT by PHILLIPS,XAVIER",TLU 29-28 (+1),,"GOOD FT by PHILLIPS,XAVIER",1
03:58,,30 (+2),,28,"GOOD FT by PHILLIPS,XAVIER",TLU 30-28 (+2),,"GOOD FT by PHILLIPS,XAVIER",1
03:58,,,,,"FOUL  by ALLEN,EASTON",,,"FOUL  by ALLEN,EASTON",1
03:58,,,,,"MISS FT by ALLEN,EASTON",,,"MISS FT by ALLEN,EASTON",1
03:58,,31 (+3),,28,"GOOD FT by ALLEN,EASTON",TLU 31-28 (+3),,"GOOD FT by ALLEN,EASTON",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
03:14,"MISS JUMPER by COLLIER II,CRAIG(in the paint)",,,,,,,"MISS JUMPER by COLLIER II,CRAIG(in the paint)",1
--,,,,,"REBOUND DEF by PHILLIPS,XAVIER",,,"REBOUND DEF by PHILLIPS,XAVIER",1
02:07,,,,,"MISS 3PTR by PHILLIPS,XAVIER",,,"MISS 3PTR by PHILLIPS,XAVIER",1
--,"REBOUND DEF by COLLIER II,CRAIG",,,,,,,"REBOUND DEF by COLLIER II,CRAIG",1
02:06,"SUB OUT by BERRY,COLTEN",,,,,,,"SUB OUT by BERRY,COLTEN",1
02:06,"SUB IN by INGRAM,KYLE",,,,,,,"SUB IN by INGRAM,KYLE",1
02:03,"MISS JUMPER by INGRAM,KYLE(in the paint)",,,,,,,"MISS JUMPER by INGRAM,KYLE(in the paint)",1
--,,,,,"REBOUND DEF by FORNERETTE,RILEY",,,"REBOUND DEF by FORNERETTE,RILEY",1
01:57,,,,,"MISS 3PTR by OROZCO,ISAAC",,,"MISS 3PTR by OROZCO,ISAAC",1
--,"REBOUND DEF by KRONENBERGER,BEAU",,,,,,,"REBOUND DEF by KRONENBERGER,BEAU",1
01:50,"MISS JUMPER by COLLIER II,CRAIG(in the paint)",,,,,,,"MISS JUMPER by COLLIER II,CRAIG(in the paint)",1
--,,,,,"REBOUND DEF by OROZCO,ISAAC",,,"REBOUND DEF by OROZCO,ISAAC",1
01:41,,,,,"MISS 3PTR by PHILLIPS,XAVIER",,,"MISS 3PTR by PHILLIPS,XAVIER",1
--,"REBOUND DEF by COLLIER II,CRAIG",,,,,,,"REBOUND DEF by COLLIER II,CRAIG",1
01:16,"MISS 3PTR by COLLIER II,CRAIG",,,,,,,"MISS 3PTR by COLLIER II,CRAIG",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
00:35,"SUB OUT by COLLIER II,CRAIG",,,,,,,"SUB OUT by COLLIER II,CRAIG",1
00:35,"SUB IN by WEAVER,BRADEN",,,,,,,"SUB IN by WEAVER,BRADEN",1
00:35,,33 (+5),,28,"GOOD JUMPER by PHILLIPS,XAVIER",TLU 33-28 (+5),,"GOOD JUMPER by PHILLIPS,XAVIER",1
00:35,"FOUL  by INGRAM,KYLE",,,,,,,"FOUL  by INGRAM,KYLE",1
00:35,,34 (+6),,28,"GOOD FT by PHILLIPS,XAVIER",TLU 34-28 (+6),,"GOOD FT by PHILLIPS,XAVIER",1
00:35,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:30,"TURNOVER  by MCMULLIN,COLTON",,,,,,,"TURNOVER  by MCMULLIN,COLTON",1
00:05,,,,,"MISS 3PTR by FORNERETTE,RILEY",,,"MISS 3PTR by FORNERETTE,RILEY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
20:00,"SUB OUT by TORRES,JADEN",,,,,,,"SUB OUT by TORRES,JADEN",2
20:00,"SUB OUT by INGRAM,KYLE",,,,,,,"SUB OUT by INGRAM,KYLE",2
20:00,"SUB IN by SQUIRES,CALEB",,,,,,,"SUB IN by SQUIRES,CALEB",2
20:00,"SUB IN by BERRY,COLTEN",,,,,,,"SUB IN by BERRY,COLTEN",2
20:00,,,,,"SUB OUT by OROZCO,ISAAC",,,"SUB OUT by OROZCO,ISAAC",2
20:00,,,,,"SUB OUT by WATSON,JT",,,"SUB OUT by WATSON,JT",2
20:00,,,,,"SUB IN by WALLACE,MASON",,,"SUB IN by WALLACE,MASON",2
20:00,,,,,"SUB IN by GREEN,MASON",,,"SUB IN by GREEN,MASON",2
19:48,"TURNOVER  by MCMULLIN,COLTON",,,,,,,"TURNOVER  by MCMULLIN,COLTON",2
19:29,,37 (+9),,28,"GOOD 3PTR by ALLEN,EASTON",TLU 37-28 (+9),,"GOOD 3PTR by ALLEN,EASTON",2
--,,,,,"ASSIST  by GREEN,MASON",,,"ASSIST  by GREEN,MASON",2
19:13,"TURNOVER  by SQUIRES,CALEB",,,,,,,"TURNOVER  by SQUIRES,CALEB",2
19:13,,,,,"STEAL  by PHILLIPS,XAVIER",,,"STEAL  by PHILLIPS,XAVIER",2
18:56,,,,,"MISS JUMPER by PHILLIPS,XAVIER(in the paint)",,,"MISS JUMPER by PHILLIPS,XAVIER(in the paint)",2
--,"REBOUND DEF by BERRY,COLTEN",,,,,,,"REBOUND DEF by BERRY,COLTEN",2
18:53,"TURNOVER  by BERRY,COLTEN",,,,,,,"TURNOVER  by BERRY,COLTEN",2
18:53,,,,,"STEAL  by PHILLIPS,XAVIER",,,"STEAL  by PHILLIPS,XAVIER",2
18:53,"FOUL  by BERRY,COLTEN",,,,,,,"FOUL  by BERRY,COLTEN",2
18:53,,38 (+10),,28,"GOOD FT by PHILLIPS,XAVIER(fastbreak)",TLU 38-28 (+10),,"GOOD FT by PHILLIPS,XAVIER(fastbreak)",2
18:53,,39 (+11),,28,"GOOD FT by PHILLIPS,XAVIER(fastbreak)",TLU 39-28 (+11),,"GOOD FT by PHILLIPS,XAVIER(fastbreak)",2
18:37,"MISS JUMPER by SQUIRES,CALEB(in the paint)",,,,,,,"MISS JUMPER by SQUIRES,CALEB(in the paint)",2
--,"REBOUND OFF by BERRY,COLTEN",,,,,,,"REBOUND OFF by BERRY,COLTEN",2
18:37,,,,,"BLOCK  by GREEN,MASON",,,"BLOCK  by GREEN,MASON",2
18:37,"MISS JUMPER by BERRY,COLTEN(in the paint)",,,,,,,"MISS JUMPER by BERRY,COLTEN(in the paint)",2
--,,,,,"REBOUND DEF by ALLEN,EASTON",,,"REBOUND DEF by ALLEN,EASTON",2
18:37,,,,,"MISS 3PTR by ALLEN,EASTON",,,"MISS 3PTR by ALLEN,EASTON",2
--,"REBOUND DEF by WEAVER,BRADEN",,,,,,,"REBOUND DEF by WEAVER,BRADEN",2
18:23,"FOUL  by BERRY,COLTEN",,,,,,,"FOUL  by BERRY,COLTEN",2
18:23,"TURNOVER  by BERRY,COLTEN",,,,,,,"TURNOVER  by BERRY,COLTEN",2
18:23,"SUB OUT by BERRY,COLTEN",,,,,,,"SUB OUT by BERRY,COLTEN",2
18:23,"SUB IN by INGRAM,KYLE",,,,,,,"SUB IN by INGRAM,KYLE",2
18:07,,41 (+13),,28,"GOOD JUMPER by GREEN,MASON(in the paint)",TLU 41-28 (+13),,"GOOD JUMPER by GREEN,MASON(in the paint)",2
--,,,,,"ASSIST  by PHILLIPS,XAVIER",,,"ASSIST  by PHILLIPS,XAVIER",2
17:59,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
17:30,"SUB OUT by KRONENBERGER,BEAU",,,,,,,"SUB OUT by KRONENBERGER,BEAU",2
17:30,"SUB OUT by SQUIRES,CALEB",,,,,,,"SUB OUT by SQUIRES,CALEB",2
17:30,"SUB IN by RYAN,JONATHAN",,,,,,,"SUB IN by RYAN,JONATHAN",2
17:30,"SUB IN by MAYO,DREW",,,,,,,"SUB IN by MAYO,DREW",2
