Time Remaining,HC,Away Team Score,Play Team Indicator,Home Team Score,AC,Game Score,Team Indicator,Play,Period
01:08,,29,,41 (+12),"GOOD LAYUP by ANTOSCA,CHASE(fastbreak)(in the paint)",AC 29-41 (-12),,"GOOD LAYUP by ANTOSCA,CHASE(fastbreak)(in the paint)",1
00:57,"MISS LAYUP by COLLIER,CRAIG",,,,,,,"MISS LAYUP by COLLIER,CRAIG",1
--,,,,,"REBOUND DEF by ANTOSCA,CHASE",,,"REBOUND DEF by ANTOSCA,CHASE",1
00:50,,29,,43 (+14),"GOOD LAYUP by JOE,JOSHUA(fastbreak)(in the paint)",AC 29-43 (-14),,"GOOD LAYUP by JOE,JOSHUA(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by ANTOSCA,CHASE",,,"ASSIST  by ANTOSCA,CHASE",1
00:39,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:25,"MISS JUMPER by PARKS,JACKSON",,,,,,,"MISS JUMPER by PARKS,JACKSON",1
--,,,,,"REBOUND DEF by HUDGINS,JORDAN",,,"REBOUND DEF by HUDGINS,JORDAN",1
00:17,,,,,"MISS 3PTR by RENNIE,JACKSON",,,"MISS 3PTR by RENNIE,JACKSON",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
00:01,"TURNOVER  by PARKS,JACKSON",,,,,,,"TURNOVER  by PARKS,JACKSON",1
00:00,,29,,46 (+17),"GOOD 3PTR by DICK,TRISTAN",AC 29-46 (-17),,"GOOD 3PTR by DICK,TRISTAN",1
--,,,,,"ASSIST  by JOE,JOSHUA",,,"ASSIST  by JOE,JOSHUA",1
19:50,,,,,"MISS 3PTR by BERRY,OCIE",,,"MISS 3PTR by BERRY,OCIE",2
--,"REBOUND DEF by PARKS,JACKSON",,,,,,,"REBOUND DEF by PARKS,JACKSON",2
19:43,"MISS 3PTR by RYAN,JONATHAN",,,,,,,"MISS 3PTR by RYAN,JONATHAN",2
--,,,,,"REBOUND DEF by RENNIE,JACKSON",,,"REBOUND DEF by RENNIE,JACKSON",2
19:22,,,,,"MISS 3PTR by DICK,TRISTAN",,,"MISS 3PTR by DICK,TRISTAN",2
--,,,,,"REBOUND OFF by JOE,JOSHUA",,,"REBOUND OFF by JOE,JOSHUA",2
19:10,,,,,"TURNOVER  by DICK,TRISTAN",,,"TURNOVER  by DICK,TRISTAN",2
19:09,"STEAL  by COLLIER,CRAIG",,,,,,,"STEAL  by COLLIER,CRAIG",2
19:00,"GOOD JUMPER by PARKS,JACKSON",31,,46 (+15),,HC 31-46 (-15),,"GOOD JUMPER by PARKS,JACKSON",2
18:39,,,,,"MISS LAYUP by BERRY,OCIE",,,"MISS LAYUP by BERRY,OCIE",2
--,"REBOUND DEF by DEITHLOFF,TYLER",,,,,,,"REBOUND DEF by DEITHLOFF,TYLER",2
18:23,"GOOD JUMPER by COLLIER,CRAIG(in the paint)",33,,46 (+13),,HC 33-46 (-13),,"GOOD JUMPER by COLLIER,CRAIG(in the paint)",2
18:01,,33,,48 (+15),"GOOD LAYUP by JR,JASON JONES(in the paint)",AC 33-48 (-15),,"GOOD LAYUP by JR,JASON JONES(in the paint)",2
17:41,"MISS 3PTR by COLLIER,CRAIG",,,,,,,"MISS 3PTR by COLLIER,CRAIG",2
--,,,,,"REBOUND DEF by DICK,TRISTAN",,,"REBOUND DEF by DICK,TRISTAN",2
17:37,"FOUL  by RYAN,JONATHAN",,,,,,,"FOUL  by RYAN,JONATHAN",2
17:37,,,,,"SUB IN by ANTOSCA,CHASE",,,"SUB IN by ANTOSCA,CHASE",2
17:37,,,,,"SUB IN by HUDGINS,JORDAN",,,"SUB IN by HUDGINS,JORDAN",2
17:37,,,,,"SUB OUT by BERRY,OCIE",,,"SUB OUT by BERRY,OCIE",2
17:37,,,,,"SUB OUT by DICK,TRISTAN",,,"SUB OUT by DICK,TRISTAN",2
17:22,,33,,50 (+17),"GOOD JUMPER by JOE,JOSHUA(in the paint)",AC 33-50 (-17),,"GOOD JUMPER by JOE,JOSHUA(in the paint)",2
17:09,"TURNOVER  by RYAN,JONATHAN",,,,,,,"TURNOVER  by RYAN,JONATHAN",2
17:08,,,,,"STEAL  by JR,JASON JONES",,,"STEAL  by JR,JASON JONES",2
17:04,,,,,"MISS JUMPER by JOE,JOSHUA",,,"MISS JUMPER by JOE,JOSHUA",2
--,"REBOUND DEF by PARKS,JACKSON",,,,,,,"REBOUND DEF by PARKS,JACKSON",2
16:57,"GOOD JUMPER by PARKS,JACKSON",35,,50 (+15),,HC 35-50 (-15),,"GOOD JUMPER by PARKS,JACKSON",2
16:48,,,,,"MISS LAYUP by JOE,JOSHUA",,,"MISS LAYUP by JOE,JOSHUA",2
--,"REBOUND DEF by BERRY,COLTEN",,,,,,,"REBOUND DEF by BERRY,COLTEN",2
16:40,"GOOD LAYUP by DEITHLOFF,TYLER(fastbreak)(in the paint)",37,,50 (+13),,HC 37-50 (-13),,"GOOD LAYUP by DEITHLOFF,TYLER(fastbreak)(in the paint)",2
--,"ASSIST  by PARKS,JACKSON",,,,,,,"ASSIST  by PARKS,JACKSON",2
16:20,"FOUL  by DEITHLOFF,TYLER",,,,,,,"FOUL  by DEITHLOFF,TYLER",2
16:20,"SUB IN by SQUIRES,CALEB",,,,,,,"SUB IN by SQUIRES,CALEB",2
16:20,"SUB OUT by PARKS,JACKSON",,,,,,,"SUB OUT by PARKS,JACKSON",2
16:20,,,,,"SUB IN by KING,REX",,,"SUB IN by KING,REX",2
16:20,,,,,"SUB OUT by JR,JASON JONES",,,"SUB OUT by JR,JASON JONES",2
16:15,"FOUL  by SQUIRES,CALEB",,,,,,,"FOUL  by SQUIRES,CALEB",2
16:15,,,,,"MISS FT by RENNIE,JACKSON",,,"MISS FT by RENNIE,JACKSON",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
16:15,,,,,"MISS FT by RENNIE,JACKSON",,,"MISS FT by RENNIE,JACKSON",2
--,"REBOUND DEF by DEITHLOFF,TYLER",,,,,,,"REBOUND DEF by DEITHLOFF,TYLER",2
16:09,"GOOD JUMPER by COLLIER,CRAIG(fastbreak)(in the paint)",39,,50 (+11),,HC 39-50 (-11),,"GOOD JUMPER by COLLIER,CRAIG(fastbreak)(in the paint)",2
--,"ASSIST  by RYAN,JONATHAN",,,,,,,"ASSIST  by RYAN,JONATHAN",2
15:54,,,,,"MISS LAYUP by JOE,JOSHUA",,,"MISS LAYUP by JOE,JOSHUA",2
--,"REBOUND DEF by DEITHLOFF,TYLER",,,,,,,"REBOUND DEF by DEITHLOFF,TYLER",2
15:47,"FOUL  by RYAN,JONATHAN",,,,,,,"FOUL  by RYAN,JONATHAN",2
15:47,"TURNOVER  by RYAN,JONATHAN",,,,,,,"TURNOVER  by RYAN,JONATHAN",2
15:47,"SUB IN by PARKS,JACKSON",,,,,,,"SUB IN by PARKS,JACKSON",2
15:47,"SUB OUT by RYAN,JONATHAN",,,,,,,"SUB OUT by RYAN,JONATHAN",2
15:47,,,,,"SUB IN by WILLIAMS,NATE",,,"SUB IN by WILLIAMS,NATE",2
15:47,,,,,"SUB OUT by RENNIE,JACKSON",,,"SUB OUT by RENNIE,JACKSON",2
15:38,,,,,"MISS JUMPER by KING,REX",,,"MISS JUMPER by KING,REX",2
--,,,,,"REBOUND OFF by WILLIAMS,NATE",,,"REBOUND OFF by WILLIAMS,NATE",2
15:34,,,,,"MISS LAYUP by WILLIAMS,NATE",,,"MISS LAYUP by WILLIAMS,NATE",2
--,,,,,"REBOUND OFF by HUDGINS,JORDAN",,,"REBOUND OFF by HUDGINS,JORDAN",2
15:31,,39,,52 (+13),"GOOD LAYUP by HUDGINS,JORDAN(in the paint)",AC 39-52 (-13),,"GOOD LAYUP by HUDGINS,JORDAN(in the paint)",2
15:15,"TURNOVER  by SQUIRES,CALEB",,,,,,,"TURNOVER  by SQUIRES,CALEB",2
14:55,,,,,"MISS JUMPER by ANTOSCA,CHASE",,,"MISS JUMPER by ANTOSCA,CHASE",2
--,"REBOUND DEF by DEITHLOFF,TYLER",,,,,,,"REBOUND DEF by DEITHLOFF,TYLER",2
14:53,,,,,"FOUL  by ANTOSCA,CHASE",,,"FOUL  by ANTOSCA,CHASE",2
14:53,"SUB IN by KAMANGA,JEFFREY",,,,,,,"SUB IN by KAMANGA,JEFFREY",2
14:53,"SUB OUT by BERRY,COLTEN",,,,,,,"SUB OUT by BERRY,COLTEN",2
14:41,"GOOD LAYUP by SQUIRES,CALEB(fastbreak)(in the paint)",41,,52 (+11),,HC 41-52 (-11),,"GOOD LAYUP by SQUIRES,CALEB(fastbreak)(in the paint)",2
--,"ASSIST  by KAMANGA,JEFFREY",,,,,,,"ASSIST  by KAMANGA,JEFFREY",2
14:29,,,,,"TURNOVER  by KING,REX",,,"TURNOVER  by KING,REX",2
14:28,"STEAL  by KAMANGA,JEFFREY",,,,,,,"STEAL  by KAMANGA,JEFFREY",2
14:16,"GOOD LAYUP by COLLIER,CRAIG(in the paint)",43,,52 (+9),,HC 43-52 (-9),,"GOOD LAYUP by COLLIER,CRAIG(in the paint)",2
13:45,,,,,"MISS 3PTR by WILLIAMS,NATE",,,"MISS 3PTR by WILLIAMS,NATE",2
--,,,,,"REBOUND OFF by WILLIAMS,NATE",,,"REBOUND OFF by WILLIAMS,NATE",2
13:41,,,,,"MISS JUMPER by WILLIAMS,NATE",,,"MISS JUMPER by WILLIAMS,NATE",2
--,,,,,"REBOUND OFF by HUDGINS,JORDAN",,,"REBOUND OFF by HUDGINS,JORDAN",2
13:38,"FOUL  by KAMANGA,JEFFREY",,,,,,,"FOUL  by KAMANGA,JEFFREY",2
13:38,,43,,53 (+10),"GOOD FT by HUDGINS,JORDAN",AC 43-53 (-10),,"GOOD FT by HUDGINS,JORDAN",2
13:38,,43,,54 (+11),"GOOD FT by HUDGINS,JORDAN",AC 43-54 (-11),,"GOOD FT by HUDGINS,JORDAN",2
13:38,"SUB IN by WEAVER,BRADEN",,,,,,,"SUB IN by WEAVER,BRADEN",2
13:38,"SUB OUT by COLLIER,CRAIG",,,,,,,"SUB OUT by COLLIER,CRAIG",2
13:38,,,,,"SUB IN by PEARCE,ETHAN",,,"SUB IN by PEARCE,ETHAN",2
13:38,,,,,"SUB IN by JR,JASON JONES",,,"SUB IN by JR,JASON JONES",2
13:38,,,,,"SUB OUT by HUDGINS,JORDAN",,,"SUB OUT by HUDGINS,JORDAN",2
13:38,,,,,"SUB OUT by KING,REX",,,"SUB OUT by KING,REX",2
13:26,"TURNOVER  by PARKS,JACKSON",,,,,,,"TURNOVER  by PARKS,JACKSON",2
13:24,,,,,"STEAL  by WILLIAMS,NATE",,,"STEAL  by WILLIAMS,NATE",2
13:20,,43,,56 (+13),"GOOD LAYUP by JR,JASON JONES(fastbreak)(in the paint)",AC 43-56 (-13),,"GOOD LAYUP by JR,JASON JONES(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by PEARCE,ETHAN",,,"ASSIST  by PEARCE,ETHAN",2
13:10,"TURNOVER  by SQUIRES,CALEB",,,,,,,"TURNOVER  by SQUIRES,CALEB",2
13:04,"TURNOVER  by SQUIRES,CALEB",,,,,,,"TURNOVER  by SQUIRES,CALEB",2
13:04,,,,,"STEAL  by JOE,JOSHUA",,,"STEAL  by JOE,JOSHUA",2
13:04,"FOUL  by KAMANGA,JEFFREY",,,,,,,"FOUL  by KAMANGA,JEFFREY",2
13:04,,,,,"MISS FT by JR,JASON JONES",,,"MISS FT by JR,JASON JONES",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
13:04,,,,,"MISS FT by JR,JASON JONES",,,"MISS FT by JR,JASON JONES",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
13:04,"SUB IN by CARLOS,MASON",,,,,,,"SUB IN by CARLOS,MASON",2
13:04,"SUB OUT by KAMANGA,JEFFREY",,,,,,,"SUB OUT by KAMANGA,JEFFREY",2
13:02,,,,,"SUB IN by HUDGINS,JORDAN",,,"SUB IN by HUDGINS,JORDAN",2
13:02,,,,,"SUB OUT by PEARCE,ETHAN",,,"SUB OUT by PEARCE,ETHAN",2
12:55,"TURNOVER  by WEAVER,BRADEN",,,,,,,"TURNOVER  by WEAVER,BRADEN",2
12:54,,,,,"STEAL  by ANTOSCA,CHASE",,,"STEAL  by ANTOSCA,CHASE",2
12:46,,43,,58 (+15),"GOOD LAYUP by JR,JASON JONES(in the paint)",AC 43-58 (-15),,"GOOD LAYUP by JR,JASON JONES(in the paint)",2
--,,,,,"ASSIST  by HUDGINS,JORDAN",,,"ASSIST  by HUDGINS,JORDAN",2
12:31,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
12:18,"GOOD JUMPER by WEAVER,BRADEN(in the paint)",45,,58 (+13),,HC 45-58 (-13),,"GOOD JUMPER by WEAVER,BRADEN(in the paint)",2
11:59,,45,,60 (+15),"GOOD JUMPER by JR,JASON JONES",AC 45-60 (-15),,"GOOD JUMPER by JR,JASON JONES",2
--,,,,,"ASSIST  by ANTOSCA,CHASE",,,"ASSIST  by ANTOSCA,CHASE",2
11:38,"MISS 3PTR by SQUIRES,CALEB",,,,,,,"MISS 3PTR by SQUIRES,CALEB",2
--,,,,,"REBOUND DEF by WILLIAMS,NATE",,,"REBOUND DEF by WILLIAMS,NATE",2
11:27,,,,,"TURNOVER  by JOE,JOSHUA",,,"TURNOVER  by JOE,JOSHUA",2
11:26,"STEAL  by SQUIRES,CALEB",,,,,,,"STEAL  by SQUIRES,CALEB",2
--,"ASSIST  by SQUIRES,CALEB",,,,,,,"ASSIST  by SQUIRES,CALEB",2
--,"ASSIST  by SQUIRES,CALEB",,,,,,,"ASSIST  by SQUIRES,CALEB",2
--,"ASSIST  by SQUIRES,CALEB",,,,,,,"ASSIST  by SQUIRES,CALEB",2
11:24,"GOOD JUMPER by WEAVER,BRADEN",47,,60 (+13),,HC 47-60 (-13),,"GOOD JUMPER by WEAVER,BRADEN",2
10:55,,47,,62 (+15),"GOOD LAYUP by HUDGINS,JORDAN(in the paint)",AC 47-62 (-15),,"GOOD LAYUP by HUDGINS,JORDAN(in the paint)",2
10:42,"GOOD 3PTR by WEAVER,BRADEN",50,,62 (+12),,HC 50-62 (-12),,"GOOD 3PTR by WEAVER,BRADEN",2
10:21,,,,,"TURNOVER  by JOE,JOSHUA",,,"TURNOVER  by JOE,JOSHUA",2
10:21,"STEAL  by DEITHLOFF,TYLER",,,,,,,"STEAL  by DEITHLOFF,TYLER",2
10:16,"GOOD 3PTR by PARKS,JACKSON",53,,62 (+9),,HC 53-62 (-9),,"GOOD 3PTR by PARKS,JACKSON",2
--,"ASSIST  by DEITHLOFF,TYLER",,,,,,,"ASSIST  by DEITHLOFF,TYLER",2
09:56,,53,,64 (+11),"GOOD JUMPER by ANTOSCA,CHASE",AC 53-64 (-11),,"GOOD JUMPER by ANTOSCA,CHASE",2
09:44,"MISS LAYUP by WEAVER,BRADEN",,,,,,,"MISS LAYUP by WEAVER,BRADEN",2
--,,,,,"REBOUND DEF by WILLIAMS,NATE",,,"REBOUND DEF by WILLIAMS,NATE",2
09:20,,,,,"MISS 3PTR by JR,JASON JONES",,,"MISS 3PTR by JR,JASON JONES",2
--,"REBOUND DEF by WEAVER,BRADEN",,,,,,,"REBOUND DEF by WEAVER,BRADEN",2
09:10,"MISS 3PTR by DEITHLOFF,TYLER",,,,,,,"MISS 3PTR by DEITHLOFF,TYLER",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
08:46,"SUB IN by COLLIER,CRAIG",,,,,,,"SUB IN by COLLIER,CRAIG",2
08:46,"SUB IN by RYAN,JONATHAN",,,,,,,"SUB IN by RYAN,JONATHAN",2
08:46,"SUB IN by INGRAM,KYLE",,,,,,,"SUB IN by INGRAM,KYLE",2
08:46,"SUB OUT by DEITHLOFF,TYLER",,,,,,,"SUB OUT by DEITHLOFF,TYLER",2
08:46,"SUB OUT by SQUIRES,CALEB",,,,,,,"SUB OUT by SQUIRES,CALEB",2
08:46,"SUB OUT by PARKS,JACKSON",,,,,,,"SUB OUT by PARKS,JACKSON",2
08:46,,,,,"SUB IN by KING,REX",,,"SUB IN by KING,REX",2
08:46,,,,,"SUB IN by DICK,TRISTAN",,,"SUB IN by DICK,TRISTAN",2
08:46,,,,,"SUB IN by LUERA,CHRISTIAN",,,"SUB IN by LUERA,CHRISTIAN",2
08:46,,,,,"SUB OUT by JR,JASON JONES",,,"SUB OUT by JR,JASON JONES",2
08:46,,,,,"SUB OUT by WILLIAMS,NATE",,,"SUB OUT by WILLIAMS,NATE",2
08:46,,,,,"SUB OUT by JOE,JOSHUA",,,"SUB OUT by JOE,JOSHUA",2
08:29,,53,,66 (+13),"GOOD LAYUP by HUDGINS,JORDAN(in the paint)",AC 53-66 (-13),,"GOOD LAYUP by HUDGINS,JORDAN(in the paint)",2
08:04,,,,,"SUB IN by GETENET,KIDUS",,,"SUB IN by GETENET,KIDUS",2
08:04,,,,,"SUB OUT by KING,REX",,,"SUB OUT by KING,REX",2
07:59,"TURNOVER  by RYAN,JONATHAN",,,,,,,"TURNOVER  by RYAN,JONATHAN",2
07:59,"SUB IN by KRONENBERGER,BEAU",,,,,,,"SUB IN by KRONENBERGER,BEAU",2
07:59,"SUB OUT by CARLOS,MASON",,,,,,,"SUB OUT by CARLOS,MASON",2
07:37,,,,,"MISS 3PTR by ANTOSCA,CHASE",,,"MISS 3PTR by ANTOSCA,CHASE",2
--,,,,,"REBOUND OFF by GETENET,KIDUS",,,"REBOUND OFF by GETENET,KIDUS",2
07:35,"FOUL  by INGRAM,KYLE",,,,,,,"FOUL  by INGRAM,KYLE",2
07:35,,53,,67 (+14),"GOOD FT by GETENET,KIDUS",AC 53-67 (-14),,"GOOD FT by GETENET,KIDUS",2
07:35,,53,,68 (+15),"GOOD FT by GETENET,KIDUS",AC 53-68 (-15),,"GOOD FT by GETENET,KIDUS",2
07:35,,,,,"SUB IN by PEARCE,ETHAN",,,"SUB IN by PEARCE,ETHAN",2
07:35,,,,,"SUB OUT by GETENET,KIDUS",,,"SUB OUT by GETENET,KIDUS",2
07:23,"MISS LAYUP by INGRAM,KYLE",,,,,,,"MISS LAYUP by INGRAM,KYLE",2
07:23,,,,,"BLOCK  by HUDGINS,JORDAN",,,"BLOCK  by HUDGINS,JORDAN",2
--,"REBOUND OFF by INGRAM,KYLE",,,,,,,"REBOUND OFF by INGRAM,KYLE",2
07:20,,,,,"FOUL  by ANTOSCA,CHASE",,,"FOUL  by ANTOSCA,CHASE",2
07:20,"SUB IN by BERRY,COLTEN",,,,,,,"SUB IN by BERRY,COLTEN",2
07:20,"SUB OUT by INGRAM,KYLE",,,,,,,"SUB OUT by INGRAM,KYLE",2
07:12,"GOOD LAYUP by RYAN,JONATHAN(in the paint)",55,,68 (+13),,HC 55-68 (-13),,"GOOD LAYUP by RYAN,JONATHAN(in the paint)",2
06:58,,,,,"TURNOVER  by HUDGINS,JORDAN",,,"TURNOVER  by HUDGINS,JORDAN",2
06:58,,,,,"SUB IN by GETENET,KIDUS",,,"SUB IN by GETENET,KIDUS",2
06:58,,,,,"SUB OUT by PEARCE,ETHAN",,,"SUB OUT by PEARCE,ETHAN",2
06:49,"MISS 3PTR by COLLIER,CRAIG",,,,,,,"MISS 3PTR by COLLIER,CRAIG",2
--,,,,,"REBOUND DEF by ANTOSCA,CHASE",,,"REBOUND DEF by ANTOSCA,CHASE",2
06:45,,,,,"TURNOVER  by ANTOSCA,CHASE",,,"TURNOVER  by ANTOSCA,CHASE",2
06:44,"STEAL  by RYAN,JONATHAN",,,,,,,"STEAL  by RYAN,JONATHAN",2
06:42,"MISS LAYUP by KRONENBERGER,BEAU",,,,,,,"MISS LAYUP by KRONENBERGER,BEAU",2
06:42,,,,,"BLOCK  by DICK,TRISTAN",,,"BLOCK  by DICK,TRISTAN",2
--,"REBOUND OFF by RYAN,JONATHAN",,,,,,,"REBOUND OFF by RYAN,JONATHAN",2
06:39,,,,,"FOUL  by DICK,TRISTAN",,,"FOUL  by DICK,TRISTAN",2
06:39,"GOOD FT by RYAN,JONATHAN",56,,68 (+12),,HC 56-68 (-12),,"GOOD FT by RYAN,JONATHAN",2
06:39,"MISS FT by RYAN,JONATHAN",,,,,,,"MISS FT by RYAN,JONATHAN",2
--,,,,,"REBOUND DEF by ANTOSCA,CHASE",,,"REBOUND DEF by ANTOSCA,CHASE",2
06:25,,,,,"MISS LAYUP by DICK,TRISTAN",,,"MISS LAYUP by DICK,TRISTAN",2
--,,,,,"REBOUND OFF by HUDGINS,JORDAN",,,"REBOUND OFF by HUDGINS,JORDAN",2
06:23,"FOUL  by KRONENBERGER,BEAU",,,,,,,"FOUL  by KRONENBERGER,BEAU",2
06:23,,,,,"MISS FT by HUDGINS,JORDAN",,,"MISS FT by HUDGINS,JORDAN",2
--,"REBOUND DEF by KRONENBERGER,BEAU",,,,,,,"REBOUND DEF by KRONENBERGER,BEAU",2
06:10,"TURNOVER  by COLLIER,CRAIG",,,,,,,"TURNOVER  by COLLIER,CRAIG",2
06:07,,,,,"STEAL  by HUDGINS,JORDAN",,,"STEAL  by HUDGINS,JORDAN",2
06:03,,56,,71 (+15),"GOOD 3PTR by GETENET,KIDUS",AC 56-71 (-15),,"GOOD 3PTR by GETENET,KIDUS",2
--,,,,,"ASSIST  by ANTOSCA,CHASE",,,"ASSIST  by ANTOSCA,CHASE",2
05:44,"GOOD LAYUP by KRONENBERGER,BEAU(in the paint)",58,,71 (+13),,HC 58-71 (-13),,"GOOD LAYUP by KRONENBERGER,BEAU(in the paint)",2
05:17,,,,,"MISS LAYUP by DICK,TRISTAN",,,"MISS LAYUP by DICK,TRISTAN",2
--,,,,,"REBOUND OFF by HUDGINS,JORDAN",,,"REBOUND OFF by HUDGINS,JORDAN",2
05:14,,58,,73 (+15),"GOOD TIPIN by HUDGINS,JORDAN(in the paint)",AC 58-73 (-15),,"GOOD TIPIN by HUDGINS,JORDAN(in the paint)",2
05:01,"MISS 3PTR by KRONENBERGER,BEAU",,,,,,,"MISS 3PTR by KRONENBERGER,BEAU",2
--,,,,,"REBOUND DEF by GETENET,KIDUS",,,"REBOUND DEF by GETENET,KIDUS",2
04:53,,58,,76 (+18),"GOOD 3PTR by DICK,TRISTAN",AC 58-76 (-18),,"GOOD 3PTR by DICK,TRISTAN",2
--,,,,,"ASSIST  by GETENET,KIDUS",,,"ASSIST  by GETENET,KIDUS",2
04:39,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
04:39,"SUB IN by MCMULLIN,COLTON",,,,,,,"SUB IN by MCMULLIN,COLTON",2
04:39,"SUB IN by PARKS,JACKSON",,,,,,,"SUB IN by PARKS,JACKSON",2
04:39,"SUB IN by DEITHLOFF,TYLER",,,,,,,"SUB IN by DEITHLOFF,TYLER",2
04:39,"SUB OUT by WEAVER,BRADEN",,,,,,,"SUB OUT by WEAVER,BRADEN",2
04:39,"SUB OUT by KRONENBERGER,BEAU",,,,,,,"SUB OUT by KRONENBERGER,BEAU",2
04:39,"SUB OUT by RYAN,JONATHAN",,,,,,,"SUB OUT by RYAN,JONATHAN",2
04:19,"MISS LAYUP by COLLIER,CRAIG",,,,,,,"MISS LAYUP by COLLIER,CRAIG",2
--,,,,,"REBOUND DEF by HUDGINS,JORDAN",,,"REBOUND DEF by HUDGINS,JORDAN",2
03:55,,58,,79 (+21),"GOOD 3PTR by GETENET,KIDUS",AC 58-79 (-21),,"GOOD 3PTR by GETENET,KIDUS",2
--,,,,,"ASSIST  by LUERA,CHRISTIAN",,,"ASSIST  by LUERA,CHRISTIAN",2
03:40,"GOOD 3PTR by MCMULLIN,COLTON",61,,79 (+18),,HC 61-79 (-18),,"GOOD 3PTR by MCMULLIN,COLTON",2
--,"ASSIST  by PARKS,JACKSON",,,,,,,"ASSIST  by PARKS,JACKSON",2
03:17,,,,,"MISS LAYUP by HUDGINS,JORDAN",,,"MISS LAYUP by HUDGINS,JORDAN",2
--,,,,,"REBOUND OFF by DICK,TRISTAN",,,"REBOUND OFF by DICK,TRISTAN",2
03:13,,,,,"MISS LAYUP by DICK,TRISTAN",,,"MISS LAYUP by DICK,TRISTAN",2
--,"REBOUND DEF by BERRY,COLTEN",,,,,,,"REBOUND DEF by BERRY,COLTEN",2
03:08,"GOOD LAYUP by PARKS,JACKSON(in the paint)",63,,79 (+16),,HC 63-79 (-16),,"GOOD LAYUP by PARKS,JACKSON(in the paint)",2
03:00,,,,,"MISS LAYUP by DICK,TRISTAN",,,"MISS LAYUP by DICK,TRISTAN",2
--,"REBOUND DEF by BERRY,COLTEN",,,,,,,"REBOUND DEF by BERRY,COLTEN",2
02:53,"GOOD LAYUP by DEITHLOFF,TYLER(fastbreak)(in the paint)",65,,79 (+14),,HC 65-79 (-14),,"GOOD LAYUP by DEITHLOFF,TYLER(fastbreak)(in the paint)",2
02:39,,,,,"MISS 3PTR by ANTOSCA,CHASE",,,"MISS 3PTR by ANTOSCA,CHASE",2
--,,,,,"REBOUND OFF by HUDGINS,JORDAN",,,"REBOUND OFF by HUDGINS,JORDAN",2
02:33,,,,,"MISS LAYUP by DICK,TRISTAN",,,"MISS LAYUP by DICK,TRISTAN",2
--,,,,,"REBOUND OFF by HUDGINS,JORDAN",,,"REBOUND OFF by HUDGINS,JORDAN",2
02:25,,,,,"MISS LAYUP by HUDGINS,JORDAN",,,"MISS LAYUP by HUDGINS,JORDAN",2
--,"REBOUND DEF by DEITHLOFF,TYLER",,,,,,,"REBOUND DEF by DEITHLOFF,TYLER",2
02:24,,,,,"FOUL  by LUERA,CHRISTIAN",,,"FOUL  by LUERA,CHRISTIAN",2
02:24,,,,,"SUB IN by WILLIAMS,NATE",,,"SUB IN by WILLIAMS,NATE",2
02:24,,,,,"SUB IN by JOE,JOSHUA",,,"SUB IN by JOE,JOSHUA",2
02:24,,,,,"SUB IN by JR,JASON JONES",,,"SUB IN by JR,JASON JONES",2
02:24,,,,,"SUB OUT by GETENET,KIDUS",,,"SUB OUT by GETENET,KIDUS",2
02:24,,,,,"SUB OUT by LUERA,CHRISTIAN",,,"SUB OUT by LUERA,CHRISTIAN",2
02:24,,,,,"SUB OUT by DICK,TRISTAN",,,"SUB OUT by DICK,TRISTAN",2
02:20,"MISS 3PTR by COLLIER,CRAIG",,,,,,,"MISS 3PTR by COLLIER,CRAIG",2
--,,,,,"REBOUND DEF by HUDGINS,JORDAN",,,"REBOUND DEF by HUDGINS,JORDAN",2
02:16,"FOUL  by BERRY,COLTEN",,,,,,,"FOUL  by BERRY,COLTEN",2
02:16,,65,,80 (+15),"GOOD FT by HUDGINS,JORDAN",AC 65-80 (-15),,"GOOD FT by HUDGINS,JORDAN",2
02:16,,65,,81 (+16),"GOOD FT by HUDGINS,JORDAN",AC 65-81 (-16),,"GOOD FT by HUDGINS,JORDAN",2
02:16,"SUB IN by MAYO,DREW",,,,,,,"SUB IN by MAYO,DREW",2
02:16,"SUB IN by RYAN,GRAYSON",,,,,,,"SUB IN by RYAN,GRAYSON",2
02:16,"SUB OUT by PARKS,JACKSON",,,,,,,"SUB OUT by PARKS,JACKSON",2
02:16,"SUB OUT by COLLIER,CRAIG",,,,,,,"SUB OUT by COLLIER,CRAIG",2
02:16,,,,,"SUB IN by LAWRENCE,JONATHAN",,,"SUB IN by LAWRENCE,JONATHAN",2
02:16,,,,,"SUB IN by PEARCE,ETHAN",,,"SUB IN by PEARCE,ETHAN",2
02:16,,,,,"SUB OUT by HUDGINS,JORDAN",,,"SUB OUT by HUDGINS,JORDAN",2
