Time Remaining,CENTRE-M,Away Team Score,Play Team Indicator,Home Team Score,SUMB,Game Score,Team Indicator,Play,Period
14:50,"GOOD 3PTR by CRUMP,DAWSON",12 (+4),,8,,CENTRE-M 12-8 (+4),,"GOOD 3PTR by CRUMP,DAWSON",1
--,"ASSIST  by AYERS,PERRY",,,,,,,"ASSIST  by AYERS,PERRY",1
14:17,,12 (+2),,10,"GOOD JUMPER by BENDINGFIELD,ROBERT",SUMB 12-10 (+2),,"GOOD JUMPER by BENDINGFIELD,ROBERT",1
--,,,,,"ASSIST  by MONTGOMERY,MARCUS",,,"ASSIST  by MONTGOMERY,MARCUS",1
13:45,"MISS JUMPER by WALKER,ART",,,,,,,"MISS JUMPER by WALKER,ART",1
--,,,,,"REBOUND DEF by TOLIVER,TEFRELL",,,"REBOUND DEF by TOLIVER,TEFRELL",1
13:12,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
13:11,"SUB IN by WILLIAMS,JALEN",,,,,,,"SUB IN by WILLIAMS,JALEN",1
13:11,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",1
13:11,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",1
13:11,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
13:11,,,,,"SUB IN by WEATHERS,CLAYTE",,,"SUB IN by WEATHERS,CLAYTE",1
13:11,,,,,"SUB IN by BENDINGFIELD,ROBERT",,,"SUB IN by BENDINGFIELD,ROBERT",1
13:11,,,,,"SUB IN by GARI,XAVIER",,,"SUB IN by GARI,XAVIER",1
13:11,,,,,"SUB IN by WARREN,BRAEDEN",,,"SUB IN by WARREN,BRAEDEN",1
13:11,,,,,"SUB OUT by JAMES,KENDAL",,,"SUB OUT by JAMES,KENDAL",1
13:11,,,,,"SUB OUT by MONTGOMERY,MARCUS",,,"SUB OUT by MONTGOMERY,MARCUS",1
13:11,,,,,"SUB OUT by TRIBBLE,BRIAN",,,"SUB OUT by TRIBBLE,BRIAN",1
13:11,,,,,"SUB OUT by AMANOR,TROY",,,"SUB OUT by AMANOR,TROY",1
12:51,"TURNOVER  by PURVIS,KC",,,,,,,"TURNOVER  by PURVIS,KC",1
12:49,,,,,"STEAL  by BENDINGFIELD,ROBERT",,,"STEAL  by BENDINGFIELD,ROBERT",1
12:43,,12,,12,"GOOD LAYUP by BENDINGFIELD,ROBERT(in the paint)",SUMB 12-12 (0),,"GOOD LAYUP by BENDINGFIELD,ROBERT(in the paint)",1
12:10,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",14 (+2),,12,,CENTRE-M 14-12 (+2),,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",1
11:51,,14,,14,"GOOD JUMPER by BENDINGFIELD,ROBERT",SUMB 14-14 (0),,"GOOD JUMPER by BENDINGFIELD,ROBERT",1
11:32,,,,,"FOUL  by WEATHERS,CLAYTE",,,"FOUL  by WEATHERS,CLAYTE",1
11:32,"MISS FT by WILLIAMS,JALEN",,,,,,,"MISS FT by WILLIAMS,JALEN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
11:32,"GOOD FT by WILLIAMS,JALEN",15 (+1),,14,,CENTRE-M 15-14 (+1),,"GOOD FT by WILLIAMS,JALEN",1
11:32,"SUB IN by BAUGHMAN,CARTER",,,,,,,"SUB IN by BAUGHMAN,CARTER",1
11:32,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
11:32,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",1
11:32,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",1
11:16,,,,,"MISS 3PTR by GARI,XAVIER",,,"MISS 3PTR by GARI,XAVIER",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
11:10,,15,,16 (+1),"GOOD JUMPER by BENDINGFIELD,ROBERT",SUMB 15-16 (-1),,"GOOD JUMPER by BENDINGFIELD,ROBERT",1
10:46,"MISS 3PTR by WILLIAMS,JALEN",,,,,,,"MISS 3PTR by WILLIAMS,JALEN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
10:43,,,,,"FOUL  by WARREN,BRAEDEN",,,"FOUL  by WARREN,BRAEDEN",1
10:38,"MISS JUMPER by BATES,JACOB",,,,,,,"MISS JUMPER by BATES,JACOB",1
--,,,,,"REBOUND DEF by BENDINGFIELD,ROBERT",,,"REBOUND DEF by BENDINGFIELD,ROBERT",1
10:32,,,,,"MISS LAYUP by BENDINGFIELD,ROBERT",,,"MISS LAYUP by BENDINGFIELD,ROBERT",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
10:25,"GOOD 3PTR by WILLIAMS,JALEN(fastbreak)",18 (+2),,16,,CENTRE-M 18-16 (+2),,"GOOD 3PTR by WILLIAMS,JALEN(fastbreak)",1
--,"ASSIST  by CRUMP,DAWSON",,,,,,,"ASSIST  by CRUMP,DAWSON",1
09:53,,,,,"MISS JUMPER by BENDINGFIELD,ROBERT",,,"MISS JUMPER by BENDINGFIELD,ROBERT",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
09:43,"MISS 3PTR by BATES,JACOB",,,,,,,"MISS 3PTR by BATES,JACOB",1
--,,,,,"REBOUND DEF by GARI,XAVIER",,,"REBOUND DEF by GARI,XAVIER",1
09:30,,18,,18,"GOOD JUMPER by TOLIVER,TEFRELL",SUMB 18-18 (0),,"GOOD JUMPER by TOLIVER,TEFRELL",1
--,,,,,"ASSIST  by WARREN,BRAEDEN",,,"ASSIST  by WARREN,BRAEDEN",1
09:08,"MISS 3PTR by WILLIAMS,JALEN",,,,,,,"MISS 3PTR by WILLIAMS,JALEN",1
--,"REBOUND OFF by PURVIS,KC",,,,,,,"REBOUND OFF by PURVIS,KC",1
09:01,"GOOD 3PTR by BAUGHMAN,CARTER",21 (+3),,18,,CENTRE-M 21-18 (+3),,"GOOD 3PTR by BAUGHMAN,CARTER",1
--,"ASSIST  by PURVIS,KC",,,,,,,"ASSIST  by PURVIS,KC",1
08:39,,,,,"MISS JUMPER by TOLIVER,TEFRELL",,,"MISS JUMPER by TOLIVER,TEFRELL",1
--,"REBOUND DEF by CRUMP,DAWSON",,,,,,,"REBOUND DEF by CRUMP,DAWSON",1
08:29,"GOOD LAYUP by PURVIS,KC(fastbreak)(in the paint)",23 (+5),,18,,CENTRE-M 23-18 (+5),,"GOOD LAYUP by PURVIS,KC(fastbreak)(in the paint)",1
--,"ASSIST  by CRUMP,DAWSON",,,,,,,"ASSIST  by CRUMP,DAWSON",1
08:26,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
08:26,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
08:26,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",1
08:26,"SUB OUT by CRUMP,DAWSON",,,,,,,"SUB OUT by CRUMP,DAWSON",1
08:26,"SUB OUT by PURVIS,KC",,,,,,,"SUB OUT by PURVIS,KC",1
08:26,,,,,"SUB IN by AMANOR,TROY",,,"SUB IN by AMANOR,TROY",1
08:26,,,,,"SUB IN by JOHNSON,KESHAWN",,,"SUB IN by JOHNSON,KESHAWN",1
08:26,,,,,"SUB IN by PRINCE,MITCHELL",,,"SUB IN by PRINCE,MITCHELL",1
08:26,,,,,"SUB IN by TRIBBLE,BRIAN",,,"SUB IN by TRIBBLE,BRIAN",1
08:26,,,,,"SUB IN by MONTGOMERY,MARCUS",,,"SUB IN by MONTGOMERY,MARCUS",1
08:26,,,,,"SUB OUT by WEATHERS,CLAYTE",,,"SUB OUT by WEATHERS,CLAYTE",1
08:26,,,,,"SUB OUT by BENDINGFIELD,ROBERT",,,"SUB OUT by BENDINGFIELD,ROBERT",1
08:26,,,,,"SUB OUT by GARI,XAVIER",,,"SUB OUT by GARI,XAVIER",1
08:26,,,,,"SUB OUT by WARREN,BRAEDEN",,,"SUB OUT by WARREN,BRAEDEN",1
08:26,,,,,"SUB OUT by TOLIVER,TEFRELL",,,"SUB OUT by TOLIVER,TEFRELL",1
08:19,,23 (+3),,20,"GOOD JUMPER by AMANOR,TROY(in the paint)",SUMB 23-20 (+3),,"GOOD JUMPER by AMANOR,TROY(in the paint)",1
08:12,"FOUL  by BATES,JACOB",,,,,,,"FOUL  by BATES,JACOB",1
08:06,,23 (+2),,21,"GOOD FT by AMANOR,TROY",SUMB 23-21 (+2),,"GOOD FT by AMANOR,TROY",1
07:49,"TURNOVER  by WILLIAMS,JALEN",,,,,,,"TURNOVER  by WILLIAMS,JALEN",1
07:49,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",1
07:49,"SUB OUT by WILLIAMS,JALEN",,,,,,,"SUB OUT by WILLIAMS,JALEN",1
07:42,,,,,"FOUL  by AMANOR,TROY",,,"FOUL  by AMANOR,TROY",1
07:42,,,,,"TURNOVER  by AMANOR,TROY",,,"TURNOVER  by AMANOR,TROY",1
07:27,"MISS LAYUP by BATES,JACOB",,,,,,,"MISS LAYUP by BATES,JACOB",1
07:27,,,,,"BLOCK  by JOHNSON,KESHAWN",,,"BLOCK  by JOHNSON,KESHAWN",1
--,"REBOUND OFF by BATES,JACOB",,,,,,,"REBOUND OFF by BATES,JACOB",1
07:16,,,,,"FOUL  by PRINCE,MITCHELL",,,"FOUL  by PRINCE,MITCHELL",1
07:16,"MISS FT by BATES,JACOB",,,,,,,"MISS FT by BATES,JACOB",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
07:16,"GOOD FT by BATES,JACOB",24 (+3),,21,,CENTRE-M 24-21 (+3),,"GOOD FT by BATES,JACOB",1
07:16,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",1
07:16,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
07:05,"FOUL  by SPITZER,JAKOB",,,,,,,"FOUL  by SPITZER,JAKOB",1
07:05,,,,,"MISS 3PTR by MONTGOMERY,MARCUS",,,"MISS 3PTR by MONTGOMERY,MARCUS",1
--,"REBOUND DEF by SPITZER,JAKOB",,,,,,,"REBOUND DEF by SPITZER,JAKOB",1
07:05,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",1
--,,,,,"REBOUND DEF by TRIBBLE,BRIAN",,,"REBOUND DEF by TRIBBLE,BRIAN",1
06:21,"FOUL  by RAKES,BAILEY",,,,,,,"FOUL  by RAKES,BAILEY",1
06:21,,,,,"MISS FT by MONTGOMERY,MARCUS",,,"MISS FT by MONTGOMERY,MARCUS",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
06:21,,24 (+2),,22,"GOOD FT by MONTGOMERY,MARCUS",SUMB 24-22 (+2),,"GOOD FT by MONTGOMERY,MARCUS",1
06:05,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",1
06:05,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",1
05:51,"GOOD LAYUP by BAUGHMAN,CARTER(in the paint)",26 (+4),,22,,CENTRE-M 26-22 (+4),,"GOOD LAYUP by BAUGHMAN,CARTER(in the paint)",1
05:30,,26 (+1),,25,"GOOD 3PTR by PRINCE,MITCHELL",SUMB 26-25 (+1),,"GOOD 3PTR by PRINCE,MITCHELL",1
--,,,,,"ASSIST  by MONTGOMERY,MARCUS",,,"ASSIST  by MONTGOMERY,MARCUS",1
05:12,,,,,"FOUL  by JOHNSON,KESHAWN",,,"FOUL  by JOHNSON,KESHAWN",1
05:12,"GOOD FT by SPITZER,JAKOB",27 (+2),,25,,CENTRE-M 27-25 (+2),,"GOOD FT by SPITZER,JAKOB",1
05:12,"GOOD FT by SPITZER,JAKOB",28 (+3),,25,,CENTRE-M 28-25 (+3),,"GOOD FT by SPITZER,JAKOB",1
05:12,,,,,"SUB IN by BENDINGFIELD,ROBERT",,,"SUB IN by BENDINGFIELD,ROBERT",1
05:12,,,,,"SUB IN by GARI,XAVIER",,,"SUB IN by GARI,XAVIER",1
05:12,,,,,"SUB IN by WARREN,BRAEDEN",,,"SUB IN by WARREN,BRAEDEN",1
05:12,,,,,"SUB OUT by AMANOR,TROY",,,"SUB OUT by AMANOR,TROY",1
05:12,,,,,"SUB OUT by JOHNSON,KESHAWN",,,"SUB OUT by JOHNSON,KESHAWN",1
05:12,,,,,"SUB OUT by PRINCE,MITCHELL",,,"SUB OUT by PRINCE,MITCHELL",1
05:01,,28,,28,"GOOD 3PTR by TRIBBLE,BRIAN",SUMB 28-28 (0),,"GOOD 3PTR by TRIBBLE,BRIAN",1
04:38,"GOOD 3PTR by CRUMP,DAWSON",31 (+3),,28,,CENTRE-M 31-28 (+3),,"GOOD 3PTR by CRUMP,DAWSON",1
--,"ASSIST  by AYERS,PERRY",,,,,,,"ASSIST  by AYERS,PERRY",1
04:12,,,,,"MISS JUMPER by BENDINGFIELD,ROBERT",,,"MISS JUMPER by BENDINGFIELD,ROBERT",1
04:12,"BLOCK  by PURVIS,KC",,,,,,,"BLOCK  by PURVIS,KC",1
--,"REBOUND DEF by SPITZER,JAKOB",,,,,,,"REBOUND DEF by SPITZER,JAKOB",1
04:04,"MISS LAYUP by SPITZER,JAKOB",,,,,,,"MISS LAYUP by SPITZER,JAKOB",1
--,"REBOUND OFF by SPITZER,JAKOB",,,,,,,"REBOUND OFF by SPITZER,JAKOB",1
03:54,"MISS LAYUP by CRUMP,DAWSON",,,,,,,"MISS LAYUP by CRUMP,DAWSON",1
--,,,,,"REBOUND DEF by BENDINGFIELD,ROBERT",,,"REBOUND DEF by BENDINGFIELD,ROBERT",1
03:46,,31 (+1),,30,"GOOD LAYUP by TRIBBLE,BRIAN(fastbreak)(in the paint)",SUMB 31-30 (+1),,"GOOD LAYUP by TRIBBLE,BRIAN(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by BENDINGFIELD,ROBERT",,,"ASSIST  by BENDINGFIELD,ROBERT",1
03:46,"FOUL  by AYERS,PERRY",,,,,,,"FOUL  by AYERS,PERRY",1
03:46,,,,,"MISS FT by TRIBBLE,BRIAN",,,"MISS FT by TRIBBLE,BRIAN",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
03:46,"SUB IN by WILLIAMS,JALEN",,,,,,,"SUB IN by WILLIAMS,JALEN",1
03:46,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
03:46,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",1
03:46,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",1
03:35,"SUB IN by PURVIS,KC",,,,,,,"SUB IN by PURVIS,KC",1
03:35,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
03:29,,,,,"SUB IN by WEATHERS,CLAYTE",,,"SUB IN by WEATHERS,CLAYTE",1
03:29,,,,,"SUB OUT by BENDINGFIELD,ROBERT",,,"SUB OUT by BENDINGFIELD,ROBERT",1
03:19,"MISS 3PTR by CRUMP,DAWSON",,,,,,,"MISS 3PTR by CRUMP,DAWSON",1
--,"REBOUND OFF by PURVIS,KC",,,,,,,"REBOUND OFF by PURVIS,KC",1
03:19,"MISS LAYUP by PURVIS,KC",,,,,,,"MISS LAYUP by PURVIS,KC",1
--,,,,,"REBOUND DEF by WARREN,BRAEDEN",,,"REBOUND DEF by WARREN,BRAEDEN",1
03:19,,,,,"MISS JUMPER by MONTGOMERY,MARCUS",,,"MISS JUMPER by MONTGOMERY,MARCUS",1
--,"REBOUND DEF by PURVIS,KC",,,,,,,"REBOUND DEF by PURVIS,KC",1
03:19,"GOOD JUMPER by BATES,JACOB(in the paint)",33 (+3),,30,,CENTRE-M 33-30 (+3),,"GOOD JUMPER by BATES,JACOB(in the paint)",1
03:19,,,,,"MISS 3PTR by GARI,XAVIER",,,"MISS 3PTR by GARI,XAVIER",1
--,"REBOUND DEF by CRUMP,DAWSON",,,,,,,"REBOUND DEF by CRUMP,DAWSON",1
02:15,,,,,"FOUL  by WEATHERS,CLAYTE",,,"FOUL  by WEATHERS,CLAYTE",1
02:15,"GOOD LAYUP by CRUMP,DAWSON(fastbreak)(in the paint)",35 (+5),,30,,CENTRE-M 35-30 (+5),,"GOOD LAYUP by CRUMP,DAWSON(fastbreak)(in the paint)",1
02:15,"MISS FT by CRUMP,DAWSON",,,,,,,"MISS FT by CRUMP,DAWSON",1
--,,,,,"REBOUND DEF by GARI,XAVIER",,,"REBOUND DEF by GARI,XAVIER",1
02:15,,,,,"SUB IN by TOLIVER,TEFRELL",,,"SUB IN by TOLIVER,TEFRELL",1
02:15,,,,,"SUB IN by AMANOR,TROY",,,"SUB IN by AMANOR,TROY",1
02:15,,,,,"SUB OUT by WEATHERS,CLAYTE",,,"SUB OUT by WEATHERS,CLAYTE",1
02:15,,,,,"SUB OUT by WARREN,BRAEDEN",,,"SUB OUT by WARREN,BRAEDEN",1
02:00,,,,,"MISS 3PTR by MONTGOMERY,MARCUS",,,"MISS 3PTR by MONTGOMERY,MARCUS",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
01:57,,,,,"FOUL  by AMANOR,TROY",,,"FOUL  by AMANOR,TROY",1
01:57,"MISS FT by PURVIS,KC",,,,,,,"MISS FT by PURVIS,KC",1
--,,,,,"REBOUND DEF by GARI,XAVIER",,,"REBOUND DEF by GARI,XAVIER",1
01:57,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",1
01:57,"SUB OUT by CRUMP,DAWSON",,,,,,,"SUB OUT by CRUMP,DAWSON",1
01:57,,,,,"SUB IN by BENDINGFIELD,ROBERT",,,"SUB IN by BENDINGFIELD,ROBERT",1
01:57,,,,,"SUB OUT by MONTGOMERY,MARCUS",,,"SUB OUT by MONTGOMERY,MARCUS",1
01:44,,,,,"MISS JUMPER by TRIBBLE,BRIAN",,,"MISS JUMPER by TRIBBLE,BRIAN",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
01:28,"GOOD 3PTR by BAUGHMAN,CARTER",38 (+8),,30,,CENTRE-M 38-30 (+8),,"GOOD 3PTR by BAUGHMAN,CARTER",1
--,"ASSIST  by PURVIS,KC",,,,,,,"ASSIST  by PURVIS,KC",1
00:58,,38 (+6),,32,"GOOD JUMPER by AMANOR,TROY(in the paint)",SUMB 38-32 (+6),,"GOOD JUMPER by AMANOR,TROY(in the paint)",1
00:48,"GOOD JUMPER by BAUGHMAN,CARTER",40 (+8),,32,,CENTRE-M 40-32 (+8),,"GOOD JUMPER by BAUGHMAN,CARTER",1
00:25,,,,,"MISS LAYUP by TRIBBLE,BRIAN",,,"MISS LAYUP by TRIBBLE,BRIAN",1
--,"REBOUND DEF by PURVIS,KC",,,,,,,"REBOUND DEF by PURVIS,KC",1
00:08,"MISS 3PTR by BAUGHMAN,CARTER",,,,,,,"MISS 3PTR by BAUGHMAN,CARTER",1
--,,,,,"REBOUND DEF by GARI,XAVIER",,,"REBOUND DEF by GARI,XAVIER",1
00:02,,,,,"MISS 3PTR by GARI,XAVIER",,,"MISS 3PTR by GARI,XAVIER",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
19:41,"TURNOVER  by BAUGHMAN,CARTER",,,,,,,"TURNOVER  by BAUGHMAN,CARTER",2
19:39,,,,,"STEAL  by BENDINGFIELD,ROBERT",,,"STEAL  by BENDINGFIELD,ROBERT",2
19:16,,,,,"MISS JUMPER by AMANOR,TROY",,,"MISS JUMPER by AMANOR,TROY",2
--,"REBOUND DEF by WALKER,ART",,,,,,,"REBOUND DEF by WALKER,ART",2
18:58,"TURNOVER  by WALKER,ART",,,,,,,"TURNOVER  by WALKER,ART",2
18:58,,,,,"STEAL  by MONTGOMERY,MARCUS",,,"STEAL  by MONTGOMERY,MARCUS",2
18:34,"FOUL  by BATES,JACOB",,,,,,,"FOUL  by BATES,JACOB",2
18:34,,40 (+7),,33,"GOOD FT by AMANOR,TROY",SUMB 40-33 (+7),,"GOOD FT by AMANOR,TROY",2
18:34,,40 (+6),,34,"GOOD FT by AMANOR,TROY",SUMB 40-34 (+6),,"GOOD FT by AMANOR,TROY",2
18:20,"GOOD 3PTR by BAUGHMAN,CARTER",43 (+9),,34,,CENTRE-M 43-34 (+9),,"GOOD 3PTR by BAUGHMAN,CARTER",2
--,"ASSIST  by BATES,JACOB",,,,,,,"ASSIST  by BATES,JACOB",2
17:54,,43 (+7),,36,"GOOD LAYUP by AMANOR,TROY(in the paint)",SUMB 43-36 (+7),,"GOOD LAYUP by AMANOR,TROY(in the paint)",2
--,,,,,"ASSIST  by BENDINGFIELD,ROBERT",,,"ASSIST  by BENDINGFIELD,ROBERT",2
17:37,"TURNOVER  by BATES,JACOB",,,,,,,"TURNOVER  by BATES,JACOB",2
17:36,,,,,"STEAL  by GARI,XAVIER",,,"STEAL  by GARI,XAVIER",2
17:20,,,,,"MISS JUMPER by BENDINGFIELD,ROBERT",,,"MISS JUMPER by BENDINGFIELD,ROBERT",2
--,"REBOUND DEF by WALKER,ART",,,,,,,"REBOUND DEF by WALKER,ART",2
17:08,"GOOD LAYUP by WALKER,ART(in the paint)",45 (+9),,36,,CENTRE-M 45-36 (+9),,"GOOD LAYUP by WALKER,ART(in the paint)",2
16:44,,,,,"MISS LAYUP by AMANOR,TROY",,,"MISS LAYUP by AMANOR,TROY",2
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",2
16:37,"GOOD 3PTR by BAUGHMAN,CARTER",48 (+12),,36,,CENTRE-M 48-36 (+12),,"GOOD 3PTR by BAUGHMAN,CARTER",2
--,"ASSIST  by AYERS,PERRY",,,,,,,"ASSIST  by AYERS,PERRY",2
16:34,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
16:34,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",2
16:34,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",2
16:34,,,,,"SUB IN by TOLIVER,TEFRELL",,,"SUB IN by TOLIVER,TEFRELL",2
16:34,,,,,"SUB IN by BENDINGFIELD,ROBERT",,,"SUB IN by BENDINGFIELD,ROBERT",2
16:34,,,,,"SUB OUT by JAMES,KENDAL",,,"SUB OUT by JAMES,KENDAL",2
16:34,,,,,"SUB OUT by AMANOR,TROY",,,"SUB OUT by AMANOR,TROY",2
16:12,,,,,"MISS JUMPER by BENDINGFIELD,ROBERT",,,"MISS JUMPER by BENDINGFIELD,ROBERT",2
--,"REBOUND DEF by BAUGHMAN,CARTER",,,,,,,"REBOUND DEF by BAUGHMAN,CARTER",2
