Time Remaining,Boyce,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,Period
12:08,"TURNOVER  by GIBSON,JAMES",,,,,,,"TURNOVER  by GIBSON,JAMES",1
12:08,,,,,"SUB OUT by PURVIS,KC",,,"SUB OUT by PURVIS,KC",1
12:08,,,,,"SUB IN by WALKER,ART",,,"SUB IN by WALKER,ART",1
11:52,,13,,21 (+8),"GOOD DUNK by SMITH,RJ(in the paint)",Centre 13-21 (+8),,"GOOD DUNK by SMITH,RJ(in the paint)",1
--,,,,,"ASSIST  by BAUGHMAN,CARTER",,,"ASSIST  by BAUGHMAN,CARTER",1
11:40,"GOOD LAYUP by GIBSON,JAMES(in the paint)",15,,21 (+6),,Boyce 15-21 (+6),,"GOOD LAYUP by GIBSON,JAMES(in the paint)",1
11:21,,,,,"MISS LAYUP by WALKER,ART(in the paint)",,,"MISS LAYUP by WALKER,ART(in the paint)",1
--,"REBOUND DEF by GIBSON,JAMES",,,,,,,"REBOUND DEF by GIBSON,JAMES",1
11:14,,,,,"FOUL  by SPITZER,JAKOB",,,"FOUL  by SPITZER,JAKOB",1
11:14,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:14,"SUB OUT by TURNER,NICKOLAS",,,,,,,"SUB OUT by TURNER,NICKOLAS",1
11:14,"SUB IN by BENHAM,BAILEY",,,,,,,"SUB IN by BENHAM,BAILEY",1
11:14,"SUB IN by III,KENNETH",,,,,,,"SUB IN by III,KENNETH",1
11:14,"SUB OUT by GIBSON,ISAAC",,,,,,,"SUB OUT by GIBSON,ISAAC",1
11:12,"MISS 3PTR by BENHAM,BAILEY",,,,,,,"MISS 3PTR by BENHAM,BAILEY",1
--,"REBOUND OFF by NAUERT,TYLER",,,,,,,"REBOUND OFF by NAUERT,TYLER",1
11:05,,,,,"FOUL  by SPITZER,JAKOB",,,"FOUL  by SPITZER,JAKOB",1
11:05,"GOOD FT by ALEXAKOS,LEONIDAS",16,,21 (+5),,Boyce 16-21 (+5),,"GOOD FT by ALEXAKOS,LEONIDAS",1
11:05,"MISS FT by ALEXAKOS,LEONIDAS",,,,,,,"MISS FT by ALEXAKOS,LEONIDAS",1
--,,,,,"REBOUND DEF by WALKER,ART",,,"REBOUND DEF by WALKER,ART",1
11:05,,,,,"MISS 3PTR by BAUGHMAN,CARTER",,,"MISS 3PTR by BAUGHMAN,CARTER",1
--,"REBOUND DEF by ALEXAKOS,LEONIDAS",,,,,,,"REBOUND DEF by ALEXAKOS,LEONIDAS",1
10:50,"MISS LAYUP by NAUERT,TYLER(in the paint)",,,,,,,"MISS LAYUP by NAUERT,TYLER(in the paint)",1
10:50,,,,,"BLOCK  by WALKER,ART",,,"BLOCK  by WALKER,ART",1
--,,,,,"REBOUND DEF by WALKER,ART",,,"REBOUND DEF by WALKER,ART",1
10:23,"FOUL  by ALEXAKOS,LEONIDAS",,,,,,,"FOUL  by ALEXAKOS,LEONIDAS",1
10:23,,,,,"SUB OUT by SMITH,RJ",,,"SUB OUT by SMITH,RJ",1
10:23,,,,,"SUB OUT by SPITZER,JAKOB",,,"SUB OUT by SPITZER,JAKOB",1
10:23,,,,,"SUB IN by RAKES,BAILEY",,,"SUB IN by RAKES,BAILEY",1
10:23,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",1
10:23,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",1
10:23,,,,,"SUB IN by SMITH,RJ",,,"SUB IN by SMITH,RJ",1
10:23,"SUB OUT by ALEXAKOS,LEONIDAS",,,,,,,"SUB OUT by ALEXAKOS,LEONIDAS",1
10:23,"SUB IN by KIRBY,KEVIN",,,,,,,"SUB IN by KIRBY,KEVIN",1
10:22,,16,,22 (+6),"GOOD FT by BATES,JACOB",Centre 16-22 (+6),,"GOOD FT by BATES,JACOB",1
10:22,,,,,"MISS FT by BATES,JACOB",,,"MISS FT by BATES,JACOB",1
--,,,,,"REBOUND OFF by WILLIAMS,JALEN",,,"REBOUND OFF by WILLIAMS,JALEN",1
10:22,"FOUL  by KIRBY,KEVIN",,,,,,,"FOUL  by KIRBY,KEVIN",1
10:22,,16,,23 (+7),"GOOD FT by WILLIAMS,JALEN(fastbreak)",Centre 16-23 (+7),,"GOOD FT by WILLIAMS,JALEN(fastbreak)",1
10:22,,,,,"MISS FT by WILLIAMS,JALEN(fastbreak)",,,"MISS FT by WILLIAMS,JALEN(fastbreak)",1
--,"REBOUND DEF by III,KENNETH",,,,,,,"REBOUND DEF by III,KENNETH",1
10:22,"TURNOVER  by III,KENNETH",,,,,,,"TURNOVER  by III,KENNETH",1
10:22,,,,,"STEAL  by WALKER,ART",,,"STEAL  by WALKER,ART",1
10:22,,16,,25 (+9),"GOOD DUNK by BATES,JACOB(fastbreak)(in the paint)",Centre 16-25 (+9),,"GOOD DUNK by BATES,JACOB(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by WALKER,ART",,,"ASSIST  by WALKER,ART",1
10:22,,,,,"FOUL  by BATES,JACOB",,,"FOUL  by BATES,JACOB",1
10:22,"MISS FT by BENHAM,BAILEY(fastbreak)",,,,,,,"MISS FT by BENHAM,BAILEY(fastbreak)",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
10:22,"MISS FT by BENHAM,BAILEY(fastbreak)",,,,,,,"MISS FT by BENHAM,BAILEY(fastbreak)",1
--,,,,,"REBOUND DEF by WALKER,ART",,,"REBOUND DEF by WALKER,ART",1
09:10,,,,,"MISS 3PTR by WALKER,ART",,,"MISS 3PTR by WALKER,ART",1
--,,,,,"REBOUND OFF by SMITH,RJ",,,"REBOUND OFF by SMITH,RJ",1
08:59,,16,,27 (+11),"GOOD LAYUP by SMITH,RJ(in the paint)",Centre 16-27 (+11),,"GOOD LAYUP by SMITH,RJ(in the paint)",1
08:36,"GOOD LAYUP by III,KENNETH(in the paint)",18,,27 (+9),,Boyce 18-27 (+9),,"GOOD LAYUP by III,KENNETH(in the paint)",1
08:23,,18,,29 (+11),"GOOD DUNK by SMITH,RJ(in the paint)",Centre 18-29 (+11),,"GOOD DUNK by SMITH,RJ(in the paint)",1
--,,,,,"ASSIST  by BATES,JACOB",,,"ASSIST  by BATES,JACOB",1
08:06,,,,,"FOUL  by SMITH,RJ",,,"FOUL  by SMITH,RJ",1
08:06,,,,,"SUB OUT by WALKER,ART",,,"SUB OUT by WALKER,ART",1
08:06,,,,,"SUB IN by PURVIS,KC",,,"SUB IN by PURVIS,KC",1
08:05,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",1
08:05,,,,,"SUB IN by KNOCHELMANN,PETE",,,"SUB IN by KNOCHELMANN,PETE",1
08:01,"TURNOVER  by GIBSON,JAMES",,,,,,,"TURNOVER  by GIBSON,JAMES",1
07:59,"FOUL  by BENHAM,BAILEY",,,,,,,"FOUL  by BENHAM,BAILEY",1
07:59,"SUB OUT by BENHAM,BAILEY",,,,,,,"SUB OUT by BENHAM,BAILEY",1
07:59,"SUB IN by KAYS,SAM",,,,,,,"SUB IN by KAYS,SAM",1
07:59,,,,,"MISS FT by PURVIS,KC",,,"MISS FT by PURVIS,KC",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
07:59,,,,,"MISS FT by PURVIS,KC",,,"MISS FT by PURVIS,KC",1
--,"REBOUND DEF by III,KENNETH",,,,,,,"REBOUND DEF by III,KENNETH",1
07:56,"GOOD LAYUP by III,KENNETH(in the paint)",20,,29 (+9),,Boyce 20-29 (+9),,"GOOD LAYUP by III,KENNETH(in the paint)",1
07:28,,,,,"MISS 3PTR by RAKES,BAILEY",,,"MISS 3PTR by RAKES,BAILEY",1
--,"REBOUND DEF by KAYS,SAM",,,,,,,"REBOUND DEF by KAYS,SAM",1
07:18,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:18,,,,,"SUB OUT by SMITH,RJ",,,"SUB OUT by SMITH,RJ",1
07:18,,,,,"SUB IN by BAUGHMAN,CARTER",,,"SUB IN by BAUGHMAN,CARTER",1
07:18,"SUB OUT by III,KENNETH",,,,,,,"SUB OUT by III,KENNETH",1
07:18,"SUB IN by GIBSON,ISAAC",,,,,,,"SUB IN by GIBSON,ISAAC",1
06:56,"TURNOVER  by KAYS,SAM",,,,,,,"TURNOVER  by KAYS,SAM",1
06:56,,,,,"SUB OUT by KNOCHELMANN,PETE",,,"SUB OUT by KNOCHELMANN,PETE",1
06:56,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",1
06:40,"FOUL  by KAYS,SAM",,,,,,,"FOUL  by KAYS,SAM",1
06:40,,,,,"MISS FT by BATES,JACOB",,,"MISS FT by BATES,JACOB",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
06:40,"SUB OUT by KAYS,SAM",,,,,,,"SUB OUT by KAYS,SAM",1
06:40,"SUB IN by III,KENNETH",,,,,,,"SUB IN by III,KENNETH",1
06:40,,,,,"MISS FT by BATES,JACOB",,,"MISS FT by BATES,JACOB",1
--,"REBOUND DEF by GIBSON,ISAAC",,,,,,,"REBOUND DEF by GIBSON,ISAAC",1
06:34,,,,,"FOUL  by WILLIAMS,JALEN",,,"FOUL  by WILLIAMS,JALEN",1
06:34,"GOOD FT by GIBSON,JAMES",21,,29 (+8),,Boyce 21-29 (+8),,"GOOD FT by GIBSON,JAMES",1
06:34,,,,,"SUB OUT by PURVIS,KC",,,"SUB OUT by PURVIS,KC",1
06:34,,,,,"SUB IN by WALKER,ART",,,"SUB IN by WALKER,ART",1
06:34,"GOOD FT by GIBSON,JAMES",22,,29 (+7),,Boyce 22-29 (+7),,"GOOD FT by GIBSON,JAMES",1
06:14,,,,,"MISS 3PTR by BATES,JACOB",,,"MISS 3PTR by BATES,JACOB",1
--,,,,,"REBOUND OFF by RAKES,BAILEY",,,"REBOUND OFF by RAKES,BAILEY",1
06:08,"FOUL  by GIBSON,JAMES",,,,,,,"FOUL  by GIBSON,JAMES",1
06:08,,22,,30 (+8),"GOOD FT by BAUGHMAN,CARTER",Centre 22-30 (+8),,"GOOD FT by BAUGHMAN,CARTER",1
06:08,,,,,"SUB OUT by WILLIAMS,JALEN",,,"SUB OUT by WILLIAMS,JALEN",1
06:08,,,,,"SUB IN by SMITH,RJ",,,"SUB IN by SMITH,RJ",1
06:08,"SUB OUT by GIBSON,JAMES",,,,,,,"SUB OUT by GIBSON,JAMES",1
06:08,"SUB IN by TURNER,NICKOLAS",,,,,,,"SUB IN by TURNER,NICKOLAS",1
06:08,,22,,31 (+9),"GOOD FT by BAUGHMAN,CARTER",Centre 22-31 (+9),,"GOOD FT by BAUGHMAN,CARTER",1
06:06,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
05:59,"FOUL  by KIRBY,KEVIN",,,,,,,"FOUL  by KIRBY,KEVIN",1
05:59,"TURNOVER  by KIRBY,KEVIN",,,,,,,"TURNOVER  by KIRBY,KEVIN",1
05:59,"SUB OUT by KIRBY,KEVIN",,,,,,,"SUB OUT by KIRBY,KEVIN",1
05:59,"SUB IN by ALEXAKOS,LEONIDAS",,,,,,,"SUB IN by ALEXAKOS,LEONIDAS",1
05:49,"FOUL  by NAUERT,TYLER",,,,,,,"FOUL  by NAUERT,TYLER",1
05:49,,22,,32 (+10),"GOOD FT by BAUGHMAN,CARTER",Centre 22-32 (+10),,"GOOD FT by BAUGHMAN,CARTER",1
05:49,,22,,33 (+11),"GOOD FT by BAUGHMAN,CARTER",Centre 22-33 (+11),,"GOOD FT by BAUGHMAN,CARTER",1
05:49,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",1
05:49,,,,,"SUB IN by PURVIS,KC",,,"SUB IN by PURVIS,KC",1
05:45,"TURNOVER  by TURNER,NICKOLAS",,,,,,,"TURNOVER  by TURNER,NICKOLAS",1
05:35,,22,,35 (+13),"GOOD LAYUP by PURVIS,KC(in the paint)",Centre 22-35 (+13),,"GOOD LAYUP by PURVIS,KC(in the paint)",1
--,,,,,"ASSIST  by WALKER,ART",,,"ASSIST  by WALKER,ART",1
05:21,,,,,"FOUL  by PURVIS,KC",,,"FOUL  by PURVIS,KC",1
05:21,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",1
05:21,,,,,"SUB OUT by PURVIS,KC",,,"SUB OUT by PURVIS,KC",1
05:21,,,,,"SUB IN by WILLIAMS,JALEN",,,"SUB IN by WILLIAMS,JALEN",1
05:21,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",1
05:21,"SUB OUT by NAUERT,TYLER",,,,,,,"SUB OUT by NAUERT,TYLER",1
05:21,"SUB IN by BENHAM,BAILEY",,,,,,,"SUB IN by BENHAM,BAILEY",1
05:21,"MISS FT by III,KENNETH",,,,,,,"MISS FT by III,KENNETH",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
05:21,"MISS FT by III,KENNETH",,,,,,,"MISS FT by III,KENNETH",1
--,,,,,"REBOUND DEF by SMITH,RJ",,,"REBOUND DEF by SMITH,RJ",1
05:13,,22,,37 (+15),"GOOD JUMPER by BAUGHMAN,CARTER(in the paint)",Centre 22-37 (+15),,"GOOD JUMPER by BAUGHMAN,CARTER(in the paint)",1
04:59,"MISS JUMPER by BENHAM,BAILEY(in the paint)",,,,,,,"MISS JUMPER by BENHAM,BAILEY(in the paint)",1
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",1
04:50,,22,,39 (+17),"GOOD LAYUP by WALKER,ART(in the paint)",Centre 22-39 (+17),,"GOOD LAYUP by WALKER,ART(in the paint)",1
--,,,,,"ASSIST  by BAUGHMAN,CARTER",,,"ASSIST  by BAUGHMAN,CARTER",1
04:34,"MISS 3PTR by BENHAM,BAILEY",,,,,,,"MISS 3PTR by BENHAM,BAILEY",1
--,"REBOUND OFF by III,KENNETH",,,,,,,"REBOUND OFF by III,KENNETH",1
04:16,"MISS LAYUP by TURNER,NICKOLAS(in the paint)",,,,,,,"MISS LAYUP by TURNER,NICKOLAS(in the paint)",1
--,,,,,"REBOUND DEF by WILLIAMS,JALEN",,,"REBOUND DEF by WILLIAMS,JALEN",1
04:10,,,,,"TURNOVER  by BAUGHMAN,CARTER",,,"TURNOVER  by BAUGHMAN,CARTER",1
04:04,"TURNOVER  by TURNER,NICKOLAS",,,,,,,"TURNOVER  by TURNER,NICKOLAS",1
04:04,,,,,"STEAL  by BATES,JACOB",,,"STEAL  by BATES,JACOB",1
04:00,"FOUL  by TURNER,NICKOLAS",,,,,,,"FOUL  by TURNER,NICKOLAS",1
04:00,,22,,40 (+18),"GOOD FT by WALKER,ART",Centre 22-40 (+18),,"GOOD FT by WALKER,ART",1
04:00,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",1
04:00,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",1
04:00,,,,,"SUB IN by RAKES,BAILEY",,,"SUB IN by RAKES,BAILEY",1
04:00,,,,,"SUB IN by PURVIS,KC",,,"SUB IN by PURVIS,KC",1
04:00,"SUB OUT by TURNER,NICKOLAS",,,,,,,"SUB OUT by TURNER,NICKOLAS",1
04:00,"SUB OUT by III,KENNETH",,,,,,,"SUB OUT by III,KENNETH",1
04:00,"SUB OUT by ALEXAKOS,LEONIDAS",,,,,,,"SUB OUT by ALEXAKOS,LEONIDAS",1
04:00,"SUB IN by GIBSON,JAMES",,,,,,,"SUB IN by GIBSON,JAMES",1
04:00,"SUB IN by QUINLEY,AARON",,,,,,,"SUB IN by QUINLEY,AARON",1
04:00,"SUB IN by KIRBY,KEVIN",,,,,,,"SUB IN by KIRBY,KEVIN",1
04:00,,,,,"MISS FT by WALKER,ART",,,"MISS FT by WALKER,ART",1
--,"REBOUND DEF by KIRBY,KEVIN",,,,,,,"REBOUND DEF by KIRBY,KEVIN",1
03:53,"FOUL  by GIBSON,JAMES",,,,,,,"FOUL  by GIBSON,JAMES",1
03:53,"TURNOVER  by GIBSON,JAMES",,,,,,,"TURNOVER  by GIBSON,JAMES",1
03:52,,,,,"MISS FT by RAKES,BAILEY",,,"MISS FT by RAKES,BAILEY",1
03:52,,,,,"MISS FT by RAKES,BAILEY",,,"MISS FT by RAKES,BAILEY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
03:49,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:49,"SUB OUT by GIBSON,JAMES",,,,,,,"SUB OUT by GIBSON,JAMES",1
03:49,"SUB IN by NAUERT,TYLER",,,,,,,"SUB IN by NAUERT,TYLER",1
03:45,"TURNOVER  by QUINLEY,AARON",,,,,,,"TURNOVER  by QUINLEY,AARON",1
03:39,,22,,42 (+20),"GOOD DUNK by WILLIAMS,JALEN(in the paint)",Centre 22-42 (+20),,"GOOD DUNK by WILLIAMS,JALEN(in the paint)",1
03:31,"TURNOVER  by NAUERT,TYLER",,,,,,,"TURNOVER  by NAUERT,TYLER",1
03:31,,,,,"STEAL  by PURVIS,KC",,,"STEAL  by PURVIS,KC",1
03:20,,22,,44 (+22),"GOOD LAYUP by WALKER,ART(in the paint)",Centre 22-44 (+22),,"GOOD LAYUP by WALKER,ART(in the paint)",1
--,,,,,"ASSIST  by RAKES,BAILEY",,,"ASSIST  by RAKES,BAILEY",1
03:13,"MISS LAYUP by KIRBY,KEVIN(in the paint)",,,,,,,"MISS LAYUP by KIRBY,KEVIN(in the paint)",1
--,"REBOUND OFF by KIRBY,KEVIN",,,,,,,"REBOUND OFF by KIRBY,KEVIN",1
03:07,"GOOD LAYUP by KIRBY,KEVIN(in the paint)",24,,44 (+20),,Boyce 24-44 (+20),,"GOOD LAYUP by KIRBY,KEVIN(in the paint)",1
02:56,"FOUL  by BENHAM,BAILEY",,,,,,,"FOUL  by BENHAM,BAILEY",1
02:56,,24,,45 (+21),"GOOD FT by PURVIS,KC",Centre 24-45 (+21),,"GOOD FT by PURVIS,KC",1
02:56,"SUB OUT by QUINLEY,AARON",,,,,,,"SUB OUT by QUINLEY,AARON",1
02:56,"SUB IN by TURNER,NICKOLAS",,,,,,,"SUB IN by TURNER,NICKOLAS",1
02:56,,24,,46 (+22),"GOOD FT by PURVIS,KC",Centre 24-46 (+22),,"GOOD FT by PURVIS,KC",1
02:56,,,,,"SUB OUT by WALKER,ART",,,"SUB OUT by WALKER,ART",1
02:56,,,,,"SUB OUT by PURVIS,KC",,,"SUB OUT by PURVIS,KC",1
