Time Remaining,Centre,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,Period
16:21,,,,,"TURNOVER  by MCLAURIN,RYAN",,,"TURNOVER  by MCLAURIN,RYAN",1
16:21,"STEAL  by BAUGHMAN,CARTER",,,,,,,"STEAL  by BAUGHMAN,CARTER",1
16:18,"GOOD JUMPER by BAUGHMAN,CARTER(fastbreak)(in the paint)",8 (+3),,5,,Centre 8-5 (+3),,"GOOD JUMPER by BAUGHMAN,CARTER(fastbreak)(in the paint)",1
15:55,,,,,"MISS 3PTR by JENKINS,KALEB",,,"MISS 3PTR by JENKINS,KALEB",1
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",1
15:55,,,,,"FOUL  by SPIKES,KALVIN",,,"FOUL  by SPIKES,KALVIN",1
15:55,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:55,,,,,"SUB OUT by BECKER,SAXTON",,,"SUB OUT by BECKER,SAXTON",1
15:55,,,,,"SUB IN by GRANT,SHE'CHEM",,,"SUB IN by GRANT,SHE'CHEM",1
15:55,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",1
15:55,"SUB OUT by BAUGHMAN,CARTER",,,,,,,"SUB OUT by BAUGHMAN,CARTER",1
15:55,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",1
15:55,"SUB IN by WILSON,DREW",,,,,,,"SUB IN by WILSON,DREW",1
15:42,"GOOD JUMPER by BATES,JACOB(in the paint)",10 (+5),,5,,Centre 10-5 (+5),,"GOOD JUMPER by BATES,JACOB(in the paint)",1
15:18,,10 (+2),,8,"GOOD 3PTR by HUGHES,ANTHONY",Mill 10-8 (+2),,"GOOD 3PTR by HUGHES,ANTHONY",1
--,,,,,"ASSIST  by JENKINS,KALEB",,,"ASSIST  by JENKINS,KALEB",1
14:59,"TURNOVER  by BATES,JACOB",,,,,,,"TURNOVER  by BATES,JACOB",1
14:59,,,,,"STEAL  by GRANT,SHE'CHEM",,,"STEAL  by GRANT,SHE'CHEM",1
14:48,,,,,"MISS 3PTR by JENKINS,KALEB",,,"MISS 3PTR by JENKINS,KALEB",1
--,"REBOUND DEF by WALKER,ART",,,,,,,"REBOUND DEF by WALKER,ART",1
14:29,"MISS JUMPER by BATES,JACOB(in the paint)",,,,,,,"MISS JUMPER by BATES,JACOB(in the paint)",1
--,,,,,"REBOUND DEF by GRANT,SHE'CHEM",,,"REBOUND DEF by GRANT,SHE'CHEM",1
14:16,,,,,"TURNOVER  by JENKINS,KALEB",,,"TURNOVER  by JENKINS,KALEB",1
14:16,,,,,"SUB OUT by SPIKES,KALVIN",,,"SUB OUT by SPIKES,KALVIN",1
14:16,,,,,"SUB OUT by JENKINS,KALEB",,,"SUB OUT by JENKINS,KALEB",1
14:16,,,,,"SUB IN by MILLER,JOSHUA",,,"SUB IN by MILLER,JOSHUA",1
14:16,,,,,"SUB IN by VAN PELT,JUSTIN",,,"SUB IN by VAN PELT,JUSTIN",1
14:16,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
14:16,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",1
13:52,"TURNOVER  by WILSON,DREW",,,,,,,"TURNOVER  by WILSON,DREW",1
13:52,,,,,"STEAL  by GRANT,SHE'CHEM",,,"STEAL  by GRANT,SHE'CHEM",1
13:45,,,,,"MISS JUMPER by HUGHES,ANTHONY",,,"MISS JUMPER by HUGHES,ANTHONY",1
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",1
13:37,"TURNOVER  by CRUMP,DAWSON",,,,,,,"TURNOVER  by CRUMP,DAWSON",1
13:37,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
13:37,"SUB IN by WILLIAMS,JALEN",,,,,,,"SUB IN by WILLIAMS,JALEN",1
13:13,,10,,10,"GOOD JUMPER by MCLAURIN,RYAN(in the paint)",Mill 10-10 (0),,"GOOD JUMPER by MCLAURIN,RYAN(in the paint)",1
13:13,"FOUL  by WILLIAMS,JALEN",,,,,,,"FOUL  by WILLIAMS,JALEN",1
13:13,,10,,11 (+1),"GOOD FT by MCLAURIN,RYAN",Mill 10-11 (-1),,"GOOD FT by MCLAURIN,RYAN",1
13:03,,,,,"FOUL  by MILLER,JOSHUA",,,"FOUL  by MILLER,JOSHUA",1
13:03,"GOOD FT by SPITZER,JAKOB",11,,11,,Centre 11-11 (0),,"GOOD FT by SPITZER,JAKOB",1
13:03,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",1
13:03,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",1
13:03,"GOOD FT by SPITZER,JAKOB",12 (+1),,11,,Centre 12-11 (+1),,"GOOD FT by SPITZER,JAKOB",1
13:00,"FOUL  by CRUMP,DAWSON",,,,,,,"FOUL  by CRUMP,DAWSON",1
13:00,,,,,"SUB OUT by MCLAURIN,RYAN",,,"SUB OUT by MCLAURIN,RYAN",1
13:00,,,,,"SUB IN by YOUNG,DILLON",,,"SUB IN by YOUNG,DILLON",1
12:49,,,,,"MISS LAYUP by HUGHES,ANTHONY(in the paint)",,,"MISS LAYUP by HUGHES,ANTHONY(in the paint)",1
--,"REBOUND DEF by SPITZER,JAKOB",,,,,,,"REBOUND DEF by SPITZER,JAKOB",1
12:36,"GOOD 3PTR by CRUMP,DAWSON",15 (+4),,11,,Centre 15-11 (+4),,"GOOD 3PTR by CRUMP,DAWSON",1
12:10,,15 (+2),,13,"GOOD JUMPER by VAN PELT,JUSTIN(in the paint)",Mill 15-13 (+2),,"GOOD JUMPER by VAN PELT,JUSTIN(in the paint)",1
--,,,,,"ASSIST  by YOUNG,DILLON",,,"ASSIST  by YOUNG,DILLON",1
11:52,"MISS JUMPER by RAKES,BAILEY(in the paint)",,,,,,,"MISS JUMPER by RAKES,BAILEY(in the paint)",1
--,,,,,"REBOUND DEF by VAN PELT,JUSTIN",,,"REBOUND DEF by VAN PELT,JUSTIN",1
11:35,,15,,15,"GOOD JUMPER by VAN PELT,JUSTIN(in the paint)",Mill 15-15 (0),,"GOOD JUMPER by VAN PELT,JUSTIN(in the paint)",1
--,,,,,"ASSIST  by HUGHES,ANTHONY",,,"ASSIST  by HUGHES,ANTHONY",1
11:11,"MISS 3PTR by CRUMP,DAWSON",,,,,,,"MISS 3PTR by CRUMP,DAWSON",1
--,,,,,"REBOUND DEF by HUGHES,ANTHONY",,,"REBOUND DEF by HUGHES,ANTHONY",1
10:48,,,,,"MISS 3PTR by GRANT,SHE'CHEM",,,"MISS 3PTR by GRANT,SHE'CHEM",1
--,"REBOUND DEF by CRUMP,DAWSON",,,,,,,"REBOUND DEF by CRUMP,DAWSON",1
10:38,,,,,"FOUL  by GRANT,SHE'CHEM",,,"FOUL  by GRANT,SHE'CHEM",1
10:38,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
10:38,,,,,"SUB OUT by HUGHES,ANTHONY",,,"SUB OUT by HUGHES,ANTHONY",1
10:38,,,,,"SUB IN by TURNER,JAMES",,,"SUB IN by TURNER,JAMES",1
10:38,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",1
10:38,"SUB IN by PURVIS,KC",,,,,,,"SUB IN by PURVIS,KC",1
10:38,"GOOD FT by WILSON,DREW",16 (+1),,15,,Centre 16-15 (+1),,"GOOD FT by WILSON,DREW",1
10:38,"SUB OUT by WILLIAMS,JALEN",,,,,,,"SUB OUT by WILLIAMS,JALEN",1
10:38,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
10:38,"MISS FT by WILSON,DREW",,,,,,,"MISS FT by WILSON,DREW",1
--,,,,,"REBOUND DEF by VAN PELT,JUSTIN",,,"REBOUND DEF by VAN PELT,JUSTIN",1
10:18,,16,,18 (+2),"GOOD 3PTR by GRANT,SHE'CHEM",Mill 16-18 (-2),,"GOOD 3PTR by GRANT,SHE'CHEM",1
--,,,,,"ASSIST  by MILLER,JOSHUA",,,"ASSIST  by MILLER,JOSHUA",1
09:55,"MISS 3PTR by BATES,JACOB",,,,,,,"MISS 3PTR by BATES,JACOB",1
--,,,,,"REBOUND DEF by VAN PELT,JUSTIN",,,"REBOUND DEF by VAN PELT,JUSTIN",1
09:39,,,,,"MISS 3PTR by GRANT,SHE'CHEM",,,"MISS 3PTR by GRANT,SHE'CHEM",1
--,"REBOUND DEF by WILSON,DREW",,,,,,,"REBOUND DEF by WILSON,DREW",1
09:18,"MISS JUMPER by BATES,JACOB(in the paint)",,,,,,,"MISS JUMPER by BATES,JACOB(in the paint)",1
--,,,,,"REBOUND DEF by TURNER,JAMES",,,"REBOUND DEF by TURNER,JAMES",1
09:03,,16,,20 (+4),"GOOD JUMPER by YOUNG,DILLON(in the paint)",Mill 16-20 (-4),,"GOOD JUMPER by YOUNG,DILLON(in the paint)",1
08:35,,,,,"FOUL  by TURNER,JAMES",,,"FOUL  by TURNER,JAMES",1
08:35,"MISS FT by BATES,JACOB",,,,,,,"MISS FT by BATES,JACOB",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
08:35,,,,,"SUB OUT by YOUNG,DILLON",,,"SUB OUT by YOUNG,DILLON",1
08:35,,,,,"SUB IN by MCLAURIN,RYAN",,,"SUB IN by MCLAURIN,RYAN",1
08:35,"SUB OUT by CRUMP,DAWSON",,,,,,,"SUB OUT by CRUMP,DAWSON",1
08:35,"SUB OUT by WILSON,DREW",,,,,,,"SUB OUT by WILSON,DREW",1
08:35,"SUB IN by BAUGHMAN,CARTER",,,,,,,"SUB IN by BAUGHMAN,CARTER",1
08:35,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",1
08:35,"MISS FT by BATES,JACOB",,,,,,,"MISS FT by BATES,JACOB",1
--,,,,,"REBOUND DEF by GRANT,SHE'CHEM",,,"REBOUND DEF by GRANT,SHE'CHEM",1
08:24,,,,,"FOUL  by MILLER,JOSHUA",,,"FOUL  by MILLER,JOSHUA",1
08:24,,,,,"TURNOVER  by MILLER,JOSHUA",,,"TURNOVER  by MILLER,JOSHUA",1
08:24,,,,,"SUB OUT by VAN PELT,JUSTIN",,,"SUB OUT by VAN PELT,JUSTIN",1
08:24,,,,,"SUB IN by TULLOS,ZACHARY",,,"SUB IN by TULLOS,ZACHARY",1
08:01,"TURNOVER  by BATES,JACOB",,,,,,,"TURNOVER  by BATES,JACOB",1
08:01,,,,,"STEAL  by MILLER,JOSHUA",,,"STEAL  by MILLER,JOSHUA",1
07:53,,16,,22 (+6),"GOOD JUMPER by MILLER,JOSHUA(in the paint)",Mill 16-22 (-6),,"GOOD JUMPER by MILLER,JOSHUA(in the paint)",1
07:52,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
07:52,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:52,,,,,"SUB OUT by MILLER,JOSHUA",,,"SUB OUT by MILLER,JOSHUA",1
07:52,,,,,"SUB OUT by GRANT,SHE'CHEM",,,"SUB OUT by GRANT,SHE'CHEM",1
07:52,,,,,"SUB IN by YOUNG,DILLON",,,"SUB IN by YOUNG,DILLON",1
07:52,,,,,"SUB IN by JENKINS,KALEB",,,"SUB IN by JENKINS,KALEB",1
07:52,"SUB OUT by PURVIS,KC",,,,,,,"SUB OUT by PURVIS,KC",1
07:52,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
07:29,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",1
--,,,,,"REBOUND DEF by TURNER,JAMES",,,"REBOUND DEF by TURNER,JAMES",1
07:14,,,,,"MISS 3PTR by YOUNG,DILLON",,,"MISS 3PTR by YOUNG,DILLON",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
07:11,,,,,"FOUL  by TULLOS,ZACHARY",,,"FOUL  by TULLOS,ZACHARY",1
06:55,"GOOD JUMPER by AYERS,PERRY(in the paint)",18,,22 (+4),,Centre 18-22 (-4),,"GOOD JUMPER by AYERS,PERRY(in the paint)",1
06:53,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",1
06:53,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",1
06:36,,,,,"TURNOVER  by TURNER,JAMES",,,"TURNOVER  by TURNER,JAMES",1
06:36,"STEAL  by WALKER,ART",,,,,,,"STEAL  by WALKER,ART",1
06:22,"GOOD LAYUP by BATES,JACOB(in the paint)",20,,22 (+2),,Centre 20-22 (-2),,"GOOD LAYUP by BATES,JACOB(in the paint)",1
06:12,,,,,"MISS 3PTR by YOUNG,DILLON",,,"MISS 3PTR by YOUNG,DILLON",1
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",1
06:05,"TURNOVER  by AYERS,PERRY",,,,,,,"TURNOVER  by AYERS,PERRY",1
06:05,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",1
06:05,,,,,"SUB IN by HUGHES,ANTHONY",,,"SUB IN by HUGHES,ANTHONY",1
05:55,,,,,"TURNOVER  by HUGHES,ANTHONY",,,"TURNOVER  by HUGHES,ANTHONY",1
05:39,"MISS LAYUP by BATES,JACOB(in the paint)",,,,,,,"MISS LAYUP by BATES,JACOB(in the paint)",1
--,"REBOUND OFF by AYERS,PERRY",,,,,,,"REBOUND OFF by AYERS,PERRY",1
05:31,"MISS 3PTR by AYERS,PERRY",,,,,,,"MISS 3PTR by AYERS,PERRY",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
05:29,,,,,"SUB OUT by YOUNG,DILLON",,,"SUB OUT by YOUNG,DILLON",1
05:29,,,,,"SUB IN by BECKER,SAXTON",,,"SUB IN by BECKER,SAXTON",1
05:19,"GOOD 3PTR by BATES,JACOB",23 (+1),,22,,Centre 23-22 (+1),,"GOOD 3PTR by BATES,JACOB",1
--,"ASSIST  by WALKER,ART",,,,,,,"ASSIST  by WALKER,ART",1
05:04,,,,,"MISS LAYUP by HUGHES,ANTHONY(in the paint)",,,"MISS LAYUP by HUGHES,ANTHONY(in the paint)",1
--,"REBOUND DEF by CRUMP,DAWSON",,,,,,,"REBOUND DEF by CRUMP,DAWSON",1
04:55,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",1
--,,,,,"REBOUND DEF by JENKINS,KALEB",,,"REBOUND DEF by JENKINS,KALEB",1
04:36,,,,,"MISS 3PTR by BECKER,SAXTON",,,"MISS 3PTR by BECKER,SAXTON",1
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",1
04:25,"GOOD JUMPER by CRUMP,DAWSON(in the paint)",25 (+3),,22,,Centre 25-22 (+3),,"GOOD JUMPER by CRUMP,DAWSON(in the paint)",1
04:08,"FOUL  by BATES,JACOB",,,,,,,"FOUL  by BATES,JACOB",1
04:08,,,,,"MISS FT by TULLOS,ZACHARY",,,"MISS FT by TULLOS,ZACHARY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
04:08,,,,,"SUB OUT by JENKINS,KALEB",,,"SUB OUT by JENKINS,KALEB",1
04:08,,,,,"SUB IN by MILLER,JOSHUA",,,"SUB IN by MILLER,JOSHUA",1
04:08,"SUB OUT by CRUMP,DAWSON",,,,,,,"SUB OUT by CRUMP,DAWSON",1
04:08,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
04:08,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",1
04:08,"SUB IN by PURVIS,KC",,,,,,,"SUB IN by PURVIS,KC",1
04:08,,25 (+2),,23,"GOOD FT by TULLOS,ZACHARY",Mill 25-23 (+2),,"GOOD FT by TULLOS,ZACHARY",1
04:08,,,,,"SUB OUT by TULLOS,ZACHARY",,,"SUB OUT by TULLOS,ZACHARY",1
04:08,,,,,"SUB IN by SPIKES,KALVIN",,,"SUB IN by SPIKES,KALVIN",1
03:48,"GOOD JUMPER by RAKES,BAILEY(in the paint)",27 (+4),,23,,Centre 27-23 (+4),,"GOOD JUMPER by RAKES,BAILEY(in the paint)",1
03:21,,27 (+2),,25,"GOOD JUMPER by MILLER,JOSHUA",Mill 27-25 (+2),,"GOOD JUMPER by MILLER,JOSHUA",1
02:56,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",1
--,"REBOUND OFF by AYERS,PERRY",,,,,,,"REBOUND OFF by AYERS,PERRY",1
02:50,"GOOD 3PTR by WALKER,ART",30 (+5),,25,,Centre 30-25 (+5),,"GOOD 3PTR by WALKER,ART",1
--,"ASSIST  by AYERS,PERRY",,,,,,,"ASSIST  by AYERS,PERRY",1
02:28,,30 (+3),,27,"GOOD LAYUP by MCLAURIN,RYAN(in the paint)",Mill 30-27 (+3),,"GOOD LAYUP by MCLAURIN,RYAN(in the paint)",1
--,,,,,"ASSIST  by BECKER,SAXTON",,,"ASSIST  by BECKER,SAXTON",1
02:26,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
02:26,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
02:26,,,,,"SUB OUT by BECKER,SAXTON",,,"SUB OUT by BECKER,SAXTON",1
02:26,,,,,"SUB IN by GILLIHAN,NEWLON",,,"SUB IN by GILLIHAN,NEWLON",1
02:26,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
02:26,"SUB OUT by BAUGHMAN,CARTER",,,,,,,"SUB OUT by BAUGHMAN,CARTER",1
02:26,"SUB IN by WILLIAMS,JALEN",,,,,,,"SUB IN by WILLIAMS,JALEN",1
02:26,"SUB IN by WILSON,DREW",,,,,,,"SUB IN by WILSON,DREW",1
01:58,"MISS JUMPER by WILLIAMS,JALEN(in the paint)",,,,,,,"MISS JUMPER by WILLIAMS,JALEN(in the paint)",1
--,,,,,"REBOUND DEF by MILLER,JOSHUA",,,"REBOUND DEF by MILLER,JOSHUA",1
01:40,,,,,"TURNOVER  by GILLIHAN,NEWLON",,,"TURNOVER  by GILLIHAN,NEWLON",1
01:40,"SUB OUT by WILLIAMS,JALEN",,,,,,,"SUB OUT by WILLIAMS,JALEN",1
01:40,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
01:18,"MISS JUMPER by WILSON,DREW(in the paint)",,,,,,,"MISS JUMPER by WILSON,DREW(in the paint)",1
--,,,,,"REBOUND DEF by HUGHES,ANTHONY",,,"REBOUND DEF by HUGHES,ANTHONY",1
01:13,,,,,"FOUL  by HUGHES,ANTHONY",,,"FOUL  by HUGHES,ANTHONY",1
01:13,,,,,"TURNOVER  by HUGHES,ANTHONY",,,"TURNOVER  by HUGHES,ANTHONY",1
01:04,,,,,"FOUL  by SPIKES,KALVIN",,,"FOUL  by SPIKES,KALVIN",1
01:04,"GOOD FT by WALKER,ART",31 (+4),,27,,Centre 31-27 (+4),,"GOOD FT by WALKER,ART",1
01:04,,,,,"SUB OUT by SPIKES,KALVIN",,,"SUB OUT by SPIKES,KALVIN",1
01:04,,,,,"SUB IN by VAN PELT,JUSTIN",,,"SUB IN by VAN PELT,JUSTIN",1
01:04,"SUB OUT by WILSON,DREW",,,,,,,"SUB OUT by WILSON,DREW",1
01:04,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",1
01:04,"GOOD FT by WALKER,ART",32 (+5),,27,,Centre 32-27 (+5),,"GOOD FT by WALKER,ART",1
01:04,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
01:04,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",1
00:51,,,,,"TURNOVER  by MCLAURIN,RYAN",,,"TURNOVER  by MCLAURIN,RYAN",1
00:51,,,,,"SUB OUT by MCLAURIN,RYAN",,,"SUB OUT by MCLAURIN,RYAN",1
00:51,,,,,"SUB OUT by GILLIHAN,NEWLON",,,"SUB OUT by GILLIHAN,NEWLON",1
00:51,,,,,"SUB IN by JENKINS,KALEB",,,"SUB IN by JENKINS,KALEB",1
00:51,,,,,"SUB IN by TURNER,JAMES",,,"SUB IN by TURNER,JAMES",1
00:51,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",1
00:51,"SUB OUT by PURVIS,KC",,,,,,,"SUB OUT by PURVIS,KC",1
00:51,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
00:51,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
00:45,"TURNOVER  by CRUMP,DAWSON",,,,,,,"TURNOVER  by CRUMP,DAWSON",1
00:45,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
00:45,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
00:45,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",1
00:45,"SUB IN by PURVIS,KC",,,,,,,"SUB IN by PURVIS,KC",1
00:31,,,,,"TURNOVER  by HUGHES,ANTHONY",,,"TURNOVER  by HUGHES,ANTHONY",1
00:31,"STEAL  by AYERS,PERRY",,,,,,,"STEAL  by AYERS,PERRY",1
00:08,"MISS 3PTR by AYERS,PERRY",,,,,,,"MISS 3PTR by AYERS,PERRY",1
--,,,,,"REBOUND DEF by HUGHES,ANTHONY",,,"REBOUND DEF by HUGHES,ANTHONY",1
00:07,,,,,"TURNOVER  by HUGHES,ANTHONY",,,"TURNOVER  by HUGHES,ANTHONY",1
00:07,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",1
00:07,"SUB OUT by PURVIS,KC",,,,,,,"SUB OUT by PURVIS,KC",1
00:07,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
00:07,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
00:05,"MISS 3PTR by CRUMP,DAWSON",,,,,,,"MISS 3PTR by CRUMP,DAWSON",1
--,,,,,"REBOUND DEF by TURNER,JAMES",,,"REBOUND DEF by TURNER,JAMES",1
00:05,"FOUL  by WALKER,ART",,,,,,,"FOUL  by WALKER,ART",1
00:05,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
00:05,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
00:05,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",1
00:05,"SUB IN by PURVIS,KC",,,,,,,"SUB IN by PURVIS,KC",1
20:00,,,,,"SUB OUT by MILLER,JOSHUA",,,"SUB OUT by MILLER,JOSHUA",2
20:00,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",2
20:00,,,,,"SUB OUT by VAN PELT,JUSTIN",,,"SUB OUT by VAN PELT,JUSTIN",2
20:00,,,,,"SUB IN by SPIKES,KALVIN",,,"SUB IN by SPIKES,KALVIN",2
20:00,,,,,"SUB IN by MCLAURIN,RYAN",,,"SUB IN by MCLAURIN,RYAN",2
20:00,,,,,"SUB IN by BECKER,SAXTON",,,"SUB IN by BECKER,SAXTON",2
20:00,"SUB OUT by CRUMP,DAWSON",,,,,,,"SUB OUT by CRUMP,DAWSON",2
20:00,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",2
20:00,"SUB OUT by PURVIS,KC",,,,,,,"SUB OUT by PURVIS,KC",2
20:00,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",2
20:00,"SUB IN by BAUGHMAN,CARTER",,,,,,,"SUB IN by BAUGHMAN,CARTER",2
20:00,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",2
19:42,,,,,"FOUL  by SPIKES,KALVIN",,,"FOUL  by SPIKES,KALVIN",2
19:42,"GOOD FT by BATES,JACOB",33 (+6),,27,,Centre 33-27 (+6),,"GOOD FT by BATES,JACOB",2
19:42,"GOOD FT by BATES,JACOB",34 (+7),,27,,Centre 34-27 (+7),,"GOOD FT by BATES,JACOB",2
19:27,,34 (+5),,29,"GOOD LAYUP by SPIKES,KALVIN(in the paint)",Mill 34-29 (+5),,"GOOD LAYUP by SPIKES,KALVIN(in the paint)",2
--,,,,,"ASSIST  by BECKER,SAXTON",,,"ASSIST  by BECKER,SAXTON",2
19:27,"FOUL  by BATES,JACOB",,,,,,,"FOUL  by BATES,JACOB",2
