Time Remaining,LAWRENCE,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-M,Game Score,Team Indicator,Play,Period
19:31,"FOUL  by DENHAM,BRYCE",,,,,,,"FOUL  by DENHAM,BRYCE",2
19:31,"TURNOVER  by DENHAM,BRYCE",,,,,,,"TURNOVER  by DENHAM,BRYCE",2
19:31,"SUB IN by DEGUZMAN,JULIAN",,,,,,,"SUB IN by DEGUZMAN,JULIAN",2
19:31,"SUB OUT by DENHAM,BRYCE",,,,,,,"SUB OUT by DENHAM,BRYCE",2
19:18,,,,,"MISS JUMPER by BATES,JACOB",,,"MISS JUMPER by BATES,JACOB",2
--,"REBOUND DEF by MATERNA,MASON",,,,,,,"REBOUND DEF by MATERNA,MASON",2
19:08,"GOOD JUMPER by SENDELL,BRAD",30,,44 (+14),,LAWRENCE 30-44 (+14),,"GOOD JUMPER by SENDELL,BRAD",2
18:37,,30,,47 (+17),"GOOD 3PTR by RAKES,BAILEY",CENTRE-M 30-47 (+17),,"GOOD 3PTR by RAKES,BAILEY",2
--,,,,,"ASSIST  by BATES,JACOB",,,"ASSIST  by BATES,JACOB",2
18:16,"MISS 3PTR by SENDELL,BRAD",,,,,,,"MISS 3PTR by SENDELL,BRAD",2
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",2
18:07,,30,,50 (+20),"GOOD 3PTR by BATES,JACOB",CENTRE-M 30-50 (+20),,"GOOD 3PTR by BATES,JACOB",2
--,,,,,"ASSIST  by AYERS,PERRY",,,"ASSIST  by AYERS,PERRY",2
18:02,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
17:52,"MISS 3PTR by MATERNA,MASON",,,,,,,"MISS 3PTR by MATERNA,MASON",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
17:36,"FOUL  by DEGUZMAN,JULIAN",,,,,,,"FOUL  by DEGUZMAN,JULIAN",2
17:33,,30,,52 (+22),"GOOD JUMPER by BATES,JACOB(in the paint)",CENTRE-M 30-52 (+22),,"GOOD JUMPER by BATES,JACOB(in the paint)",2
17:21,"MISS 3PTR by DEGUZMAN,JULIAN",,,,,,,"MISS 3PTR by DEGUZMAN,JULIAN",2
--,,,,,"REBOUND DEF by AYERS,PERRY",,,"REBOUND DEF by AYERS,PERRY",2
17:09,,,,,"MISS JUMPER by WALKER,ART",,,"MISS JUMPER by WALKER,ART",2
--,,,,,"REBOUND OFF by BATES,JACOB",,,"REBOUND OFF by BATES,JACOB",2
17:07,,30,,54 (+24),"GOOD JUMPER by BATES,JACOB",CENTRE-M 30-54 (+24),,"GOOD JUMPER by BATES,JACOB",2
16:49,"MISS 3PTR by SENDELL,BRAD",,,,,,,"MISS 3PTR by SENDELL,BRAD",2
--,,,,,"REBOUND DEF by AYERS,PERRY",,,"REBOUND DEF by AYERS,PERRY",2
16:20,,30,,57 (+27),"GOOD 3PTR by BATES,JACOB",CENTRE-M 30-57 (+27),,"GOOD 3PTR by BATES,JACOB",2
16:01,"MISS 3PTR by FISHER,QUINN",,,,,,,"MISS 3PTR by FISHER,QUINN",2
--,,,,,"REBOUND DEF by RAKES,BAILEY",,,"REBOUND DEF by RAKES,BAILEY",2
15:55,"FOUL  by FISHER,QUINN",,,,,,,"FOUL  by FISHER,QUINN",2
15:55,,30,,58 (+28),"GOOD FT by AYERS,PERRY",CENTRE-M 30-58 (+28),,"GOOD FT by AYERS,PERRY",2
15:55,,30,,59 (+29),"GOOD FT by AYERS,PERRY",CENTRE-M 30-59 (+29),,"GOOD FT by AYERS,PERRY",2
15:55,"SUB IN by SCHLINDWEIN,SAWYER",,,,,,,"SUB IN by SCHLINDWEIN,SAWYER",2
15:55,"SUB OUT by DEGUZMAN,JULIAN",,,,,,,"SUB OUT by DEGUZMAN,JULIAN",2
15:55,,,,,"SUB IN by CRUMP,DAWSON",,,"SUB IN by CRUMP,DAWSON",2
15:55,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",2
15:46,,,,,"FOUL  by CRUMP,DAWSON",,,"FOUL  by CRUMP,DAWSON",2
15:34,"MISS 3PTR by SENDELL,BRAD",,,,,,,"MISS 3PTR by SENDELL,BRAD",2
--,,,,,"REBOUND DEF by AYERS,PERRY",,,"REBOUND DEF by AYERS,PERRY",2
15:14,,,,,"MISS 3PTR by BAUGHMAN,CARTER(fastbreak)",,,"MISS 3PTR by BAUGHMAN,CARTER(fastbreak)",2
--,"REBOUND DEF by SENDELL,BRAD",,,,,,,"REBOUND DEF by SENDELL,BRAD",2
15:04,"GOOD LAYUP by DANOWSKI,BRANDON(in the paint)",32,,59 (+27),,LAWRENCE 32-59 (+27),,"GOOD LAYUP by DANOWSKI,BRANDON(in the paint)",2
14:41,,,,,"MISS JUMPER by AYERS,PERRY",,,"MISS JUMPER by AYERS,PERRY",2
--,"REBOUND DEF by SENDELL,BRAD",,,,,,,"REBOUND DEF by SENDELL,BRAD",2
14:34,,,,,"FOUL  by CRUMP,DAWSON",,,"FOUL  by CRUMP,DAWSON",2
14:34,"MISS FT by SENDELL,BRAD",,,,,,,"MISS FT by SENDELL,BRAD",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
14:34,"GOOD FT by SENDELL,BRAD",33,,59 (+26),,LAWRENCE 33-59 (+26),,"GOOD FT by SENDELL,BRAD",2
14:34,"SUB IN by MIKAELIAN,TROY",,,,,,,"SUB IN by MIKAELIAN,TROY",2
14:34,"SUB IN by DENHAM,BRYCE",,,,,,,"SUB IN by DENHAM,BRYCE",2
14:34,"SUB OUT by MATERNA,MASON",,,,,,,"SUB OUT by MATERNA,MASON",2
14:34,"SUB OUT by FISHER,QUINN",,,,,,,"SUB OUT by FISHER,QUINN",2
14:34,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",2
14:34,,,,,"SUB IN by RAKES,BAILEY",,,"SUB IN by RAKES,BAILEY",2
14:34,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",2
14:34,,,,,"SUB OUT by CRUMP,DAWSON",,,"SUB OUT by CRUMP,DAWSON",2
14:16,,,,,"MISS 3PTR by WALKER,ART",,,"MISS 3PTR by WALKER,ART",2
--,"REBOUND DEF by DENHAM,BRYCE",,,,,,,"REBOUND DEF by DENHAM,BRYCE",2
13:58,"GOOD JUMPER by DANOWSKI,BRANDON(in the paint)",35,,59 (+24),,LAWRENCE 35-59 (+24),,"GOOD JUMPER by DANOWSKI,BRANDON(in the paint)",2
13:34,,,,,"MISS 3PTR by WALKER,ART",,,"MISS 3PTR by WALKER,ART",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
13:31,,,,,"SUB IN by PURVIS,KC",,,"SUB IN by PURVIS,KC",2
13:31,,,,,"SUB IN by SMITH,RJ",,,"SUB IN by SMITH,RJ",2
13:31,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",2
13:31,,,,,"SUB OUT by WALKER,ART",,,"SUB OUT by WALKER,ART",2
13:22,"GOOD LAYUP by SENDELL,BRAD(in the paint)",37,,59 (+22),,LAWRENCE 37-59 (+22),,"GOOD LAYUP by SENDELL,BRAD(in the paint)",2
--,"ASSIST  by MIKAELIAN,TROY",,,,,,,"ASSIST  by MIKAELIAN,TROY",2
13:02,"FOUL  by DENHAM,BRYCE",,,,,,,"FOUL  by DENHAM,BRYCE",2
13:02,"SUB IN by MATERNA,MASON",,,,,,,"SUB IN by MATERNA,MASON",2
13:02,"SUB OUT by DENHAM,BRYCE",,,,,,,"SUB OUT by DENHAM,BRYCE",2
12:58,,,,,"MISS JUMPER by RAKES,BAILEY",,,"MISS JUMPER by RAKES,BAILEY",2
--,,,,,"REBOUND OFF by AYERS,PERRY",,,"REBOUND OFF by AYERS,PERRY",2
12:56,,,,,"MISS TIPIN by AYERS,PERRY",,,"MISS TIPIN by AYERS,PERRY",2
--,,,,,"REBOUND OFF by PURVIS,KC",,,"REBOUND OFF by PURVIS,KC",2
12:56,"FOUL  by MIKAELIAN,TROY",,,,,,,"FOUL  by MIKAELIAN,TROY",2
12:56,,,,,"MISS FT by PURVIS,KC",,,"MISS FT by PURVIS,KC",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
12:56,,37,,60 (+23),"GOOD FT by PURVIS,KC",CENTRE-M 37-60 (+23),,"GOOD FT by PURVIS,KC",2
12:45,"MISS 3PTR by DANOWSKI,BRANDON",,,,,,,"MISS 3PTR by DANOWSKI,BRANDON",2
--,"REBOUND OFF by MIKAELIAN,TROY",,,,,,,"REBOUND OFF by MIKAELIAN,TROY",2
12:37,"TURNOVER  by DANOWSKI,BRANDON",,,,,,,"TURNOVER  by DANOWSKI,BRANDON",2
12:36,,,,,"STEAL  by WILSON,DREW",,,"STEAL  by WILSON,DREW",2
12:26,,37,,63 (+26),"GOOD 3PTR by RAKES,BAILEY",CENTRE-M 37-63 (+26),,"GOOD 3PTR by RAKES,BAILEY",2
--,,,,,"ASSIST  by AYERS,PERRY",,,"ASSIST  by AYERS,PERRY",2
11:58,"GOOD 3PTR by SENDELL,BRAD",40,,63 (+23),,LAWRENCE 40-63 (+23),,"GOOD 3PTR by SENDELL,BRAD",2
11:35,,,,,"MISS 3PTR by RAKES,BAILEY",,,"MISS 3PTR by RAKES,BAILEY",2
--,"REBOUND DEF by SENDELL,BRAD",,,,,,,"REBOUND DEF by SENDELL,BRAD",2
11:26,"MISS 3PTR by MIKAELIAN,TROY",,,,,,,"MISS 3PTR by MIKAELIAN,TROY",2
--,"REBOUND OFF by MIKAELIAN,TROY",,,,,,,"REBOUND OFF by MIKAELIAN,TROY",2
11:19,"GOOD LAYUP by MIKAELIAN,TROY(in the paint)",42,,63 (+21),,LAWRENCE 42-63 (+21),,"GOOD LAYUP by MIKAELIAN,TROY(in the paint)",2
11:18,"SUB IN by DEGUZMAN,JULIAN",,,,,,,"SUB IN by DEGUZMAN,JULIAN",2
11:18,"SUB IN by FISHER,QUINN",,,,,,,"SUB IN by FISHER,QUINN",2
11:18,"SUB OUT by DANOWSKI,BRANDON",,,,,,,"SUB OUT by DANOWSKI,BRANDON",2
11:18,"SUB OUT by MATERNA,MASON",,,,,,,"SUB OUT by MATERNA,MASON",2
11:18,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",2
11:18,,,,,"SUB IN by BAUGHMAN,CARTER",,,"SUB IN by BAUGHMAN,CARTER",2
11:18,,,,,"SUB OUT by WILSON,DREW",,,"SUB OUT by WILSON,DREW",2
11:18,,,,,"SUB OUT by SMITH,RJ",,,"SUB OUT by SMITH,RJ",2
11:04,,,,,"MISS 3PTR by AYERS,PERRY",,,"MISS 3PTR by AYERS,PERRY",2
--,,,,,"REBOUND OFF by BATES,JACOB",,,"REBOUND OFF by BATES,JACOB",2
10:45,,,,,"TURNOVER  by PURVIS,KC",,,"TURNOVER  by PURVIS,KC",2
10:43,"STEAL  by MIKAELIAN,TROY",,,,,,,"STEAL  by MIKAELIAN,TROY",2
10:36,"MISS LAYUP by MIKAELIAN,TROY",,,,,,,"MISS LAYUP by MIKAELIAN,TROY",2
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",2
10:08,,,,,"MISS 3PTR by RAKES,BAILEY",,,"MISS 3PTR by RAKES,BAILEY",2
--,"REBOUND DEF by DEGUZMAN,JULIAN",,,,,,,"REBOUND DEF by DEGUZMAN,JULIAN",2
09:53,,,,,"FOUL  by BAUGHMAN,CARTER",,,"FOUL  by BAUGHMAN,CARTER",2
09:53,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
09:53,"GOOD FT by SENDELL,BRAD",43,,63 (+20),,LAWRENCE 43-63 (+20),,"GOOD FT by SENDELL,BRAD",2
09:53,"GOOD FT by SENDELL,BRAD",44,,63 (+19),,LAWRENCE 44-63 (+19),,"GOOD FT by SENDELL,BRAD",2
09:53,"SUB IN by MATERNA,MASON",,,,,,,"SUB IN by MATERNA,MASON",2
09:53,"SUB OUT by SCHLINDWEIN,SAWYER",,,,,,,"SUB OUT by SCHLINDWEIN,SAWYER",2
09:53,,,,,"SUB IN by WALKER,ART",,,"SUB IN by WALKER,ART",2
09:53,,,,,"SUB OUT by PURVIS,KC",,,"SUB OUT by PURVIS,KC",2
09:37,,,,,"MISS 3PTR by BAUGHMAN,CARTER",,,"MISS 3PTR by BAUGHMAN,CARTER",2
--,,,,,"REBOUND OFF by AYERS,PERRY",,,"REBOUND OFF by AYERS,PERRY",2
09:32,,44,,65 (+21),"GOOD LAYUP by BATES,JACOB(in the paint)",CENTRE-M 44-65 (+21),,"GOOD LAYUP by BATES,JACOB(in the paint)",2
--,,,,,"ASSIST  by AYERS,PERRY",,,"ASSIST  by AYERS,PERRY",2
09:09,"MISS 3PTR by DEGUZMAN,JULIAN",,,,,,,"MISS 3PTR by DEGUZMAN,JULIAN",2
--,"REBOUND OFF by MIKAELIAN,TROY",,,,,,,"REBOUND OFF by MIKAELIAN,TROY",2
09:04,"GOOD 3PTR by SENDELL,BRAD",47,,65 (+18),,LAWRENCE 47-65 (+18),,"GOOD 3PTR by SENDELL,BRAD",2
--,"ASSIST  by MIKAELIAN,TROY",,,,,,,"ASSIST  by MIKAELIAN,TROY",2
08:46,,47,,67 (+20),"GOOD LAYUP by BATES,JACOB(in the paint)",CENTRE-M 47-67 (+20),,"GOOD LAYUP by BATES,JACOB(in the paint)",2
--,,,,,"ASSIST  by AYERS,PERRY",,,"ASSIST  by AYERS,PERRY",2
08:33,"MISS 3PTR by SENDELL,BRAD",,,,,,,"MISS 3PTR by SENDELL,BRAD",2
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",2
08:18,,,,,"MISS 3PTR by WALKER,ART",,,"MISS 3PTR by WALKER,ART",2
--,,,,,"REBOUND OFF by WALKER,ART",,,"REBOUND OFF by WALKER,ART",2
07:58,,47,,69 (+22),"GOOD LAYUP by RAKES,BAILEY(in the paint)",CENTRE-M 47-69 (+22),,"GOOD LAYUP by RAKES,BAILEY(in the paint)",2
--,,,,,"ASSIST  by AYERS,PERRY",,,"ASSIST  by AYERS,PERRY",2
07:44,"GOOD LAYUP by DEGUZMAN,JULIAN(in the paint)",49,,69 (+20),,LAWRENCE 49-69 (+20),,"GOOD LAYUP by DEGUZMAN,JULIAN(in the paint)",2
07:37,,,,,"TURNOVER  by WALKER,ART",,,"TURNOVER  by WALKER,ART",2
07:35,"STEAL  by SENDELL,BRAD",,,,,,,"STEAL  by SENDELL,BRAD",2
07:19,"SUB IN by DENHAM,BRYCE",,,,,,,"SUB IN by DENHAM,BRYCE",2
07:19,"SUB IN by SCHLINDWEIN,SAWYER",,,,,,,"SUB IN by SCHLINDWEIN,SAWYER",2
07:19,"SUB OUT by MATERNA,MASON",,,,,,,"SUB OUT by MATERNA,MASON",2
07:19,"SUB OUT by DEGUZMAN,JULIAN",,,,,,,"SUB OUT by DEGUZMAN,JULIAN",2
07:19,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",2
07:19,,,,,"SUB IN by CRUMP,DAWSON",,,"SUB IN by CRUMP,DAWSON",2
07:19,,,,,"SUB OUT by AYERS,PERRY",,,"SUB OUT by AYERS,PERRY",2
07:19,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",2
07:13,"MISS JUMPER by SENDELL,BRAD",,,,,,,"MISS JUMPER by SENDELL,BRAD",2
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",2
06:45,,49,,72 (+23),"GOOD 3PTR by RAKES,BAILEY",CENTRE-M 49-72 (+23),,"GOOD 3PTR by RAKES,BAILEY",2
--,,,,,"ASSIST  by WALKER,ART",,,"ASSIST  by WALKER,ART",2
06:24,"MISS 3PTR by FISHER,QUINN",,,,,,,"MISS 3PTR by FISHER,QUINN",2
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",2
06:04,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
06:04,"SUB IN by DANOWSKI,BRANDON",,,,,,,"SUB IN by DANOWSKI,BRANDON",2
06:04,"SUB IN by BREND,MATTHEW",,,,,,,"SUB IN by BREND,MATTHEW",2
06:04,"SUB OUT by SENDELL,BRAD",,,,,,,"SUB OUT by SENDELL,BRAD",2
06:04,"SUB OUT by FISHER,QUINN",,,,,,,"SUB OUT by FISHER,QUINN",2
06:04,,,,,"SUB IN by AYERS,PERRY",,,"SUB IN by AYERS,PERRY",2
06:04,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",2
05:56,,,,,"MISS LAYUP by WALKER,ART",,,"MISS LAYUP by WALKER,ART",2
--,"REBOUND DEF by SCHLINDWEIN,SAWYER",,,,,,,"REBOUND DEF by SCHLINDWEIN,SAWYER",2
05:35,"GOOD LAYUP by SCHLINDWEIN,SAWYER(in the paint)",51,,72 (+21),,LAWRENCE 51-72 (+21),,"GOOD LAYUP by SCHLINDWEIN,SAWYER(in the paint)",2
--,"ASSIST  by MIKAELIAN,TROY",,,,,,,"ASSIST  by MIKAELIAN,TROY",2
05:14,,51,,75 (+24),"GOOD 3PTR by CRUMP,DAWSON",CENTRE-M 51-75 (+24),,"GOOD 3PTR by CRUMP,DAWSON",2
--,,,,,"ASSIST  by AYERS,PERRY",,,"ASSIST  by AYERS,PERRY",2
04:53,"MISS LAYUP by DENHAM,BRYCE",,,,,,,"MISS LAYUP by DENHAM,BRYCE",2
04:53,,,,,"BLOCK  by BATES,JACOB",,,"BLOCK  by BATES,JACOB",2
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",2
04:36,,,,,"MISS 3PTR by BATES,JACOB",,,"MISS 3PTR by BATES,JACOB",2
--,,,,,"REBOUND OFF by WALKER,ART",,,"REBOUND OFF by WALKER,ART",2
04:33,,51,,77 (+26),"GOOD LAYUP by WALKER,ART(in the paint)",CENTRE-M 51-77 (+26),,"GOOD LAYUP by WALKER,ART(in the paint)",2
04:20,"MISS 3PTR by DENHAM,BRYCE",,,,,,,"MISS 3PTR by DENHAM,BRYCE",2
--,,,,,"REBOUND DEF by WALKER,ART",,,"REBOUND DEF by WALKER,ART",2
03:55,,,,,"MISS 3PTR by WALKER,ART",,,"MISS 3PTR by WALKER,ART",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
03:52,"SUB IN by CURRIE,ZACH",,,,,,,"SUB IN by CURRIE,ZACH",2
03:52,"SUB OUT by DENHAM,BRYCE",,,,,,,"SUB OUT by DENHAM,BRYCE",2
03:52,,,,,"SUB IN by PURVIS,KC",,,"SUB IN by PURVIS,KC",2
03:52,,,,,"SUB IN by SPITZER,JAKOB",,,"SUB IN by SPITZER,JAKOB",2
03:52,,,,,"SUB IN by WILLIAMS,JALEN",,,"SUB IN by WILLIAMS,JALEN",2
03:52,,,,,"SUB IN by RAKES,BAILEY",,,"SUB IN by RAKES,BAILEY",2
03:52,,,,,"SUB OUT by AYERS,PERRY",,,"SUB OUT by AYERS,PERRY",2
03:52,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",2
03:52,,,,,"SUB OUT by WILSON,DREW",,,"SUB OUT by WILSON,DREW",2
03:52,,,,,"SUB OUT by WALKER,ART",,,"SUB OUT by WALKER,ART",2
03:34,"MISS 3PTR by MIKAELIAN,TROY",,,,,,,"MISS 3PTR by MIKAELIAN,TROY",2
--,"REBOUND OFF by CURRIE,ZACH",,,,,,,"REBOUND OFF by CURRIE,ZACH",2
03:32,,,,,"FOUL  by WILLIAMS,JALEN",,,"FOUL  by WILLIAMS,JALEN",2
03:19,"GOOD 3PTR by SCHLINDWEIN,SAWYER",54,,77 (+23),,LAWRENCE 54-77 (+23),,"GOOD 3PTR by SCHLINDWEIN,SAWYER",2
--,"ASSIST  by MIKAELIAN,TROY",,,,,,,"ASSIST  by MIKAELIAN,TROY",2
02:55,,,,,"MISS 3PTR by RAKES,BAILEY",,,"MISS 3PTR by RAKES,BAILEY",2
--,,,,,"REBOUND OFF by PURVIS,KC",,,"REBOUND OFF by PURVIS,KC",2
02:52,"FOUL  by CURRIE,ZACH",,,,,,,"FOUL  by CURRIE,ZACH",2
02:52,,54,,78 (+24),"GOOD FT by PURVIS,KC",CENTRE-M 54-78 (+24),,"GOOD FT by PURVIS,KC",2
02:52,,54,,79 (+25),"GOOD FT by PURVIS,KC",CENTRE-M 54-79 (+25),,"GOOD FT by PURVIS,KC",2
02:52,,,,,"SUB IN by SMITH,RJ",,,"SUB IN by SMITH,RJ",2
02:52,,,,,"SUB IN by BREWER,KEEGAN",,,"SUB IN by BREWER,KEEGAN",2
02:52,,,,,"SUB OUT by PURVIS,KC",,,"SUB OUT by PURVIS,KC",2
02:52,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",2
02:36,"TURNOVER  by CURRIE,ZACH",,,,,,,"TURNOVER  by CURRIE,ZACH",2
02:35,,,,,"STEAL  by BREWER,KEEGAN",,,"STEAL  by BREWER,KEEGAN",2
02:33,,,,,"SUB IN by BRITT,WILL",,,"SUB IN by BRITT,WILL",2
02:33,,,,,"SUB OUT by CRUMP,DAWSON",,,"SUB OUT by CRUMP,DAWSON",2
02:19,,54,,81 (+27),"GOOD JUMPER by SPITZER,JAKOB(in the paint)",CENTRE-M 54-81 (+27),,"GOOD JUMPER by SPITZER,JAKOB(in the paint)",2
02:02,"MISS JUMPER by VENKATESH,ABHISHEK",,,,,,,"MISS JUMPER by VENKATESH,ABHISHEK",2
--,"REBOUND OFF by BREND,MATTHEW",,,,,,,"REBOUND OFF by BREND,MATTHEW",2
01:58,"GOOD JUMPER by BREND,MATTHEW(in the paint)",56,,81 (+25),,LAWRENCE 56-81 (+25),,"GOOD JUMPER by BREND,MATTHEW(in the paint)",2
01:41,,,,,"MISS 3PTR by BREWER,KEEGAN",,,"MISS 3PTR by BREWER,KEEGAN",2
--,"REBOUND DEF by MIKAELIAN,TROY",,,,,,,"REBOUND DEF by MIKAELIAN,TROY",2
01:34,"GOOD LAYUP by SCHLINDWEIN,SAWYER(fastbreak)(in the paint)",58,,81 (+23),,LAWRENCE 58-81 (+23),,"GOOD LAYUP by SCHLINDWEIN,SAWYER(fastbreak)(in the paint)",2
--,"ASSIST  by MIKAELIAN,TROY",,,,,,,"ASSIST  by MIKAELIAN,TROY",2
01:19,,58,,83 (+25),"GOOD LAYUP by BREWER,KEEGAN(in the paint)",CENTRE-M 58-83 (+25),,"GOOD LAYUP by BREWER,KEEGAN(in the paint)",2
01:08,"SUB IN by HEYER,CHARLIE",,,,,,,"SUB IN by HEYER,CHARLIE",2
01:08,"SUB IN by BRUTON,JEREMY",,,,,,,"SUB IN by BRUTON,JEREMY",2
01:08,"SUB IN by VENKATESH,ABHISHEK",,,,,,,"SUB IN by VENKATESH,ABHISHEK",2
01:08,"SUB IN by BULLER,WYATT",,,,,,,"SUB IN by BULLER,WYATT",2
01:08,"SUB OUT by MIKAELIAN,TROY",,,,,,,"SUB OUT by MIKAELIAN,TROY",2
01:08,"SUB OUT by DANOWSKI,BRANDON",,,,,,,"SUB OUT by DANOWSKI,BRANDON",2
01:08,"SUB OUT by SCHLINDWEIN,SAWYER",,,,,,,"SUB OUT by SCHLINDWEIN,SAWYER",2
01:08,"SUB OUT by BREND,MATTHEW",,,,,,,"SUB OUT by BREND,MATTHEW",2
01:01,"TURNOVER  by CURRIE,ZACH",,,,,,,"TURNOVER  by CURRIE,ZACH",2
01:00,,,,,"STEAL  by WILLIAMS,JALEN",,,"STEAL  by WILLIAMS,JALEN",2
00:58,,,,,"MISS DUNK by WILLIAMS,JALEN",,,"MISS DUNK by WILLIAMS,JALEN",2
--,,,,,"REBOUND OFF by BRITT,WILL",,,"REBOUND OFF by BRITT,WILL",2
00:55,,58,,85 (+27),"GOOD LAYUP by WILLIAMS,JALEN(in the paint)",CENTRE-M 58-85 (+27),,"GOOD LAYUP by WILLIAMS,JALEN(in the paint)",2
--,,,,,"ASSIST  by BRITT,WILL",,,"ASSIST  by BRITT,WILL",2
00:41,"GOOD LAYUP by VENKATESH,ABHISHEK(in the paint)",60,,85 (+25),,LAWRENCE 60-85 (+25),,"GOOD LAYUP by VENKATESH,ABHISHEK(in the paint)",2
00:25,,,,,"MISS 3PTR by BREWER,KEEGAN",,,"MISS 3PTR by BREWER,KEEGAN",2
--,"REBOUND DEF by HEYER,CHARLIE",,,,,,,"REBOUND DEF by HEYER,CHARLIE",2
00:17,,,,,"FOUL  by BRITT,WILL",,,"FOUL  by BRITT,WILL",2
00:07,"MISS 3PTR by HEYER,CHARLIE",,,,,,,"MISS 3PTR by HEYER,CHARLIE",2
--,,,,,"REBOUND DEF by BREWER,KEEGAN",,,"REBOUND DEF by BREWER,KEEGAN",2
