Time Remaining,CENTRE-M,Away Team Score,Play Team Indicator,Home Team Score,MARYMO~1,Game Score,Team Indicator,Play,Period
12:57,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",1
12:42,,,,,"MISS 3PTR by WALKER,TAIGA",,,"MISS 3PTR by WALKER,TAIGA",1
--,,,,,"REBOUND OFF by CLIFTON,ZAMIR",,,"REBOUND OFF by CLIFTON,ZAMIR",1
12:36,,,,,"MISS LAYUP by CLIFTON,ZAMIR",,,"MISS LAYUP by CLIFTON,ZAMIR",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
12:16,"GOOD LAYUP by CRUMP,DAWSON(in the paint)",16 (+13),,3,,CENTRE-M 16-3 (+13),,"GOOD LAYUP by CRUMP,DAWSON(in the paint)",1
--,"ASSIST  by PURVIS,KC",,,,,,,"ASSIST  by PURVIS,KC",1
11:51,,16 (+11),,5,"GOOD LAYUP by GIARDINA,JOSH(in the paint)",MARYMO~1 16-5 (+11),,"GOOD LAYUP by GIARDINA,JOSH(in the paint)",1
11:51,"FOUL  by CRUMP,DAWSON",,,,,,,"FOUL  by CRUMP,DAWSON",1
11:51,,16 (+10),,6,"GOOD FT by GIARDINA,JOSH",MARYMO~1 16-6 (+10),,"GOOD FT by GIARDINA,JOSH",1
11:51,"SUB IN by BAUGHMAN,CARTER",,,,,,,"SUB IN by BAUGHMAN,CARTER",1
11:51,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
11:51,"SUB OUT by PURVIS,KC",,,,,,,"SUB OUT by PURVIS,KC",1
11:51,"SUB OUT by WILSON,DREW",,,,,,,"SUB OUT by WILSON,DREW",1
11:51,,,,,"SUB IN by ALBERT,RYAN",,,"SUB IN by ALBERT,RYAN",1
11:51,,,,,"SUB OUT by REAVES,XAVIER",,,"SUB OUT by REAVES,XAVIER",1
11:27,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",1
--,,,,,"REBOUND DEF by ALBERT,RYAN",,,"REBOUND DEF by ALBERT,RYAN",1
11:15,,,,,"MISS 3PTR by WALKER,TAIGA",,,"MISS 3PTR by WALKER,TAIGA",1
--,"REBOUND DEF by SPITZER,JAKOB",,,,,,,"REBOUND DEF by SPITZER,JAKOB",1
11:05,"GOOD LAYUP by WALKER,ART(in the paint)",18 (+12),,6,,CENTRE-M 18-6 (+12),,"GOOD LAYUP by WALKER,ART(in the paint)",1
10:58,"FOUL  by SPITZER,JAKOB",,,,,,,"FOUL  by SPITZER,JAKOB",1
10:58,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
10:58,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",1
10:58,,,,,"SUB IN by KAMARA,IBRAHIM",,,"SUB IN by KAMARA,IBRAHIM",1
10:58,,,,,"SUB OUT by CLIFTON,ZAMIR",,,"SUB OUT by CLIFTON,ZAMIR",1
10:37,,18 (+10),,8,"GOOD JUMPER by KAMARA,IBRAHIM",MARYMO~1 18-8 (+10),,"GOOD JUMPER by KAMARA,IBRAHIM",1
--,,,,,"ASSIST  by WALKER,TAIGA",,,"ASSIST  by WALKER,TAIGA",1
10:18,"TURNOVER  by WILLIAMS,JALEN",,,,,,,"TURNOVER  by WILLIAMS,JALEN",1
10:16,,,,,"STEAL  by MCCORD,LADARIUS",,,"STEAL  by MCCORD,LADARIUS",1
10:13,"FOUL  by WILLIAMS,JALEN",,,,,,,"FOUL  by WILLIAMS,JALEN",1
10:13,,18 (+9),,9,"GOOD FT by MCCORD,LADARIUS",MARYMO~1 18-9 (+9),,"GOOD FT by MCCORD,LADARIUS",1
10:13,,18 (+8),,10,"GOOD FT by MCCORD,LADARIUS",MARYMO~1 18-10 (+8),,"GOOD FT by MCCORD,LADARIUS",1
10:13,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",1
10:13,"SUB OUT by WILLIAMS,JALEN",,,,,,,"SUB OUT by WILLIAMS,JALEN",1
10:13,,,,,"SUB IN by ETIENNE,STEVE",,,"SUB IN by ETIENNE,STEVE",1
10:13,,,,,"SUB OUT by MCCORD,LADARIUS",,,"SUB OUT by MCCORD,LADARIUS",1
09:55,"GOOD JUMPER by BATES,JACOB(in the paint)",20 (+10),,10,,CENTRE-M 20-10 (+10),,"GOOD JUMPER by BATES,JACOB(in the paint)",1
09:31,,,,,"MISS 3PTR by GIARDINA,JOSH",,,"MISS 3PTR by GIARDINA,JOSH",1
--,,,,,"REBOUND OFF by ALBERT,RYAN",,,"REBOUND OFF by ALBERT,RYAN",1
09:25,,,,,"MISS LAYUP by ALBERT,RYAN",,,"MISS LAYUP by ALBERT,RYAN",1
--,,,,,"REBOUND OFF by ETIENNE,STEVE",,,"REBOUND OFF by ETIENNE,STEVE",1
09:20,,20 (+8),,12,"GOOD LAYUP by ETIENNE,STEVE(in the paint)",MARYMO~1 20-12 (+8),,"GOOD LAYUP by ETIENNE,STEVE(in the paint)",1
09:02,"GOOD LAYUP by WALKER,ART(in the paint)",22 (+10),,12,,CENTRE-M 22-12 (+10),,"GOOD LAYUP by WALKER,ART(in the paint)",1
--,"ASSIST  by CRUMP,DAWSON",,,,,,,"ASSIST  by CRUMP,DAWSON",1
08:48,,,,,"MISS JUMPER by ALBERT,RYAN",,,"MISS JUMPER by ALBERT,RYAN",1
--,"REBOUND DEF by WALKER,ART",,,,,,,"REBOUND DEF by WALKER,ART",1
08:38,"MISS LAYUP by CRUMP,DAWSON",,,,,,,"MISS LAYUP by CRUMP,DAWSON",1
--,,,,,"REBOUND DEF by ALBERT,RYAN",,,"REBOUND DEF by ALBERT,RYAN",1
08:31,,,,,"MISS LAYUP by WALKER,TAIGA",,,"MISS LAYUP by WALKER,TAIGA",1
08:31,"BLOCK  by WALKER,ART",,,,,,,"BLOCK  by WALKER,ART",1
--,,,,,"REBOUND OFF by ETIENNE,STEVE",,,"REBOUND OFF by ETIENNE,STEVE",1
08:26,,22 (+8),,14,"GOOD LAYUP by ETIENNE,STEVE(in the paint)",MARYMO~1 22-14 (+8),,"GOOD LAYUP by ETIENNE,STEVE(in the paint)",1
08:03,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",1
08:03,"SUB OUT by CRUMP,DAWSON",,,,,,,"SUB OUT by CRUMP,DAWSON",1
08:03,,,,,"SUB IN by MCCORD,LADARIUS",,,"SUB IN by MCCORD,LADARIUS",1
08:03,,,,,"SUB IN by REAVES,XAVIER",,,"SUB IN by REAVES,XAVIER",1
08:03,,,,,"SUB IN by WALKER,TAIGA",,,"SUB IN by WALKER,TAIGA",1
08:03,,,,,"SUB OUT by ALBERT,RYAN",,,"SUB OUT by ALBERT,RYAN",1
08:03,,,,,"SUB OUT by GIARDINA,JOSH",,,"SUB OUT by GIARDINA,JOSH",1
08:03,,,,,"SUB OUT by STERN,ROEY",,,"SUB OUT by STERN,ROEY",1
07:56,"MISS 3PTR by AYERS,PERRY",,,,,,,"MISS 3PTR by AYERS,PERRY",1
--,,,,,"REBOUND DEF by KAMARA,IBRAHIM",,,"REBOUND DEF by KAMARA,IBRAHIM",1
07:46,,,,,"MISS LAYUP by WALKER,TAIGA",,,"MISS LAYUP by WALKER,TAIGA",1
07:46,"BLOCK  by BATES,JACOB",,,,,,,"BLOCK  by BATES,JACOB",1
--,,,,,"REBOUND OFF by ETIENNE,STEVE",,,"REBOUND OFF by ETIENNE,STEVE",1
07:33,"FOUL  by AYERS,PERRY",,,,,,,"FOUL  by AYERS,PERRY",1
07:33,"SUB IN by WILSON,DREW",,,,,,,"SUB IN by WILSON,DREW",1
07:33,"SUB IN by WILLIAMS,JALEN",,,,,,,"SUB IN by WILLIAMS,JALEN",1
07:33,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",1
07:33,"SUB OUT by BAUGHMAN,CARTER",,,,,,,"SUB OUT by BAUGHMAN,CARTER",1
07:24,,,,,"TURNOVER  by ETIENNE,STEVE",,,"TURNOVER  by ETIENNE,STEVE",1
07:22,"STEAL  by WILSON,DREW",,,,,,,"STEAL  by WILSON,DREW",1
07:19,"MISS LAYUP by BATES,JACOB",,,,,,,"MISS LAYUP by BATES,JACOB",1
--,,,,,"REBOUND DEF by ETIENNE,STEVE",,,"REBOUND DEF by ETIENNE,STEVE",1
07:11,,22 (+6),,16,"GOOD LAYUP by REAVES,XAVIER(in the paint)",MARYMO~1 22-16 (+6),,"GOOD LAYUP by REAVES,XAVIER(in the paint)",1
--,,,,,"ASSIST  by MCCORD,LADARIUS",,,"ASSIST  by MCCORD,LADARIUS",1
07:11,"FOUL  by RAKES,BAILEY",,,,,,,"FOUL  by RAKES,BAILEY",1
07:11,,22 (+5),,17,"GOOD FT by REAVES,XAVIER",MARYMO~1 22-17 (+5),,"GOOD FT by REAVES,XAVIER",1
06:47,"MISS LAYUP by WILLIAMS,JALEN",,,,,,,"MISS LAYUP by WILLIAMS,JALEN",1
--,,,,,"REBOUND DEF by MCCORD,LADARIUS",,,"REBOUND DEF by MCCORD,LADARIUS",1
06:39,"FOUL  by WILLIAMS,JALEN",,,,,,,"FOUL  by WILLIAMS,JALEN",1
06:39,,,,,"MISS FT by MCCORD,LADARIUS",,,"MISS FT by MCCORD,LADARIUS",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
06:39,,22 (+4),,18,"GOOD FT by MCCORD,LADARIUS",MARYMO~1 22-18 (+4),,"GOOD FT by MCCORD,LADARIUS",1
06:39,"SUB IN by SMITH,RJ",,,,,,,"SUB IN by SMITH,RJ",1
06:39,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
06:34,"TURNOVER  by WILSON,DREW",,,,,,,"TURNOVER  by WILSON,DREW",1
06:33,,,,,"STEAL  by REAVES,XAVIER",,,"STEAL  by REAVES,XAVIER",1
06:29,,22 (+2),,20,"GOOD LAYUP by ETIENNE,STEVE(fastbreak)(in the paint)",MARYMO~1 22-20 (+2),,"GOOD LAYUP by ETIENNE,STEVE(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by REAVES,XAVIER",,,"ASSIST  by REAVES,XAVIER",1
06:29,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
06:16,"GOOD LAYUP by BATES,JACOB(in the paint)",24 (+4),,20,,CENTRE-M 24-20 (+4),,"GOOD LAYUP by BATES,JACOB(in the paint)",1
--,"ASSIST  by WILSON,DREW",,,,,,,"ASSIST  by WILSON,DREW",1
06:08,,24 (+1),,23,"GOOD 3PTR by ETIENNE,STEVE",MARYMO~1 24-23 (+1),,"GOOD 3PTR by ETIENNE,STEVE",1
--,,,,,"ASSIST  by WALKER,TAIGA",,,"ASSIST  by WALKER,TAIGA",1
05:41,"TURNOVER  by RAKES,BAILEY",,,,,,,"TURNOVER  by RAKES,BAILEY",1
05:38,,,,,"STEAL  by WALKER,TAIGA",,,"STEAL  by WALKER,TAIGA",1
05:37,,24,,25 (+1),"GOOD LAYUP by ETIENNE,STEVE(fastbreak)(in the paint)",MARYMO~1 24-25 (-1),,"GOOD LAYUP by ETIENNE,STEVE(fastbreak)(in the paint)",1
05:20,"MISS LAYUP by WILSON,DREW",,,,,,,"MISS LAYUP by WILSON,DREW",1
--,,,,,"REBOUND DEF by MCCORD,LADARIUS",,,"REBOUND DEF by MCCORD,LADARIUS",1
05:14,,24,,27 (+3),"GOOD JUMPER by KAMARA,IBRAHIM(fastbreak)",MARYMO~1 24-27 (-3),,"GOOD JUMPER by KAMARA,IBRAHIM(fastbreak)",1
--,,,,,"ASSIST  by WALKER,TAIGA",,,"ASSIST  by WALKER,TAIGA",1
05:12,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
05:12,"SUB IN by BAUGHMAN,CARTER",,,,,,,"SUB IN by BAUGHMAN,CARTER",1
05:12,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",1
05:12,"SUB OUT by WILSON,DREW",,,,,,,"SUB OUT by WILSON,DREW",1
05:12,"SUB OUT by WILLIAMS,JALEN",,,,,,,"SUB OUT by WILLIAMS,JALEN",1
05:12,,,,,"SUB IN by CLIFTON,ZAMIR",,,"SUB IN by CLIFTON,ZAMIR",1
05:12,,,,,"SUB OUT by KAMARA,IBRAHIM",,,"SUB OUT by KAMARA,IBRAHIM",1
05:05,"GOOD LAYUP by SMITH,RJ(in the paint)",26,,27 (+1),,CENTRE-M 26-27 (-1),,"GOOD LAYUP by SMITH,RJ(in the paint)",1
--,"ASSIST  by BATES,JACOB",,,,,,,"ASSIST  by BATES,JACOB",1
04:50,,,,,"TURNOVER  by CLIFTON,ZAMIR",,,"TURNOVER  by CLIFTON,ZAMIR",1
04:28,"GOOD 3PTR by BAUGHMAN,CARTER",29 (+2),,27,,CENTRE-M 29-27 (+2),,"GOOD 3PTR by BAUGHMAN,CARTER",1
--,"ASSIST  by CRUMP,DAWSON",,,,,,,"ASSIST  by CRUMP,DAWSON",1
04:06,,,,,"SUB IN by ALBERT,RYAN",,,"SUB IN by ALBERT,RYAN",1
04:06,,,,,"SUB OUT by CLIFTON,ZAMIR",,,"SUB OUT by CLIFTON,ZAMIR",1
03:58,,,,,"MISS 3PTR by MCCORD,LADARIUS",,,"MISS 3PTR by MCCORD,LADARIUS",1
--,"REBOUND DEF by CRUMP,DAWSON",,,,,,,"REBOUND DEF by CRUMP,DAWSON",1
03:39,"MISS 3PTR by SPITZER,JAKOB",,,,,,,"MISS 3PTR by SPITZER,JAKOB",1
--,,,,,"REBOUND DEF by ETIENNE,STEVE",,,"REBOUND DEF by ETIENNE,STEVE",1
03:24,,,,,"MISS JUMPER by ALBERT,RYAN",,,"MISS JUMPER by ALBERT,RYAN",1
--,"REBOUND DEF by BAUGHMAN,CARTER",,,,,,,"REBOUND DEF by BAUGHMAN,CARTER",1
03:00,"GOOD JUMPER by BATES,JACOB",31 (+4),,27,,CENTRE-M 31-27 (+4),,"GOOD JUMPER by BATES,JACOB",1
02:42,,,,,"MISS 3PTR by REAVES,XAVIER",,,"MISS 3PTR by REAVES,XAVIER",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
02:41,,,,,"FOUL  by ALBERT,RYAN",,,"FOUL  by ALBERT,RYAN",1
02:41,"SUB IN by PURVIS,KC",,,,,,,"SUB IN by PURVIS,KC",1
02:41,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
02:41,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
02:41,"SUB OUT by SMITH,RJ",,,,,,,"SUB OUT by SMITH,RJ",1
02:20,"GOOD 3PTR by WALKER,ART",34 (+7),,27,,CENTRE-M 34-27 (+7),,"GOOD 3PTR by WALKER,ART",1
--,"ASSIST  by RAKES,BAILEY",,,,,,,"ASSIST  by RAKES,BAILEY",1
02:10,"FOUL  by RAKES,BAILEY",,,,,,,"FOUL  by RAKES,BAILEY",1
02:10,,,,,"MISS FT by ETIENNE,STEVE",,,"MISS FT by ETIENNE,STEVE",1
--,"REBOUND DEF by CRUMP,DAWSON",,,,,,,"REBOUND DEF by CRUMP,DAWSON",1
02:10,,,,,"SUB IN by KAMARA,IBRAHIM",,,"SUB IN by KAMARA,IBRAHIM",1
02:10,,,,,"SUB OUT by ALBERT,RYAN",,,"SUB OUT by ALBERT,RYAN",1
01:49,"TURNOVER  by WALKER,ART",,,,,,,"TURNOVER  by WALKER,ART",1
01:45,"SUB IN by WILSON,DREW",,,,,,,"SUB IN by WILSON,DREW",1
01:45,"SUB IN by WILLIAMS,JALEN",,,,,,,"SUB IN by WILLIAMS,JALEN",1
01:45,"SUB OUT by BAUGHMAN,CARTER",,,,,,,"SUB OUT by BAUGHMAN,CARTER",1
01:45,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",1
01:36,,,,,"TURNOVER  by KAMARA,IBRAHIM",,,"TURNOVER  by KAMARA,IBRAHIM",1
01:36,,,,,"FOUL  by KAMARA,IBRAHIM",,,"FOUL  by KAMARA,IBRAHIM",1
01:36,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
01:36,"SUB OUT by PURVIS,KC",,,,,,,"SUB OUT by PURVIS,KC",1
01:36,,,,,"SUB IN by GIARDINA,JOSH",,,"SUB IN by GIARDINA,JOSH",1
01:36,,,,,"SUB OUT by KAMARA,IBRAHIM",,,"SUB OUT by KAMARA,IBRAHIM",1
01:21,"GOOD LAYUP by BATES,JACOB(in the paint)",36 (+9),,27,,CENTRE-M 36-27 (+9),,"GOOD LAYUP by BATES,JACOB(in the paint)",1
01:11,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
01:11,"SUB IN by PURVIS,KC",,,,,,,"SUB IN by PURVIS,KC",1
01:11,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
00:55,,,,,"MISS LAYUP by GIARDINA,JOSH",,,"MISS LAYUP by GIARDINA,JOSH",1
--,"REBOUND DEF by PURVIS,KC",,,,,,,"REBOUND DEF by PURVIS,KC",1
00:26,"FOUL  by PURVIS,KC",,,,,,,"FOUL  by PURVIS,KC",1
00:26,"TURNOVER  by PURVIS,KC",,,,,,,"TURNOVER  by PURVIS,KC",1
00:02,,,,,"TURNOVER  by WALKER,TAIGA",,,"TURNOVER  by WALKER,TAIGA",1
00:01,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
00:01,"SUB OUT by PURVIS,KC",,,,,,,"SUB OUT by PURVIS,KC",1
19:47,,36 (+6),,30,"GOOD 3PTR by WALKER,TAIGA",MARYMO~1 36-30 (+6),,"GOOD 3PTR by WALKER,TAIGA",2
--,,,,,"ASSIST  by GIARDINA,JOSH",,,"ASSIST  by GIARDINA,JOSH",2
19:25,"GOOD LAYUP by WALKER,ART(in the paint)",38 (+8),,30,,CENTRE-M 38-30 (+8),,"GOOD LAYUP by WALKER,ART(in the paint)",2
18:54,,,,,"MISS LAYUP by WALKER,TAIGA",,,"MISS LAYUP by WALKER,TAIGA",2
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",2
18:45,"GOOD LAYUP by AYERS,PERRY(in the paint)",40 (+10),,30,,CENTRE-M 40-30 (+10),,"GOOD LAYUP by AYERS,PERRY(in the paint)",2
18:34,,,,,"MISS LAYUP by ALBERT,RYAN",,,"MISS LAYUP by ALBERT,RYAN",2
--,,,,,"REBOUND OFF by ALBERT,RYAN",,,"REBOUND OFF by ALBERT,RYAN",2
18:28,,,,,"TURNOVER  by ALBERT,RYAN",,,"TURNOVER  by ALBERT,RYAN",2
18:28,,,,,"FOUL  by ALBERT,RYAN",,,"FOUL  by ALBERT,RYAN",2
18:28,,,,,"SUB IN by REAVES,XAVIER",,,"SUB IN by REAVES,XAVIER",2
18:28,,,,,"SUB OUT by ALBERT,RYAN",,,"SUB OUT by ALBERT,RYAN",2
18:15,"MISS 3PTR by AYERS,PERRY",,,,,,,"MISS 3PTR by AYERS,PERRY",2
--,"REBOUND OFF by BATES,JACOB",,,,,,,"REBOUND OFF by BATES,JACOB",2
17:59,"MISS 3PTR by RAKES,BAILEY",,,,,,,"MISS 3PTR by RAKES,BAILEY",2
--,,,,,"REBOUND DEF by WALKER,TAIGA",,,"REBOUND DEF by WALKER,TAIGA",2
17:35,,40 (+7),,33,"GOOD 3PTR by REAVES,XAVIER",MARYMO~1 40-33 (+7),,"GOOD 3PTR by REAVES,XAVIER",2
--,,,,,"ASSIST  by ETIENNE,STEVE",,,"ASSIST  by ETIENNE,STEVE",2
17:15,"FOUL  by AYERS,PERRY",,,,,,,"FOUL  by AYERS,PERRY",2
