Time Remaining,CENTRE-M,Away Team Score,Play Team Indicator,Home Team Score,WABM,Game Score,Team Indicator,Play,Period
14:42,,,,,"SUB OUT by SCHREIBER,KELLEN",,,"SUB OUT by SCHREIBER,KELLEN",1
14:41,"GOOD FT by AYERS,PERRY",7 (+1),,6,,CENTRE-M 7-6 (+1),,"GOOD FT by AYERS,PERRY",1
14:38,,,,,"MISS JUMPER by JONES,AHMONI",,,"MISS JUMPER by JONES,AHMONI",1
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",1
14:37,"TURNOVER  by SMITH,RJ",,,,,,,"TURNOVER  by SMITH,RJ",1
14:34,,7,,9 (+2),"GOOD 3PTR by GARLAND,COLTEN",WABM 7-9 (-2),,"GOOD 3PTR by GARLAND,COLTEN",1
--,,,,,"ASSIST  by DAVIDSON,JACK",,,"ASSIST  by DAVIDSON,JACK",1
14:34,,,,,"FOUL  by WATSON,TYLER",,,"FOUL  by WATSON,TYLER",1
14:31,,,,,"MISS JUMPER by HALLSTROM,HARRISON",,,"MISS JUMPER by HALLSTROM,HARRISON",1
--,"REBOUND DEF by WILSON,DREW",,,,,,,"REBOUND DEF by WILSON,DREW",1
14:22,"MISS LAYUP by PURVIS,KC",,,,,,,"MISS LAYUP by PURVIS,KC",1
--,,,,,"REBOUND DEF by GARLAND,COLTEN",,,"REBOUND DEF by GARLAND,COLTEN",1
14:12,"GOOD FT by AYERS,PERRY(fastbreak)",8,,9 (+1),,CENTRE-M 8-9 (-1),,"GOOD FT by AYERS,PERRY(fastbreak)",1
14:12,"GOOD FT by AYERS,PERRY(fastbreak)",9,,9,,CENTRE-M 9-9 (0),,"GOOD FT by AYERS,PERRY(fastbreak)",1
14:06,,,,,"MISS 3PTR by GARLAND,COLTEN",,,"MISS 3PTR by GARLAND,COLTEN",1
14:05,"SUB IN by WILSON,DREW",,,,,,,"SUB IN by WILSON,DREW",1
14:05,"SUB OUT by BAUGHMAN,CARTER",,,,,,,"SUB OUT by BAUGHMAN,CARTER",1
14:05,,,,,"SUB IN by EBERHARD,ALEX",,,"SUB IN by EBERHARD,ALEX",1
14:05,,,,,"SUB OUT by WATSON,TYLER",,,"SUB OUT by WATSON,TYLER",1
--,"REBOUND DEF by SMITH,RJ",,,,,,,"REBOUND DEF by SMITH,RJ",1
13:56,"SUB IN by WILLIAMS,JALEN",,,,,,,"SUB IN by WILLIAMS,JALEN",1
13:56,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",1
13:56,,,,,"SUB IN by HEGWOOD,JACK",,,"SUB IN by HEGWOOD,JACK",1
13:56,,,,,"SUB IN by ROTTERMAN,CONNOR",,,"SUB IN by ROTTERMAN,CONNOR",1
13:56,,,,,"SUB OUT by DAVIDSON,JACK",,,"SUB OUT by DAVIDSON,JACK",1
13:56,,,,,"SUB OUT by HALLSTROM,HARRISON",,,"SUB OUT by HALLSTROM,HARRISON",1
13:44,,,,,"FOUL  by HEGWOOD,JACK",,,"FOUL  by HEGWOOD,JACK",1
13:43,"MISS FT by PURVIS,KC",,,,,,,"MISS FT by PURVIS,KC",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
13:43,"GOOD FT by PURVIS,KC",10 (+1),,9,,CENTRE-M 10-9 (+1),,"GOOD FT by PURVIS,KC",1
13:19,"FOUL  by PURVIS,KC",,,,,,,"FOUL  by PURVIS,KC",1
13:19,,10,,10,"GOOD FT by ROTTERMAN,CONNOR",WABM 10-10 (0),,"GOOD FT by ROTTERMAN,CONNOR",1
13:19,,,,,"MISS FT by ROTTERMAN,CONNOR",,,"MISS FT by ROTTERMAN,CONNOR",1
13:19,,,,,"SUB IN by DAVIDSON,JACK",,,"SUB IN by DAVIDSON,JACK",1
13:19,,,,,"SUB OUT by GARLAND,COLTEN",,,"SUB OUT by GARLAND,COLTEN",1
--,"REBOUND DEF by PURVIS,KC",,,,,,,"REBOUND DEF by PURVIS,KC",1
13:06,,,,,"FOUL  by ROTTERMAN,CONNOR",,,"FOUL  by ROTTERMAN,CONNOR",1
13:01,"GOOD FT by CRUMP,DAWSON",11 (+1),,10,,CENTRE-M 11-10 (+1),,"GOOD FT by CRUMP,DAWSON",1
13:01,"GOOD FT by CRUMP,DAWSON",12 (+2),,10,,CENTRE-M 12-10 (+2),,"GOOD FT by CRUMP,DAWSON",1
12:47,,12,,13 (+1),"GOOD 3PTR by ROTTERMAN,CONNOR",WABM 12-13 (-1),,"GOOD 3PTR by ROTTERMAN,CONNOR",1
--,,,,,"ASSIST  by HEGWOOD,JACK",,,"ASSIST  by HEGWOOD,JACK",1
12:22,,,,,"SUB IN by HALLSTROM,HARRISON",,,"SUB IN by HALLSTROM,HARRISON",1
12:22,,,,,"SUB IN by SCHREIBER,KELLEN",,,"SUB IN by SCHREIBER,KELLEN",1
12:22,,,,,"SUB OUT by HEGWOOD,JACK",,,"SUB OUT by HEGWOOD,JACK",1
12:22,,,,,"SUB OUT by JONES,AHMONI",,,"SUB OUT by JONES,AHMONI",1
12:02,"GOOD 3PTR by WILLIAMS,JALEN",15 (+2),,13,,CENTRE-M 15-13 (+2),,"GOOD 3PTR by WILLIAMS,JALEN",1
--,"ASSIST  by BAUGHMAN,CARTER",,,,,,,"ASSIST  by BAUGHMAN,CARTER",1
11:50,"FOUL  by WILLIAMS,JALEN",,,,,,,"FOUL  by WILLIAMS,JALEN",1
11:50,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",1
11:50,"SUB OUT by WILLIAMS,JALEN",,,,,,,"SUB OUT by WILLIAMS,JALEN",1
11:42,,,,,"MISS 3PTR by DAVIDSON,JACK",,,"MISS 3PTR by DAVIDSON,JACK",1
--,,,,,"REBOUND OFF by EBERHARD,ALEX",,,"REBOUND OFF by EBERHARD,ALEX",1
11:32,,15,,16 (+1),"GOOD 3PTR by DAVIDSON,JACK",WABM 15-16 (-1),,"GOOD 3PTR by DAVIDSON,JACK",1
--,,,,,"ASSIST  by HALLSTROM,HARRISON",,,"ASSIST  by HALLSTROM,HARRISON",1
11:05,"GOOD 3PTR by AYERS,PERRY",18 (+2),,16,,CENTRE-M 18-16 (+2),,"GOOD 3PTR by AYERS,PERRY",1
--,"ASSIST  by SMITH,RJ",,,,,,,"ASSIST  by SMITH,RJ",1
10:40,,18,,18,"GOOD LAYUP by SCHREIBER,KELLEN(in the paint)",WABM 18-18 (0),,"GOOD LAYUP by SCHREIBER,KELLEN(in the paint)",1
--,,,,,"ASSIST  by HALLSTROM,HARRISON",,,"ASSIST  by HALLSTROM,HARRISON",1
10:16,"GOOD LAYUP by BAUGHMAN,CARTER(in the paint)",20 (+2),,18,,CENTRE-M 20-18 (+2),,"GOOD LAYUP by BAUGHMAN,CARTER(in the paint)",1
09:57,,,,,"FOUL  by HALLSTROM,HARRISON",,,"FOUL  by HALLSTROM,HARRISON",1
09:57,,,,,"TURNOVER  by HALLSTROM,HARRISON",,,"TURNOVER  by HALLSTROM,HARRISON",1
09:57,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
09:57,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",1
09:57,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
09:57,"SUB IN by BAUGHMAN,CARTER",,,,,,,"SUB IN by BAUGHMAN,CARTER",1
09:57,"SUB OUT by CRUMP,DAWSON",,,,,,,"SUB OUT by CRUMP,DAWSON",1
09:57,"SUB OUT by SMITH,RJ",,,,,,,"SUB OUT by SMITH,RJ",1
09:57,"SUB OUT by WILSON,DREW",,,,,,,"SUB OUT by WILSON,DREW",1
09:57,"SUB OUT by PURVIS,KC",,,,,,,"SUB OUT by PURVIS,KC",1
09:57,,,,,"SUB IN by WATSON,TYLER",,,"SUB IN by WATSON,TYLER",1
09:57,,,,,"SUB IN by GARLAND,COLTEN",,,"SUB IN by GARLAND,COLTEN",1
09:57,,,,,"SUB IN by JONES,AHMONI",,,"SUB IN by JONES,AHMONI",1
09:57,,,,,"SUB OUT by HALLSTROM,HARRISON",,,"SUB OUT by HALLSTROM,HARRISON",1
09:57,,,,,"SUB OUT by EBERHARD,ALEX",,,"SUB OUT by EBERHARD,ALEX",1
09:57,,,,,"SUB OUT by ROTTERMAN,CONNOR",,,"SUB OUT by ROTTERMAN,CONNOR",1
09:49,"MISS 3PTR by BAUGHMAN,CARTER",,,,,,,"MISS 3PTR by BAUGHMAN,CARTER",1
--,,,,,"REBOUND DEF by DAVIDSON,JACK",,,"REBOUND DEF by DAVIDSON,JACK",1
09:37,,,,,"MISS JUMPER by JONES,AHMONI",,,"MISS JUMPER by JONES,AHMONI",1
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",1
09:31,"GOOD JUMPER by AYERS,PERRY(fastbreak)(in the paint)",22 (+4),,18,,CENTRE-M 22-18 (+4),,"GOOD JUMPER by AYERS,PERRY(fastbreak)(in the paint)",1
09:12,,,,,"TURNOVER  by SCHREIBER,KELLEN",,,"TURNOVER  by SCHREIBER,KELLEN",1
09:12,"STEAL  by BAUGHMAN,CARTER",,,,,,,"STEAL  by BAUGHMAN,CARTER",1
09:09,"GOOD LAYUP by BAUGHMAN,CARTER(fastbreak)(in the paint)",24 (+6),,18,,CENTRE-M 24-18 (+6),,"GOOD LAYUP by BAUGHMAN,CARTER(fastbreak)(in the paint)",1
09:09,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
08:53,,,,,"MISS LAYUP by SCHREIBER,KELLEN",,,"MISS LAYUP by SCHREIBER,KELLEN",1
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",1
08:35,"MISS LAYUP by BATES,JACOB",,,,,,,"MISS LAYUP by BATES,JACOB",1
08:35,,,,,"BLOCK  by JONES,AHMONI",,,"BLOCK  by JONES,AHMONI",1
--,,,,,"REBOUND DEF by JONES,AHMONI",,,"REBOUND DEF by JONES,AHMONI",1
08:25,,24 (+4),,20,"GOOD LAYUP by DAVIDSON,JACK(in the paint)",WABM 24-20 (+4),,"GOOD LAYUP by DAVIDSON,JACK(in the paint)",1
08:07,"MISS 3PTR by BATES,JACOB",,,,,,,"MISS 3PTR by BATES,JACOB",1
--,,,,,"REBOUND DEF by SCHREIBER,KELLEN",,,"REBOUND DEF by SCHREIBER,KELLEN",1
07:46,,,,,"MISS LAYUP by WATSON,TYLER",,,"MISS LAYUP by WATSON,TYLER",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
07:39,"FOUL  by AYERS,PERRY",,,,,,,"FOUL  by AYERS,PERRY",1
07:39,"TURNOVER  by AYERS,PERRY",,,,,,,"TURNOVER  by AYERS,PERRY",1
07:39,"SUB IN by WILSON,DREW",,,,,,,"SUB IN by WILSON,DREW",1
07:39,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",1
07:39,"SUB OUT by BAUGHMAN,CARTER",,,,,,,"SUB OUT by BAUGHMAN,CARTER",1
07:39,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",1
07:21,,,,,"MISS JUMPER by JONES,AHMONI",,,"MISS JUMPER by JONES,AHMONI",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
07:10,"GOOD 3PTR by CRUMP,DAWSON",27 (+7),,20,,CENTRE-M 27-20 (+7),,"GOOD 3PTR by CRUMP,DAWSON",1
--,"ASSIST  by WALKER,ART",,,,,,,"ASSIST  by WALKER,ART",1
06:41,,27 (+4),,23,"GOOD 3PTR by GARLAND,COLTEN",WABM 27-23 (+4),,"GOOD 3PTR by GARLAND,COLTEN",1
06:41,,,,,"FOUL  by JONES,AHMONI",,,"FOUL  by JONES,AHMONI",1
06:41,"GOOD FT by WILSON,DREW",28 (+5),,23,,CENTRE-M 28-23 (+5),,"GOOD FT by WILSON,DREW",1
06:41,"GOOD FT by WILSON,DREW",29 (+6),,23,,CENTRE-M 29-23 (+6),,"GOOD FT by WILSON,DREW",1
--,,,,,"ASSIST  by DAVIDSON,JACK",,,"ASSIST  by DAVIDSON,JACK",1
06:41,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",1
06:41,"SUB IN by PURVIS,KC",,,,,,,"SUB IN by PURVIS,KC",1
06:41,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
06:41,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
06:41,,,,,"SUB IN by EBERHARD,ALEX",,,"SUB IN by EBERHARD,ALEX",1
06:41,,,,,"SUB IN by HALLSTROM,HARRISON",,,"SUB IN by HALLSTROM,HARRISON",1
06:41,,,,,"SUB OUT by WATSON,TYLER",,,"SUB OUT by WATSON,TYLER",1
06:41,,,,,"SUB OUT by JONES,AHMONI",,,"SUB OUT by JONES,AHMONI",1
06:27,,29 (+3),,26,"GOOD 3PTR by SCHREIBER,KELLEN",WABM 29-26 (+3),,"GOOD 3PTR by SCHREIBER,KELLEN",1
--,,,,,"ASSIST  by HALLSTROM,HARRISON",,,"ASSIST  by HALLSTROM,HARRISON",1
06:11,"MISS 3PTR by RAKES,BAILEY",,,,,,,"MISS 3PTR by RAKES,BAILEY",1
--,,,,,"REBOUND DEF by GARLAND,COLTEN",,,"REBOUND DEF by GARLAND,COLTEN",1
05:51,,,,,"MISS 3PTR by SCHREIBER,KELLEN",,,"MISS 3PTR by SCHREIBER,KELLEN",1
--,"REBOUND DEF by PURVIS,KC",,,,,,,"REBOUND DEF by PURVIS,KC",1
05:40,"GOOD JUMPER by CRUMP,DAWSON(in the paint)",31 (+5),,26,,CENTRE-M 31-26 (+5),,"GOOD JUMPER by CRUMP,DAWSON(in the paint)",1
05:28,"FOUL  by SPITZER,JAKOB",,,,,,,"FOUL  by SPITZER,JAKOB",1
05:28,,,,,"MISS FT by HALLSTROM,HARRISON",,,"MISS FT by HALLSTROM,HARRISON",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
05:28,,31 (+4),,27,"GOOD FT by HALLSTROM,HARRISON",WABM 31-27 (+4),,"GOOD FT by HALLSTROM,HARRISON",1
05:28,"SUB IN by WILLIAMS,JALEN",,,,,,,"SUB IN by WILLIAMS,JALEN",1
05:28,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",1
05:28,,,,,"SUB IN by HEGWOOD,JACK",,,"SUB IN by HEGWOOD,JACK",1
05:28,,,,,"SUB OUT by HALLSTROM,HARRISON",,,"SUB OUT by HALLSTROM,HARRISON",1
05:23,"GOOD JUMPER by WILSON,DREW(fastbreak)",33 (+6),,27,,CENTRE-M 33-27 (+6),,"GOOD JUMPER by WILSON,DREW(fastbreak)",1
05:09,"FOUL  by SPITZER,JAKOB",,,,,,,"FOUL  by SPITZER,JAKOB",1
05:09,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",1
05:09,"SUB OUT by CRUMP,DAWSON",,,,,,,"SUB OUT by CRUMP,DAWSON",1
05:09,,,,,"SUB IN by HALLSTROM,HARRISON",,,"SUB IN by HALLSTROM,HARRISON",1
05:09,,,,,"SUB OUT by HEGWOOD,JACK",,,"SUB OUT by HEGWOOD,JACK",1
05:06,,33 (+3),,30,"GOOD 3PTR by SCHREIBER,KELLEN",WABM 33-30 (+3),,"GOOD 3PTR by SCHREIBER,KELLEN",1
--,,,,,"ASSIST  by DAVIDSON,JACK",,,"ASSIST  by DAVIDSON,JACK",1
04:50,"MISS JUMPER by RAKES,BAILEY",,,,,,,"MISS JUMPER by RAKES,BAILEY",1
--,"REBOUND OFF by SPITZER,JAKOB",,,,,,,"REBOUND OFF by SPITZER,JAKOB",1
04:48,,,,,"FOUL  by SCHREIBER,KELLEN",,,"FOUL  by SCHREIBER,KELLEN",1
04:48,"MISS FT by SPITZER,JAKOB",,,,,,,"MISS FT by SPITZER,JAKOB",1
--,,,,,"REBOUND DEF by HALLSTROM,HARRISON",,,"REBOUND DEF by HALLSTROM,HARRISON",1
04:44,,33 (+1),,32,"GOOD LAYUP by HALLSTROM,HARRISON(in the paint)",WABM 33-32 (+1),,"GOOD LAYUP by HALLSTROM,HARRISON(in the paint)",1
04:42,"GOOD LAYUP by WILSON,DREW(in the paint)",35 (+3),,32,,CENTRE-M 35-32 (+3),,"GOOD LAYUP by WILSON,DREW(in the paint)",1
04:23,,35 (+1),,34,"GOOD LAYUP by DAVIDSON,JACK(in the paint)",WABM 35-34 (+1),,"GOOD LAYUP by DAVIDSON,JACK(in the paint)",1
04:23,"FOUL  by RAKES,BAILEY",,,,,,,"FOUL  by RAKES,BAILEY",1
04:23,,35,,35,"GOOD FT by DAVIDSON,JACK",WABM 35-35 (0),,"GOOD FT by DAVIDSON,JACK",1
04:23,"SUB IN by BAUGHMAN,CARTER",,,,,,,"SUB IN by BAUGHMAN,CARTER",1
04:23,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
04:23,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
04:23,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",1
04:23,"SUB OUT by PURVIS,KC",,,,,,,"SUB OUT by PURVIS,KC",1
04:23,"SUB OUT by WILSON,DREW",,,,,,,"SUB OUT by WILSON,DREW",1
04:17,,,,,"SUB IN by ROTTERMAN,CONNOR",,,"SUB IN by ROTTERMAN,CONNOR",1
04:17,,,,,"SUB IN by HEGWOOD,JACK",,,"SUB IN by HEGWOOD,JACK",1
04:17,,,,,"SUB OUT by SCHREIBER,KELLEN",,,"SUB OUT by SCHREIBER,KELLEN",1
04:17,,,,,"SUB OUT by HALLSTROM,HARRISON",,,"SUB OUT by HALLSTROM,HARRISON",1
03:57,"GOOD LAYUP by WALKER,ART(in the paint)",37 (+2),,35,,CENTRE-M 37-35 (+2),,"GOOD LAYUP by WALKER,ART(in the paint)",1
03:56,,,,,"FOUL  by ROTTERMAN,CONNOR",,,"FOUL  by ROTTERMAN,CONNOR",1
03:56,"GOOD FT by WALKER,ART(fastbreak)",38 (+3),,35,,CENTRE-M 38-35 (+3),,"GOOD FT by WALKER,ART(fastbreak)",1
03:56,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",1
03:56,"SUB OUT by WILLIAMS,JALEN",,,,,,,"SUB OUT by WILLIAMS,JALEN",1
03:56,,,,,"SUB IN by HALLSTROM,HARRISON",,,"SUB IN by HALLSTROM,HARRISON",1
03:56,,,,,"SUB OUT by HEGWOOD,JACK",,,"SUB OUT by HEGWOOD,JACK",1
03:48,"SUB IN by PURVIS,KC",,,,,,,"SUB IN by PURVIS,KC",1
03:48,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
03:47,"FOUL  by PURVIS,KC",,,,,,,"FOUL  by PURVIS,KC",1
03:47,,38 (+2),,36,"GOOD FT by DAVIDSON,JACK",WABM 38-36 (+2),,"GOOD FT by DAVIDSON,JACK",1
03:47,,38 (+1),,37,"GOOD FT by DAVIDSON,JACK",WABM 38-37 (+1),,"GOOD FT by DAVIDSON,JACK",1
03:47,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
03:47,"SUB OUT by PURVIS,KC",,,,,,,"SUB OUT by PURVIS,KC",1
03:47,,,,,"SUB IN by JONES,AHMONI",,,"SUB IN by JONES,AHMONI",1
03:47,,,,,"SUB IN by HEGWOOD,JACK",,,"SUB IN by HEGWOOD,JACK",1
03:47,,,,,"SUB OUT by GARLAND,COLTEN",,,"SUB OUT by GARLAND,COLTEN",1
03:47,,,,,"SUB OUT by HALLSTROM,HARRISON",,,"SUB OUT by HALLSTROM,HARRISON",1
03:40,"TURNOVER  by BATES,JACOB",,,,,,,"TURNOVER  by BATES,JACOB",1
03:40,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",1
03:40,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
03:40,,,,,"SUB IN by HALLSTROM,HARRISON",,,"SUB IN by HALLSTROM,HARRISON",1
03:40,,,,,"SUB OUT by HEGWOOD,JACK",,,"SUB OUT by HEGWOOD,JACK",1
03:28,,,,,"MISS 3PTR by DAVIDSON,JACK",,,"MISS 3PTR by DAVIDSON,JACK",1
--,"REBOUND DEF by RAKES,BAILEY",,,,,,,"REBOUND DEF by RAKES,BAILEY",1
03:25,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
03:24,"SUB IN by SMITH,RJ",,,,,,,"SUB IN by SMITH,RJ",1
03:24,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
03:08,,,,,"FOUL  by HALLSTROM,HARRISON",,,"FOUL  by HALLSTROM,HARRISON",1
03:08,,,,,"TURNOVER  by HALLSTROM,HARRISON",,,"TURNOVER  by HALLSTROM,HARRISON",1
03:08,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
03:08,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",1
03:08,,,,,"SUB IN by HEGWOOD,JACK",,,"SUB IN by HEGWOOD,JACK",1
03:08,,,,,"SUB OUT by HALLSTROM,HARRISON",,,"SUB OUT by HALLSTROM,HARRISON",1
02:53,"TURNOVER  by BATES,JACOB",,,,,,,"TURNOVER  by BATES,JACOB",1
02:53,,,,,"STEAL  by EBERHARD,ALEX",,,"STEAL  by EBERHARD,ALEX",1
02:53,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",1
02:53,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
01:47,,,,,"FOUL  by DAVIDSON,JACK",,,"FOUL  by DAVIDSON,JACK",1
01:47,,,,,"TURNOVER  by DAVIDSON,JACK",,,"TURNOVER  by DAVIDSON,JACK",1
01:47,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
01:47,"SUB IN by WILSON,DREW",,,,,,,"SUB IN by WILSON,DREW",1
01:47,"SUB OUT by BAUGHMAN,CARTER",,,,,,,"SUB OUT by BAUGHMAN,CARTER",1
01:47,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",1
01:47,,,,,"SUB IN by WATSON,TYLER",,,"SUB IN by WATSON,TYLER",1
01:47,,,,,"SUB OUT by EBERHARD,ALEX",,,"SUB OUT by EBERHARD,ALEX",1
01:33,"MISS JUMPER by CRUMP,DAWSON",,,,,,,"MISS JUMPER by CRUMP,DAWSON",1
--,,,,,"REBOUND DEF by WATSON,TYLER",,,"REBOUND DEF by WATSON,TYLER",1
01:10,,,,,"MISS JUMPER by DAVIDSON,JACK",,,"MISS JUMPER by DAVIDSON,JACK",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
00:36,"FOUL  by RAKES,BAILEY",,,,,,,"FOUL  by RAKES,BAILEY",1
00:36,"TURNOVER  by RAKES,BAILEY",,,,,,,"TURNOVER  by RAKES,BAILEY",1
00:36,"SUB IN by WILLIAMS,JALEN",,,,,,,"SUB IN by WILLIAMS,JALEN",1
